zip_code,model_order,train_rmse,test_rmse,train_pred_2016-01-31,train_pred_2016-02-29,train_pred_2016-03-31,train_pred_2016-04-30,train_pred_2016-05-31,train_pred_2016-06-30,train_pred_2016-07-31,train_pred_2016-08-31,train_pred_2016-09-30,train_pred_2016-10-31,train_pred_2016-11-30,train_pred_2016-12-31,train_pred_2017-01-31,train_pred_2017-02-28,train_pred_2017-03-31,train_pred_2017-04-30,train_pred_2017-05-31,train_pred_2017-06-30,train_pred_2017-07-31,train_pred_2017-08-31,train_pred_2017-09-30,train_pred_2017-10-31,train_pred_2017-11-30,train_pred_2017-12-31,train_pred_2018-01-31,train_pred_2018-02-28,train_pred_2018-03-31,train_pred_2018-04-30,train_pred_2018-05-31,train_pred_2018-06-30,train_pred_2018-07-31,train_pred_2018-08-31,train_pred_2018-09-30,train_pred_2018-10-31,train_pred_2018-11-30,train_pred_2018-12-31,train_lci_2016-01-31,train_lci_2016-02-29,train_lci_2016-03-31,train_lci_2016-04-30,train_lci_2016-05-31,train_lci_2016-06-30,train_lci_2016-07-31,train_lci_2016-08-31,train_lci_2016-09-30,train_lci_2016-10-31,train_lci_2016-11-30,train_lci_2016-12-31,train_lci_2017-01-31,train_lci_2017-02-28,train_lci_2017-03-31,train_lci_2017-04-30,train_lci_2017-05-31,train_lci_2017-06-30,train_lci_2017-07-31,train_lci_2017-08-31,train_lci_2017-09-30,train_lci_2017-10-31,train_lci_2017-11-30,train_lci_2017-12-31,train_lci_2018-01-31,train_lci_2018-02-28,train_lci_2018-03-31,train_lci_2018-04-30,train_lci_2018-05-31,train_lci_2018-06-30,train_lci_2018-07-31,train_lci_2018-08-31,train_lci_2018-09-30,train_lci_2018-10-31,train_lci_2018-11-30,train_lci_2018-12-31,train_uci_2016-01-31,train_uci_2016-02-29,train_uci_2016-03-31,train_uci_2016-04-30,train_uci_2016-05-31,train_uci_2016-06-30,train_uci_2016-07-31,train_uci_2016-08-31,train_uci_2016-09-30,train_uci_2016-10-31,train_uci_2016-11-30,train_uci_2016-12-31,train_uci_2017-01-31,train_uci_2017-02-28,train_uci_2017-03-31,train_uci_2017-04-30,train_uci_2017-05-31,train_uci_2017-06-30,train_uci_2017-07-31,train_uci_2017-08-31,train_uci_2017-09-30,train_uci_2017-10-31,train_uci_2017-11-30,train_uci_2017-12-31,train_uci_2018-01-31,train_uci_2018-02-28,train_uci_2018-03-31,train_uci_2018-04-30,train_uci_2018-05-31,train_uci_2018-06-30,train_uci_2018-07-31,train_uci_2018-08-31,train_uci_2018-09-30,train_uci_2018-10-31,train_uci_2018-11-30,train_uci_2018-12-31,test_pred_2019-01-31,test_pred_2019-02-28,test_pred_2019-03-31,test_pred_2019-04-30,test_pred_2019-05-31,test_pred_2019-06-30,test_pred_2019-07-31,test_pred_2019-08-31,test_pred_2019-09-30,test_pred_2019-10-31,test_pred_2019-11-30,test_pred_2019-12-31,test_lci_2019-01-31,test_lci_2019-02-28,test_lci_2019-03-31,test_lci_2019-04-30,test_lci_2019-05-31,test_lci_2019-06-30,test_lci_2019-07-31,test_lci_2019-08-31,test_lci_2019-09-30,test_lci_2019-10-31,test_lci_2019-11-30,test_lci_2019-12-31,test_uci_2019-01-31,test_uci_2019-02-28,test_uci_2019-03-31,test_uci_2019-04-30,test_uci_2019-05-31,test_uci_2019-06-30,test_uci_2019-07-31,test_uci_2019-08-31,test_uci_2019-09-30,test_uci_2019-10-31,test_uci_2019-11-30,test_uci_2019-12-31
99567," ARIMA(0,1,0)(0,0,0)[12]          ",66044.5237581773,2630.739582322811,0.0,396166.0,398505.0,400111.0,399746.0,398232.0,395992.0,394123.0,392161.0,391959.0,392341.0,392800.0,393250.0,393048.0,392682.0,391812.0,392686.0,394742.0,397173.0,398127.0,398728.0,398800.0,399076.0,397899.0,397127.0,397474.0,400145.0,402705.0,404552.0,406640.0,407944.0,408677.0,407197.0,405697.0,403809.0,401654.0,-3554.1250433248347,393201.14823255956,395540.14823255956,397146.14823255956,396781.14823255956,395267.14823255956,393027.14823255956,391158.14823255956,389196.14823255956,388994.14823255956,389376.14823255956,389835.14823255956,390285.14823255956,390083.14823255956,389717.14823255956,388847.14823255956,389721.14823255956,391777.14823255956,394208.14823255956,395162.14823255956,395763.14823255956,395835.14823255956,396111.14823255956,394934.14823255956,394162.14823255956,394509.14823255956,397180.14823255956,399740.14823255956,401587.14823255956,403675.14823255956,404979.14823255956,405712.14823255956,404232.14823255956,402732.14823255956,400844.14823255956,398689.14823255956,3554.1250433248347,399130.85176744044,401469.85176744044,403075.85176744044,402710.85176744044,401196.85176744044,398956.85176744044,397087.85176744044,395125.85176744044,394923.85176744044,395305.85176744044,395764.85176744044,396214.85176744044,396012.85176744044,395646.85176744044,394776.85176744044,395650.85176744044,397706.85176744044,400137.85176744044,401091.85176744044,401692.85176744044,401764.85176744044,402040.85176744044,400863.85176744044,400091.85176744044,400438.85176744044,403109.85176744044,405669.85176744044,407516.85176744044,409604.85176744044,410908.85176744044,411641.85176744044,410161.85176744044,408661.85176744044,406773.85176744044,404618.85176744044,399400.0,399400.0,399400.0,399400.0,399400.0,399400.0,399400.0,399400.0,399400.0,399400.0,399400.0,399400.0,396435.14823255956,395207.0664200599,394264.7261018828,393470.2964651191,392770.3899047928,392137.6260067821,391555.7395491823,391014.1328401198,390505.44469767873,390024.3154901124,389566.69912837807,389129.45220376557,402364.85176744044,403592.9335799401,404535.2738981172,405329.7035348809,406029.6100952072,406662.3739932179,407244.2604508177,407785.8671598802,408294.55530232127,408775.6845098876,409233.30087162193,409670.54779623443
99502," ARIMA(2,0,2)(0,0,0)[12] intercept",731.1043733528364,21623.695921069237,332079.89416632743,333564.6315156088,336699.83171534695,336513.87970638956,334952.8080565497,332880.9350510446,331880.48476926,330785.77218377765,329247.31312569306,330293.89385589137,331501.03684623586,330971.8857446844,329491.9231354608,329130.3325267937,326949.8112798702,326500.7575674852,326596.3983970163,327029.30112200766,327996.0571607433,328577.68024110957,330161.71335172304,330852.2215633955,331191.26742073125,329936.8516105858,330882.9520956194,331783.39301777526,332396.3244344503,332197.6926956836,329100.47783435695,330291.36132753006,333480.8869113494,336128.00384057977,335389.5516184836,334107.7530765252,334766.91829425865,335438.0200815169,323733.4112334235,331132.30569520016,334925.1677582968,334786.05644418683,333275.2615266146,331299.24812617555,330310.47917034314,329233.0345193654,327731.7764332091,328782.6416816046,329999.17904439446,329489.1177912169,328010.9483089438,327655.49655485956,325486.151865536,325037.8728410335,325137.910276976,325577.8527196238,326544.9307699917,327129.8667734086,328718.5306769116,329409.1570977386,329750.7739062064,328499.48521155264,329445.61783683434,330348.08836377534,330963.16401894134,330764.53546739364,327668.938154179,328861.3034589097,332050.8303088461,334699.24228603893,333961.8164929516,332680.02880261693,333340.23215591046,334012.0435680301,340426.37709923135,335996.95733601745,338474.4956723971,338241.7029685923,336630.3545864848,334462.6219759137,333450.49036817683,332338.5098481899,330762.84981817706,331805.1460301781,333002.89464807726,332454.6536981519,330972.8979619778,330605.16849872784,328413.47069420444,327963.6422939369,328054.88651705656,328480.7495243915,329447.18355149485,330025.49370881054,331604.8960265345,332295.28602905245,332631.7609352561,331374.218009619,332320.28635440447,333218.6976717752,333829.48484995926,333630.8499239736,330532.0175145349,331721.41919615044,334910.94351385266,337556.7653951206,336817.28674401564,335535.4773504334,336193.60443260684,336863.99659500364,335275.818967044,334851.08637351386,334449.3164483251,334101.14875031426,333803.4875453921,333549.56933670765,333333.0451096474,333148.4191155139,332990.99370163906,332856.76168334763,332742.3060224482,332644.71307939803,333849.8663240361,331771.9602956722,329524.497351513,328064.34333830245,327059.1666765677,326332.76179027784,325791.10430962284,325378.60798697546,325059.6169523907,324809.9552739099,324612.6057237993,324455.2718141058,336701.7716100519,337930.21245135553,339374.1355451372,340137.95416232606,340547.80841421656,340766.37688313745,340874.98590967193,340918.23024405236,340922.3704508874,340903.56809278537,340872.006321097,340834.15434469027
99516," ARIMA(2,0,2)(0,0,0)[12] intercept",988.2502230023824,23020.71059974864,448888.4541799873,452028.37259975995,456326.33028884174,456734.7528624793,454149.82200601965,450635.3770281767,448969.2954160685,447689.5343572049,445984.68005188106,447360.097300448,449135.36886476714,449289.38763705746,447877.79163493344,447308.9135339438,443817.85389136686,441520.2375395572,441985.3505488022,442715.1187033192,443960.86965965,445005.9471166794,447157.33218672196,448875.51031694864,448774.3078007515,447972.5719894775,448519.42081933445,449728.04675241024,446398.5171055567,445611.0499774921,444342.3975069066,446921.5579041196,449055.81960644544,450014.6211234601,449665.7400768306,449299.8813521032,451389.705635063,453109.9631998114,439643.8940173317,448816.2904941313,454242.34108414064,454781.4948937776,452227.4236285991,448832.13291375246,447190.1191949366,445924.364846231,444263.56491206586,445645.6384015123,447430.456396841,447605.90349401615,446196.15600624157,445634.4968560248,442154.985229907,439857.7486248006,440328.4608967135,441064.67694482085,442310.4458070704,443359.85303946637,445514.83602324955,447233.0481567952,447135.1416555781,446335.3619235303,446882.36299967556,448093.44265003444,444764.92485494644,443977.72327069537,442710.8497826662,445290.4936881728,447425.09337545896,448385.14698534703,448036.46944901574,447670.9757236657,449761.6528400634,451481.9787850674,458133.0143426429,455240.45470538863,458410.31949354283,458688.010831181,456072.2203834402,452438.6211426009,450748.47163720045,449454.7038681788,447705.79519169626,449074.5561993837,450840.2813326933,450972.87178009877,449559.4272636253,448983.33021186286,445480.72255282674,443182.72645431384,443642.24020089087,444365.5604618176,445611.29351222963,446652.0411938924,448799.8283501944,450517.97247710207,450413.47394592495,449609.7820554247,450156.47863899334,451362.65085478604,448032.1093561669,447244.3766842888,445973.945231147,448552.62212006643,450686.5458374319,451644.0952615732,451295.0107046455,450928.7869805407,453017.7584300626,454737.9476145554,452940.00907356304,452132.1422709585,451313.29029651894,450627.3349966967,450101.5126540798,449718.45094708155,449448.35591545183,449262.1400264071,449135.8131982676,449051.140144635,448994.9056460598,448957.8243333935,451312.3795897446,448431.59469438856,445251.8828933179,443074.05505725776,441710.959535831,440888.4717440294,440398.7476152671,440106.90373867366,439931.3250058081,439824.25244287815,439758.03267412895,439716.57096079807,454567.63855738146,455832.68984752847,457374.69769972,458180.6149361356,458492.06577232864,458548.43015013373,458497.96421563654,458417.3763141405,458340.3013907271,458278.02784639184,458231.7786179906,458199.0777059889
99507," ARIMA(1,0,2)(0,0,0)[12] intercept",714.5289915903932,22128.751112749072,315332.07233562757,317571.3946599375,320151.3888117393,320479.679082172,318942.8045869038,317067.70390524884,316009.737734862,315343.1566587035,314235.90423861257,314220.10102769715,314862.10021546617,314590.25348182267,313831.2467239715,313313.9028006934,311384.43598497176,310265.6173731032,309862.4153895765,310562.23505270353,311773.36616400594,312243.6712841608,313062.24598285084,314129.9404767805,314981.5929110253,314978.77068728383,315897.3120742382,317221.0275374722,316248.1462768416,315633.5318951931,313252.79475234647,313850.80036529474,316349.01773313014,317568.51187120157,316799.7760729157,315667.2061135051,315932.93674035714,315854.13559275854,309788.6739796004,315795.3964923385,318709.60856147326,319037.953219464,317591.86698872095,315766.6695829081,314709.8129574713,314078.762631922,312986.3016033687,312973.1095348175,313634.25395529525,313367.2022380844,312611.7050335652,312105.68042571034,310177.5301977906,309062.55502593383,308666.1292462458,309366.1345422651,310581.0153372088,311055.2470190156,311873.82778837223,312944.8879694042,313798.6585748258,313796.0276103868,314717.38383547263,316042.1097464739,315069.69270874903,314457.27931871597,312076.9290501134,312675.62807839125,315175.45012835856,316395.03488523833,315627.1250204471,314495.636388214,314761.3685421183,314683.42139716994,320875.4706916547,319347.39282753645,321593.1690620053,321921.40494488,320293.7421850866,318368.7382275896,317309.66251225275,316607.550685485,315485.5068738564,315467.0925205768,316089.9464756371,315813.30472556094,315050.78841437784,314522.1251756765,312591.3417721529,311468.6797202726,311058.70153290726,311758.33556314197,312965.7169908031,313432.095549306,314250.66417732945,315314.9929841568,316164.52724722476,316161.5137641809,317077.2403130038,318399.9453284705,317426.5998449341,316809.7844716702,314428.6604545795,315025.9726521982,317522.5853379017,318741.9888571648,317972.4271253843,316838.7758387962,317104.504938596,317024.84978834714,316081.89910652954,316224.1301450606,316081.93871321325,315962.4121838834,315861.9378372366,315777.4788105193,315706.4823081074,315646.8024426078,315596.6353748643,315554.464792459,315519.01607878314,315489.21778742457,314911.8468461869,313934.3860565535,312515.3882460517,311719.3142998158,311199.60585835844,310840.32866276655,310584.0242567123,310397.3461082754,310259.2620907786,310155.831432918,310077.5113604912,310017.6221345902,317251.9513668722,318513.8742335677,319648.48918037483,320205.51006795105,320524.2698161148,320714.628958272,320828.94035950257,320896.25877694023,320934.0086589499,320953.09815199993,320960.52079707506,320960.81344025896
99518," ARIMA(1,0,2)(0,0,0)[12] intercept",548.3900388150375,19808.278435827495,284712.9962432238,285064.0072838352,287109.91804368165,287560.88530027564,286294.796516652,284918.8662629826,284342.13217564306,284184.9566552786,284396.5013158664,285188.0913108767,285892.8021073427,285910.0030385205,284679.37194732315,283959.43738527596,282320.8484814096,281098.62734489737,280960.76853849116,281264.04736710363,282106.04743936524,282692.18395741156,283018.03552797326,283647.7541593749,284553.8477433978,284210.79602188675,284520.76834135334,285776.81488252594,286677.0041183008,286986.8728595523,284129.9415348594,284857.7611619345,286764.4419228267,288014.05714808847,287561.0718289175,286524.7783554948,285598.89934962086,284137.4908943271,279690.771296866,283231.49700808857,285640.4429906632,286096.03690188896,284901.2038751179,283589.1499435913,283013.3392639373,282881.14636350964,283117.133397145,283908.8736484411,284626.6078214632,284655.7175308021,283425.09038610116,282713.13498828816,281081.0316536102,279858.82923867094,279726.27049788734,280033.2889293228,280875.3582261185,281465.1727109981,281793.24326258723,282423.07882491424,283331.7866919911,282990.06669559446,283300.18970628304,284558.1176796545,285459.1056532903,285769.1434839826,282913.5732279179,283641.86710748676,285548.7221079781,286799.32242544374,286346.6134619503,285310.4893092133,284385.3213279444,282924.0694648458,289735.22118958156,286896.51755958184,288579.3930967001,289025.7336986623,287688.3891581861,286248.58258237387,285670.9250873488,285488.7669470476,285675.8692345878,286467.3089733123,287158.9963932222,287164.2885462389,285933.65350854513,285205.73978226376,283560.665309209,282338.4254511238,282195.266579095,282494.80580488447,283336.736652612,283919.195203825,284242.8277933593,284872.4294938356,285775.90879480453,285431.52534817904,285741.34697642364,286995.5120853974,287894.9025833113,288204.60223512206,285346.30984180095,286073.6552163823,287980.1617376753,289228.7918707332,288775.53019588464,287739.06740177626,286812.4773712973,285350.9123238084,284488.95344416704,284951.69786150457,284901.42870112817,284861.74593100394,284830.42011945386,284805.6913400315,284786.1702964747,284770.76027016336,284758.59550498443,284748.992567983,284741.4119531748,284735.4277713706,283275.6895425932,282563.20535830734,281287.57062137197,280661.3447675544,280302.775175716,280085.5809369731,279949.9950449658,279863.6460409948,279807.7888755492,279771.1524637727,279746.79962487076,279730.3920620051,285702.2173457409,287340.1903647018,288515.2867808844,289062.1470944535,289358.06506319175,289525.8017430899,289622.3455479836,289677.8744993319,289709.40213441965,289726.8326721933,289736.02428147884,289740.4634807361
99517," ARIMA(1,0,2)(0,0,0)[12] intercept",693.056117652338,2815.5437064547964,309141.14148490946,311285.94852982054,313401.0562715887,313799.8470672366,312387.9241293448,310640.74511930265,310130.1869458635,309730.37233143504,308511.9169335345,308382.36224655836,309233.7421907767,308853.02230308333,307367.3669641878,307208.9866267248,306397.4306991438,305600.0747961254,305486.46875662997,305201.93093219365,305714.212078377,306126.11606389156,306918.74769324576,307381.24662264826,308315.0400822875,308345.2719443627,309544.436607557,310076.58121912245,310348.35057731747,310953.33539857663,308254.91664624924,308369.0534497104,310401.73455664376,312667.1239245875,311849.0314110276,310075.60596786666,308954.9411785395,308317.61833520833,303773.16196548054,309472.0189567027,311944.94354415056,312345.9345598708,311013.67381408013,309326.4506663349,308815.9321255959,308446.3273264367,307249.56405866717,307120.1721196003,307988.28557002585,307617.34633780766,306132.23520664277,305984.57975991874,305177.80181688897,304381.3208730183,304275.06462364405,303992.8884549564,304506.2737763772,304923.3706249899,305717.12306844984,306180.8561176652,307118.3563802912,307149.06785045844,308349.5120924836,308884.2953829129,309156.2295912724,309762.4723218266,307065.9085432281,307180.0776665825,309213.9448974178,311480.6111821875,310662.5186703096,308890.17305397283,307770.3615342004,307133.0577669559,314509.1210043384,313099.87810293835,314857.1689990269,315253.7595746024,313762.1744446095,311955.0395722704,311444.441766131,311014.41733643337,309774.2698084018,309644.55237351643,310479.1988115275,310088.698268359,308602.4987217329,308433.3934935309,307617.0595813986,306818.8287192325,306697.8728896159,306410.9734094309,306922.15038037684,307328.8615027932,308120.3723180417,308581.63712763134,309511.7237842838,309541.476038267,310739.3611226304,311268.867055332,311540.4715633625,312144.19847532664,309443.9247492704,309558.02923283837,311589.5242158697,313853.6366669875,313035.54415174556,311261.0388817605,310139.5208228786,309502.17890346074,308297.0652216436,308457.74106255866,308580.0629638048,308680.4904572702,308762.94242491457,308830.6363076735,308886.21365644893,308931.84321071603,308969.3055270822,309000.0624601721,309025.3142071237,309046.0461416844,307113.45736815216,306112.89200742374,304960.9074342858,304411.8722269264,304107.3895873484,303931.4792774595,303829.47030339856,303771.5921454809,303740.4402534014,303725.4508432351,303720.08948944346,303720.2857216705,309480.67307513504,310802.5901176936,312199.21849332383,312949.108687614,313418.49526248075,313729.79333788756,313942.9570094993,314092.09427595115,314198.17080076295,314274.6740771091,314330.53892480396,314371.8065616983
99605," ARIMA(0,1,0)(0,0,0)[12] intercept",22297.202158549604,7288.780226774433,401.17142857142846,134512.17142857143,135259.17142857143,135099.17142857143,135644.17142857143,135572.17142857143,135577.17142857143,135535.17142857143,136209.17142857143,137800.17142857143,138796.17142857143,139047.17142857143,139077.17142857143,139333.17142857143,139939.17142857143,139797.17142857143,139804.17142857143,139588.17142857143,140556.17142857143,141311.17142857143,140700.17142857143,139801.17142857143,138824.17142857143,138953.17142857143,138970.17142857143,138594.17142857143,137968.17142857143,138313.17142857143,138664.17142857143,140832.17142857143,141412.17142857143,143455.17142857143,144846.17142857143,145885.17142857143,146410.17142857143,146933.17142857143,-2047.491000645487,133044.35370434122,133791.35370434122,133631.35370434122,134176.35370434122,134104.35370434122,134109.35370434122,134067.35370434122,134741.35370434122,136332.35370434122,137328.35370434122,137579.35370434122,137609.35370434122,137865.35370434122,138471.35370434122,138329.35370434122,138336.35370434122,138120.35370434122,139088.35370434122,139843.35370434122,139232.35370434122,138333.35370434122,137356.35370434122,137485.35370434122,137502.35370434122,137126.35370434122,136500.35370434122,136845.35370434122,137196.35370434122,139364.35370434122,139944.35370434122,141987.35370434122,143378.35370434122,144417.35370434122,144942.35370434122,145465.35370434122,2849.8338577883437,135979.98915280163,136726.98915280163,136566.98915280163,137111.98915280163,137039.98915280163,137044.98915280163,137002.98915280163,137676.98915280163,139267.98915280163,140263.98915280163,140514.98915280163,140544.98915280163,140800.98915280163,141406.98915280163,141264.98915280163,141271.98915280163,141055.98915280163,142023.98915280163,142778.98915280163,142167.98915280163,141268.98915280163,140291.98915280163,140420.98915280163,140437.98915280163,140061.98915280163,139435.98915280163,139780.98915280163,140131.98915280163,142299.98915280163,142879.98915280163,144922.98915280163,146313.98915280163,147352.98915280163,147877.98915280163,148400.98915280163,148553.17142857143,148954.34285714285,149355.51428571428,149756.6857142857,150157.85714285713,150559.02857142856,150960.19999999998,151361.3714285714,151762.54285714283,152163.71428571426,152564.8857142857,152966.0571428571,147085.35370434122,146878.53512444487,146813.17941109743,146821.05026582527,146875.71693289935,146963.6241116513,147076.71933171406,147209.75596317544,147359.0896844522,147522.06708718187,147696.6850623807,147881.38739362342,150020.98915280163,151030.15058984084,151897.84916033113,152692.32116274614,153439.9973528149,154154.43303120582,154843.6806682859,155512.98689396738,156165.99602983348,156805.36148424665,157433.08636619066,158050.7268920908
99501," ARIMA(1,0,3)(0,0,0)[12] intercept",1293.8352208899746,1003.053333255195,336178.77461411495,342659.98451328505,344564.56901012815,343367.1816117948,340998.83341113117,338829.50851830165,338576.9069237894,338594.7325687692,336597.6649033018,335534.3950092586,335375.0391760878,335281.45659518574,333743.8214242173,333592.28861264425,332672.77639974107,333344.512822815,334776.32907693234,334931.68858878314,335657.1582552708,336937.3745788564,337589.7122975357,337844.7423336589,337770.84470184427,335764.5385072489,335041.1115261073,335292.62780745863,337985.12286078976,338274.8215940011,335431.9659499125,336051.4834678798,336859.8878028359,337148.6914560817,335800.16064233804,333637.08432903263,333537.19964464376,333181.6779344655,329499.22866541776,340686.01773457567,343084.71412277984,341900.6452785131,339605.9728706772,337502.5924322363,337249.99784337357,337302.0943894251,335324.2400504366,334262.6401439097,334123.66903888824,334035.74588070833,332501.9299206838,332362.83477402927,331444.4414745369,332121.2066357298,333560.1908637371,333715.5648582953,334446.2731844032,335730.1415030276,336382.78080599575,336642.493047392,336570.0786190961,334564.7850700318,333845.0289269492,334096.9093741027,336791.0546112471,337083.26304620225,334240.41345793166,334861.91859065264,335671.7699700773,335960.69591752486,334614.14143433026,332451.7098866774,332352.2781309518,331998.437666452,342858.32056281215,344633.9512919944,346044.42389747646,344833.7179450765,342391.69395158516,340156.424604367,339903.81600420526,339887.37074811326,337871.089756167,336806.14987460745,336626.4093132874,336527.16730966314,334985.71292775084,334821.7424512592,333901.11132494523,334567.81900990015,335992.4672901276,336147.812319271,336868.0433261384,338144.6076546852,338796.6437890756,339046.99161992583,338971.61078459246,336964.291944466,336237.1941252654,336488.34624081454,339179.19111033244,339466.3801417999,336623.51844189333,337241.048345107,338048.0056355945,338336.6869946385,336986.1798503458,334822.4587713879,334722.1211583357,334364.918202479,332666.07394646876,332836.90673174395,333297.8547954502,333730.4444865623,334098.07789543277,334410.50864931947,334676.02580205625,334901.67374970677,335093.43912438815,335256.40962471656,335394.90899678215,335512.61174681305,331483.0031712219,330376.2285217634,329331.20899792126,328856.35512320476,328662.00926087087,328602.2790054734,328613.2001950632,328661.4272012262,328728.12809034757,328802.27985405026,328877.38409487845,328949.68159796216,333849.14472171565,335297.5849417245,337264.5005929792,338604.5338499198,339534.1465299947,340218.7382931655,340738.8514090493,341141.92029818735,341458.75015842874,341710.53939538286,341912.43389868585,342075.54189566395
99587," ARIMA(0,1,1)(0,0,0)[12] intercept",64552.84836225683,36797.31904750933,352.65768423008245,390616.2679623164,390855.49155709916,392309.9851953584,391560.32522085577,391340.77505644504,391408.7307833697,392458.82776375924,392230.68673741334,393324.27487805224,396234.9556416546,398812.5311266432,399312.1687227725,398201.6150245492,396644.0191725328,396031.73754980427,396796.8984560422,397409.3282922665,397822.2775161446,396129.63077120803,395846.1174784744,395772.27299515746,395199.14002055995,394644.3283744179,394874.39740190434,398130.5068483927,399309.1492854349,398598.7286236963,395929.5918890802,395179.31891890557,394182.78723685286,395847.1426963577,396222.8951114266,398079.11517551285,398689.30526638834,401467.5945809518,-3065.7630617023947,387815.6298985623,388054.9031663376,389509.3968099563,388759.7368354542,388540.18667104346,388608.1423979681,389658.23937835766,389430.09835201176,390523.68649265065,393434.367256253,396011.9427412416,396511.5803373709,395401.0266391476,393843.4307871312,393231.1491644027,393996.31007064064,394608.73990686494,395021.68913074303,393329.04238580645,393045.5290930728,392971.6846097559,392398.55163515836,391843.7399890163,392073.80901650275,395329.91846299113,396508.56090003334,395798.1402382947,393129.0035036786,392378.730533504,391382.1988514513,393046.5543109561,393422.306726025,395278.52679011127,395888.71688098676,398667.0061955502,3771.0784301625595,393416.9060260705,393656.07994786074,395110.5735807605,394360.91360625735,394141.3634418466,394209.31916877127,395259.4161491608,395031.2751228149,396124.8632634538,399035.5440270562,401613.11951204477,402112.7571081741,401002.2034099508,399444.60755793436,398832.32593520585,399597.4868414438,400209.9166776681,400622.8659015462,398930.2191566096,398646.705863876,398572.86138055904,397999.72840596153,397444.9167598195,397674.9857873059,400931.0952337943,402109.7376708365,401399.3170090979,398730.18027448177,397979.90730430715,396983.37562225445,398647.73108175927,399023.4834968282,400879.70356091444,401489.8936517899,404268.1829663534,406521.9943130877,406874.6519973178,407227.30968154786,407579.96736577793,407932.625050008,408285.2827342381,408637.94041846815,408990.5981026982,409343.2557869283,409695.91347115836,410048.57115538843,410401.2288396185,403721.40592768614,402893.39852006524,402342.8994616928,401935.098267073,401618.2263385547,401365.83802870766,401162.25991575926,400997.2957235641,400863.87097021186,400756.83908867056,400672.31738528714,400607.29098464776,409322.5826984893,410855.90547457035,412111.71990140295,413224.8364644829,414247.0237614613,415204.7274397685,416113.62092117703,416983.90048183233,417822.6406036447,418634.98785364616,419424.8249254897,420195.16669458925
99503," ARIMA(1,0,2)(0,0,0)[12] intercept",1049.300574834815,1026.0392904372088,307376.8255667419,311830.3568473447,314409.0544811615,314158.16321619216,312967.9669867658,311990.19712168124,312198.0469620858,312437.6610688247,312242.20613756665,311392.810789277,310511.7834858448,309453.51746327133,304814.91076008714,303511.2420129407,303135.4783091449,302769.3281421905,302770.4736600459,302111.5897778364,301821.67249425536,301533.73798882385,301826.42759654956,301857.19093887624,303156.197080947,303784.55850866874,305411.9203297208,306323.42249961017,308401.1042053272,309338.80228385655,305560.4197831686,305487.0896536296,307199.44547058805,309186.16551046626,308933.33579156216,307839.02828667767,306736.5157524393,304641.10089153,298306.1532396623,309471.80607862654,312619.43686487485,312407.3326568492,311264.463795001,310382.04174534086,310607.1840830677,310857.5835837656,310700.3701521913,309861.44704770646,308984.0838188326,307945.883024145,303314.572626918,302012.31395521935,301648.5550162173,301287.8937070207,301289.5818430508,300638.4408093144,300352.8471613653,300065.09804936143,300363.0181335028,300397.2875071983,301696.3380782242,302328.33743793523,303958.59590890585,304870.10030045983,306950.3582694985,307890.4783829689,304112.10188766586,304040.6146699764,305755.01073823904,307741.76091760315,307490.2547991633,306397.6731061722,305295.22209764953,303200.7568749295,316447.49789382156,314188.9076160629,316198.6720974482,315908.99377553514,314671.4701785306,313598.3524980216,313788.90984110394,314017.7385538838,313784.042122942,312924.1745308476,312039.483152857,310961.1519023977,306315.2488932563,305010.17007066205,304622.4016020725,304250.7625773604,304251.365477041,303584.73874635843,303290.4978271454,303002.37792828627,303289.8370595963,303317.0943705542,304616.05608366977,305240.77957940224,306865.2447505357,307776.7446987605,309851.85014115594,310787.1261847442,307008.7376786713,306933.56463728275,308643.88020293706,310630.5701033294,310376.416783961,309280.38346718316,308177.8094072291,306081.4449081305,304889.5059512499,305557.7050497822,305747.56447496056,305917.6084997886,306069.9052338199,306206.30694049585,306328.47256474546,306437.8879094065,306535.8837058576,306623.6517986406,306702.2596409127,306772.6632770263,303450.62434193055,302468.12147261284,300855.2147158203,299961.28859536134,299381.3513845227,298983.8480331053,298704.7170538472,298506.89321668254,298366.78340151074,298268.45698683924,298200.7319929695,298155.5499388558,306328.3875605693,308647.2886269515,310639.91423410084,311873.9284042159,312758.45908311714,313428.7658478864,313952.2280756437,314368.88260213047,314704.9840102045,314978.846610442,315203.7872888559,315389.77661519684
