zip_code,model_order,train_rmse,test_rmse,train_pred_2016-01-31,train_pred_2016-02-29,train_pred_2016-03-31,train_pred_2016-04-30,train_pred_2016-05-31,train_pred_2016-06-30,train_pred_2016-07-31,train_pred_2016-08-31,train_pred_2016-09-30,train_pred_2016-10-31,train_pred_2016-11-30,train_pred_2016-12-31,train_pred_2017-01-31,train_pred_2017-02-28,train_pred_2017-03-31,train_pred_2017-04-30,train_pred_2017-05-31,train_pred_2017-06-30,train_pred_2017-07-31,train_pred_2017-08-31,train_pred_2017-09-30,train_pred_2017-10-31,train_pred_2017-11-30,train_pred_2017-12-31,train_pred_2018-01-31,train_pred_2018-02-28,train_pred_2018-03-31,train_pred_2018-04-30,train_pred_2018-05-31,train_pred_2018-06-30,train_pred_2018-07-31,train_pred_2018-08-31,train_pred_2018-09-30,train_pred_2018-10-31,train_pred_2018-11-30,train_pred_2018-12-31,train_lci_2016-01-31,train_lci_2016-02-29,train_lci_2016-03-31,train_lci_2016-04-30,train_lci_2016-05-31,train_lci_2016-06-30,train_lci_2016-07-31,train_lci_2016-08-31,train_lci_2016-09-30,train_lci_2016-10-31,train_lci_2016-11-30,train_lci_2016-12-31,train_lci_2017-01-31,train_lci_2017-02-28,train_lci_2017-03-31,train_lci_2017-04-30,train_lci_2017-05-31,train_lci_2017-06-30,train_lci_2017-07-31,train_lci_2017-08-31,train_lci_2017-09-30,train_lci_2017-10-31,train_lci_2017-11-30,train_lci_2017-12-31,train_lci_2018-01-31,train_lci_2018-02-28,train_lci_2018-03-31,train_lci_2018-04-30,train_lci_2018-05-31,train_lci_2018-06-30,train_lci_2018-07-31,train_lci_2018-08-31,train_lci_2018-09-30,train_lci_2018-10-31,train_lci_2018-11-30,train_lci_2018-12-31,train_uci_2016-01-31,train_uci_2016-02-29,train_uci_2016-03-31,train_uci_2016-04-30,train_uci_2016-05-31,train_uci_2016-06-30,train_uci_2016-07-31,train_uci_2016-08-31,train_uci_2016-09-30,train_uci_2016-10-31,train_uci_2016-11-30,train_uci_2016-12-31,train_uci_2017-01-31,train_uci_2017-02-28,train_uci_2017-03-31,train_uci_2017-04-30,train_uci_2017-05-31,train_uci_2017-06-30,train_uci_2017-07-31,train_uci_2017-08-31,train_uci_2017-09-30,train_uci_2017-10-31,train_uci_2017-11-30,train_uci_2017-12-31,train_uci_2018-01-31,train_uci_2018-02-28,train_uci_2018-03-31,train_uci_2018-04-30,train_uci_2018-05-31,train_uci_2018-06-30,train_uci_2018-07-31,train_uci_2018-08-31,train_uci_2018-09-30,train_uci_2018-10-31,train_uci_2018-11-30,train_uci_2018-12-31,test_pred_2019-01-31,test_pred_2019-02-28,test_pred_2019-03-31,test_pred_2019-04-30,test_pred_2019-05-31,test_pred_2019-06-30,test_pred_2019-07-31,test_pred_2019-08-31,test_pred_2019-09-30,test_pred_2019-10-31,test_pred_2019-11-30,test_pred_2019-12-31,test_lci_2019-01-31,test_lci_2019-02-28,test_lci_2019-03-31,test_lci_2019-04-30,test_lci_2019-05-31,test_lci_2019-06-30,test_lci_2019-07-31,test_lci_2019-08-31,test_lci_2019-09-30,test_lci_2019-10-31,test_lci_2019-11-30,test_lci_2019-12-31,test_uci_2019-01-31,test_uci_2019-02-28,test_uci_2019-03-31,test_uci_2019-04-30,test_uci_2019-05-31,test_uci_2019-06-30,test_uci_2019-07-31,test_uci_2019-08-31,test_uci_2019-09-30,test_uci_2019-10-31,test_uci_2019-11-30,test_uci_2019-12-31
71646," ARIMA(0,1,0)(0,0,0)[12] intercept",10055.79364934845,302.2340096657539,318.02857142857135,60957.02857142857,61214.02857142857,61098.02857142857,61410.02857142857,61737.02857142857,62148.02857142857,62247.02857142857,62502.02857142857,62675.02857142857,63156.02857142857,63498.02857142857,63886.02857142857,64187.02857142857,64502.02857142857,65022.02857142857,65490.02857142857,66105.02857142857,66405.02857142857,66656.02857142857,66945.02857142857,67423.02857142857,67907.02857142857,68482.02857142857,69151.02857142857,69942.02857142857,70369.02857142857,71110.02857142857,71322.02857142857,71541.02857142857,71360.02857142857,71534.02857142857,71637.02857142857,71868.02857142857,71892.02857142857,72079.02857142857,-1687.9828094309873,60529.68463565324,60786.68463565324,60670.68463565324,60982.68463565324,61309.68463565324,61720.68463565324,61819.68463565324,62074.68463565324,62247.68463565324,62728.68463565324,63070.68463565324,63458.68463565324,63759.68463565324,64074.68463565324,64594.68463565324,65062.68463565324,65677.68463565325,65977.68463565325,66228.68463565325,66517.68463565325,66995.68463565325,67479.68463565325,68054.68463565325,68723.68463565325,69514.68463565325,69941.68463565325,70682.68463565325,70894.68463565325,71113.68463565325,70932.68463565325,71106.68463565325,71209.68463565325,71440.68463565325,71464.68463565325,71651.68463565325,2324.03995228813,61384.3725072039,61641.3725072039,61525.3725072039,61837.3725072039,62164.3725072039,62575.3725072039,62674.3725072039,62929.3725072039,63102.3725072039,63583.3725072039,63925.3725072039,64313.3725072039,64614.3725072039,64929.3725072039,65449.3725072039,65917.3725072039,66532.3725072039,66832.3725072039,67083.3725072039,67372.3725072039,67850.3725072039,68334.3725072039,68909.3725072039,69578.3725072039,70369.3725072039,70796.3725072039,71537.3725072039,71749.3725072039,71968.3725072039,71787.3725072039,71961.3725072039,72064.3725072039,72295.3725072039,72319.3725072039,72506.3725072039,72088.02857142857,72406.05714285714,72724.08571428571,73042.11428571428,73360.14285714286,73678.17142857143,73996.2,74314.22857142857,74632.25714285714,74950.28571428571,75268.31428571428,75586.34285714285,71660.68463565325,71801.70155308578,71983.90430521639,72187.42641416362,72404.57276697691,72631.39684124917,72865.55422164692,73105.51739188583,73350.22533553115,73598.90553297495,73850.97479431378,74105.98003900421,72515.3725072039,73010.41273262851,73464.26712335504,73896.80215726494,74315.7129473088,74724.94601589369,75126.84577835308,75522.9397509713,75914.28895018312,76301.66589559647,76685.65377711479,77066.7056752815
71602," ARIMA(0,1,0)(0,0,0)[12] intercept",14088.007774492899,1362.2749015830593,187.48571428571427,84898.4857142857,84852.48571428572,84781.4857142857,84925.4857142857,85152.4857142857,85519.4857142857,85810.4857142857,86005.4857142857,86255.4857142857,86432.4857142857,86564.4857142857,86652.4857142857,86919.4857142857,87191.4857142857,87508.4857142857,87723.4857142857,87964.4857142857,88132.4857142857,88339.4857142857,88601.4857142857,88669.4857142857,88751.4857142857,88680.4857142857,88858.4857142857,89096.4857142857,89364.4857142857,89543.4857142857,89586.4857142857,89728.4857142857,89728.4857142857,89811.4857142857,89793.4857142857,90043.4857142857,90283.4857142857,90884.4857142857,-1793.8154095019777,84608.49377917673,84562.49377917674,84491.49377917673,84635.49377917673,84862.49377917673,85229.49377917673,85520.49377917673,85715.49377917673,85965.49377917673,86142.49377917673,86274.49377917673,86362.49377917673,86629.49377917673,86901.49377917673,87218.49377917673,87433.49377917673,87674.49377917673,87842.49377917673,88049.49377917673,88311.49377917673,88379.49377917673,88461.49377917673,88390.49377917673,88568.49377917673,88806.49377917673,89074.49377917673,89253.49377917673,89296.49377917673,89438.49377917673,89438.49377917673,89521.49377917673,89503.49377917673,89753.49377917673,89993.49377917673,90594.49377917673,2168.786838073406,85188.47764939468,85142.4776493947,85071.47764939468,85215.47764939468,85442.47764939468,85809.47764939468,86100.47764939468,86295.47764939468,86545.47764939468,86722.47764939468,86854.47764939468,86942.47764939468,87209.47764939468,87481.47764939468,87798.47764939468,88013.47764939468,88254.47764939468,88422.47764939468,88629.47764939468,88891.47764939468,88959.47764939468,89041.47764939468,88970.47764939468,89148.47764939468,89386.47764939468,89654.47764939468,89833.47764939468,89876.47764939468,90018.47764939468,90018.47764939468,90101.47764939468,90083.47764939468,90333.47764939468,90573.47764939468,91174.47764939468,91460.4857142857,91647.97142857141,91835.45714285712,92022.94285714283,92210.42857142854,92397.91428571424,92585.39999999995,92772.88571428566,92960.37142857136,93147.85714285707,93335.34285714278,93522.82857142849,91170.49377917673,91237.86090096149,91333.17637746317,91442.95898692489,91561.98689159816,91687.58201517498,91818.15345748723,91952.6646590658,92090.39562324445,92230.82212483298,92373.54841615722,92518.26704064058,91750.47764939468,92058.08195618134,92337.73790825107,92602.92672736077,92858.87025125891,93108.2465562535,93352.64654251267,93593.10676950551,93830.34723389828,94064.89216088117,94297.13729812833,94527.39010221639
71631," ARIMA(0,1,0)(0,0,0)[12] intercept",6037.311533833026,1208.175626959191,118.51428571428569,36390.514285714286,36121.514285714286,35844.514285714286,35906.514285714286,36067.514285714286,36204.514285714286,36457.514285714286,36629.514285714286,36836.514285714286,37086.514285714286,37257.514285714286,37415.514285714286,37236.514285714286,36935.514285714286,36518.514285714286,36655.514285714286,36743.514285714286,37216.514285714286,37507.514285714286,37915.514285714286,37900.514285714286,37447.514285714286,37011.514285714286,37000.514285714286,37712.514285714286,38567.514285714286,39686.514285714286,40470.514285714286,41144.514285714286,41412.514285714286,41180.514285714286,41237.514285714286,41135.514285714286,41222.514285714286,40908.514285714286,-1979.2403360424762,35642.77393478508,35373.77393478508,35096.77393478508,35158.77393478508,35319.77393478508,35456.77393478508,35709.77393478508,35881.77393478508,36088.77393478508,36338.77393478508,36509.77393478508,36667.77393478508,36488.77393478508,36187.77393478508,35770.77393478508,35907.77393478508,35995.77393478508,36468.77393478508,36759.77393478508,37167.77393478508,37152.77393478508,36699.77393478508,36263.77393478508,36252.77393478508,36964.77393478508,37819.77393478508,38938.77393478508,39722.77393478508,40396.77393478508,40664.77393478508,40432.77393478508,40489.77393478508,40387.77393478508,40474.77393478508,40160.77393478508,2216.2689074710474,37138.25463664349,36869.25463664349,36592.25463664349,36654.25463664349,36815.25463664349,36952.25463664349,37205.25463664349,37377.25463664349,37584.25463664349,37834.25463664349,38005.25463664349,38163.25463664349,37984.25463664349,37683.25463664349,37266.25463664349,37403.25463664349,37491.25463664349,37964.25463664349,38255.25463664349,38663.25463664349,38648.25463664349,38195.25463664349,37759.25463664349,37748.25463664349,38460.25463664349,39315.25463664349,40434.25463664349,41218.25463664349,41892.25463664349,42160.25463664349,41928.25463664349,41985.25463664349,41883.25463664349,41970.25463664349,41656.25463664349,40538.514285714286,40657.02857142857,40775.54285714286,40894.05714285714,41012.57142857143,41131.08571428571,41249.6,41368.114285714284,41486.62857142857,41605.142857142855,41723.65714285714,41842.171428571426,39790.77393478508,39599.56402601087,39480.418578464094,39398.57644099873,39340.57317437418,39299.50339441953,39271.26498619316,39253.18519487889,39243.40751864096,39240.58024979297,39243.6829582163,39251.9228712139,41286.25463664349,41714.49311684627,42070.66713582162,42389.53784471555,42684.56968276868,42962.668034151895,43227.93501380684,43483.04337654968,43729.84962421618,43969.70546449274,44203.631327497984,44432.41998592895
71603," ARIMA(1,1,0)(0,0,0)[12] intercept",10334.368840298246,532.111353226766,129.36516029977193,62362.04311160764,62454.83474633449,62697.16941503833,62882.119229817625,62976.89755328474,63100.989609805605,63272.27409328875,63413.03979502631,63559.03979502631,63804.67988286337,64018.424648950844,64260.474834171546,64413.97698807606,64523.223908068045,64622.84736806404,64656.76793327272,64672.320272397934,64749.60475588107,64832.746997622635,64969.42895675987,64985.37045761863,64969.362143698105,65043.207280226976,65172.286715018294,65300.75531154317,65402.9394245849,65482.47082806003,65562.98129588508,65806.72175416353,65906.31596458891,66192.3116567799,66301.1109158971,66496.8138106844,66551.86830371413,66787.30334285936,-1833.2586358446226,62259.94616912255,62371.74254694692,62614.07721565076,62799.02703043006,62893.80535389717,63017.89741041804,63189.18189390118,63329.94759563874,63475.94759563874,63721.5876834758,63935.33244956328,64177.38263478398,64330.88478868849,64440.13170868048,64539.75516867647,64573.67573388515,64589.22807301037,64666.5125564935,64749.65479823507,64886.3367573723,64902.27825823106,64886.26994431054,64960.11508083941,65089.19451563073,65217.663112155606,65319.847225197336,65399.378628672464,65479.889096497514,65723.62955477597,65823.22376520134,66109.21945739233,66218.01871650953,66413.72161129683,66468.77610432656,66704.2111434718,2091.9889564441664,62464.140054092735,62537.92694572206,62780.261614425894,62965.21142920519,63059.98975267231,63184.08180919317,63355.36629267631,63496.131994413874,63642.131994413874,63887.77208225094,64101.51684833841,64343.56703355911,64497.069187463625,64606.31610745561,64705.939567451605,64739.86013266029,64755.4124717855,64832.696955268635,64915.8391970102,65052.521156147435,65068.462657006196,65052.45434308567,65126.29947961454,65255.37891440586,65383.84751093074,65486.03162397247,65565.5630274476,65646.07349527265,65889.8139535511,65989.40816397648,66275.40385616747,66384.20311528466,66579.90601007197,66634.9605031017,66870.39554224693,67031.82212460494,67192.85883975361,67340.64381833274,67480.72173672296,67616.31731602926,67749.3060175935,67880.77858853154,68011.36939503599,68141.44737731348,68271.22710681763,68400.8333758803,68530.33876231105,66948.72992521737,67037.37597551061,67117.88254552174,67196.90396231976,67277.32369624171,67360.25429637637,67445.98682486256,67534.44584640618,67625.40882823055,67718.61039910412,67813.78970242855,67910.70973495497,67114.9143239925,67348.3417039966,67563.40509114374,67764.53951112616,67955.31093581681,68138.35773881062,68315.57035220052,68488.2929436658,68657.48592639642,68823.84381453115,68987.87704933206,69149.96778966712
71644," ARIMA(0,1,0)(0,0,0)[12] intercept",6800.4414384625925,2914.1888100135425,287.02857142857135,41221.02857142857,41265.02857142857,41399.02857142857,41637.02857142857,41712.02857142857,41469.02857142857,40554.02857142857,39502.02857142857,38998.02857142857,39242.02857142857,39725.02857142857,40162.02857142857,40680.02857142857,41276.02857142857,41610.02857142857,41214.02857142857,41078.02857142857,41310.02857142857,42192.02857142857,43160.02857142857,43517.02857142857,43754.02857142857,43423.02857142857,43392.02857142857,43089.02857142857,43107.02857142857,43639.02857142857,44987.02857142857,46650.02857142857,48200.02857142857,49322.02857142857,49873.02857142857,50591.02857142857,50620.02857142857,51187.02857142857,-2000.5788899077606,40041.329848674526,40085.329848674526,40219.329848674526,40457.329848674526,40532.329848674526,40289.329848674526,39374.329848674526,38322.329848674526,37818.329848674526,38062.329848674526,38545.329848674526,38982.329848674526,39500.329848674526,40096.329848674526,40430.329848674526,40034.329848674526,39898.329848674526,40130.329848674526,41012.329848674526,41980.329848674526,42337.329848674526,42574.329848674526,42243.329848674526,42212.329848674526,41909.329848674526,41927.329848674526,42459.329848674526,43807.329848674526,45470.329848674526,47020.329848674526,48142.329848674526,48693.329848674526,49411.329848674526,49440.329848674526,50007.329848674526,2574.6360327649036,42400.727294182616,42444.727294182616,42578.727294182616,42816.727294182616,42891.727294182616,42648.727294182616,41733.727294182616,40681.727294182616,40177.727294182616,40421.727294182616,40904.727294182616,41341.727294182616,41859.727294182616,42455.727294182616,42789.727294182616,42393.727294182616,42257.727294182616,42489.727294182616,43371.727294182616,44339.727294182616,44696.727294182616,44933.727294182616,44602.727294182616,44571.727294182616,44268.727294182616,44286.727294182616,44818.727294182616,46166.727294182616,47829.727294182616,49379.727294182616,50501.727294182616,51052.727294182616,51770.727294182616,51799.727294182616,52366.727294182616,51267.02857142857,51554.05714285714,51841.08571428571,52128.114285714284,52415.142857142855,52702.171428571426,52989.2,53276.22857142857,53563.25714285714,53850.28571428571,54137.31428571428,54424.34285714285,50087.329848674526,49885.71120962415,49797.78758885159,49768.71684020619,49777.256320095126,49812.51150761097,49868.01055761225,49939.536704962586,50024.160974595,50119.75079759141,50224.696256677606,50337.74660627461,52446.727294182616,53222.40307609014,53884.383839719834,54487.51173122238,55053.029394190584,55591.83134953188,56110.38944238774,56612.92043789455,57102.35331111928,57580.82063098001,58049.93231475096,58510.939108011095
71635," ARIMA(0,1,0)(0,0,0)[12] intercept",8136.1838984341,334.0499830211841,218.85714285714283,49245.85714285714,49193.857142857145,49149.857142857145,49417.857142857145,49613.857142857145,49856.857142857145,49886.857142857145,50188.857142857145,50375.857142857145,50619.857142857145,50703.857142857145,50822.857142857145,50955.857142857145,51131.857142857145,51295.857142857145,51297.857142857145,51441.857142857145,51486.857142857145,51811.857142857145,52105.857142857145,52531.857142857145,52860.857142857145,53154.857142857145,53405.857142857145,53959.857142857145,54444.857142857145,55119.857142857145,55430.857142857145,55658.857142857145,55700.857142857145,55846.857142857145,55938.857142857145,56126.857142857145,56286.857142857145,56664.857142857145,-1765.4489115916008,48935.99959973802,48883.999599738025,48839.999599738025,49107.999599738025,49303.999599738025,49546.999599738025,49576.999599738025,49878.999599738025,50065.999599738025,50309.999599738025,50393.999599738025,50512.999599738025,50645.999599738025,50821.999599738025,50985.999599738025,50987.999599738025,51131.999599738025,51176.999599738025,51501.999599738025,51795.999599738025,52221.999599738025,52550.999599738025,52844.999599738025,53095.999599738025,53649.999599738025,54134.999599738025,54809.999599738025,55120.999599738025,55348.999599738025,55390.999599738025,55536.999599738025,55628.999599738025,55816.999599738025,55976.999599738025,56354.999599738025,2203.1631973058866,49555.71468597626,49503.714685976265,49459.714685976265,49727.714685976265,49923.714685976265,50166.714685976265,50196.714685976265,50498.714685976265,50685.714685976265,50929.714685976265,51013.714685976265,51132.714685976265,51265.714685976265,51441.714685976265,51605.714685976265,51607.714685976265,51751.714685976265,51796.714685976265,52121.714685976265,52415.714685976265,52841.714685976265,53170.714685976265,53464.714685976265,53715.714685976265,54269.714685976265,54754.714685976265,55429.714685976265,55740.714685976265,55968.714685976265,56010.714685976265,56156.714685976265,56248.714685976265,56436.714685976265,56596.714685976265,56974.714685976265,56905.857142857145,57124.71428571429,57343.571428571435,57562.42857142858,57781.285714285725,58000.14285714287,58219.000000000015,58437.85714285716,58656.714285714304,58875.57142857145,59094.428571428594,59313.28571428574,56595.999599738025,56686.50954583163,56806.88242078066,56942.71348519035,57088.42318453031,57241.149983548596,57399.193999049356,57561.447663091836,57727.14165635695,57895.715842131205,58066.747362441114,58239.90769870419,57215.714685976265,57562.91902559695,57880.26043636221,58182.14365766681,58474.14824404114,58759.13573073714,59038.80600095067,59314.26662262248,59586.28691507166,59855.42701501169,60122.109780416074,60386.66372986729
71652," ARIMA(0,1,0)(0,0,0)[12]          ",10165.065160746497,2757.4384399293485,0.0,60957.0,60619.0,60394.0,60247.0,60410.0,60667.0,60235.0,59771.0,59235.0,59410.0,59403.0,59727.0,59939.0,60390.0,60938.0,61362.0,61769.0,61602.0,61710.0,61599.0,62236.0,62604.0,63001.0,63083.0,63221.0,63226.0,62938.0,62629.0,62480.0,62642.0,62750.0,62872.0,62302.0,62144.0,62517.0,-2070.7580696766554,60288.73346452417,59950.73346452417,59725.73346452417,59578.73346452417,59741.73346452417,59998.73346452417,59566.73346452417,59102.73346452417,58566.73346452417,58741.73346452417,58734.73346452417,59058.73346452417,59270.73346452417,59721.73346452417,60269.73346452417,60693.73346452417,61100.73346452417,60933.73346452417,61041.73346452417,60930.73346452417,61567.73346452417,61935.73346452417,62332.73346452417,62414.73346452417,62552.73346452417,62557.73346452417,62269.73346452417,61960.73346452417,61811.73346452417,61973.73346452417,62081.73346452417,62203.73346452417,61633.73346452417,61475.73346452417,61848.73346452417,2070.7580696766554,61625.26653547583,61287.26653547583,61062.26653547583,60915.26653547583,61078.26653547583,61335.26653547583,60903.26653547583,60439.26653547583,59903.26653547583,60078.26653547583,60071.26653547583,60395.26653547583,60607.26653547583,61058.26653547583,61606.26653547583,62030.26653547583,62437.26653547583,62270.26653547583,62378.26653547583,62267.26653547583,62904.26653547583,63272.26653547583,63669.26653547583,63751.26653547583,63889.26653547583,63894.26653547583,63606.26653547583,63297.26653547583,63148.26653547583,63310.26653547583,63418.26653547583,63540.26653547583,62970.26653547583,62812.26653547583,63185.26653547583,63262.0,63262.0,63262.0,63262.0,63262.0,63262.0,63262.0,63262.0,63262.0,63262.0,63262.0,63262.0,62593.73346452417,62316.92840225001,62104.52840755784,61925.46692904835,61767.71059958778,61625.08797590672,61493.932937624246,61371.856804500014,61257.20039357252,61148.755663826676,61045.61064187596,60947.056815115684,63930.26653547583,64207.07159774999,64419.47159244216,64598.53307095165,64756.28940041222,64898.91202409328,65030.067062375754,65152.143195499986,65266.79960642748,65375.244336173324,65478.38935812404,65576.94318488432
71651," ARIMA(1,1,0)(0,0,0)[12] intercept",7877.511673100241,1516.8682529794428,180.35999109607346,48580.681482619526,47986.86591948823,48353.60859378723,48630.585578179685,48898.17493807287,49385.89610441479,49800.3996890743,50538.23203603044,51700.732348794394,52305.50131059648,52560.76190819304,52350.47050014201,51992.21795398702,51898.407740515875,51632.0646395812,52382.44094074336,53170.05092647107,54530.21920504285,55360.073942078605,56341.15493776626,56766.89610441479,57720.04136737904,57837.50458249204,58750.751466978465,58878.94540752542,59352.13280428127,59440.86202206476,59550.15670201135,60010.545834161094,59965.92956123691,59962.105891250256,59034.25380058214,57316.16262027454,55654.01647518775,55131.23707217108,-2105.9585804790895,47404.697611092815,46814.25263280158,47180.99530710058,47457.97229149304,47725.561651386226,48213.28281772814,48627.786402387654,49365.61874934379,50528.11906210775,51132.888023909836,51388.14862150639,51177.85721345536,50819.60466730037,50725.79445382923,50459.45135289455,51209.82765405672,51997.437639784424,53357.6059183562,54187.46065539196,55168.54165107961,55594.28281772814,56547.42808069239,56664.89129580539,57578.13818029182,57706.33212083877,58179.51951759462,58268.24873537811,58377.543415324704,58837.93254747445,58793.31627455026,58789.49260456361,57861.640513895494,56143.54933358789,54481.403188501106,53958.62378548444,2466.6785626712363,49756.66535414624,49159.479206174874,49526.22188047387,49803.19886486633,50070.78822475952,50558.509391101434,50973.01297576095,51710.84532271708,52873.34563548104,53478.11459728313,53733.375194879685,53523.083786828654,53164.831240673666,53071.02102720252,52804.67792626785,53555.05422743001,54342.66421315772,55702.832491729496,56532.68722876525,57513.768224452906,57939.509391101434,58892.654654065685,59010.117869178684,59923.36475366511,60051.558694212064,60524.746090967914,60613.475308751404,60722.769988698,61183.15912084774,61138.542847923556,61134.7191779369,60206.86708726879,58488.775906961186,56826.6297618744,56303.85035885773,55059.23141050252,55237.28777511612,55417.44466696799,55597.78675181784,55778.14516420959,55958.50501611919,56138.864994943884,56319.224984958055,56499.58497595874,56679.94496704641,56860.30495814174,57040.664949237755,53886.618123815875,53504.31645013658,53259.968988176486,53086.15797944363,52956.4366223809,52857.56722801766,52781.843599008,52724.316048037996,52681.58184765537,52651.18268668143,52631.27396561703,52620.42957543864,56231.84469718917,56970.25910009566,57574.92034575949,58109.415524192045,58599.85370603829,59059.44280422072,59495.886390879765,59914.133921878114,60317.58810426212,60708.70724741139,61089.33595066646,61460.90032303687
71653," ARIMA(0,1,1)(0,0,0)[12] intercept",14597.156668567908,662.2748087235626,235.28587231205137,88372.29498740502,88325.07043773122,88572.47637257802,88730.25287499922,88749.09573377951,88902.45110886992,89228.76852146635,89634.06974588813,89903.46121010989,90233.42958386238,90452.31661121958,90580.9802989542,90688.07488376953,90757.19991714176,90948.28212427182,90976.85784547207,91258.71904616042,91162.20919383006,91194.53726583938,91224.02253256777,91585.0540377728,92033.96616533148,92412.1618797405,92719.2948935171,92998.1802184488,93233.24602628006,93583.01473698007,93961.15114062096,94619.97364117188,95106.83799496607,95364.30146471321,95308.59777157099,95411.2750659342,95636.45626749571,96128.83677959218,-1742.0529777131412,88110.843421229,88069.39877089892,88317.07687688565,88474.86666047446,88493.71016844198,88647.06557526746,88973.38298941526,89378.68421391287,89648.07567813834,89978.04405189102,90196.93107924821,90325.59476698283,90432.68935179817,90501.8143851704,90692.89659230046,90721.47231350071,91003.33351418906,90906.8236618587,90939.15173386801,90968.63700059641,91329.66850580144,91778.58063336012,92156.77634776913,92463.90936154574,92742.79468647744,92977.8604943087,93327.6292050087,93705.7656086496,94364.58810920051,94851.45246299471,95108.91593274185,95053.21223959963,95155.88953396284,95381.07073552435,95873.45124762082,2212.624722337244,88633.74655358105,88580.74210456353,88827.87586827039,88985.63908952397,89004.48129911705,89157.83664247238,89484.15405351744,89889.4552778634,90158.84674208144,90488.81511583374,90707.70214319094,90836.36583092556,90943.46041574089,91012.58544911312,91203.66765624318,91232.24337744343,91514.10457813178,91417.59472580142,91449.92279781074,91479.40806453914,91840.43956974417,92289.35169730285,92667.54741171186,92974.68042548846,93253.56575042017,93488.63155825142,93838.40026895143,94216.53667259232,94875.35917314324,95362.22352693744,95619.68699668457,95563.98330354235,95666.66059790556,95891.84179946707,96384.22231156354,96656.16450596027,96891.45037827232,97126.73625058436,97362.02212289641,97597.30799520845,97832.5938675205,98067.87973983254,98303.16561214458,98538.45148445663,98773.73735676867,99009.02322908072,99244.30910139276,96400.77897398891,96488.37129118654,96617.10527531744,96764.5485155654,96923.34531674418,97089.97911378318,97262.44342765513,97439.46506596,97620.1761368701,97803.95356927231,97990.33212035522,98178.95350089968,96911.55003793164,97294.5294653581,97636.36722585128,97959.49573022741,98271.27067367273,98575.20862125781,98873.31605200995,99166.86615832917,99456.72683204316,99743.52114426503,100027.71433780622,100309.66470188585
71660," ARIMA(0,1,0)(0,0,0)[12]          ",11839.738476606839,2386.3557991213297,0.0,70918.0,70861.0,70469.0,70107.0,69996.0,69901.0,69233.0,68570.0,67992.0,68275.0,68596.0,68757.0,68784.0,68684.0,69023.0,69337.0,69411.0,69115.0,68976.0,69337.0,70587.0,71948.0,72905.0,73837.0,74249.0,75024.0,75349.0,75730.0,75891.0,75917.0,75981.0,75766.0,75006.0,73280.0,71371.0,-2390.8626245140895,69548.77932070674,69491.77932070674,69099.77932070674,68737.77932070674,68626.77932070674,68531.77932070674,67863.77932070674,67200.77932070674,66622.77932070674,66905.77932070674,67226.77932070674,67387.77932070674,67414.77932070674,67314.77932070674,67653.77932070674,67967.77932070674,68041.77932070674,67745.77932070674,67606.77932070674,67967.77932070674,69217.77932070674,70578.77932070674,71535.77932070674,72467.77932070674,72879.77932070674,73654.77932070674,73979.77932070674,74360.77932070674,74521.77932070674,74547.77932070674,74611.77932070674,74396.77932070674,73636.77932070674,71910.77932070674,70001.77932070674,2390.8626245140895,72287.22067929326,72230.22067929326,71838.22067929326,71476.22067929326,71365.22067929326,71270.22067929326,70602.22067929326,69939.22067929326,69361.22067929326,69644.22067929326,69965.22067929326,70126.22067929326,70153.22067929326,70053.22067929326,70392.22067929326,70706.22067929326,70780.22067929326,70484.22067929326,70345.22067929326,70706.22067929326,71956.22067929326,73317.22067929326,74274.22067929326,75206.22067929326,75618.22067929326,76393.22067929326,76718.22067929326,77099.22067929326,77260.22067929326,77286.22067929326,77350.22067929326,77135.22067929326,76375.22067929326,74649.22067929326,72740.22067929326,70191.0,70191.0,70191.0,70191.0,70191.0,70191.0,70191.0,70191.0,70191.0,70191.0,70191.0,70191.0,68821.77932070674,68254.62954546178,67819.44021669011,67452.55864141349,67129.32948490186,66837.10799046456,66568.38259262314,66318.25909092356,66083.33796212025,65861.14403403038,65649.80875158875,65447.88043338023,71560.22067929326,72127.37045453822,72562.55978330989,72929.44135858651,73252.67051509814,73544.89200953544,73813.61740737686,74063.74090907644,74298.66203787975,74520.85596596962,74732.19124841125,74934.11956661977
