zip_code,model_order,train_rmse,test_rmse,train_pred_2016-01-31,train_pred_2016-02-29,train_pred_2016-03-31,train_pred_2016-04-30,train_pred_2016-05-31,train_pred_2016-06-30,train_pred_2016-07-31,train_pred_2016-08-31,train_pred_2016-09-30,train_pred_2016-10-31,train_pred_2016-11-30,train_pred_2016-12-31,train_pred_2017-01-31,train_pred_2017-02-28,train_pred_2017-03-31,train_pred_2017-04-30,train_pred_2017-05-31,train_pred_2017-06-30,train_pred_2017-07-31,train_pred_2017-08-31,train_pred_2017-09-30,train_pred_2017-10-31,train_pred_2017-11-30,train_pred_2017-12-31,train_pred_2018-01-31,train_pred_2018-02-28,train_pred_2018-03-31,train_pred_2018-04-30,train_pred_2018-05-31,train_pred_2018-06-30,train_pred_2018-07-31,train_pred_2018-08-31,train_pred_2018-09-30,train_pred_2018-10-31,train_pred_2018-11-30,train_pred_2018-12-31,train_lci_2016-01-31,train_lci_2016-02-29,train_lci_2016-03-31,train_lci_2016-04-30,train_lci_2016-05-31,train_lci_2016-06-30,train_lci_2016-07-31,train_lci_2016-08-31,train_lci_2016-09-30,train_lci_2016-10-31,train_lci_2016-11-30,train_lci_2016-12-31,train_lci_2017-01-31,train_lci_2017-02-28,train_lci_2017-03-31,train_lci_2017-04-30,train_lci_2017-05-31,train_lci_2017-06-30,train_lci_2017-07-31,train_lci_2017-08-31,train_lci_2017-09-30,train_lci_2017-10-31,train_lci_2017-11-30,train_lci_2017-12-31,train_lci_2018-01-31,train_lci_2018-02-28,train_lci_2018-03-31,train_lci_2018-04-30,train_lci_2018-05-31,train_lci_2018-06-30,train_lci_2018-07-31,train_lci_2018-08-31,train_lci_2018-09-30,train_lci_2018-10-31,train_lci_2018-11-30,train_lci_2018-12-31,train_uci_2016-01-31,train_uci_2016-02-29,train_uci_2016-03-31,train_uci_2016-04-30,train_uci_2016-05-31,train_uci_2016-06-30,train_uci_2016-07-31,train_uci_2016-08-31,train_uci_2016-09-30,train_uci_2016-10-31,train_uci_2016-11-30,train_uci_2016-12-31,train_uci_2017-01-31,train_uci_2017-02-28,train_uci_2017-03-31,train_uci_2017-04-30,train_uci_2017-05-31,train_uci_2017-06-30,train_uci_2017-07-31,train_uci_2017-08-31,train_uci_2017-09-30,train_uci_2017-10-31,train_uci_2017-11-30,train_uci_2017-12-31,train_uci_2018-01-31,train_uci_2018-02-28,train_uci_2018-03-31,train_uci_2018-04-30,train_uci_2018-05-31,train_uci_2018-06-30,train_uci_2018-07-31,train_uci_2018-08-31,train_uci_2018-09-30,train_uci_2018-10-31,train_uci_2018-11-30,train_uci_2018-12-31,test_pred_2019-01-31,test_pred_2019-02-28,test_pred_2019-03-31,test_pred_2019-04-30,test_pred_2019-05-31,test_pred_2019-06-30,test_pred_2019-07-31,test_pred_2019-08-31,test_pred_2019-09-30,test_pred_2019-10-31,test_pred_2019-11-30,test_pred_2019-12-31,test_lci_2019-01-31,test_lci_2019-02-28,test_lci_2019-03-31,test_lci_2019-04-30,test_lci_2019-05-31,test_lci_2019-06-30,test_lci_2019-07-31,test_lci_2019-08-31,test_lci_2019-09-30,test_lci_2019-10-31,test_lci_2019-11-30,test_lci_2019-12-31,test_uci_2019-01-31,test_uci_2019-02-28,test_uci_2019-03-31,test_uci_2019-04-30,test_uci_2019-05-31,test_uci_2019-06-30,test_uci_2019-07-31,test_uci_2019-08-31,test_uci_2019-09-30,test_uci_2019-10-31,test_uci_2019-11-30,test_uci_2019-12-31
85003," ARIMA(0,1,0)(0,0,0)[12] intercept",60892.45401750841,6399.149719240304,2079.857142857142,369456.85714285716,371250.85714285716,373432.85714285716,376631.85714285716,379980.85714285716,382385.85714285716,384354.85714285716,387409.85714285716,390100.85714285716,392035.85714285716,394549.85714285716,396625.85714285716,398711.85714285716,401076.85714285716,400764.85714285716,400181.85714285716,399182.85714285716,402708.85714285716,405953.85714285716,408117.85714285716,408751.85714285716,410899.85714285716,413782.85714285716,416934.85714285716,419818.85714285716,422426.85714285716,425500.85714285716,428741.85714285716,431258.85714285716,432511.85714285716,432990.85714285716,434725.85714285716,437244.85714285716,439262.85714285716,440605.85714285716,-828.5951885454392,367307.9885700154,369101.9885700154,371283.9885700154,374482.9885700154,377831.9885700154,380236.9885700154,382205.9885700154,385260.9885700154,387951.9885700154,389886.9885700154,392400.9885700154,394476.9885700154,396562.9885700154,398927.9885700154,398615.9885700154,398032.9885700154,397033.9885700154,400559.9885700154,403804.9885700154,405968.9885700154,406602.9885700154,408750.9885700154,411633.9885700154,414785.9885700154,417669.9885700154,420277.9885700154,423351.9885700154,426592.9885700154,429109.9885700154,430362.9885700154,430841.9885700154,432576.9885700154,435095.9885700154,437113.9885700154,438456.9885700154,4988.309474259724,371605.7257156989,373399.7257156989,375581.7257156989,378780.7257156989,382129.7257156989,384534.7257156989,386503.7257156989,389558.7257156989,392249.7257156989,394184.7257156989,396698.7257156989,398774.7257156989,400860.7257156989,403225.7257156989,402913.7257156989,402330.7257156989,401331.7257156989,404857.7257156989,408102.7257156989,410266.7257156989,410900.7257156989,413048.7257156989,415931.7257156989,419083.7257156989,421967.7257156989,424575.7257156989,427649.7257156989,430890.7257156989,433407.7257156989,434660.7257156989,435139.7257156989,436874.7257156989,439393.7257156989,441411.7257156989,442754.7257156989,442251.85714285716,444331.7142857143,446411.5714285715,448491.42857142864,450571.2857142858,452651.14285714296,454731.0000000001,456810.8571428573,458890.71428571444,460970.5714285716,463050.42857142875,465130.2857142859,440102.9885700154,441292.7552062442,442689.62188162154,444193.69142574514,445766.2695106987,447387.51132937794,449045.62815609854,450732.938983917,452444.10856718913,454175.2523460362,455923.43779152614,457686.38662038604,444400.7257156989,447370.67336518446,450133.5209755214,452789.16571711213,455376.3019178729,457914.77438490797,460416.3718439017,462888.77530179755,465337.32000423974,467765.890511107,470177.41935133137,472574.1848081858
85014," ARIMA(0,1,0)(0,0,0)[12] intercept",42678.59934655393,4749.539362018292,1920.428571428571,259843.42857142858,261514.42857142858,263336.4285714286,265302.4285714286,267017.4285714286,269073.4285714286,269445.4285714286,270909.4285714286,273145.4285714286,276371.4285714286,280191.4285714286,283232.4285714286,284984.4285714286,286458.4285714286,287389.4285714286,289012.4285714286,290580.4285714286,293418.4285714286,296779.4285714286,299439.4285714286,302563.4285714286,305864.4285714286,309446.4285714286,311961.4285714286,314166.4285714286,316466.4285714286,318494.4285714286,320486.4285714286,322416.4285714286,323829.4285714286,325158.4285714286,326243.4285714286,327146.4285714286,327626.4285714286,327019.4285714286,-858.2158340138426,257873.80781828795,259544.80781828795,261366.80781828795,263332.8078182879,265047.8078182879,267103.8078182879,267475.8078182879,268939.8078182879,271175.8078182879,274401.8078182879,278221.8078182879,281262.8078182879,283014.8078182879,284488.8078182879,285419.8078182879,287042.8078182879,288610.8078182879,291448.8078182879,294809.8078182879,297469.8078182879,300593.8078182879,303894.8078182879,307476.8078182879,309991.8078182879,312196.8078182879,314496.8078182879,316524.8078182879,318516.8078182879,320446.8078182879,321859.8078182879,323188.8078182879,324273.8078182879,325176.8078182879,325656.8078182879,325049.8078182879,4699.072976870984,261813.0493245692,263484.04932456923,265306.04932456923,267272.04932456923,268987.04932456923,271043.04932456923,271415.04932456923,272879.04932456923,275115.04932456923,278341.04932456923,282161.04932456923,285202.04932456923,286954.04932456923,288428.04932456923,289359.04932456923,290982.04932456923,292550.04932456923,295388.04932456923,298749.04932456923,301409.04932456923,304533.04932456923,307834.04932456923,311416.04932456923,313931.04932456923,316136.04932456923,318436.04932456923,320464.04932456923,322456.04932456923,324386.04932456923,325799.04932456923,327128.04932456923,328213.04932456923,329116.04932456923,329596.04932456923,328989.04932456923,327058.4285714286,328978.85714285716,330899.28571428574,332819.7142857143,334740.1428571429,336660.5714285715,338581.00000000006,340501.42857142864,342421.8571428572,344342.2857142858,346262.7142857144,348183.14285714296,325088.8078182879,326193.39276103413,327487.80249820405,328880.47277943307,330335.9369632261,331836.0055965806,333369.87331007817,334930.49980778265,336512.9948834353,338113.79800762516,339730.2212682497,341360.17642497964,329028.04932456923,331764.3215246802,334310.7689303674,336758.95579199557,339144.3487510597,341485.13726056233,343792.12668992195,346072.35733507463,348330.7194022791,350570.77342094644,352795.2073031791,355006.1092893063
85009," ARIMA(0,1,0)(0,0,0)[12] intercept",15946.275906310584,2012.4489390573656,1364.0285714285712,98311.02857142857,99514.02857142857,100152.02857142857,101802.02857142857,103796.02857142857,105870.02857142857,107226.02857142857,108585.02857142857,110636.02857142857,112770.02857142857,114456.02857142857,115463.02857142857,116356.02857142857,117613.02857142857,119241.02857142857,120600.02857142857,121783.02857142857,123713.02857142857,125882.02857142857,128012.02857142857,129793.02857142857,131716.0285714286,134026.0285714286,135439.0285714286,136895.0285714286,138899.0285714286,141150.0285714286,143034.0285714286,143680.0285714286,143861.0285714286,143985.02857142856,143856.0285714286,143703.0285714286,143600.0285714286,144405.0285714286,-1050.3171085771935,96901.20367383726,98104.20367383726,98742.20367383726,100392.20367383726,102386.20367383726,104460.20367383726,105816.20367383726,107175.20367383726,109226.20367383726,111360.20367383726,113046.20367383726,114053.20367383726,114946.20367383726,116203.20367383726,117831.20367383726,119190.20367383726,120373.20367383726,122303.20367383726,124472.20367383726,126602.20367383726,128383.20367383726,130306.20367383727,132616.20367383727,134029.20367383727,135485.20367383727,137489.20367383727,139740.20367383727,141624.20367383727,142270.20367383727,142451.20367383727,142575.20367383724,142446.20367383727,142293.20367383727,142190.20367383727,142995.20367383727,3778.3742514343357,99720.85346901989,100923.85346901989,101561.85346901989,103211.85346901989,105205.85346901989,107279.85346901989,108635.85346901989,109994.85346901989,112045.85346901989,114179.85346901989,115865.85346901989,116872.85346901989,117765.85346901989,119022.85346901989,120650.85346901989,122009.85346901989,123192.85346901989,125122.85346901989,127291.85346901989,129421.85346901989,131202.8534690199,133125.8534690199,135435.8534690199,136848.8534690199,138304.8534690199,140308.8534690199,142559.8534690199,144443.8534690199,145089.8534690199,145270.8534690199,145394.85346901987,145265.8534690199,145112.8534690199,145009.8534690199,145814.8534690199,146052.0285714286,147416.05714285717,148780.08571428576,150144.11428571434,151508.14285714293,152872.1714285715,154236.2000000001,155600.22857142868,156964.25714285727,158328.28571428586,159692.31428571444,161056.34285714303,144642.20367383727,145422.26365211228,146338.197361882,147324.4644905317,148355.67854975705,149418.81980280124,150506.15392882636,151612.64158993887,152734.78245008332,153870.02793588364,155016.45408030282,156172.56615233552,147461.8534690199,149409.85063360207,151221.97406668952,152963.76408089697,154660.6071645288,156325.5230543418,157966.24607117384,159587.8155529185,161193.73183563122,162786.54349268807,164368.17449112606,165940.11956195053
85017," ARIMA(0,2,0)(1,0,0)[12]          ",24018.230427832823,5852.148389681721,0.0,196461.51613482466,129400.00000000003,130638.99999999997,132595.0,134786.0,136217.0,137612.0,138546.0,141382.0,143024.0,144234.0,143037.7932398132,143763.17597983466,144341.8200746658,146475.93652324428,148003.39674724164,149867.09986693648,150764.8268463095,152291.86222370548,152570.38421673904,153138.4597176049,154507.5528128977,155918.2902972036,157947.0062652513,159315.2687809454,160805.7076772267,159941.84190877425,160445.10138611376,159199.31516966663,160722.82058105821,161012.1778997645,161791.294348343,162941.5407887875,163305.6624898325,164410.138282687,-2917.915899470035,194746.99527249075,128488.23492335377,129727.23492335371,131683.23492335374,133874.23492335374,135305.23492335374,136700.23492335374,137634.23492335374,140470.23492335374,142112.23492335374,143322.23492335374,142126.15998689,142851.65113842703,143430.9046771571,145565.02112573557,147092.48134973293,148956.18446942777,149853.9114488008,151380.94682619677,151659.46881923033,152227.5443200962,153596.63741538898,155007.3748996949,157036.09086774258,158404.35338343668,159894.79227971798,159030.92651126554,159534.18598860505,158288.39977215792,159811.9051835495,160101.2625022558,160880.3789508343,162030.6253912788,162394.74709232379,163499.2228851783,2917.915899470035,198176.03699715858,130311.76507664629,131550.76507664623,133506.76507664626,135697.76507664626,137128.76507664626,138523.76507664626,139457.76507664626,142293.76507664626,143935.76507664626,145145.76507664626,143949.4264927364,144674.7008212423,145252.7354721745,147386.851920753,148914.31214475035,150778.0152644452,151675.7422438182,153202.7776212142,153481.29961424775,154049.37511511362,155418.4682104064,156829.20569471232,158857.92166276,160226.1841784541,161716.6230747354,160852.75730628296,161356.01678362247,160110.23056717534,161633.73597856693,161923.0932972732,162702.20974585172,163852.45618629621,164216.5778873412,165321.0536801957,164916.87728617014,165598.44516153255,166331.80722631284,167060.8099468171,167826.0254380894,168548.59704674094,169277.55660542072,169998.1859319691,170706.51413853077,171426.28022858888,172135.38534799177,172852.82069952606,164005.96188866143,163561.57641095182,162923.47390049824,162071.52083487404,161070.49604521313,159859.01797816233,158499.46027078983,156987.71170043686,155328.4923052695,153552.82948045112,151644.85017006783,149628.9437638808,165827.79268367885,167635.31391211328,169740.14055212744,172050.09905876018,174581.55483096564,177238.17611531954,180055.6529400516,183008.66016350136,186084.53597179204,189299.73097672663,192625.92052591572,196076.69763517132
85013," ARIMA(0,1,0)(0,0,0)[12] intercept",44972.126357314664,6280.773220819422,1982.628571428571,273748.6285714286,275485.6285714286,276934.6285714286,278760.6285714286,280067.6285714286,282119.6285714286,281882.6285714286,283475.6285714286,285947.6285714286,289752.6285714286,293175.6285714286,295503.6285714286,296767.6285714286,298081.6285714286,299776.6285714286,301359.6285714286,302665.6285714286,304478.6285714286,307803.6285714286,310467.6285714286,313349.6285714286,316051.6285714286,319063.6285714286,321162.6285714286,324193.6285714286,327663.6285714286,330104.6285714286,332268.6285714286,334112.6285714286,336295.6285714286,337700.6285714286,338897.6285714286,339971.6285714286,340545.6285714286,341446.6285714286,-618.6097593986324,272038.3706864678,273775.3706864678,275224.3706864678,277050.3706864678,278357.3706864678,280409.3706864678,280172.3706864678,281765.3706864678,284237.3706864678,288042.3706864678,291465.3706864678,293793.3706864678,295057.3706864678,296371.3706864678,298066.3706864678,299649.3706864678,300955.3706864678,302768.3706864678,306093.3706864678,308757.3706864678,311639.3706864678,314341.3706864678,317353.3706864678,319452.3706864678,322483.3706864678,325953.3706864678,328394.3706864678,330558.3706864678,332402.3706864678,334585.3706864678,335990.3706864678,337187.3706864678,338261.3706864678,338835.3706864678,339736.3706864678,4583.866902255774,275458.8864563894,277195.8864563894,278644.8864563894,280470.8864563894,281777.8864563894,283829.8864563894,283592.8864563894,285185.8864563894,287657.8864563894,291462.8864563894,294885.8864563894,297213.8864563894,298477.8864563894,299791.8864563894,301486.8864563894,303069.8864563894,304375.8864563894,306188.8864563894,309513.8864563894,312177.8864563894,315059.8864563894,317761.8864563894,320773.8864563894,322872.8864563894,325903.8864563894,329373.8864563894,331814.8864563894,333978.8864563894,335822.8864563894,338005.8864563894,339410.8864563894,340607.8864563894,341681.8864563894,342255.8864563894,343156.8864563894,343140.6285714286,345123.2571428572,347105.8857142858,349088.51428571437,351071.14285714296,353053.77142857155,355036.40000000014,357019.02857142873,359001.6571428573,360984.2857142859,362966.9142857145,364949.5428571431,341430.3706864678,342704.5872467901,344143.63216348836,345667.9985157928,347246.8899673156,348864.512281846,350511.48295860656,352181.68877929455,353870.88348797493,355575.9754115476,357294.6305865527,359025.03575554834,344850.8864563894,347541.92703892424,350068.1392650832,352509.03005563596,354895.3957469703,357243.0305752971,359561.3170413937,361856.3683635629,364132.4307977397,366392.59601702425,368639.1979848763,370874.04995873786
85012," ARIMA(0,1,0)(0,0,0)[12] intercept",77826.33006754173,7158.785901178201,2386.5142857142855,471702.51428571425,474135.5142857143,474816.5142857143,476533.5142857143,478280.5142857143,480473.5142857143,481778.5142857143,483553.5142857143,484661.5142857143,486862.5142857143,490137.5142857143,492943.5142857143,494198.5142857143,496335.5142857143,500842.5142857143,505086.5142857143,508440.5142857143,510974.5142857143,514383.5142857143,516740.5142857143,519414.5142857143,521861.5142857143,525505.5142857142,528079.5142857142,531069.5142857142,532486.5142857142,534076.5142857142,536400.5142857142,539617.5142857142,542474.5142857142,544868.5142857142,547517.5142857142,549932.5142857142,551684.5142857142,552576.5142857142,-213.90043161324456,469993.5093467514,472426.50934675144,473107.50934675144,474824.50934675144,476571.50934675144,478764.50934675144,480069.50934675144,481844.50934675144,482952.50934675144,485153.50934675144,488428.50934675144,491234.50934675144,492489.50934675144,494626.50934675144,499133.50934675144,503377.50934675144,506731.50934675144,509265.50934675144,512674.50934675144,515031.50934675144,517705.50934675144,520152.50934675144,523796.5093467514,526370.5093467514,529360.5093467514,530777.5093467514,532367.5093467514,534691.5093467514,537908.5093467514,540765.5093467514,543159.5093467514,545808.5093467514,548223.5093467514,549975.5093467514,550867.5093467514,4986.929003041816,473411.5192246771,475844.5192246772,476525.5192246772,478242.5192246772,479989.5192246772,482182.5192246772,483487.5192246772,485262.5192246772,486370.5192246772,488571.5192246772,491846.5192246772,494652.5192246772,495907.5192246772,498044.5192246772,502551.5192246772,506795.5192246772,510149.5192246772,512683.5192246772,516092.5192246772,518449.5192246772,521123.5192246772,523570.5192246772,527214.5192246771,529788.5192246771,532778.5192246771,534195.5192246771,535785.5192246771,538109.5192246771,541326.5192246771,544183.5192246771,546577.5192246771,549226.5192246771,551641.5192246771,553393.5192246771,554285.5192246771,555230.5142857142,557617.0285714285,560003.5428571427,562390.057142857,564776.5714285712,567163.0857142855,569549.5999999997,571936.114285714,574322.6285714282,576709.1428571425,579095.6571428567,581482.171428571,553521.5093467514,555200.1306085846,557043.4594724729,558972.0472649313,560955.1202111674,562976.8956459302,565027.9979421229,567102.3183600262,569195.6137545396,571304.7947175428,573427.5289954527,575562.0046592313,556939.5192246771,560033.9265342724,562963.6262418126,565808.0670207827,568598.0226459751,571349.2757826408,574071.2020578766,576769.9102114018,579449.6433883169,582113.4909967422,584763.7852902608,587402.3381979107
85006," ARIMA(0,1,0)(0,0,0)[12] intercept",30325.5324866504,12811.584798532756,2442.5999999999995,186770.6,188505.6,189790.6,191485.6,194277.6,197125.6,198881.6,200842.6,203448.6,207542.6,211744.6,215167.6,217352.6,220074.6,222771.6,225388.6,227294.6,229863.6,233041.6,235029.6,237390.6,239055.6,242375.6,244763.6,248497.6,251536.6,254153.6,256322.6,257803.6,259981.6,262415.6,266017.6,268859.6,271151.6,271794.6,-116.45144729905223,185125.2169171803,186860.2169171803,188145.2169171803,189840.2169171803,192632.2169171803,195480.2169171803,197236.2169171803,199197.2169171803,201803.2169171803,205897.2169171803,210099.2169171803,213522.2169171803,215707.2169171803,218429.2169171803,221126.2169171803,223743.2169171803,225649.2169171803,228218.2169171803,231396.2169171803,233384.2169171803,235745.2169171803,237410.2169171803,240730.2169171803,243118.2169171803,246852.2169171803,249891.2169171803,252508.2169171803,254677.2169171803,256158.2169171803,258336.2169171803,260770.21691718028,264372.2169171803,267214.2169171803,269506.2169171803,270149.2169171803,5001.651447299051,188415.9830828197,190150.9830828197,191435.9830828197,193130.9830828197,195922.9830828197,198770.9830828197,200526.9830828197,202487.9830828197,205093.9830828197,209187.9830828197,213389.9830828197,216812.9830828197,218997.9830828197,221719.9830828197,224416.9830828197,227033.9830828197,228939.9830828197,231508.9830828197,234686.9830828197,236674.9830828197,239035.9830828197,240700.9830828197,244020.9830828197,246408.9830828197,250142.9830828197,253181.9830828197,255798.9830828197,257967.9830828197,259448.9830828197,261626.9830828197,264060.9830828197,267662.9830828197,270504.9830828197,272796.9830828197,273439.9830828197,272261.6,274704.19999999995,277146.79999999993,279589.3999999999,282031.9999999999,284474.59999999986,286917.19999999984,289359.7999999998,291802.3999999998,294244.99999999977,296687.59999999974,299130.1999999997,270616.2169171803,272377.2769289771,274296.9129026419,276298.6338343605,278352.81157778687,280444.25101568404,282563.92555142613,284705.95385795407,286866.2507515407,289041.84183478006,291230.48167788854,293430.42580528365,273906.9830828197,277031.1230710228,279996.68709735794,282880.1661656393,285711.1884222129,288504.9489843157,291270.47444857354,294013.64614204556,296738.5492484589,299448.1581652195,302144.71832211094,304829.9741947158
85016," ARIMA(0,1,0)(0,0,0)[12] intercept",48848.008429357025,5335.732940076905,1843.2571428571428,296722.2571428571,298910.2571428571,300602.2571428571,301888.2571428571,302956.2571428571,304190.2571428571,303958.2571428571,304844.2571428571,307029.2571428571,310300.2571428571,314270.2571428571,317270.2571428571,318987.2571428571,319896.2571428571,320841.2571428571,322242.2571428571,323686.2571428571,326000.2571428571,328853.2571428571,331230.2571428571,333606.2571428571,336507.2571428571,339583.2571428571,341926.2571428571,344208.2571428571,346893.2571428571,349163.2571428571,351437.2571428571,353761.2571428571,355737.2571428571,356989.2571428571,357950.2571428571,359488.2571428571,361147.2571428571,361228.2571428571,-841.2250970192758,294887.86730546766,297075.86730546766,298767.86730546766,300053.86730546766,301121.86730546766,302355.86730546766,302123.86730546766,303009.86730546766,305194.86730546766,308465.86730546766,312435.86730546766,315435.86730546766,317152.86730546766,318061.86730546766,319006.86730546766,320407.86730546766,321851.86730546766,324165.86730546766,327018.86730546766,329395.86730546766,331771.86730546766,334672.86730546766,337748.86730546766,340091.86730546766,342373.86730546766,345058.86730546766,347328.86730546766,349602.86730546766,351926.86730546766,353902.86730546766,355154.86730546766,356115.86730546766,357653.86730546766,359312.86730546766,359393.86730546766,4527.739382733562,298556.6469802466,300744.6469802466,302436.6469802466,303722.6469802466,304790.6469802466,306024.6469802466,305792.6469802466,306678.6469802466,308863.6469802466,312134.6469802466,316104.6469802466,319104.6469802466,320821.6469802466,321730.6469802466,322675.6469802466,324076.6469802466,325520.6469802466,327834.6469802466,330687.6469802466,333064.6469802466,335440.6469802466,338341.6469802466,341417.6469802466,343760.6469802466,346042.6469802466,348727.6469802466,350997.6469802466,353271.6469802466,355595.6469802466,357571.6469802466,358823.6469802466,359784.6469802466,361322.6469802466,362981.6469802466,363062.6469802466,361236.2571428571,363079.51428571425,364922.7714285714,366766.0285714285,368609.2857142856,370452.54285714275,372295.7999999999,374139.057142857,375982.3142857141,377825.57142857125,379668.82857142837,381512.0857142855,359401.86730546766,360485.29529899865,361745.5150293248,363097.2488966496,364507.46534064796,365959.2237661915,367442.4606827231,368950.61916942586,370479.1447735457,372024.7214257546,373584.8457615664,375157.57291579235,363070.6469802466,365673.73327242985,368100.02782781795,370434.8082462074,372711.1060879233,374945.861948094,377149.13931727665,379327.49511628813,381485.48379788257,383626.4214313879,385752.8113812903,387866.59851277864
85008," ARIMA(0,1,0)(0,0,0)[12] intercept",27577.056031472028,3076.942292232398,1911.2571428571425,169245.25714285712,171003.25714285715,172934.25714285715,174512.25714285715,176565.25714285715,178414.25714285715,179316.25714285715,180745.25714285715,181907.25714285715,184572.25714285715,187501.25714285715,190017.25714285715,191927.25714285715,193882.25714285715,194758.25714285715,195931.25714285715,197200.25714285715,200151.25714285715,202981.25714285715,204079.25714285715,205963.25714285715,207820.25714285715,210387.25714285715,212196.25714285715,213764.25714285715,215578.25714285715,217481.25714285715,219804.25714285715,221838.25714285715,223768.25714285715,226330.25714285715,229600.25714285715,232109.25714285715,233647.25714285715,234634.25714285715,-386.42744582809496,168046.13427659715,169804.13427659718,171735.13427659718,173313.13427659718,175366.13427659718,177215.13427659718,178117.13427659718,179546.13427659718,180708.13427659718,183373.13427659718,186302.13427659718,188818.13427659718,190728.13427659718,192683.13427659718,193559.13427659718,194732.13427659718,196001.13427659718,198952.13427659718,201782.13427659718,202880.13427659718,204764.13427659718,206621.13427659718,209188.13427659718,210997.13427659718,212565.13427659718,214379.13427659718,216282.13427659718,218605.13427659718,220639.13427659718,222569.13427659718,225131.13427659718,228401.13427659718,230910.13427659718,232448.13427659718,233435.13427659718,4208.94173154238,170444.3800091171,172202.38000911713,174133.38000911713,175711.38000911713,177764.38000911713,179613.38000911713,180515.38000911713,181944.38000911713,183106.38000911713,185771.38000911713,188700.38000911713,191216.38000911713,193126.38000911713,195081.38000911713,195957.38000911713,197130.38000911713,198399.38000911713,201350.38000911713,204180.38000911713,205278.38000911713,207162.38000911713,209019.38000911713,211586.38000911713,213395.38000911713,214963.38000911713,216777.38000911713,218680.38000911713,221003.38000911713,223037.38000911713,224967.38000911713,227529.38000911713,230799.38000911713,233308.38000911713,234846.38000911713,235833.38000911713,236139.25714285715,238050.5142857143,239961.77142857146,241873.02857142861,243784.28571428577,245695.54285714292,247606.80000000008,249518.05714285723,251429.31428571438,253340.57142857154,255251.8285714287,257163.08571428584,234940.13427659718,236354.69846529776,237884.8296996916,239474.78283890866,241102.96547195408,242758.30369590237,244434.21910446524,246126.42550202413,247831.9456869345,249548.61197680057,251274.78794650885,253009.20225652607,237338.38000911713,239746.33010613086,242038.71315745133,244271.27430394856,246465.60595661745,248632.78201838347,250779.3808955349,252909.68878369033,255026.68288449428,257132.5308803425,259228.86919634853,261316.96917204562
85015," ARIMA(0,1,0)(0,0,0)[12] intercept",28682.95897542508,3772.308897978573,1502.5142857142855,175061.5142857143,176736.51428571428,178518.51428571428,179860.51428571428,181576.51428571428,182474.51428571428,182758.51428571428,183617.51428571428,185023.51428571428,187542.51428571428,189769.51428571428,191374.51428571428,192601.51428571428,194079.51428571428,194965.51428571428,195838.51428571428,196570.51428571428,198684.51428571428,200984.51428571428,202449.51428571428,204069.51428571428,205395.51428571428,208173.51428571428,210597.51428571428,212992.51428571428,215036.51428571428,216764.51428571428,218730.51428571428,220172.51428571428,221789.51428571428,223455.51428571428,224898.51428571428,226405.51428571428,227142.51428571428,227612.51428571428,-821.3358446302141,173812.98691012015,175487.98691012012,177269.98691012012,178611.98691012012,180327.98691012012,181225.98691012012,181509.98691012012,182368.98691012012,183774.98691012012,186293.98691012012,188520.98691012012,190125.98691012012,191352.98691012012,192830.98691012012,193716.98691012012,194589.98691012012,195321.98691012012,197435.98691012012,199735.98691012012,201200.98691012012,202820.98691012012,204146.98691012012,206924.98691012012,209348.98691012012,211743.98691012012,213787.98691012012,215515.98691012012,217481.98691012012,218923.98691012012,220540.98691012012,222206.98691012012,223649.98691012012,225156.98691012012,225893.98691012012,226363.98691012012,3826.364416058785,176310.04166130847,177985.04166130844,179767.04166130844,181109.04166130844,182825.04166130844,183723.04166130844,184007.04166130844,184866.04166130844,186272.04166130844,188791.04166130844,191018.04166130844,192623.04166130844,193850.04166130844,195328.04166130844,196214.04166130844,197087.04166130844,197819.04166130844,199933.04166130844,202233.04166130844,203698.04166130844,205318.04166130844,206644.04166130844,209422.04166130844,211846.04166130844,214241.04166130844,216285.04166130844,218013.04166130844,219979.04166130844,221421.04166130844,223038.04166130844,224704.04166130844,226147.04166130844,227654.04166130844,228391.04166130844,228861.04166130844,227649.51428571428,229152.02857142856,230654.54285714283,232157.0571428571,233659.5714285714,235162.08571428567,236664.59999999995,238167.11428571423,239669.6285714285,241172.14285714278,242674.65714285706,244177.17142857134,226400.98691012012,227386.3442238692,228492.03000797314,229660.0023916688,230867.77934497345,232103.8307141838,233361.3070591217,234635.74559059556,235924.04644464605,237223.95262919273,238533.76029752413,239852.14573023192,228898.04166130844,230917.7129189879,232817.05570631253,234654.11189404543,236451.36351216934,238220.34071438754,239967.8929408782,241698.4829808329,243415.21069821095,245120.33308509283,246815.55398819,248502.19712691076
