zip_code,model_order,train_rmse,test_rmse,train_pred_2016-01-31,train_pred_2016-02-29,train_pred_2016-03-31,train_pred_2016-04-30,train_pred_2016-05-31,train_pred_2016-06-30,train_pred_2016-07-31,train_pred_2016-08-31,train_pred_2016-09-30,train_pred_2016-10-31,train_pred_2016-11-30,train_pred_2016-12-31,train_pred_2017-01-31,train_pred_2017-02-28,train_pred_2017-03-31,train_pred_2017-04-30,train_pred_2017-05-31,train_pred_2017-06-30,train_pred_2017-07-31,train_pred_2017-08-31,train_pred_2017-09-30,train_pred_2017-10-31,train_pred_2017-11-30,train_pred_2017-12-31,train_pred_2018-01-31,train_pred_2018-02-28,train_pred_2018-03-31,train_pred_2018-04-30,train_pred_2018-05-31,train_pred_2018-06-30,train_pred_2018-07-31,train_pred_2018-08-31,train_pred_2018-09-30,train_pred_2018-10-31,train_pred_2018-11-30,train_pred_2018-12-31,train_lci_2016-01-31,train_lci_2016-02-29,train_lci_2016-03-31,train_lci_2016-04-30,train_lci_2016-05-31,train_lci_2016-06-30,train_lci_2016-07-31,train_lci_2016-08-31,train_lci_2016-09-30,train_lci_2016-10-31,train_lci_2016-11-30,train_lci_2016-12-31,train_lci_2017-01-31,train_lci_2017-02-28,train_lci_2017-03-31,train_lci_2017-04-30,train_lci_2017-05-31,train_lci_2017-06-30,train_lci_2017-07-31,train_lci_2017-08-31,train_lci_2017-09-30,train_lci_2017-10-31,train_lci_2017-11-30,train_lci_2017-12-31,train_lci_2018-01-31,train_lci_2018-02-28,train_lci_2018-03-31,train_lci_2018-04-30,train_lci_2018-05-31,train_lci_2018-06-30,train_lci_2018-07-31,train_lci_2018-08-31,train_lci_2018-09-30,train_lci_2018-10-31,train_lci_2018-11-30,train_lci_2018-12-31,train_uci_2016-01-31,train_uci_2016-02-29,train_uci_2016-03-31,train_uci_2016-04-30,train_uci_2016-05-31,train_uci_2016-06-30,train_uci_2016-07-31,train_uci_2016-08-31,train_uci_2016-09-30,train_uci_2016-10-31,train_uci_2016-11-30,train_uci_2016-12-31,train_uci_2017-01-31,train_uci_2017-02-28,train_uci_2017-03-31,train_uci_2017-04-30,train_uci_2017-05-31,train_uci_2017-06-30,train_uci_2017-07-31,train_uci_2017-08-31,train_uci_2017-09-30,train_uci_2017-10-31,train_uci_2017-11-30,train_uci_2017-12-31,train_uci_2018-01-31,train_uci_2018-02-28,train_uci_2018-03-31,train_uci_2018-04-30,train_uci_2018-05-31,train_uci_2018-06-30,train_uci_2018-07-31,train_uci_2018-08-31,train_uci_2018-09-30,train_uci_2018-10-31,train_uci_2018-11-30,train_uci_2018-12-31,test_pred_2019-01-31,test_pred_2019-02-28,test_pred_2019-03-31,test_pred_2019-04-30,test_pred_2019-05-31,test_pred_2019-06-30,test_pred_2019-07-31,test_pred_2019-08-31,test_pred_2019-09-30,test_pred_2019-10-31,test_pred_2019-11-30,test_pred_2019-12-31,test_lci_2019-01-31,test_lci_2019-02-28,test_lci_2019-03-31,test_lci_2019-04-30,test_lci_2019-05-31,test_lci_2019-06-30,test_lci_2019-07-31,test_lci_2019-08-31,test_lci_2019-09-30,test_lci_2019-10-31,test_lci_2019-11-30,test_lci_2019-12-31,test_uci_2019-01-31,test_uci_2019-02-28,test_uci_2019-03-31,test_uci_2019-04-30,test_uci_2019-05-31,test_uci_2019-06-30,test_uci_2019-07-31,test_uci_2019-08-31,test_uci_2019-09-30,test_uci_2019-10-31,test_uci_2019-11-30,test_uci_2019-12-31
06029," ARIMA(0,1,0)(0,0,0)[12] intercept",43705.79985092993,6466.416548962439,402.9714285714285,263007.97142857144,264100.97142857144,263903.97142857144,263395.97142857144,263690.97142857144,263750.97142857144,264056.97142857144,263677.97142857144,263596.97142857144,262820.97142857144,262863.97142857144,262763.97142857144,263646.97142857144,263594.97142857144,264959.97142857144,265620.97142857144,265599.97142857144,264682.97142857144,264593.97142857144,265753.97142857144,267269.97142857144,268859.97142857144,269712.97142857144,270314.97142857144,270773.97142857144,271684.97142857144,271896.97142857144,271984.97142857144,273039.97142857144,274622.97142857144,276393.97142857144,276156.97142857144,276775.97142857144,277087.97142857144,277751.97142857144,-1990.296856887357,261634.5544250766,262727.55442507664,262530.55442507664,262022.5544250766,262317.55442507664,262377.55442507664,262683.55442507664,262304.55442507664,262223.55442507664,261447.5544250766,261490.5544250766,261390.5544250766,262273.55442507664,262221.55442507664,263586.55442507664,264247.55442507664,264226.55442507664,263309.55442507664,263220.55442507664,264380.55442507664,265896.55442507664,267486.55442507664,268339.55442507664,268941.55442507664,269400.55442507664,270311.55442507664,270523.55442507664,270611.55442507664,271666.55442507664,273249.55442507664,275020.55442507664,274783.55442507664,275402.55442507664,275714.55442507664,276378.55442507664,2796.239714030214,264381.38843206625,265474.38843206625,265277.38843206625,264769.38843206625,265064.38843206625,265124.38843206625,265430.38843206625,265051.38843206625,264970.38843206625,264194.38843206625,264237.38843206625,264137.38843206625,265020.38843206625,264968.38843206625,266333.38843206625,266994.38843206625,266973.38843206625,266056.38843206625,265967.38843206625,267127.38843206625,268643.38843206625,270233.38843206625,271086.38843206625,271688.38843206625,272147.38843206625,273058.38843206625,273270.38843206625,273358.38843206625,274413.38843206625,275996.38843206625,277767.38843206625,277530.38843206625,278149.38843206625,278461.38843206625,279125.38843206625,277111.97142857144,277514.9428571429,277917.91428571433,278320.8857142858,278723.8571428572,279126.82857142866,279529.8000000001,279932.77142857155,280335.742857143,280738.71428571444,281141.6857142859,281544.6571428573,275738.55442507664,275572.6379040067,275539.0862556823,275574.0517072961,275652.80336158874,275762.65770880406,275896.0801623653,276048.16152229917,276215.4918466585,276395.58837746736,276586.5768329993,276787.0010827932,278485.38843206625,279457.2478102791,280296.7423157464,281067.71972127544,281794.9109241257,282490.99943405326,283163.5198376349,283817.3813348439,284455.99386762746,285081.8401939615,285696.79459557246,286302.3132029214
06027," ARIMA(0,1,0)(0,0,0)[12]          ",42210.461510349145,1713.5904557390602,0.0,253228.0,253440.0,252890.0,252048.0,252129.0,251722.0,251493.0,250776.0,250293.0,250618.0,250833.0,251004.0,251304.0,252052.0,252337.0,253490.0,253610.0,254254.0,254178.0,255374.0,256952.0,258514.0,258963.0,258360.0,257808.0,256750.0,257218.0,257161.0,258011.0,258203.0,258969.0,259383.0,259099.0,257881.0,257835.0,-2402.6262340710055,251838.34032945038,252050.34032945038,251500.34032945038,250658.34032945038,250739.34032945038,250332.34032945038,250103.34032945038,249386.34032945038,248903.34032945038,249228.34032945038,249443.34032945038,249614.34032945038,249914.34032945038,250662.34032945038,250947.34032945038,252100.34032945038,252220.34032945038,252864.34032945038,252788.34032945038,253984.34032945038,255562.34032945038,257124.34032945038,257573.34032945038,256970.34032945038,256418.34032945038,255360.34032945038,255828.34032945038,255771.34032945038,256621.34032945038,256813.34032945038,257579.34032945038,257993.34032945038,257709.34032945038,256491.34032945038,256445.34032945038,2402.6262340710055,254617.65967054962,254829.65967054962,254279.65967054962,253437.65967054962,253518.65967054962,253111.65967054962,252882.65967054962,252165.65967054962,251682.65967054962,252007.65967054962,252222.65967054962,252393.65967054962,252693.65967054962,253441.65967054962,253726.65967054962,254879.65967054962,254999.65967054962,255643.65967054962,255567.65967054962,256763.65967054962,258341.65967054962,259903.65967054962,260352.65967054962,259749.65967054962,259197.65967054962,258139.65967054962,258607.65967054962,258550.65967054962,259400.65967054962,259592.65967054962,260358.65967054962,260772.65967054962,260488.65967054962,259270.65967054962,259224.65967054962,258953.0,258953.0,258953.0,258953.0,258953.0,258953.0,258953.0,258953.0,258953.0,258953.0,258953.0,258953.0,257563.34032945038,256987.7244468258,256546.0388453786,256173.68065890073,255845.62651106107,255549.04289102924,255276.30610470974,255022.44889365157,254784.0209883511,254558.51026858395,254344.02028649798,254139.07769075723,260342.65967054962,260918.2755531742,261359.9611546214,261732.31934109927,262060.37348893893,262356.9571089708,262629.69389529026,262883.5511063484,263121.97901164886,263347.48973141605,263561.979713502,263766.9223092428
06016," ARIMA(0,1,0)(0,0,0)[12] intercept",35990.26175002901,2276.4104874743316,293.2857142857143,216440.2857142857,215987.2857142857,215470.2857142857,214618.2857142857,214606.2857142857,214730.2857142857,216811.2857142857,219170.2857142857,220900.2857142857,222221.2857142857,223225.2857142857,224044.2857142857,224696.2857142857,224402.2857142857,224494.2857142857,226028.2857142857,227081.2857142857,228550.2857142857,228988.2857142857,229657.2857142857,229628.2857142857,229884.2857142857,230391.2857142857,231339.2857142857,231652.2857142857,232366.2857142857,233010.2857142857,232888.2857142857,232743.2857142857,230203.2857142857,228311.2857142857,226284.2857142857,226403.2857142857,226212.2857142857,226303.2857142857,-2536.051679661526,214399.77321295327,213946.77321295327,213429.77321295327,212577.77321295327,212565.77321295327,212689.77321295327,214770.77321295327,217129.77321295327,218859.77321295327,220180.77321295327,221184.77321295327,222003.77321295327,222655.77321295327,222361.77321295327,222453.77321295327,223987.77321295327,225040.77321295327,226509.77321295327,226947.77321295327,227616.77321295327,227587.77321295327,227843.77321295327,228350.77321295327,229298.77321295327,229611.77321295327,230325.77321295327,230969.77321295327,230847.77321295327,230702.77321295327,228162.77321295327,226270.77321295327,224243.77321295327,224362.77321295327,224171.77321295327,224262.77321295327,3122.6231082329546,218480.79821561815,218027.79821561815,217510.79821561815,216658.79821561815,216646.79821561815,216770.79821561815,218851.79821561815,221210.79821561815,222940.79821561815,224261.79821561815,225265.79821561815,226084.79821561815,226736.79821561815,226442.79821561815,226534.79821561815,228068.79821561815,229121.79821561815,230590.79821561815,231028.79821561815,231697.79821561815,231668.79821561815,231924.79821561815,232431.79821561815,233379.79821561815,233692.79821561815,234406.79821561815,235050.79821561815,234928.79821561815,234783.79821561815,232243.79821561815,230351.79821561815,228324.79821561815,228443.79821561815,228252.79821561815,228343.79821561815,226705.2857142857,226998.57142857142,227291.85714285713,227585.14285714284,227878.42857142855,228171.71428571426,228464.99999999997,228758.28571428568,229051.5714285714,229344.8571428571,229638.1428571428,229931.42857142852,224664.77321295327,224112.8509749952,223757.58581706986,223504.11785447792,223315.70390951104,223173.49984367957,223066.31137435595,222986.84480713325,222930.03392457403,222892.19004459918,222870.5285101935,222862.885919854,228745.79821561815,229884.29188214763,230826.1284686444,231666.16785980776,232441.15323334606,233169.92872774895,233863.688625644,234529.7266214381,235173.10893256875,235797.52424111502,236405.75720409214,236999.97122300306
06010," ARIMA(0,2,0)(0,0,0)[12]          ",33291.87678338384,4769.280309089273,0.0,270469.9662200675,176681.00000000003,177478.99999999997,177531.0,178483.0,178396.0,180663.0,182555.0,182946.0,183661.0,183631.0,184155.0,186196.0,186736.0,187219.0,187165.0,187257.0,188328.0,188414.0,188996.0,189492.0,189050.0,189689.0,189505.0,190034.0,189567.0,189910.0,190430.0,190835.0,190710.0,190012.0,189953.0,189261.0,189642.0,190136.0,-2873.502264752029,268848.74063168844,175923.30769823975,176721.3076982397,176773.30769823972,177725.30769823972,177638.30769823972,179905.30769823972,181797.30769823972,182188.30769823972,182903.30769823972,182873.30769823972,183397.30769823972,185438.30769823972,185978.30769823972,186461.30769823972,186407.30769823972,186499.30769823972,187570.30769823972,187656.30769823972,188238.30769823972,188734.30769823972,188292.30769823972,188931.30769823972,188747.30769823972,189276.30769823972,188809.30769823972,189152.30769823972,189672.30769823972,190077.30769823972,189952.30769823972,189254.30769823972,189195.30769823972,188503.30769823972,188884.30769823972,189378.30769823972,2873.502264752029,272091.1918084466,177438.6923017603,178236.69230176025,178288.69230176028,179240.69230176028,179153.69230176028,181420.69230176028,183312.69230176028,183703.69230176028,184418.69230176028,184388.69230176028,184912.69230176028,186953.69230176028,187493.69230176028,187976.69230176028,187922.69230176028,188014.69230176028,189085.69230176028,189171.69230176028,189753.69230176028,190249.69230176028,189807.69230176028,190446.69230176028,190262.69230176028,190791.69230176028,190324.69230176028,190667.69230176028,191187.69230176028,191592.69230176028,191467.69230176028,190769.69230176028,190710.69230176028,190018.69230176028,190399.69230176028,190893.69230176028,191964.0,192995.0,194026.0,195057.0,196088.0,197119.0,198150.0,199181.0,200212.0,201243.0,202274.0,203305.0,191206.30769823972,191300.74850723572,191190.9750022169,190906.94834677884,190468.8034980014,189891.0761073903,189184.8637834916,188358.98931224216,187420.68173791945,186376.0034877076,185230.13313187775,183987.56084012653,192721.69230176028,194689.25149276428,196861.0249977831,199207.05165322116,201707.1965019986,204346.9238926097,207115.1362165084,210003.01068775784,213003.31826208055,216109.9965122924,219317.86686812225,222622.43915987347
06013," ARIMA(0,2,0)(0,0,0)[12]          ",57147.47250231029,3917.0022232144147,0.0,470376.709707664,301034.0,303426.99999999994,304488.0,305574.0,306030.0,307287.0,306956.0,305916.0,305066.0,306369.0,308381.0,309253.0,309675.0,309446.0,310314.0,309434.0,310339.0,311437.0,314608.0,316331.0,317289.0,317431.0,317287.0,318904.0,317963.0,318605.0,316466.0,317258.0,316481.0,315602.0,315612.0,313791.0,313833.0,312923.0,-3038.6976255427653,468428.8711662199,299788.7025985368,302181.70259853674,303242.7025985368,304328.7025985368,304784.7025985368,306041.7025985368,305710.7025985368,304670.7025985368,303820.7025985368,305123.7025985368,307135.7025985368,308007.7025985368,308429.7025985368,308200.7025985368,309068.7025985368,308188.7025985368,309093.7025985368,310191.7025985368,313362.7025985368,315085.7025985368,316043.7025985368,316185.7025985368,316041.7025985368,317658.7025985368,316717.7025985368,317359.7025985368,315220.7025985368,316012.7025985368,315235.7025985368,314356.7025985368,314366.7025985368,312545.7025985368,312587.7025985368,311677.7025985368,3038.6976255427653,472324.5482491081,302279.2974014632,304672.29740146315,305733.2974014632,306819.2974014632,307275.2974014632,308532.2974014632,308201.2974014632,307161.2974014632,306311.2974014632,307614.2974014632,309626.2974014632,310498.2974014632,310920.2974014632,310691.2974014632,311559.2974014632,310679.2974014632,311584.2974014632,312682.2974014632,315853.2974014632,317576.2974014632,318534.2974014632,318676.2974014632,318532.2974014632,320149.2974014632,319208.2974014632,319850.2974014632,317711.2974014632,318503.2974014632,317726.2974014632,316847.2974014632,316857.2974014632,315036.2974014632,315078.2974014632,314168.2974014632,314963.0,315627.0,316291.0,316955.0,317619.0,318283.0,318947.0,319611.0,320275.0,320939.0,321603.0,322267.0,313717.7025985368,312842.43035812443,311631.52377908485,310134.2252241604,308383.6272952845,306403.619913216,304212.4424385142,301824.59547040035,299251.9602303584,296504.50055832876,293590.7276402995,290518.02124856383,316208.2974014632,318411.56964187557,320950.47622091515,323775.7747758396,326854.3727047155,330162.380086784,333681.5575614858,337397.40452959965,341298.0397696416,345373.49944167124,349615.2723597005,354015.97875143617
06026," ARIMA(0,1,0)(0,0,0)[12] intercept",43821.437877494514,2556.8288301460925,224.19999999999993,263341.2,262821.2,262872.2,262848.2,262530.2,261177.2,261444.2,262139.2,263064.2,263308.2,262902.2,262660.2,263405.2,264556.2,265169.2,265586.2,266067.2,267424.2,268687.2,270379.2,271637.2,272644.2,273079.2,273576.2,273958.2,274062.2,273865.2,273469.2,273143.2,272760.2,271561.2,270744.2,269895.2,269823.2,270094.2,-2206.668842306091,261903.26241171587,261383.26241171587,261434.26241171587,261410.26241171587,261092.26241171587,259739.26241171587,260006.26241171587,260701.26241171587,261626.26241171587,261870.26241171587,261464.26241171587,261222.26241171587,261967.26241171587,263118.26241171587,263731.26241171587,264148.26241171587,264629.26241171587,265986.26241171587,267249.26241171587,268941.26241171587,270199.26241171587,271206.26241171587,271641.26241171587,272138.26241171587,272520.26241171587,272624.26241171587,272427.26241171587,272031.26241171587,271705.26241171587,271322.26241171587,270123.26241171587,269306.26241171587,268457.26241171587,268385.26241171587,268656.26241171587,2655.0688423060906,264779.13758828415,264259.13758828415,264310.13758828415,264286.13758828415,263968.13758828415,262615.13758828415,262882.13758828415,263577.13758828415,264502.13758828415,264746.13758828415,264340.13758828415,264098.13758828415,264843.13758828415,265994.13758828415,266607.13758828415,267024.13758828415,267505.13758828415,268862.13758828415,270125.13758828415,271817.13758828415,273075.13758828415,274082.13758828415,274517.13758828415,275014.13758828415,275396.13758828415,275500.13758828415,275303.13758828415,274907.13758828415,274581.13758828415,274198.13758828415,272999.13758828415,272182.13758828415,271333.13758828415,271261.13758828415,271532.13758828415,271188.2,271412.4,271636.60000000003,271860.80000000005,272085.00000000006,272309.20000000007,272533.4000000001,272757.6000000001,272981.8000000001,273206.0000000001,273430.2000000001,273654.40000000014,269750.26241171587,269378.84916080255,269146.01903897885,268984.92482343176,268869.6738051946,268786.98662673566,268728.97474056826,268690.4983216051,268667.9872351477,268658.84208785277,268661.10054771305,268673.23807795777,272626.13758828415,273445.9508391975,274127.1809610212,274736.67517656833,275300.3261948055,275831.4133732645,276337.8252594319,276824.7016783951,277295.6127648525,277753.15791214746,278199.2994522872,278635.5619220425
06024," ARIMA(1,1,0)(0,0,0)[12] intercept",26656.20926129851,1216.1102731676815,224.5945995081524,158683.18458942545,158831.27390633416,159432.2516630806,159079.80825037972,158912.0128459052,157795.41210852118,158164.9115731231,159641.0167010365,160536.29803133794,161756.65387824285,162197.62572989668,163472.8348383472,164272.71846641134,165274.07341073127,164951.13168080474,164886.02860285266,165010.1125583086,165891.79454339357,166416.86701003578,166136.72610009377,165816.10197207986,165658.71214831632,165864.76729763238,165941.36779022514,165517.68761031015,165598.24017426686,165809.91764642682,166143.33200819654,166304.2480527406,166712.32503230782,167887.74390700253,169406.49048025598,169975.077678865,169205.85798418577,168715.96557506287,-2078.2459483019557,157474.44697166697,157623.15520320836,158224.1329599548,157871.68954725392,157703.8941427794,156587.29340539538,156956.7928699973,158432.8979979107,159328.17932821214,160548.53517511705,160989.50702677088,162264.7161352214,163064.59976328554,164065.95470760547,163743.01297767894,163677.90989972686,163801.9938551828,164683.67584026777,165208.74830690998,164928.60739696797,164607.98326895406,164450.59344519052,164656.64859450658,164733.24908709934,164309.56890718435,164390.12147114106,164601.79894330102,164935.21330507073,165096.12934961478,165504.20632918202,166679.62520387673,168198.37177713017,168766.9589757392,167997.73928105997,167507.84687193707,2527.4351473182605,159891.92220718393,160039.39260945996,160640.3703662064,160287.92695350552,160120.131549031,159003.53081164698,159373.0302762489,160849.1354041623,161744.41673446374,162964.77258136866,163405.74443302248,164680.953541473,165480.83716953715,166482.19211385708,166159.25038393054,166094.14730597846,166218.2312614344,167099.91324651937,167624.9857131616,167344.84480321957,167024.22067520567,166866.83085144212,167072.88600075818,167149.48649335094,166725.80631343595,166806.35887739266,167018.03634955263,167351.45071132234,167512.3667558664,167920.44373543363,169095.86261012833,170614.60918338178,171183.1963819908,170413.97668731157,169924.08427818867,169050.27956663547,169275.0739433398,169499.66103378282,169724.2559155357,169948.85050443507,170173.44510434198,170398.03970383515,170622.63430334386,170847.228902852,171071.82350236014,171296.4181018683,171521.01270137646,167842.16086350966,167598.33818605906,167458.26278797133,167374.14498314413,167326.11498468978,167303.86994284997,167301.23786705197,167314.17520206163,167339.86213654114,167376.2394291741,167421.74887075313,167475.17760103993,170258.39826976127,170951.80970062056,171541.0592795943,172074.36684792727,172571.58602418037,173043.020265834,173494.84154061833,173931.0934046261,174354.59566916284,174767.40757554618,175171.08733298347,175566.84780171298
06023," ARIMA(0,1,0)(0,0,0)[12] intercept",44809.399059902,4110.816605693492,417.02857142857135,269582.02857142856,270458.02857142856,271943.02857142856,270304.02857142856,268080.02857142856,264355.02857142856,263832.02857142856,263352.02857142856,263890.02857142856,264489.02857142856,265999.02857142856,267315.02857142856,269214.02857142856,269995.02857142856,270196.02857142856,270635.02857142856,270331.02857142856,270990.02857142856,269982.02857142856,270105.02857142856,269524.02857142856,269028.02857142856,268654.02857142856,268675.02857142856,269802.02857142856,270463.02857142856,270853.02857142856,271571.02857142856,272943.02857142856,273663.02857142856,276090.02857142856,278714.02857142856,281486.02857142856,282459.02857142856,282906.02857142856,-2782.8128207579744,267052.6954351145,267928.6954351145,269413.6954351145,267774.6954351145,265550.6954351145,261825.69543511453,261302.69543511453,260822.69543511453,261360.69543511453,261959.69543511453,263469.6954351145,264785.6954351145,266684.6954351145,267465.6954351145,267666.6954351145,268105.6954351145,267801.6954351145,268460.6954351145,267452.6954351145,267575.6954351145,266994.6954351145,266498.6954351145,266124.6954351145,266145.6954351145,267272.6954351145,267933.6954351145,268323.6954351145,269041.6954351145,270413.6954351145,271133.6954351145,273560.6954351145,276184.6954351145,278956.6954351145,279929.6954351145,280376.6954351145,3616.8699636151173,272111.3617077426,272987.3617077426,274472.3617077426,272833.3617077426,270609.3617077426,266884.3617077426,266361.3617077426,265881.3617077426,266419.3617077426,267018.3617077426,268528.3617077426,269844.3617077426,271743.3617077426,272524.3617077426,272725.3617077426,273164.3617077426,272860.3617077426,273519.3617077426,272511.3617077426,272634.3617077426,272053.3617077426,271557.3617077426,271183.3617077426,271204.3617077426,272331.3617077426,272992.3617077426,273382.3617077426,274100.3617077426,275472.3617077426,276192.3617077426,278619.3617077426,281243.3617077426,284015.3617077426,284988.3617077426,285435.3617077426,284178.02857142856,284595.0571428571,285012.08571428567,285429.1142857142,285846.1428571428,286263.17142857134,286680.1999999999,287097.22857142845,287514.257142857,287931.28571428556,288348.3142857141,288765.3428571427,281648.6954351145,281018.0399177221,280631.1522129222,280370.44801308616,280190.3820266019,280067.5958550885,279988.2135384779,279943.19412115845,279926.2577339149,279932.83204219607,279959.4653027476,280003.4758544158,286707.3617077426,288172.0743679921,289393.0192156491,290487.7805583423,291501.9036876837,292458.7470020542,293372.1864615219,294251.26302169845,295102.25655179913,295929.73938637506,296737.1632686806,297527.20985986956
06002," ARIMA(0,1,0)(0,0,0)[12] intercept",30444.662407547676,1690.0528109325949,646.9714285714285,183905.9714285714,184541.9714285714,184988.9714285714,185016.9714285714,185122.9714285714,185288.9714285714,186403.9714285714,189443.9714285714,191970.9714285714,194473.9714285714,195198.9714285714,195936.9714285714,196825.9714285714,197402.9714285714,197972.9714285714,198777.9714285714,199188.9714285714,199945.9714285714,200816.9714285714,201530.9714285714,202494.9714285714,202817.9714285714,204045.9714285714,204711.9714285714,205652.9714285714,205763.9714285714,205829.9714285714,205654.9714285714,205970.9714285714,206431.9714285714,206659.9714285714,206495.9714285714,205918.9714285714,205323.9714285714,205499.9714285714,-1819.6906393222366,182408.3189533652,183044.3189533652,183491.3189533652,183519.3189533652,183625.3189533652,183791.3189533652,184906.3189533652,187946.3189533652,190473.3189533652,192976.3189533652,193701.3189533652,194439.3189533652,195328.3189533652,195905.3189533652,196475.3189533652,197280.3189533652,197691.3189533652,198448.3189533652,199319.3189533652,200033.3189533652,200997.3189533652,201320.3189533652,202548.3189533652,203214.3189533652,204155.3189533652,204266.3189533652,204332.3189533652,204157.3189533652,204473.3189533652,204934.3189533652,205162.3189533652,204998.3189533652,204421.3189533652,203826.3189533652,204002.3189533652,3113.6334964650937,185403.62390377762,186039.62390377762,186486.62390377762,186514.62390377762,186620.62390377762,186786.62390377762,187901.62390377762,190941.62390377762,193468.62390377762,195971.62390377762,196696.62390377762,197434.62390377762,198323.62390377762,198900.62390377762,199470.62390377762,200275.62390377762,200686.62390377762,201443.62390377762,202314.62390377762,203028.62390377762,203992.62390377762,204315.62390377762,205543.62390377762,206209.62390377762,207150.62390377762,207261.62390377762,207327.62390377762,207152.62390377762,207468.62390377762,207929.62390377762,208157.62390377762,207993.62390377762,207416.62390377762,206821.62390377762,206997.62390377762,206549.9714285714,207196.94285714283,207843.91428571424,208490.88571428566,209137.85714285707,209784.8285714285,210431.7999999999,211078.77142857132,211725.74285714273,212372.71428571414,213019.68571428556,213666.65714285697,205052.3189533652,205078.94241498454,205249.90410657576,205495.5807638732,205789.00440162513,206116.344195157,206469.3840002039,206842.77054425477,207232.78543152407,207636.72132067362,208052.53438767948,208478.63678458004,208047.62390377762,209314.9432993011,210437.92446485272,211486.1906646981,212486.709884089,213453.31294769997,214394.2159997959,215314.77231288786,216218.7002827614,217108.70725075467,217986.83704089164,218854.6775011339
06018," ARIMA(0,1,1)(0,0,0)[12] intercept",27671.29497688272,5435.851115015044,154.9014640702575,164828.22172049552,164849.6549378653,164879.36423992863,164451.66952895912,164812.55853457988,164555.58379813936,165262.23306480478,165703.68661445414,165681.22403886082,165565.54689985272,164793.929494215,164688.19255705722,164668.13819229836,165388.7358406407,165362.36341502322,164951.08435304643,164566.1453956266,164363.64203286014,164483.16269910324,164281.60820800968,164516.06550202405,165032.99605225207,165244.87052200251,165042.632571588,164072.02305449801,163904.3986858472,164323.48398541147,165394.25312189187,165974.73076092007,166563.43741747315,167724.0504177289,169562.87394547474,170581.1252484558,170468.4402381117,170200.9583512043,-2120.7965848267922,163671.9628391684,163693.9034011455,163723.61330389732,163295.91859363948,163656.80759926108,163399.83286282056,164106.482129486,164547.93567913535,164525.47310354203,164409.79596453393,163638.1785588962,163532.44162173843,163512.38725697956,164232.9849053219,164206.61247970443,163795.33341772764,163410.3944603078,163207.89109754135,163327.41176378445,163125.8572726909,163360.31456670526,163877.24511693328,164089.11958668372,163886.88163626922,162916.27211917922,162748.6477505284,163167.73305009268,164238.50218657308,164818.97982560127,165407.68648215436,166568.2994824101,168407.12301015595,169425.374313137,169312.68930279292,169045.2074158855,2430.5995129673074,165984.48060182264,166005.4064745851,166035.11517595995,165607.42046427875,165968.30946989867,165711.33473345815,166417.98400012357,166859.43754977293,166836.9749741796,166721.2978351715,165949.6804295338,165843.943492376,165823.88912761715,166544.4867759595,166518.11435034202,166106.83528836523,165721.8963309454,165519.39296817893,165638.91363442203,165437.35914332847,165671.81643734284,166188.74698757086,166400.6214573213,166198.3835069068,165227.7739898168,165060.149621166,165479.23492073026,166550.00405721067,167130.48169623886,167719.18835279194,168879.8013530477,170718.62488079353,171736.87618377458,171624.1911734305,171356.70928652308,170525.84203239053,170680.74349646078,170835.64496053103,170990.54642460129,171145.44788867154,171300.3493527418,171455.25081681204,171610.1522808823,171765.05374495254,171919.9552090228,172074.85667309305,172229.7581371633,169370.09109707174,169074.14830971905,168879.49160160616,168738.45321311904,168632.0216011557,168550.3130670999,168487.408596963,168439.43070504346,168403.67557803035,168378.16878821302,168361.4163652109,168352.25548857937,171681.59296770932,172287.3386832025,172791.7983194559,173242.63963608354,173658.87417618738,174050.38563838368,174423.09303666107,174780.87385672113,175126.43191187474,175461.74162983257,175788.2969809752,176107.26078574723
