zip_code,model_order,train_rmse,test_rmse,train_pred_2016-01-31,train_pred_2016-02-29,train_pred_2016-03-31,train_pred_2016-04-30,train_pred_2016-05-31,train_pred_2016-06-30,train_pred_2016-07-31,train_pred_2016-08-31,train_pred_2016-09-30,train_pred_2016-10-31,train_pred_2016-11-30,train_pred_2016-12-31,train_pred_2017-01-31,train_pred_2017-02-28,train_pred_2017-03-31,train_pred_2017-04-30,train_pred_2017-05-31,train_pred_2017-06-30,train_pred_2017-07-31,train_pred_2017-08-31,train_pred_2017-09-30,train_pred_2017-10-31,train_pred_2017-11-30,train_pred_2017-12-31,train_pred_2018-01-31,train_pred_2018-02-28,train_pred_2018-03-31,train_pred_2018-04-30,train_pred_2018-05-31,train_pred_2018-06-30,train_pred_2018-07-31,train_pred_2018-08-31,train_pred_2018-09-30,train_pred_2018-10-31,train_pred_2018-11-30,train_pred_2018-12-31,train_lci_2016-01-31,train_lci_2016-02-29,train_lci_2016-03-31,train_lci_2016-04-30,train_lci_2016-05-31,train_lci_2016-06-30,train_lci_2016-07-31,train_lci_2016-08-31,train_lci_2016-09-30,train_lci_2016-10-31,train_lci_2016-11-30,train_lci_2016-12-31,train_lci_2017-01-31,train_lci_2017-02-28,train_lci_2017-03-31,train_lci_2017-04-30,train_lci_2017-05-31,train_lci_2017-06-30,train_lci_2017-07-31,train_lci_2017-08-31,train_lci_2017-09-30,train_lci_2017-10-31,train_lci_2017-11-30,train_lci_2017-12-31,train_lci_2018-01-31,train_lci_2018-02-28,train_lci_2018-03-31,train_lci_2018-04-30,train_lci_2018-05-31,train_lci_2018-06-30,train_lci_2018-07-31,train_lci_2018-08-31,train_lci_2018-09-30,train_lci_2018-10-31,train_lci_2018-11-30,train_lci_2018-12-31,train_uci_2016-01-31,train_uci_2016-02-29,train_uci_2016-03-31,train_uci_2016-04-30,train_uci_2016-05-31,train_uci_2016-06-30,train_uci_2016-07-31,train_uci_2016-08-31,train_uci_2016-09-30,train_uci_2016-10-31,train_uci_2016-11-30,train_uci_2016-12-31,train_uci_2017-01-31,train_uci_2017-02-28,train_uci_2017-03-31,train_uci_2017-04-30,train_uci_2017-05-31,train_uci_2017-06-30,train_uci_2017-07-31,train_uci_2017-08-31,train_uci_2017-09-30,train_uci_2017-10-31,train_uci_2017-11-30,train_uci_2017-12-31,train_uci_2018-01-31,train_uci_2018-02-28,train_uci_2018-03-31,train_uci_2018-04-30,train_uci_2018-05-31,train_uci_2018-06-30,train_uci_2018-07-31,train_uci_2018-08-31,train_uci_2018-09-30,train_uci_2018-10-31,train_uci_2018-11-30,train_uci_2018-12-31,test_pred_2019-01-31,test_pred_2019-02-28,test_pred_2019-03-31,test_pred_2019-04-30,test_pred_2019-05-31,test_pred_2019-06-30,test_pred_2019-07-31,test_pred_2019-08-31,test_pred_2019-09-30,test_pred_2019-10-31,test_pred_2019-11-30,test_pred_2019-12-31,test_lci_2019-01-31,test_lci_2019-02-28,test_lci_2019-03-31,test_lci_2019-04-30,test_lci_2019-05-31,test_lci_2019-06-30,test_lci_2019-07-31,test_lci_2019-08-31,test_lci_2019-09-30,test_lci_2019-10-31,test_lci_2019-11-30,test_lci_2019-12-31,test_uci_2019-01-31,test_uci_2019-02-28,test_uci_2019-03-31,test_uci_2019-04-30,test_uci_2019-05-31,test_uci_2019-06-30,test_uci_2019-07-31,test_uci_2019-08-31,test_uci_2019-09-30,test_uci_2019-10-31,test_uci_2019-11-30,test_uci_2019-12-31
20015," ARIMA(0,1,0)(0,0,0)[12] intercept",170970.80095078825,15903.220351797734,2740.6571428571424,1030761.6571428571,1026161.6571428571,1024018.6571428571,1025910.6571428571,1031846.6571428571,1035583.6571428571,1036302.6571428571,1038079.6571428571,1039122.6571428571,1040437.6571428571,1044295.6571428571,1050698.657142857,1060874.657142857,1068026.657142857,1074670.657142857,1074648.657142857,1071507.657142857,1065977.657142857,1064763.657142857,1062160.657142857,1062125.657142857,1063454.657142857,1065169.657142857,1068129.657142857,1066569.657142857,1071698.657142857,1062734.657142857,1056344.657142857,1053353.657142857,1066960.657142857,1082183.657142857,1091805.657142857,1099843.657142857,1109605.657142857,1119491.657142857,-8502.6295005426,1019690.5218928045,1015090.5218928045,1012947.5218928045,1014839.5218928045,1020775.5218928045,1024512.5218928045,1025231.5218928045,1027008.5218928045,1028051.5218928045,1029366.5218928045,1033224.5218928045,1039627.5218928045,1049803.5218928044,1056955.5218928044,1063599.5218928044,1063577.5218928044,1060436.5218928044,1054906.5218928044,1053692.5218928044,1051089.5218928044,1051054.5218928044,1052383.5218928044,1054098.5218928044,1057058.5218928044,1055498.5218928044,1060627.5218928044,1051663.5218928044,1045273.5218928045,1042282.5218928045,1055889.5218928044,1071112.5218928044,1080734.5218928044,1088772.5218928044,1098534.5218928044,1108420.5218928044,13983.943786256885,1041832.7923929096,1037232.7923929096,1035089.7923929096,1036981.7923929096,1042917.7923929096,1046654.7923929096,1047373.7923929096,1049150.7923929098,1050193.7923929098,1051508.7923929098,1055366.7923929098,1061769.7923929098,1071945.7923929098,1079097.7923929098,1085741.7923929098,1085719.7923929098,1082578.7923929098,1077048.7923929098,1075834.7923929098,1073231.7923929098,1073196.7923929098,1074525.7923929098,1076240.7923929098,1079200.7923929098,1077640.7923929098,1082769.7923929098,1073805.7923929098,1067415.7923929098,1064424.7923929098,1078031.7923929098,1093254.7923929098,1102876.7923929098,1110914.7923929098,1120676.7923929098,1130562.7923929098,1126684.657142857,1129425.3142857142,1132165.9714285713,1134906.6285714284,1137647.2857142854,1140387.9428571425,1143128.5999999996,1145869.2571428567,1148609.9142857138,1151350.571428571,1154091.228571428,1156831.885714285,1115613.5218928044,1113768.364664223,1112990.2026780134,1112764.3580713233,1112891.4747070738,1113269.3106211734,1113837.1293971995,1114555.3578998742,1115396.508535556,1116340.567754627,1117372.4269437261,1118480.3482131695,1137755.7923929098,1145082.2639072053,1151341.7401791292,1157048.8990715335,1162403.0967214971,1167506.5750931117,1172420.0706027998,1177183.1563858392,1181823.3200358716,1186360.5751025148,1190810.0301991298,1195183.4232154007
20012," ARIMA(0,1,0)(0,0,0)[12] intercept",110711.1366720937,10411.134928592413,3007.828571428571,669948.8285714285,671650.8285714285,672800.8285714285,674973.8285714285,679771.8285714285,684882.8285714285,689687.8285714285,692625.8285714285,693394.8285714285,693767.8285714285,697234.8285714285,701947.8285714285,707412.8285714285,711098.8285714285,715834.8285714285,718330.8285714285,719247.8285714285,717497.8285714285,715504.8285714285,713652.8285714285,712449.8285714285,715052.8285714285,718669.8285714285,724460.8285714285,727599.8285714285,733212.8285714285,728457.8285714285,725744.8285714285,722977.8285714285,731015.8285714285,741720.8285714285,750769.8285714285,758731.8285714285,765157.8285714285,771013.8285714285,-4236.48249381285,662974.6917797327,664676.6917797327,665826.6917797327,667999.6917797327,672797.6917797327,677908.6917797327,682713.6917797327,685651.6917797327,686420.6917797327,686793.6917797327,690260.6917797327,694973.6917797327,700438.6917797327,704124.6917797327,708860.6917797327,711356.6917797327,712273.6917797327,710523.6917797327,708530.6917797327,706678.6917797327,705475.6917797327,708078.6917797327,711695.6917797327,717486.6917797327,720625.6917797327,726238.6917797327,721483.6917797327,718770.6917797327,716003.6917797327,724041.6917797327,734746.6917797327,743795.6917797327,751757.6917797327,758183.6917797327,764039.6917797327,10252.139636669992,676922.9653631244,678624.9653631244,679774.9653631244,681947.9653631244,686745.9653631244,691856.9653631244,696661.9653631244,699599.9653631244,700368.9653631244,700741.9653631244,704208.9653631244,708921.9653631244,714386.9653631244,718072.9653631244,722808.9653631244,725304.9653631244,726221.9653631244,724471.9653631244,722478.9653631244,720626.9653631244,719423.9653631244,722026.9653631244,725643.9653631244,731434.9653631244,734573.9653631244,740186.9653631244,735431.9653631244,732718.9653631244,729951.9653631244,737989.9653631244,748694.9653631244,757743.9653631244,765705.9653631244,772131.9653631244,777987.9653631244,775222.8285714285,778230.6571428571,781238.4857142856,784246.3142857142,787254.1428571427,790261.9714285713,793269.7999999998,796277.6285714284,799285.4571428569,802293.2857142854,805301.114285714,808308.9428571425,768248.6917797327,768367.7383061957,769158.9264521331,770298.0407023225,771659.4989065286,773178.8948925456,774817.9684398269,776551.7908981056,778363.0467677695,780239.1287389474,782170.519311046,784149.8243328375,782196.9653631244,788093.5759795185,793318.0449764382,798194.5878691059,802848.7868077569,807345.0479645969,811721.6315601728,816003.4662447511,820207.8675179443,824347.4426896235,828431.709260382,832468.0613814476
20002," ARIMA(0,1,0)(0,0,0)[12] intercept",105282.28228931077,14564.573491073534,3063.3428571428567,637684.3428571428,637671.3428571429,638724.3428571429,641972.3428571429,645464.3428571429,647205.3428571429,648915.3428571429,651341.3428571429,654372.3428571429,655522.3428571429,659188.3428571429,663057.3428571429,667332.3428571429,671254.3428571429,675341.3428571429,678411.3428571429,679269.3428571429,678971.3428571429,679880.3428571429,680395.3428571429,682722.3428571429,686046.3428571429,689487.3428571429,693124.3428571429,696047.3428571429,701645.3428571429,700432.3428571429,701649.3428571429,703374.3428571429,712588.3428571429,720917.3428571429,727308.3428571429,732373.3428571429,737443.3428571429,742256.3428571429,-1701.4076196158494,633341.3728727797,633328.3728727798,634381.3728727798,637629.3728727798,641121.3728727798,642862.3728727798,644572.3728727798,646998.3728727798,650029.3728727798,651179.3728727798,654845.3728727798,658714.3728727798,662989.3728727798,666911.3728727798,670998.3728727798,674068.3728727798,674926.3728727798,674628.3728727798,675537.3728727798,676052.3728727798,678379.3728727798,681703.3728727798,685144.3728727798,688781.3728727798,691704.3728727798,697302.3728727798,696089.3728727798,697306.3728727798,699031.3728727798,708245.3728727798,716574.3728727798,722965.3728727798,728030.3728727798,733100.3728727798,737913.3728727798,7828.093333901563,642027.3128415059,642014.312841506,643067.312841506,646315.312841506,649807.312841506,651548.312841506,653258.312841506,655684.312841506,658715.312841506,659865.312841506,663531.312841506,667400.312841506,671675.312841506,675597.312841506,679684.312841506,682754.312841506,683612.312841506,683314.312841506,684223.312841506,684738.312841506,687065.312841506,690389.312841506,693830.312841506,697467.312841506,700390.312841506,705988.312841506,704775.312841506,705992.312841506,707717.312841506,716931.312841506,725260.312841506,731651.312841506,736716.312841506,741786.312841506,746599.312841506,744901.3428571429,747964.6857142858,751028.0285714287,754091.3714285716,757154.7142857146,760218.0571428575,763281.4000000004,766344.7428571433,769408.0857142862,772471.4285714291,775534.771428572,778598.1142857149,740558.3728727798,741822.7986614204,743505.7839027654,745405.4314598456,747443.5381764376,749579.996712945,751790.9814699577,754060.9687514124,756379.1757611971,758737.7516110961,761130.7695146642,763553.6249483882,749244.312841506,754106.5727671513,758550.2732400921,762777.3113972977,766865.8903949915,770856.1175727699,774771.818530043,778628.5169628742,782436.9956673753,786205.1055317621,789938.7733424798,793642.6036230417
20010," ARIMA(0,1,0)(0,0,0)[12] intercept",120687.48903767456,16146.265645526899,2547.857142857142,729002.8571428572,728889.8571428572,730563.8571428572,734356.8571428572,738158.8571428572,738422.8571428572,737299.8571428572,736725.8571428572,737461.8571428572,738231.8571428572,742120.8571428572,743915.8571428572,748742.8571428572,751939.8571428572,755876.8571428572,755912.8571428572,754659.8571428572,753517.8571428572,755583.8571428572,757067.8571428572,759932.8571428572,764785.8571428572,768529.8571428572,773459.8571428572,777196.8571428572,783706.8571428572,780762.8571428572,778897.8571428572,778700.8571428572,788477.8571428572,798361.8571428572,805694.8571428572,810814.8571428572,813586.8571428572,816689.8571428572,-3653.3585361205387,723119.52330255,723006.52330255,724680.52330255,728473.52330255,732275.52330255,732539.52330255,731416.52330255,730842.52330255,731578.52330255,732348.52330255,736237.52330255,738032.52330255,742859.52330255,746056.52330255,749993.52330255,750029.52330255,748776.52330255,747634.52330255,749700.52330255,751184.52330255,754049.52330255,758902.52330255,762646.52330255,767576.52330255,771313.52330255,777823.52330255,774879.52330255,773014.52330255,772817.52330255,782594.52330255,792478.52330255,799811.52330255,804931.52330255,807703.52330255,810806.52330255,8749.072821834823,734886.1909831644,734773.1909831644,736447.1909831644,740240.1909831644,744042.1909831644,744306.1909831644,743183.1909831644,742609.1909831644,743345.1909831644,744115.1909831644,748004.1909831644,749799.1909831644,754626.1909831644,757823.1909831644,761760.1909831644,761796.1909831644,760543.1909831644,759401.1909831644,761467.1909831644,762951.1909831644,765816.1909831644,770669.1909831644,774413.1909831644,779343.1909831644,783080.1909831644,789590.1909831644,786646.1909831644,784781.1909831644,784584.1909831644,794361.1909831644,804245.1909831644,811578.1909831644,816698.1909831644,819470.1909831644,822573.1909831644,818177.8571428572,820725.7142857143,823273.5714285715,825821.4285714286,828369.2857142858,830917.142857143,833465.0000000001,836012.8571428573,838560.7142857144,841108.5714285716,843656.4285714288,846204.2857142859,812294.52330255,812405.4237767832,813083.33829927,814054.7608908141,815213.7513130339,816505.9769619412,817899.1617785766,819372.2761249951,820910.7127647927,822503.8362580553,824143.6177067289,825823.819455683,824061.1909831644,829046.0047946455,833463.8045578729,837588.0962520431,841524.8201155377,845328.3087523447,849030.8382214237,852653.4381607195,856210.7158066361,859713.3065990879,863169.2394361286,866584.7519728888
20011," ARIMA(0,1,0)(0,0,0)[12] intercept",92433.95639135962,4597.375638102731,3275.7428571428563,561056.7428571428,562238.7428571428,563645.7428571428,569591.7428571428,576283.7428571428,580520.7428571428,584769.7428571428,588664.7428571428,593156.7428571428,594262.7428571428,598457.7428571428,601596.7428571428,607068.7428571428,608675.7428571428,610643.7428571428,610233.7428571428,610711.7428571428,612370.7428571428,615935.7428571428,619083.7428571428,621463.7428571428,624930.7428571428,626739.7428571428,629425.7428571428,631224.7428571428,638530.7428571428,641008.7428571428,645525.7428571428,647424.7428571428,653177.7428571428,658406.7428571428,661136.7428571428,664640.7428571428,667176.7428571428,672202.7428571428,-702.9135588438062,557594.3379045444,558776.3379045444,560183.3379045444,566129.3379045444,572821.3379045444,577058.3379045444,581307.3379045444,585202.3379045444,589694.3379045444,590800.3379045444,594995.3379045444,598134.3379045444,603606.3379045444,605213.3379045444,607181.3379045444,606771.3379045444,607249.3379045444,608908.3379045444,612473.3379045444,615621.3379045444,618001.3379045444,621468.3379045444,623277.3379045444,625963.3379045444,627762.3379045444,635068.3379045444,637546.3379045444,642063.3379045444,643962.3379045444,649715.3379045444,654944.3379045444,657674.3379045444,661178.3379045444,663714.3379045444,668740.3379045444,7254.399273129518,564519.1478097412,565701.1478097412,567108.1478097412,573054.1478097412,579746.1478097412,583983.1478097412,588232.1478097412,592127.1478097412,596619.1478097412,597725.1478097412,601920.1478097412,605059.1478097412,610531.1478097412,612138.1478097412,614106.1478097412,613696.1478097412,614174.1478097412,615833.1478097412,619398.1478097412,622546.1478097412,624926.1478097412,628393.1478097412,630202.1478097412,632888.1478097412,634687.1478097412,641993.1478097412,644471.1478097412,648988.1478097412,650887.1478097412,656640.1478097412,661869.1478097412,664599.1478097412,668103.1478097412,670639.1478097412,675665.1478097412,675707.7428571428,678983.4857142856,682259.2285714285,685534.9714285713,688810.7142857141,692086.4571428569,695362.1999999997,698637.9428571425,701913.6857142854,705189.4285714282,708465.171428571,711740.9142857138,672245.3379045444,674086.9056718933,676262.16727715,678610.1615233745,681068.5414460722,683605.3317261055,686201.537557226,688844.7827723578,691526.4708564902,694240.34273937,696981.6733285339,699746.7916971568,679170.1478097412,683880.065756678,688256.2898657069,692459.781333768,696552.887125356,700567.5825596083,704522.8624427734,708431.1029419273,712300.9005720805,716138.5144034864,719948.6695286081,723735.0368742708
20001," ARIMA(0,1,0)(0,0,1)[12] intercept",121439.92814804384,7475.023461677982,3027.5428571319126,734468.5428571319,735263.5428571319,736338.5428571319,738618.5428571319,739407.5428571319,738757.5428571319,738331.5428571319,738721.5428571319,739569.5428571319,741002.5428571319,745476.5428571319,757572.0314412542,760607.0294435836,767468.100515043,771953.0135190027,773155.9850634808,771735.3412355157,770698.9980926833,772022.033786651,773935.4214678241,778065.7485278377,782164.2418432247,785802.3534264334,788745.720153808,791612.0066358276,796710.3640540676,794353.1688211487,793078.8404394239,795507.6708896778,806280.0787771423,817224.4206040519,823527.7874931585,827238.3856310884,831194.8313795178,836651.9188873725,-3502.64469381644,728239.4264968552,729034.4264968552,730109.4264968552,732389.4264968552,733178.4264968552,732528.4264968552,732102.4264968552,732492.4264968552,733340.4264968552,734773.4264968552,739247.4264968552,751343.0701330359,754378.0834860153,761239.1545574748,765724.0675614345,766927.0391059126,765506.3952779474,764470.052135115,765793.0878290827,767706.4755102559,771836.8025702694,775935.2958856565,779573.4074688652,782516.7742047233,785383.0606875828,790481.4181058229,788124.2228729039,786849.8944911791,789278.724941433,800051.1328288976,810995.4746558071,817298.8415449137,821009.4396828436,824965.885431273,830422.9729391277,9557.730408080264,740697.6592174086,741492.6592174086,742567.6592174086,744847.6592174086,745636.6592174086,744986.6592174086,744560.6592174086,744950.6592174086,745798.6592174086,747231.6592174086,751705.6592174086,763800.9927494725,766835.9754011518,773697.0464726113,778181.959476571,779384.931021049,777964.2871930839,776927.9440502515,778250.9797442192,780164.3674253924,784294.6944854059,788393.187800793,792031.2993840016,794974.6661028927,797840.9525840724,802939.3100023124,800582.1147693935,799307.7863876687,801736.6168379226,812509.0247253871,823453.3665522967,829756.7334414033,833467.3315793332,837423.7773277626,842880.8648356172,840431.1394803629,843473.9202907349,846461.7306925517,849457.6941300592,852481.0292241139,855565.9537312584,858652.1179320925,861703.8313632222,864736.3688270288,867770.751138483,870816.2701679893,873849.3836327648,834202.1935321186,834664.8604514389,835672.8798325924,836999.8022335707,838552.682655668,840308.2145226834,842171.876022975,844085.7116846304,846049.5309822961,848073.0945199541,850157.1936182587,852271.6819128463,846660.0854286072,852282.9801300308,857250.581552511,861915.5860265477,866409.3757925598,870823.6929398334,875132.3598412101,879321.951041814,883423.2066717615,887468.407757012,891475.3467177199,895427.0853526833
20008," ARIMA(0,1,0)(2,0,0)[12] intercept",246219.99279139552,33189.023101391926,3431.305324477874,1483715.3053244764,1485338.3053244783,1489542.3053244783,1495790.3053244778,1503565.3053244785,1511734.3053244776,1519889.3053244778,1526183.3053244771,1528425.3053244783,1525831.3053244771,1528107.3053244785,1541309.274724982,1545110.1251725052,1555583.5099425523,1569147.2776566092,1572372.5630281167,1571789.21688298,1566630.1225835679,1561377.587497532,1555452.2945536203,1555452.7208426741,1562902.5235664765,1571748.5524877848,1568554.9286798316,1572015.7343459793,1569967.1031481468,1553409.4148310092,1547866.0041803562,1545269.971105883,1556692.52784433,1570357.2159516932,1579352.28665925,1586085.18146745,1591973.7867309318,1598393.194268591,-9943.263779366956,1470485.1261914175,1472108.1261914193,1476312.1261914193,1482560.1261914189,1490335.1261914195,1498504.1261914186,1506659.1261914189,1512953.1261914182,1515195.1261914193,1512601.1261914182,1514877.1261914195,1528079.3892718693,1531880.2461647044,1542353.6309347516,1555917.3986488085,1559142.684020316,1558559.3378751792,1553400.2435757671,1548147.7084897312,1542222.4155458196,1542222.8418348734,1549672.6445586758,1558518.673479984,1555325.4240947647,1558786.2379786626,1556737.60678083,1540179.9184636925,1534636.5078130395,1532040.4747385662,1543463.0314770134,1557127.7195843766,1566122.7902919333,1572855.6851001333,1578744.2903636151,1585163.6979012743,16805.874428322706,1496945.4844575354,1498568.4844575373,1502772.4844575373,1509020.4844575368,1516795.4844575375,1524964.4844575366,1533119.4844575368,1539413.4844575361,1541655.4844575373,1539061.4844575361,1541337.4844575375,1554539.1601780946,1558340.0041803059,1568813.388950353,1582377.15666441,1585602.4420359174,1585019.0958907807,1579860.0015913686,1574607.4665053326,1568682.173561421,1568682.5998504749,1576132.4025742773,1584978.4314955855,1581784.4332648984,1585245.230713296,1583196.5995154635,1566638.911198326,1561095.5005476729,1558499.4674731996,1569922.0242116468,1583586.71231901,1592581.7830265667,1599314.6778347667,1605203.2830982485,1611622.6906359077,1603758.0243423386,1607098.7020791834,1610317.9676316134,1613690.2614696089,1617111.4445555438,1620662.32252652,1624228.9649073817,1627768.5028991257,1631247.4719436907,1634665.3273307316,1638075.904450529,1641488.8689726605,1590528.5279750219,1588389.3688931586,1587403.807764873,1587231.2687349755,1587529.3913701372,1588256.8068725904,1589227.0075488293,1590349.836527076,1591558.9828417406,1592829.9865130873,1594198.6288347698,1595660.5492391798,1616987.5207096552,1625808.0352652082,1633232.1274983538,1640149.2542042423,1646693.4977409504,1653067.8381804493,1659230.922265934,1665187.1692711753,1670935.9610456408,1676500.6681483758,1681953.1800662882,1687317.1887061412
20007," ARIMA(0,1,0)(0,0,1)[12] intercept",213517.0970002757,14276.729213010485,2580.7142857085773,1285920.7142857083,1283211.7142857085,1281213.7142857085,1282170.7142857085,1288918.7142857085,1299319.7142857085,1307711.7142857085,1314593.7142857085,1316567.7142857085,1316214.7142857085,1320777.7142857085,1334949.3991795795,1337750.2358879417,1345562.2734267146,1355047.2100330074,1358639.2401132246,1357517.122151393,1351093.888093172,1348354.1895227823,1345557.4156264423,1347297.9284918082,1351005.759069316,1355727.8168691064,1361263.5395135062,1356729.010694961,1357399.7156776905,1345348.6707601305,1341689.08526922,1338243.6250578642,1346674.800559345,1355404.642542529,1359630.908314943,1363004.600955706,1366702.7443418032,1372005.639069628,-7845.322263140969,1275680.5590477614,1272971.5590477616,1270973.5590477616,1271930.5590477616,1278678.5590477616,1289079.5590477616,1297471.5590477616,1304353.5590477616,1306327.5590477616,1305974.5590477616,1310537.5590477616,1324709.4918858588,1327510.3376774979,1335322.3752162708,1344807.3118225636,1348399.3419027808,1347277.2239409492,1340853.9898827283,1338114.2913123386,1335317.5174159985,1337058.0302813645,1340765.8608588723,1345487.9186586626,1351023.6413155098,1346489.1124974207,1347159.8174801501,1335108.7725625902,1331449.1870716796,1328003.726860324,1336434.9023618046,1345164.7443449886,1349391.0101174028,1352764.7027581658,1356462.846144263,1361765.7408720877,13006.750834558123,1296160.8695236552,1293451.8695236554,1291453.8695236554,1292410.8695236554,1299158.8695236554,1309559.8695236554,1317951.8695236554,1324833.8695236554,1326807.8695236554,1326454.8695236554,1331017.8695236554,1345189.3064733,1347990.1340983855,1355802.1716371584,1365287.1082434512,1368879.1383236684,1367757.0203618368,1361333.786303616,1358594.0877332261,1355797.313836886,1357537.826702252,1361245.6572797599,1365967.7150795502,1371503.4377115027,1366968.9088925014,1367639.6138752308,1355588.5689576708,1351928.9834667603,1348483.5232554046,1356914.6987568852,1365644.5407400692,1369870.8065124834,1373244.4991532464,1376942.6425393436,1382245.5372671683,1376195.034955127,1378761.868667307,1381238.8603088018,1383775.5476200334,1386314.0175406781,1388936.4539168056,1391561.007614413,1394153.4225961254,1396739.6996502706,1399328.224986236,1401928.079023391,1404520.550713724,1365955.1367575873,1364280.4657590266,1363502.83636633,1363295.751224954,1363416.909088302,1363853.928314788,1364468.7835331045,1365190.6167795644,1366020.0050576515,1366946.823673758,1367966.1788107152,1369048.5028287806,1386434.9331526665,1393243.2715755876,1398974.8842512735,1404255.3440151128,1409211.1259930544,1414018.979518823,1418653.2316957216,1423116.2284126864,1427459.3942428897,1431709.6262987142,1435889.9792360668,1439992.5985986674
20009," ARIMA(0,1,1)(1,0,0)[12] intercept",152283.6563233518,4455.987260758641,2724.040215072024,914430.0382462068,917013.8187820013,918972.2898229173,923435.3868620207,929463.6984920729,935353.4675299419,938140.6894986575,940977.414710464,942008.4380046289,943238.3340791363,947251.2583419998,959474.2809818987,962244.0849346673,969911.7433290606,975482.5844954595,977714.993316926,978351.7239503614,976547.5259979954,978346.0377920818,979459.0165283362,982642.1243129331,985837.6177450661,989084.7818524895,993014.3301881741,993298.2046715932,998271.9921213537,994124.2104086665,992510.1693816044,990028.5371511427,999183.4446528528,1008622.5753874327,1013532.4772372221,1016423.5389813719,1019903.7180545214,1023584.7576146591,-3533.1361678259454,908487.8309911381,911071.6204125029,913030.0914536897,917493.1884927931,923521.5001228453,929411.2691607143,932198.4911294299,935035.2163412364,936066.2396354013,937296.1357099087,941309.0599774538,953532.2362339097,956302.0569039857,963969.7152988884,969540.5564652872,971772.9652867537,972409.6959201891,970605.4979678232,972404.0097619096,973516.988498164,976700.0962827608,979895.5897148938,983142.7538223172,987072.3021580019,987356.1766414209,992329.9640911815,988182.1823784943,986568.1413514322,984086.5091209705,993241.4166226806,1002680.5473572605,1007590.4492070499,1010481.5109511997,1013961.6900243491,1017642.7295844869,8981.216597969993,920372.2455012755,922956.0171514996,924914.4881921449,929377.5852312483,935405.8968613005,941295.6658991695,944082.8878678851,946919.6130796915,947950.6363738565,949180.5324483638,953193.4567065459,965416.3257298876,968186.112965349,975853.7713592328,981424.6125256317,983657.0213470982,984293.7519805336,982489.5540281676,984288.065822254,985401.0445585084,988584.1523431053,991779.6457752383,995026.8098826617,998956.3582183464,999240.2327017654,1004214.020151526,1000066.2384388387,998452.1974117766,995970.565181315,1005125.4726830251,1014564.6034176049,1019474.5052673944,1022365.5670115441,1025845.7460846936,1029526.7856448314,1023313.0155103878,1026054.4098385363,1028726.2274899437,1031417.6180774025,1034102.3455376948,1036875.359432942,1039650.2965489851,1042390.5778320273,1045115.7989333264,1047845.5857910815,1050576.8415655075,1053278.2419871867,1017370.9874802156,1017674.2753469939,1018472.1740923197,1019582.7303269288,1020874.2116915585,1022387.3477668684,1024003.5256673855,1025665.1362532153,1027377.1588222231,1029148.5723938507,1030968.2397040484,1032798.5880851746,1029255.0435405601,1034434.5443300786,1038980.2808875678,1043252.5058278762,1047330.479383831,1051363.3710990155,1055297.0674305845,1059116.0194108395,1062854.4390444297,1066542.5991883124,1070185.4434269664,1073757.8958891989
20020," ARIMA(0,2,0)(0,0,0)[12]          ",63242.00372211824,8219.728153452927,0.0,528970.1148223223,300105.0000000002,301163.99999999994,308321.0,314125.0,316715.0,315863.0,319113.0,318973.0,319901.0,321741.0,325606.0,328470.0,329152.0,328316.0,329073.0,327232.0,328759.0,331574.0,333248.0,335770.0,337468.0,338349.0,339458.0,341554.0,349452.0,348213.0,350550.0,352529.0,359344.0,362206.0,364275.0,369047.0,373736.0,378499.0,-3842.571482714985,525819.8012158873,297443.7149798668,298502.7149798666,305659.71497986664,311463.71497986664,314053.71497986664,313201.71497986664,316451.71497986664,316311.71497986664,317239.71497986664,319079.71497986664,322944.71497986664,325808.71497986664,326490.71497986664,325654.71497986664,326411.71497986664,324570.71497986664,326097.71497986664,328912.71497986664,330586.71497986664,333108.71497986664,334806.71497986664,335687.71497986664,336796.71497986664,338892.71497986664,346790.71497986664,345551.71497986664,347888.71497986664,349867.71497986664,356682.71497986664,359544.71497986664,361613.71497986664,366385.71497986664,371074.71497986664,375837.71497986664,3842.571482714985,532120.4284287572,302766.28502013354,303825.2850201333,310982.28502013336,316786.28502013336,319376.28502013336,318524.28502013336,321774.28502013336,321634.28502013336,322562.28502013336,324402.28502013336,328267.28502013336,331131.28502013336,331813.28502013336,330977.28502013336,331734.28502013336,329893.28502013336,331420.28502013336,334235.28502013336,335909.28502013336,338431.28502013336,340129.28502013336,341010.28502013336,342119.28502013336,344215.28502013336,352113.28502013336,350874.28502013336,353211.28502013336,355190.28502013336,362005.28502013336,364867.28502013336,366936.28502013336,371708.28502013336,376397.28502013336,381160.28502013336,382096.0,386148.0,390200.0,394252.0,398304.0,402356.0,406408.0,410460.0,414512.0,418564.0,422616.0,426668.0,379434.71497986664,380197.1857874799,380242.3832461072,379675.5416252237,378567.38205995667,376968.9589315111,374919.2509906464,372449.24700152886,369584.33794041735,366345.8172091494,362751.8737895272,358818.27875553933,384757.28502013336,392098.8142125201,400157.6167538928,408828.4583747763,418040.61794004333,427743.0410684889,437896.7490093536,448470.75299847114,459439.66205958265,470782.1827908506,482480.1262104728,494517.72124446067
