zip_code,model_order,train_rmse,test_rmse,train_pred_2016-01-31,train_pred_2016-02-29,train_pred_2016-03-31,train_pred_2016-04-30,train_pred_2016-05-31,train_pred_2016-06-30,train_pred_2016-07-31,train_pred_2016-08-31,train_pred_2016-09-30,train_pred_2016-10-31,train_pred_2016-11-30,train_pred_2016-12-31,train_pred_2017-01-31,train_pred_2017-02-28,train_pred_2017-03-31,train_pred_2017-04-30,train_pred_2017-05-31,train_pred_2017-06-30,train_pred_2017-07-31,train_pred_2017-08-31,train_pred_2017-09-30,train_pred_2017-10-31,train_pred_2017-11-30,train_pred_2017-12-31,train_pred_2018-01-31,train_pred_2018-02-28,train_pred_2018-03-31,train_pred_2018-04-30,train_pred_2018-05-31,train_pred_2018-06-30,train_pred_2018-07-31,train_pred_2018-08-31,train_pred_2018-09-30,train_pred_2018-10-31,train_pred_2018-11-30,train_pred_2018-12-31,train_lci_2016-01-31,train_lci_2016-02-29,train_lci_2016-03-31,train_lci_2016-04-30,train_lci_2016-05-31,train_lci_2016-06-30,train_lci_2016-07-31,train_lci_2016-08-31,train_lci_2016-09-30,train_lci_2016-10-31,train_lci_2016-11-30,train_lci_2016-12-31,train_lci_2017-01-31,train_lci_2017-02-28,train_lci_2017-03-31,train_lci_2017-04-30,train_lci_2017-05-31,train_lci_2017-06-30,train_lci_2017-07-31,train_lci_2017-08-31,train_lci_2017-09-30,train_lci_2017-10-31,train_lci_2017-11-30,train_lci_2017-12-31,train_lci_2018-01-31,train_lci_2018-02-28,train_lci_2018-03-31,train_lci_2018-04-30,train_lci_2018-05-31,train_lci_2018-06-30,train_lci_2018-07-31,train_lci_2018-08-31,train_lci_2018-09-30,train_lci_2018-10-31,train_lci_2018-11-30,train_lci_2018-12-31,train_uci_2016-01-31,train_uci_2016-02-29,train_uci_2016-03-31,train_uci_2016-04-30,train_uci_2016-05-31,train_uci_2016-06-30,train_uci_2016-07-31,train_uci_2016-08-31,train_uci_2016-09-30,train_uci_2016-10-31,train_uci_2016-11-30,train_uci_2016-12-31,train_uci_2017-01-31,train_uci_2017-02-28,train_uci_2017-03-31,train_uci_2017-04-30,train_uci_2017-05-31,train_uci_2017-06-30,train_uci_2017-07-31,train_uci_2017-08-31,train_uci_2017-09-30,train_uci_2017-10-31,train_uci_2017-11-30,train_uci_2017-12-31,train_uci_2018-01-31,train_uci_2018-02-28,train_uci_2018-03-31,train_uci_2018-04-30,train_uci_2018-05-31,train_uci_2018-06-30,train_uci_2018-07-31,train_uci_2018-08-31,train_uci_2018-09-30,train_uci_2018-10-31,train_uci_2018-11-30,train_uci_2018-12-31,test_pred_2019-01-31,test_pred_2019-02-28,test_pred_2019-03-31,test_pred_2019-04-30,test_pred_2019-05-31,test_pred_2019-06-30,test_pred_2019-07-31,test_pred_2019-08-31,test_pred_2019-09-30,test_pred_2019-10-31,test_pred_2019-11-30,test_pred_2019-12-31,test_lci_2019-01-31,test_lci_2019-02-28,test_lci_2019-03-31,test_lci_2019-04-30,test_lci_2019-05-31,test_lci_2019-06-30,test_lci_2019-07-31,test_lci_2019-08-31,test_lci_2019-09-30,test_lci_2019-10-31,test_lci_2019-11-30,test_lci_2019-12-31,test_uci_2019-01-31,test_uci_2019-02-28,test_uci_2019-03-31,test_uci_2019-04-30,test_uci_2019-05-31,test_uci_2019-06-30,test_uci_2019-07-31,test_uci_2019-08-31,test_uci_2019-09-30,test_uci_2019-10-31,test_uci_2019-11-30,test_uci_2019-12-31
32003," ARIMA(0,1,0)(0,0,0)[12] intercept",40945.305855413186,6158.522947915183,1263.6,248173.59999999998,248618.6,249368.6,250468.6,251161.6,251800.6,252731.6,253705.6,255239.6,256933.6,258454.6,259669.6,261162.6,263328.6,265552.6,268175.6,270376.6,272564.6,273743.6,274724.6,275811.6,277074.6,278720.6,280439.6,282408.6,284061.6,285481.6,285678.6,286192.6,286887.6,288490.6,289607.6,289975.6,290433.6,291330.6,-1019.6106950497478,247002.45002783783,247447.45002783785,248197.45002783785,249297.45002783785,249990.45002783785,250629.45002783785,251560.45002783785,252534.45002783785,254068.45002783785,255762.45002783785,257283.45002783785,258498.45002783785,259991.45002783785,262157.4500278378,264381.4500278378,267004.4500278378,269205.4500278378,271393.4500278378,272572.4500278378,273553.4500278378,274640.4500278378,275903.4500278378,277549.4500278378,279268.4500278378,281237.4500278378,282890.4500278378,284310.4500278378,284507.4500278378,285021.4500278378,285716.4500278378,287319.4500278378,288436.4500278378,288804.4500278378,289262.4500278378,290159.4500278378,3546.8106950497477,249344.74997216213,249789.74997216216,250539.74997216216,251639.74997216216,252332.74997216216,252971.74997216216,253902.74997216216,254876.74997216216,256410.74997216216,258104.74997216216,259625.74997216216,260840.74997216216,262333.7499721622,264499.7499721621,266723.7499721621,269346.7499721621,271547.7499721621,273735.7499721621,274914.7499721621,275895.7499721621,276982.7499721621,278245.7499721621,279891.7499721621,281610.7499721621,283579.7499721621,285232.7499721621,286652.7499721621,286849.7499721621,287363.7499721621,288058.7499721621,289661.7499721621,290778.7499721621,291146.7499721621,291604.7499721621,292501.7499721621,292399.6,293663.19999999995,294926.79999999993,296190.3999999999,297453.9999999999,298717.59999999986,299981.19999999984,301244.7999999998,302508.3999999998,303771.99999999977,305035.59999999974,306299.1999999997,291228.4500278378,292006.9438257954,292898.3087449322,293848.1000556756,294835.22905039834,295848.88015592785,296882.62842569855,297932.2876515906,298994.95008351334,300068.49860632455,301151.3349691027,302242.21748986427,293570.7499721621,295319.45617420453,296955.2912550677,298532.6999443242,300072.7709496014,301586.31984407187,303079.7715743011,304557.31234840903,306021.84991648624,307475.501393675,308919.8650308968,310356.1825101352
32040," ARIMA(0,1,0)(0,0,0)[12] intercept",27026.02765517822,4956.122549827893,1189.085714285714,164523.08571428573,165885.08571428573,167161.08571428573,168655.08571428573,170021.08571428573,171431.08571428573,173065.08571428573,174814.08571428573,176577.08571428573,177656.08571428573,178320.08571428573,178807.08571428573,179768.08571428573,180903.08571428573,182297.08571428573,183569.08571428573,185151.08571428573,186385.08571428573,187689.08571428573,188573.08571428573,189472.08571428573,190357.08571428573,191448.08571428573,192790.08571428573,194165.08571428573,195674.08571428573,197356.08571428573,198834.08571428573,199768.08571428573,200616.08571428573,201258.08571428573,202383.08571428573,203285.08571428573,204382.08571428573,205191.08571428573,-870.5136746243634,163890.24227226817,165252.24227226817,166528.24227226817,168022.24227226817,169388.24227226817,170798.24227226817,172432.24227226817,174181.24227226817,175944.24227226817,177023.24227226817,177687.24227226817,178174.24227226817,179135.24227226817,180270.24227226817,181664.24227226817,182936.24227226817,184518.24227226817,185752.24227226817,187056.24227226817,187940.24227226817,188839.24227226817,189724.24227226817,190815.24227226817,192157.24227226817,193532.24227226817,195041.24227226817,196723.24227226817,198201.24227226817,199135.24227226817,199983.24227226817,200625.24227226817,201750.24227226817,202652.24227226817,203749.24227226817,204558.24227226817,3248.6851031957913,165155.9291563033,166517.9291563033,167793.9291563033,169287.9291563033,170653.9291563033,172063.9291563033,173697.9291563033,175446.9291563033,177209.9291563033,178288.9291563033,178952.9291563033,179439.9291563033,180400.9291563033,181535.9291563033,182929.9291563033,184201.9291563033,185783.9291563033,187017.9291563033,188321.9291563033,189205.9291563033,190104.9291563033,190989.9291563033,192080.9291563033,193422.9291563033,194797.9291563033,196306.9291563033,197988.9291563033,199466.9291563033,200400.9291563033,201248.9291563033,201890.9291563033,203015.9291563033,203917.9291563033,205014.9291563033,205823.9291563033,206141.08571428573,207330.17142857146,208519.25714285718,209708.3428571429,210897.42857142864,212086.51428571437,213275.6000000001,214464.68571428582,215653.77142857155,216842.85714285728,218031.942857143,219221.02857142873,205508.24227226817,206435.19565001133,207423.140148046,208442.6559731078,209482.3476159624,210536.37076570475,211601.2536335835,212674.7341571656,213755.24110251886,214841.63046378107,215933.0386089337,217028.79458180635,206773.9291563033,208225.14720713158,209615.37413766838,210974.02974117803,212312.50952689486,213636.65780572398,214949.9463664167,216254.63727140604,217552.30175462423,218844.08382193348,220130.8471053523,221413.26256105112
32009," ARIMA(0,1,0)(0,0,0)[12] intercept",31104.440767016218,2189.02545792471,1146.2571428571428,188724.25714285712,191418.25714285715,193756.25714285715,196319.25714285715,196784.25714285715,195466.25714285715,193786.25714285715,192932.25714285715,192426.25714285715,191983.25714285715,191872.25714285715,191741.25714285715,192512.25714285715,192032.25714285715,192603.25714285715,193254.25714285715,195517.25714285715,196802.25714285715,197340.25714285715,197016.25714285715,197259.25714285715,198871.25714285715,201281.25714285715,204515.25714285715,206948.25714285715,208874.25714285715,209894.25714285715,211228.25714285715,213471.25714285715,216716.25714285715,220429.25714285715,223605.25714285715,226572.25714285715,228737.25714285715,229221.25714285715,-2292.0252149373327,185899.30993074385,188593.30993074388,190931.30993074388,193494.30993074388,193959.30993074388,192641.30993074388,190961.30993074388,190107.30993074388,189601.30993074388,189158.30993074388,189047.30993074388,188916.30993074388,189687.30993074388,189207.30993074388,189778.30993074388,190429.30993074388,192692.30993074388,193977.30993074388,194515.30993074388,194191.30993074388,194434.30993074388,196046.30993074388,198456.30993074388,201690.30993074388,204123.30993074388,206049.30993074388,207069.30993074388,208403.30993074388,210646.30993074388,213891.30993074388,217604.30993074388,220780.30993074388,223747.30993074388,225912.30993074388,226396.30993074388,4584.539500651618,191549.2043549704,194243.20435497042,196581.20435497042,199144.20435497042,199609.20435497042,198291.20435497042,196611.20435497042,195757.20435497042,195251.20435497042,194808.20435497042,194697.20435497042,194566.20435497042,195337.20435497042,194857.20435497042,195428.20435497042,196079.20435497042,198342.20435497042,199627.20435497042,200165.20435497042,199841.20435497042,200084.20435497042,201696.20435497042,204106.20435497042,207340.20435497042,209773.20435497042,211699.20435497042,212719.20435497042,214053.20435497042,216296.20435497042,219541.20435497042,223254.20435497042,226430.20435497042,229397.20435497042,231562.20435497042,232046.20435497042,228843.25714285715,229989.5142857143,231135.77142857146,232282.02857142861,233428.28571428577,234574.54285714292,235720.80000000008,236867.05714285723,238013.31428571438,239159.57142857154,240305.8285714287,241452.08571428584,226018.30993074388,225994.43562535563,226242.8193284912,226632.13414720204,227111.51171515195,227654.8636371675,228246.6922098631,228876.89982213988,229538.47264937454,230226.30396855075,230936.5386162884,231666.18151412532,231668.20435497042,233984.59294607298,236028.72352865172,237931.9229956552,239745.05971341959,241494.22207711835,243194.90779013705,244857.21446357458,246488.15592205423,248092.83888859232,249675.118526569,251237.98991444637
32034," ARIMA(0,1,1)(0,0,0)[12] intercept",50132.219110193655,2620.5881855744688,1674.7579018001443,301492.7722166441,303068.4882506712,304262.16408526414,307385.44710912165,308868.114395701,309857.72973514104,309755.8027909143,310202.2212811451,311173.05786557356,313438.4376744096,316472.01458815264,318981.1779247947,321680.8490877439,322976.3842474927,324878.7802688532,326161.6063200049,329196.9831375473,331847.704413226,335062.84208758594,337161.35344895447,338493.7403194067,339249.8105832394,340659.3914703451,343493.4999974855,347243.49624046416,350246.54796973086,351632.79912228393,351920.98613761563,352628.6563020081,354332.25397035916,356335.02634343656,357911.4756954947,359823.6101051987,361724.8013210137,362601.69930106116,-1103.7331910927778,299523.5135795445,301099.37409682514,302293.0499740253,305416.33299789537,306899.0002844747,307888.61562391475,307786.688679688,308233.10716991883,309203.9437543473,311469.3235631833,314502.90047692636,317012.06381356844,319711.7349765176,321007.2701362664,322909.6661576269,324192.4922087786,327227.869026321,329878.5903019997,333093.72797635966,335192.2393377282,336524.6262081804,337280.69647201314,338690.2773591188,341524.3858862592,345274.38212923787,348277.4338585046,349663.68501105765,349951.87202638935,350659.5421907818,352363.1398591329,354365.9122322103,355942.3615842684,357854.4959939724,359755.68720978743,360632.5851898349,4453.248994693066,303462.03085374366,305037.60240451724,306231.278196503,309354.56122034794,310837.22850692726,311826.8438463673,311724.9169021406,312171.3353923714,313142.17197679984,315407.5517856359,318441.1286993789,320950.292036021,323649.9631989702,324945.498358719,326847.89438007947,328130.7204312312,331166.09724877356,333816.8185244523,337031.95619881223,339130.46756018075,340462.85443063296,341218.9246944657,342628.5055815714,345462.6141087118,349212.61035169044,352215.66208095715,353601.9132335102,353890.1002488419,354597.77041323436,356301.36808158545,358304.14045466285,359880.58980672096,361792.724216425,363693.91543224,364570.81341228745,362640.3464702157,364315.10437201586,365989.862273816,367664.6201756162,369339.37807741633,371014.1359792165,372688.89388101664,374363.6517828168,376038.40968461696,377713.1675864171,379387.92548821727,381062.6833900174,360671.2323589894,361554.1647535512,362618.19135710644,363777.0062590392,364996.692369454,366259.7383988792,367555.70057219855,368877.7561640985,370221.15707421314,371582.4412732445,372958.99227027164,374348.77547326864,364609.460581442,367076.04399048054,369361.5331905256,371552.23409219313,373682.06378537865,375768.5335595538,377822.08718983474,379849.5474015351,381855.66229502077,383843.8938995897,385816.8587061629,387776.5913067662
32008," ARIMA(0,1,0)(0,0,0)[12] intercept",17425.176896267458,2610.697201429374,612.5714285714284,105760.57142857143,106152.57142857143,106938.57142857143,108018.57142857143,109223.57142857143,109875.57142857143,110145.57142857143,110330.57142857143,110765.57142857143,111510.57142857143,112394.57142857143,113435.57142857143,114154.57142857143,114567.57142857143,114991.57142857143,115501.57142857143,116054.57142857143,116606.57142857143,117746.57142857143,118635.57142857143,119494.57142857143,120160.57142857143,120464.57142857143,120820.57142857143,120883.57142857143,121865.57142857143,122637.57142857143,123566.57142857143,124332.57142857143,125169.57142857143,125687.57142857143,126175.57142857143,126595.57142857143,127012.57142857143,127269.57142857143,-1436.8694983464125,105161.61459186971,105553.61459186971,106339.61459186971,107419.61459186971,108624.61459186971,109276.61459186971,109546.61459186971,109731.61459186971,110166.61459186971,110911.61459186971,111795.61459186971,112836.61459186971,113555.61459186971,113968.61459186971,114392.61459186971,114902.61459186971,115455.61459186971,116007.61459186971,117147.61459186971,118036.61459186971,118895.61459186971,119561.61459186971,119865.61459186971,120221.61459186971,120284.61459186971,121266.61459186971,122038.61459186971,122967.61459186971,123733.61459186971,124570.61459186971,125088.61459186971,125576.61459186971,125996.61459186971,126413.61459186971,126670.61459186971,2662.0123554892693,106359.52826527315,106751.52826527315,107537.52826527315,108617.52826527315,109822.52826527315,110474.52826527315,110744.52826527315,110929.52826527315,111364.52826527315,112109.52826527315,112993.52826527315,114034.52826527315,114753.52826527315,115166.52826527315,115590.52826527315,116100.52826527315,116653.52826527315,117205.52826527315,118345.52826527315,119234.52826527315,120093.52826527315,120759.52826527315,121063.52826527315,121419.52826527315,121482.52826527315,122464.52826527315,123236.52826527315,124165.52826527315,124931.52826527315,125768.52826527315,126286.52826527315,126774.52826527315,127194.52826527315,127611.52826527315,127868.52826527315,127200.57142857143,127813.14285714287,128425.7142857143,129038.28571428574,129650.85714285717,130263.42857142861,130876.00000000004,131488.57142857148,132101.1428571429,132713.71428571432,133326.28571428574,133938.85714285716,126601.61459186971,126966.0899754032,127388.29061300619,127840.3720408823,128311.54894040388,128796.28994355787,129291.30916402536,129794.46566509215,130304.27234703772,130819.64646160734,131339.77062132795,131864.00979744093,127799.52826527315,128660.19573888254,129463.13795842242,130236.19938768918,130990.16534531047,131730.56719929934,132460.69083597473,133182.67719205082,133898.01336724806,134607.7821098213,135312.80080724353,136013.7044882734
32052," ARIMA(0,2,1)(0,0,0)[12]          ",13617.500035244511,433.2141777630997,0.0,110630.89085346521,74501.66268419984,75153.95534458292,75403.28298007081,76073.99415598832,77381.03600177201,78576.09950149391,78735.74957724039,79146.77122257938,79122.7018707464,79935.87272375532,80586.17151822023,80467.5919156369,80531.51452866221,80815.20638092868,81724.16557265219,82170.49847165213,81890.91132005221,81286.81883271999,81399.27033410684,81963.44727818934,82700.22182627178,82646.59481561037,82157.33079309667,82095.05087808095,82242.89249215968,82612.21322167556,82202.54860263817,82041.40993506923,81743.27365270488,82522.36823299786,82789.43383289399,83160.24226430722,83179.62383449142,83407.89215421135,-2806.374769589896,109152.7201925373,74062.87661814508,74718.58459320951,74967.97145607676,75638.68367148362,76945.72553551503,78140.78903555726,78300.43911130936,78711.46075664845,78687.39140481547,79500.5622578244,80150.8610522893,80032.28144970597,80096.20406273128,80379.89591499775,81288.85510672125,81735.1880057212,81455.60085412128,80851.50836678906,80963.95986817591,81528.13681225841,82264.91136034085,82211.28434967944,81722.02032716574,81659.74041215001,81807.58202622875,82176.90275574462,81767.23813670724,81606.0994691383,81307.96318677395,82087.05776706693,82354.12336696306,82724.93179837629,82744.31336856048,82972.58168828042,2806.374769589896,112109.06151439314,74940.4487502546,75589.32609595633,75838.59450406487,76509.304640493,77816.34646802899,79011.40996743056,79171.06004317143,79582.08168851031,79558.01233667733,80371.18318968626,81021.48198415116,80902.90238156784,80966.82499459315,81250.51684685961,82159.47603858312,82605.80893758306,82326.22178598314,81722.12929865092,81834.58080003777,82398.75774412027,83135.53229220271,83081.9052815413,82592.6412590276,82530.36134401188,82678.20295809061,83047.52368760649,82637.8590685691,82476.72040100016,82178.58411863582,82957.6786989288,83224.74429882492,83595.55273023815,83614.93430042235,83843.20262014229,83850.1185603991,84178.2371207982,84506.35568119731,84834.47424159641,85162.59280199552,85490.71136239462,85818.82992279372,86146.94848319283,86475.06704359193,86803.18560399103,87131.30416439014,87459.42272478924,83414.80809446817,83152.94197972733,82753.85010375293,82239.15090045579,81622.73637977996,80914.46972118098,80121.81434645814,79250.67040948462,78305.85331381459,77291.38963367383,76210.71117913067,75066.7882310926,84285.42902633004,85203.53226186908,86258.86125864169,87429.79758273704,88702.44922421107,90066.95300360826,91515.84549912931,93043.22655690103,94644.28077336928,96314.98157430824,98051.89714964961,99852.05721848588
32024," ARIMA(0,2,0)(0,0,0)[12]          ",28777.26038183527,2504.3287024669903,0.0,233236.09314482793,156570.0000000001,157823.0,158940.0,160093.0,161185.0,162253.0,163474.0,164738.0,165896.0,166477.0,167252.0,168297.0,169748.0,171210.0,172568.0,173897.0,174819.0,175894.0,176832.0,177964.0,178746.0,179541.0,180563.0,180585.0,182071.0,182189.0,184040.0,184146.99999999997,185435.00000000003,185820.0,186256.0,186575.0,186823.0,187004.0,-2810.6775077434504,231756.06700303106,156104.17770432643,157357.17770432634,158474.17770432634,159627.17770432634,160719.17770432634,161787.17770432634,163008.17770432634,164272.17770432634,165430.17770432634,166011.17770432634,166786.17770432634,167831.17770432634,169282.17770432634,170744.17770432634,172102.17770432634,173431.17770432634,174353.17770432634,175428.17770432634,176366.17770432634,177498.17770432634,178280.17770432634,179075.17770432634,180097.17770432634,180119.17770432634,181605.17770432634,181723.17770432634,183574.17770432634,183681.1777043263,184969.17770432637,185354.17770432634,185790.17770432634,186109.17770432634,186357.17770432634,186538.17770432634,2810.6775077434504,234716.1192866248,157035.82229567374,158288.82229567366,159405.82229567366,160558.82229567366,161650.82229567366,162718.82229567366,163939.82229567366,165203.82229567366,166361.82229567366,166942.82229567366,167717.82229567366,168762.82229567366,170213.82229567366,171675.82229567366,173033.82229567366,174362.82229567366,175284.82229567366,176359.82229567366,177297.82229567366,178429.82229567366,179211.82229567366,180006.82229567366,181028.82229567366,181050.82229567366,182536.82229567366,182654.82229567366,184505.82229567366,184612.82229567363,185900.8222956737,186285.82229567366,186721.82229567366,187040.82229567366,187288.82229567366,187469.82229567366,186936.0,187033.0,187130.0,187227.0,187324.0,187421.0,187518.0,187615.0,187712.0,187809.0,187906.0,188003.0,186470.17770432634,185991.38968143868,185387.05256646863,184675.58620870693,183869.36939556952,182977.33851262854,182006.31626809595,180961.726830054,179848.0145487924,178668.90654908423,177427.5865685581,176126.81512246697,187401.82229567366,188074.61031856132,188872.94743353137,189778.41379129307,190778.63060443048,191864.66148737146,193029.68373190405,194268.273169946,195575.9854512076,196949.09345091577,198384.4134314419,199879.18487753303
32046," ARIMA(0,1,0)(0,0,1)[12] intercept",24571.802306493548,3742.271980713043,1170.1714280821318,149703.1714280821,150996.17142808213,152183.17142808213,154045.17142808213,155340.17142808213,156198.17142808213,156734.17142808213,156900.17142808213,156628.17142808213,156807.17142808213,159002.17142808213,163044.0739150948,164250.06847975138,164913.5683491047,165653.4889923736,165935.1156520277,166843.80850964473,167337.213773152,167789.48690202684,168463.15617350567,169564.79352182313,170603.34317638626,171237.3956929943,172297.94819335648,173671.20498385024,175010.63274256195,175567.1329416911,175761.1744850658,176692.55323263298,179025.78849218064,181608.25707638788,184029.10577550548,185698.49481522798,188271.66454888292,189652.56617069303,-1327.7692031331578,148154.54346230655,149447.54346230658,150634.54346230658,152496.54346230658,153791.54346230658,154649.54346230658,155185.54346230658,155351.54346230658,155079.54346230658,155258.54346230658,157453.54346230658,161495.61152020292,162701.87132934848,163365.3711987018,164105.2918419707,164386.9185016248,165295.61135924183,165789.0166227491,166241.28975162393,166914.95902310277,168016.59637142022,169055.14602598335,169689.1985425914,170749.75113510204,172123.00807327926,173462.43583199097,174018.9360311201,174212.9775744948,175144.356322062,177477.59158160965,180060.0601658169,182480.9088649345,184150.297904657,186723.46763831194,188104.36926012204,3668.112059297421,151251.79939385765,152544.79939385768,153731.79939385768,155593.79939385768,156888.79939385768,157746.79939385768,158282.79939385768,158448.79939385768,158176.79939385768,158355.79939385768,160550.79939385768,164592.5363099867,165798.2656301543,166461.7654995076,167201.6861427765,167483.31280243062,168392.00566004764,168885.4109235549,169337.68405242974,170011.35332390858,171112.99067222603,172151.54032678917,172785.5928433972,173846.14525161093,175219.40189442123,176558.82965313294,177115.32985226208,177309.3713956368,178240.75014320397,180573.98540275163,183156.45398695886,185577.30268607647,187246.69172579897,189819.8614594539,191200.763081264,190664.24649360141,191838.66095351538,192994.84667918412,194142.12367425655,195307.02834653828,196505.03386193313,197708.7920482049,198908.50370039284,200090.54306702118,201294.1429889385,202469.34897876397,203635.66036398325,189116.04958308177,189649.17988549251,190313.29097013787,191045.7298533406,191845.1548122083,192712.7414099745,193612.64804259787,194529.54156443433,195445.95233568153,196398.31448549454,197334.5607252308,198272.548945962,192212.44340412106,194028.14202153825,195676.40238823037,197238.5174951725,198768.90188086827,200297.32631389177,201804.93605381192,203287.46583635136,204735.13379836082,206189.97149238244,207604.13723229713,208998.7717820045
32058," ARIMA(0,1,0)(0,0,0)[12] intercept",16033.627939671063,843.9431508323134,766.7714285714285,97679.77142857143,98061.77142857143,98823.77142857143,99162.77142857143,99658.77142857143,101105.77142857143,102861.77142857143,104212.77142857143,104245.77142857143,103894.77142857143,104410.77142857143,104656.77142857143,105372.77142857143,106038.77142857143,107298.77142857143,108498.77142857143,108675.77142857143,108428.77142857143,108145.77142857143,108232.77142857143,108673.77142857143,109293.77142857143,109838.77142857143,110854.77142857143,112066.77142857143,113270.77142857143,113914.77142857143,114870.77142857143,116162.77142857143,117768.77142857143,118976.77142857143,119814.77142857143,120516.77142857143,121560.77142857143,123177.77142857143,-1472.4165826338347,96596.94913067059,96978.94913067059,97740.94913067059,98079.94913067059,98575.94913067059,100022.94913067059,101778.94913067059,103129.94913067059,103162.94913067059,102811.94913067059,103327.94913067059,103573.94913067059,104289.94913067059,104955.94913067059,106215.94913067059,107415.94913067059,107592.94913067059,107345.94913067059,107062.94913067059,107149.94913067059,107590.94913067059,108210.94913067059,108755.94913067059,109771.94913067059,110983.94913067059,112187.94913067059,112831.94913067059,113787.94913067059,115079.94913067059,116685.94913067059,117893.94913067059,118731.94913067059,119433.94913067059,120477.94913067059,122094.94913067059,3005.9594397766914,98762.59372647227,99144.59372647227,99906.59372647227,100245.59372647227,100741.59372647227,102188.59372647227,103944.59372647227,105295.59372647227,105328.59372647227,104977.59372647227,105493.59372647227,105739.59372647227,106455.59372647227,107121.59372647227,108381.59372647227,109581.59372647227,109758.59372647227,109511.59372647227,109228.59372647227,109315.59372647227,109756.59372647227,110376.59372647227,110921.59372647227,111937.59372647227,113149.59372647227,114353.59372647227,114997.59372647227,115953.59372647227,117245.59372647227,118851.59372647227,120059.59372647227,120897.59372647227,121599.59372647227,122643.59372647227,124260.59372647227,124516.77142857143,125283.54285714286,126050.3142857143,126817.08571428573,127583.85714285716,128350.62857142859,129117.40000000002,129884.17142857146,130650.94285714289,131417.71428571432,132184.48571428575,132951.25714285718,123433.94913067059,123752.2008778115,124174.81105018155,124651.44111848404,125162.59287719836,125698.26645946357,126252.5214856789,126821.48746990872,127402.47596344036,127993.5295231303,128593.17043751822,129200.25067179171,125599.59372647227,126814.88483647423,127925.81752124704,128982.73031008741,130005.12140851596,131002.99068339361,131982.27851432114,132946.8553872342,133899.4097508454,134841.89904829834,135775.8009910533,136702.26361392267
32038," ARIMA(0,2,1)(0,0,0)[12]          ",24030.189549689767,2455.97115524156,0.0,194237.07722894175,131518.57380695458,132747.51030651992,134019.20101070614,135017.2959239059,135913.38158175276,136573.38971018905,137684.29704339098,138945.0884449754,140184.7310099563,141135.6832563162,141983.5865370298,143132.00765651357,144261.21595186435,145289.8815787147,146279.4045789361,147535.86770456535,148595.68023148485,149587.23221426338,150427.08334536612,151437.05373864502,152165.09771418798,152684.44039510857,153640.4863443625,154120.47626998572,154802.8439207622,155005.60181056013,155946.14698004912,156772.99792462887,157823.50696642158,158712.23142081685,159118.46838097443,159581.55127960074,160248.15840116065,161047.060445918,-2782.678281966985,192826.1909450354,131272.88002375534,132502.81706190066,133774.51623896812,134772.61122436437,135668.69688282642,136328.70501126794,137439.61234446993,138700.40374605436,139940.04631103526,140890.99855739516,141738.90183810875,142887.32295759252,144016.5312529433,145045.19687979366,146034.71988001507,147291.1830056443,148350.9955325638,149342.54751534233,150182.39864644507,151192.36903972397,151920.41301526694,152439.75569618752,153395.80164544145,153875.79157106468,154558.15922184117,154760.91711163908,155701.46228112807,156528.31322570783,157578.82226750054,158467.5467218958,158873.78368205338,159336.8665806797,160003.4737022396,160802.37574699696,2782.678281966985,195647.9635128481,131764.26759015382,132992.2035511392,134263.88578244415,135261.98062344745,136158.0662806791,136818.07440911015,137928.98174231203,139189.77314389645,140429.41570887735,141380.36795523725,142228.27123595084,143376.6923554346,144505.9006507854,145534.56627763575,146524.08927785716,147780.5524034864,148840.3649304059,149831.91691318442,150671.76804428716,151681.73843756606,152409.78241310903,152929.12509402962,153885.17104328354,154365.16096890677,155047.52861968326,155250.28650948117,156190.83167897016,157017.68262354992,158068.19166534263,158956.9161197379,159363.15307989548,159826.23597852179,160492.8431000817,161291.74514483905,161716.57486845297,162403.14973690594,163089.7246053589,163776.29947381187,164462.87434226484,165149.4492107178,165836.02407917078,166522.59894762374,167209.1738160767,167895.74868452968,168582.32355298265,169268.89842143562,161471.89016953192,161876.12383271754,162222.36552107937,162518.44745160907,162769.9328886399,162980.9143081414,163154.5459494232,163293.34989390356,163399.40062449558,163474.44270133748,163519.96949545183,163537.27801640728,161961.259567374,162930.17564109433,163957.08368963844,165034.15149601467,166155.8157958898,167317.98411329422,168517.50220891836,169751.84800134393,171018.94700765784,172317.05466772188,173644.67761051346,175000.51882646396
