zip_code,model_order,train_rmse,test_rmse,train_pred_2016-01-31,train_pred_2016-02-29,train_pred_2016-03-31,train_pred_2016-04-30,train_pred_2016-05-31,train_pred_2016-06-30,train_pred_2016-07-31,train_pred_2016-08-31,train_pred_2016-09-30,train_pred_2016-10-31,train_pred_2016-11-30,train_pred_2016-12-31,train_pred_2017-01-31,train_pred_2017-02-28,train_pred_2017-03-31,train_pred_2017-04-30,train_pred_2017-05-31,train_pred_2017-06-30,train_pred_2017-07-31,train_pred_2017-08-31,train_pred_2017-09-30,train_pred_2017-10-31,train_pred_2017-11-30,train_pred_2017-12-31,train_pred_2018-01-31,train_pred_2018-02-28,train_pred_2018-03-31,train_pred_2018-04-30,train_pred_2018-05-31,train_pred_2018-06-30,train_pred_2018-07-31,train_pred_2018-08-31,train_pred_2018-09-30,train_pred_2018-10-31,train_pred_2018-11-30,train_pred_2018-12-31,train_lci_2016-01-31,train_lci_2016-02-29,train_lci_2016-03-31,train_lci_2016-04-30,train_lci_2016-05-31,train_lci_2016-06-30,train_lci_2016-07-31,train_lci_2016-08-31,train_lci_2016-09-30,train_lci_2016-10-31,train_lci_2016-11-30,train_lci_2016-12-31,train_lci_2017-01-31,train_lci_2017-02-28,train_lci_2017-03-31,train_lci_2017-04-30,train_lci_2017-05-31,train_lci_2017-06-30,train_lci_2017-07-31,train_lci_2017-08-31,train_lci_2017-09-30,train_lci_2017-10-31,train_lci_2017-11-30,train_lci_2017-12-31,train_lci_2018-01-31,train_lci_2018-02-28,train_lci_2018-03-31,train_lci_2018-04-30,train_lci_2018-05-31,train_lci_2018-06-30,train_lci_2018-07-31,train_lci_2018-08-31,train_lci_2018-09-30,train_lci_2018-10-31,train_lci_2018-11-30,train_lci_2018-12-31,train_uci_2016-01-31,train_uci_2016-02-29,train_uci_2016-03-31,train_uci_2016-04-30,train_uci_2016-05-31,train_uci_2016-06-30,train_uci_2016-07-31,train_uci_2016-08-31,train_uci_2016-09-30,train_uci_2016-10-31,train_uci_2016-11-30,train_uci_2016-12-31,train_uci_2017-01-31,train_uci_2017-02-28,train_uci_2017-03-31,train_uci_2017-04-30,train_uci_2017-05-31,train_uci_2017-06-30,train_uci_2017-07-31,train_uci_2017-08-31,train_uci_2017-09-30,train_uci_2017-10-31,train_uci_2017-11-30,train_uci_2017-12-31,train_uci_2018-01-31,train_uci_2018-02-28,train_uci_2018-03-31,train_uci_2018-04-30,train_uci_2018-05-31,train_uci_2018-06-30,train_uci_2018-07-31,train_uci_2018-08-31,train_uci_2018-09-30,train_uci_2018-10-31,train_uci_2018-11-30,train_uci_2018-12-31,test_pred_2019-01-31,test_pred_2019-02-28,test_pred_2019-03-31,test_pred_2019-04-30,test_pred_2019-05-31,test_pred_2019-06-30,test_pred_2019-07-31,test_pred_2019-08-31,test_pred_2019-09-30,test_pred_2019-10-31,test_pred_2019-11-30,test_pred_2019-12-31,test_lci_2019-01-31,test_lci_2019-02-28,test_lci_2019-03-31,test_lci_2019-04-30,test_lci_2019-05-31,test_lci_2019-06-30,test_lci_2019-07-31,test_lci_2019-08-31,test_lci_2019-09-30,test_lci_2019-10-31,test_lci_2019-11-30,test_lci_2019-12-31,test_uci_2019-01-31,test_uci_2019-02-28,test_uci_2019-03-31,test_uci_2019-04-30,test_uci_2019-05-31,test_uci_2019-06-30,test_uci_2019-07-31,test_uci_2019-08-31,test_uci_2019-09-30,test_uci_2019-10-31,test_uci_2019-11-30,test_uci_2019-12-31
30009," ARIMA(0,1,0)(0,0,0)[12] intercept",55497.886677750124,7000.105492086613,2091.3142857142857,337122.3142857143,338136.3142857143,340804.3142857143,343904.3142857143,346598.3142857143,348336.3142857143,349970.3142857143,351664.3142857143,352467.3142857143,354812.3142857143,356959.3142857143,361197.3142857143,364209.3142857143,367533.3142857143,369667.3142857143,370284.3142857143,370631.3142857143,371819.3142857143,374419.3142857143,377277.3142857143,381185.3142857143,384039.3142857143,386579.3142857143,388315.3142857143,389918.3142857143,391263.3142857143,392362.3142857143,394812.3142857143,397789.3142857143,401107.3142857143,403164.3142857143,404943.3142857143,406583.3142857143,408618.3142857143,410167.3142857143,-614.7950981078357,335256.4179390444,336270.4179390444,338938.4179390444,342038.4179390444,344732.4179390444,346470.4179390444,348104.4179390444,349798.4179390444,350601.4179390444,352946.4179390444,355093.4179390444,359331.4179390444,362343.4179390444,365667.4179390444,367801.4179390444,368418.4179390444,368765.4179390444,369953.4179390444,372553.4179390444,375411.4179390444,379319.4179390444,382173.4179390444,384713.4179390444,386449.4179390444,388052.4179390444,389397.4179390444,390496.4179390444,392946.4179390444,395923.4179390444,399241.4179390444,401298.4179390444,403077.4179390444,404717.4179390444,406752.4179390444,408301.4179390444,4797.423669536407,338988.2106323842,340002.2106323842,342670.2106323842,345770.2106323842,348464.2106323842,350202.2106323842,351836.2106323842,353530.2106323842,354333.2106323842,356678.2106323842,358825.2106323842,363063.2106323842,366075.2106323842,369399.2106323842,371533.2106323842,372150.2106323842,372497.2106323842,373685.2106323842,376285.2106323842,379143.2106323842,383051.2106323842,385905.2106323842,388445.2106323842,390181.2106323842,391784.2106323842,393129.2106323842,394228.2106323842,396678.2106323842,399655.2106323842,402973.2106323842,405030.2106323842,406809.2106323842,408449.2106323842,410484.2106323842,412033.2106323842,410318.3142857143,412409.6285714286,414500.9428571429,416592.2571428572,418683.5714285715,420774.8857142858,422866.20000000007,424957.51428571437,427048.82857142866,429140.14285714296,431231.45714285725,433322.77142857155,408452.4179390444,409770.85265198565,411269.1155830535,412860.4644495174,414511.3003584491,416204.39175202127,417929.5022944876,419679.96244682843,421451.13953141903,423239.660523879,425042.97906325833,426859.1168803928,412184.2106323842,415048.40449087153,417732.7701312323,420324.04983619694,422855.84249869385,425345.3796765503,427802.8977055125,430235.0661246003,432646.5176114383,435040.6251904069,437419.9352224562,439786.4259767503
30008," ARIMA(0,1,0)(0,0,0)[12] intercept",24272.523697089255,413.62569674379876,1123.3142857142857,147843.31428571427,149051.3142857143,151102.3142857143,152820.3142857143,153591.3142857143,153636.3142857143,153832.3142857143,154178.3142857143,154439.3142857143,155149.3142857143,155808.3142857143,157147.3142857143,158343.3142857143,159503.3142857143,160500.3142857143,161412.3142857143,162813.3142857143,164411.3142857143,166499.3142857143,168115.3142857143,169509.3142857143,170332.3142857143,171455.3142857143,172942.3142857143,174267.3142857143,176036.3142857143,176322.3142857143,177118.3142857143,177410.3142857143,179102.3142857143,180615.3142857143,181535.3142857143,182109.3142857143,183256.3142857143,185387.3142857143,-1128.5067406194194,146734.60372206636,147942.6037220664,149993.6037220664,151711.6037220664,152482.6037220664,152527.6037220664,152723.6037220664,153069.6037220664,153330.6037220664,154040.6037220664,154699.6037220664,156038.6037220664,157234.6037220664,158394.6037220664,159391.6037220664,160303.6037220664,161704.6037220664,163302.6037220664,165390.6037220664,167006.6037220664,168400.6037220664,169223.6037220664,170346.6037220664,171833.6037220664,173158.6037220664,174927.6037220664,175213.6037220664,176009.6037220664,176301.6037220664,177993.6037220664,179506.6037220664,180426.6037220664,181000.6037220664,182147.6037220664,184278.6037220664,3375.1353120479907,148952.02484936218,150160.0248493622,152211.0248493622,153929.0248493622,154700.0248493622,154745.0248493622,154941.0248493622,155287.0248493622,155548.0248493622,156258.0248493622,156917.0248493622,158256.0248493622,159452.0248493622,160612.0248493622,161609.0248493622,162521.0248493622,163922.0248493622,165520.0248493622,167608.0248493622,169224.0248493622,170618.0248493622,171441.0248493622,172564.0248493622,174051.0248493622,175376.0248493622,177145.0248493622,177431.0248493622,178227.0248493622,178519.0248493622,180211.0248493622,181724.0248493622,182644.0248493622,183218.0248493622,184365.0248493622,186496.0248493622,187159.3142857143,188282.6285714286,189405.9428571429,190529.25714285718,191652.57142857148,192775.88571428577,193899.20000000007,195022.51428571437,196145.82857142866,197269.14285714296,198392.45714285725,199515.77142857155,186050.6037220664,186714.6750555714,187485.59983001638,188311.83601556136,189173.41924088265,190060.11056091488,190965.82757263747,191886.607254,192819.69688048496,193763.0922101265,194715.2802021337,195675.08537431856,188268.0248493622,189850.5820872858,191326.2858842694,192746.678270153,194131.7236162603,195491.66086765667,196832.57242736267,198158.42131742873,199471.96026237236,200775.19350415943,202069.6340835808,203356.45748282454
30022," ARIMA(0,1,0)(0,0,0)[12] intercept",65128.37310049882,11090.482139354062,1451.7999999999997,393626.8,394418.8,396302.8,398768.8,399884.8,400400.8,400511.8,401142.8,400572.8,401387.8,402213.8,405442.8,408129.8,410966.8,413057.8,413305.8,413488.8,414350.8,416269.8,419036.8,422758.8,425398.8,427213.8,428326.8,430151.8,432074.8,433441.8,435099.8,436959.8,439397.8,441208.8,442582.8,443588.8,444508.8,445181.8,-1354.6439439139876,391618.15150172124,392410.15150172124,394294.15150172124,396760.15150172124,397876.15150172124,398392.15150172124,398503.15150172124,399134.15150172124,398564.15150172124,399379.15150172124,400205.15150172124,403434.15150172124,406121.15150172124,408958.15150172124,411049.15150172124,411297.15150172124,411480.15150172124,412342.15150172124,414261.15150172124,417028.15150172124,420750.15150172124,423390.15150172124,425205.15150172124,426318.15150172124,428143.15150172124,430066.15150172124,431433.15150172124,433091.15150172124,434951.15150172124,437389.15150172124,439200.15150172124,440574.15150172124,441580.15150172124,442500.15150172124,443173.15150172124,4258.243943913987,395635.44849827874,396427.44849827874,398311.44849827874,400777.44849827874,401893.44849827874,402409.44849827874,402520.44849827874,403151.44849827874,402581.44849827874,403396.44849827874,404222.44849827874,407451.44849827874,410138.44849827874,412975.44849827874,415066.44849827874,415314.44849827874,415497.44849827874,416359.44849827874,418278.44849827874,421045.44849827874,424767.44849827874,427407.44849827874,429222.44849827874,430335.44849827874,432160.44849827874,434083.44849827874,435450.44849827874,437108.44849827874,438968.44849827874,441406.44849827874,443217.44849827874,444591.44849827874,445597.44849827874,446517.44849827874,447190.44849827874,444439.8,445891.6,447343.39999999997,448795.19999999995,450246.99999999994,451698.79999999993,453150.5999999999,454602.3999999999,456054.1999999999,457505.9999999999,458957.7999999999,460409.59999999986,442431.15150172124,443050.94205169386,443864.3187464343,444777.9030034425,445755.52541494585,446778.63610660937,447836.2156022111,448921.08410338766,450028.2545051637,451154.0957267623,452295.8665954985,453451.4374928685,446448.44849827874,448732.2579483061,450822.48125356564,452812.4969965574,454738.47458505403,456618.9638933905,458464.98439778876,460283.71589661215,462080.1454948361,463857.90427323745,465619.7334045012,467367.7625071312
30005," ARIMA(0,1,0)(0,0,0)[12] intercept",69702.94293524022,8148.960993159128,1275.9714285714285,420749.9714285713,422027.97142857144,423687.97142857144,425581.97142857144,426535.97142857144,427160.97142857144,428162.97142857144,429290.97142857144,429359.97142857144,429872.97142857144,430646.97142857144,433150.97142857144,435233.97142857144,437628.97142857144,439647.97142857144,440357.97142857144,441093.97142857144,442282.97142857144,443888.97142857144,445806.97142857144,448507.97142857144,450712.97142857144,452121.97142857144,453236.97142857144,455008.97142857144,456644.97142857144,457960.97142857144,459248.97142857144,460741.97142857144,461798.97142857144,462351.97142857144,462915.97142857144,463882.97142857144,465083.97142857144,465897.97142857144,-1099.6203573491775,419407.593868926,420685.5938689261,422345.5938689261,424239.5938689261,425193.5938689261,425818.5938689261,426820.5938689261,427948.5938689261,428017.5938689261,428530.5938689261,429304.5938689261,431808.5938689261,433891.5938689261,436286.5938689261,438305.5938689261,439015.5938689261,439751.5938689261,440940.5938689261,442546.5938689261,444464.5938689261,447165.5938689261,449370.5938689261,450779.5938689261,451894.5938689261,453666.5938689261,455302.5938689261,456618.5938689261,457906.5938689261,459399.5938689261,460456.5938689261,461009.5938689261,461573.5938689261,462540.5938689261,463741.5938689261,464555.5938689261,3651.5632144920346,422092.34898821666,423370.3489882168,425030.3489882168,426924.3489882168,427878.3489882168,428503.3489882168,429505.3489882168,430633.3489882168,430702.3489882168,431215.3489882168,431989.3489882168,434493.3489882168,436576.3489882168,438971.3489882168,440990.3489882168,441700.3489882168,442436.3489882168,443625.3489882168,445231.3489882168,447149.3489882168,449850.3489882168,452055.3489882168,453464.3489882168,454579.3489882168,456351.3489882168,457987.3489882168,459303.3489882168,460591.3489882168,462084.3489882168,463141.3489882168,463694.3489882168,464258.3489882168,465225.3489882168,466426.3489882168,467240.3489882168,465408.97142857144,466684.9428571429,467960.91428571433,469236.8857142858,470512.8571428572,471788.82857142866,473064.8000000001,474340.77142857155,475616.742857143,476892.71428571444,478168.6857142859,479444.6571428573,464066.5938689261,464786.53430646716,465635.8481494683,466552.1305949951,467511.20966802,468500.68850813515,469513.2028116248,470543.9543272201,471589.61017820705,472647.7437173367,473716.5230219494,474794.5248703653,466751.3489882168,468583.3514078186,470285.98042196035,471921.64083357644,473514.5046176944,475076.9686347222,476616.3971883754,478137.588529923,479643.87553607894,481137.6848540922,482620.84840662236,484094.78941534937
30024," ARIMA(0,1,0)(0,0,0)[12] intercept",52694.33640094614,8002.774629723649,1555.685714285714,319261.68571428576,320296.6857142857,322073.6857142857,324183.6857142857,326488.6857142857,327431.6857142857,328397.6857142857,329863.6857142857,331746.6857142857,333740.6857142857,335154.6857142857,336962.6857142857,337950.6857142857,339786.6857142857,341070.6857142857,342674.6857142857,344469.6857142857,346896.6857142857,349277.6857142857,350130.6857142857,351070.6857142857,351723.6857142857,353376.6857142857,354848.6857142857,357606.6857142857,359293.6857142857,360995.6857142857,362465.6857142857,364495.6857142857,366418.6857142857,367482.6857142857,369055.6857142857,370545.6857142857,372447.6857142857,373184.6857142857,-664.974647581221,318217.7155891994,319252.71558919933,321029.71558919933,323139.71558919933,325444.71558919933,326387.71558919933,327353.71558919933,328819.71558919933,330702.71558919933,332696.71558919933,334110.71558919933,335918.71558919933,336906.71558919933,338742.71558919933,340026.71558919933,341630.71558919933,343425.71558919933,345852.71558919933,348233.71558919933,349086.71558919933,350026.71558919933,350679.71558919933,352332.71558919933,353804.71558919933,356562.71558919933,358249.71558919933,359951.71558919933,361421.71558919933,363451.71558919933,365374.71558919933,366438.71558919933,368011.71558919933,369501.71558919933,371403.71558919933,372140.71558919933,3776.3460761526494,320305.65583937214,321340.6558393721,323117.6558393721,325227.6558393721,327532.6558393721,328475.6558393721,329441.6558393721,330907.6558393721,332790.6558393721,334784.6558393721,336198.6558393721,338006.6558393721,338994.6558393721,340830.6558393721,342114.6558393721,343718.6558393721,345513.6558393721,347940.6558393721,350321.6558393721,351174.6558393721,352114.6558393721,352767.6558393721,354420.6558393721,355892.6558393721,358650.6558393721,360337.6558393721,362039.6558393721,363509.6558393721,365539.6558393721,367462.6558393721,368526.6558393721,370099.6558393721,371589.6558393721,373491.6558393721,374228.6558393721,373710.6857142857,375266.3714285714,376822.0571428571,378377.7428571428,379933.4285714285,381489.1142857142,383044.79999999993,384600.48571428563,386156.17142857134,387711.85714285704,389267.54285714275,390823.22857142845,372666.71558919933,373789.9747189619,375013.8478446235,376289.8026069701,377599.04040525644,378931.9201725431,380282.7146728404,381647.69229506666,383024.2610533122,384410.5337384132,385805.08565989084,387206.80997496116,374754.6558393721,376742.7681381809,378630.26644109073,380465.68310731556,382267.8167376006,384046.30839888536,385806.8853271595,387553.2791335046,389288.08180383046,391013.1805473009,392730.00005439465,394439.64716789575
30004," ARIMA(0,1,0)(0,0,0)[12] intercept",69252.49407806351,9549.786736711108,1678.6,418844.6000000001,420049.6,422358.6,424706.6,425799.6,426253.6,426888.6,428267.6,428524.6,429894.6,431485.6,435068.6,437695.6,440135.6,441855.6,442224.6,442844.6,444320.6,446682.6,449269.6,452495.6,454862.6,456367.6,457586.6,459555.6,461967.6,463811.6,465919.6,468088.6,470292.6,471715.6,472835.6,474155.6,475884.6,477478.6,-842.4204630495783,417259.0132460126,418464.0132460125,420773.0132460125,423121.0132460125,424214.0132460125,424668.0132460125,425303.0132460125,426682.0132460125,426939.0132460125,428309.0132460125,429900.0132460125,433483.0132460125,436110.0132460125,438550.0132460125,440270.0132460125,440639.0132460125,441259.0132460125,442735.0132460125,445097.0132460125,447684.0132460125,450910.0132460125,453277.0132460125,454782.0132460125,456001.0132460125,457970.0132460125,460382.0132460125,462226.0132460125,464334.0132460125,466503.0132460125,468707.0132460125,470130.0132460125,471250.0132460125,472570.0132460125,474299.0132460125,475893.0132460125,4199.620463049578,420430.18675398757,421635.18675398745,423944.18675398745,426292.18675398745,427385.18675398745,427839.18675398745,428474.18675398745,429853.18675398745,430110.18675398745,431480.18675398745,433071.18675398745,436654.18675398745,439281.18675398745,441721.18675398745,443441.18675398745,443810.18675398745,444430.18675398745,445906.18675398745,448268.18675398745,450855.18675398745,454081.18675398745,456448.18675398745,457953.18675398745,459172.18675398745,461141.18675398745,463553.18675398745,465397.18675398745,467505.18675398745,469674.18675398745,471878.18675398745,473301.18675398745,474421.18675398745,475741.18675398745,477470.18675398745,479064.18675398745,477595.6,479274.19999999995,480952.79999999993,482631.3999999999,484309.9999999999,485988.59999999986,487667.19999999984,489345.7999999998,491024.3999999998,492702.99999999977,494381.59999999974,496060.1999999997,476010.0132460125,477031.8417081917,478206.4831822854,479460.2264920249,480764.52023386065,482104.7215098146,483472.1317668308,484861.0834163833,486267.6397380373,487688.93442960625,489122.80366446567,490567.56636457064,479181.18675398745,481516.5582918082,483699.1168177145,485802.5735079749,487855.4797661391,489872.4784901851,491862.26823316887,493830.5165836163,495781.1602619623,497717.0655703933,499640.3963355338,501552.8336354288
30016," ARIMA(1,2,0)(0,0,0)[12]          ",22553.593202041127,5797.493015612779,0.0,183718.99069552912,123111.08516244704,123852.24192732778,124422.43925460031,124223.26437338462,125315.2623218235,126019.85401158268,126465.34020985766,126770.34149920597,127828.50606563516,129525.20893140725,130403.24632250826,130394.41294049857,130498.53829934292,131336.84240744787,131594.62702929907,132817.78643833502,133329.57879627607,134422.27392595826,135090.62445060248,135798.192932092,136251.67526232207,136105.3556820374,137235.9272693591,138653.738205312,140216.6977083789,141094.8212507394,142797.98323847196,144463.89579786413,147029.58834884973,148882.00386804494,150735.47975153342,152109.34923529584,153496.86561571746,156285.2963720151,-2830.116245839694,182184.25956059617,122539.95391818296,123283.31186281543,123853.50919008796,123654.33430887228,124746.33225731115,125450.92394707033,125896.41014534532,126201.41143469363,127259.57600112281,128956.2788668949,129834.31625799592,129825.48287598623,129929.60823483058,130767.91234293552,131025.69696478672,132248.85637382267,132760.6487317637,133853.3438614459,134521.69438609012,135229.26286757964,135682.7451978097,135536.42561752503,136666.99720484673,138084.80814079964,139647.76764386654,140525.89118622703,142229.0531739596,143894.96573335177,146460.65828433738,148313.07380353258,150166.54968702106,151540.41917078348,152927.9355512051,155716.36630750273,2830.116245839694,185253.72183046208,123682.21640671112,124421.17199184012,124991.36931911265,124792.19443789696,125884.19238633584,126588.78407609502,127034.27027437,127339.27156371831,128397.4361301475,130094.1389959196,130972.1763870206,130963.34300501092,131067.46836385527,131905.77247196023,132163.55709381143,133386.71650284738,133898.50886078842,134991.20399047062,135659.55451511484,136367.12299660436,136820.60532683443,136674.28574654975,137804.85733387145,139222.66826982435,140785.62777289125,141663.75131525175,143366.91330298432,145032.82586237649,147598.5184133621,149450.9339325573,151304.40981604578,152678.2792998082,154065.7956802298,156854.22643652745,157753.16017124878,159557.76581623018,161362.1283298373,163166.46770300306,164970.80487373803,166775.14183485293,168579.47877601688,170383.81571528196,172188.1526543663,173992.48959343345,175796.82653249896,177601.16347156433,157184.23010673642,158236.9452730619,159113.16264245645,159841.52026009763,160440.05146601304,160921.43057565033,161295.20663614862,161568.91370455312,161748.69474141116,161839.68381827243,161846.2554703102,161772.19536879944,158322.09023576113,160878.58635939847,163611.09401721813,166491.41514590848,169501.55828146302,172628.85309405552,175863.75091588515,179198.7177260108,182627.61056732145,186145.29536859447,189747.39759468773,193430.13157432922
30012," ARIMA(0,2,0)(0,0,0)[12]          ",21256.9830242091,4976.556908814232,0.0,173436.94636301152,113578.0,113219.00000000001,113722.0,112372.0,112928.0,112985.0,113629.0,115735.0,116361.0,116840.0,116850.0,116876.0,116415.0,116752.0,117533.0,118634.0,119479.0,120025.0,121516.0,121436.0,123762.0,125352.0,127862.0,129594.0,130757.0,132235.0,134086.0,137596.0,140528.0,142238.0,143072.0,143329.0,143933.0,145073.0,-2906.740059531512,171745.4579122183,112702.65999046256,112343.65999046258,112846.65999046256,111496.65999046256,112052.65999046256,112109.65999046256,112753.65999046256,114859.65999046256,115485.65999046256,115964.65999046256,115974.65999046256,116000.65999046256,115539.65999046256,115876.65999046256,116657.65999046256,117758.65999046256,118603.65999046256,119149.65999046256,120640.65999046256,120560.65999046256,122886.65999046256,124476.65999046256,126986.65999046256,128718.65999046256,129881.65999046256,131359.65999046256,133210.65999046256,136720.65999046256,139652.65999046256,141362.65999046256,142196.65999046256,142453.65999046256,143057.65999046256,144197.65999046256,2906.740059531512,175128.43481380475,114453.34000953744,114094.34000953745,114597.34000953744,113247.34000953744,113803.34000953744,113860.34000953744,114504.34000953744,116610.34000953744,117236.34000953744,117715.34000953744,117725.34000953744,117751.34000953744,117290.34000953744,117627.34000953744,118408.34000953744,119509.34000953744,120354.34000953744,120900.34000953744,122391.34000953744,122311.34000953744,124637.34000953744,126227.34000953744,128737.34000953744,130469.34000953744,131632.34000953744,133110.34000953744,134961.34000953744,138471.34000953744,141403.34000953744,143113.34000953744,143947.34000953744,144204.34000953744,144808.34000953744,145948.34000953744,146550.0,147761.0,148972.0,150183.0,151394.0,152605.0,153816.0,155027.0,156238.0,157449.0,158660.0,159871.0,145674.65999046256,145803.68023524896,145696.77758737546,145388.56531289557,144902.30474557413,144254.78850333553,143458.83733247462,142524.64394249668,141460.55983924662,140273.58876957095,138969.7133859792,137554.12105170047,147425.34000953744,149718.31976475104,152247.22241262454,154977.43468710443,157885.69525442587,160955.21149666447,164173.16266752538,167529.35605750332,171015.44016075338,174624.41123042905,178350.2866140208,182187.87894829953
30028," ARIMA(0,1,0)(0,0,0)[12] intercept",42935.69446677088,3465.5288293918484,1160.2571428571428,259911.2571428571,261014.25714285715,262099.25714285715,263180.2571428571,264209.2571428571,265331.2571428571,266181.2571428571,266161.2571428571,266132.2571428571,265996.2571428571,267608.2571428571,268986.2571428571,269737.2571428571,270466.2571428571,271222.2571428571,272990.2571428571,274646.2571428571,276371.2571428571,278262.2571428571,279734.2571428571,281791.2571428571,283610.2571428571,285233.2571428571,286750.2571428571,288408.2571428571,289591.2571428571,291155.2571428571,292761.2571428571,295015.2571428571,296144.2571428571,296634.2571428571,297406.2571428571,298216.2571428571,299541.2571428571,300231.2571428571,-1112.6282844370521,258760.36646824365,259863.3664682437,260948.3664682437,262029.36646824368,263058.3664682437,264180.3664682437,265030.3664682437,265010.3664682437,264981.3664682437,264845.3664682437,266457.3664682437,267835.3664682437,268586.3664682437,269315.3664682437,270071.3664682437,271839.3664682437,273495.3664682437,275220.3664682437,277111.3664682437,278583.3664682437,280640.3664682437,282459.3664682437,284082.3664682437,285599.3664682437,287257.3664682437,288440.3664682437,290004.3664682437,291610.3664682437,293864.3664682437,294993.3664682437,295483.3664682437,296255.3664682437,297065.3664682437,298390.3664682437,299080.3664682437,3433.1425701513376,261062.14781747054,262165.1478174706,263250.1478174706,264331.14781747054,265360.14781747054,266482.14781747054,267332.14781747054,267312.14781747054,267283.14781747054,267147.14781747054,268759.14781747054,270137.14781747054,270888.14781747054,271617.14781747054,272373.14781747054,274141.14781747054,275797.14781747054,277522.14781747054,279413.14781747054,280885.14781747054,282942.14781747054,284761.14781747054,286384.14781747054,287901.14781747054,289559.14781747054,290742.14781747054,292306.14781747054,293912.14781747054,296166.14781747054,297295.14781747054,297785.14781747054,298557.14781747054,299367.14781747054,300692.14781747054,301382.14781747054,300520.2571428571,301680.51428571425,302840.7714285714,304001.0285714285,305161.2857142856,306321.54285714275,307481.7999999999,308642.057142857,309802.3142857141,310962.57142857125,312122.82857142837,313283.0857142855,299369.3664682437,300052.9090848672,300847.37030618364,301699.2472222016,302587.8159311794,303502.4479546123,304436.8294887493,305386.8467411629,306349.6422618738,307323.135558945,308305.7560290166,309296.2834695101,301671.14781747054,303308.1194865613,304834.1725509591,306302.8099206554,307734.75549739186,309140.6377596732,310526.7705112504,311897.2675445511,313254.9863095544,314602.0072981975,315939.90111384017,317269.8879590609
30033," ARIMA(0,1,0)(0,0,0)[12] intercept",51128.39626209832,16723.829023465853,2236.028571428571,311141.02857142856,313253.02857142856,315596.02857142856,318099.02857142856,321027.02857142856,324330.02857142856,325034.02857142856,326482.02857142856,324888.02857142856,325952.02857142856,327526.02857142856,329767.02857142856,330498.02857142856,332481.02857142856,334682.02857142856,336892.02857142856,337509.02857142856,339084.02857142856,341962.02857142856,342453.02857142856,345123.02857142856,347091.02857142856,350925.02857142856,354914.02857142856,359844.02857142856,363984.02857142856,368317.02857142856,370860.02857142856,375246.02857142856,376870.02857142856,379940.02857142856,382259.02857142856,385245.02857142856,387870.02857142856,388952.02857142856,-1030.3142490523983,308528.07304172404,310640.07304172404,312983.07304172404,315486.07304172404,318414.07304172404,321717.07304172404,322421.07304172404,323869.07304172404,322275.07304172404,323339.07304172404,324913.07304172404,327154.07304172404,327885.07304172404,329868.07304172404,332069.07304172404,334279.07304172404,334896.07304172404,336471.07304172404,339349.07304172404,339840.07304172404,342510.07304172404,344478.07304172404,348312.07304172404,352301.07304172404,357231.07304172404,361371.07304172404,365704.07304172404,368247.07304172404,372633.07304172404,374257.07304172404,377327.07304172404,379646.07304172404,382632.07304172404,385257.07304172404,386339.07304172404,5502.371391909541,313753.9841011331,315865.9841011331,318208.9841011331,320711.9841011331,323639.9841011331,326942.9841011331,327646.9841011331,329094.9841011331,327500.9841011331,328564.9841011331,330138.9841011331,332379.9841011331,333110.9841011331,335093.9841011331,337294.9841011331,339504.9841011331,340121.9841011331,341696.9841011331,344574.9841011331,345065.9841011331,347735.9841011331,349703.9841011331,353537.9841011331,357526.9841011331,362456.9841011331,366596.9841011331,370929.9841011331,373472.9841011331,377858.9841011331,379482.9841011331,382552.9841011331,384871.9841011331,387857.9841011331,390482.9841011331,391564.9841011331,389402.02857142856,391638.0571428571,393874.08571428567,396110.1142857142,398346.1428571428,400582.17142857134,402818.1999999999,405054.22857142845,407290.257142857,409526.28571428556,411762.3142857141,413998.3428571427,386789.07304172404,387942.7799948712,389348.3139789194,390884.2032263052,392503.3966705395,394181.7636602115,395904.96948153066,397663.67427545664,399451.39055374346,401263.3948156875,403096.1211997999,404946.7993864101,392014.9841011331,395333.33429084305,398399.8574496519,401336.02534512326,404188.88904374605,406982.57919693115,409731.43051846913,412444.78286740027,415129.12373197055,417789.17661288363,420428.50737162837,423049.88632787525
