zip_code,model_order,train_rmse,test_rmse,train_pred_2016-01-31,train_pred_2016-02-29,train_pred_2016-03-31,train_pred_2016-04-30,train_pred_2016-05-31,train_pred_2016-06-30,train_pred_2016-07-31,train_pred_2016-08-31,train_pred_2016-09-30,train_pred_2016-10-31,train_pred_2016-11-30,train_pred_2016-12-31,train_pred_2017-01-31,train_pred_2017-02-28,train_pred_2017-03-31,train_pred_2017-04-30,train_pred_2017-05-31,train_pred_2017-06-30,train_pred_2017-07-31,train_pred_2017-08-31,train_pred_2017-09-30,train_pred_2017-10-31,train_pred_2017-11-30,train_pred_2017-12-31,train_pred_2018-01-31,train_pred_2018-02-28,train_pred_2018-03-31,train_pred_2018-04-30,train_pred_2018-05-31,train_pred_2018-06-30,train_pred_2018-07-31,train_pred_2018-08-31,train_pred_2018-09-30,train_pred_2018-10-31,train_pred_2018-11-30,train_pred_2018-12-31,train_lci_2016-01-31,train_lci_2016-02-29,train_lci_2016-03-31,train_lci_2016-04-30,train_lci_2016-05-31,train_lci_2016-06-30,train_lci_2016-07-31,train_lci_2016-08-31,train_lci_2016-09-30,train_lci_2016-10-31,train_lci_2016-11-30,train_lci_2016-12-31,train_lci_2017-01-31,train_lci_2017-02-28,train_lci_2017-03-31,train_lci_2017-04-30,train_lci_2017-05-31,train_lci_2017-06-30,train_lci_2017-07-31,train_lci_2017-08-31,train_lci_2017-09-30,train_lci_2017-10-31,train_lci_2017-11-30,train_lci_2017-12-31,train_lci_2018-01-31,train_lci_2018-02-28,train_lci_2018-03-31,train_lci_2018-04-30,train_lci_2018-05-31,train_lci_2018-06-30,train_lci_2018-07-31,train_lci_2018-08-31,train_lci_2018-09-30,train_lci_2018-10-31,train_lci_2018-11-30,train_lci_2018-12-31,train_uci_2016-01-31,train_uci_2016-02-29,train_uci_2016-03-31,train_uci_2016-04-30,train_uci_2016-05-31,train_uci_2016-06-30,train_uci_2016-07-31,train_uci_2016-08-31,train_uci_2016-09-30,train_uci_2016-10-31,train_uci_2016-11-30,train_uci_2016-12-31,train_uci_2017-01-31,train_uci_2017-02-28,train_uci_2017-03-31,train_uci_2017-04-30,train_uci_2017-05-31,train_uci_2017-06-30,train_uci_2017-07-31,train_uci_2017-08-31,train_uci_2017-09-30,train_uci_2017-10-31,train_uci_2017-11-30,train_uci_2017-12-31,train_uci_2018-01-31,train_uci_2018-02-28,train_uci_2018-03-31,train_uci_2018-04-30,train_uci_2018-05-31,train_uci_2018-06-30,train_uci_2018-07-31,train_uci_2018-08-31,train_uci_2018-09-30,train_uci_2018-10-31,train_uci_2018-11-30,train_uci_2018-12-31,test_pred_2019-01-31,test_pred_2019-02-28,test_pred_2019-03-31,test_pred_2019-04-30,test_pred_2019-05-31,test_pred_2019-06-30,test_pred_2019-07-31,test_pred_2019-08-31,test_pred_2019-09-30,test_pred_2019-10-31,test_pred_2019-11-30,test_pred_2019-12-31,test_lci_2019-01-31,test_lci_2019-02-28,test_lci_2019-03-31,test_lci_2019-04-30,test_lci_2019-05-31,test_lci_2019-06-30,test_lci_2019-07-31,test_lci_2019-08-31,test_lci_2019-09-30,test_lci_2019-10-31,test_lci_2019-11-30,test_lci_2019-12-31,test_uci_2019-01-31,test_uci_2019-02-28,test_uci_2019-03-31,test_uci_2019-04-30,test_uci_2019-05-31,test_uci_2019-06-30,test_uci_2019-07-31,test_uci_2019-08-31,test_uci_2019-09-30,test_uci_2019-10-31,test_uci_2019-11-30,test_uci_2019-12-31
96701," ARIMA(0,1,0)(0,0,0)[12] intercept",132048.53901073686,33306.540639021565,2713.2571428571428,797646.2571428571,800888.2571428572,804871.2571428572,807382.2571428572,809050.2571428572,810662.2571428572,813217.2571428572,817698.2571428572,823239.2571428572,827826.2571428572,830154.2571428572,834622.2571428572,837979.2571428572,841279.2571428572,843008.2571428572,845208.2571428572,851324.2571428572,855554.2571428572,859410.2571428572,859726.2571428572,863366.2571428572,867251.2571428572,873054.2571428572,876693.2571428572,880230.2571428572,881389.2571428572,883103.2571428572,886066.2571428572,884984.2571428572,884010.2571428572,882414.2571428572,885766.2571428572,887328.2571428572,889592.2571428572,891238.2571428572,-1320.9046437110119,794120.2108443079,797362.210844308,801345.210844308,803856.210844308,805524.210844308,807136.210844308,809691.210844308,814172.210844308,819713.210844308,824300.210844308,826628.210844308,831096.210844308,834453.210844308,837753.210844308,839482.210844308,841682.210844308,847798.210844308,852028.210844308,855884.210844308,856200.210844308,859840.210844308,863725.210844308,869528.210844308,873167.210844308,876704.210844308,877863.210844308,879577.210844308,882540.210844308,881458.210844308,880484.210844308,878888.210844308,882240.210844308,883802.210844308,886066.210844308,887712.210844308,6747.418929425297,801172.3034414062,804414.3034414063,808397.3034414063,810908.3034414063,812576.3034414063,814188.3034414063,816743.3034414063,821224.3034414063,826765.3034414063,831352.3034414063,833680.3034414063,838148.3034414063,841505.3034414063,844805.3034414063,846534.3034414063,848734.3034414063,854850.3034414063,859080.3034414063,862936.3034414063,863252.3034414063,866892.3034414063,870777.3034414063,876580.3034414063,880219.3034414063,883756.3034414063,884915.3034414063,886629.3034414063,889592.3034414063,888510.3034414063,887536.3034414063,885940.3034414063,889292.3034414063,890854.3034414063,893118.3034414063,894764.3034414063,892610.2571428572,895323.5142857144,898036.7714285715,900750.0285714287,903463.2857142859,906176.5428571431,908889.8000000003,911603.0571428575,914316.3142857146,917029.5714285718,919742.828571429,922456.0857142862,889084.210844308,890336.9317887506,891929.4800896441,893697.9359743303,895578.8064989183,897539.5286162682,899560.7583827393,901629.89214893,903738.175390067,905879.2339899503,908048.2560057198,910241.5030364314,896136.3034414063,900310.0967826782,904144.062767499,907802.1211685272,911347.7649296535,914813.557098018,918218.8416172613,921576.2221367849,924894.4531813622,928179.9088671934,931437.4011371383,934670.668392141
96706," ARIMA(0,2,0)(0,0,0)[12]          ",118382.12101545928,4992.573693330258,0.0,992759.8761369237,581026.9999999998,584008.0000000001,585602.0,587589.0,591712.0,594903.0,603246.0,608829.0,613939.0,613773.0,618450.0,620389.0,624096.0,626199.0,629375.0,635917.0,639575.0,643729.0,641522.0,645652.0,648163.0,655465.0,658143.0,661585.0,663215.0,665736.0,669003.0,668471.0,668599.0,667540.0,670861.0,670034.0,670645.0,668892.0,-3698.4205416818436,989800.4828072839,578578.4500491624,581559.4500491627,583153.4500491626,585140.4500491626,589263.4500491626,592454.4500491626,600797.4500491626,606380.4500491626,611490.4500491626,611324.4500491626,616001.4500491626,617940.4500491626,621647.4500491626,623750.4500491626,626926.4500491626,633468.4500491626,637126.4500491626,641280.4500491626,639073.4500491626,643203.4500491626,645714.4500491626,653016.4500491626,655694.4500491626,659136.4500491626,660766.4500491626,663287.4500491626,666554.4500491626,666022.4500491626,666150.4500491626,665091.4500491626,668412.4500491626,667585.4500491626,668196.4500491626,666443.4500491626,3698.4205416818436,995719.2694665635,583475.5499508372,586456.5499508375,588050.5499508374,590037.5499508374,594160.5499508374,597351.5499508374,605694.5499508374,611277.5499508374,616387.5499508374,616221.5499508374,620898.5499508374,622837.5499508374,626544.5499508374,628647.5499508374,631823.5499508374,638365.5499508374,642023.5499508374,646177.5499508374,643970.5499508374,648100.5499508374,650611.5499508374,657913.5499508374,660591.5499508374,664033.5499508374,665663.5499508374,668184.5499508374,671451.5499508374,670919.5499508374,671047.5499508374,669988.5499508374,673309.5499508374,672482.5499508374,673093.5499508374,671340.5499508374,669664.0,669734.0,669804.0,669874.0,669944.0,670014.0,670084.0,670154.0,670224.0,670294.0,670364.0,670434.0,667215.4500491626,664258.8758636237,660642.3649895642,656462.7395874817,651785.0675590213,646656.3221526864,641112.3662758822,635181.7115447648,628887.7192578046,622249.9806867474,615285.2308412447,608007.9801033665,672112.5499508374,675209.1241363763,678965.6350104358,683285.2604125183,688102.9324409787,693371.6778473136,699055.6337241178,705126.2884552352,711560.2807421954,718338.0193132526,725442.7691587553,732860.0198966335
96712," ARIMA(0,1,0)(0,0,0)[12] intercept",183723.30623797726,36689.86775642643,4366.057142857142,1110623.057142857,1114222.0571428572,1116825.0571428572,1118797.0571428572,1121893.0571428572,1118119.0571428572,1115290.0571428572,1118338.0571428572,1126128.0571428572,1138929.0571428572,1146621.0571428572,1157390.0571428572,1163288.0571428572,1168106.0571428572,1174701.0571428572,1183443.0571428572,1195503.0571428572,1210034.0571428572,1227517.0571428572,1231290.0571428572,1235126.0571428572,1236495.0571428572,1243015.0571428572,1241978.0571428572,1238186.0571428572,1242011.0571428572,1248206.0571428572,1254154.0571428572,1261462.0571428572,1268298.0571428572,1271855.0571428572,1274636.0571428572,1274635.0571428572,1270549.0571428572,1264506.0571428572,-6237.781349145316,1100201.9280320657,1103800.928032066,1106403.928032066,1108375.928032066,1111471.928032066,1107697.928032066,1104868.928032066,1107916.928032066,1115706.928032066,1128507.928032066,1136199.928032066,1146968.928032066,1152866.928032066,1157684.928032066,1164279.928032066,1173021.928032066,1185081.928032066,1199612.928032066,1217095.928032066,1220868.928032066,1224704.928032066,1226073.928032066,1232593.928032066,1231556.928032066,1227764.928032066,1231589.928032066,1237784.928032066,1243732.928032066,1251040.928032066,1257876.928032066,1261433.928032066,1264214.928032066,1264213.928032066,1260127.928032066,1254084.928032066,14969.8956348596,1121044.1862536483,1124643.1862536485,1127246.1862536485,1129218.1862536485,1132314.1862536485,1128540.1862536485,1125711.1862536485,1128759.1862536485,1136549.1862536485,1149350.1862536485,1157042.1862536485,1167811.1862536485,1173709.1862536485,1178527.1862536485,1185122.1862536485,1193864.1862536485,1205924.1862536485,1220455.1862536485,1237938.1862536485,1241711.1862536485,1245547.1862536485,1246916.1862536485,1253436.1862536485,1252399.1862536485,1248607.1862536485,1252432.1862536485,1258627.1862536485,1264575.1862536485,1271883.1862536485,1278719.1862536485,1282276.1862536485,1285057.1862536485,1285056.1862536485,1280970.1862536485,1274927.1862536485,1263435.0571428572,1267801.1142857145,1272167.1714285717,1276533.228571429,1280899.2857142861,1285265.3428571434,1289631.4000000006,1293997.4571428578,1298363.514285715,1302729.5714285723,1307095.6285714295,1311461.6857142868,1253013.928032066,1253063.4121619926,1254117.2463364464,1255690.9703498466,1257596.9326202553,1259738.8939920412,1262059.6839923516,1264522.052895414,1267100.1269533415,1269775.067647787,1272532.6534190853,1275361.8355300361,1273856.1862536485,1282538.8164094363,1290217.096520697,1297375.4867930112,1304201.638808317,1310791.7917222455,1317203.1160076496,1323472.8613903017,1329626.9016180886,1335684.0752093575,1341658.6037237737,1347561.5358985374
96717," ARIMA(0,1,0)(0,0,0)[12] intercept",99659.70432468051,14771.188583744144,2604.085714285714,602960.0857142856,607855.0857142857,610384.0857142857,612061.0857142857,616409.0857142857,619754.0857142857,623366.0857142857,624491.0857142857,627364.0857142857,628714.0857142857,632188.0857142857,635608.0857142857,639441.0857142857,640010.0857142857,642212.0857142857,645403.0857142857,650316.0857142857,651967.0857142857,652206.0857142857,652433.0857142857,659786.0857142857,668965.0857142857,676412.0857142857,679399.0857142857,680923.0857142857,684785.0857142857,686936.0857142857,687366.0857142857,684971.0857142857,686251.0857142857,690428.0857142857,697877.0857142857,698830.0857142857,697626.0857142857,694871.0857142857,-2956.223858692565,597756.6653270153,602651.6653270154,605180.6653270154,606857.6653270154,611205.6653270154,614550.6653270154,618162.6653270154,619287.6653270154,622160.6653270154,623510.6653270154,626984.6653270154,630404.6653270154,634237.6653270154,634806.6653270154,637008.6653270154,640199.6653270154,645112.6653270154,646763.6653270154,647002.6653270154,647229.6653270154,654582.6653270154,663761.6653270154,671208.6653270154,674195.6653270154,675719.6653270154,679581.6653270154,681732.6653270154,682162.6653270154,679767.6653270154,681047.6653270154,685224.6653270154,692673.6653270154,693626.6653270154,692422.6653270154,689667.6653270154,8164.395287263993,608163.5061015559,613058.506101556,615587.506101556,617264.506101556,621612.506101556,624957.506101556,628569.506101556,629694.506101556,632567.506101556,633917.506101556,637391.506101556,640811.506101556,644644.506101556,645213.506101556,647415.506101556,650606.506101556,655519.506101556,657170.506101556,657409.506101556,657636.506101556,664989.506101556,674168.506101556,681615.506101556,684602.506101556,686126.506101556,689988.506101556,692139.506101556,692569.506101556,690174.506101556,691454.506101556,695631.506101556,703080.506101556,704033.506101556,702829.506101556,700074.506101556,694103.0857142857,696707.1714285715,699311.2571428572,701915.3428571429,704519.4285714286,707123.5142857144,709727.6000000001,712331.6857142858,714935.7714285715,717539.8571428573,720143.942857143,722748.0285714287,688899.6653270154,689348.4237461652,690298.6686589654,691508.5020826024,692884.2268699841,694377.789419707,695960.6436883595,697614.1903494733,699325.5102667608,701085.1970957278,702886.1498060818,704722.8516036451,699306.506101556,704065.9191109777,708323.845626749,712322.1836316835,716154.6302728732,719869.2391517217,723494.5563116407,727049.1810790984,730546.0325903823,733994.5171899868,737401.7359082042,740773.2055392123
96710," ARIMA(0,1,0)(0,0,0)[12] intercept",92149.50093004665,7871.9964155645885,2168.7999999999993,556697.7999999999,560007.8,562705.8,566741.8,568874.8,568600.8,568094.8,571496.8,572892.8,569337.8,563969.8,560332.8,562032.8,565102.8,568717.8,572545.8,577196.8,583701.8,590966.8,597350.8,607713.8,619389.8,627736.8,629979.8,628220.8,631201.8,634532.8,636403.8,637694.8,639006.8,642670.8,641106.8,633749.8,628762.8,629642.8,-6135.450570401337,548628.1582040268,551938.1582040269,554636.1582040269,558672.1582040269,560805.1582040269,560531.1582040269,560025.1582040269,563427.1582040269,564823.1582040269,561268.1582040269,555900.1582040269,552263.1582040269,553963.1582040269,557033.1582040269,560648.1582040269,564476.1582040269,569127.1582040269,575632.1582040269,582897.1582040269,589281.1582040269,599644.1582040269,611320.1582040269,619667.1582040269,621910.1582040269,620151.1582040269,623132.1582040269,626463.1582040269,628334.1582040269,629625.1582040269,630937.1582040269,634601.1582040269,633037.1582040269,625680.1582040269,620693.1582040269,621573.1582040269,10473.050570401336,564767.4417959731,568077.4417959732,570775.4417959732,574811.4417959732,576944.4417959732,576670.4417959732,576164.4417959732,579566.4417959732,580962.4417959732,577407.4417959732,572039.4417959732,568402.4417959732,570102.4417959732,573172.4417959732,576787.4417959732,580615.4417959732,585266.4417959732,591771.4417959732,599036.4417959732,605420.4417959732,615783.4417959732,627459.4417959732,635806.4417959732,638049.4417959732,636290.4417959732,639271.4417959732,642602.4417959732,644473.4417959732,645764.4417959732,647076.4417959732,650740.4417959732,649176.4417959732,641819.4417959732,636832.4417959732,637712.4417959732,632605.8,634774.6000000001,636943.4000000001,639112.2000000002,641281.0000000002,643449.8000000003,645618.6000000003,647787.4000000004,649956.2000000004,652125.0000000005,654293.8000000005,656462.6000000006,624536.1582040269,623362.4031286421,622966.3704104932,622972.9164080538,623236.7323901308,623683.2951928296,624268.3346384828,624963.0062572843,625747.274612081,626606.5520230335,627529.8259701879,628508.5408209868,640675.4417959732,646186.7968713581,650920.429589507,655251.4835919465,659325.2676098697,663216.304807171,666968.8653615179,670611.7937427164,674165.1253879198,677643.4479769674,681057.7740298131,684416.6591790143
96707," ARIMA(0,1,0)(0,0,0)[12] intercept",99946.01076653604,21547.23733558206,2493.6571428571424,604565.6571428571,605184.6571428571,606425.6571428571,607154.6571428571,608954.6571428571,611068.6571428571,613562.6571428571,619583.6571428571,626167.6571428571,632246.6571428571,634803.6571428571,638078.6571428571,640419.6571428571,643987.6571428571,647115.6571428571,650490.6571428571,655191.6571428571,659147.6571428571,663174.6571428571,664044.6571428571,666637.6571428571,669515.6571428571,674443.6571428571,678069.6571428571,681341.6571428571,683862.6571428571,686135.6571428571,688773.6571428571,689396.6571428571,690397.6571428571,690717.6571428571,692966.6571428571,693804.6571428571,693619.6571428571,692605.6571428571,-1593.4096551373232,600979.2025996383,601598.2025996383,602839.2025996383,603568.2025996383,605368.2025996383,607482.2025996383,609976.2025996383,615997.2025996383,622581.2025996383,628660.2025996383,631217.2025996383,634492.2025996383,636833.2025996383,640401.2025996383,643529.2025996383,646904.2025996383,651605.2025996383,655561.2025996383,659588.2025996383,660458.2025996383,663051.2025996383,665929.2025996383,670857.2025996383,674483.2025996383,677755.2025996383,680276.2025996383,682549.2025996383,685187.2025996383,685810.2025996383,686811.2025996383,687131.2025996383,689380.2025996383,690218.2025996383,690033.2025996383,689019.2025996383,6580.723940851608,608152.1116860759,608771.1116860759,610012.1116860759,610741.1116860759,612541.1116860759,614655.1116860759,617149.1116860759,623170.1116860759,629754.1116860759,635833.1116860759,638390.1116860759,641665.1116860759,644006.1116860759,647574.1116860759,650702.1116860759,654077.1116860759,658778.1116860759,662734.1116860759,666761.1116860759,667631.1116860759,670224.1116860759,673102.1116860759,678030.1116860759,681656.1116860759,684928.1116860759,687449.1116860759,689722.1116860759,692360.1116860759,692983.1116860759,693984.1116860759,694304.1116860759,696553.1116860759,697391.1116860759,697206.1116860759,696192.1116860759,691843.6571428571,694337.3142857142,696830.9714285713,699324.6285714284,701818.2857142854,704311.9428571425,706805.5999999996,709299.2571428567,711792.9142857138,714286.5714285709,716780.228571428,719273.8857142851,688257.2025996383,689265.3016298596,690619.0499406802,692151.7194849908,693798.7295574353,695526.95924057,697316.733190205,699155.2318311476,701033.5506560574,702945.2063473407,704885.3045239059,706850.0427385027,695430.1116860759,699409.3269415688,703042.8929164624,706497.5376578659,709837.8418711356,713096.9264737151,716294.4668097943,719443.2824545659,722552.2779153702,725627.9365098011,728675.1526189501,731697.7286900674
96722," ARIMA(0,1,0)(0,0,0)[12] intercept",152569.54868742393,11503.195449349114,3455.6571428571424,922299.6571428571,924946.6571428571,927014.6571428571,931081.6571428571,937228.6571428571,942957.6571428571,948203.6571428571,951769.6571428571,955787.6571428571,959662.6571428571,963091.6571428571,966341.6571428571,968833.6571428571,971750.6571428571,974541.6571428571,978161.6571428571,981200.6571428571,984754.6571428571,988636.6571428571,992387.6571428571,996533.6571428571,998091.6571428571,1002341.6571428571,1005426.6571428571,1010896.6571428571,1014571.6571428571,1018044.6571428571,1021051.6571428571,1024247.6571428571,1028606.6571428571,1032462.6571428571,1036047.6571428571,1039490.6571428571,1039480.6571428571,1042876.6571428571,347.83187030395266,919887.7866853022,922534.7866853022,924602.7866853022,928669.7866853022,934816.7866853022,940545.7866853022,945791.7866853022,949357.7866853022,953375.7866853022,957250.7866853022,960679.7866853022,963929.7866853022,966421.7866853022,969338.7866853022,972129.7866853022,975749.7866853022,978788.7866853022,982342.7866853022,986224.7866853022,989975.7866853022,994121.7866853022,995679.7866853022,999929.7866853022,1003014.7866853022,1008484.7866853022,1012159.7866853022,1015632.7866853022,1018639.7866853022,1021835.7866853022,1026194.7866853022,1030050.7866853022,1033635.7866853022,1037078.7866853022,1037068.7866853022,1040464.7866853022,6563.482415410332,924711.527600412,927358.527600412,929426.527600412,933493.527600412,939640.527600412,945369.527600412,950615.527600412,954181.527600412,958199.527600412,962074.527600412,965503.527600412,968753.527600412,971245.527600412,974162.527600412,976953.527600412,980573.527600412,983612.527600412,987166.527600412,991048.527600412,994799.527600412,998945.527600412,1000503.527600412,1004753.527600412,1007838.527600412,1013308.527600412,1016983.527600412,1020456.527600412,1023463.527600412,1026659.527600412,1031018.527600412,1034874.527600412,1038459.527600412,1041902.527600412,1041892.527600412,1045288.527600412,1043247.6571428571,1046703.3142857142,1050158.9714285713,1053614.6285714284,1057070.2857142854,1060525.9428571425,1063981.5999999996,1067437.2571428567,1070892.9142857138,1074348.571428571,1077804.228571428,1081259.885714285,1040835.7866853022,1043292.414373953,1045981.4892548118,1048790.8876563185,1051677.179418269,1054618.09091044,1057600.3905748057,1060615.4573193344,1063657.302913049,1066721.567361425,1069804.9592207754,1072904.921366766,1045659.527600412,1050114.2141974755,1054336.4536023308,1058438.3694865382,1062463.3920103018,1066433.794803845,1070362.8094251936,1074259.056966379,1078128.5256583786,1081975.5754957169,1085803.4979220806,1089614.850061804
96729," ARIMA(0,1,0)(0,0,0)[12] intercept",31490.261408864437,2002.2346409656595,1033.5142857142857,190697.51428571428,190006.51428571428,193606.51428571428,196725.51428571428,197141.51428571428,196826.51428571428,198157.51428571428,201533.51428571428,203883.51428571428,208224.51428571428,210156.51428571428,214127.51428571428,213303.51428571428,213165.51428571428,211349.51428571428,213041.51428571428,215027.51428571428,216373.51428571428,217818.51428571428,218665.51428571428,220123.51428571428,219343.51428571428,218862.51428571428,217969.51428571428,220624.51428571428,222581.51428571428,224254.51428571428,220686.51428571428,219944.51428571428,221462.51428571428,225034.51428571428,226385.51428571428,225918.51428571428,224469.51428571428,223918.51428571428,-3057.081260718337,187107.03895453594,186416.03895453594,190016.03895453594,193135.03895453594,193551.03895453594,193236.03895453594,194567.03895453594,197943.03895453594,200293.03895453594,204634.03895453594,206566.03895453594,210537.03895453594,209713.03895453594,209575.03895453594,207759.03895453594,209451.03895453594,211437.03895453594,212783.03895453594,214228.03895453594,215075.03895453594,216533.03895453594,215753.03895453594,215272.03895453594,214379.03895453594,217034.03895453594,218991.03895453594,220664.03895453594,217096.03895453594,216354.03895453594,217872.03895453594,221444.03895453594,222795.03895453594,222328.03895453594,220879.03895453594,220328.03895453594,5124.109832146908,194287.98961689262,193596.98961689262,197196.98961689262,200315.98961689262,200731.98961689262,200416.98961689262,201747.98961689262,205123.98961689262,207473.98961689262,211814.98961689262,213746.98961689262,217717.98961689262,216893.98961689262,216755.98961689262,214939.98961689262,216631.98961689262,218617.98961689262,219963.98961689262,221408.98961689262,222255.98961689262,223713.98961689262,222933.98961689262,222452.98961689262,221559.98961689262,224214.98961689262,226171.98961689262,227844.98961689262,224276.98961689262,223534.98961689262,225052.98961689262,228624.98961689262,229975.98961689262,229508.98961689262,228059.98961689262,227508.98961689262,226870.51428571428,227904.02857142856,228937.54285714283,229971.0571428571,231004.5714285714,232038.08571428567,233071.59999999995,234105.11428571423,235138.6285714285,236172.14285714278,237205.65714285706,238239.17142857134,223280.03895453594,222826.3296627101,222718.65716021924,222790.10648050043,222976.02451652053,223243.25321884826,223572.09518518977,223949.71646827733,224367.20257789345,224818.06292797183,225297.39765031144,225801.40003472415,230460.98961689262,232981.727480147,235156.42855406643,237152.0078052138,239033.11834062226,240832.91820972308,242571.10481481013,244260.51210315112,245910.05456496356,247526.22278631374,249113.91663540268,250676.94282241852
96730," ARIMA(0,1,0)(0,0,0)[12] intercept",134344.0290469957,32988.0566006046,2276.2285714285713,810279.2285714286,808119.2285714286,807257.2285714286,807466.2285714286,812484.2285714286,815563.2285714286,815844.2285714286,814921.2285714286,814659.2285714286,812691.2285714286,809477.2285714286,808229.2285714286,809650.2285714286,812719.2285714286,817989.2285714286,821432.2285714286,825676.2285714286,828631.2285714286,831758.2285714286,833141.2285714286,835189.2285714286,846447.2285714286,857800.2285714286,867454.2285714286,868109.2285714286,868773.2285714286,866034.2285714286,865502.2285714286,859940.2285714286,860578.2285714286,862837.2285714286,872507.2285714286,879306.2285714286,884303.2285714286,887252.2285714286,-5694.2960522633475,802553.44032969,800393.44032969,799531.44032969,799740.44032969,804758.44032969,807837.44032969,808118.44032969,807195.44032969,806933.44032969,804965.44032969,801751.44032969,800503.44032969,801924.44032969,804993.44032969,810263.44032969,813706.44032969,817950.44032969,820905.44032969,824032.44032969,825415.44032969,827463.44032969,838721.44032969,850074.44032969,859728.44032969,860383.44032969,861047.44032969,858308.44032969,857776.44032969,852214.44032969,852852.44032969,855111.44032969,864781.44032969,871580.44032969,876577.44032969,879526.44032969,10246.753195120491,818005.0168131671,815845.0168131671,814983.0168131671,815192.0168131671,820210.0168131671,823289.0168131671,823570.0168131671,822647.0168131671,822385.0168131671,820417.0168131671,817203.0168131671,815955.0168131671,817376.0168131671,820445.0168131671,825715.0168131671,829158.0168131671,833402.0168131671,836357.0168131671,839484.0168131671,840867.0168131671,842915.0168131671,854173.0168131671,865526.0168131671,875180.0168131671,875835.0168131671,876499.0168131671,873760.0168131671,873228.0168131671,867666.0168131671,868304.0168131671,870563.0168131671,880233.0168131671,887032.0168131671,892029.0168131671,894978.0168131671,889947.2285714286,892223.4571428571,894499.6857142857,896775.9142857143,899052.1428571428,901328.3714285714,903604.6,905880.8285714285,908157.0571428571,910433.2857142857,912709.5142857142,914985.7428571428,882221.44032969,881297.5426313679,881118.2279510763,881324.3378022372,881776.7551688469,882404.1323755181,883164.0856304129,884028.9995484501,884979.6924176415,886002.1981502444,887085.9734781281,888222.8273307242,897673.0168131671,903149.3716543464,907881.1434774951,912227.4907691913,916327.5305454388,920252.6104816247,924045.114369587,927732.657594407,931334.4218680727,934864.3732783269,938333.0550933004,941748.6583835614
96734," ARIMA(0,1,0)(0,0,0)[12] intercept",168219.35743166486,43288.84124690796,2888.9999999999995,1014849.9999999999,1014144.0,1011557.0,1007997.0,1008103.0,1013121.0,1018273.0,1029000.0,1036047.0,1043086.0,1042821.0,1045343.0,1047687.0,1053106.0,1058353.0,1063622.0,1072485.0,1077767.0,1081792.0,1077510.0,1078772.0,1082104.0,1091347.0,1096309.0,1098435.0,1099722.0,1102842.0,1108819.0,1107084.0,1107611.0,1108618.0,1116982.0,1119216.0,1119332.0,1116615.0,-4721.968684179847,1007495.7233196681,1006789.7233196682,1004202.7233196682,1000642.7233196682,1000748.7233196682,1005766.7233196682,1010918.7233196682,1021645.7233196682,1028692.7233196682,1035731.7233196682,1035466.7233196682,1037988.7233196682,1040332.7233196682,1045751.7233196682,1050998.723319668,1056267.723319668,1065130.723319668,1070412.723319668,1074437.723319668,1070155.723319668,1071417.723319668,1074749.723319668,1083992.723319668,1088954.723319668,1091080.723319668,1092367.723319668,1095487.723319668,1101464.723319668,1099729.723319668,1100256.723319668,1101263.723319668,1109627.723319668,1111861.723319668,1111977.723319668,1109260.723319668,10499.968684179845,1022204.2766803317,1021498.2766803318,1018911.2766803318,1015351.2766803318,1015457.2766803318,1020475.2766803318,1025627.2766803318,1036354.2766803318,1043401.2766803318,1050440.276680332,1050175.276680332,1052697.276680332,1055041.276680332,1060460.276680332,1065707.276680332,1070976.276680332,1079839.276680332,1085121.276680332,1089146.276680332,1084864.276680332,1086126.276680332,1089458.276680332,1098701.276680332,1103663.276680332,1105789.276680332,1107076.276680332,1110196.276680332,1116173.276680332,1114438.276680332,1114965.276680332,1115972.276680332,1124336.276680332,1126570.276680332,1126686.276680332,1123969.276680332,1115965.0,1118854.0,1121743.0,1124632.0,1127521.0,1130410.0,1133299.0,1136188.0,1139077.0,1141966.0,1144855.0,1147744.0,1108610.723319668,1108453.4821772305,1109005.0191367464,1109923.4466393364,1111076.3374174365,1112395.7747059378,1113841.4128310804,1115386.964354461,1117014.1699590045,1118709.7351470895,1120463.6236468789,1122268.0382734926,1123319.276680332,1129254.5178227695,1134480.9808632536,1139340.5533606636,1143965.6625825635,1148424.2252940622,1152756.5871689196,1156989.035645539,1161139.8300409955,1165222.2648529105,1169246.3763531211,1173219.9617265074
