zip_code,model_order,train_rmse,test_rmse,train_pred_2016-01-31,train_pred_2016-02-29,train_pred_2016-03-31,train_pred_2016-04-30,train_pred_2016-05-31,train_pred_2016-06-30,train_pred_2016-07-31,train_pred_2016-08-31,train_pred_2016-09-30,train_pred_2016-10-31,train_pred_2016-11-30,train_pred_2016-12-31,train_pred_2017-01-31,train_pred_2017-02-28,train_pred_2017-03-31,train_pred_2017-04-30,train_pred_2017-05-31,train_pred_2017-06-30,train_pred_2017-07-31,train_pred_2017-08-31,train_pred_2017-09-30,train_pred_2017-10-31,train_pred_2017-11-30,train_pred_2017-12-31,train_pred_2018-01-31,train_pred_2018-02-28,train_pred_2018-03-31,train_pred_2018-04-30,train_pred_2018-05-31,train_pred_2018-06-30,train_pred_2018-07-31,train_pred_2018-08-31,train_pred_2018-09-30,train_pred_2018-10-31,train_pred_2018-11-30,train_pred_2018-12-31,train_lci_2016-01-31,train_lci_2016-02-29,train_lci_2016-03-31,train_lci_2016-04-30,train_lci_2016-05-31,train_lci_2016-06-30,train_lci_2016-07-31,train_lci_2016-08-31,train_lci_2016-09-30,train_lci_2016-10-31,train_lci_2016-11-30,train_lci_2016-12-31,train_lci_2017-01-31,train_lci_2017-02-28,train_lci_2017-03-31,train_lci_2017-04-30,train_lci_2017-05-31,train_lci_2017-06-30,train_lci_2017-07-31,train_lci_2017-08-31,train_lci_2017-09-30,train_lci_2017-10-31,train_lci_2017-11-30,train_lci_2017-12-31,train_lci_2018-01-31,train_lci_2018-02-28,train_lci_2018-03-31,train_lci_2018-04-30,train_lci_2018-05-31,train_lci_2018-06-30,train_lci_2018-07-31,train_lci_2018-08-31,train_lci_2018-09-30,train_lci_2018-10-31,train_lci_2018-11-30,train_lci_2018-12-31,train_uci_2016-01-31,train_uci_2016-02-29,train_uci_2016-03-31,train_uci_2016-04-30,train_uci_2016-05-31,train_uci_2016-06-30,train_uci_2016-07-31,train_uci_2016-08-31,train_uci_2016-09-30,train_uci_2016-10-31,train_uci_2016-11-30,train_uci_2016-12-31,train_uci_2017-01-31,train_uci_2017-02-28,train_uci_2017-03-31,train_uci_2017-04-30,train_uci_2017-05-31,train_uci_2017-06-30,train_uci_2017-07-31,train_uci_2017-08-31,train_uci_2017-09-30,train_uci_2017-10-31,train_uci_2017-11-30,train_uci_2017-12-31,train_uci_2018-01-31,train_uci_2018-02-28,train_uci_2018-03-31,train_uci_2018-04-30,train_uci_2018-05-31,train_uci_2018-06-30,train_uci_2018-07-31,train_uci_2018-08-31,train_uci_2018-09-30,train_uci_2018-10-31,train_uci_2018-11-30,train_uci_2018-12-31,test_pred_2019-01-31,test_pred_2019-02-28,test_pred_2019-03-31,test_pred_2019-04-30,test_pred_2019-05-31,test_pred_2019-06-30,test_pred_2019-07-31,test_pred_2019-08-31,test_pred_2019-09-30,test_pred_2019-10-31,test_pred_2019-11-30,test_pred_2019-12-31,test_lci_2019-01-31,test_lci_2019-02-28,test_lci_2019-03-31,test_lci_2019-04-30,test_lci_2019-05-31,test_lci_2019-06-30,test_lci_2019-07-31,test_lci_2019-08-31,test_lci_2019-09-30,test_lci_2019-10-31,test_lci_2019-11-30,test_lci_2019-12-31,test_uci_2019-01-31,test_uci_2019-02-28,test_uci_2019-03-31,test_uci_2019-04-30,test_uci_2019-05-31,test_uci_2019-06-30,test_uci_2019-07-31,test_uci_2019-08-31,test_uci_2019-09-30,test_uci_2019-10-31,test_uci_2019-11-30,test_uci_2019-12-31
60025," ARIMA(0,1,0)(0,0,0)[12] intercept",80610.05961110933,13107.923514613689,687.2571428571428,484970.25714285724,486543.2571428571,486980.2571428571,487233.2571428571,486207.2571428571,486080.2571428571,487847.2571428571,489531.2571428571,490522.2571428571,491268.2571428571,492841.2571428571,493020.2571428571,493708.2571428571,492780.2571428571,494167.2571428571,494838.2571428571,496024.2571428571,495697.2571428571,495144.2571428571,494720.2571428571,495075.2571428571,496788.2571428571,498403.2571428571,501417.2571428571,505905.2571428571,510128.2571428571,511669.2571428571,511621.2571428571,511665.2571428571,512638.2571428571,511468.2571428571,510285.2571428571,509716.2571428571,509308.2571428571,509456.2571428571,-2583.9971269133093,482351.1646136026,483924.1646136025,484361.1646136025,484614.1646136025,483588.1646136025,483461.1646136025,485228.1646136025,486912.1646136025,487903.1646136025,488649.1646136025,490222.1646136025,490401.1646136025,491089.1646136025,490161.1646136025,491548.1646136025,492219.1646136025,493405.1646136025,493078.1646136025,492525.1646136025,492101.1646136025,492456.1646136025,494169.1646136025,495784.1646136025,498798.1646136025,503286.1646136025,507509.1646136025,509050.1646136025,509002.1646136025,509046.1646136025,510019.1646136025,508849.1646136025,507666.1646136025,507097.1646136025,506689.1646136025,506837.1646136025,3958.511412627595,487589.34967211186,489162.34967211174,489599.34967211174,489852.34967211174,488826.34967211174,488699.34967211174,490466.34967211174,492150.34967211174,493141.34967211174,493887.34967211174,495460.34967211174,495639.34967211174,496327.34967211174,495399.34967211174,496786.34967211174,497457.34967211174,498643.34967211174,498316.34967211174,497763.34967211174,497339.34967211174,497694.34967211174,499407.34967211174,501022.34967211174,504036.34967211174,508524.34967211174,512747.34967211174,514288.34967211174,514240.34967211174,514284.34967211174,515257.34967211174,514087.34967211174,512904.34967211174,512335.34967211174,511927.34967211174,512075.34967211174,509024.2571428571,509711.51428571425,510398.7714285714,511086.0285714285,511773.2857142856,512460.54285714275,513147.7999999999,513835.057142857,514522.3142857141,515209.57142857125,515896.82857142837,516584.0857142855,506405.1646136025,506007.55810973234,505862.37009817833,505847.84351291927,505916.81677951047,506045.1025713335,506218.33250692504,506427.1447908932,506665.03669795033,506927.2736333955,507210.2813606679,507511.2830534994,511643.34967211174,513415.47046169615,514935.1727589644,516324.21362993773,517629.7546490608,518875.98314295197,520077.2674930747,521242.9694948208,522379.5918734779,523491.869223747,524583.3757821888,525656.8883750716
60005," ARIMA(0,1,0)(0,0,0)[12] intercept",59166.89682367442,8126.995169392936,602.3999999999999,356175.4,357864.4,358343.4,358567.4,357433.4,357543.4,357938.4,358612.4,358555.4,359289.4,360763.4,361718.4,362236.4,362150.4,363762.4,364792.4,365753.4,366181.4,366842.4,368477.4,370262.4,371803.4,372377.4,373491.4,375901.4,377511.4,377863.4,377603.4,378375.4,378810.4,378429.4,377514.4,377161.4,376949.4,377220.4,-1895.603704638406,354626.67029869865,356315.67029869865,356794.67029869865,357018.67029869865,355884.67029869865,355994.67029869865,356389.67029869865,357063.67029869865,357006.67029869865,357740.67029869865,359214.67029869865,360169.67029869865,360687.67029869865,360601.67029869865,362213.67029869865,363243.67029869865,364204.67029869865,364632.67029869865,365293.67029869865,366928.67029869865,368713.67029869865,370254.67029869865,370828.67029869865,371942.67029869865,374352.67029869865,375962.67029869865,376314.67029869865,376054.67029869865,376826.67029869865,377261.67029869865,376880.67029869865,375965.67029869865,375612.67029869865,375400.67029869865,375671.67029869865,3100.4037046384055,357724.1297013014,359413.1297013014,359892.1297013014,360116.1297013014,358982.1297013014,359092.1297013014,359487.1297013014,360161.1297013014,360104.1297013014,360838.1297013014,362312.1297013014,363267.1297013014,363785.1297013014,363699.1297013014,365311.1297013014,366341.1297013014,367302.1297013014,367730.1297013014,368391.1297013014,370026.1297013014,371811.1297013014,373352.1297013014,373926.1297013014,375040.1297013014,377450.1297013014,379060.1297013014,379412.1297013014,379152.1297013014,379924.1297013014,380359.1297013014,379978.1297013014,379063.1297013014,378710.1297013014,378498.1297013014,378769.1297013014,377259.4,377861.80000000005,378464.20000000007,379066.6000000001,379669.0000000001,380271.40000000014,380873.80000000016,381476.2000000002,382078.6000000002,382681.00000000023,383283.40000000026,383885.8000000003,375710.67029869865,375671.5654519696,375781.7214701551,375969.14059739735,376205.9351091173,376477.8024823187,376776.24636229733,377095.7309039393,377432.41089609603,377783.4866639356,378146.8446791044,378520.84294031037,378808.1297013014,380052.03454803047,381146.678529845,382164.05940260284,383132.06489088293,384064.99751768156,384971.353637703,385856.6690960611,386724.7891039044,387578.5133360649,388419.9553208961,389250.7570596902
60004," ARIMA(0,2,0)(0,0,0)[12]          ",69088.38573682866,7061.528989295921,0.0,571439.4314904443,358896.0,359052.0,359833.0,357732.0,359385.0,360639.0,360888.0,360530.0,361554.0,363884.0,364284.0,365366.0,364923.0,367813.0,367834.0,368809.0,367162.0,367519.0,368754.0,370022.0,370548.0,368899.0,370487.0,372822.0,373250.0,371291.0,369481.0,369883.0,370280.0,368933.0,368238.0,368406.0,368459.0,369581.0,-3145.186969655902,569304.2545337761,357409.6341524695,357565.6341524695,358346.6341524695,356245.6341524695,357898.6341524695,359152.6341524695,359401.6341524695,359043.6341524695,360067.6341524695,362397.6341524695,362797.6341524695,363879.6341524695,363436.6341524695,366326.6341524695,366347.6341524695,367322.6341524695,365675.6341524695,366032.6341524695,367267.6341524695,368535.6341524695,369061.6341524695,367412.6341524695,369000.6341524695,371335.6341524695,371763.6341524695,369804.6341524695,367994.6341524695,368396.6341524695,368793.6341524695,367446.6341524695,366751.6341524695,366919.6341524695,366972.6341524695,368094.6341524695,3145.186969655902,573574.6084471126,360382.3658475305,360538.3658475305,361319.3658475305,359218.3658475305,360871.3658475305,362125.3658475305,362374.3658475305,362016.3658475305,363040.3658475305,365370.3658475305,365770.3658475305,366852.3658475305,366409.3658475305,369299.3658475305,369320.3658475305,370295.3658475305,368648.3658475305,369005.3658475305,370240.3658475305,371508.3658475305,372034.3658475305,370385.3658475305,371973.3658475305,374308.3658475305,374736.3658475305,372777.3658475305,370967.3658475305,371369.3658475305,371766.3658475305,370419.3658475305,369724.3658475305,369892.3658475305,369945.3658475305,371067.3658475305,368993.0,368954.0,368915.0,368876.0,368837.0,368798.0,368759.0,368720.0,368681.0,368642.0,368603.0,368564.0,367506.6341524695,365630.38492548774,363353.52824713907,360734.83896602265,357813.81585027376,354618.97350393346,351172.08211827034,347490.44936246116,343588.2564608624,339477.3960837553,335168.027038313,330668.95769552083,370479.3658475305,372277.61507451226,374476.47175286093,377017.16103397735,379860.18414972624,382977.02649606654,386345.91788172966,389949.55063753884,393773.7435391376,397806.6039162447,402037.972961687,406459.04230447917
60016," ARIMA(1,2,0)(0,0,0)[12]          ",48339.28986302847,2082.2078679555325,0.0,397557.22368507244,255729.92632156724,257030.21206452636,257267.28845888778,256136.7868307783,257407.3538283981,259999.43022275943,260953.3079383348,261697.80436806727,262816.8647485663,265051.3360817434,265513.69594598125,266839.0177466547,267055.2973322151,270017.8554565076,271017.6104689269,272158.71001768555,272856.3559799218,272949.8418035346,275439.40533556975,276326.2118551608,276857.60332839185,276278.45400525385,277976.2185769644,280703.5245731411,281988.88443737896,280753.7567452116,280325.05171653745,280955.05323996395,282008.5016281095,281657.1211797294,281368.41289483616,281738.4589942651,282313.42696654046,282814.13698422606,-3002.381235446725,395672.0419753961,254576.130073561,255876.50758823522,256113.58398259664,254983.08235448715,256253.64935210696,258845.7257464683,259799.60346204365,260544.09989177613,261663.16027227516,263897.6316054523,264359.9914696901,265685.31327036355,265901.592855924,268864.15098021645,269863.90599263576,271005.0055413944,271702.6515036307,271796.13732724346,274285.7008592786,275172.50737886963,275703.8988521007,275124.7495289627,276822.51410067326,279549.82009685,280835.1799610878,279600.05226892047,279171.3472402463,279801.3487636728,280854.79715181835,280503.41670343827,280214.708418545,280584.754517974,281159.7224902493,281660.4325079349,3002.381235446725,399442.4053947488,256883.72256957347,258183.9165408175,258420.99293517892,257290.49130706943,258561.05830468924,261153.13469905057,262107.01241462593,262851.5088443584,263970.56922485743,266205.04055803455,266667.4004222724,267992.7222229458,268209.00180850626,271171.55993279873,272171.31494521804,273312.4144939767,274010.06045621296,274103.54627982574,276593.1098118609,277479.9163314519,278011.307804683,277432.158481545,279129.92305325554,281857.22904943227,283142.5889136701,281907.46122150274,281478.7561928286,282108.7577162551,283162.2061044006,282810.82565602055,282522.1173711273,282892.16347055626,283467.1314428316,283967.8414605172,282787.3648532491,282988.67149375856,283189.9772020572,283391.2828954276,283592.58858855895,283793.89428168646,283995.1999748139,284196.50566794135,284397.8113610688,284599.11705419625,284800.4227473237,285001.72844045114,281633.66037695797,280392.371932721,278833.4541812702,277004.1050671908,274935.7741672254,272651.09842774336,270167.3349257704,267498.19097171474,264654.89096578,261646.84377704305,258482.08383867424,255167.5757065117,283941.06932954025,285584.97105479613,287546.5002228442,289778.46072366444,292249.4030098925,294936.69013562956,297823.0650238574,300894.820364168,304140.7317563576,307551.39033134945,311118.76165597315,314835.88117439055
60008," ARIMA(1,2,0)(0,0,0)[12]          ",44263.18362439643,795.9727817796185,0.0,362742.94405592215,234550.16117350786,235479.08604571788,234913.81436365022,234541.07349850668,235641.81294629234,238242.05396901089,239442.12017008298,239544.49879246965,240701.58620329294,242788.28769429485,243371.7589772814,244027.32323601784,244792.16684165926,247756.3437632164,249247.7217030504,250203.33473327378,250602.6140801786,250706.09927548177,251926.55659389924,253556.09995803447,254911.12295254628,255113.16510915122,256817.422144097,258360.97039060626,257807.63045980845,255587.09197804716,254878.44897102742,255826.83000847488,256561.19435114233,256402.01916209314,256871.0247270198,257749.27063211234,257913.26889960433,257833.8523204339,-2956.8967104226035,360945.4968625938,233520.4988360332,234449.53630089466,233884.264618827,233511.52375368346,234612.26320146912,237212.50422418767,238412.57042525976,238514.94904764643,239672.03645846972,241758.73794947163,242342.20923245818,242997.77349119462,243762.61709683604,246726.79401839318,248218.17195822718,249173.78498845056,249573.0643353554,249676.54953065855,250897.00684907602,252526.55021321125,253881.57320772306,254083.615364328,255787.8723992738,257331.42064578304,256778.08071498523,254557.54223322394,253848.8992262042,254797.28026365166,255531.6446063191,255372.46941726992,255841.47498219658,256719.72088728912,256883.7191547811,256804.3025756107,2956.8967104226035,364540.3912492505,235579.82351098253,236508.6357905411,235943.36410847344,235570.6232433299,236671.36269111556,239271.6037138341,240471.6699149062,240574.04853729287,241731.13594811616,243817.83743911807,244401.30872210462,245056.87298084106,245821.71658648248,248785.89350803962,250277.27144787362,251232.884478097,251632.16382500183,251735.649020305,252956.10633872246,254585.64970285769,255940.6726973695,256142.71485397444,257846.97188892023,259390.52013542948,258837.18020463167,256616.64172287038,255907.99871585064,256856.3797532981,257590.74409596555,257431.56890691636,257900.57447184302,258778.82037693556,258942.81864442755,258863.40206525713,257071.77708941922,256759.40524434857,256447.03070175587,256134.6561103053,255822.2815179698,255509.90692561827,255197.53233326646,254885.15774091464,254572.78314856283,254260.408556211,253948.0339638592,253635.65937150738,256042.227344596,254440.56833895357,252554.64818151778,250426.78561207314,248085.14291052983,245549.98207402293,242836.7463545532,239957.70077572283,236922.88784892298,233740.72520914488,230418.4005220688,226962.14410744357,258101.32683424244,259078.24214974357,260339.41322199395,261842.52660853748,263559.4201254098,265469.8317772136,267558.3183119797,269812.6147061065,272222.67844820267,274780.09190327715,277477.6674056496,280309.1746355712
60029," ARIMA(0,1,0)(0,0,0)[12] intercept",121669.54699241946,6644.882810834437,952.6571428571427,731686.6571428572,733191.6571428571,734464.6571428571,733396.6571428571,732971.6571428571,733612.6571428571,739802.6571428571,745945.6571428571,751994.6571428571,757786.6571428571,762809.6571428571,763497.6571428571,763146.6571428571,760018.6571428571,762448.6571428571,763747.6571428571,766519.6571428571,764198.6571428571,761179.6571428571,758123.6571428571,757138.6571428571,759711.6571428571,759150.6571428571,762904.6571428571,766203.6571428571,774733.6571428571,775852.6571428571,777084.6571428571,773567.6571428571,773354.6571428571,770919.6571428571,772142.6571428571,772783.6571428571,770011.6571428571,766851.6571428571,-5500.559152286435,725538.2799804498,727043.2799804497,728316.2799804497,727248.2799804497,726823.2799804497,727464.2799804497,733654.2799804497,739797.2799804497,745846.2799804497,751638.2799804497,756661.2799804497,757349.2799804497,756998.2799804497,753870.2799804497,756300.2799804497,757599.2799804497,760371.2799804497,758050.2799804497,755031.2799804497,751975.2799804497,750990.2799804497,753563.2799804497,753002.2799804497,756756.2799804497,760055.2799804497,768585.2799804497,769704.2799804497,770936.2799804497,767419.2799804497,767206.2799804497,764771.2799804497,765994.2799804497,766635.2799804497,763863.2799804497,760703.2799804497,7405.87343800072,737835.0343052646,739340.0343052645,740613.0343052645,739545.0343052645,739120.0343052645,739761.0343052645,745951.0343052645,752094.0343052645,758143.0343052645,763935.0343052645,768958.0343052645,769646.0343052645,769295.0343052645,766167.0343052645,768597.0343052645,769896.0343052645,772668.0343052645,770347.0343052645,767328.0343052645,764272.0343052645,763287.0343052645,765860.0343052645,765299.0343052645,769053.0343052645,772352.0343052645,780882.0343052645,782001.0343052645,783233.0343052645,779716.0343052645,779503.0343052645,777068.0343052645,778291.0343052645,778932.0343052645,776160.0343052645,773000.0343052645,765029.6571428571,765982.3142857142,766934.9714285713,767887.6285714284,768840.2857142854,769792.9428571425,770745.5999999996,771698.2571428567,772650.9142857138,773603.5714285709,774556.228571428,775508.8857142851,758881.2799804497,757287.1959160527,756285.6697991856,755590.8742466136,755092.0964278353,754732.5560630633,754478.5230616408,754308.0204035337,754205.7827984917,754160.6956816006,754164.3684541327,754210.2824555136,771178.0343052645,774677.4326553757,777584.273057957,780184.3828962431,782588.4750007356,784853.3296512217,787012.6769383585,789088.4938821797,791096.045772936,793046.4471755412,794948.0886887233,796807.4889730565
60013," ARIMA(2,1,2)(0,0,0)[12] intercept",35415.187224706824,4580.609146368104,754.2595639694858,215200.75624087956,217388.8112668047,218907.04847809995,219221.13747634896,218910.9168742136,218526.44347031217,218653.38011099127,219223.9477471043,220249.90523577188,220721.9698164431,222251.72735674452,222935.9664762424,223791.56889826327,224093.0462823771,224765.42515658727,226743.01009885484,227798.96008441312,229312.23974735627,230401.6463360726,231964.97356225303,233179.40872573436,234554.96895897196,235212.5611125157,236559.69886343493,237320.98717596426,238564.84830300076,238942.72201089645,239168.76858177932,239444.0744889146,240269.1430167523,240665.00330870834,240533.776485599,240348.51465188578,240375.56008302886,241312.01608936983,-1448.2045244212773,214196.15251312483,216384.62221785536,217903.31179575538,218217.52327640963,217907.34734461026,217523.052007942,217650.13894563235,218220.73534558134,219246.71889599238,219718.85613870996,221248.6612037538,221932.90674207683,222788.5233417842,223090.02893439628,223762.42199316205,225740.00855436685,226795.96563423602,228309.2557297753,229398.66627729105,230961.99413190302,232176.43258882395,233551.99649867107,234209.58967406835,235556.7277751728,236318.017520535,237561.8798805324,237939.75383064247,238165.80060736934,238441.10710319792,239266.1760231937,239662.036369297,239530.80965901926,239345.5480548887,239372.59360366702,240309.04962341642,2956.723652360249,216205.3599686343,218393.00031575403,219910.78516044453,220224.7516762883,219914.48640381696,219529.83493268234,219656.6212763502,220227.16014862727,221253.09157555137,221725.08349417624,223254.79350973523,223939.026210408,224794.61445474235,225096.0636303579,225768.4283200125,227746.01164334282,228801.95453459022,230315.22376493725,231404.62639485413,232967.95299260304,234182.38486264477,235557.94141927286,236215.53255096302,237562.66995169705,238323.9568313935,239567.81672546914,239945.69019115044,240171.7365561893,240447.04187463128,241272.1100103109,241667.97024811967,241536.74331217873,241351.48124888286,241378.5265623907,242314.98255532325,240950.8631563972,241683.0037421344,242437.69050070606,243209.5969568545,243985.04991913782,244751.49608323746,245504.21061393415,246247.15008416557,246988.79863081453,247736.4410571169,248492.3938114725,249253.84196721966,239947.89674725354,240246.4983009367,240651.47277687618,241120.99930164966,241632.77225663266,242169.11057102476,242718.13428347194,243275.3062541832,243841.67397746493,244419.96801455633,245011.22916598705,245613.61450504855,241953.82956554083,243119.5091833321,244223.90822453593,245298.19461205936,246337.32758164298,247333.88159545016,248290.28694439636,249218.99391414793,250135.92328416414,251052.91409967747,251973.55845695792,252894.06942939077
60002," ARIMA(0,2,0)(1,0,0)[12]          ",35559.81689368061,3858.8529391250217,0.0,293155.0257806573,186674.00000000012,187381.99999999997,189257.99999999997,189229.0,190857.0,191101.0,191386.0,192365.0,192378.0,193931.0,197737.57087810745,197296.29574712532,196935.42842159062,194792.97559628176,196718.33459664116,198799.65541112112,199793.3741460458,198341.79299494496,199234.15283439678,200130.30030557176,201990.40917132108,202330.46860031463,201611.4431477308,201498.18628637376,203071.7235737137,205388.8086650641,205413.67529071,205338.68959730398,204437.69391166023,205476.39928396992,204964.21689240623,206300.6751858234,206250.52193188047,206901.5710539766,-3069.894101743292,291150.7908908687,185354.40454891292,186062.40454891277,187938.40454891277,187909.4045489128,189537.4045489128,189781.4045489128,190066.4045489128,191045.4045489128,191058.4045489128,192611.4045489128,196418.12345702227,195976.95020927826,195616.40951297648,193473.9566876676,195399.315688027,197480.63650250697,198474.35523743165,197022.7740863308,197915.13392578263,198811.2813969576,200671.39026270693,201011.4496917005,200292.42423911666,200179.16737775962,201752.70466509956,204069.78975644996,204094.65638209585,204019.67068868983,203118.67500304608,204157.38037535577,203645.19798379208,204981.65627720926,204931.50302326633,205582.55214536245,3069.894101743292,295159.2606704459,187993.5954510873,188701.59545108717,190577.59545108717,190548.5954510872,192176.5954510872,192420.5954510872,192705.5954510872,193684.5954510872,193697.5954510872,195250.5954510872,199057.01829919263,198615.64128497237,198254.44733020477,196111.9945048959,198037.3535052553,200118.67431973526,201112.39305465994,199660.8119035591,200553.17174301093,201449.3192141859,203309.42807993523,203649.48750892878,202930.46205634496,202817.2051949879,204390.74248232786,206707.82757367825,206732.69419932415,206657.70850591813,205756.71282027438,206795.41819258407,206283.23580102038,207619.69409443755,207569.54084049462,208220.58996259075,205707.1378984835,205362.3895015053,205039.33606505286,204694.7058967424,204337.89817565726,203962.91279691088,203606.19374732653,203236.5877729612,202887.61270111223,202529.06110717828,202175.74113179074,201797.35667884754,204388.11898986934,202412.97355823647,200104.0192223422,197470.14179650423,194555.79214114242,191380.27435353852,187999.35154976993,184397.22950943586,180620.01064868466,176648.04124138778,172505.14447569827,168168.84090974042,207026.15680709764,208311.80544477413,209974.65290776352,211919.26999698058,214120.0042101721,216545.55124028324,219213.03594488313,222075.94603648657,225155.2147535398,228410.08097296878,231846.3377878832,235425.87244795467
60012," ARIMA(0,1,2)(0,0,0)[12] intercept",46635.71058450651,3844.4302017825985,688.103111086373,282657.0719833004,285155.99259963393,285792.2255153504,287046.4681641762,287280.8582926805,286682.73908464384,285965.0668673503,285606.41203628544,285945.2543152508,286575.19224622444,288563.19607833965,289370.7178616152,290586.5827755031,290831.2550634626,290772.8500932864,291642.21900243167,291537.0570110047,293214.9875384317,294895.0693477819,297061.62164894695,298157.873924094,299208.4025337438,299918.9507054288,301719.6968815659,302568.86968247296,303714.3803809628,304207.5907514186,305473.84392982814,307142.14157589024,308742.24983955437,309342.2115715307,309337.02208562806,309760.54331651266,310108.50130099925,310966.43753234815,-1750.9730237003466,281205.36183730105,283704.47945802024,284340.87565942126,285595.11848751525,285829.50867160474,285231.38946369465,284513.7172464196,284155.06241535477,284493.9046943201,285123.84262529376,287111.846457409,287919.3682406845,289135.23315457243,289379.9054425319,289321.50047235575,290190.869381501,290085.70739007404,291763.63791750104,293443.7197268512,295610.2720280163,296706.52430316334,297757.05291281315,298467.6010844981,300268.34726063523,301117.5200615423,302263.0307600321,302756.24113048794,304022.49430889747,305690.79195495957,307290.9002186237,307890.8619506,307885.6724646974,308309.193695582,308657.1516800686,309515.0879114175,3127.1792458730924,284108.7821292997,286607.5057412476,287243.57537127956,288497.8178408372,288732.2079137563,288134.088705593,287416.41648828104,287057.7616572161,287396.60393618146,288026.5418671551,290014.5456992703,290822.06748254586,292037.9323964338,292282.60468439327,292224.1997142171,293093.56862336234,292988.4066319354,294666.3371593624,296346.41896871256,298512.9712698776,299609.2235450247,300659.7521546745,301370.30032635946,303171.0465024966,304020.21930340363,305165.7300018935,305658.9403723493,306925.1935507588,308593.4911968209,310193.59946048504,310793.56119246135,310788.37170655874,311211.89293744334,311559.85092192993,312417.7871532788,310068.0873039518,310726.59250452236,311414.6956156087,312102.79872669507,312790.9018377814,313479.0049488678,314167.10805995413,314855.2111710405,315543.31428212684,316231.4173932132,316919.52050429955,317607.6236153859,308616.7376830211,308658.7566447679,308859.8938651393,309140.0164489168,309469.88607948815,309834.8023600773,310226.1336437136,310638.29924514284,311067.4441955299,311510.77338276204,311966.1835770632,312432.0450432803,311519.43692488247,312794.4283642768,313969.49736607814,315065.5810044733,316111.9175960747,317123.2075376583,318108.08247619466,319072.1230969381,320019.18436872377,320952.06140366435,321872.8574315359,322783.2021874915
60033," ARIMA(1,1,0)(0,0,0)[12] intercept",24419.617913675513,3373.117741808916,768.4617344962479,149192.08506231528,149844.17192310997,150613.78537620598,151786.4043708818,152548.02571794618,153628.0052252323,154059.43319058855,154427.08292433518,154505.39669342566,154718.01782397777,155682.30874796587,156461.31899432282,157547.29850160895,157799.07481385453,158927.12945134274,159835.7221952126,160228.28249715993,159971.90192486026,159911.57599004882,160382.69999964698,160781.50042682223,161066.07481385453,161377.05240177663,162186.31899432282,162998.54097922545,164366.4959385574,165384.39220516084,166965.95612932395,168379.30853145363,170079.35933021377,171207.3066120896,172043.49615506965,173131.54289858948,174206.44513979726,175716.730089181,-1372.8737146177264,148329.77979579553,148982.73042119775,149752.34387429376,150924.96286896957,151686.58421603395,152766.56372332008,153197.99168867632,153565.64142242295,153643.95519151344,153856.57632206555,154820.86724605365,155599.8774924106,156685.85699969673,156937.6333119423,158065.68794943052,158974.2806933004,159366.8409952477,159110.46042294803,159050.1344881366,159521.25849773476,159920.05892491,160204.6333119423,160515.6108998644,161324.8774924106,162137.09947731323,163505.05443664518,164522.9507032486,166104.51462741173,167517.8670295414,169217.91782830155,170345.86511017737,171182.05465315742,172270.10139667726,173345.00363788503,174855.28858726876,2909.7971836102224,150054.39032883503,150705.6134250222,151475.2268781182,152647.84587279402,153409.4672198584,154489.44672714453,154920.87469250077,155288.5244262474,155366.83819533788,155579.45932589,156543.7502498781,157322.76049623505,158408.74000352118,158660.51631576676,159788.57095325497,160697.16369712484,161089.72399907216,160833.34342677248,160773.01749196104,161244.1415015592,161642.94192873445,161927.51631576676,162238.49390368885,163047.76049623505,163859.98248113767,165227.93744046963,166245.83370707306,167827.39763123618,169240.75003336585,170940.800832126,172068.74811400182,172904.93765698187,173992.9844005017,175067.88664170948,176578.1715910932,176155.7529342834,176923.5445909039,177691.97357239824,178460.43370594754,179228.89536219047,179997.35709286173,180765.81882717102,181534.28056165815,182302.74229615394,183071.20403065017,183839.66576514643,184608.1274996427,175294.31143237118,175675.1532710884,176149.7012783869,176671.88429631066,177224.09535723002,177797.46219436018,178386.7744622425,178988.6634228913,179600.80204068572,180221.5030514142,180849.4968404873,181483.7996159314,177017.19443619563,178171.93591071942,179234.2458664096,180248.98311558441,181233.6953671509,182197.25199136327,183144.86319209955,184079.897700425,185004.68255162216,185920.90500988613,186829.83468980558,187732.45538335398
