zip_code,model_order,train_rmse,test_rmse,train_pred_2016-01-31,train_pred_2016-02-29,train_pred_2016-03-31,train_pred_2016-04-30,train_pred_2016-05-31,train_pred_2016-06-30,train_pred_2016-07-31,train_pred_2016-08-31,train_pred_2016-09-30,train_pred_2016-10-31,train_pred_2016-11-30,train_pred_2016-12-31,train_pred_2017-01-31,train_pred_2017-02-28,train_pred_2017-03-31,train_pred_2017-04-30,train_pred_2017-05-31,train_pred_2017-06-30,train_pred_2017-07-31,train_pred_2017-08-31,train_pred_2017-09-30,train_pred_2017-10-31,train_pred_2017-11-30,train_pred_2017-12-31,train_pred_2018-01-31,train_pred_2018-02-28,train_pred_2018-03-31,train_pred_2018-04-30,train_pred_2018-05-31,train_pred_2018-06-30,train_pred_2018-07-31,train_pred_2018-08-31,train_pred_2018-09-30,train_pred_2018-10-31,train_pred_2018-11-30,train_pred_2018-12-31,train_lci_2016-01-31,train_lci_2016-02-29,train_lci_2016-03-31,train_lci_2016-04-30,train_lci_2016-05-31,train_lci_2016-06-30,train_lci_2016-07-31,train_lci_2016-08-31,train_lci_2016-09-30,train_lci_2016-10-31,train_lci_2016-11-30,train_lci_2016-12-31,train_lci_2017-01-31,train_lci_2017-02-28,train_lci_2017-03-31,train_lci_2017-04-30,train_lci_2017-05-31,train_lci_2017-06-30,train_lci_2017-07-31,train_lci_2017-08-31,train_lci_2017-09-30,train_lci_2017-10-31,train_lci_2017-11-30,train_lci_2017-12-31,train_lci_2018-01-31,train_lci_2018-02-28,train_lci_2018-03-31,train_lci_2018-04-30,train_lci_2018-05-31,train_lci_2018-06-30,train_lci_2018-07-31,train_lci_2018-08-31,train_lci_2018-09-30,train_lci_2018-10-31,train_lci_2018-11-30,train_lci_2018-12-31,train_uci_2016-01-31,train_uci_2016-02-29,train_uci_2016-03-31,train_uci_2016-04-30,train_uci_2016-05-31,train_uci_2016-06-30,train_uci_2016-07-31,train_uci_2016-08-31,train_uci_2016-09-30,train_uci_2016-10-31,train_uci_2016-11-30,train_uci_2016-12-31,train_uci_2017-01-31,train_uci_2017-02-28,train_uci_2017-03-31,train_uci_2017-04-30,train_uci_2017-05-31,train_uci_2017-06-30,train_uci_2017-07-31,train_uci_2017-08-31,train_uci_2017-09-30,train_uci_2017-10-31,train_uci_2017-11-30,train_uci_2017-12-31,train_uci_2018-01-31,train_uci_2018-02-28,train_uci_2018-03-31,train_uci_2018-04-30,train_uci_2018-05-31,train_uci_2018-06-30,train_uci_2018-07-31,train_uci_2018-08-31,train_uci_2018-09-30,train_uci_2018-10-31,train_uci_2018-11-30,train_uci_2018-12-31,test_pred_2019-01-31,test_pred_2019-02-28,test_pred_2019-03-31,test_pred_2019-04-30,test_pred_2019-05-31,test_pred_2019-06-30,test_pred_2019-07-31,test_pred_2019-08-31,test_pred_2019-09-30,test_pred_2019-10-31,test_pred_2019-11-30,test_pred_2019-12-31,test_lci_2019-01-31,test_lci_2019-02-28,test_lci_2019-03-31,test_lci_2019-04-30,test_lci_2019-05-31,test_lci_2019-06-30,test_lci_2019-07-31,test_lci_2019-08-31,test_lci_2019-09-30,test_lci_2019-10-31,test_lci_2019-11-30,test_lci_2019-12-31,test_uci_2019-01-31,test_uci_2019-02-28,test_uci_2019-03-31,test_uci_2019-04-30,test_uci_2019-05-31,test_uci_2019-06-30,test_uci_2019-07-31,test_uci_2019-08-31,test_uci_2019-09-30,test_uci_2019-10-31,test_uci_2019-11-30,test_uci_2019-12-31
66014," ARIMA(0,1,0)(0,0,0)[12]          ",28666.54730789105,2095.3650636583593,0.0,171804.0,172108.0,172416.0,172866.0,174216.0,173935.0,172830.0,171373.0,170288.0,169693.0,169961.0,170632.0,172423.0,174521.0,177094.0,177757.0,178040.0,178932.0,181550.0,185107.0,187413.0,188546.0,187226.0,187569.0,188124.0,189233.0,187949.0,187576.0,186737.0,185821.0,183359.0,181374.0,180816.0,180334.0,179821.0,-3347.4055845153084,169090.3925621877,169394.3925621877,169702.3925621877,170152.3925621877,171502.3925621877,171221.3925621877,170116.3925621877,168659.3925621877,167574.3925621877,166979.3925621877,167247.3925621877,167918.3925621877,169709.3925621877,171807.3925621877,174380.3925621877,175043.3925621877,175326.3925621877,176218.3925621877,178836.3925621877,182393.3925621877,184699.3925621877,185832.3925621877,184512.3925621877,184855.3925621877,185410.3925621877,186519.3925621877,185235.3925621877,184862.3925621877,184023.3925621877,183107.3925621877,180645.3925621877,178660.3925621877,178102.3925621877,177620.3925621877,177107.3925621877,3347.4055845153084,174517.6074378123,174821.6074378123,175129.6074378123,175579.6074378123,176929.6074378123,176648.6074378123,175543.6074378123,174086.6074378123,173001.6074378123,172406.6074378123,172674.6074378123,173345.6074378123,175136.6074378123,177234.6074378123,179807.6074378123,180470.6074378123,180753.6074378123,181645.6074378123,184263.6074378123,187820.6074378123,190126.6074378123,191259.6074378123,189939.6074378123,190282.6074378123,190837.6074378123,191946.6074378123,190662.6074378123,190289.6074378123,189450.6074378123,188534.6074378123,186072.6074378123,184087.6074378123,183529.6074378123,183047.6074378123,182534.6074378123,179310.0,179310.0,179310.0,179310.0,179310.0,179310.0,179310.0,179310.0,179310.0,179310.0,179310.0,179310.0,176596.3925621877,175472.37955848937,174609.8940459123,173882.78512437543,173242.1893048027,172663.04641513867,172130.46956369354,171634.75911697873,171169.17768656314,170728.81982093945,170309.98230045897,169909.78809182465,182023.6074378123,183147.62044151063,184010.1059540877,184737.21487562457,185377.8106951973,185956.95358486133,186489.53043630646,186985.24088302127,187450.82231343686,187891.18017906055,188310.01769954103,188710.21190817535
66010," ARIMA(0,1,0)(0,0,0)[12] intercept",17099.17672946994,1217.919334538306,243.74285714285713,103035.74285714285,102535.74285714286,102471.74285714286,102811.74285714286,103605.74285714286,103614.74285714286,102871.74285714286,102739.74285714286,102517.74285714286,102953.74285714286,102577.74285714286,102795.74285714286,103090.74285714286,103789.74285714286,104417.74285714286,104684.74285714286,104313.74285714286,103989.74285714286,104423.74285714286,105030.74285714286,105715.74285714286,105783.74285714286,105972.74285714286,106643.74285714286,107173.74285714286,107694.74285714286,107246.74285714286,107605.74285714286,108144.74285714286,109945.74285714286,111004.74285714286,112085.74285714286,112151.74285714286,111851.74285714286,111565.74285714286,-1968.782066595279,102009.19148606183,101509.19148606184,101445.19148606184,101785.19148606184,102579.19148606184,102588.19148606184,101845.19148606184,101713.19148606184,101491.19148606184,101927.19148606184,101551.19148606184,101769.19148606184,102064.19148606184,102763.19148606184,103391.19148606184,103658.19148606184,103287.19148606184,102963.19148606184,103397.19148606184,104004.19148606184,104689.19148606184,104757.19148606184,104946.19148606184,105617.19148606184,106147.19148606184,106668.19148606184,106220.19148606184,106579.19148606184,107118.19148606184,108919.19148606184,109978.19148606184,111059.19148606184,111125.19148606184,110825.19148606184,110539.19148606184,2456.2677808809935,104062.29422822387,103562.29422822388,103498.29422822388,103838.29422822388,104632.29422822388,104641.29422822388,103898.29422822388,103766.29422822388,103544.29422822388,103980.29422822388,103604.29422822388,103822.29422822388,104117.29422822388,104816.29422822388,105444.29422822388,105711.29422822388,105340.29422822388,105016.29422822388,105450.29422822388,106057.29422822388,106742.29422822388,106810.29422822388,106999.29422822388,107670.29422822388,108200.29422822388,108721.29422822388,108273.29422822388,108632.29422822388,109171.29422822388,110972.29422822388,112031.29422822388,113112.29422822388,113178.29422822388,112878.29422822388,112592.29422822388,111566.74285714286,111810.48571428572,112054.22857142858,112297.97142857144,112541.7142857143,112785.45714285717,113029.20000000003,113272.94285714289,113516.68571428575,113760.42857142861,114004.17142857147,114247.91428571433,110540.19148606184,110358.72284283025,110276.18944013676,110244.8686864094,110246.27563758154,110270.9300889542,110313.20036408727,110369.41711423194,110437.03160104269,110514.18810364389,110599.48570267083,110691.8360231307,112593.29422822388,113262.2485857412,113832.2677027204,114351.07417073348,114837.15293384707,115299.98419676012,115745.19963591278,116176.46860005383,116596.3398275288,117006.66903921333,117408.8571544721,117803.99254829796
66025," ARIMA(0,1,0)(0,0,0)[12] intercept",27026.522159891254,1211.335403537752,1005.1142857142856,164040.11428571428,165879.11428571428,168632.11428571428,171032.11428571428,174152.11428571428,175537.11428571428,177076.11428571428,177665.11428571428,179352.11428571428,180877.11428571428,182563.11428571428,183205.11428571428,184923.11428571428,186572.11428571428,187383.11428571428,186960.11428571428,185676.11428571428,185903.11428571428,186085.11428571428,186746.11428571428,186554.11428571428,187764.11428571428,189023.11428571428,191022.11428571428,190429.11428571428,190359.11428571428,190958.11428571428,193795.11428571428,196746.11428571428,198219.11428571428,198868.11428571428,198396.11428571428,199124.11428571428,199547.11428571428,200067.11428571428,-1900.1039173527809,161895.62507223288,163734.62507223288,166487.62507223288,168887.62507223288,172007.62507223288,173392.62507223288,174931.62507223288,175520.62507223288,177207.62507223288,178732.62507223288,180418.62507223288,181060.62507223288,182778.62507223288,184427.62507223288,185238.62507223288,184815.62507223288,183531.62507223288,183758.62507223288,183940.62507223288,184601.62507223288,184409.62507223288,185619.62507223288,186878.62507223288,188877.62507223288,188284.62507223288,188214.62507223288,188813.62507223288,191650.62507223288,194601.62507223288,196074.62507223288,196723.62507223288,196251.62507223288,196979.62507223288,197402.62507223288,197922.62507223288,3910.3324887813524,166184.60349919568,168023.60349919568,170776.60349919568,173176.60349919568,176296.60349919568,177681.60349919568,179220.60349919568,179809.60349919568,181496.60349919568,183021.60349919568,184707.60349919568,185349.60349919568,187067.60349919568,188716.60349919568,189527.60349919568,189104.60349919568,187820.60349919568,188047.60349919568,188229.60349919568,188890.60349919568,188698.60349919568,189908.60349919568,191167.60349919568,193166.60349919568,192573.60349919568,192503.60349919568,193102.60349919568,195939.60349919568,198890.60349919568,200363.60349919568,201012.60349919568,200540.60349919568,201268.60349919568,201691.60349919568,202211.60349919568,199219.11428571428,200224.22857142857,201229.34285714285,202234.45714285714,203239.57142857142,204244.6857142857,205249.8,206254.91428571427,207260.02857142856,208265.14285714284,209270.25714285712,210275.3714285714,197074.62507223288,197191.46284136034,197514.97858310962,197945.4787158943,198444.34777021193,198991.78138235383,199576.0148518677,200189.38282557784,200826.56093098433,201483.67252487852,202157.79105477492,202846.64288050498,201363.60349919568,203256.9943014968,204943.70713117608,206523.43556981997,208034.7950869309,209497.59004621758,210923.5851481323,212320.4457458507,213693.49621187279,215046.61318940716,216382.72323093933,217704.09997663784
66020," ARIMA(0,1,0)(0,0,0)[12] intercept",37710.882242533175,8427.415489136254,1029.2857142857142,228184.2857142857,229973.2857142857,233019.2857142857,234410.2857142857,235706.2857142857,235285.2857142857,237247.2857142857,239493.2857142857,240894.2857142857,241698.2857142857,243949.2857142857,246756.2857142857,248732.2857142857,248076.2857142857,246828.2857142857,246535.2857142857,246160.2857142857,247323.2857142857,246864.2857142857,246575.2857142857,246823.2857142857,247981.2857142857,248912.2857142857,249387.2857142857,248424.2857142857,249856.2857142857,250938.2857142857,254470.2857142857,257908.2857142857,261049.2857142857,263699.28571428574,265184.28571428574,265862.28571428574,265695.28571428574,265192.28571428574,-2252.7760149745395,225551.70705943403,227340.70705943403,230386.70705943403,231777.70705943403,233073.70705943403,232652.70705943403,234614.70705943403,236860.70705943403,238261.70705943403,239065.70705943403,241316.70705943403,244123.70705943403,246099.70705943403,245443.70705943403,244195.70705943403,243902.70705943403,243527.70705943403,244690.70705943403,244231.70705943403,243942.70705943403,244190.70705943403,245348.70705943403,246279.70705943403,246754.70705943403,245791.70705943403,247223.70705943403,248305.70705943403,251837.70705943403,255275.70705943403,258416.70705943403,261066.70705943406,262551.70705943403,263229.70705943403,263062.70705943403,262559.70705943403,4311.347443545968,230816.8643691374,232605.8643691374,235651.8643691374,237042.8643691374,238338.8643691374,237917.8643691374,239879.8643691374,242125.8643691374,243526.8643691374,244330.8643691374,246581.8643691374,249388.8643691374,251364.8643691374,250708.8643691374,249460.8643691374,249167.8643691374,248792.8643691374,249955.8643691374,249496.8643691374,249207.8643691374,249455.8643691374,250613.8643691374,251544.8643691374,252019.8643691374,251056.8643691374,252488.8643691374,253570.8643691374,257102.8643691374,260540.8643691374,263681.8643691374,266331.86436913745,267816.86436913745,268494.86436913745,268327.86436913745,267824.86436913745,264209.28571428574,265238.5714285715,266267.8571428572,267297.14285714296,268326.4285714287,269355.71428571444,270385.0000000002,271414.2857142859,272443.57142857165,273472.8571428574,274502.14285714313,275531.42857142887,261576.70705943406,261515.54299086632,261708.0971577328,262031.9855474396,262439.8037430654,262907.2398735853,263419.8515724457,263968.2288388756,264545.8354640166,265147.91247398383,265770.8672279016,266411.90860118,266841.86436913745,268961.59986627667,270827.6171279817,272562.3001668463,274213.053399792,275804.1886978436,277350.14842755464,278860.3425896962,280341.3073931267,281797.80181173095,283233.4184863847,284650.94854167773
66016," ARIMA(0,1,0)(0,0,0)[12] intercept",17697.056184316054,2656.1223903881064,582.1142857142856,107294.11428571427,108362.11428571428,109538.11428571428,110347.11428571428,110730.11428571428,111214.11428571428,111671.11428571428,112928.11428571428,114362.11428571428,115746.11428571428,116193.11428571428,116543.11428571428,116779.11428571428,116777.11428571428,117032.11428571428,117340.11428571428,117896.11428571428,117556.11428571428,117448.11428571428,117773.11428571428,118476.11428571428,118717.11428571428,118928.11428571428,118765.11428571428,118771.11428571428,118816.11428571428,119086.11428571428,119641.11428571428,120431.11428571428,122131.11428571428,124509.11428571428,125433.11428571428,125858.11428571428,126021.11428571428,126801.11428571428,-1668.1543901837965,106188.55999349973,107256.55999349974,108432.55999349974,109241.55999349974,109624.55999349974,110108.55999349974,110565.55999349974,111822.55999349974,113256.55999349974,114640.55999349974,115087.55999349974,115437.55999349974,115673.55999349974,115671.55999349974,115926.55999349974,116234.55999349974,116790.55999349974,116450.55999349974,116342.55999349974,116667.55999349974,117370.55999349974,117611.55999349974,117822.55999349974,117659.55999349974,117665.55999349974,117710.55999349974,117980.55999349974,118535.55999349974,119325.55999349974,121025.55999349974,123403.55999349974,124327.55999349974,124752.55999349974,124915.55999349974,125695.55999349974,2832.3829616123676,108399.66857792881,109467.66857792882,110643.66857792882,111452.66857792882,111835.66857792882,112319.66857792882,112776.66857792882,114033.66857792882,115467.66857792882,116851.66857792882,117298.66857792882,117648.66857792882,117884.66857792882,117882.66857792882,118137.66857792882,118445.66857792882,119001.66857792882,118661.66857792882,118553.66857792882,118878.66857792882,119581.66857792882,119822.66857792882,120033.66857792882,119870.66857792882,119876.66857792882,119921.66857792882,120191.66857792882,120746.66857792882,121536.66857792882,123236.66857792882,125614.66857792882,126538.66857792882,126963.66857792882,127126.66857792882,127906.66857792882,127668.11428571428,128250.22857142857,128832.34285714285,129414.45714285714,129996.57142857142,130578.6857142857,131160.8,131742.91428571427,132325.02857142856,132907.14285714284,133489.25714285712,134071.3714285714,126562.55999349974,126686.73869743898,126917.46665250143,127203.34855842807,127524.47687836306,127870.64181541628,128235.7782819203,128615.9345377351,129008.36569478495,129411.07321676955,129822.54837021457,130241.61901928856,128773.66857792882,129813.71844541816,130747.21906178427,131625.56572728622,132468.66597877978,133286.72961315513,134085.82171807968,134869.89403369345,135641.69144807218,136403.21249751613,137155.96591549966,137901.12383785425
66006," ARIMA(0,1,0)(0,0,0)[12] intercept",29601.001825191084,2159.765980016286,1117.0857142857142,179671.0857142857,181007.08571428573,183766.08571428573,186261.08571428573,189576.08571428573,190890.08571428573,192486.08571428573,193247.08571428573,195215.08571428573,197027.08571428573,199168.08571428573,200490.08571428573,203049.08571428573,205562.08571428573,206630.08571428573,206532.08571428573,205722.08571428573,206836.08571428573,207996.08571428573,208339.08571428573,207709.08571428573,207910.08571428573,209145.08571428573,211253.08571428573,209885.08571428573,209048.08571428573,209581.08571428573,213443.08571428573,216806.08571428573,217994.08571428573,218134.08571428573,217993.08571428573,219096.08571428573,219850.08571428573,220329.08571428573,-2112.594005945314,177104.10845015236,178440.1084501524,181199.1084501524,183694.1084501524,187009.1084501524,188323.1084501524,189919.1084501524,190680.1084501524,192648.1084501524,194460.1084501524,196601.1084501524,197923.1084501524,200482.1084501524,202995.1084501524,204063.1084501524,203965.1084501524,203155.1084501524,204269.1084501524,205429.1084501524,205772.1084501524,205142.1084501524,205343.1084501524,206578.1084501524,208686.1084501524,207318.1084501524,206481.1084501524,207014.1084501524,210876.1084501524,214239.1084501524,215427.1084501524,215567.1084501524,215426.1084501524,216529.1084501524,217283.1084501524,217762.1084501524,4346.765434516743,182238.06297841904,183574.06297841907,186333.06297841907,188828.06297841907,192143.06297841907,193457.06297841907,195053.06297841907,195814.06297841907,197782.06297841907,199594.06297841907,201735.06297841907,203057.06297841907,205616.06297841907,208129.06297841907,209197.06297841907,209099.06297841907,208289.06297841907,209403.06297841907,210563.06297841907,210906.06297841907,210276.06297841907,210477.06297841907,211712.06297841907,213820.06297841907,212452.06297841907,211615.06297841907,212148.06297841907,216010.06297841907,219373.06297841907,220561.06297841907,220701.06297841907,220560.06297841907,221663.06297841907,222417.06297841907,222896.06297841907,218769.08571428573,219886.17142857146,221003.25714285718,222120.3428571429,223237.42857142864,224354.51428571437,225471.6000000001,226588.68571428582,227705.77142857155,228822.85714285728,229939.942857143,231057.02857142873,216202.1084501524,216255.91736733072,216557.1220995041,216986.38832887626,217497.49291213008,218066.72980726213,218680.01653794633,219328.17759180433,220004.83963617156,220705.36228632828,221426.2424266397,222164.75848472255,221336.06297841907,223516.4254898122,225449.39218621026,227254.29738540956,228977.3642307272,230642.2987641666,232263.18346205386,233849.1938367673,235406.70322097154,236940.35199938627,238453.6432876463,239949.2986581349
66018," ARIMA(0,1,0)(0,0,0)[12] intercept",34727.85848140723,7175.08773501069,1378.7142857142858,211086.7142857143,212273.7142857143,213328.7142857143,214746.7142857143,215982.7142857143,217962.7142857143,219958.7142857143,221448.7142857143,222642.7142857143,223291.7142857143,224806.7142857143,225562.7142857143,227347.7142857143,228103.7142857143,229943.7142857143,231494.7142857143,233626.7142857143,234687.7142857143,235666.7142857143,236561.7142857143,238070.7142857143,239835.7142857143,242392.7142857143,245541.7142857143,248567.7142857143,250721.7142857143,251948.7142857143,252165.7142857143,252464.7142857143,253105.7142857143,254176.7142857143,255429.7142857143,256737.7142857143,257651.7142857143,258642.7142857143,-982.0524400934387,209770.75048948478,210957.75048948478,212012.75048948478,213430.75048948478,214666.75048948478,216646.75048948478,218642.75048948478,220132.75048948478,221326.75048948478,221975.75048948478,223490.75048948478,224246.75048948478,226031.75048948478,226787.75048948478,228627.75048948478,230178.75048948478,232310.75048948478,233371.75048948478,234350.75048948478,235245.75048948478,236754.75048948478,238519.75048948478,241076.75048948478,244225.75048948478,247251.75048948478,249405.75048948478,250632.75048948478,250849.75048948478,251148.75048948478,251789.75048948478,252860.75048948478,254113.75048948478,255421.75048948478,256335.75048948478,257326.75048948478,3739.4810115220102,212402.6780819438,213589.6780819438,214644.6780819438,216062.6780819438,217298.6780819438,219278.6780819438,221274.6780819438,222764.6780819438,223958.6780819438,224607.6780819438,226122.6780819438,226878.6780819438,228663.6780819438,229419.6780819438,231259.6780819438,232810.6780819438,234942.6780819438,236003.6780819438,236982.6780819438,237877.6780819438,239386.6780819438,241151.6780819438,243708.6780819438,246857.6780819438,249883.6780819438,252037.6780819438,253264.6780819438,253481.6780819438,253780.6780819438,254421.6780819438,255492.6780819438,256745.6780819438,258053.6780819438,258967.6780819438,259958.6780819438,259341.7142857143,260720.42857142858,262099.14285714287,263477.85714285716,264856.5714285714,266235.2857142857,267613.99999999994,268992.7142857142,270371.42857142846,271750.1428571427,273128.857142857,274507.57142857125,258025.75048948478,258859.3747232088,259819.82670115214,260845.92955039814,261913.98692427354,263011.84589354746,264132.2870608122,265270.60658927466,266423.53718273994,267588.6999427357,268764.29899307195,269948.9391165898,260657.6780819438,262581.4824196483,264378.4590131336,266109.7847353162,267799.1559328693,269458.7255350239,271095.7129391877,272714.82198215375,274319.319960117,275911.5857715497,277493.415292642,279066.2037405527
66021," ARIMA(0,1,0)(0,0,1)[12] intercept",24126.93839430445,798.7627798449241,858.6285654769604,146467.62856547695,147210.62856547697,148003.62856547697,148960.62856547697,149601.62856547697,150410.62856547697,151711.62856547697,153192.62856547697,154221.62856547697,154839.62856547697,155556.62856547697,156750.27947377547,157632.30504055246,158444.174615301,159509.3068204762,160018.4911080654,160828.77287922052,161496.16949474617,162404.89996384093,163132.9990081141,164144.63110368108,165584.33286168322,167062.6972062687,168342.66520958513,169250.96961435676,170498.2231279682,171081.84872541582,171591.8877595812,171934.84874976226,172699.63320278664,172933.50250429887,173361.6945056863,174008.58447219257,174650.0559495182,175549.36631860372,-1197.3357235983103,145846.71767230573,146589.71767230576,147382.71767230576,148339.71767230576,148980.71767230576,149789.71767230576,151090.71767230576,152571.71767230576,153600.71767230576,154218.71767230576,154935.71767230576,156129.40817066902,157011.8283543817,157823.69792913023,158888.83013430543,159398.01442189465,160208.29619304975,160875.6928085754,161784.42327767017,162512.52232194334,163524.15441751032,164963.85617551245,166442.22052009794,167722.18857881022,168630.49353632415,169877.7470499356,170461.37264738322,170971.4116815486,171314.37267172965,172079.15712475404,172313.02642626627,172741.2184276537,173388.10839415996,174029.5798714856,174928.8902405711,2914.592854552231,147088.53945864816,147831.53945864819,148624.53945864819,149581.53945864819,150222.53945864819,151031.53945864819,152332.53945864819,153813.53945864819,154842.53945864819,155460.53945864819,156177.53945864819,157371.15077688193,158252.78172672322,159064.65130147175,160129.78350664696,160638.96779423617,161449.24956539128,162116.64618091693,163025.3766500117,163753.47569428486,164765.10778985184,166204.80954785398,167683.17389243946,168963.14184036004,169871.44569238936,171118.6992060008,171702.32480344843,172212.3638376138,172555.32482779486,173320.10928081925,173553.97858233147,173982.1705837189,174629.06055022517,175270.5320275508,176169.84239663632,176521.55073781242,177394.44657437853,178243.25647815937,179088.89766788128,179928.50892497067,180783.58598149635,181619.01305120526,182461.2972520473,183311.1753792645,184160.79551913042,185020.35808762576,185883.16665568302,175901.07465985746,176516.96089035456,177168.5603871552,177847.94551313383,178541.08223763725,179263.73619448527,179977.38765622923,180706.32588482136,181449.74714746626,182198.67788135022,182962.47174799454,183733.77447434582,177142.02681576737,178271.9322584025,179317.95256916355,180329.84982262872,181315.93561230408,182303.43576850742,183260.63844618128,184216.26861927327,185172.60361106272,186122.91315691062,187078.24442725698,188032.55883702022
66007," ARIMA(0,1,1)(0,0,0)[12] intercept",35781.62763180391,1238.8790515214605,1250.031632137773,218698.09454893525,219824.17754762265,222617.11385581005,223532.01804515347,224762.74279656794,225583.61124794217,226362.9905604664,227444.51065914973,228479.81932502284,230029.5146732584,231597.79267420332,233391.160065511,234709.0467601601,235963.09167176185,237595.75590773384,239468.3452448356,240542.3989602641,241560.56283482964,242798.8560221863,243705.90046140502,244767.20827856666,245149.0432009682,246948.24738533617,248927.94765002193,248641.03863108825,248205.81988192548,246532.29451773586,247898.77371567287,251097.1797813285,254776.37246452944,257525.45783589213,258923.2420461716,260410.58181888144,262622.4204963977,264091.30573461583,-1482.402281779209,216794.32708502712,217920.52303885669,220713.45937309583,221628.36356244527,222859.08831385974,223679.95676523398,224459.3360777582,225540.85617644154,226576.16484231464,228125.86019055021,229694.13819149512,231487.5055828028,232805.3922774519,234059.43718905366,235692.10142502564,237564.6907621274,238638.7444775559,239656.90835212145,240895.2015394781,241802.24597869682,242863.55379585846,243245.38871826002,245044.59290262798,247024.29316731374,246737.38414838005,246302.16539921728,244628.64003502767,245995.11923296467,249193.5252986203,252872.71798182125,255621.80335318393,257019.5875634634,258506.92733617325,260718.7660136895,262187.65125190764,3982.4655460547547,220601.86201284337,221727.8320563886,224520.76833852427,225435.67252786167,226666.39727927613,227487.26573065037,228266.6450431746,229348.16514185793,230383.47380773103,231933.1691559666,233501.4471569115,235294.8145482192,236612.7012428683,237866.74615447005,239499.41039044203,241371.9997275438,242446.0534429723,243464.21731753784,244702.51050489448,245609.55494411322,246670.86276127485,247052.6976836764,248851.90186804437,250831.60213273013,250544.69311379644,250109.47436463367,248435.94900044406,249802.42819838107,253000.8342640367,256680.02694723764,259429.11231860032,260826.8965288798,262314.23630158964,264526.0749791059,265994.960217324,265572.48972692917,266822.52135906694,268072.5529912047,269322.5846233425,270572.6162554803,271822.64788761805,273072.6795197558,274322.7111518936,275572.7427840314,276822.77441616915,278072.8060483069,279322.8376804447,263668.835244221,264109.82670993195,264741.85874985566,265471.8267759485,266264.11908486765,267100.5763359484,267970.44749749365,268866.74345780775,269784.6174097138,270720.54472377565,271671.86712588003,272636.52098449395,267476.14420963736,269535.21600820194,271403.2472325538,273173.3424707365,274881.1134260929,276544.71943928767,278174.911542018,279778.67884597945,281360.86815834895,282925.00410856266,284473.7449707338,286009.15437639545
66013," ARIMA(0,1,0)(0,0,0)[12] intercept",61432.40785631494,6395.506748523581,1982.1714285714284,372526.1714285714,374490.17142857146,376271.17142857146,378232.17142857146,380385.17142857146,382742.17142857146,384918.17142857146,386217.17142857146,387702.17142857146,389748.17142857146,392442.17142857146,394166.17142857146,395441.17142857146,395835.17142857146,396858.17142857146,397869.17142857146,399094.17142857146,399352.17142857146,400371.17142857146,401599.17142857146,403887.17142857146,405832.17142857146,408439.17142857146,411357.17142857146,415060.17142857146,418670.17142857146,421953.17142857146,424059.17142857146,426392.17142857146,429382.17142857146,432294.17142857146,435402.17142857146,437225.17142857146,438949.17142857146,440318.17142857146,-563.5188397078346,370901.64684540324,372865.6468454033,374646.6468454033,376607.6468454033,378760.6468454033,381117.6468454033,383293.6468454033,384592.6468454033,386077.6468454033,388123.6468454033,390817.6468454033,392541.6468454033,393816.6468454033,394210.6468454033,395233.6468454033,396244.6468454033,397469.6468454033,397727.6468454033,398746.6468454033,399974.6468454033,402262.6468454033,404207.6468454033,406814.6468454033,409732.6468454033,413435.6468454033,417045.6468454033,420328.6468454033,422434.6468454033,424767.6468454033,427757.6468454033,430669.6468454033,433777.6468454033,435600.6468454033,437324.6468454033,438693.6468454033,4527.861696850691,374150.69601173955,376114.6960117396,377895.6960117396,379856.6960117396,382009.6960117396,384366.6960117396,386542.6960117396,387841.6960117396,389326.6960117396,391372.6960117396,394066.6960117396,395790.6960117396,397065.6960117396,397459.6960117396,398482.6960117396,399493.6960117396,400718.6960117396,400976.6960117396,401995.6960117396,403223.6960117396,405511.6960117396,407456.6960117396,410063.6960117396,412981.6960117396,416684.6960117396,420294.6960117396,423577.6960117396,425683.6960117396,428016.6960117396,431006.6960117396,433918.6960117396,437026.6960117396,438849.6960117396,440573.6960117396,441942.6960117396,441902.17142857146,443884.3428571429,445866.51428571437,447848.6857142858,449830.8571428573,451813.02857142873,453795.2000000002,455777.37142857164,457759.5428571431,459741.71428571455,461723.885714286,463706.05714285746,440277.6468454033,441586.91815921804,443052.7551695225,444599.6365479495,446198.30974377383,447833.77226805926,449497.11195422645,451182.5220327219,452885.9691076387,454604.5164879676,456335.9472092088,458078.5389104737,443526.6960117396,446181.7675550678,448680.27340190625,451097.7348806221,453463.4045419407,455792.2848747982,458093.2880457739,460372.2208244214,462633.1166066475,464878.91208346153,467111.8242193632,469333.5753752412
