zip_code,model_order,train_rmse,test_rmse,train_pred_2016-01-31,train_pred_2016-02-29,train_pred_2016-03-31,train_pred_2016-04-30,train_pred_2016-05-31,train_pred_2016-06-30,train_pred_2016-07-31,train_pred_2016-08-31,train_pred_2016-09-30,train_pred_2016-10-31,train_pred_2016-11-30,train_pred_2016-12-31,train_pred_2017-01-31,train_pred_2017-02-28,train_pred_2017-03-31,train_pred_2017-04-30,train_pred_2017-05-31,train_pred_2017-06-30,train_pred_2017-07-31,train_pred_2017-08-31,train_pred_2017-09-30,train_pred_2017-10-31,train_pred_2017-11-30,train_pred_2017-12-31,train_pred_2018-01-31,train_pred_2018-02-28,train_pred_2018-03-31,train_pred_2018-04-30,train_pred_2018-05-31,train_pred_2018-06-30,train_pred_2018-07-31,train_pred_2018-08-31,train_pred_2018-09-30,train_pred_2018-10-31,train_pred_2018-11-30,train_pred_2018-12-31,train_lci_2016-01-31,train_lci_2016-02-29,train_lci_2016-03-31,train_lci_2016-04-30,train_lci_2016-05-31,train_lci_2016-06-30,train_lci_2016-07-31,train_lci_2016-08-31,train_lci_2016-09-30,train_lci_2016-10-31,train_lci_2016-11-30,train_lci_2016-12-31,train_lci_2017-01-31,train_lci_2017-02-28,train_lci_2017-03-31,train_lci_2017-04-30,train_lci_2017-05-31,train_lci_2017-06-30,train_lci_2017-07-31,train_lci_2017-08-31,train_lci_2017-09-30,train_lci_2017-10-31,train_lci_2017-11-30,train_lci_2017-12-31,train_lci_2018-01-31,train_lci_2018-02-28,train_lci_2018-03-31,train_lci_2018-04-30,train_lci_2018-05-31,train_lci_2018-06-30,train_lci_2018-07-31,train_lci_2018-08-31,train_lci_2018-09-30,train_lci_2018-10-31,train_lci_2018-11-30,train_lci_2018-12-31,train_uci_2016-01-31,train_uci_2016-02-29,train_uci_2016-03-31,train_uci_2016-04-30,train_uci_2016-05-31,train_uci_2016-06-30,train_uci_2016-07-31,train_uci_2016-08-31,train_uci_2016-09-30,train_uci_2016-10-31,train_uci_2016-11-30,train_uci_2016-12-31,train_uci_2017-01-31,train_uci_2017-02-28,train_uci_2017-03-31,train_uci_2017-04-30,train_uci_2017-05-31,train_uci_2017-06-30,train_uci_2017-07-31,train_uci_2017-08-31,train_uci_2017-09-30,train_uci_2017-10-31,train_uci_2017-11-30,train_uci_2017-12-31,train_uci_2018-01-31,train_uci_2018-02-28,train_uci_2018-03-31,train_uci_2018-04-30,train_uci_2018-05-31,train_uci_2018-06-30,train_uci_2018-07-31,train_uci_2018-08-31,train_uci_2018-09-30,train_uci_2018-10-31,train_uci_2018-11-30,train_uci_2018-12-31,test_pred_2019-01-31,test_pred_2019-02-28,test_pred_2019-03-31,test_pred_2019-04-30,test_pred_2019-05-31,test_pred_2019-06-30,test_pred_2019-07-31,test_pred_2019-08-31,test_pred_2019-09-30,test_pred_2019-10-31,test_pred_2019-11-30,test_pred_2019-12-31,test_lci_2019-01-31,test_lci_2019-02-28,test_lci_2019-03-31,test_lci_2019-04-30,test_lci_2019-05-31,test_lci_2019-06-30,test_lci_2019-07-31,test_lci_2019-08-31,test_lci_2019-09-30,test_lci_2019-10-31,test_lci_2019-11-30,test_lci_2019-12-31,test_uci_2019-01-31,test_uci_2019-02-28,test_uci_2019-03-31,test_uci_2019-04-30,test_uci_2019-05-31,test_uci_2019-06-30,test_uci_2019-07-31,test_uci_2019-08-31,test_uci_2019-09-30,test_uci_2019-10-31,test_uci_2019-11-30,test_uci_2019-12-31
40025," ARIMA(0,1,0)(0,0,0)[12] intercept",166770.0559902267,34161.0072029213,4013.171428571428,1008354.1714285715,1014699.1714285715,1022721.1714285715,1027352.1714285715,1026780.1714285715,1025014.1714285715,1024813.1714285715,1028057.1714285715,1029654.1714285715,1030748.1714285715,1031602.1714285715,1032200.1714285715,1031337.1714285715,1029376.1714285715,1027146.1714285715,1034185.1714285715,1043361.1714285715,1054043.1714285715,1061075.1714285715,1064043.1714285715,1067773.1714285715,1077722.1714285715,1090163.1714285715,1100681.1714285715,1105629.1714285715,1114287.1714285715,1123078.1714285715,1127423.1714285715,1128581.1714285715,1130549.1714285715,1134557.1714285715,1140574.1714285715,1146316.1714285715,1150962.1714285715,1150173.1714285715,-4237.934992856019,1000339.229235578,1006684.229235578,1014706.229235578,1019337.229235578,1018765.229235578,1016999.229235578,1016798.229235578,1020042.229235578,1021639.229235578,1022733.229235578,1023587.229235578,1024185.229235578,1023322.229235578,1021361.229235578,1019131.229235578,1026170.229235578,1035346.229235578,1046028.229235578,1053060.2292355779,1056028.2292355779,1059758.2292355779,1069707.2292355779,1082148.2292355779,1092666.2292355779,1097614.2292355779,1106272.2292355779,1115063.2292355779,1119408.2292355779,1120566.2292355779,1122534.2292355779,1126542.2292355779,1132559.2292355779,1138301.2292355779,1142947.2292355779,1142158.2292355779,12264.277849998874,1016369.1136215649,1022714.1136215649,1030736.1136215649,1035367.1136215649,1034795.1136215649,1033029.1136215649,1032828.1136215649,1036072.1136215649,1037669.1136215649,1038763.1136215649,1039617.1136215649,1040215.1136215649,1039352.1136215649,1037391.1136215649,1035161.1136215649,1042200.1136215649,1051376.113621565,1062058.113621565,1069090.113621565,1072058.113621565,1075788.113621565,1085737.113621565,1098178.113621565,1108696.113621565,1113644.113621565,1122302.113621565,1131093.113621565,1135438.113621565,1136596.113621565,1138564.113621565,1142572.113621565,1148589.113621565,1154331.113621565,1158977.113621565,1158188.113621565,1148815.1714285715,1152828.342857143,1156841.5142857144,1160854.6857142858,1164867.8571428573,1168881.0285714287,1172894.2000000002,1176907.3714285716,1180920.542857143,1184933.7142857146,1188946.885714286,1192960.0571428575,1140800.2292355779,1141493.502906175,1142959.2271877222,1144824.8013282989,1146945.9015635927,1149248.509880691,1151688.6561847809,1154237.6915266362,1156875.7162781626,1159588.2416412702,1162364.3297437383,1165195.482946873,1156830.113621565,1164163.1828081107,1170723.8013837065,1176884.5701002728,1182789.8127221218,1188513.5472621664,1194099.7438152195,1199577.051330507,1204965.3694361236,1210279.1869301589,1215529.4416848337,1220724.631338842
40022," ARIMA(0,1,0)(0,0,0)[12] intercept",39757.75728873007,12564.137170377315,811.9142857142856,239920.91428571424,238999.91428571427,238243.91428571427,237633.91428571427,238458.91428571427,239677.91428571427,241212.91428571427,242973.91428571427,244445.91428571427,246081.91428571427,247927.91428571427,249704.91428571427,250065.91428571427,250448.91428571427,251031.91428571427,252940.91428571427,254634.91428571427,256643.91428571427,259068.91428571427,261500.91428571427,263832.9142857143,265664.9142857143,267453.9142857143,267817.9142857143,270693.9142857143,274608.9142857143,278508.9142857143,279692.9142857143,279699.9142857143,278772.9142857143,278937.9142857143,277720.9142857143,274370.9142857143,269896.9142857143,266763.9142857143,-3298.7063185843876,236307.64112529714,235386.64112529717,234630.64112529717,234020.64112529717,234845.64112529717,236064.64112529717,237599.64112529717,239360.64112529717,240832.64112529717,242468.64112529717,244314.64112529717,246091.64112529717,246452.64112529717,246835.64112529717,247418.64112529717,249327.64112529717,251021.64112529717,253030.64112529717,255455.64112529717,257887.64112529717,260219.64112529717,262051.64112529717,263840.6411252972,264204.6411252972,267080.6411252972,270995.6411252972,274895.6411252972,276079.6411252972,276086.6411252972,275159.6411252972,275324.6411252972,274107.6411252972,270757.6411252972,266283.6411252972,263150.6411252972,4922.534890012959,243534.18744613134,242613.18744613137,241857.18744613137,241247.18744613137,242072.18744613137,243291.18744613137,244826.18744613137,246587.18744613137,248059.18744613137,249695.18744613137,251541.18744613137,253318.18744613137,253679.18744613137,254062.18744613137,254645.18744613137,256554.18744613137,258248.18744613137,260257.18744613137,262682.1874461314,265114.1874461314,267446.1874461314,269278.1874461314,271067.1874461314,271431.1874461314,274307.1874461314,278222.1874461314,282122.1874461314,283306.1874461314,283313.1874461314,282386.1874461314,282551.1874461314,281334.1874461314,277984.1874461314,273510.1874461314,270377.1874461314,268337.9142857143,269149.82857142854,269961.7428571428,270773.6571428571,271585.57142857136,272397.48571428563,273209.3999999999,274021.3142857142,274833.22857142845,275645.1428571427,276457.057142857,277268.97142857127,264724.6411252972,264039.888663408,263703.3701616754,263547.1108220229,263506.0470206032,263546.81016997015,263649.5777985918,263801.434469673,263993.4090901771,264218.9698618697,264473.1858046918,264752.22603763646,271951.1874461314,274259.7684794491,276220.11555261025,278000.2034636913,279665.0958365395,281248.1612586011,282769.222201408,284241.19410175533,285673.0480526798,287071.31585241575,288440.9284810222,289785.7168195061
40019," ARIMA(0,2,0)(0,0,0)[12]          ",18737.49008122638,6717.125935497513,0.0,151395.9655437947,101171.99999999999,101493.0,102014.0,102378.0,102848.0,103194.0,103565.0,103764.0,103992.0,104475.0,104822.0,105569.0,105862.0,106561.0,106690.0,107325.0,107743.0,108267.0,108572.0,108961.0,109874.0,110973.0,111745.0,111469.0,111387.0,111467.0,112069.0,112250.0,112239.0,112369.0,112377.0,112665.0,111597.0,111156.0,-2794.9859754912636,149953.23104856446,100812.79398417537,101133.79398417538,101654.79398417538,102018.79398417538,102488.79398417538,102834.79398417538,103205.79398417538,103404.79398417538,103632.79398417538,104115.79398417538,104462.79398417538,105209.79398417538,105502.79398417538,106201.79398417538,106330.79398417538,106965.79398417538,107383.79398417538,107907.79398417538,108212.79398417538,108601.79398417538,109514.79398417538,110613.79398417538,111385.79398417538,111109.79398417538,111027.79398417538,111107.79398417538,111709.79398417538,111890.79398417538,111879.79398417538,112009.79398417538,112017.79398417538,112305.79398417538,111237.79398417538,110796.79398417538,2794.9859754912636,152838.70003902496,101531.2060158246,101852.20601582462,102373.20601582462,102737.20601582462,103207.20601582462,103553.20601582462,103924.20601582462,104123.20601582462,104351.20601582462,104834.20601582462,105181.20601582462,105928.20601582462,106221.20601582462,106920.20601582462,107049.20601582462,107684.20601582462,108102.20601582462,108626.20601582462,108931.20601582462,109320.20601582462,110233.20601582462,111332.20601582462,112104.20601582462,111828.20601582462,111746.20601582462,111826.20601582462,112428.20601582462,112609.20601582462,112598.20601582462,112728.20601582462,112736.20601582462,113024.20601582462,111956.20601582462,111515.20601582462,110863.0,110495.0,110127.0,109759.0,109391.0,109023.0,108655.0,108287.0,107919.0,107551.0,107183.0,106815.0,110503.79398417538,109691.79093068928,108782.97415751618,107791.54762341297,106727.05688888578,105596.39300120098,104404.81710362439,103156.51189377287,101854.90450979616,100502.86902116807,99102.86047935268,97657.00757955169,111222.20601582462,111298.20906931072,111471.02584248382,111726.45237658703,112054.94311111422,112449.60699879902,112905.18289637561,113417.48810622713,113983.09549020384,114599.13097883193,115263.13952064732,115972.99242044831
40010," ARIMA(0,1,0)(0,0,0)[12] intercept",49381.65424778425,2225.070382132448,999.0571428571427,298054.0571428571,301547.0571428572,304895.0571428572,308312.0571428572,310722.0571428572,311981.0571428572,311364.0571428572,310207.0571428572,308648.0571428572,308763.0571428572,307952.0571428572,308068.0571428572,307556.0571428572,308111.0571428572,309342.0571428572,309869.0571428572,310316.0571428572,313627.0571428572,316628.0571428572,320329.0571428572,322068.0571428572,325270.0571428572,330317.0571428572,334398.0571428572,338068.0571428572,339009.0571428572,339101.0571428572,338398.0571428572,336000.0571428572,333849.0571428572,332613.0571428572,333900.0571428572,335786.0571428572,335006.0571428572,334141.0571428572,-3365.972858071719,294153.79714020155,297646.7971402016,300994.7971402016,304411.7971402016,306821.7971402016,308080.7971402016,307463.7971402016,306306.7971402016,304747.7971402016,304862.7971402016,304051.7971402016,304167.7971402016,303655.7971402016,304210.7971402016,305441.7971402016,305968.7971402016,306415.7971402016,309726.7971402016,312727.7971402016,316428.7971402016,318167.7971402016,321369.7971402016,326416.7971402016,330497.7971402016,334167.7971402016,335108.7971402016,335200.7971402016,334497.7971402016,332099.7971402016,329948.7971402016,328712.7971402016,329999.7971402016,331885.7971402016,331105.7971402016,330240.7971402016,5364.087143786005,301954.3171455127,305447.31714551273,308795.31714551273,312212.31714551273,314622.31714551273,315881.31714551273,315264.31714551273,314107.31714551273,312548.31714551273,312663.31714551273,311852.31714551273,311968.31714551273,311456.31714551273,312011.31714551273,313242.31714551273,313769.31714551273,314216.31714551273,317527.31714551273,320528.31714551273,324229.31714551273,325968.31714551273,329170.31714551273,334217.31714551273,338298.31714551273,341968.31714551273,342909.31714551273,343001.31714551273,342298.31714551273,339900.31714551273,337749.31714551273,336513.31714551273,337800.31714551273,339686.31714551273,338906.31714551273,338041.31714551273,333021.0571428572,334020.11428571434,335019.1714285715,336018.2285714287,337017.28571428586,338016.342857143,339015.4000000002,340014.45714285737,341013.51428571454,342012.5714285717,343011.6285714289,344010.68571428605,329120.7971402016,328504.3136931775,328263.7229412433,328217.7085661175,328296.03921842447,328462.6959864507,328696.28198448144,328982.8559577837,329312.7342777478,329678.8663533257,330075.92955778976,330499.7887396297,336921.31714551273,339535.9148782512,341774.6199158997,343818.74857673986,345738.53221014724,347569.98972783535,349334.51801551896,351046.05832793104,352714.2942936813,354346.2765038177,355947.327585068,357521.58268894244
40007," ARIMA(0,1,0)(0,0,0)[12] intercept",20757.463628888425,1099.2459867817724,709.2285714285713,125942.22857142857,126612.22857142857,127494.22857142857,128510.22857142857,129141.22857142857,130187.22857142857,131144.22857142857,132312.22857142857,133010.22857142857,133428.22857142857,134102.22857142857,134639.22857142857,135860.22857142857,136592.22857142857,137759.22857142857,138813.22857142857,139951.22857142857,140830.22857142857,141569.22857142857,141754.22857142857,142148.22857142857,142971.22857142857,144279.22857142857,145657.22857142857,146421.22857142857,147236.22857142857,147958.22857142857,148386.22857142857,148933.22857142857,149194.22857142857,149908.22857142857,150620.22857142857,151102.22857142857,150620.22857142857,150673.22857142857,-1392.1551553766544,125184.36661395367,125854.36661395367,126736.36661395367,127752.36661395367,128383.36661395367,129429.36661395367,130386.36661395367,131554.36661395367,132252.36661395367,132670.36661395367,133344.36661395367,133881.36661395367,135102.36661395367,135834.36661395367,137001.36661395367,138055.36661395367,139193.36661395367,140072.36661395367,140811.36661395367,140996.36661395367,141390.36661395367,142213.36661395367,143521.36661395367,144899.36661395367,145663.36661395367,146478.36661395367,147200.36661395367,147628.36661395367,148175.36661395367,148436.36661395367,149150.36661395367,149862.36661395367,150344.36661395367,149862.36661395367,149915.36661395367,2810.612298233797,126700.09052890347,127370.09052890347,128252.09052890347,129268.09052890347,129899.09052890347,130945.09052890347,131902.09052890347,133070.09052890347,133768.09052890347,134186.09052890347,134860.09052890347,135397.09052890347,136618.09052890347,137350.09052890347,138517.09052890347,139571.09052890347,140709.09052890347,141588.09052890347,142327.09052890347,142512.09052890347,142906.09052890347,143729.09052890347,145037.09052890347,146415.09052890347,147179.09052890347,147994.09052890347,148716.09052890347,149144.09052890347,149691.09052890347,149952.09052890347,150666.09052890347,151378.09052890347,151860.09052890347,151378.09052890347,151431.09052890347,150765.22857142857,151474.45714285714,152183.6857142857,152892.91428571427,153602.14285714284,154311.3714285714,155020.59999999998,155729.82857142854,156439.0571428571,157148.28571428568,157857.51428571425,158566.74285714282,150007.36661395367,150402.6784841895,150871.03029881557,151377.19037076447,151907.5120026679,152454.99633729106,153015.48573240478,153586.27125409327,154165.4712704324,154751.7157766713,155343.9705298857,155941.43202620253,151523.09052890347,152546.23580152477,153496.34112975583,154408.63820066408,155296.77371161777,156167.74651985176,157025.71426759518,157873.38588876382,158712.64301528182,159544.85565190006,160371.0580415428,161192.0536880831
40006," ARIMA(0,1,0)(0,0,0)[12] intercept",19645.181699669734,1582.7420025381432,450.4285714285714,118750.42857142857,118832.42857142857,119083.42857142857,119624.42857142857,120180.42857142857,120846.42857142857,121277.42857142857,121537.42857142857,121605.42857142857,121827.42857142857,121869.42857142857,121818.42857142857,122141.42857142857,122830.42857142857,123676.42857142857,124125.42857142857,124526.42857142857,124441.42857142857,124643.42857142857,125027.42857142857,125905.42857142857,126773.42857142857,128033.42857142857,129387.42857142857,130082.42857142857,130294.42857142857,130587.42857142857,131223.42857142858,131970.42857142858,133130.42857142858,133799.42857142858,134386.42857142858,134475.42857142858,134864.42857142858,134775.42857142858,-1646.7569288330212,118004.2863585674,118086.2863585674,118337.2863585674,118878.2863585674,119434.2863585674,120100.2863585674,120531.2863585674,120791.2863585674,120859.2863585674,121081.2863585674,121123.2863585674,121072.2863585674,121395.2863585674,122084.2863585674,122930.2863585674,123379.2863585674,123780.2863585674,123695.2863585674,123897.2863585674,124281.2863585674,125159.2863585674,126027.2863585674,127287.2863585674,128641.2863585674,129336.2863585674,129548.2863585674,129841.2863585674,130477.28635856742,131224.28635856742,132384.28635856742,133053.28635856742,133640.28635856742,133729.28635856742,134118.28635856742,134029.28635856742,2547.614071690164,119496.57078428972,119578.57078428972,119829.57078428972,120370.57078428972,120926.57078428972,121592.57078428972,122023.57078428972,122283.57078428972,122351.57078428972,122573.57078428972,122615.57078428972,122564.57078428972,122887.57078428972,123576.57078428972,124422.57078428972,124871.57078428972,125272.57078428972,125187.57078428972,125389.57078428972,125773.57078428972,126651.57078428972,127519.57078428972,128779.57078428972,130133.57078428972,130828.57078428972,131040.57078428972,131333.5707842897,131969.57078428974,132716.57078428974,133876.57078428974,134545.57078428974,135132.57078428974,135221.57078428974,135610.57078428974,135521.57078428974,134515.42857142858,134965.85714285716,135416.28571428574,135866.71428571432,136317.1428571429,136767.57142857148,137218.00000000006,137668.42857142864,138118.85714285722,138569.2857142858,139019.71428571438,139470.14285714296,133769.28635856742,133910.65270596984,134123.92949193835,134374.429859992,134648.71814830325,134939.90373151054,135243.893262082,135558.019697654,135880.43050427374,136209.77686324637,136545.04052540843,136885.43041244816,135261.57078428974,136021.06157974448,136708.64193663312,137358.99871143664,137985.56756598255,138595.23912563242,139192.1067379181,139778.83744520327,140357.2837814407,140928.79456532522,141494.38804602032,142054.85530183776
40012," ARIMA(0,1,0)(0,0,0)[12] intercept",15916.273720436418,2318.4231279773703,425.4857142857142,96337.4857142857,96623.4857142857,96874.4857142857,97327.4857142857,97793.4857142857,98166.4857142857,98536.4857142857,98912.4857142857,99260.4857142857,99744.4857142857,100280.4857142857,100643.4857142857,101118.4857142857,101445.4857142857,102145.4857142857,102373.4857142857,102806.4857142857,103068.4857142857,103540.4857142857,103769.4857142857,103828.4857142857,104099.4857142857,104868.4857142857,105799.4857142857,106618.4857142857,107321.4857142857,107888.4857142857,108313.4857142857,108548.4857142857,108686.4857142857,109293.4857142857,110071.4857142857,111075.4857142857,111234.4857142857,111150.4857142857,-1593.1080642603922,95854.51364253525,96140.51364253525,96391.51364253525,96844.51364253525,97310.51364253525,97683.51364253525,98053.51364253525,98429.51364253525,98777.51364253525,99261.51364253525,99797.51364253525,100160.51364253525,100635.51364253525,100962.51364253525,101662.51364253525,101890.51364253525,102323.51364253525,102585.51364253525,103057.51364253525,103286.51364253525,103345.51364253525,103616.51364253525,104385.51364253525,105316.51364253525,106135.51364253525,106838.51364253525,107405.51364253525,107830.51364253525,108065.51364253525,108203.51364253525,108810.51364253525,109588.51364253525,110592.51364253525,110751.51364253525,110667.51364253525,2444.0794928318205,96820.45778603616,97106.45778603616,97357.45778603616,97810.45778603616,98276.45778603616,98649.45778603616,99019.45778603616,99395.45778603616,99743.45778603616,100227.45778603616,100763.45778603616,101126.45778603616,101601.45778603616,101928.45778603616,102628.45778603616,102856.45778603616,103289.45778603616,103551.45778603616,104023.45778603616,104252.45778603616,104311.45778603616,104582.45778603616,105351.45778603616,106282.45778603616,107101.45778603616,107804.45778603616,108371.45778603616,108796.45778603616,109031.45778603616,109169.45778603616,109776.45778603616,110554.45778603616,111558.45778603616,111717.45778603616,111633.45778603616,111229.4857142857,111654.97142857141,112080.45714285712,112505.94285714283,112931.42857142854,113356.91428571424,113782.39999999995,114207.88571428566,114633.37142857136,115058.85714285707,115484.34285714278,115909.82857142849,110746.51364253525,110971.94577445449,111243.92497594854,111539.99871364192,111851.47018776063,112173.87914991078,112504.57600795862,112841.83440605181,113184.45521332,113531.56534987538,113882.50571092592,114236.76423761132,111712.45778603616,112337.99708268834,112916.9893097657,113471.88700064374,114011.38695509644,114539.94942151771,115060.22399204128,115573.9370225195,116082.28764382272,116586.14893583876,117086.18000335964,117582.89290524565
40023," ARIMA(0,1,1)(0,0,0)[12] intercept",49469.03982475017,388.44828807733234,1083.3138306010533,299524.8519784615,300559.37084682565,301812.5986244141,303201.2159905885,304129.3131659335,305109.3166236309,305746.6929193814,306550.9184666201,307582.31006455043,309130.2969386397,311113.7147349209,312562.3767806346,313815.59850788896,314370.0905931261,315579.7564818478,316803.01933988545,318407.3868958992,319751.3527835197,321504.25845024275,322957.46462827746,324304.4103907735,324813.2072073981,325681.1502601225,326687.8323782948,327603.064456526,328852.5258119869,329911.8500615021,331119.7217970912,331684.2852947274,332589.87810926884,333471.41301933496,334595.0942167728,335398.9105557633,336744.381886912,337500.99807754206,-975.9639452473994,298893.06756314344,299927.6975672418,301180.92538800737,302569.5427541985,303497.6399295435,304477.6433872409,305115.01968299143,305919.2452302301,306950.63682816044,308498.6237022497,310482.0414985309,311930.7035442446,313183.92527149897,313738.4173567361,314948.0832454578,316171.34610349545,317775.7136595092,319119.6795471297,320872.58521385276,322325.79139188747,323672.7371543835,324181.5339710081,325049.4770237325,326056.1591419048,326971.391220136,328220.8525755969,329280.1768251121,330488.0485607012,331052.6120583374,331958.20487287885,332839.73978294496,333963.4209803828,334767.2373193733,336112.708650522,336869.32484115206,3142.591606449506,300156.63639377954,301191.0441264095,302444.2718608209,303832.88922697847,304760.98640232347,305740.98986002087,306378.3661557714,307182.5917030101,308213.9833009404,309761.9701750297,311745.3879713109,313194.05001702457,314447.27174427896,315001.7638295161,316211.4297182378,317434.69257627544,319039.0601322892,320383.0260199097,322135.93168663274,323589.13786466746,324936.0836271635,325444.8804437881,326312.8234965125,327319.5056146848,328234.737692916,329484.1990483769,330543.52329789207,331751.3950334812,332315.9585311174,333221.55134565884,334103.08625572495,335226.7674531628,336030.5837921533,337376.055123302,338132.67131393205,338344.6812658784,339427.9950964794,340511.3089270805,341594.6227576815,342677.9365882826,343761.25041888363,344844.5642494847,345927.87808008573,347011.1919106868,348094.50574128784,349177.8195718889,350261.13340248994,337713.0080294884,338525.8261613922,339402.79347960063,340312.5524760018,341243.15370678745,342188.514068793,343145.0356863939,344110.38116217183,345082.93032145896,346061.5053806493,347045.2183020258,348033.37985102006,338976.35450226837,340330.16403156664,341619.8243745603,342876.6930393613,344112.7194697777,345333.9867689743,346544.09281257546,347745.37499799964,348939.4534999146,350127.5061019264,351310.42084175197,352488.8869539598
40040," ARIMA(0,1,0)(0,0,0)[12] intercept",12296.010980442254,929.0860308502674,423.91428571428565,74600.91428571429,75103.91428571429,75615.91428571429,75859.91428571429,76154.91428571429,76602.91428571429,77269.91428571429,78018.91428571429,78889.91428571429,79409.91428571429,79939.91428571429,80348.91428571429,80970.91428571429,81772.91428571429,82544.91428571429,83264.91428571429,83683.91428571429,83680.91428571429,83697.91428571429,83310.91428571429,83393.91428571429,83765.91428571429,84663.91428571429,85426.91428571429,85411.91428571429,85293.91428571429,85255.91428571429,85790.91428571429,86441.91428571429,87101.91428571429,87589.91428571429,88011.91428571429,87989.91428571429,88312.91428571429,88962.91428571429,-1628.781115084067,73990.91462361226,74493.91462361226,75005.91462361226,75249.91462361226,75544.91462361226,75992.91462361226,76659.91462361226,77408.91462361226,78279.91462361226,78799.91462361226,79329.91462361226,79738.91462361226,80360.91462361226,81162.91462361226,81934.91462361226,82654.91462361226,83073.91462361226,83070.91462361226,83087.91462361226,82700.91462361226,82783.91462361226,83155.91462361226,84053.91462361226,84816.91462361226,84801.91462361226,84683.91462361226,84645.91462361226,85180.91462361226,85831.91462361226,86491.91462361226,86979.91462361226,87401.91462361226,87379.91462361226,87702.91462361226,88352.91462361226,2476.6096865126383,75210.91394781631,75713.91394781631,76225.91394781631,76469.91394781631,76764.91394781631,77212.91394781631,77879.91394781631,78628.91394781631,79499.91394781631,80019.91394781631,80549.91394781631,80958.91394781631,81580.91394781631,82382.91394781631,83154.91394781631,83874.91394781631,84293.91394781631,84290.91394781631,84307.91394781631,83920.91394781631,84003.91394781631,84375.91394781631,85273.91394781631,86036.91394781631,86021.91394781631,85903.91394781631,85865.91394781631,86400.91394781631,87051.91394781631,87711.91394781631,88199.91394781631,88621.91394781631,88599.91394781631,88922.91394781631,89572.91394781631,89437.91428571429,89861.82857142857,90285.74285714286,90709.65714285715,91133.57142857143,91557.48571428572,91981.40000000001,92405.3142857143,92829.22857142858,93253.14285714287,93677.05714285716,94100.97142857144,88827.91462361226,88999.15877624089,89229.1924497823,89489.6578186531,89769.5707178594,90063.2977988656,90367.49259424461,90679.97469533891,90999.2295851225,91324.15455296737,91653.91714142116,91987.87061385033,90047.91394781631,90724.49836661626,91342.29326450342,91929.6564670612,92497.57213928347,93051.67362970584,93595.3074057554,94130.65387608968,94659.22755773466,95182.13116131836,95700.19714429315,96214.07224329255
40045," ARIMA(0,1,0)(0,0,0)[12] intercept",15376.809964989827,774.6782990421198,327.9142857142857,92900.91428571429,93321.91428571429,93974.91428571429,94415.91428571429,94788.91428571429,94886.91428571429,95144.91428571429,95541.91428571429,95914.91428571429,96135.91428571429,96135.91428571429,96078.91428571429,96584.91428571429,97159.91428571429,97674.91428571429,97802.91428571429,97879.91428571429,98096.91428571429,98258.91428571429,98571.91428571429,98757.91428571429,99254.91428571429,99974.91428571429,100997.91428571429,101282.91428571429,101354.91428571429,101647.91428571429,102392.91428571429,103212.91428571429,103828.91428571429,104271.91428571429,104362.91428571429,104537.91428571429,104900.91428571429,104900.91428571429,-1711.9126099125106,92335.72852560676,92756.72852560676,93409.72852560676,93850.72852560676,94223.72852560676,94321.72852560676,94579.72852560676,94976.72852560676,95349.72852560676,95570.72852560676,95570.72852560676,95513.72852560676,96019.72852560676,96594.72852560676,97109.72852560676,97237.72852560676,97314.72852560676,97531.72852560676,97693.72852560676,98006.72852560676,98192.72852560676,98689.72852560676,99409.72852560676,100432.72852560676,100717.72852560676,100789.72852560676,101082.72852560676,101827.72852560676,102647.72852560676,103263.72852560676,103706.72852560676,103797.72852560676,103972.72852560676,104335.72852560676,104335.72852560676,2367.741181341082,93466.10004582182,93887.10004582182,94540.10004582182,94981.10004582182,95354.10004582182,95452.10004582182,95710.10004582182,96107.10004582182,96480.10004582182,96701.10004582182,96701.10004582182,96644.10004582182,97150.10004582182,97725.10004582182,98240.10004582182,98368.10004582182,98445.10004582182,98662.10004582182,98824.10004582182,99137.10004582182,99323.10004582182,99820.10004582182,100540.10004582182,101563.10004582182,101848.10004582182,101920.10004582182,102213.10004582182,102958.10004582182,103778.10004582182,104394.10004582182,104837.10004582182,104928.10004582182,105103.10004582182,105466.10004582182,105466.10004582182,104377.91428571429,104705.82857142857,105033.74285714286,105361.65714285715,105689.57142857143,106017.48571428572,106345.40000000001,106673.3142857143,107001.22857142858,107329.14285714287,107657.05714285716,107984.97142857144,103812.72852560676,103906.53520422436,104054.81240492218,104231.28562264208,104425.77764905611,104633.0689921352,104850.05903420047,105074.72755130586,105305.67129110599,105541.86855410953,105782.54803972866,106027.11052413008,104943.10004582182,105505.12193863279,106012.67330936354,106492.02866307221,106953.36520808676,107401.90243643624,107840.74096579954,108271.90102012274,108696.78585175118,109116.4171601762,109531.56624598565,109942.8323330128
