zip_code,model_order,train_rmse,test_rmse,train_pred_2016-01-31,train_pred_2016-02-29,train_pred_2016-03-31,train_pred_2016-04-30,train_pred_2016-05-31,train_pred_2016-06-30,train_pred_2016-07-31,train_pred_2016-08-31,train_pred_2016-09-30,train_pred_2016-10-31,train_pred_2016-11-30,train_pred_2016-12-31,train_pred_2017-01-31,train_pred_2017-02-28,train_pred_2017-03-31,train_pred_2017-04-30,train_pred_2017-05-31,train_pred_2017-06-30,train_pred_2017-07-31,train_pred_2017-08-31,train_pred_2017-09-30,train_pred_2017-10-31,train_pred_2017-11-30,train_pred_2017-12-31,train_pred_2018-01-31,train_pred_2018-02-28,train_pred_2018-03-31,train_pred_2018-04-30,train_pred_2018-05-31,train_pred_2018-06-30,train_pred_2018-07-31,train_pred_2018-08-31,train_pred_2018-09-30,train_pred_2018-10-31,train_pred_2018-11-30,train_pred_2018-12-31,train_lci_2016-01-31,train_lci_2016-02-29,train_lci_2016-03-31,train_lci_2016-04-30,train_lci_2016-05-31,train_lci_2016-06-30,train_lci_2016-07-31,train_lci_2016-08-31,train_lci_2016-09-30,train_lci_2016-10-31,train_lci_2016-11-30,train_lci_2016-12-31,train_lci_2017-01-31,train_lci_2017-02-28,train_lci_2017-03-31,train_lci_2017-04-30,train_lci_2017-05-31,train_lci_2017-06-30,train_lci_2017-07-31,train_lci_2017-08-31,train_lci_2017-09-30,train_lci_2017-10-31,train_lci_2017-11-30,train_lci_2017-12-31,train_lci_2018-01-31,train_lci_2018-02-28,train_lci_2018-03-31,train_lci_2018-04-30,train_lci_2018-05-31,train_lci_2018-06-30,train_lci_2018-07-31,train_lci_2018-08-31,train_lci_2018-09-30,train_lci_2018-10-31,train_lci_2018-11-30,train_lci_2018-12-31,train_uci_2016-01-31,train_uci_2016-02-29,train_uci_2016-03-31,train_uci_2016-04-30,train_uci_2016-05-31,train_uci_2016-06-30,train_uci_2016-07-31,train_uci_2016-08-31,train_uci_2016-09-30,train_uci_2016-10-31,train_uci_2016-11-30,train_uci_2016-12-31,train_uci_2017-01-31,train_uci_2017-02-28,train_uci_2017-03-31,train_uci_2017-04-30,train_uci_2017-05-31,train_uci_2017-06-30,train_uci_2017-07-31,train_uci_2017-08-31,train_uci_2017-09-30,train_uci_2017-10-31,train_uci_2017-11-30,train_uci_2017-12-31,train_uci_2018-01-31,train_uci_2018-02-28,train_uci_2018-03-31,train_uci_2018-04-30,train_uci_2018-05-31,train_uci_2018-06-30,train_uci_2018-07-31,train_uci_2018-08-31,train_uci_2018-09-30,train_uci_2018-10-31,train_uci_2018-11-30,train_uci_2018-12-31,test_pred_2019-01-31,test_pred_2019-02-28,test_pred_2019-03-31,test_pred_2019-04-30,test_pred_2019-05-31,test_pred_2019-06-30,test_pred_2019-07-31,test_pred_2019-08-31,test_pred_2019-09-30,test_pred_2019-10-31,test_pred_2019-11-30,test_pred_2019-12-31,test_lci_2019-01-31,test_lci_2019-02-28,test_lci_2019-03-31,test_lci_2019-04-30,test_lci_2019-05-31,test_lci_2019-06-30,test_lci_2019-07-31,test_lci_2019-08-31,test_lci_2019-09-30,test_lci_2019-10-31,test_lci_2019-11-30,test_lci_2019-12-31,test_uci_2019-01-31,test_uci_2019-02-28,test_uci_2019-03-31,test_uci_2019-04-30,test_uci_2019-05-31,test_uci_2019-06-30,test_uci_2019-07-31,test_uci_2019-08-31,test_uci_2019-09-30,test_uci_2019-10-31,test_uci_2019-11-30,test_uci_2019-12-31
20608," ARIMA(0,1,0)(0,0,0)[12] intercept",36594.0459407828,5580.7521255107795,1242.2571428571425,221890.2571428572,225445.25714285715,227033.25714285715,226957.25714285715,226702.25714285715,226318.25714285715,227259.25714285715,229141.25714285715,232213.25714285715,234666.25714285715,236847.25714285715,237064.25714285715,237724.25714285715,239235.25714285715,240758.25714285715,240431.25714285715,240133.25714285715,241756.25714285715,243459.25714285715,245496.25714285715,247093.25714285715,249357.25714285715,251109.25714285715,253150.25714285715,253101.25714285715,253141.25714285715,252743.25714285715,256961.25714285715,261800.25714285715,264924.2571428571,265079.2571428571,265067.2571428571,265161.2571428571,264385.2571428571,264022.2571428571,-2145.884193179464,219126.55620167963,222681.55620167957,224269.55620167957,224193.55620167957,223938.55620167957,223554.55620167957,224495.55620167957,226377.55620167957,229449.55620167957,231902.55620167957,234083.55620167957,234300.55620167957,234960.55620167957,236471.55620167957,237994.55620167957,237667.55620167957,237369.55620167957,238992.55620167957,240695.55620167957,242732.55620167957,244329.55620167957,246593.55620167957,248345.55620167957,250386.55620167957,250337.55620167957,250377.55620167957,249979.55620167957,254197.55620167957,259036.55620167957,262160.5562016796,262315.5562016796,262303.5562016796,262397.5562016796,261621.55620167954,261258.55620167954,4630.398478893749,224653.9580840348,228208.95808403473,229796.95808403473,229720.95808403473,229465.95808403473,229081.95808403473,230022.95808403473,231904.95808403473,234976.95808403473,237429.95808403473,239610.95808403473,239827.95808403473,240487.95808403473,241998.95808403473,243521.95808403473,243194.95808403473,242896.95808403473,244519.95808403473,246222.95808403473,248259.95808403473,249856.95808403473,252120.95808403473,253872.95808403473,255913.95808403473,255864.95808403473,255904.95808403473,255506.95808403473,259724.95808403473,264563.95808403473,267687.9580840347,267842.9580840347,267830.9580840347,267924.9580840347,267148.9580840347,266785.9580840347,265369.2571428571,266611.51428571425,267853.7714285714,269096.0285714285,270338.2857142856,271580.54285714275,272822.7999999999,274065.057142857,275307.3142857141,276549.57142857125,277791.82857142837,279034.0857142855,262605.5562016796,262703.0509323576,263066.9009815259,263568.62668907334,264158.4625403324,264810.88574960805,265510.7346114889,266248.1304361438,267016.2114621814,267809.98168289906,268625.6695167903,269460.3448201945,268132.9580840347,270519.9776390709,272640.64187561686,274623.43045378366,276518.10888823884,278350.19996467745,280134.86538851087,281881.9838495702,283598.41710924683,285289.16117424343,286957.98762606643,288607.82660837646
20612," ARIMA(0,1,0)(0,0,0)[12] intercept",35977.78618147719,10616.265556557348,754.4571428571428,217246.45714285714,217669.45714285714,219849.45714285714,222806.45714285714,224555.45714285714,224987.45714285714,224913.45714285714,225292.45714285714,226142.45714285714,227507.45714285714,227504.45714285714,230181.45714285714,231737.45714285714,233131.45714285714,233175.45714285714,231957.45714285714,232777.45714285714,232056.45714285714,233917.45714285714,236160.45714285714,238600.45714285714,239716.45714285714,239705.45714285714,241653.45714285714,243455.45714285714,243879.45714285714,243893.45714285714,244503.45714285714,246090.45714285714,247986.45714285714,247400.45714285714,245712.45714285714,243607.45714285714,242740.45714285714,244541.45714285714,-2401.5830617830325,214772.7694195155,215195.7694195155,217375.7694195155,220332.7694195155,222081.7694195155,222513.7694195155,222439.7694195155,222818.7694195155,223668.7694195155,225033.7694195155,225030.7694195155,227707.7694195155,229263.7694195155,230657.7694195155,230701.7694195155,229483.7694195155,230303.7694195155,229582.7694195155,231443.7694195155,233686.7694195155,236126.7694195155,237242.7694195155,237231.7694195155,239179.7694195155,240981.7694195155,241405.7694195155,241419.7694195155,242029.7694195155,243616.7694195155,245512.7694195155,244926.7694195155,243238.7694195155,241133.7694195155,240266.7694195155,242067.7694195155,3910.4973474973176,219720.14486619877,220143.14486619877,222323.14486619877,225280.14486619877,227029.14486619877,227461.14486619877,227387.14486619877,227766.14486619877,228616.14486619877,229981.14486619877,229978.14486619877,232655.14486619877,234211.14486619877,235605.14486619877,235649.14486619877,234431.14486619877,235251.14486619877,234530.14486619877,236391.14486619877,238634.14486619877,241074.14486619877,242190.14486619877,242179.14486619877,244127.14486619877,245929.14486619877,246353.14486619877,246367.14486619877,246977.14486619877,248564.14486619877,250460.14486619877,249874.14486619877,248186.14486619877,246081.14486619877,245214.14486619877,247015.14486619877,243652.45714285714,244406.91428571427,245161.3714285714,245915.82857142854,246670.28571428568,247424.74285714282,248179.19999999995,248933.6571428571,249688.11428571423,250442.57142857136,251197.0285714285,251951.48571428563,241178.7694195155,240908.59155828872,240876.81860968433,240968.45312474528,241138.9518097871,241365.47015196882,241634.43746280446,241937.011688006,242267.05111568936,242620.08400281536,242992.73454459585,243382.38007651147,246126.14486619877,247905.23701313982,249445.9242474585,250863.2040181118,252201.61961878426,253484.0155623168,254723.96253719545,255930.30259770819,257109.1774557391,258265.05885432736,259401.32259826115,260520.5913520598
20603," ARIMA(0,1,0)(0,0,0)[12] intercept",49484.39505510667,7903.941806612055,1184.8285714285712,299230.8285714286,300013.82857142854,301939.82857142854,304966.82857142854,307050.82857142854,307676.82857142854,307894.82857142854,308429.82857142854,310098.82857142854,311059.82857142854,311253.82857142854,312343.82857142854,313855.82857142854,314886.82857142854,314327.82857142854,313012.82857142854,313948.82857142854,315861.82857142854,318711.82857142854,320647.82857142854,321665.82857142854,323594.82857142854,325704.82857142854,327805.82857142854,328891.82857142854,329588.82857142854,331110.82857142854,332241.82857142854,332421.82857142854,333317.82857142854,334218.82857142854,335416.82857142854,336395.82857142854,337148.82857142854,339590.82857142854,-1420.368165648034,297514.5560935917,298297.5560935916,300223.5560935916,303250.5560935916,305334.5560935916,305960.5560935916,306178.5560935916,306713.5560935916,308382.5560935916,309343.5560935916,309537.5560935916,310627.5560935916,312139.5560935916,313170.5560935916,312611.5560935916,311296.5560935916,312232.5560935916,314145.5560935916,316995.5560935916,318931.5560935916,319949.5560935916,321878.5560935916,323988.5560935916,326089.5560935916,327175.5560935916,327872.5560935916,329394.5560935916,330525.5560935916,330705.5560935916,331601.5560935916,332502.5560935916,333700.5560935916,334679.5560935916,335432.5560935916,337874.5560935916,3790.0253085051763,300947.10104926553,301730.1010492655,303656.1010492655,306683.1010492655,308767.1010492655,309393.1010492655,309611.1010492655,310146.1010492655,311815.1010492655,312776.1010492655,312970.1010492655,314060.1010492655,315572.1010492655,316603.1010492655,316044.1010492655,314729.1010492655,315665.1010492655,317578.1010492655,320428.1010492655,322364.1010492655,323382.1010492655,325311.1010492655,327421.1010492655,329522.1010492655,330608.1010492655,331305.1010492655,332827.1010492655,333958.1010492655,334138.1010492655,335034.1010492655,335935.1010492655,337133.1010492655,338112.1010492655,338865.1010492655,341307.1010492655,340699.82857142854,341884.6571428571,343069.48571428563,344254.3142857142,345439.1428571427,346623.97142857127,347808.7999999998,348993.62857142836,350178.4571428569,351363.28571428545,352548.114285714,353732.94285714254,338983.5560935916,339457.48132797243,340096.81458303996,340821.7693300403,341601.4409287874,342419.97959828866,343267.96984161873,344139.27694165905,345029.6397093462,345935.95559885993,346855.8824387154,347787.6005946512,342416.1010492655,344311.83295774175,346042.1568455313,347686.85924138804,349276.84478549805,350827.9632588539,352349.6301583809,353847.9802011977,355327.27457636764,356790.61582971097,358240.3461327126,359678.2851196339
20618," ARIMA(0,1,0)(0,0,0)[12] intercept",36301.36034757468,4487.881088360724,539.5714285714284,218707.57142857142,219477.57142857142,220686.57142857142,219917.57142857142,218450.57142857142,215133.57142857142,214241.57142857142,213924.57142857142,214120.57142857142,213918.57142857142,214635.57142857142,216487.57142857142,217663.57142857142,217553.57142857142,216374.57142857142,217645.57142857142,219653.57142857142,223196.57142857142,225062.57142857142,225518.57142857142,226257.57142857142,228123.57142857142,230391.57142857142,229519.57142857142,229192.57142857142,230553.57142857142,233647.57142857142,236056.57142857142,238504.57142857142,239994.57142857142,240824.57142857142,240757.57142857142,240533.57142857142,238666.57142857142,236952.57142857142,-2986.225001270492,215776.73850191184,216546.73850191184,217755.73850191184,216986.73850191184,215519.73850191184,212202.73850191184,211310.73850191184,210993.73850191184,211189.73850191184,210987.73850191184,211704.73850191184,213556.73850191184,214732.73850191184,214622.73850191184,213443.73850191184,214714.73850191184,216722.73850191184,220265.73850191184,222131.73850191184,222587.73850191184,223326.73850191184,225192.73850191184,227460.73850191184,226588.73850191184,226261.73850191184,227622.73850191184,230716.73850191184,233125.73850191184,235573.73850191184,237063.73850191184,237893.73850191184,237826.73850191184,237602.73850191184,235735.73850191184,234021.73850191184,4065.367858413349,221638.404355231,222408.404355231,223617.404355231,222848.404355231,221381.404355231,218064.404355231,217172.404355231,216855.404355231,217051.404355231,216849.404355231,217566.404355231,219418.404355231,220594.404355231,220484.404355231,219305.404355231,220576.404355231,222584.404355231,226127.404355231,227993.404355231,228449.404355231,229188.404355231,231054.404355231,233322.404355231,232450.404355231,232123.404355231,233484.404355231,236578.404355231,238987.404355231,241435.404355231,242925.404355231,243755.404355231,243688.404355231,243464.404355231,241597.404355231,239883.404355231,237592.57142857142,238132.14285714284,238671.71428571426,239211.28571428568,239750.8571428571,240290.42857142852,240829.99999999994,241369.57142857136,241909.14285714278,242448.7142857142,242988.28571428562,243527.85714285704,234661.73850191184,233987.31918321125,233595.3627482441,233349.61986096654,233197.31548815165,233111.3833797647,233075.74494177912,233079.92408070818,233116.64407716406,233180.60679605274,233267.81257333662,233375.1540679167,240523.404355231,242276.96653107443,243748.0658231844,245072.95156760482,246304.39879756255,247469.47376309233,248584.25505822076,249659.21877643454,250701.6416371215,251716.82177537566,252708.75885523463,253680.56021779738
20607," ARIMA(0,1,0)(0,0,0)[12] intercept",57773.3031096063,3086.23773117583,1406.9999999999998,349341.0,351151.0,352998.0,354219.0,356817.0,358322.0,360337.0,361214.0,362569.0,363848.0,365797.0,367906.0,370876.0,374791.0,377289.0,377939.0,377024.0,377481.0,378389.0,381316.0,385006.0,388592.0,391942.0,394267.0,393428.0,392170.0,390715.0,393521.0,395556.0,397805.0,399599.0,399961.0,399022.0,397531.0,397384.0,-2117.856218502453,346411.2982164696,348221.2982164696,350068.2982164696,351289.2982164696,353887.2982164696,355392.2982164696,357407.2982164696,358284.2982164696,359639.2982164696,360918.2982164696,362867.2982164696,364976.2982164696,367946.2982164696,371861.2982164696,374359.2982164696,375009.2982164696,374094.2982164696,374551.2982164696,375459.2982164696,378386.2982164696,382076.2982164696,385662.2982164696,389012.2982164696,391337.2982164696,390498.2982164696,389240.2982164696,387785.2982164696,390591.2982164696,392626.2982164696,394875.2982164696,396669.2982164696,397031.2982164696,396092.2982164696,394601.2982164696,394454.2982164696,4931.856218502453,352270.7017835304,354080.7017835304,355927.7017835304,357148.7017835304,359746.7017835304,361251.7017835304,363266.7017835304,364143.7017835304,365498.7017835304,366777.7017835304,368726.7017835304,370835.7017835304,373805.7017835304,377720.7017835304,380218.7017835304,380868.7017835304,379953.7017835304,380410.7017835304,381318.7017835304,384245.7017835304,387935.7017835304,391521.7017835304,394871.7017835304,397196.7017835304,396357.7017835304,395099.7017835304,393644.7017835304,396450.7017835304,398485.7017835304,400734.7017835304,402528.7017835304,402890.7017835304,401951.7017835304,400460.7017835304,400313.7017835304,398586.0,399993.0,401400.0,402807.0,404214.0,405621.0,407028.0,408435.0,409842.0,411249.0,412656.0,414063.0,395656.2982164696,395849.7760040226,396325.60765990015,396947.5964329392,397662.9876582236,398444.72553182865,399276.7376651961,400148.5520080453,401052.89464940876,401984.4694989863,402939.2784363946,403914.2153198003,401515.7017835304,404136.2239959774,406474.39234009985,408666.4035670608,410765.0123417764,412797.27446817135,414779.2623348039,416721.4479919547,418631.10535059124,420513.5305010137,422372.7215636054,424211.7846801997
20616," ARIMA(0,1,0)(0,0,0)[12] intercept",40604.98272484702,7796.467359849315,964.9142857142856,245490.91428571427,246025.91428571427,248088.91428571427,250977.91428571427,253115.91428571427,253747.91428571427,253874.91428571427,254172.91428571427,254990.91428571427,254861.91428571427,254209.91428571427,255106.91428571427,256860.91428571427,258511.91428571427,257697.91428571427,256376.91428571427,256863.91428571427,258791.91428571427,260816.91428571427,262000.91428571427,263037.9142857143,265754.9142857143,268360.9142857143,270457.9142857143,271419.9142857143,272181.9142857143,273448.9142857143,274405.9142857143,274598.9142857143,275387.9142857143,276103.9142857143,276704.9142857143,276846.9142857143,276928.9142857143,278646.9142857143,-1777.5133133622994,243572.72495317098,244107.72495317098,246170.72495317098,249059.72495317098,251197.72495317098,251829.72495317098,251956.72495317098,252254.72495317098,253072.72495317098,252943.72495317098,252291.72495317098,253188.72495317098,254942.72495317098,256593.72495317098,255779.72495317098,254458.72495317098,254945.72495317098,256873.72495317098,258898.72495317098,260082.72495317098,261119.72495317098,263836.724953171,266442.724953171,268539.724953171,269501.724953171,270263.724953171,271530.724953171,272487.724953171,272680.724953171,273469.724953171,274185.724953171,274786.724953171,274928.724953171,275010.724953171,276728.724953171,3707.3418847908706,247409.10361825756,247944.10361825756,250007.10361825756,252896.10361825756,255034.10361825756,255666.10361825756,255793.10361825756,256091.10361825756,256909.10361825756,256780.10361825756,256128.10361825756,257025.10361825756,258779.10361825756,260430.10361825756,259616.10361825756,258295.10361825756,258782.10361825756,260710.10361825756,262735.10361825756,263919.10361825756,264956.10361825756,267673.10361825756,270279.10361825756,272376.10361825756,273338.10361825756,274100.10361825756,275367.10361825756,276324.10361825756,276517.10361825756,277306.10361825756,278022.10361825756,278623.10361825756,278765.10361825756,278847.10361825756,280565.10361825756,279262.9142857143,280227.82857142854,281192.7428571428,282157.6571428571,283122.57142857136,284087.48571428563,285052.3999999999,286017.3142857142,286982.22857142845,287947.1428571427,288912.057142857,289876.97142857127,277344.724953171,277515.09920214646,277870.34147464123,278321.2784777705,278833.36968728964,279388.90061950474,279977.3480585534,280591.85554714996,281227.6605737986,281881.2955828678,282550.14284994866,283232.1686635681,281181.10361825756,282940.5579407106,284515.1442396444,285994.03580794367,287411.7731698531,288786.0708090665,290127.4519414464,291442.7730242784,292736.7965690583,294012.99013141764,295273.9714357653,296521.77419357444
20609," ARIMA(0,1,0)(0,0,0)[12] intercept",45930.70815112858,3110.670495618596,675.6285714285713,276843.6285714286,277516.6285714286,278109.6285714286,276980.6285714286,276674.6285714286,276213.6285714286,277037.6285714286,277529.6285714286,277299.6285714286,277221.6285714286,278147.6285714286,280551.6285714286,281382.6285714286,281479.6285714286,280927.6285714286,282748.6285714286,285246.6285714286,286830.6285714286,288615.6285714286,289697.6285714286,292671.6285714286,295207.6285714286,297229.6285714286,296310.6285714286,296435.6285714286,297054.6285714286,299531.6285714286,300871.6285714286,302566.6285714286,303710.6285714286,304061.6285714286,302423.6285714286,301321.6285714286,300023.6285714286,299689.6285714286,-2390.0803743436295,274486.27570868324,275159.27570868324,275752.27570868324,274623.27570868324,274317.27570868324,273856.27570868324,274680.27570868324,275172.27570868324,274942.27570868324,274864.27570868324,275790.27570868324,278194.27570868324,279025.27570868324,279122.27570868324,278570.27570868324,280391.27570868324,282889.27570868324,284473.27570868324,286258.27570868324,287340.27570868324,290314.27570868324,292850.27570868324,294872.27570868324,293953.27570868324,294078.27570868324,294697.27570868324,297174.27570868324,298514.27570868324,300209.27570868324,301353.27570868324,301704.27570868324,300066.27570868324,298964.27570868324,297666.27570868324,297332.27570868324,3741.3375172007723,279200.98143417394,279873.98143417394,280466.98143417394,279337.98143417394,279031.98143417394,278570.98143417394,279394.98143417394,279886.98143417394,279656.98143417394,279578.98143417394,280504.98143417394,282908.98143417394,283739.98143417394,283836.98143417394,283284.98143417394,285105.98143417394,287603.98143417394,289187.98143417394,290972.98143417394,292054.98143417394,295028.98143417394,297564.98143417394,299586.98143417394,298667.98143417394,298792.98143417394,299411.98143417394,301888.98143417394,303228.98143417394,304923.98143417394,306067.98143417394,306418.98143417394,304780.98143417394,303678.98143417394,302380.98143417394,302046.98143417394,300490.6285714286,301166.2571428572,301841.8857142858,302517.51428571437,303193.14285714296,303868.77142857155,304544.40000000014,305220.02857142873,305895.6571428573,306571.2857142859,307246.9142857145,307922.5428571431,298133.27570868324,297832.4567530637,297758.83078464295,297802.8085602237,297921.94160909066,298094.4597711563,298307.4305727498,298552.4277918418,298823.59855462133,299116.6814192924,299428.4593415181,299756.4329978574,302847.98143417394,304500.05753265065,305924.9406439286,307232.220011205,308464.34410519525,309643.0830859868,310781.36942725047,311887.62935101567,312967.7157310933,314025.8900092794,315065.3692299109,316088.6527164288
20602," ARIMA(0,1,0)(0,0,0)[12] intercept",38094.97650361793,5897.824141213422,1099.3428571428572,230720.34285714285,231516.34285714285,233348.34285714285,236178.34285714285,238184.34285714285,239077.34285714285,239630.34285714285,240385.34285714285,242114.34285714285,243088.34285714285,243759.34285714285,245086.34285714285,247208.34285714285,248840.34285714285,248787.34285714285,247880.34285714285,248492.34285714285,250033.34285714285,252300.34285714285,254277.34285714285,255768.34285714285,257724.34285714285,259269.34285714285,260848.34285714285,261489.34285714285,261634.34285714285,262211.34285714285,262804.34285714285,262952.34285714285,263663.34285714285,264284.34285714285,264754.34285714285,265156.34285714285,265597.34285714285,267981.34285714285,-1402.591553326732,229165.28113052307,229961.28113052307,231793.28113052307,234623.28113052307,236629.28113052307,237522.28113052307,238075.28113052307,238830.28113052307,240559.28113052307,241533.28113052307,242204.28113052307,243531.28113052307,245653.28113052307,247285.28113052307,247232.28113052307,246325.28113052307,246937.28113052307,248478.28113052307,250745.28113052307,252722.28113052307,254213.28113052307,256169.28113052307,257714.28113052307,259293.28113052307,259934.28113052307,260079.28113052307,260656.28113052307,261249.28113052307,261397.28113052307,262108.28113052307,262729.2811305231,263199.2811305231,263601.2811305231,264042.2811305231,266426.2811305231,3601.2772676124464,232275.40458376263,233071.40458376263,234903.40458376263,237733.40458376263,239739.40458376263,240632.40458376263,241185.40458376263,241940.40458376263,243669.40458376263,244643.40458376263,245314.40458376263,246641.40458376263,248763.40458376263,250395.40458376263,250342.40458376263,249435.40458376263,250047.40458376263,251588.40458376263,253855.40458376263,255832.40458376263,257323.40458376263,259279.40458376263,260824.40458376263,262403.40458376263,263044.40458376263,263189.40458376263,263766.40458376263,264359.40458376263,264507.40458376263,265218.40458376263,265839.40458376263,266309.40458376263,266711.40458376263,267152.40458376263,269536.40458376263,269197.34285714285,270296.6857142857,271396.02857142856,272495.3714285714,273594.71428571426,274694.0571428571,275793.39999999997,276892.7428571428,277992.08571428567,279091.4285714285,280190.7714285714,281290.1142857142,267642.2811305231,268097.4963301727,268702.5826520173,269385.24797533185,270117.49055578426,270884.9493941073,271679.0933980093,272494.3640889168,273326.9005344263,274173.89161315595,275033.21515553136,275903.22244689177,270752.40458376263,272495.8750983987,274089.4744908398,275605.49488181097,277071.93801564426,278503.16489160695,279907.7066019906,281291.12162536883,282657.270894145,284008.9655297011,285348.3277016114,286677.0061245367
20606," ARIMA(0,1,0)(0,0,0)[12] intercept",47064.61116530678,6222.710309114358,658.2571428571428,283532.2571428571,283890.2571428571,283009.2571428571,280789.2571428571,280246.2571428571,281082.2571428571,284630.2571428571,286850.2571428571,286357.2571428571,285085.2571428571,285961.2571428571,288958.2571428571,290998.2571428571,291918.2571428571,292553.2571428571,294670.2571428571,297473.2571428571,297938.2571428571,297709.2571428571,296652.2571428571,299153.2571428571,302293.2571428571,304074.2571428571,302367.2571428571,301134.2571428571,301141.2571428571,303159.2571428571,304908.2571428571,307333.2571428571,310029.2571428571,311528.2571428571,310118.2571428571,308510.2571428571,306182.2571428571,305733.2571428571,-3149.0195112595584,280268.2263984725,280626.2263984725,279745.2263984725,277525.2263984725,276982.2263984725,277818.2263984725,281366.2263984725,283586.2263984725,283093.2263984725,281821.2263984725,282697.2263984725,285694.2263984725,287734.2263984725,288654.2263984725,289289.2263984725,291406.2263984725,294209.2263984725,294674.2263984725,294445.2263984725,293388.2263984725,295889.2263984725,299029.2263984725,300810.2263984725,299103.2263984725,297870.2263984725,297877.2263984725,299895.2263984725,301644.2263984725,304069.2263984725,306765.2263984725,308264.2263984725,306854.2263984725,305246.2263984725,302918.2263984725,302469.2263984725,4465.533796973844,286796.28788724175,287154.28788724175,286273.28788724175,284053.28788724175,283510.28788724175,284346.28788724175,287894.28788724175,290114.28788724175,289621.28788724175,288349.28788724175,289225.28788724175,292222.28788724175,294262.28788724175,295182.28788724175,295817.28788724175,297934.28788724175,300737.28788724175,301202.28788724175,300973.28788724175,299916.28788724175,302417.28788724175,305557.28788724175,307338.28788724175,305631.28788724175,304398.28788724175,304405.28788724175,306423.28788724175,308172.28788724175,310597.28788724175,313293.28788724175,314792.28788724175,313382.28788724175,311774.28788724175,309446.28788724175,308997.28788724175,306571.2571428571,307229.51428571425,307887.7714285714,308546.0285714285,309204.2857142856,309862.54285714275,310520.7999999999,311179.057142857,311837.3142857141,312495.57142857125,313153.82857142837,313812.0857142855,303307.2263984725,302613.4777390028,302234.3043418304,302017.9670826593,301905.6910891924,301867.3330286437,301884.9863786892,301946.9840494341,302045.2220525603,302173.79992350104,302328.2632881202,302505.1515408035,309835.28788724175,311845.5508324257,313541.2385153124,315074.0900601977,316502.88033937884,317857.7526856418,319156.61362131056,320411.1302362799,321629.40651886794,322817.34293364146,323979.3938547365,325119.0198877675
20619," ARIMA(0,1,0)(1,0,0)[12] intercept",44383.60183795031,2515.8428944362286,483.0197282210262,267223.0197282211,268108.019728221,268199.019728221,266944.01972822106,266054.019728221,265311.01972822106,265443.019728221,265263.019728221,265641.01972822106,266455.019728221,266984.01972822106,266031.3709718461,266601.44835996017,265689.4530452885,264920.10834308685,266284.0495141891,268356.0121228248,270246.8847932753,271512.2090524975,272726.47528119624,273925.4324061293,275149.38245061116,276302.9687504808,276810.68497120263,278073.50688776065,279573.63581405877,281516.74021424365,282201.9690515781,282432.3390782672,282972.2370732052,283587.777605608,283735.0132222964,283612.80532521836,283333.70621255634,283858.99228203995,-2111.063692071109,265523.66397654923,266408.6639765491,266499.6639765491,265244.6639765492,264354.6639765491,263611.6639765492,263743.6639765491,263563.6639765491,263941.6639765492,264755.6639765491,265284.6639765492,264332.0852653531,264902.2558343193,263990.2605196476,263220.91581744596,264584.8569885482,266656.8195971839,268547.69226763444,269813.01652685663,271027.28275555535,272226.2398804884,273450.18992497027,274603.7762248399,275111.49244556174,276374.31436211977,277874.4432884179,279817.54768860276,280502.7765259372,280733.14655262633,281273.0445475643,281888.5850799671,282035.8206966555,281913.6127995775,281634.51368691545,282159.79975639906,3077.103148513161,268922.375479893,269807.3754798929,269898.3754798929,268643.37547989294,267753.3754798929,267010.37547989294,267142.3754798929,266962.3754798929,267340.37547989294,268154.3754798929,268683.37547989294,267730.6566783391,268300.64088560105,267388.6455709294,266619.30086872773,267983.24203982996,270055.2046484657,271946.0773189162,273211.4015781384,274425.6678068371,275624.6249317702,276848.57497625204,278002.1612761217,278509.8774968435,279772.69941340154,281272.82833969966,283215.93273988453,283901.16157721897,284131.5316039081,284671.42959884607,285286.9701312489,285434.20574793726,285311.99785085925,285032.8987381972,285558.18480768084,284352.1954937896,284821.09235394176,285283.461245845,285763.5429687931,286250.09722076927,286732.45195177005,287213.64245913405,287701.31935533136,288192.7245391273,288686.31957214477,289168.8822002235,289651.61114596465,282653.00296814874,282418.07123909745,282340.37345959374,282365.1579175113,282450.5872265767,282570.29728919885,282718.0016066685,282895.2771256427,283095.14696220466,283313.0010079855,283533.29814609635,283765.43557346205,286051.3880194305,287224.11346878606,288226.5490320963,289161.92802007485,290049.60721496184,290894.60661434126,291709.2833115996,292507.36158502003,293290.30211605,294059.63813630404,294804.4662543507,295537.78671846725
