zip_code,model_order,train_rmse,test_rmse,train_pred_2016-01-31,train_pred_2016-02-29,train_pred_2016-03-31,train_pred_2016-04-30,train_pred_2016-05-31,train_pred_2016-06-30,train_pred_2016-07-31,train_pred_2016-08-31,train_pred_2016-09-30,train_pred_2016-10-31,train_pred_2016-11-30,train_pred_2016-12-31,train_pred_2017-01-31,train_pred_2017-02-28,train_pred_2017-03-31,train_pred_2017-04-30,train_pred_2017-05-31,train_pred_2017-06-30,train_pred_2017-07-31,train_pred_2017-08-31,train_pred_2017-09-30,train_pred_2017-10-31,train_pred_2017-11-30,train_pred_2017-12-31,train_pred_2018-01-31,train_pred_2018-02-28,train_pred_2018-03-31,train_pred_2018-04-30,train_pred_2018-05-31,train_pred_2018-06-30,train_pred_2018-07-31,train_pred_2018-08-31,train_pred_2018-09-30,train_pred_2018-10-31,train_pred_2018-11-30,train_pred_2018-12-31,train_lci_2016-01-31,train_lci_2016-02-29,train_lci_2016-03-31,train_lci_2016-04-30,train_lci_2016-05-31,train_lci_2016-06-30,train_lci_2016-07-31,train_lci_2016-08-31,train_lci_2016-09-30,train_lci_2016-10-31,train_lci_2016-11-30,train_lci_2016-12-31,train_lci_2017-01-31,train_lci_2017-02-28,train_lci_2017-03-31,train_lci_2017-04-30,train_lci_2017-05-31,train_lci_2017-06-30,train_lci_2017-07-31,train_lci_2017-08-31,train_lci_2017-09-30,train_lci_2017-10-31,train_lci_2017-11-30,train_lci_2017-12-31,train_lci_2018-01-31,train_lci_2018-02-28,train_lci_2018-03-31,train_lci_2018-04-30,train_lci_2018-05-31,train_lci_2018-06-30,train_lci_2018-07-31,train_lci_2018-08-31,train_lci_2018-09-30,train_lci_2018-10-31,train_lci_2018-11-30,train_lci_2018-12-31,train_uci_2016-01-31,train_uci_2016-02-29,train_uci_2016-03-31,train_uci_2016-04-30,train_uci_2016-05-31,train_uci_2016-06-30,train_uci_2016-07-31,train_uci_2016-08-31,train_uci_2016-09-30,train_uci_2016-10-31,train_uci_2016-11-30,train_uci_2016-12-31,train_uci_2017-01-31,train_uci_2017-02-28,train_uci_2017-03-31,train_uci_2017-04-30,train_uci_2017-05-31,train_uci_2017-06-30,train_uci_2017-07-31,train_uci_2017-08-31,train_uci_2017-09-30,train_uci_2017-10-31,train_uci_2017-11-30,train_uci_2017-12-31,train_uci_2018-01-31,train_uci_2018-02-28,train_uci_2018-03-31,train_uci_2018-04-30,train_uci_2018-05-31,train_uci_2018-06-30,train_uci_2018-07-31,train_uci_2018-08-31,train_uci_2018-09-30,train_uci_2018-10-31,train_uci_2018-11-30,train_uci_2018-12-31,test_pred_2019-01-31,test_pred_2019-02-28,test_pred_2019-03-31,test_pred_2019-04-30,test_pred_2019-05-31,test_pred_2019-06-30,test_pred_2019-07-31,test_pred_2019-08-31,test_pred_2019-09-30,test_pred_2019-10-31,test_pred_2019-11-30,test_pred_2019-12-31,test_lci_2019-01-31,test_lci_2019-02-28,test_lci_2019-03-31,test_lci_2019-04-30,test_lci_2019-05-31,test_lci_2019-06-30,test_lci_2019-07-31,test_lci_2019-08-31,test_lci_2019-09-30,test_lci_2019-10-31,test_lci_2019-11-30,test_lci_2019-12-31,test_uci_2019-01-31,test_uci_2019-02-28,test_uci_2019-03-31,test_uci_2019-04-30,test_uci_2019-05-31,test_uci_2019-06-30,test_uci_2019-07-31,test_uci_2019-08-31,test_uci_2019-09-30,test_uci_2019-10-31,test_uci_2019-11-30,test_uci_2019-12-31
03904," ARIMA(0,2,0)(0,0,0)[12]          ",56984.04256184683,8887.097388911636,0.0,474340.33967958915,287101.99999999994,287441.0,286029.0,287067.0,285936.0,287665.0,289016.0,291591.0,290555.0,291202.0,291166.0,296396.0,301450.0,304138.0,307417.0,308864.0,311664.0,314921.0,316457.0,320063.0,322610.0,327652.0,329449.0,331737.0,334694.0,338677.0,338181.0,339187.0,338837.0,343743.0,346982.0,352227.0,353917.0,354566.0,-3368.6692902881314,471849.13956444827,285187.5770723421,285526.57707234216,284114.57707234216,285152.57707234216,284021.57707234216,285750.57707234216,287101.57707234216,289676.57707234216,288640.57707234216,289287.57707234216,289251.57707234216,294481.57707234216,299535.57707234216,302223.57707234216,305502.57707234216,306949.57707234216,309749.57707234216,313006.57707234216,314542.57707234216,318148.57707234216,320695.57707234216,325737.57707234216,327534.57707234216,329822.57707234216,332779.57707234216,336762.57707234216,336266.57707234216,337272.57707234216,336922.57707234216,341828.57707234216,345067.57707234216,350312.57707234216,352002.57707234216,352651.57707234216,3368.6692902881314,476831.53979473,289016.4229276578,289355.42292765784,287943.42292765784,288981.42292765784,287850.42292765784,289579.42292765784,290930.42292765784,293505.42292765784,292469.42292765784,293116.42292765784,293080.42292765784,298310.42292765784,303364.42292765784,306052.42292765784,309331.42292765784,310778.42292765784,313578.42292765784,316835.42292765784,318371.42292765784,321977.42292765784,324524.42292765784,329566.42292765784,331363.42292765784,333651.42292765784,336608.42292765784,340591.42292765784,340095.42292765784,341101.42292765784,340751.42292765784,345657.42292765784,348896.42292765784,354141.42292765784,355831.42292765784,356480.42292765784,355618.0,357030.0,358442.0,359854.0,361266.0,362678.0,364090.0,365502.0,366914.0,368326.0,369738.0,371150.0,353703.57707234216,352749.2201960729,351278.88531131955,349368.2737791671,347068.2595802425,344415.5692121577,341438.2424427619,338158.5713603398,334594.82122649933,330762.30967027193,326674.12112400116,322341.6006730157,357532.42292765784,361310.7798039271,365605.11468868045,370339.7262208329,375463.7404197575,380940.4307878423,386741.7575572381,392845.4286396602,399233.17877350067,405889.69032972807,412801.87887599884,419958.3993269843
03903," ARIMA(0,1,0)(0,0,0)[12] intercept",52134.87389618586,3447.3115609558304,1356.1428571428569,315469.14285714296,316935.14285714284,318600.14285714284,318647.14285714284,319762.14285714284,320573.14285714284,321955.14285714284,322897.14285714284,323436.14285714284,323671.14285714284,325026.14285714284,325644.14285714284,328054.14285714284,330414.14285714284,333645.14285714284,336560.14285714284,338003.14285714284,338524.14285714284,339763.14285714284,341922.14285714284,344221.14285714284,345892.14285714284,347298.14285714284,349295.14285714284,350937.14285714284,353567.14285714284,354748.14285714284,355020.14285714284,354716.14285714284,354241.14285714284,354958.14285714284,356013.14285714284,359507.14285714284,361808.14285714284,363036.14285714284,-1371.1776834541374,313572.6148424624,315038.6148424623,316703.6148424623,316750.6148424623,317865.6148424623,318676.6148424623,320058.6148424623,321000.6148424623,321539.6148424623,321774.6148424623,323129.6148424623,323747.6148424623,326157.6148424623,328517.6148424623,331748.6148424623,334663.6148424623,336106.6148424623,336627.6148424623,337866.6148424623,340025.6148424623,342324.6148424623,343995.6148424623,345401.6148424623,347398.6148424623,349040.6148424623,351670.6148424623,352851.6148424623,353123.6148424623,352819.6148424623,352344.6148424623,353061.6148424623,354116.6148424623,357610.6148424623,359911.6148424623,361139.6148424623,4083.463397739851,317365.6708718235,318831.6708718234,320496.6708718234,320543.6708718234,321658.6708718234,322469.6708718234,323851.6708718234,324793.6708718234,325332.6708718234,325567.6708718234,326922.6708718234,327540.6708718234,329950.6708718234,332310.6708718234,335541.6708718234,338456.6708718234,339899.6708718234,340420.6708718234,341659.6708718234,343818.6708718234,346117.6708718234,347788.6708718234,349194.6708718234,351191.6708718234,352833.6708718234,355463.6708718234,356644.6708718234,356916.6708718234,356612.6708718234,356137.6708718234,356854.6708718234,357909.6708718234,361403.6708718234,363704.6708718234,364932.6708718234,362934.14285714284,364290.2857142857,365646.4285714285,367002.57142857136,368358.7142857142,369714.85714285704,371070.9999999999,372427.1428571427,373783.28571428556,375139.4285714284,376495.57142857125,377851.7142857141,361037.6148424623,361608.19007450395,362361.54569202405,363209.5153992103,364117.9487236558,365069.33122399607,366053.2585186881,367062.9515775792,368093.7016702439,369142.08039872063,370205.4995994782,371281.9485269052,364830.6708718234,366972.3813540674,368931.311450833,370795.62745793245,372599.4798477726,374360.383061718,376088.7414813117,377791.33413670625,379472.8697583272,381136.7767441362,382785.6432576643,384421.48004452296
03907," ARIMA(0,1,0)(0,0,0)[12] intercept",89889.33814091758,4695.451007801764,2071.7999999999993,543211.8,543716.8,545780.8,544299.8,547973.8,548750.8,549869.8,547760.8,548220.8,549097.8,550057.8,549843.8,551309.8,555076.8,558819.8,563039.8,561597.8,559242.8,557270.8,558016.8,558992.8,561414.8,567190.8,574999.8,582260.8,587072.8,590943.8,592046.8,594666.8,596941.8,603286.8,609774.8,617148.8,618931.8,617473.8,-3889.9135683843606,537581.4740901823,538086.4740901823,540150.4740901823,538669.4740901823,542343.4740901823,543120.4740901823,544239.4740901823,542130.4740901823,542590.4740901823,543467.4740901823,544427.4740901823,544213.4740901823,545679.4740901823,549446.4740901823,553189.4740901823,557409.4740901823,555967.4740901823,553612.4740901823,551640.4740901823,552386.4740901823,553362.4740901823,555784.4740901823,561560.4740901823,569369.4740901823,576630.4740901823,581442.4740901823,585313.4740901823,586416.4740901823,589036.4740901823,591311.4740901823,597656.4740901823,604144.4740901823,611518.4740901823,613301.4740901823,611843.4740901823,8033.513568384359,548842.1259098178,549347.1259098178,551411.1259098178,549930.1259098178,553604.1259098178,554381.1259098178,555500.1259098178,553391.1259098178,553851.1259098178,554728.1259098178,555688.1259098178,555474.1259098178,556940.1259098178,560707.1259098178,564450.1259098178,568670.1259098178,567228.1259098178,564873.1259098178,562901.1259098178,563647.1259098178,564623.1259098178,567045.1259098178,572821.1259098178,580630.1259098178,587891.1259098178,592703.1259098178,596574.1259098178,597677.1259098178,600297.1259098178,602572.1259098178,608917.1259098178,615405.1259098178,622779.1259098178,624562.1259098178,623104.1259098178,615724.8,617796.6000000001,619868.4000000001,621940.2000000002,624012.0000000002,626083.8000000003,628155.6000000003,630227.4000000004,632299.2000000004,634371.0000000005,636442.8000000005,638514.6000000006,610094.4740901823,609834.1167377554,610116.3894610244,610679.5481803649,611422.2085301696,612292.3744353756,613259.1578423793,614302.4334755108,615408.2222705474,616566.3461559169,617769.1215097189,619010.5789220493,621355.1259098178,625759.0832622448,629620.4105389758,633200.8518196355,636601.7914698309,639875.225564625,643052.0421576214,646152.36652449,649190.1777294534,652175.653844084,655116.4784902821,658018.6210779519
04001," ARIMA(0,1,0)(0,0,0)[12] intercept",35241.15436436198,5584.3515048079835,1347.4571428571426,214032.4571428571,213421.45714285714,213435.45714285714,213886.45714285714,216847.45714285714,218242.45714285714,219792.45714285714,220616.45714285714,222604.45714285714,224639.45714285714,226098.45714285714,226793.45714285714,228909.45714285714,231914.45714285714,234887.45714285714,236724.45714285714,236745.45714285714,236345.45714285714,236013.45714285714,236760.45714285714,239036.45714285714,241366.45714285714,244610.45714285714,246731.45714285714,248603.45714285714,250285.45714285714,251424.45714285714,252757.45714285714,252742.45714285714,254778.45714285714,257329.45714285714,260587.45714285714,261859.45714285714,261500.45714285714,261165.45714285714,-1638.7086827741268,211779.51961210443,211168.51961210446,211182.51961210446,211633.51961210446,214594.51961210446,215989.51961210446,217539.51961210446,218363.51961210446,220351.51961210446,222386.51961210446,223845.51961210446,224540.51961210446,226656.51961210446,229661.51961210446,232634.51961210446,234471.51961210446,234492.51961210446,234092.51961210446,233760.51961210446,234507.51961210446,236783.51961210446,239113.51961210446,242357.51961210446,244478.51961210446,246350.51961210446,248032.51961210446,249171.51961210446,250504.51961210446,250489.51961210446,252525.51961210446,255076.51961210446,258334.51961210446,259606.51961210446,259247.51961210446,258912.51961210446,4333.622968488412,216285.3946736098,215674.39467360982,215688.39467360982,216139.39467360982,219100.39467360982,220495.39467360982,222045.39467360982,222869.39467360982,224857.39467360982,226892.39467360982,228351.39467360982,229046.39467360982,231162.39467360982,234167.39467360982,237140.39467360982,238977.39467360982,238998.39467360982,238598.39467360982,238266.39467360982,239013.39467360982,241289.39467360982,243619.39467360982,246863.39467360982,248984.39467360982,250856.39467360982,252538.39467360982,253677.39467360982,255010.39467360982,254995.39467360982,257031.39467360982,259582.39467360982,262840.3946736098,264112.3946736098,263753.3946736098,263418.3946736098,261193.45714285714,262540.9142857143,263888.3714285714,265235.82857142854,266583.2857142857,267930.7428571428,269278.19999999995,270625.6571428571,271973.1142857142,273320.57142857136,274668.0285714285,276015.48571428563,258940.51961210446,259354.77947454448,259986.169159029,260729.9535099232,261545.5642464622,262412.19548443286,263317.48757426447,264253.3875205175,265214.3016934562,266196.1574053173,267195.8801058121,268211.0811752008,263446.3946736098,265727.04909688403,267790.5736981138,269741.7036329339,271621.00718210917,273449.2902298528,275238.91242573544,276997.92676519667,278731.92687797226,280444.9854518254,282140.1770370449,283819.89025337045
03905," ARIMA(0,2,0)(0,0,0)[12]          ",78425.14289899069,16262.036050261357,0.0,654292.3051357645,381878.00000000006,381745.99999999994,381331.0,384784.0,383512.0,384153.0,382347.0,383637.0,382833.0,383445.0,383239.0,386608.0,389957.0,392040.0,392796.0,395519.0,395744.0,402155.0,405444.0,413227.0,414949.0,418349.0,419329.0,421068.0,426575.0,431151.0,434096.0,435465.0,438303.0,444479.0,449366.0,452238.0,454589.0,453805.0,-3586.531510061879,651486.1442198652,379601.97481752106,379469.97481752094,379054.974817521,382507.974817521,381235.974817521,381876.974817521,380070.974817521,381360.974817521,380556.974817521,381168.974817521,380962.974817521,384331.974817521,387680.974817521,389763.974817521,390519.974817521,393242.974817521,393467.974817521,399878.974817521,403167.974817521,410950.974817521,412672.974817521,416072.974817521,417052.974817521,418791.974817521,424298.974817521,428874.974817521,431819.974817521,433188.974817521,436026.974817521,442202.974817521,447089.974817521,449961.974817521,452312.974817521,451528.974817521,3586.531510061879,657098.4660516639,384154.02518247906,384022.02518247894,383607.025182479,387060.025182479,385788.025182479,386429.025182479,384623.025182479,385913.025182479,385109.025182479,385721.025182479,385515.025182479,388884.025182479,392233.025182479,394316.025182479,395072.025182479,397795.025182479,398020.025182479,404431.025182479,407720.025182479,415503.025182479,417225.025182479,420625.025182479,421605.025182479,423344.025182479,428851.025182479,433427.025182479,436372.025182479,437741.025182479,440579.025182479,446755.025182479,451642.025182479,454514.025182479,456865.025182479,456081.025182479,457343.0,459680.0,462017.0,464354.0,466691.0,469028.0,471365.0,473702.0,476039.0,478376.0,480713.0,483050.0,455066.974817521,454590.65297347563,453500.893563494,451887.69666106446,449811.54548510775,447316.1035502114,444434.70686422096,441193.85811553034,437615.2725661035,433717.1610871687,429515.0795400153,425022.5159055554,459619.025182479,464769.34702652437,470533.106436506,476820.30333893554,483570.45451489225,490739.8964497886,498295.29313577904,506210.14188446966,514462.7274338965,523034.8389128313,531910.9204599847,541077.4840944445
03906," ARIMA(0,1,0)(0,0,0)[12] intercept",38635.86509413647,3078.915050207699,1192.0571428571427,234139.0571428572,234447.05714285714,235447.05714285714,235967.05714285714,237107.05714285714,236585.05714285714,236360.05714285714,237084.05714285714,238878.05714285714,240102.05714285714,240631.05714285714,240637.05714285714,241802.05714285714,244210.05714285714,246755.05714285714,248927.05714285714,249599.05714285714,249420.05714285714,249247.05714285714,249995.05714285714,251202.05714285714,252163.05714285714,253729.05714285714,255392.05714285714,257862.05714285714,259699.05714285714,261142.05714285714,261801.05714285714,263287.0571428572,265311.0571428572,268503.0571428572,270780.0571428572,273256.0571428572,274341.0571428572,275087.0571428572,-1436.0291117823265,232388.2348957028,232696.23489570274,233696.23489570274,234216.23489570274,235356.23489570274,234834.23489570274,234609.23489570274,235333.23489570274,237127.23489570274,238351.23489570274,238880.23489570274,238886.23489570274,240051.23489570274,242459.23489570274,245004.23489570274,247176.23489570274,247848.23489570274,247669.23489570274,247496.23489570274,248244.23489570274,249451.23489570274,250412.23489570274,251978.23489570274,253641.23489570274,256111.23489570274,257948.23489570274,259391.23489570274,260050.23489570274,261536.23489570277,263560.23489570274,266752.23489570274,269029.23489570274,271505.23489570274,272590.23489570274,273336.23489570274,3820.143397496612,235889.8793900116,236197.87939001154,237197.87939001154,237717.87939001154,238857.87939001154,238335.87939001154,238110.87939001154,238834.87939001154,240628.87939001154,241852.87939001154,242381.87939001154,242387.87939001154,243552.87939001154,245960.87939001154,248505.87939001154,250677.87939001154,251349.87939001154,251170.87939001154,250997.87939001154,251745.87939001154,252952.87939001154,253913.87939001154,255479.87939001154,257142.87939001154,259612.87939001154,261449.87939001154,262892.87939001154,263551.87939001154,265037.8793900116,267061.8793900116,270253.8793900116,272530.8793900116,275006.8793900116,276091.8793900116,276837.8793900116,275861.0571428572,277053.11428571434,278245.1714285715,279437.2285714287,280629.28571428586,281821.342857143,283013.4000000002,284205.45714285737,285397.51428571454,286589.5714285717,287781.6285714289,288973.68571428605,274110.23489570274,274577.07771848404,275212.65834147815,275935.5840771199,276714.32815312967,277532.7217213017,278381.1597441504,279253.38400839677,280145.0475442513,281052.9853494695,281974.8081030109,282908.6595400994,277611.8793900116,279529.15085294464,281277.6845156649,282938.8730657375,284544.24327544204,286109.9639929843,287645.64025585,289157.530277318,290649.98102717777,292126.1575076739,293588.4490398469,295038.7118884727
03909," ARIMA(0,1,0)(0,0,0)[12] intercept",64168.7801913918,4697.180415683776,1640.3142857142855,388203.3142857143,387097.3142857143,386977.3142857143,386764.3142857143,388933.3142857143,389502.3142857143,390771.3142857143,392210.3142857143,394216.3142857143,395892.3142857143,397191.3142857143,398194.3142857143,400591.3142857143,403881.3142857143,407233.3142857143,409400.3142857143,410372.3142857143,410143.3142857143,411856.3142857143,413535.3142857143,416664.3142857143,418676.3142857143,422053.3142857143,425482.3142857143,428766.3142857143,432714.3142857143,435694.3142857143,437534.3142857143,438001.3142857143,439170.3142857143,441406.3142857143,444578.3142857143,447453.3142857143,448239.3142857143,446728.3142857143,-1742.9567635539777,385445.5862041003,384339.5862041003,384219.5862041003,384006.5862041003,386175.5862041003,386744.5862041003,388013.5862041003,389452.5862041003,391458.5862041003,393134.5862041003,394433.5862041003,395436.5862041003,397833.5862041003,401123.5862041003,404475.5862041003,406642.5862041003,407614.5862041003,407385.5862041003,409098.5862041003,410777.5862041003,413906.5862041003,415918.5862041003,419295.5862041003,422724.5862041003,426008.5862041003,429956.5862041003,432936.5862041003,434776.5862041003,435243.5862041003,436412.5862041003,438648.5862041003,441820.5862041003,444695.5862041003,445481.5862041003,443970.5862041003,5023.585334982548,390961.0423673283,389855.0423673283,389735.0423673283,389522.0423673283,391691.0423673283,392260.0423673283,393529.0423673283,394968.0423673283,396974.0423673283,398650.0423673283,399949.0423673283,400952.0423673283,403349.0423673283,406639.0423673283,409991.0423673283,412158.0423673283,413130.0423673283,412901.0423673283,414614.0423673283,416293.0423673283,419422.0423673283,421434.0423673283,424811.0423673283,428240.0423673283,431524.0423673283,435472.0423673283,438452.0423673283,440292.0423673283,440759.0423673283,441928.0423673283,444164.0423673283,447336.0423673283,450211.0423673283,450997.0423673283,449486.0423673283,445614.3142857143,447254.6285714286,448894.9428571429,450535.2571428572,452175.5714285715,453815.8857142858,455456.20000000007,457096.51428571437,458736.82857142866,460377.14285714296,462017.45714285725,463657.77142857155,442856.5862041003,443354.61211707286,444118.4177063279,445019.8009796291,446009.1039746224,447060.85906498705,448159.9373125101,449296.48137700296,450463.64432658657,451656.4409518359,452871.1078223169,454104.7211269416,448372.0423673283,451154.6450257843,453671.46800795785,456050.71330608526,458342.0388825206,460570.9123635845,462752.46268749004,464896.5471944258,467010.01281627076,469097.84476245,471163.80646339763,473210.8217302015
03902," ARIMA(0,1,0)(0,0,0)[12] intercept",64143.004304913746,3759.1971817610843,1739.2285714285713,388248.22857142857,387965.22857142857,388891.22857142857,389643.22857142857,392258.22857142857,393212.22857142857,394337.22857142857,396123.22857142857,398888.22857142857,401218.22857142857,403203.22857142857,404570.22857142857,407237.22857142857,410131.22857142857,412896.22857142857,414112.22857142857,414711.22857142857,414159.22857142857,415708.22857142857,416925.22857142857,418350.22857142857,419424.22857142857,422677.22857142857,426954.22857142857,431230.22857142857,435052.22857142857,437291.22857142857,438394.22857142857,438545.22857142857,440415.22857142857,443353.22857142857,447191.22857142857,450487.22857142857,451323.22857142857,450229.22857142857,-1621.7858184721495,385517.85150801303,385234.85150801303,386160.85150801303,386912.85150801303,389527.85150801303,390481.85150801303,391606.85150801303,393392.85150801303,396157.85150801303,398487.85150801303,400472.85150801303,401839.85150801303,404506.85150801303,407400.85150801303,410165.85150801303,411381.85150801303,411980.85150801303,411428.85150801303,412977.85150801303,414194.85150801303,415619.85150801303,416693.85150801303,419946.85150801303,424223.85150801303,428499.85150801303,432321.85150801303,434560.85150801303,435663.85150801303,435814.85150801303,437684.85150801303,440622.85150801303,444460.85150801303,447756.85150801303,448592.85150801303,447498.85150801303,5100.242961329292,390978.6056348441,390695.6056348441,391621.6056348441,392373.6056348441,394988.6056348441,395942.6056348441,397067.6056348441,398853.6056348441,401618.6056348441,403948.6056348441,405933.6056348441,407300.6056348441,409967.6056348441,412861.6056348441,415626.6056348441,416842.6056348441,417441.6056348441,416889.6056348441,418438.6056348441,419655.6056348441,421080.6056348441,422154.6056348441,425407.6056348441,429684.6056348441,433960.6056348441,437782.6056348441,440021.6056348441,441124.6056348441,441275.6056348441,443145.6056348441,446083.6056348441,449921.6056348441,453217.6056348441,454053.6056348441,452959.6056348441,449121.22857142857,450860.45714285714,452599.6857142857,454338.9142857143,456078.14285714284,457817.3714285714,459556.6,461295.82857142854,463035.0571428571,464774.2857142857,466513.51428571425,468252.7428571428,446390.85150801303,446999.12086938246,447870.5339166293,448878.1601588832,449972.83413913945,451129.3408178046,452332.7013047677,453573.15602447925,454843.92595261056,456140.0753228106,457457.87803017255,458794.43926183,451851.6056348441,454721.7934163318,457328.8375119421,459799.66841254535,462183.45157514623,464505.4020393382,466780.49869523227,469018.50111837784,471226.18833310367,473408.49610576074,475569.15054125595,477711.04645245563
04006," ARIMA(0,1,0)(0,0,0)[12] intercept",163023.30459008683,22698.175615013643,3167.9999999999995,983747.0000000001,978740.0,980558.0,982627.0,988761.0,991693.0,990455.0,998705.0,1011864.0,1028268.0,1032746.0,1031483.0,1038070.0,1049570.0,1054518.0,1054688.0,1045974.0,1044223.0,1049220.0,1058581.0,1063929.0,1071134.0,1077987.0,1082261.0,1075406.0,1080505.0,1088909.0,1098609.0,1105866.0,1108022.0,1116134.0,1113344.0,1116241.0,1101294.0,1099379.0,-9491.864554100126,971239.7736205239,966232.7736205237,968050.7736205237,970119.7736205237,976253.7736205237,979185.7736205237,977947.7736205237,986197.7736205237,999356.7736205237,1015760.7736205237,1020238.7736205237,1018975.7736205237,1025562.7736205237,1037062.7736205237,1042010.7736205237,1042180.7736205237,1033466.7736205237,1031715.7736205237,1036712.7736205237,1046073.7736205237,1051421.7736205237,1058626.7736205237,1065479.7736205237,1069753.7736205237,1062898.7736205237,1067997.7736205237,1076401.7736205237,1086101.7736205237,1093358.7736205237,1095514.7736205237,1103626.7736205237,1100836.7736205237,1103733.7736205237,1088786.7736205237,1086871.7736205237,15827.864554100126,996254.2263794764,991247.2263794763,993065.2263794763,995134.2263794763,1001268.2263794763,1004200.2263794763,1002962.2263794763,1011212.2263794763,1024371.2263794763,1040775.2263794763,1045253.2263794763,1043990.2263794763,1050577.2263794763,1062077.2263794763,1067025.2263794763,1067195.2263794763,1058481.2263794763,1056730.2263794763,1061727.2263794763,1071088.2263794763,1076436.2263794763,1083641.2263794763,1090494.2263794763,1094768.2263794763,1087913.2263794763,1093012.2263794763,1101416.2263794763,1111116.2263794763,1118373.2263794763,1120529.2263794763,1128641.2263794763,1125851.2263794763,1128748.2263794763,1113801.2263794763,1111886.2263794763,1094627.0,1097795.0,1100963.0,1104131.0,1107299.0,1110467.0,1113635.0,1116803.0,1119971.0,1123139.0,1126307.0,1129475.0,1082119.7736205237,1080107.1108264741,1079299.8484489813,1079116.5472410475,1079331.9916055126,1079830.6772728057,1080543.9894087191,1081427.2216529483,1082449.3208615712,1083587.6774295135,1084825.222931242,1086148.6968979628,1107134.2263794763,1115482.8891735259,1122626.1515510187,1129145.4527589525,1135266.0083944874,1141103.3227271943,1146726.0105912809,1152178.7783470517,1157492.6791384288,1162690.3225704865,1167788.777068758,1172801.3031020372
04003," ARIMA(0,1,0)(0,0,1)[12] intercept",78655.47129358599,12582.888952819712,1952.7714286145683,475652.77142861456,478263.77142861456,476629.77142861456,479015.77142861456,482638.77142861456,488820.77142861456,491750.77142861456,494126.77142861456,497921.77142861456,498176.77142861456,499004.77142861456,491255.7238400724,493195.11733997584,492371.58127866645,492420.0500575743,494096.42440571083,493951.44296422455,496810.37717591407,498601.13595613424,502348.94695048005,503942.3550406955,508168.4330532115,510095.7910695597,512167.837779412,515775.88594162505,519833.0983527938,524119.02256697376,524050.48007404373,523479.91493568354,523054.1319661364,524020.2152194301,527617.9838160962,529765.3256095728,532403.4537974518,536590.7473655079,-2982.143249764301,471123.7622585879,473734.7622585879,472100.7622585879,474486.7622585879,478109.7622585879,484291.7622585879,487221.7622585879,489597.7622585879,493392.7622585879,493647.7622585879,494475.7622585879,486726.8554039777,488666.2752609199,487842.7391996105,487891.20797851833,489567.58232665487,489422.6008851686,492281.5350968581,494072.2938770783,497820.1048714241,499413.51296163956,503639.5909741555,505566.94899050373,507638.99571074103,511247.0438748991,515304.25628606783,519590.1805002478,519521.6380073178,518951.0728689576,518525.28989941045,519491.37315270415,523089.14174937026,525236.4835428469,527874.6117307259,532061.9052987819,6887.6861069934375,480181.7805986412,482792.7805986412,481158.7805986412,483544.7805986412,487167.7805986412,493349.7805986412,496279.7805986412,498655.7805986412,502450.7805986412,502705.7805986412,503533.7805986412,495784.5922761671,497723.9594190318,496900.4233577224,496948.89213663025,498625.2664847668,498480.2850432805,501339.21925497,503129.9780351902,506877.789029536,508471.1971197515,512697.27513226744,514624.63314861566,516696.67984808295,520304.728008351,524361.9404195197,528647.8646336996,528579.3221407697,528008.7570024094,527582.9740328623,528549.057286156,532146.8258828222,534294.1676762988,536932.2958641778,541119.5894322338,543985.7589460543,545920.5924519518,547853.340293521,549823.6279248918,551798.0085596623,553771.2246234816,555732.3385514375,557671.0062444856,559621.9391692351,561568.8289094176,563502.3959009704,565408.2954464664,539456.9168793291,539515.8425793434,540009.1557344979,540765.9437914416,541671.2098391044,542677.8724343537,543750.1487157953,544861.5064992689,546035.41296906,547247.3728153822,548481.9260308659,549719.9263284204,548514.6010127794,552325.3423245603,555697.524852544,558881.3120583419,561924.8072802201,564864.5768126096,567714.5283870797,570480.5059897023,573208.4653694101,575890.285003453,578522.865771075,581096.6645645124
