zip_code,model_order,train_rmse,test_rmse,train_pred_2016-01-31,train_pred_2016-02-29,train_pred_2016-03-31,train_pred_2016-04-30,train_pred_2016-05-31,train_pred_2016-06-30,train_pred_2016-07-31,train_pred_2016-08-31,train_pred_2016-09-30,train_pred_2016-10-31,train_pred_2016-11-30,train_pred_2016-12-31,train_pred_2017-01-31,train_pred_2017-02-28,train_pred_2017-03-31,train_pred_2017-04-30,train_pred_2017-05-31,train_pred_2017-06-30,train_pred_2017-07-31,train_pred_2017-08-31,train_pred_2017-09-30,train_pred_2017-10-31,train_pred_2017-11-30,train_pred_2017-12-31,train_pred_2018-01-31,train_pred_2018-02-28,train_pred_2018-03-31,train_pred_2018-04-30,train_pred_2018-05-31,train_pred_2018-06-30,train_pred_2018-07-31,train_pred_2018-08-31,train_pred_2018-09-30,train_pred_2018-10-31,train_pred_2018-11-30,train_pred_2018-12-31,train_lci_2016-01-31,train_lci_2016-02-29,train_lci_2016-03-31,train_lci_2016-04-30,train_lci_2016-05-31,train_lci_2016-06-30,train_lci_2016-07-31,train_lci_2016-08-31,train_lci_2016-09-30,train_lci_2016-10-31,train_lci_2016-11-30,train_lci_2016-12-31,train_lci_2017-01-31,train_lci_2017-02-28,train_lci_2017-03-31,train_lci_2017-04-30,train_lci_2017-05-31,train_lci_2017-06-30,train_lci_2017-07-31,train_lci_2017-08-31,train_lci_2017-09-30,train_lci_2017-10-31,train_lci_2017-11-30,train_lci_2017-12-31,train_lci_2018-01-31,train_lci_2018-02-28,train_lci_2018-03-31,train_lci_2018-04-30,train_lci_2018-05-31,train_lci_2018-06-30,train_lci_2018-07-31,train_lci_2018-08-31,train_lci_2018-09-30,train_lci_2018-10-31,train_lci_2018-11-30,train_lci_2018-12-31,train_uci_2016-01-31,train_uci_2016-02-29,train_uci_2016-03-31,train_uci_2016-04-30,train_uci_2016-05-31,train_uci_2016-06-30,train_uci_2016-07-31,train_uci_2016-08-31,train_uci_2016-09-30,train_uci_2016-10-31,train_uci_2016-11-30,train_uci_2016-12-31,train_uci_2017-01-31,train_uci_2017-02-28,train_uci_2017-03-31,train_uci_2017-04-30,train_uci_2017-05-31,train_uci_2017-06-30,train_uci_2017-07-31,train_uci_2017-08-31,train_uci_2017-09-30,train_uci_2017-10-31,train_uci_2017-11-30,train_uci_2017-12-31,train_uci_2018-01-31,train_uci_2018-02-28,train_uci_2018-03-31,train_uci_2018-04-30,train_uci_2018-05-31,train_uci_2018-06-30,train_uci_2018-07-31,train_uci_2018-08-31,train_uci_2018-09-30,train_uci_2018-10-31,train_uci_2018-11-30,train_uci_2018-12-31,test_pred_2019-01-31,test_pred_2019-02-28,test_pred_2019-03-31,test_pred_2019-04-30,test_pred_2019-05-31,test_pred_2019-06-30,test_pred_2019-07-31,test_pred_2019-08-31,test_pred_2019-09-30,test_pred_2019-10-31,test_pred_2019-11-30,test_pred_2019-12-31,test_lci_2019-01-31,test_lci_2019-02-28,test_lci_2019-03-31,test_lci_2019-04-30,test_lci_2019-05-31,test_lci_2019-06-30,test_lci_2019-07-31,test_lci_2019-08-31,test_lci_2019-09-30,test_lci_2019-10-31,test_lci_2019-11-30,test_lci_2019-12-31,test_uci_2019-01-31,test_uci_2019-02-28,test_uci_2019-03-31,test_uci_2019-04-30,test_uci_2019-05-31,test_uci_2019-06-30,test_uci_2019-07-31,test_uci_2019-08-31,test_uci_2019-09-30,test_uci_2019-10-31,test_uci_2019-11-30,test_uci_2019-12-31
48001," ARIMA(0,2,0)(0,0,0)[12]          ",26612.27803345249,4462.921940836519,0.0,218447.4264623242,140325.99999999997,139685.99999999997,139299.0,137567.0,138163.0,138740.0,141795.0,142841.0,143316.0,143048.0,142875.0,144060.0,144577.0,146564.0,146834.0,148837.0,149604.0,151936.0,151953.0,153538.0,156565.0,160316.0,162812.0,162859.0,164079.0,165776.0,168099.0,168780.0,170248.0,171294.0,172806.0,173543.0,174107.0,175080.0,-3003.1924527226765,216565.52713243148,139170.03838009117,138530.03838009117,138143.0383800912,136411.0383800912,137007.0383800912,137584.0383800912,140639.0383800912,141685.0383800912,142160.0383800912,141892.0383800912,141719.0383800912,142904.0383800912,143421.0383800912,145408.0383800912,145678.0383800912,147681.0383800912,148448.0383800912,150780.0383800912,150797.0383800912,152382.0383800912,155409.0383800912,159160.0383800912,161656.0383800912,161703.0383800912,162923.0383800912,164620.0383800912,166943.0383800912,167624.0383800912,169092.0383800912,170138.0383800912,171650.0383800912,172387.0383800912,172951.0383800912,173924.0383800912,3003.1924527226765,220329.3257922169,141481.96161990878,140841.96161990878,140454.9616199088,138722.9616199088,139318.9616199088,139895.9616199088,142950.9616199088,143996.9616199088,144471.9616199088,144203.9616199088,144030.9616199088,145215.9616199088,145732.9616199088,147719.9616199088,147989.9616199088,149992.9616199088,150759.9616199088,153091.9616199088,153108.9616199088,154693.9616199088,157720.9616199088,161471.9616199088,163967.9616199088,164014.9616199088,165234.9616199088,166931.9616199088,169254.9616199088,169935.9616199088,171403.9616199088,172449.9616199088,173961.9616199088,174698.9616199088,175262.9616199088,176235.9616199088,177142.0,178618.0,180094.0,181570.0,183046.0,184522.0,185998.0,187474.0,188950.0,190426.0,191902.0,193378.0,175986.0383800912,176033.19123850312,175768.78766604103,175238.53745165732,174473.15918329166,173494.82895435553,172320.47766083683,170963.56565055758,169435.1218038614,167744.39516964584,165899.28635408776,163906.6457156033,178297.9616199088,181202.80876149688,184419.21233395897,187901.46254834268,191618.84081670834,195549.17104564447,199675.52233916317,203984.43434944242,208464.8781961386,213107.60483035416,217904.71364591224,222849.3542843967
48003," ARIMA(0,1,0)(0,0,0)[12] intercept",31803.63035635299,3776.1617235288895,1111.2857142857142,192970.28571428568,194413.2857142857,195546.2857142857,197289.2857142857,199856.2857142857,200168.2857142857,199622.2857142857,198455.2857142857,199187.2857142857,200219.2857142857,201281.2857142857,202726.2857142857,203667.2857142857,204569.2857142857,204751.2857142857,205673.2857142857,206563.2857142857,209953.2857142857,212581.2857142857,214918.2857142857,215652.2857142857,216886.2857142857,219048.2857142857,220292.2857142857,221372.2857142857,222365.2857142857,224373.2857142857,225662.2857142857,226061.2857142857,226157.2857142857,226333.2857142857,226506.2857142857,227048.2857142857,228209.2857142857,230036.2857142857,-1523.7447557559117,191209.05695079308,192652.0569507931,193785.0569507931,195528.0569507931,198095.0569507931,198407.0569507931,197861.0569507931,196694.0569507931,197426.0569507931,198458.0569507931,199520.0569507931,200965.0569507931,201906.0569507931,202808.0569507931,202990.0569507931,203912.0569507931,204802.0569507931,208192.0569507931,210820.0569507931,213157.0569507931,213891.0569507931,215125.0569507931,217287.0569507931,218531.0569507931,219611.0569507931,220604.0569507931,222612.0569507931,223901.0569507931,224300.0569507931,224396.0569507931,224572.0569507931,224745.0569507931,225287.0569507931,226448.0569507931,228275.0569507931,3746.31618432734,194731.51447777828,196174.5144777783,197307.5144777783,199050.5144777783,201617.5144777783,201929.5144777783,201383.5144777783,200216.5144777783,200948.5144777783,201980.5144777783,203042.5144777783,204487.5144777783,205428.5144777783,206330.5144777783,206512.5144777783,207434.5144777783,208324.5144777783,211714.5144777783,214342.5144777783,216679.5144777783,217413.5144777783,218647.5144777783,220809.5144777783,222053.5144777783,223133.5144777783,224126.5144777783,226134.5144777783,227423.5144777783,227822.5144777783,227918.5144777783,228094.5144777783,228267.5144777783,228809.5144777783,229970.5144777783,231797.5144777783,231865.2857142857,232976.57142857142,234087.85714285713,235199.14285714284,236310.42857142855,237421.71428571426,238532.99999999997,239644.28571428568,240755.5714285714,241866.8571428571,242978.1428571428,244089.42857142852,230104.0569507931,230485.81782479858,231037.31944073623,231676.68533015763,232372.2013323312,233107.60249484444,233873.22668990475,234662.77850674003,235471.8851380936,236297.36276961848,237136.80787865628,237988.35316718675,233626.5144777783,235467.32503234426,237138.39484497803,238721.60038412805,240248.6558105259,241735.82607658408,243192.7733100952,244625.79292183134,246039.25771904917,247436.35151609572,248819.47783562934,250190.5039756703
48017," ARIMA(0,1,0)(0,0,0)[12] intercept",27607.94183926683,3699.2320997135957,1188.4285714285713,167988.42857142858,169214.42857142858,170084.42857142858,170930.42857142858,171640.42857142858,172343.42857142858,173454.42857142858,174739.42857142858,176358.42857142858,178605.42857142858,180580.42857142858,182057.42857142858,182639.42857142858,183072.42857142858,185127.42857142858,187104.42857142858,189147.42857142858,189982.42857142858,190135.42857142858,190447.42857142858,191777.42857142858,192927.42857142858,194634.42857142858,195940.42857142858,197736.42857142858,198963.42857142858,198870.42857142858,199469.42857142858,200810.42857142858,202900.42857142858,204464.42857142858,205232.42857142858,206121.42857142858,206822.42857142858,208108.42857142858,-1081.6440012919027,166843.10299993216,168069.10299993216,168939.10299993216,169785.10299993216,170495.10299993216,171198.10299993216,172309.10299993216,173594.10299993216,175213.10299993216,177460.10299993216,179435.10299993216,180912.10299993216,181494.10299993216,181927.10299993216,183982.10299993216,185959.10299993216,188002.10299993216,188837.10299993216,188990.10299993216,189302.10299993216,190632.10299993216,191782.10299993216,193489.10299993216,194795.10299993216,196591.10299993216,197818.10299993216,197725.10299993216,198324.10299993216,199665.10299993216,201755.10299993216,203319.10299993216,204087.10299993216,204976.10299993216,205677.10299993216,206963.10299993216,3458.501144149045,169133.754142925,170359.754142925,171229.754142925,172075.754142925,172785.754142925,173488.754142925,174599.754142925,175884.754142925,177503.754142925,179750.754142925,181725.754142925,183202.754142925,183784.754142925,184217.754142925,186272.754142925,188249.754142925,190292.754142925,191127.754142925,191280.754142925,191592.754142925,192922.754142925,194072.754142925,195779.754142925,197085.754142925,198881.754142925,200108.754142925,200015.754142925,200614.754142925,201955.754142925,204045.754142925,205609.754142925,206377.754142925,207266.754142925,207967.754142925,209253.754142925,209583.42857142858,210771.85714285716,211960.28571428574,213148.71428571432,214337.1428571429,215525.57142857148,216714.00000000006,217902.42857142864,219090.85714285722,220279.2857142858,221467.71428571438,222656.14285714296,208438.10299993216,209152.1221863142,209976.52363324605,210858.06314272145,211776.1170229081,212720.10818904368,213683.75336761758,214662.9586583427,215654.88042836793,216657.44824592306,217669.09910226136,218688.6186950636,210728.754142925,212391.59209940012,213944.04779532543,215439.36542870718,216898.1686913777,218331.03466809928,219744.24663238254,221141.8984845146,222526.8338573465,223901.12318264853,225266.3294691674,226623.6670192223
48002," ARIMA(0,1,0)(0,0,0)[12] intercept",31174.91658867202,1956.69776091024,1309.5714285714284,189432.5714285714,188719.57142857142,187488.57142857142,186863.57142857142,185675.57142857142,186076.57142857142,187237.57142857142,190671.57142857142,193306.57142857142,194280.57142857142,193340.57142857142,191906.57142857142,191267.57142857142,191496.57142857142,193519.57142857142,195322.57142857142,196949.57142857142,197242.57142857142,198925.57142857142,199951.57142857142,202630.57142857142,206111.57142857142,210301.57142857142,213489.57142857142,215628.57142857142,217798.57142857142,220216.57142857142,223415.57142857142,226978.57142857142,230443.57142857142,232353.57142857142,233746.57142857142,233833.57142857142,234303.57142857142,233658.57142857142,-2368.515127462928,186320.19903873972,185607.19903873975,184376.19903873975,183751.19903873975,182563.19903873975,182964.19903873975,184125.19903873975,187559.19903873975,190194.19903873975,191168.19903873975,190228.19903873975,188794.19903873975,188155.19903873975,188384.19903873975,190407.19903873975,192210.19903873975,193837.19903873975,194130.19903873975,195813.19903873975,196839.19903873975,199518.19903873975,202999.19903873975,207189.19903873975,210377.19903873975,212516.19903873975,214686.19903873975,217104.19903873975,220303.19903873975,223866.19903873975,227331.19903873975,229241.19903873975,230634.19903873975,230721.19903873975,231191.19903873975,230546.19903873975,4987.657984605785,192544.94381840306,191831.9438184031,190600.9438184031,189975.9438184031,188787.9438184031,189188.9438184031,190349.9438184031,193783.9438184031,196418.9438184031,197392.9438184031,196452.9438184031,195018.9438184031,194379.9438184031,194608.9438184031,196631.9438184031,198434.9438184031,200061.9438184031,200354.9438184031,202037.9438184031,203063.9438184031,205742.9438184031,209223.9438184031,213413.9438184031,216601.9438184031,218740.9438184031,220910.9438184031,223328.9438184031,226527.9438184031,230090.9438184031,233555.9438184031,235465.9438184031,236858.9438184031,236945.9438184031,237415.9438184031,236770.9438184031,235267.57142857142,236577.14285714284,237886.71428571426,239196.28571428568,240505.8571428571,241815.42857142852,243124.99999999994,244434.57142857136,245744.14285714278,247053.7142857142,248363.28571428562,249672.85714285704,232155.19903873975,232175.58361228733,232495.92717445124,232971.54093462232,233546.3809079,234191.70432681427,234890.43666908154,235631.4529388603,236407.02568764775,237211.5286072246,238040.7142893522,238891.28292033097,238379.9438184031,240978.70210199835,243277.50139697728,245421.03049394905,247465.3333778142,249439.15281604277,251359.56333091835,253237.6899182824,255081.2600266378,256895.8999642038,258685.85713921904,260454.43136538312
48023," ARIMA(0,1,0)(0,0,0)[12] intercept",31655.217811846473,3357.12577645091,1033.3142857142855,191874.31428571427,193723.3142857143,193624.3142857143,192369.3142857143,190998.3142857143,190825.3142857143,191365.3142857143,193250.3142857143,195010.3142857143,196670.3142857143,197421.3142857143,196981.3142857143,196710.3142857143,197240.3142857143,198874.3142857143,200234.3142857143,201309.3142857143,202274.3142857143,203645.3142857143,204835.3142857143,206846.3142857143,209288.3142857143,212523.3142857143,215130.3142857143,215389.3142857143,214659.3142857143,214906.3142857143,217145.3142857143,219552.3142857143,221709.3142857143,224133.3142857143,226226.3142857143,226708.3142857143,226646.3142857143,226385.3142857143,-1965.6552119497298,189604.43340178556,191453.4334017856,191354.4334017856,190099.4334017856,188728.4334017856,188555.4334017856,189095.4334017856,190980.4334017856,192740.4334017856,194400.4334017856,195151.4334017856,194711.4334017856,194440.4334017856,194970.4334017856,196604.4334017856,197964.4334017856,199039.4334017856,200004.4334017856,201375.4334017856,202565.4334017856,204576.4334017856,207018.4334017856,210253.4334017856,212860.4334017856,213119.4334017856,212389.4334017856,212636.4334017856,214875.4334017856,217282.4334017856,219439.4334017856,221863.4334017856,223956.4334017856,224438.4334017856,224376.4334017856,224115.4334017856,4032.2837833783005,194144.19516964298,195993.195169643,195894.195169643,194639.195169643,193268.195169643,193095.195169643,193635.195169643,195520.195169643,197280.195169643,198940.195169643,199691.195169643,199251.195169643,198980.195169643,199510.195169643,201144.195169643,202504.195169643,203579.195169643,204544.195169643,205915.195169643,207105.195169643,209116.195169643,211558.195169643,214793.195169643,217400.195169643,217659.195169643,216929.195169643,217176.195169643,219415.195169643,221822.195169643,223979.195169643,226403.195169643,228496.195169643,228978.195169643,228916.195169643,228655.195169643,228040.3142857143,229073.6285714286,230106.9428571429,231140.25714285718,232173.57142857148,233206.88571428577,234240.20000000007,235273.51428571437,236306.82857142866,237340.14285714296,238373.45714285725,239406.77142857155,225770.4334017856,225863.53224040515,226175.39383904898,226600.49537499974,227097.96347127954,227646.83577176277,228234.6596753852,228853.32162366752,229497.1859196425,230162.1492466519,230845.11393206543,231543.67339238376,230310.195169643,232283.72490245203,234038.4918752368,235680.01891071463,237249.17938586342,238766.93565680878,240245.74032461495,241693.7069477612,243116.47122321482,244518.136467634,245901.80035364907,247269.86946475934
48025," ARIMA(0,1,0)(0,0,0)[12] intercept",62467.437316734,6483.573564765519,1545.2571428571425,377809.2571428571,378374.2571428571,378230.2571428571,377561.2571428571,377723.2571428571,378292.2571428571,380507.2571428571,382885.2571428571,385154.2571428571,388493.2571428571,391265.2571428571,393488.2571428571,394797.2571428571,395797.2571428571,400039.2571428571,403466.2571428571,407124.2571428571,407856.2571428571,408434.2571428571,409416.2571428571,412034.2571428571,413114.2571428571,414186.2571428571,415165.2571428571,417357.2571428571,419768.2571428571,419572.2571428571,421149.2571428571,423290.2571428571,426789.2571428571,428600.2571428571,427886.2571428571,427460.2571428571,426499.2571428571,428957.2571428571,-1757.231882731967,375151.25508427207,375716.25508427207,375572.25508427207,374903.25508427207,375065.25508427207,375634.25508427207,377849.25508427207,380227.25508427207,382496.25508427207,385835.25508427207,388607.25508427207,390830.25508427207,392139.25508427207,393139.25508427207,397381.25508427207,400808.25508427207,404466.25508427207,405198.25508427207,405776.25508427207,406758.25508427207,409376.25508427207,410456.25508427207,411528.25508427207,412507.25508427207,414699.25508427207,417110.25508427207,416914.25508427207,418491.25508427207,420632.25508427207,424131.25508427207,425942.25508427207,425228.25508427207,424802.25508427207,423841.25508427207,426299.25508427207,4847.746168446252,380467.2592014422,381032.2592014422,380888.2592014422,380219.2592014422,380381.2592014422,380950.2592014422,383165.2592014422,385543.2592014422,387812.2592014422,391151.2592014422,393923.2592014422,396146.2592014422,397455.2592014422,398455.2592014422,402697.2592014422,406124.2592014422,409782.2592014422,410514.2592014422,411092.2592014422,412074.2592014422,414692.2592014422,415772.2592014422,416844.2592014422,417823.2592014422,420015.2592014422,422426.2592014422,422230.2592014422,423807.2592014422,425948.2592014422,429447.2592014422,431258.2592014422,430544.2592014422,430118.2592014422,429157.2592014422,431615.2592014422,431893.2571428571,433438.51428571425,434983.7714285714,436529.0285714285,438074.2857142856,439619.54285714275,441164.7999999999,442710.057142857,444255.3142857141,445800.57142857125,447345.82857142837,448891.0857142855,429235.25508427207,429679.5317256477,430379.9768164794,431213.0244542584,432130.8124269551,433108.7940783421,434132.3875686861,435192.0920227238,436281.30810995895,437395.23089802614,438530.2330511095,439683.49649010156,434551.2592014422,437197.4968457808,439587.56604066334,441845.0326885986,444017.75900161616,446130.2916359434,448197.21243131364,450228.0222629902,452229.3204614693,454205.91195911635,456161.42409174726,458098.6749384694
48015," ARIMA(0,2,0)(0,0,1)[12]          ",13994.040346222317,8588.918603039321,0.0,113847.80599476633,74987.00000000001,74932.0,75597.0,76084.0,76675.0,77369.0,78329.0,79081.0,78757.0,78981.0,79264.09806808886,80538.02923352271,81574.30521403268,82750.48647959634,83757.71764352145,85150.36815891117,86072.22698067188,87130.18544881689,88224.07405010755,89830.65195992033,91564.9328718683,92879.36815891115,93246.68603941577,94317.33774781945,95925.89574973547,98723.06724396595,101361.3826573734,102314.86989664206,102766.94787376621,101890.79872931237,102961.34929111759,103730.36674830485,106152.6827205988,106787.22432594573,-2873.1410496352705,112227.35937996536,74230.6787390857,74175.67873908569,74840.67873908569,75327.67873908569,75918.67873908569,76612.67873908569,77572.67873908569,78324.67873908569,78000.67873908569,78224.67873908569,78507.97530370716,79782.0793603784,80819.68993932579,81995.87120488945,83003.10236881457,84395.75288420428,85317.611705965,86375.57017411,87469.45877540066,89076.03668521345,90810.31759716141,92124.75288420427,92492.07166190403,93562.72415167815,95171.28820608657,97968.45970031705,100606.77511372449,101560.26235299316,102012.34033011731,101136.19118566347,102206.74174746868,102975.75920465594,105398.07517694989,106032.61678229683,2873.1410496352705,115468.2526095673,75743.32126091432,75688.32126091431,76353.32126091431,76840.32126091431,77431.32126091431,78125.32126091431,79085.32126091431,79837.32126091431,79513.32126091431,79737.32126091431,80020.22083247056,81293.97910666703,82328.92048873956,83505.10175430322,84512.33291822833,85904.98343361805,86826.84225537877,87884.80072352377,88978.68932481443,90585.26723462722,92319.54814657518,93633.98343361804,94001.30041692751,95071.95134396074,96680.50329338438,99477.67478761486,102115.9902010223,103069.47744029097,103521.55541741512,102645.40627296128,103715.95683476649,104484.97429195375,106907.2902642477,107541.83186959464,109060.90989095542,110727.46652019637,112343.37365521363,113938.92044560854,115581.42666855852,117264.3167095471,119012.14157516602,120726.23618115528,122433.20640332247,124081.12972047192,125760.99506193073,127401.35957296696,108306.30235138618,109040.11277333043,109519.89080416746,109805.76478052713,109985.10746074497,110065.81970213307,110083.50493760685,109948.28494824738,109693.96522224614,109274.66098341692,108786.51864767984,108162.5672490423,109815.51743052465,112414.8202670623,115166.85650625979,118072.07611068996,121177.74587637206,124462.81371696113,127940.7782127252,131504.18741406317,135172.44758439882,138887.5984575269,142735.47147618164,146640.15189689162
48009," ARIMA(0,1,0)(0,0,0)[12] intercept",84964.70345437597,11991.877318194009,2340.8857142857137,514424.8857142857,515821.8857142857,517016.8857142857,518065.8857142857,520402.8857142857,523108.8857142857,525626.8857142857,527653.8857142857,529360.8857142857,533084.8857142857,535889.8857142857,538293.8857142857,540321.8857142857,542250.8857142857,547944.8857142857,551587.8857142857,555532.8857142857,557134.8857142857,558986.8857142857,560197.8857142857,562906.8857142857,564459.8857142857,567208.8857142857,569888.8857142857,573087.8857142857,575280.8857142857,574847.8857142857,576161.8857142857,579628.8857142857,584129.8857142857,586661.8857142857,589735.8857142857,592643.8857142857,594366.8857142857,595577.8857142857,-640.5323355822757,512178.244940289,513575.244940289,514770.244940289,515819.244940289,518156.244940289,520862.244940289,523380.24494028895,525407.244940289,527114.244940289,530838.244940289,533643.244940289,536047.244940289,538075.244940289,540004.244940289,545698.244940289,549341.244940289,553286.244940289,554888.244940289,556740.244940289,557951.244940289,560660.244940289,562213.244940289,564962.244940289,567642.244940289,570841.244940289,573034.244940289,572601.244940289,573915.244940289,577382.244940289,581883.244940289,584415.244940289,587489.244940289,590397.244940289,592120.244940289,593331.244940289,5322.303764153703,516671.5264882824,518068.5264882824,519263.5264882824,520312.5264882824,522649.5264882824,525355.5264882824,527873.5264882824,529900.5264882824,531607.5264882824,535331.5264882824,538136.5264882824,540540.5264882824,542568.5264882824,544497.5264882824,550191.5264882824,553834.5264882824,557779.5264882824,559381.5264882824,561233.5264882824,562444.5264882824,565153.5264882824,566706.5264882824,569455.5264882824,572135.5264882824,575334.5264882824,577527.5264882824,577094.5264882824,578408.5264882824,581875.5264882824,586376.5264882824,588908.5264882824,591982.5264882824,594890.5264882824,596613.5264882824,597824.5264882824,596355.8857142857,598696.7714285713,601037.657142857,603378.5428571426,605719.4285714283,608060.314285714,610401.1999999996,612742.0857142853,615082.9714285709,617423.8571428566,619764.7428571422,622105.6285714279,594109.244940289,595519.5415762048,597146.3611759389,598885.2613091492,600695.7870797489,602557.1907540906,604457.1472267066,606387.6260095522,608343.0491065808,610319.3552128234,612313.4783710815,614323.0366375915,598602.5264882824,601874.0012809378,604928.9531097751,607871.824405136,610743.0700631076,613563.4378173373,616345.2527732926,619096.5454190184,621822.893750561,624528.3590728898,627216.007343203,629888.2205052642
48032," ARIMA(0,1,0)(0,0,0)[12] intercept",25828.01024210413,2206.7348774575757,619.8857142857141,156122.88571428572,156938.88571428572,157482.88571428572,157485.88571428572,157311.88571428572,157715.88571428572,158171.88571428572,159605.88571428572,160811.88571428572,160965.88571428572,160112.88571428572,158989.88571428572,159242.88571428572,160574.88571428572,161321.88571428572,161450.88571428572,162295.88571428572,163339.88571428572,164066.88571428572,163765.88571428572,164219.88571428572,166231.88571428572,169318.88571428572,171431.88571428572,172190.88571428572,171248.88571428572,171534.88571428572,172739.88571428572,174210.88571428572,174524.88571428572,175226.88571428572,176520.88571428572,177360.88571428572,177367.88571428572,176708.88571428572,-1974.404817734347,154423.21382129143,155239.21382129143,155783.21382129143,155786.21382129143,155612.21382129143,156016.21382129143,156472.21382129143,157906.21382129143,159112.21382129143,159266.21382129143,158413.21382129143,157290.21382129143,157543.21382129143,158875.21382129143,159622.21382129143,159751.21382129143,160596.21382129143,161640.21382129143,162367.21382129143,162066.21382129143,162520.21382129143,164532.21382129143,167619.21382129143,169732.21382129143,170491.21382129143,169549.21382129143,169835.21382129143,171040.21382129143,172511.21382129143,172825.21382129143,173527.21382129143,174821.21382129143,175661.21382129143,175668.21382129143,175009.21382129143,3214.1762463057753,157822.55760728,158638.55760728,159182.55760728,159185.55760728,159011.55760728,159415.55760728,159871.55760728,161305.55760728,162511.55760728,162665.55760728,161812.55760728,160689.55760728,160942.55760728,162274.55760728,163021.55760728,163150.55760728,163995.55760728,165039.55760728,165766.55760728,165465.55760728,165919.55760728,167931.55760728,171018.55760728,173131.55760728,173890.55760728,172948.55760728,173234.55760728,174439.55760728,175910.55760728,176224.55760728,176926.55760728,178220.55760728,179060.55760728,179067.55760728,178408.55760728,177818.88571428572,178438.77142857143,179058.65714285715,179678.54285714286,180298.42857142858,180918.3142857143,181538.2,182158.08571428573,182777.97142857144,183397.85714285716,184017.74285714288,184637.6285714286,176119.21382129143,176035.07238591454,176114.73906799426,176279.1990711543,176497.8466792476,176754.9854177279,177041.29086073072,177350.68762897197,177678.95574958855,178023.02268602522,178380.5689213677,178749.79242170282,179518.55760728,180842.47047122833,182002.57521772003,183077.88664313144,184099.01046360956,185081.6431537007,186035.1091392693,186965.4837995995,187876.98710755433,188772.6915996891,189654.91679291805,190525.46472115436
48033," ARIMA(0,2,0)(0,0,0)[12]          ",24905.36696266065,4018.9287959189655,0.0,205945.1638140757,131832.0,132236.99999999997,131866.0,132316.0,132545.0,133169.0,133991.0,135395.0,136396.0,136522.0,136367.0,137010.0,137557.0,140083.0,141499.0,143900.0,144715.0,145562.0,146794.0,149101.0,151294.0,152676.0,154508.0,155795.0,157545.0,157590.0,160766.0,162848.0,164515.0,167357.0,166986.0,169627.0,167616.0,171688.0,-3093.8747381762855,203898.47182822684,130457.53892229094,130862.53892229091,130491.53892229094,130941.53892229094,131170.53892229096,131794.53892229096,132616.53892229096,134020.53892229096,135021.53892229096,135147.53892229096,134992.53892229096,135635.53892229096,136182.53892229096,138708.53892229096,140124.53892229096,142525.53892229096,143340.53892229096,144187.53892229096,145419.53892229096,147726.53892229096,149919.53892229096,151301.53892229096,153133.53892229096,154420.53892229096,156170.53892229096,156215.53892229096,159391.53892229096,161473.53892229096,163140.53892229096,165982.53892229096,165611.53892229096,168252.53892229096,166241.53892229096,170313.53892229096,3093.8747381762855,207991.85579992455,133206.46107770904,133611.461077709,133240.46107770904,133690.46107770904,133919.46107770904,134543.46107770904,135365.46107770904,136769.46107770904,137770.46107770904,137896.46107770904,137741.46107770904,138384.46107770904,138931.46107770904,141457.46107770904,142873.46107770904,145274.46107770904,146089.46107770904,146936.46107770904,148168.46107770904,150475.46107770904,152668.46107770904,154050.46107770904,155882.46107770904,157169.46107770904,158919.46107770904,158964.46107770904,162140.46107770904,164222.46107770904,165889.46107770904,168731.46107770904,168360.46107770904,171001.46107770904,168990.46107770904,173062.46107770904,172353.0,173679.0,175005.0,176331.0,177657.0,178983.0,180309.0,181635.0,182961.0,184287.0,185613.0,186939.0,170978.53892229096,170605.61159781495,169862.23755575664,168802.7666332589,167463.72383492225,165871.4769715155,164046.15721101634,162003.76917144586,159757.42640822148,157318.12622220212,154695.2625893584,151896.98072043888,173727.46107770904,176752.38840218505,180147.76244424336,183859.2333667411,187850.27616507775,192094.5230284845,196571.84278898366,201266.23082855414,206164.57359177852,211255.87377779788,216530.7374106416,221981.01927956112
