zip_code,model_order,train_rmse,test_rmse,train_pred_2016-01-31,train_pred_2016-02-29,train_pred_2016-03-31,train_pred_2016-04-30,train_pred_2016-05-31,train_pred_2016-06-30,train_pred_2016-07-31,train_pred_2016-08-31,train_pred_2016-09-30,train_pred_2016-10-31,train_pred_2016-11-30,train_pred_2016-12-31,train_pred_2017-01-31,train_pred_2017-02-28,train_pred_2017-03-31,train_pred_2017-04-30,train_pred_2017-05-31,train_pred_2017-06-30,train_pred_2017-07-31,train_pred_2017-08-31,train_pred_2017-09-30,train_pred_2017-10-31,train_pred_2017-11-30,train_pred_2017-12-31,train_pred_2018-01-31,train_pred_2018-02-28,train_pred_2018-03-31,train_pred_2018-04-30,train_pred_2018-05-31,train_pred_2018-06-30,train_pred_2018-07-31,train_pred_2018-08-31,train_pred_2018-09-30,train_pred_2018-10-31,train_pred_2018-11-30,train_pred_2018-12-31,train_lci_2016-01-31,train_lci_2016-02-29,train_lci_2016-03-31,train_lci_2016-04-30,train_lci_2016-05-31,train_lci_2016-06-30,train_lci_2016-07-31,train_lci_2016-08-31,train_lci_2016-09-30,train_lci_2016-10-31,train_lci_2016-11-30,train_lci_2016-12-31,train_lci_2017-01-31,train_lci_2017-02-28,train_lci_2017-03-31,train_lci_2017-04-30,train_lci_2017-05-31,train_lci_2017-06-30,train_lci_2017-07-31,train_lci_2017-08-31,train_lci_2017-09-30,train_lci_2017-10-31,train_lci_2017-11-30,train_lci_2017-12-31,train_lci_2018-01-31,train_lci_2018-02-28,train_lci_2018-03-31,train_lci_2018-04-30,train_lci_2018-05-31,train_lci_2018-06-30,train_lci_2018-07-31,train_lci_2018-08-31,train_lci_2018-09-30,train_lci_2018-10-31,train_lci_2018-11-30,train_lci_2018-12-31,train_uci_2016-01-31,train_uci_2016-02-29,train_uci_2016-03-31,train_uci_2016-04-30,train_uci_2016-05-31,train_uci_2016-06-30,train_uci_2016-07-31,train_uci_2016-08-31,train_uci_2016-09-30,train_uci_2016-10-31,train_uci_2016-11-30,train_uci_2016-12-31,train_uci_2017-01-31,train_uci_2017-02-28,train_uci_2017-03-31,train_uci_2017-04-30,train_uci_2017-05-31,train_uci_2017-06-30,train_uci_2017-07-31,train_uci_2017-08-31,train_uci_2017-09-30,train_uci_2017-10-31,train_uci_2017-11-30,train_uci_2017-12-31,train_uci_2018-01-31,train_uci_2018-02-28,train_uci_2018-03-31,train_uci_2018-04-30,train_uci_2018-05-31,train_uci_2018-06-30,train_uci_2018-07-31,train_uci_2018-08-31,train_uci_2018-09-30,train_uci_2018-10-31,train_uci_2018-11-30,train_uci_2018-12-31,test_pred_2019-01-31,test_pred_2019-02-28,test_pred_2019-03-31,test_pred_2019-04-30,test_pred_2019-05-31,test_pred_2019-06-30,test_pred_2019-07-31,test_pred_2019-08-31,test_pred_2019-09-30,test_pred_2019-10-31,test_pred_2019-11-30,test_pred_2019-12-31,test_lci_2019-01-31,test_lci_2019-02-28,test_lci_2019-03-31,test_lci_2019-04-30,test_lci_2019-05-31,test_lci_2019-06-30,test_lci_2019-07-31,test_lci_2019-08-31,test_lci_2019-09-30,test_lci_2019-10-31,test_lci_2019-11-30,test_lci_2019-12-31,test_uci_2019-01-31,test_uci_2019-02-28,test_uci_2019-03-31,test_uci_2019-04-30,test_uci_2019-05-31,test_uci_2019-06-30,test_uci_2019-07-31,test_uci_2019-08-31,test_uci_2019-09-30,test_uci_2019-10-31,test_uci_2019-11-30,test_uci_2019-12-31
55019," ARIMA(0,1,0)(0,0,0)[12] intercept",35234.767467186284,5151.147127113431,1393.0285714285712,214014.02857142864,215105.0285714286,217590.0285714286,218252.0285714286,219703.0285714286,220482.0285714286,222598.0285714286,224708.0285714286,227475.0285714286,230109.0285714286,231846.0285714286,233183.0285714286,234345.0285714286,236087.0285714286,236246.0285714286,235279.0285714286,237435.0285714286,241688.0285714286,247441.0285714286,250137.0285714286,251832.0285714286,252833.0285714286,253977.0285714286,254839.0285714286,256203.0285714286,258179.0285714286,260811.0285714286,264121.02857142856,264114.02857142856,263543.02857142856,262052.02857142861,261039.0285714286,260264.0285714286,260242.0285714286,261611.0285714286,-2102.7515333725205,211119.37492713387,212210.37492713382,214695.37492713382,215357.37492713382,216808.37492713382,217587.37492713382,219703.37492713382,221813.37492713382,224580.37492713382,227214.37492713382,228951.37492713382,230288.37492713382,231450.37492713382,233192.37492713382,233351.37492713382,232384.37492713382,234540.37492713382,238793.37492713382,244546.37492713382,247242.37492713382,248937.37492713382,249938.37492713382,251082.37492713382,251944.37492713382,253308.37492713382,255284.37492713382,257916.37492713382,261226.3749271338,261219.3749271338,260648.3749271338,259157.37492713385,258144.37492713382,257369.37492713382,257347.37492713382,258716.37492713382,4888.808676229663,216908.6822157234,217999.68221572335,220484.68221572335,221146.68221572335,222597.68221572335,223376.68221572335,225492.68221572335,227602.68221572335,230369.68221572335,233003.68221572335,234740.68221572335,236077.68221572335,237239.68221572335,238981.68221572335,239140.68221572335,238173.68221572335,240329.68221572335,244582.68221572335,250335.68221572335,253031.68221572335,254726.68221572335,255727.68221572335,256871.68221572335,257733.68221572335,259097.68221572335,261073.68221572335,263705.6822157234,267015.6822157233,267008.6822157233,266437.6822157233,264946.6822157234,263933.6822157234,263158.6822157234,263136.6822157234,264505.6822157234,262770.02857142856,264163.0571428571,265556.08571428567,266949.1142857142,268342.1428571428,269735.17142857134,271128.1999999999,272521.22857142845,273914.257142857,275307.28571428556,276700.3142857141,278093.3428571427,259875.3749271338,260069.39870072273,260542.39853205273,261159.8069971247,261869.50053718218,262644.74701796134,263469.6663255291,264333.9116871597,265230.2962099727,266153.5871610072,267099.8342495535,268065.9684926768,265664.6822157233,268256.7155849915,270569.77289651864,272738.42157430376,274814.7851771034,276825.59583918133,278786.7336744707,280708.5454556972,282598.2180757413,284460.9842675639,286300.79432187474,288120.71722160856
55020," ARIMA(0,1,0)(0,0,0)[12] intercept",52847.57534577159,4629.118914049398,1465.1714285714284,319991.17142857146,321163.17142857146,322656.17142857146,324288.17142857146,325267.17142857146,325845.17142857146,327340.17142857146,329458.17142857146,331439.17142857146,333544.17142857146,334852.17142857146,337025.17142857146,339005.17142857146,340922.17142857146,341816.17142857146,343206.17142857146,345311.17142857146,348325.17142857146,350036.17142857146,351305.17142857146,352227.17142857146,353423.17142857146,354649.17142857146,355161.17142857146,356403.17142857146,358606.17142857146,361603.17142857146,363139.17142857146,364031.17142857146,363658.17142857146,364682.17142857146,365247.17142857146,366467.17142857146,367933.17142857146,369550.17142857146,-891.7943295783621,318682.03859940683,319854.03859940683,321347.03859940683,322979.03859940683,323958.03859940683,324536.03859940683,326031.03859940683,328149.03859940683,330130.03859940683,332235.03859940683,333543.03859940683,335716.03859940683,337696.03859940683,339613.03859940683,340507.03859940683,341897.03859940683,344002.03859940683,347016.03859940683,348727.03859940683,349996.03859940683,350918.03859940683,352114.03859940683,353340.03859940683,353852.03859940683,355094.03859940683,357297.03859940683,360294.03859940683,361830.03859940683,362722.03859940683,362349.03859940683,363373.03859940683,363938.03859940683,365158.03859940683,366624.03859940683,368241.03859940683,3822.1371867212188,321300.3042577361,322472.3042577361,323965.3042577361,325597.3042577361,326576.3042577361,327154.3042577361,328649.3042577361,330767.3042577361,332748.3042577361,334853.3042577361,336161.3042577361,338334.3042577361,340314.3042577361,342231.3042577361,343125.3042577361,344515.3042577361,346620.3042577361,349634.3042577361,351345.3042577361,352614.3042577361,353536.3042577361,354732.3042577361,355958.3042577361,356470.3042577361,357712.3042577361,359915.3042577361,362912.3042577361,364448.3042577361,365340.3042577361,364967.3042577361,365991.3042577361,366556.3042577361,367776.3042577361,369242.3042577361,370859.3042577361,371272.17142857146,372737.3428571429,374202.51428571437,375667.6857142858,377132.8571428573,378598.02857142873,380063.2000000002,381528.37142857164,382993.5428571431,384458.71428571455,385923.885714286,387389.05714285746,369963.03859940683,370885.9494551905,371935.0297117449,373049.42005595664,374205.54714526865,375391.32113444933,376599.5601008803,377825.5846246668,379066.1443696493,380318.8727858543,381581.98331921065,382854.0879949185,372581.3042577361,374588.7362590953,376469.9988596838,378285.951372615,380060.1671404459,381804.73600840813,383526.8398991201,385231.1582324765,386920.9413446369,388598.5557855748,390265.78810936137,391924.0262907964
55014," ARIMA(0,1,0)(0,0,0)[12] intercept",37739.27869685763,5313.84915398364,1328.8857142857141,229057.88571428572,230894.88571428572,232039.88571428572,233205.88571428572,233678.88571428572,234107.88571428572,234761.88571428572,236189.88571428572,237234.88571428572,238881.88571428572,240772.88571428572,243008.88571428572,244763.88571428572,245844.88571428572,245905.88571428572,246849.88571428572,248554.88571428572,251074.88571428572,252178.88571428572,252665.88571428572,253793.88571428572,254812.88571428572,255499.88571428572,255646.88571428572,255946.88571428572,257248.88571428572,259643.88571428572,262052.88571428572,263728.8857142857,264704.8857142857,266210.8857142857,268451.8857142857,270160.8857142857,271470.8857142857,273000.8857142857,-1039.3915176496967,227728.4955433391,229565.4955433391,230710.4955433391,231876.4955433391,232349.4955433391,232778.4955433391,233432.4955433391,234860.4955433391,235905.4955433391,237552.4955433391,239443.4955433391,241679.4955433391,243434.4955433391,244515.4955433391,244576.4955433391,245520.4955433391,247225.4955433391,249745.4955433391,250849.4955433391,251336.4955433391,252464.4955433391,253483.4955433391,254170.4955433391,254317.4955433391,254617.4955433391,255919.4955433391,258314.4955433391,260723.4955433391,262399.49554333906,263375.49554333906,264881.49554333906,267122.49554333906,268831.49554333906,270141.49554333906,271671.49554333906,3697.162946221125,230387.27588523235,232224.27588523235,233369.27588523235,234535.27588523235,235008.27588523235,235437.27588523235,236091.27588523235,237519.27588523235,238564.27588523235,240211.27588523235,242102.27588523235,244338.27588523235,246093.27588523235,247174.27588523235,247235.27588523235,248179.27588523235,249884.27588523235,252404.27588523235,253508.27588523235,253995.27588523235,255123.27588523235,256142.27588523235,256829.27588523235,256976.27588523235,257276.27588523235,258578.27588523235,260973.27588523235,263382.2758852324,265058.2758852324,266034.2758852324,267540.2758852324,269781.2758852324,271490.2758852324,272800.2758852324,274330.2758852324,275568.8857142857,276897.77142857143,278226.65714285715,279555.54285714286,280884.4285714286,282213.3142857143,283542.2,284871.0857142857,286199.97142857144,287528.85714285716,288857.7428571429,290186.6285714286,274239.49554333906,275017.72981913324,275924.0858236949,276896.7625152496,277911.82178057183,278956.98669782374,280024.9642123016,281111.0024954093,282211.8009157315,283324.9563036252,284448.6544601265,285581.48593310406,276898.2758852324,278777.8130380096,280529.2284620194,282214.3231990361,283857.0353622853,285469.64187360485,287059.4357876984,288631.1689331622,290188.14194141136,291732.7579820891,293266.8312541593,294791.7712097531
55017," ARIMA(0,2,0)(0,0,0)[12]          ",32425.50620141046,11664.680953630923,0.0,263993.57146747573,170260.00000000006,170189.99999999997,172409.0,173412.0,174826.0,175470.0,175681.0,177271.0,177144.0,177589.0,178334.0,180069.0,182206.0,183377.0,183941.0,184481.0,185377.0,186433.0,188484.0,188935.0,190809.0,191639.0,193266.0,194397.0,195249.0,196700.0,197514.0,198759.0,199218.0,199911.0,201107.0,203026.0,205323.0,210210.0,-2915.226196062684,262284.5680545935,169356.87977941928,169286.8797794192,171505.87977941922,172508.87977941922,173922.87977941922,174566.87977941922,174777.87977941922,176367.87977941922,176240.87977941922,176685.87977941922,177430.87977941922,179165.87977941922,181302.87977941922,182473.87977941922,183037.87977941922,183577.87977941922,184473.87977941922,185529.87977941922,187580.87977941922,188031.87977941922,189905.87977941922,190735.87977941922,192362.87977941922,193493.87977941922,194345.87977941922,195796.87977941922,196610.87977941922,197855.87977941922,198314.87977941922,199007.87977941922,200203.87977941922,202122.87977941922,204419.87977941922,209306.87977941922,2915.226196062684,265702.57488035795,171163.12022058084,171093.12022058075,173312.12022058078,174315.12022058078,175729.12022058078,176373.12022058078,176584.12022058078,178174.12022058078,178047.12022058078,178492.12022058078,179237.12022058078,180972.12022058078,183109.12022058078,184280.12022058078,184844.12022058078,185384.12022058078,186280.12022058078,187336.12022058078,189387.12022058078,189838.12022058078,191712.12022058078,192542.12022058078,194169.12022058078,195300.12022058078,196152.12022058078,197603.12022058078,198417.12022058078,199662.12022058078,200121.12022058078,200814.12022058078,202010.12022058078,203929.12022058078,206226.12022058078,211113.12022058078,212713.0,215654.0,218595.0,221536.0,224477.0,227418.0,230359.0,233300.0,236241.0,239182.0,242123.0,245064.0,211809.87977941922,213634.5617949268,215215.83355551906,216589.40683048873,217779.2811864634,218802.78217995688,219673.1374426273,220400.86316470522,220994.57589943698,221461.5016679436,221807.81299106852,222038.86186069224,213616.12022058078,217673.4382050732,221974.16644448094,226482.59316951127,231174.7188135366,236033.21782004312,241044.8625573727,246199.13683529478,251487.42410056302,256902.4983320564,262438.1870089315,268089.1381393078
55003," ARIMA(0,1,0)(0,0,0)[12] intercept",37067.95723264718,5871.888171676879,1375.1428571428569,225059.14285714284,228061.14285714287,229781.14285714287,229807.14285714287,229715.14285714287,229709.14285714287,230910.14285714287,231409.14285714287,232015.14285714287,233262.14285714287,234616.14285714287,236376.14285714287,236513.14285714287,238024.14285714287,240832.14285714287,244712.14285714287,247096.14285714287,248557.14285714287,249151.14285714287,250291.14285714287,251448.14285714287,254292.14285714287,257896.14285714287,260971.14285714287,263535.14285714284,263997.14285714284,264707.14285714284,264295.14285714284,264927.14285714284,267004.14285714284,269486.14285714284,271370.14285714284,271626.14285714284,271933.14285714284,272228.14285714284,-1569.0253647734148,222862.1750152645,225864.17501526454,227584.17501526454,227610.17501526454,227518.17501526454,227512.17501526454,228713.17501526454,229212.17501526454,229818.17501526454,231065.17501526454,232419.17501526454,234179.17501526454,234316.17501526454,235827.17501526454,238635.17501526454,242515.17501526454,244899.17501526454,246360.17501526454,246954.17501526454,248094.17501526454,249251.17501526454,252095.17501526454,255699.17501526454,258774.17501526454,261338.1750152645,261800.1750152645,262510.17501526454,262098.1750152645,262730.17501526454,264807.17501526454,267289.17501526454,269173.17501526454,269429.17501526454,269736.17501526454,270031.17501526454,4319.311079059129,227256.11069902117,230258.1106990212,231978.1106990212,232004.1106990212,231912.1106990212,231906.1106990212,233107.1106990212,233606.1106990212,234212.1106990212,235459.1106990212,236813.1106990212,238573.1106990212,238710.1106990212,240221.1106990212,243029.1106990212,246909.1106990212,249293.1106990212,250754.1106990212,251348.1106990212,252488.1106990212,253645.1106990212,256489.1106990212,260093.1106990212,263168.1106990212,265732.11069902114,266194.11069902114,266904.11069902114,266492.11069902114,267124.11069902114,269201.11069902114,271683.11069902114,273567.11069902114,273823.11069902114,274130.11069902114,274425.11069902114,273189.14285714284,274564.2857142857,275939.4285714285,277314.57142857136,278689.7142857142,280064.85714285704,281439.9999999999,282815.1428571427,284190.28571428556,285565.4285714284,286940.57142857125,288315.7142857141,270992.17501526454,271457.3039962038,272134.16864670033,272920.6357448147,273777.14484689326,274683.4069489516,275627.36945198354,276601.179420979,277599.3821886506,278618.00624494825,279654.053420584,280705.1944362577,275386.11069902114,277671.26743236755,279744.6884961567,281708.507112328,283602.28372453514,285446.3073367625,287252.6305480162,289029.10629330645,290781.1892399205,292512.85089790856,294227.0894365585,295926.23413517047
55007," ARIMA(0,2,0)(0,0,0)[12]          ",23892.189854913213,255.52886334032794,0.0,192906.2779459182,129002.00000000003,129696.0,130439.0,130854.0,131323.0,131822.0,132617.0,132977.0,133175.0,133568.0,134130.0,134521.0,135012.0,135616.0,136792.0,136936.0,137469.0,137585.0,138507.0,139226.0,139869.0,140777.0,141439.0,142615.0,143372.0,144149.0,144356.0,145211.0,145842.0,147045.0,147769.0,148634.0,149802.0,150599.0,-2788.6500173801865,191478.86365666488,128695.97503689038,129389.97503689035,130132.97503689035,130547.97503689035,131016.97503689035,131515.97503689033,132310.97503689033,132670.97503689033,132868.97503689033,133261.97503689033,133823.97503689033,134214.97503689033,134705.97503689033,135309.97503689033,136485.97503689033,136629.97503689033,137162.97503689033,137278.97503689033,138200.97503689033,138919.97503689033,139562.97503689033,140470.97503689033,141132.97503689033,142308.97503689033,143065.97503689033,143842.97503689033,144049.97503689033,144904.97503689033,145535.97503689033,146738.97503689033,147462.97503689033,148327.97503689033,149495.97503689033,150292.97503689033,2788.6500173801865,194333.69223517153,129308.02496310968,130002.02496310965,130745.02496310965,131160.02496310967,131629.02496310967,132128.02496310967,132923.02496310967,133283.02496310967,133481.02496310967,133874.02496310967,134436.02496310967,134827.02496310967,135318.02496310967,135922.02496310967,137098.02496310967,137242.02496310967,137775.02496310967,137891.02496310967,138813.02496310967,139532.02496310967,140175.02496310967,141083.02496310967,141745.02496310967,142921.02496310967,143678.02496310967,144455.02496310967,144662.02496310967,145517.02496310967,146148.02496310967,147351.02496310967,148075.02496310967,148940.02496310967,150108.02496310967,150905.02496310967,151235.0,152004.0,152773.0,153542.0,154311.0,155080.0,155849.0,156618.0,157387.0,158156.0,158925.0,159694.0,150928.97503689033,151319.70737967495,151627.95943624355,151865.83224545157,152041.45813157267,152160.70791077527,152228.06380524635,152247.08925720988,152220.70401126827,152151.35662609243,152041.13867866222,151891.8637072868,151541.02496310967,152688.29262032505,153918.04056375645,155218.16775454843,156580.54186842733,157999.29208922473,159469.93619475365,160988.91074279012,162553.29598873173,164160.64337390757,165808.86132133778,167496.1362927132
55013," ARIMA(0,1,0)(0,0,0)[12] intercept",40880.92441546982,4112.109651925,1412.6285714285714,247934.62857142856,248589.62857142856,248721.62857142856,251407.62857142856,252711.62857142856,254167.62857142856,254379.62857142856,258226.62857142856,261564.62857142856,264585.6285714286,265860.6285714286,268263.6285714286,271766.6285714286,275636.6285714286,278563.6285714286,279716.6285714286,280238.6285714286,281355.6285714286,282416.6285714286,283727.6285714286,284078.6285714286,285753.6285714286,287399.6285714286,288939.6285714286,287945.6285714286,286523.6285714286,286935.6285714286,289793.6285714286,293374.6285714286,296456.6285714286,299131.6285714286,301160.6285714286,301249.6285714286,299667.6285714286,297371.6285714286,-2237.558358250664,244855.2770486389,245510.2770486389,245642.2770486389,248328.2770486389,249632.2770486389,251088.2770486389,251300.2770486389,255147.2770486389,258485.2770486389,261506.27704863893,262781.2770486389,265184.2770486389,268687.2770486389,272557.2770486389,275484.2770486389,276637.2770486389,277159.2770486389,278276.2770486389,279337.2770486389,280648.2770486389,280999.2770486389,282674.2770486389,284320.2770486389,285860.2770486389,284866.2770486389,283444.2770486389,283856.2770486389,286714.2770486389,290295.2770486389,293377.2770486389,296052.2770486389,298081.2770486389,298170.2770486389,296588.2770486389,294292.2770486389,5062.815501107807,251013.98009421822,251668.98009421822,251800.98009421822,254486.98009421822,255790.98009421822,257246.98009421822,257458.98009421822,261305.98009421822,264643.9800942182,267664.9800942183,268939.9800942183,271342.9800942183,274845.9800942183,278715.9800942183,281642.9800942183,282795.9800942183,283317.9800942183,284434.9800942183,285495.9800942183,286806.9800942183,287157.9800942183,288832.9800942183,290478.9800942183,292018.9800942183,291024.9800942183,289602.9800942183,290014.9800942183,292872.9800942183,296453.9800942183,299535.9800942183,302210.9800942183,304239.9800942183,304328.9800942183,302746.9800942183,300450.9800942183,297376.6285714286,298789.2571428572,300201.8857142858,301614.51428571437,303027.14285714296,304439.77142857155,305852.40000000014,307265.02857142873,308677.6571428573,310090.2857142859,311502.9142857145,312915.5428571431,294297.2770486389,294434.3964560138,294868.2924224495,295455.81124013505,296141.50352556776,296896.9314590745,297705.20167135063,298555.307197742,299439.6025744883,300352.5211859627,301289.8606870117,302248.3562734705,300455.9800942183,303144.1178297006,305535.47900612204,307773.2173312937,309912.78218871815,311982.6113980686,313999.59832864965,315974.7499451155,317915.7117112263,319828.0502426091,321715.96788441733,323582.7294408157
55011," ARIMA(0,1,0)(0,0,0)[12] intercept",40660.59151593208,4081.710430831195,1385.3428571428572,246686.34285714285,249002.34285714285,250295.34285714285,251837.34285714285,252523.34285714285,253086.34285714285,253765.34285714285,255301.34285714285,256607.34285714285,258849.34285714285,261199.34285714285,263728.34285714285,266003.34285714285,267446.34285714285,267853.34285714285,268955.34285714285,271436.34285714285,274455.34285714285,276048.34285714285,276874.34285714285,278353.34285714285,279197.34285714285,279233.34285714285,278728.34285714285,278402.34285714285,279622.34285714285,281921.34285714285,284384.34285714285,286011.34285714285,287197.34285714285,288667.34285714285,290280.34285714285,291381.34285714285,292142.34285714285,293192.34285714285,-1145.65704838682,245084.9366934551,247400.9366934551,248693.9366934551,250235.9366934551,250921.9366934551,251484.9366934551,252163.9366934551,253699.9366934551,255005.9366934551,257247.9366934551,259597.9366934551,262126.9366934551,264401.9366934551,265844.9366934551,266251.9366934551,267353.9366934551,269834.9366934551,272853.9366934551,274446.9366934551,275272.9366934551,276751.9366934551,277595.9366934551,277631.9366934551,277126.9366934551,276800.9366934551,278020.9366934551,280319.9366934551,282782.9366934551,284409.9366934551,285595.9366934551,287065.9366934551,288678.9366934551,289779.9366934551,290540.9366934551,291590.9366934551,3916.3427626725343,248287.7490208306,250603.7490208306,251896.7490208306,253438.7490208306,254124.7490208306,254687.7490208306,255366.7490208306,256902.7490208306,258208.7490208306,260450.7490208306,262800.7490208306,265329.7490208306,267604.7490208306,269047.7490208306,269454.7490208306,270556.7490208306,273037.7490208306,276056.7490208306,277649.7490208306,278475.7490208306,279954.7490208306,280798.7490208306,280834.7490208306,280329.7490208306,280003.7490208306,281223.7490208306,283522.7490208306,285985.7490208306,287612.7490208306,288798.7490208306,290268.7490208306,291881.7490208306,292982.7490208306,293743.7490208306,294793.7490208306,295173.34285714285,296558.6857142857,297944.02857142856,299329.3714285714,300714.71428571426,302100.0571428571,303485.39999999997,304870.7428571428,306256.08571428567,307641.4285714285,309026.7714285714,310412.1142857142,293571.9366934551,294293.95539873064,295170.31173236744,296126.5591011959,297133.8612441213,298177.42917087424,299248.4775428762,300341.28222603264,301451.86722322245,302577.3376351428,303715.5080466567,304864.68060759193,296774.7490208306,298823.41602984077,300717.7454104897,302532.1837559469,304295.56732730725,306022.68511484,307722.3224571237,309400.203488253,311060.3042053489,312705.51950771426,314338.0348104861,315959.5479638365
55012," ARIMA(0,1,0)(0,0,0)[12] intercept",39263.28789261615,2032.133505376429,1346.1142857142856,238122.11428571428,238458.11428571428,238285.11428571428,239753.11428571428,240122.11428571428,240399.11428571428,240463.11428571428,242665.11428571428,244791.11428571428,246345.11428571428,247552.11428571428,249210.11428571428,252266.11428571428,255198.11428571428,257433.11428571428,258319.11428571428,259867.11428571428,262004.11428571428,263804.1142857143,266029.1142857143,269059.1142857143,273576.1142857143,276528.1142857143,278184.1142857143,277169.1142857143,276537.1142857143,277034.1142857143,280070.1142857143,282916.1142857143,285699.1142857143,287457.1142857143,288528.1142857143,288107.1142857143,286757.1142857143,285145.1142857143,-2057.9552758686505,235338.90916222782,235674.90916222782,235501.90916222782,236969.90916222782,237338.90916222782,237615.90916222782,237679.90916222782,239881.90916222782,242007.90916222782,243561.90916222782,244768.90916222782,246426.90916222782,249482.90916222782,252414.90916222782,254649.90916222782,255535.90916222782,257083.90916222782,259220.90916222782,261020.90916222782,263245.9091622278,266275.9091622278,270792.9091622278,273744.9091622278,275400.9091622278,274385.9091622278,273753.9091622278,274250.9091622278,277286.9091622278,280132.9091622278,282915.9091622278,284673.9091622278,285744.9091622278,285323.9091622278,283973.9091622278,282361.9091622278,4750.183847297221,240905.31940920075,241241.31940920075,241068.31940920075,242536.31940920075,242905.31940920075,243182.31940920075,243246.31940920075,245448.31940920075,247574.31940920075,249128.31940920075,250335.31940920075,251993.31940920075,255049.31940920075,257981.31940920075,260216.31940920075,261102.31940920075,262650.31940920075,264787.31940920075,266587.31940920075,268812.31940920075,271842.31940920075,276359.31940920075,279311.31940920075,280967.31940920075,279952.31940920075,279320.31940920075,279817.31940920075,282853.31940920075,285699.31940920075,288482.31940920075,290240.31940920075,291311.31940920075,290890.31940920075,289540.31940920075,287928.31940920075,285236.1142857143,286582.22857142857,287928.34285714285,289274.45714285714,290620.5714285714,291966.6857142857,293312.8,294658.9142857143,296005.02857142856,297351.14285714284,298697.2571428571,300043.3714285714,282452.9091622278,282646.18213892775,283107.6901753783,283708.0468958842,284397.13557712996,285149.253312244,285949.13139557396,286786.8214207126,287655.41320096917,288549.8754714754,289466.41003365774,290402.0660650423,288019.31940920075,290518.2750039294,292748.9955389074,294840.86738983006,296844.0072800129,298784.1181163274,300676.468604426,302531.007150716,304354.64394188795,306152.41024281026,307928.1042520565,309684.67679210054
55005," ARIMA(0,1,0)(0,0,0)[12] intercept",38204.95278856743,2668.1263057307665,1385.5999999999997,231950.6,234186.6,235432.6,237181.6,238213.6,238854.6,239255.6,240561.6,241868.6,244285.6,246716.6,249021.6,251180.6,252583.6,253037.6,253815.6,256177.6,259232.6,261316.6,262654.6,264104.6,264641.6,264699.6,264396.6,264280.6,265384.6,267746.6,270279.6,271769.6,272496.6,273415.6,274620.6,275800.6,276944.6,278217.6,-1138.890314756646,230359.50209961613,232595.50209961613,233841.50209961613,235590.50209961613,236622.50209961613,237263.50209961613,237664.50209961613,238970.50209961613,240277.50209961613,242694.50209961613,245125.50209961613,247430.50209961613,249589.50209961613,250992.50209961613,251446.50209961613,252224.50209961613,254586.50209961613,257641.50209961613,259725.50209961613,261063.5020996161,262513.5020996161,263050.5020996161,263108.5020996161,262805.5020996161,262689.5020996161,263793.5020996161,266155.5020996161,268688.5020996161,270178.5020996161,270905.5020996161,271824.5020996161,273029.5020996161,274209.5020996161,275353.5020996161,276626.5020996161,3910.090314756645,233541.69790038388,235777.69790038388,237023.69790038388,238772.69790038388,239804.69790038388,240445.69790038388,240846.69790038388,242152.69790038388,243459.69790038388,245876.69790038388,248307.69790038388,250612.69790038388,252771.69790038388,254174.69790038388,254628.69790038388,255406.69790038388,257768.69790038388,260823.69790038388,262907.6979003839,264245.69790038385,265695.69790038385,266232.69790038385,266290.69790038385,265987.69790038385,265871.69790038385,266975.69790038385,269337.69790038385,271870.69790038385,273360.69790038385,274087.69790038385,275006.69790038385,276211.69790038385,277391.69790038385,278535.69790038385,279808.69790038385,280446.6,281832.19999999995,283217.79999999993,284603.3999999999,285988.9999999999,287374.59999999986,288760.19999999984,290145.7999999998,291531.3999999998,292916.99999999977,294302.59999999974,295688.1999999997,278855.5020996161,279582.04777021374,280461.9375967189,281421.20419923216,282431.19693588436,283477.2220132457,284550.55064402707,285645.49554042734,286758.1062988482,287885.506654475,289025.52525970415,290176.47519343765,282037.69790038385,284082.35222978616,285973.66240328096,287785.59580076765,289546.8030641154,291271.97798675403,292969.8493559726,294646.1044595723,296304.6937011514,297948.49334552453,299579.67474029533,301199.9248065618
