zip_code,model_order,train_rmse,test_rmse,train_pred_2016-01-31,train_pred_2016-02-29,train_pred_2016-03-31,train_pred_2016-04-30,train_pred_2016-05-31,train_pred_2016-06-30,train_pred_2016-07-31,train_pred_2016-08-31,train_pred_2016-09-30,train_pred_2016-10-31,train_pred_2016-11-30,train_pred_2016-12-31,train_pred_2017-01-31,train_pred_2017-02-28,train_pred_2017-03-31,train_pred_2017-04-30,train_pred_2017-05-31,train_pred_2017-06-30,train_pred_2017-07-31,train_pred_2017-08-31,train_pred_2017-09-30,train_pred_2017-10-31,train_pred_2017-11-30,train_pred_2017-12-31,train_pred_2018-01-31,train_pred_2018-02-28,train_pred_2018-03-31,train_pred_2018-04-30,train_pred_2018-05-31,train_pred_2018-06-30,train_pred_2018-07-31,train_pred_2018-08-31,train_pred_2018-09-30,train_pred_2018-10-31,train_pred_2018-11-30,train_pred_2018-12-31,train_lci_2016-01-31,train_lci_2016-02-29,train_lci_2016-03-31,train_lci_2016-04-30,train_lci_2016-05-31,train_lci_2016-06-30,train_lci_2016-07-31,train_lci_2016-08-31,train_lci_2016-09-30,train_lci_2016-10-31,train_lci_2016-11-30,train_lci_2016-12-31,train_lci_2017-01-31,train_lci_2017-02-28,train_lci_2017-03-31,train_lci_2017-04-30,train_lci_2017-05-31,train_lci_2017-06-30,train_lci_2017-07-31,train_lci_2017-08-31,train_lci_2017-09-30,train_lci_2017-10-31,train_lci_2017-11-30,train_lci_2017-12-31,train_lci_2018-01-31,train_lci_2018-02-28,train_lci_2018-03-31,train_lci_2018-04-30,train_lci_2018-05-31,train_lci_2018-06-30,train_lci_2018-07-31,train_lci_2018-08-31,train_lci_2018-09-30,train_lci_2018-10-31,train_lci_2018-11-30,train_lci_2018-12-31,train_uci_2016-01-31,train_uci_2016-02-29,train_uci_2016-03-31,train_uci_2016-04-30,train_uci_2016-05-31,train_uci_2016-06-30,train_uci_2016-07-31,train_uci_2016-08-31,train_uci_2016-09-30,train_uci_2016-10-31,train_uci_2016-11-30,train_uci_2016-12-31,train_uci_2017-01-31,train_uci_2017-02-28,train_uci_2017-03-31,train_uci_2017-04-30,train_uci_2017-05-31,train_uci_2017-06-30,train_uci_2017-07-31,train_uci_2017-08-31,train_uci_2017-09-30,train_uci_2017-10-31,train_uci_2017-11-30,train_uci_2017-12-31,train_uci_2018-01-31,train_uci_2018-02-28,train_uci_2018-03-31,train_uci_2018-04-30,train_uci_2018-05-31,train_uci_2018-06-30,train_uci_2018-07-31,train_uci_2018-08-31,train_uci_2018-09-30,train_uci_2018-10-31,train_uci_2018-11-30,train_uci_2018-12-31,test_pred_2019-01-31,test_pred_2019-02-28,test_pred_2019-03-31,test_pred_2019-04-30,test_pred_2019-05-31,test_pred_2019-06-30,test_pred_2019-07-31,test_pred_2019-08-31,test_pred_2019-09-30,test_pred_2019-10-31,test_pred_2019-11-30,test_pred_2019-12-31,test_lci_2019-01-31,test_lci_2019-02-28,test_lci_2019-03-31,test_lci_2019-04-30,test_lci_2019-05-31,test_lci_2019-06-30,test_lci_2019-07-31,test_lci_2019-08-31,test_lci_2019-09-30,test_lci_2019-10-31,test_lci_2019-11-30,test_lci_2019-12-31,test_uci_2019-01-31,test_uci_2019-02-28,test_uci_2019-03-31,test_uci_2019-04-30,test_uci_2019-05-31,test_uci_2019-06-30,test_uci_2019-07-31,test_uci_2019-08-31,test_uci_2019-09-30,test_uci_2019-10-31,test_uci_2019-11-30,test_uci_2019-12-31
63014," ARIMA(0,1,0)(0,0,0)[12] intercept",24173.881698775065,4641.114081044023,706.2285714285713,146223.22857142857,147211.22857142857,147019.22857142857,149094.22857142857,149813.22857142857,152584.22857142857,153175.22857142857,155221.22857142857,156540.22857142857,158012.22857142857,157884.22857142857,157331.22857142857,157198.22857142857,157259.22857142857,158906.22857142857,159335.22857142857,161196.22857142857,161854.22857142857,164147.22857142857,164968.22857142857,165149.22857142857,165915.22857142857,167187.22857142857,167398.22857142857,167367.22857142857,167349.22857142857,167084.22857142857,165245.22857142857,162629.22857142857,160673.22857142857,160279.22857142857,160290.22857142857,161365.22857142857,163602.22857142857,166973.22857142857,-2646.1776838855017,143503.45488967217,144491.45488967217,144299.45488967217,146374.45488967217,147093.45488967217,149864.45488967217,150455.45488967217,152501.45488967217,153820.45488967217,155292.45488967217,155164.45488967217,154611.45488967217,154478.45488967217,154539.45488967217,156186.45488967217,156615.45488967217,158476.45488967217,159134.45488967217,161427.45488967217,162248.45488967217,162429.45488967217,163195.45488967217,164467.45488967217,164678.45488967217,164647.45488967217,164629.45488967217,164364.45488967217,162525.45488967217,159909.45488967217,157953.45488967217,157559.45488967217,157570.45488967217,158645.45488967217,160882.45488967217,164253.45488967217,4058.6348267426442,148943.00225318497,149931.00225318497,149739.00225318497,151814.00225318497,152533.00225318497,155304.00225318497,155895.00225318497,157941.00225318497,159260.00225318497,160732.00225318497,160604.00225318497,160051.00225318497,159918.00225318497,159979.00225318497,161626.00225318497,162055.00225318497,163916.00225318497,164574.00225318497,166867.00225318497,167688.00225318497,167869.00225318497,168635.00225318497,169907.00225318497,170118.00225318497,170087.00225318497,170069.00225318497,169804.00225318497,167965.00225318497,165349.00225318497,163393.00225318497,162999.00225318497,163010.00225318497,164085.00225318497,166322.00225318497,169693.00225318497,170941.22857142857,171647.45714285714,172353.6857142857,173059.91428571427,173766.14285714284,174472.3714285714,175178.59999999998,175884.82857142854,176591.0571428571,177297.28571428568,178003.51428571425,178709.74285714282,168221.45488967217,167801.1163155318,167642.89951239494,167620.36692220147,167684.54402132065,167810.31369241746,167982.755215694,168192.1469167779,168431.73609758788,168696.6061597535,168983.04546864476,169288.1704533613,173661.00225318497,175493.79797018247,177064.47191617647,178499.46164922707,179847.74169296504,181134.42916472536,182374.44478430596,183577.51022607918,184750.37818812634,185897.96526881788,187023.98310278374,188131.31526092434
63010," ARIMA(0,1,0)(0,0,0)[12] intercept",25442.8483660854,835.0107630981,431.2571428571428,153496.25714285715,153786.25714285715,154147.25714285715,154086.25714285715,154826.25714285715,155107.25714285715,155911.25714285715,155661.25714285715,156051.25714285715,156869.25714285715,158017.25714285715,159076.25714285715,159730.25714285715,160182.25714285715,160025.25714285715,160045.25714285715,159936.25714285715,160014.25714285715,159634.25714285715,159769.25714285715,159876.25714285715,160074.25714285715,160097.25714285715,160245.25714285715,160285.25714285715,160312.25714285715,160935.25714285715,161648.25714285715,162515.25714285715,163010.25714285715,164226.25714285715,165286.25714285715,166743.25714285715,167467.25714285715,168290.25714285715,-1719.0380857471664,152611.77381940535,152901.77381940535,153262.77381940535,153201.77381940535,153941.77381940535,154222.77381940535,155026.77381940535,154776.77381940535,155166.77381940535,155984.77381940535,157132.77381940535,158191.77381940535,158845.77381940535,159297.77381940535,159140.77381940535,159160.77381940535,159051.77381940535,159129.77381940535,158749.77381940535,158884.77381940535,158991.77381940535,159189.77381940535,159212.77381940535,159360.77381940535,159400.77381940535,159427.77381940535,160050.77381940535,160763.77381940535,161630.77381940535,162125.77381940535,163341.77381940535,164401.77381940535,165858.77381940535,166582.77381940535,167405.77381940535,2581.552371461452,154380.74046630895,154670.74046630895,155031.74046630895,154970.74046630895,155710.74046630895,155991.74046630895,156795.74046630895,156545.74046630895,156935.74046630895,157753.74046630895,158901.74046630895,159960.74046630895,160614.74046630895,161066.74046630895,160909.74046630895,160929.74046630895,160820.74046630895,160898.74046630895,160518.74046630895,160653.74046630895,160760.74046630895,160958.74046630895,160981.74046630895,161129.74046630895,161169.74046630895,161196.74046630895,161819.74046630895,162532.74046630895,163399.74046630895,163894.74046630895,165110.74046630895,166170.74046630895,167627.74046630895,168351.74046630895,169174.74046630895,168590.25714285715,169021.5142857143,169452.77142857146,169884.02857142861,170315.28571428577,170746.54285714292,171177.80000000008,171609.05714285723,172040.31428571438,172471.57142857154,172902.8285714287,173334.08571428584,167705.77381940535,167770.66597399596,167920.80137390556,168115.061924525,168337.5208780826,168580.01002868498,168837.6770873627,169107.3605194205,169386.864315359,169674.58957402845,169969.32925421253,170270.14560495407,169474.74046630895,170272.36259743266,170984.74148323736,171652.99521833222,172293.05055048893,172913.07568560087,173517.92291263744,174110.75376629396,174693.76425606976,175268.55328311463,175836.32788864485,176398.02582361762
63016," ARIMA(0,1,0)(0,0,0)[12] intercept",25455.53779579909,1870.5633882484606,420.42857142857133,153540.42857142855,153967.42857142858,153995.42857142858,153460.42857142858,153550.42857142858,153455.42857142858,154334.42857142858,154482.42857142858,155599.42857142858,156359.42857142858,156836.42857142858,157396.42857142858,158189.42857142858,159101.42857142858,159932.42857142858,161011.42857142858,161604.42857142858,161752.42857142858,161400.42857142858,161812.42857142858,162082.42857142858,162574.42857142858,162471.42857142858,162480.42857142858,161830.42857142858,161104.42857142858,160680.42857142858,160806.42857142858,161817.42857142858,163004.42857142858,164214.42857142858,164853.42857142858,165762.42857142858,166716.42857142858,167751.42857142858,-1808.8514496157802,152478.24657594314,152905.24657594317,152933.24657594317,152398.24657594317,152488.24657594317,152393.24657594317,153272.24657594317,153420.24657594317,154537.24657594317,155297.24657594317,155774.24657594317,156334.24657594317,157127.24657594317,158039.24657594317,158870.24657594317,159949.24657594317,160542.24657594317,160690.24657594317,160338.24657594317,160750.24657594317,161020.24657594317,161512.24657594317,161409.24657594317,161418.24657594317,160768.24657594317,160042.24657594317,159618.24657594317,159744.24657594317,160755.24657594317,161942.24657594317,163152.24657594317,163791.24657594317,164700.24657594317,165654.24657594317,166689.24657594317,2649.7085924729226,154602.61056691397,155029.610566914,155057.610566914,154522.610566914,154612.610566914,154517.610566914,155396.610566914,155544.610566914,156661.610566914,157421.610566914,157898.610566914,158458.610566914,159251.610566914,160163.610566914,160994.610566914,162073.610566914,162666.610566914,162814.610566914,162462.610566914,162874.610566914,163144.610566914,163636.610566914,163533.610566914,163542.610566914,162892.610566914,162166.610566914,161742.610566914,161868.610566914,162879.610566914,164066.610566914,165276.610566914,165915.610566914,166824.610566914,167778.610566914,168813.610566914,168255.42857142858,168675.85714285716,169096.28571428574,169516.71428571432,169937.1428571429,170357.57142857148,170778.00000000006,171198.42857142864,171618.85714285722,172039.2857142858,172459.71428571438,172880.14285714296,167193.24657594317,167173.70495913317,167256.53253122012,167392.3502947435,167562.03171076113,167755.76752566098,167967.7305928553,168194.12420398067,168432.31115640097,168680.3713189292,168936.85514761828,169200.63649101168,169317.610566914,170178.00932658114,170936.03889735136,171641.07827668515,172312.25400352466,172959.37533148198,173588.2694071448,174202.7329388766,174805.40312931346,175398.2001096424,175982.57342381048,176559.64922327423
63025," ARIMA(0,1,0)(0,0,0)[12] intercept",44523.98291196924,3585.7648753308144,891.3428571428569,268897.3428571428,270206.34285714285,271031.34285714285,271452.34285714285,272827.34285714285,274367.34285714285,275730.34285714285,276364.34285714285,277223.34285714285,278516.34285714285,281081.34285714285,282620.34285714285,284407.34285714285,285688.34285714285,287683.34285714285,288856.34285714285,289018.34285714285,289121.34285714285,289420.34285714285,290451.34285714285,292079.34285714285,293291.34285714285,294035.34285714285,294360.34285714285,294332.34285714285,293757.34285714285,294089.34285714285,295198.34285714285,296566.34285714285,296629.34285714285,297249.34285714285,298693.34285714285,299384.34285714285,299312.34285714285,299615.34285714285,-1465.7857136303494,267587.91692244424,268896.9169224443,269721.9169224443,270142.9169224443,271517.9169224443,273057.9169224443,274420.9169224443,275054.9169224443,275913.9169224443,277206.9169224443,279771.9169224443,281310.9169224443,283097.9169224443,284378.9169224443,286373.9169224443,287546.9169224443,287708.9169224443,287811.9169224443,288110.9169224443,289141.9169224443,290769.9169224443,291981.9169224443,292725.9169224443,293050.9169224443,293022.9169224443,292447.9169224443,292779.9169224443,293888.9169224443,295256.9169224443,295319.9169224443,295939.9169224443,297383.9169224443,298074.9169224443,298002.9169224443,298305.9169224443,3248.4714279160635,270206.76879184134,271515.7687918414,272340.7687918414,272761.7687918414,274136.7687918414,275676.7687918414,277039.7687918414,277673.7687918414,278532.7687918414,279825.7687918414,282390.7687918414,283929.7687918414,285716.7687918414,286997.7687918414,288992.7687918414,290165.7687918414,290327.7687918414,290430.7687918414,290729.7687918414,291760.7687918414,293388.7687918414,294600.7687918414,295344.7687918414,295669.7687918414,295641.7687918414,295066.7687918414,295398.7687918414,296507.7687918414,297875.7687918414,297938.7687918414,298558.7687918414,300002.7687918414,300693.7687918414,300621.7687918414,300924.7687918414,300094.34285714285,300985.6857142857,301877.02857142856,302768.3714285714,303659.71428571426,304551.0571428571,305442.39999999997,306333.7428571428,307225.08571428567,308116.4285714285,309007.7714285714,309899.1142857142,298784.9169224443,299133.87779851194,299609.0363237823,300149.51955917425,300731.74888422707,301343.6317468787,301977.98461652925,302630.1270255953,303296.80791018996,303975.6601904862,304664.8969124158,305363.12979042163,301403.7687918414,302837.49363005947,304145.0208190748,305387.22329796857,306587.67968720145,307758.48253883555,308906.8153834707,310037.35868869035,311153.3635183814,312257.19695237087,313350.64594472694,314435.0987810068
63021," ARIMA(0,1,0)(0,0,0)[12] intercept",40955.39439405741,2162.8325476678237,896.142857142857,247493.14285714287,248991.14285714287,249327.14285714287,249920.14285714287,251011.14285714287,252534.14285714287,253950.14285714287,254897.14285714287,256020.14285714287,257189.14285714287,259533.14285714287,260622.14285714287,261906.14285714287,263032.14285714284,265018.14285714284,266057.14285714284,266156.14285714284,266778.14285714284,267468.14285714284,268836.14285714284,270288.14285714284,271798.14285714284,272906.14285714284,273438.14285714284,273333.14285714284,272296.14285714284,272683.14285714284,274062.14285714284,275926.14285714284,275948.14285714284,275971.14285714284,276876.14285714284,277262.14285714284,277820.14285714284,278066.14285714284,-1457.788885468472,246189.48039002222,247687.48039002222,248023.48039002222,248616.48039002222,249707.48039002222,251230.48039002222,252646.48039002222,253593.48039002222,254716.48039002222,255885.48039002222,258229.48039002222,259318.48039002222,260602.48039002222,261728.4803900222,263714.4803900222,264753.4803900222,264852.4803900222,265474.4803900222,266164.4803900222,267532.4803900222,268984.4803900222,270494.4803900222,271602.4803900222,272134.4803900222,272029.4803900222,270992.4803900222,271379.4803900222,272758.4803900222,274622.4803900222,274644.4803900222,274667.4803900222,275572.4803900222,275958.4803900222,276516.4803900222,276762.4803900222,3250.074599754186,248796.80532426352,250294.80532426352,250630.80532426352,251223.80532426352,252314.80532426352,253837.80532426352,255253.80532426352,256200.80532426352,257323.80532426352,258492.80532426352,260836.80532426352,261925.80532426352,263209.8053242635,264335.80532426346,266321.80532426346,267360.80532426346,267459.80532426346,268081.80532426346,268771.80532426346,270139.80532426346,271591.80532426346,273101.80532426346,274209.80532426346,274741.80532426346,274636.80532426346,273599.80532426346,273986.80532426346,275365.80532426346,277229.80532426346,277251.80532426346,277274.80532426346,278179.80532426346,278565.80532426346,279123.80532426346,279369.80532426346,278858.14285714284,279754.2857142857,280650.4285714285,281546.57142857136,282442.7142857142,283338.85714285704,284234.9999999999,285131.1428571427,286027.28571428556,286923.4285714284,287819.57142857125,288715.7142857141,277554.4803900222,277910.6285725269,278392.41894245497,278939.24649433006,279527.63638951734,280145.5493015936,280785.83331842977,281443.8285736252,282116.29831292364,282800.8858752528,283495.81217186304,284199.695027767,280161.80532426346,281597.94285604445,282908.4382004021,284153.89636281267,285357.79218191106,286532.16498412046,287684.16668157,288818.45714066026,289938.2731156475,291045.97126760404,292143.33068527945,293231.7335436612
63012," ARIMA(0,1,0)(0,0,0)[12] intercept",26273.033819099506,4519.28524494415,394.82857142857137,158409.82857142857,158741.82857142857,158856.82857142857,158853.82857142857,159553.82857142857,159711.82857142857,160240.82857142857,160133.82857142857,160689.82857142857,161505.82857142857,162573.82857142857,163853.82857142857,164833.82857142857,165521.82857142857,165586.82857142857,165687.82857142857,165810.82857142857,165933.82857142857,165729.82857142857,165861.82857142857,166083.82857142857,166672.82857142857,166734.82857142857,166669.82857142857,166436.82857142857,166368.82857142857,166896.82857142857,167405.82857142857,167959.82857142857,168022.82857142857,168679.82857142857,169163.82857142857,170500.82857142857,170989.82857142857,171880.82857142857,-1718.3148357332623,157619.94488471426,157951.94488471426,158066.94488471426,158063.94488471426,158763.94488471426,158921.94488471426,159450.94488471426,159343.94488471426,159899.94488471426,160715.94488471426,161783.94488471426,163063.94488471426,164043.94488471426,164731.94488471426,164796.94488471426,164897.94488471426,165020.94488471426,165143.94488471426,164939.94488471426,165071.94488471426,165293.94488471426,165882.94488471426,165944.94488471426,165879.94488471426,165646.94488471426,165578.94488471426,166106.94488471426,166615.94488471426,167169.94488471426,167232.94488471426,167889.94488471426,168373.94488471426,169710.94488471426,170199.94488471426,171090.94488471426,2507.971978590405,159199.71225814288,159531.71225814288,159646.71225814288,159643.71225814288,160343.71225814288,160501.71225814288,161030.71225814288,160923.71225814288,161479.71225814288,162295.71225814288,163363.71225814288,164643.71225814288,165623.71225814288,166311.71225814288,166376.71225814288,166477.71225814288,166600.71225814288,166723.71225814288,166519.71225814288,166651.71225814288,166873.71225814288,167462.71225814288,167524.71225814288,167459.71225814288,167226.71225814288,167158.71225814288,167686.71225814288,168195.71225814288,168749.71225814288,168812.71225814288,169469.71225814288,169953.71225814288,171290.71225814288,171779.71225814288,172670.71225814288,172228.82857142857,172623.65714285715,173018.48571428572,173413.3142857143,173808.14285714287,174202.97142857144,174597.80000000002,174992.6285714286,175387.45714285717,175782.28571428574,176177.1142857143,176571.9428571429,171438.94488471426,171506.5929204085,171650.3670368267,171833.54691228567,172041.90923933152,172268.15943997298,172507.9642002871,172758.5001265313,173017.80608271423,173284.4541776576,173557.3664688603,173835.70550222485,173018.71225814288,173740.7213653058,174386.60439174474,174993.08165914292,175574.37647495422,176137.7834171699,176687.63579971294,177226.7570163259,177757.1082030001,178280.11725091387,178796.86210256832,179308.18021206092
63023," ARIMA(0,1,0)(0,0,0)[12] intercept",25433.471251097602,3076.3052848250663,442.7428571428571,153376.74285714285,152839.74285714285,151555.74285714285,150183.74285714285,148863.74285714285,147779.74285714285,147356.74285714285,146841.74285714285,146893.74285714285,146309.74285714285,146270.74285714285,147166.74285714285,149054.74285714285,150693.74285714285,151887.74285714285,153347.74285714285,153992.74285714285,154620.74285714285,154750.74285714285,155683.74285714285,156648.74285714285,157894.74285714285,158570.74285714285,159034.74285714285,158351.74285714285,157817.74285714285,157526.74285714285,157884.74285714285,159425.74285714285,161111.74285714285,162749.74285714285,163828.74285714285,165290.74285714285,166988.74285714285,168417.74285714285,-2297.7856651283096,151461.26960995622,150924.26960995622,149640.26960995622,148268.26960995622,146948.26960995622,145864.26960995622,145441.26960995622,144926.26960995622,144978.26960995622,144394.26960995622,144355.26960995622,145251.26960995622,147139.26960995622,148778.26960995622,149972.26960995622,151432.26960995622,152077.26960995622,152705.26960995622,152835.26960995622,153768.26960995622,154733.26960995622,155979.26960995622,156655.26960995622,157119.26960995622,156436.26960995622,155902.26960995622,155611.26960995622,155969.26960995622,157510.26960995622,159196.26960995622,160834.26960995622,161913.26960995622,163375.26960995622,165073.26960995622,166502.26960995622,3183.271379414024,155292.21610432948,154755.21610432948,153471.21610432948,152099.21610432948,150779.21610432948,149695.21610432948,149272.21610432948,148757.21610432948,148809.21610432948,148225.21610432948,148186.21610432948,149082.21610432948,150970.21610432948,152609.21610432948,153803.21610432948,155263.21610432948,155908.21610432948,156536.21610432948,156666.21610432948,157599.21610432948,158564.21610432948,159810.21610432948,160486.21610432948,160950.21610432948,160267.21610432948,159733.21610432948,159442.21610432948,159800.21610432948,161341.21610432948,163027.21610432948,164665.21610432948,165744.21610432948,167206.21610432948,168904.21610432948,170333.21610432948,168872.74285714285,169315.4857142857,169758.22857142854,170200.97142857139,170643.71428571423,171086.45714285708,171529.19999999992,171971.94285714277,172414.68571428562,172857.42857142846,173300.1714285713,173742.91428571416,166957.26960995622,166606.59746975155,166440.53158676237,166370.02493419815,166360.58589592268,166394.52507129786,166461.33414494677,166554.16636807445,166668.26597272576,166800.17031320004,166947.2653716896,167107.52031638182,170788.21610432948,172024.37395881984,173075.9255560947,174031.91792294462,174926.8426755058,175778.3892144163,176597.06585505308,177389.7193462111,178161.10545584548,178914.6868296569,179653.07748545302,180378.3082550465
63026," ARIMA(0,1,0)(0,0,0)[12] intercept",35342.86866253261,2419.408562685728,734.5142857142855,213509.51428571428,214684.51428571428,215145.51428571428,215370.51428571428,216325.51428571428,217208.51428571428,218354.51428571428,218898.51428571428,219956.51428571428,221365.51428571428,223181.51428571428,224191.51428571428,225054.51428571428,226003.51428571428,227394.51428571428,228309.51428571428,228515.51428571428,228754.51428571428,229033.51428571428,229890.51428571428,230780.51428571428,231468.51428571428,231860.51428571428,232096.51428571428,232233.51428571428,231873.51428571428,232655.51428571428,233941.51428571428,235362.51428571428,235952.51428571428,236526.51428571428,237486.51428571428,237955.51428571428,238280.51428571428,238684.51428571428,-1414.9089654443205,212627.15296974042,213802.15296974042,214263.15296974042,214488.15296974042,215443.15296974042,216326.15296974042,217472.15296974042,218016.15296974042,219074.15296974042,220483.15296974042,222299.15296974042,223309.15296974042,224172.15296974042,225121.15296974042,226512.15296974042,227427.15296974042,227633.15296974042,227872.15296974042,228151.15296974042,229008.15296974042,229898.15296974042,230586.15296974042,230978.15296974042,231214.15296974042,231351.15296974042,230991.15296974042,231773.15296974042,233059.15296974042,234480.15296974042,235070.15296974042,235644.15296974042,236604.15296974042,237073.15296974042,237398.15296974042,237802.15296974042,2883.9375368728915,214391.87560168814,215566.87560168814,216027.87560168814,216252.87560168814,217207.87560168814,218090.87560168814,219236.87560168814,219780.87560168814,220838.87560168814,222247.87560168814,224063.87560168814,225073.87560168814,225936.87560168814,226885.87560168814,228276.87560168814,229191.87560168814,229397.87560168814,229636.87560168814,229915.87560168814,230772.87560168814,231662.87560168814,232350.87560168814,232742.87560168814,232978.87560168814,233115.87560168814,232755.87560168814,233537.87560168814,234823.87560168814,236244.87560168814,236834.87560168814,237408.87560168814,238368.87560168814,238837.87560168814,239162.87560168814,239566.87560168814,239217.51428571428,239952.02857142856,240686.54285714283,241421.0571428571,242155.5714285714,242890.08571428567,243624.59999999995,244359.11428571423,245093.6285714285,245828.14285714278,246562.65714285706,247297.17142857134,238335.15296974042,238704.18123146496,239158.2482272428,239656.33451090942,240182.5515453377,240728.75072137907,241290.09139142945,241863.41960578703,242446.54462350695,243037.8713794419,243636.19572824758,244240.58216877125,240099.87560168814,241199.87591139216,242214.83748704288,243185.7797748048,244128.5913118051,245051.42070719227,245959.10860857044,246854.80896564142,247740.71251935005,248618.41433484366,249489.11855746654,250353.76068837143
63017," ARIMA(0,1,0)(0,0,0)[12] intercept",61592.83768162838,3859.949118703285,969.8285714285712,371467.82857142854,373359.82857142854,373474.82857142854,373832.82857142854,375262.82857142854,377496.82857142854,379275.82857142854,379998.82857142854,381021.82857142854,382334.82857142854,385347.82857142854,386514.82857142854,388156.82857142854,389273.82857142854,391988.82857142854,393802.82857142854,394181.82857142854,394646.82857142854,395411.82857142854,396588.82857142854,397552.82857142854,397953.82857142854,398430.82857142854,398574.82857142854,399087.82857142854,398405.82857142854,398865.82857142854,399156.82857142854,400164.82857142854,399919.82857142854,400115.82857142854,401642.82857142854,402391.82857142854,403313.82857142854,404020.82857142854,-1516.5584402927616,369937.9064978044,371829.9064978044,371944.9064978044,372302.9064978044,373732.9064978044,375966.9064978044,377745.9064978044,378468.9064978044,379491.9064978044,380804.9064978044,383817.9064978044,384984.9064978044,386626.9064978044,387743.9064978044,390458.9064978044,392272.9064978044,392651.9064978044,393116.9064978044,393881.9064978044,395058.9064978044,396022.9064978044,396423.9064978044,396900.9064978044,397044.9064978044,397557.9064978044,396875.9064978044,397335.9064978044,397626.9064978044,398634.9064978044,398389.9064978044,398585.9064978044,400112.9064978044,400861.9064978044,401783.9064978044,402490.9064978044,3456.215583149904,372997.7506450527,374889.7506450527,375004.7506450527,375362.7506450527,376792.7506450527,379026.7506450527,380805.7506450527,381528.7506450527,382551.7506450527,383864.7506450527,386877.7506450527,388044.7506450527,389686.7506450527,390803.7506450527,393518.7506450527,395332.7506450527,395711.7506450527,396176.7506450527,396941.7506450527,398118.7506450527,399082.7506450527,399483.7506450527,399960.7506450527,400104.7506450527,400617.7506450527,399935.7506450527,400395.7506450527,400686.7506450527,401694.7506450527,401449.7506450527,401645.7506450527,403172.7506450527,403921.7506450527,404843.7506450527,405550.7506450527,405411.82857142854,406381.6571428571,407351.48571428563,408321.3142857142,409291.1428571427,410260.97142857127,411230.7999999998,412200.62857142836,413170.4571428569,414140.28571428545,415110.114285714,416079.94285714254,403881.9064978044,404218.0205969639,404701.58295114746,405261.47013846587,405870.1331002417,406513.44300197135,407183.0066678821,407873.3554796419,408580.69092198444,409302.2473190653,410035.93680902023,410780.13733086624,406941.7506450527,408545.2936887503,410001.3884774238,411381.1584329625,412712.15261404373,414008.4998551712,415278.59333211754,416527.90166321484,417760.22336372937,418978.3241095056,420184.29176240775,421379.74838341883
63020," ARIMA(0,1,0)(0,0,0)[12] intercept",20271.67908007345,2595.8494454681777,417.05714285714276,122422.05714285714,123010.05714285714,123185.05714285714,122902.05714285714,123257.05714285714,123572.05714285714,124020.05714285714,123878.05714285714,124340.05714285714,124721.05714285714,125398.05714285714,125993.05714285714,126758.05714285714,127919.05714285714,128993.05714285714,130015.05714285714,130285.05714285714,130264.05714285714,130037.05714285714,130262.05714285714,130590.05714285714,131029.05714285714,131592.05714285714,131977.05714285714,131638.05714285714,130451.05714285714,129800.05714285714,129879.05714285714,130735.05714285714,131807.05714285714,133171.05714285714,134374.05714285714,135492.05714285714,135938.05714285714,136558.05714285714,-1811.4281843096735,121361.54404406785,121949.54404406785,122124.54404406785,121841.54404406785,122196.54404406785,122511.54404406785,122959.54404406785,122817.54404406785,123279.54404406785,123660.54404406785,124337.54404406785,124932.54404406785,125697.54404406785,126858.54404406785,127932.54404406785,128954.54404406785,129224.54404406785,129203.54404406785,128976.54404406785,129201.54404406785,129529.54404406785,129968.54404406785,130531.54404406785,130916.54404406785,130577.54404406785,129390.54404406785,128739.54404406785,128818.54404406785,129674.54404406785,130746.54404406785,132110.54404406785,133313.54404406785,134431.54404406785,134877.54404406785,135497.54404406785,2645.542470023959,123482.57024164643,124070.57024164643,124245.57024164643,123962.57024164643,124317.57024164643,124632.57024164643,125080.57024164643,124938.57024164643,125400.57024164643,125781.57024164643,126458.57024164643,127053.57024164643,127818.57024164643,128979.57024164643,130053.57024164643,131075.57024164643,131345.57024164643,131324.57024164643,131097.57024164643,131322.57024164643,131650.57024164643,132089.57024164643,132652.57024164643,133037.57024164643,132698.57024164643,131511.57024164643,130860.57024164643,130939.57024164643,131795.57024164643,132867.57024164643,134231.57024164643,135434.57024164643,136552.57024164643,136998.57024164643,137618.57024164643,137019.05714285714,137436.11428571428,137853.17142857143,138270.22857142857,138687.2857142857,139104.34285714285,139521.4,139938.45714285714,140355.51428571428,140772.57142857142,141189.62857142856,141606.6857142857,135958.54404406785,135936.32227833214,136016.30885937606,136149.20237384998,136315.9063343639,136506.62689957127,136715.54607847705,136938.87312809288,137173.9749893464,137418.9345479541,137672.30453748736,137932.96057589498,138079.57024164643,138935.90629309643,139690.0339977668,140391.25476900715,141058.6650942075,141702.05881471443,142327.25392152293,142938.0411576214,143537.05358208215,144126.20830918875,144706.95260536976,145280.41085267643
