zip_code,model_order,train_rmse,test_rmse,train_pred_2016-01-31,train_pred_2016-02-29,train_pred_2016-03-31,train_pred_2016-04-30,train_pred_2016-05-31,train_pred_2016-06-30,train_pred_2016-07-31,train_pred_2016-08-31,train_pred_2016-09-30,train_pred_2016-10-31,train_pred_2016-11-30,train_pred_2016-12-31,train_pred_2017-01-31,train_pred_2017-02-28,train_pred_2017-03-31,train_pred_2017-04-30,train_pred_2017-05-31,train_pred_2017-06-30,train_pred_2017-07-31,train_pred_2017-08-31,train_pred_2017-09-30,train_pred_2017-10-31,train_pred_2017-11-30,train_pred_2017-12-31,train_pred_2018-01-31,train_pred_2018-02-28,train_pred_2018-03-31,train_pred_2018-04-30,train_pred_2018-05-31,train_pred_2018-06-30,train_pred_2018-07-31,train_pred_2018-08-31,train_pred_2018-09-30,train_pred_2018-10-31,train_pred_2018-11-30,train_pred_2018-12-31,train_lci_2016-01-31,train_lci_2016-02-29,train_lci_2016-03-31,train_lci_2016-04-30,train_lci_2016-05-31,train_lci_2016-06-30,train_lci_2016-07-31,train_lci_2016-08-31,train_lci_2016-09-30,train_lci_2016-10-31,train_lci_2016-11-30,train_lci_2016-12-31,train_lci_2017-01-31,train_lci_2017-02-28,train_lci_2017-03-31,train_lci_2017-04-30,train_lci_2017-05-31,train_lci_2017-06-30,train_lci_2017-07-31,train_lci_2017-08-31,train_lci_2017-09-30,train_lci_2017-10-31,train_lci_2017-11-30,train_lci_2017-12-31,train_lci_2018-01-31,train_lci_2018-02-28,train_lci_2018-03-31,train_lci_2018-04-30,train_lci_2018-05-31,train_lci_2018-06-30,train_lci_2018-07-31,train_lci_2018-08-31,train_lci_2018-09-30,train_lci_2018-10-31,train_lci_2018-11-30,train_lci_2018-12-31,train_uci_2016-01-31,train_uci_2016-02-29,train_uci_2016-03-31,train_uci_2016-04-30,train_uci_2016-05-31,train_uci_2016-06-30,train_uci_2016-07-31,train_uci_2016-08-31,train_uci_2016-09-30,train_uci_2016-10-31,train_uci_2016-11-30,train_uci_2016-12-31,train_uci_2017-01-31,train_uci_2017-02-28,train_uci_2017-03-31,train_uci_2017-04-30,train_uci_2017-05-31,train_uci_2017-06-30,train_uci_2017-07-31,train_uci_2017-08-31,train_uci_2017-09-30,train_uci_2017-10-31,train_uci_2017-11-30,train_uci_2017-12-31,train_uci_2018-01-31,train_uci_2018-02-28,train_uci_2018-03-31,train_uci_2018-04-30,train_uci_2018-05-31,train_uci_2018-06-30,train_uci_2018-07-31,train_uci_2018-08-31,train_uci_2018-09-30,train_uci_2018-10-31,train_uci_2018-11-30,train_uci_2018-12-31,test_pred_2019-01-31,test_pred_2019-02-28,test_pred_2019-03-31,test_pred_2019-04-30,test_pred_2019-05-31,test_pred_2019-06-30,test_pred_2019-07-31,test_pred_2019-08-31,test_pred_2019-09-30,test_pred_2019-10-31,test_pred_2019-11-30,test_pred_2019-12-31,test_lci_2019-01-31,test_lci_2019-02-28,test_lci_2019-03-31,test_lci_2019-04-30,test_lci_2019-05-31,test_lci_2019-06-30,test_lci_2019-07-31,test_lci_2019-08-31,test_lci_2019-09-30,test_lci_2019-10-31,test_lci_2019-11-30,test_lci_2019-12-31,test_uci_2019-01-31,test_uci_2019-02-28,test_uci_2019-03-31,test_uci_2019-04-30,test_uci_2019-05-31,test_uci_2019-06-30,test_uci_2019-07-31,test_uci_2019-08-31,test_uci_2019-09-30,test_uci_2019-10-31,test_uci_2019-11-30,test_uci_2019-12-31
59011," ARIMA(0,1,0)(0,0,0)[12] intercept",36156.943950565124,4471.237882705557,1113.7714285714283,219153.77142857143,220713.77142857143,221639.77142857143,222485.77142857143,223709.77142857143,224783.77142857143,226259.77142857143,226714.77142857143,227907.77142857143,228219.77142857143,229534.77142857143,230495.77142857143,231548.77142857143,232578.77142857143,233828.77142857143,235094.77142857143,235454.77142857143,235873.77142857143,236258.77142857143,237705.77142857143,238538.77142857143,239429.77142857143,239778.77142857143,240595.77142857143,241457.77142857143,242762.77142857143,244406.77142857143,246188.77142857143,247749.77142857143,249617.77142857143,250829.77142857143,252462.77142857143,253665.77142857143,255558.77142857143,256849.77142857143,-1025.4979496771712,218296.44147340948,219856.44147340948,220782.44147340948,221628.44147340948,222852.44147340948,223926.44147340948,225402.44147340948,225857.44147340948,227050.44147340948,227362.44147340948,228677.44147340948,229638.44147340948,230691.44147340948,231721.44147340948,232971.44147340948,234237.44147340948,234597.44147340948,235016.44147340948,235401.44147340948,236848.44147340948,237681.44147340948,238572.44147340948,238921.44147340948,239738.44147340948,240600.44147340948,241905.44147340948,243549.44147340948,245331.44147340948,246892.44147340948,248760.44147340948,249972.44147340948,251605.44147340948,252808.44147340948,254701.44147340948,255992.44147340948,3253.0408068200277,220011.1013837334,221571.1013837334,222497.1013837334,223343.1013837334,224567.1013837334,225641.1013837334,227117.1013837334,227572.1013837334,228765.1013837334,229077.1013837334,230392.1013837334,231353.1013837334,232406.1013837334,233436.1013837334,234686.1013837334,235952.1013837334,236312.1013837334,236731.1013837334,237116.1013837334,238563.1013837334,239396.1013837334,240287.1013837334,240636.1013837334,241453.1013837334,242315.1013837334,243620.1013837334,245264.1013837334,247046.1013837334,248607.1013837334,250475.1013837334,251687.1013837334,253320.1013837334,254523.1013837334,256416.1013837334,257707.1013837334,258135.77142857143,259249.54285714286,260363.3142857143,261477.08571428573,262590.85714285716,263704.6285714286,264818.4,265932.17142857146,267045.9428571429,268159.7142857143,269273.48571428575,270387.2571428572,257278.44147340948,258037.0952071241,258878.37524452302,259762.42580396179,260673.80908396814,261604.60764007858,262550.1181471153,263507.27612853394,264473.95299165696,265448.5989211125,266430.0439314813,267417.37906047463,258993.1013837334,260461.99050716162,261848.25332690557,263191.74562460964,264507.90520174615,265804.6495027786,267086.68185288477,268357.066728609,269617.9327226288,270870.82965031615,272116.9274970902,273357.13522523973
59014," ARIMA(0,1,0)(0,0,0)[12] intercept",32999.041378787566,2103.2997132300266,881.7142857142856,199686.7142857143,201653.7142857143,203828.7142857143,204730.7142857143,205519.7142857143,206128.7142857143,207535.7142857143,209161.7142857143,210580.7142857143,211914.7142857143,212628.7142857143,213108.7142857143,213238.7142857143,213767.7142857143,214239.7142857143,216299.7142857143,217894.7142857143,219394.7142857143,219143.7142857143,218627.7142857143,218347.7142857143,218198.7142857143,218112.7142857143,218803.7142857143,219196.7142857143,219538.7142857143,219096.7142857143,219681.7142857143,221420.7142857143,223392.7142857143,225586.7142857143,226332.7142857143,226880.7142857143,225964.7142857143,227735.7142857143,-1749.8418967361406,197930.68777090908,199897.68777090908,202072.68777090908,202974.68777090908,203763.68777090908,204372.68777090908,205779.68777090908,207405.68777090908,208824.68777090908,210158.68777090908,210872.68777090908,211352.68777090908,211482.68777090908,212011.68777090908,212483.68777090908,214543.68777090908,216138.68777090908,217638.68777090908,217387.68777090908,216871.68777090908,216591.68777090908,216442.68777090908,216356.68777090908,217047.68777090908,217440.68777090908,217782.68777090908,217340.68777090908,217925.68777090908,219664.68777090908,221636.68777090908,223830.68777090908,224576.68777090908,225124.68777090908,224208.68777090908,225979.68777090908,3513.270468164712,201442.7408005195,203409.7408005195,205584.7408005195,206486.7408005195,207275.7408005195,207884.7408005195,209291.7408005195,210917.7408005195,212336.7408005195,213670.7408005195,214384.7408005195,214864.7408005195,214994.7408005195,215523.7408005195,215995.7408005195,218055.7408005195,219650.7408005195,221150.7408005195,220899.7408005195,220383.7408005195,220103.7408005195,219954.7408005195,219868.7408005195,220559.7408005195,220952.7408005195,221294.7408005195,220852.7408005195,221437.7408005195,223176.7408005195,225148.7408005195,227342.7408005195,228088.7408005195,228636.7408005195,227720.7408005195,229491.7408005195,230546.7142857143,231428.42857142858,232310.14285714287,233191.85714285716,234073.57142857145,234955.28571428574,235837.00000000003,236718.71428571432,237600.4285714286,238482.1428571429,239363.8571428572,240245.57142857148,228790.68777090908,228945.0320583043,229268.61571406215,229679.80411324673,230146.97677117496,230653.9167782151,231190.99054618995,231751.92125946574,232332.34902701297,232929.09943871104,233539.77607133283,234162.51714241,232302.7408005195,233911.82508455287,235351.6700002236,236703.9101724676,238000.16608596794,239256.6546503564,240483.0094538101,241685.5073119629,242868.50811584425,244035.18627557476,245187.93821438155,246328.62571473295
59030," ARIMA(0,1,0)(0,0,0)[12] intercept",52909.566102678196,6407.45857790367,2311.2285714285713,321921.22857142857,324478.22857142857,325875.22857142857,328327.22857142857,329093.22857142857,331752.22857142857,333648.22857142857,334931.22857142857,334250.22857142857,333787.22857142857,333789.22857142857,334847.22857142857,336305.22857142857,339021.22857142857,341697.22857142857,343405.22857142857,344870.22857142857,346496.22857142857,348315.22857142857,352253.22857142857,356570.22857142857,362080.22857142857,365077.22857142857,368826.22857142857,370847.22857142857,373993.22857142857,378316.22857142857,384029.22857142857,388404.22857142857,388778.22857142857,389637.22857142857,392571.22857142857,398690.22857142857,402094.22857142857,402518.22857142857,-1547.8648788221017,318596.9025589753,321153.9025589753,322550.9025589753,325002.9025589753,325768.9025589753,328427.9025589753,330323.9025589753,331606.9025589753,330925.9025589753,330462.9025589753,330464.9025589753,331522.9025589753,332980.9025589753,335696.9025589753,338372.9025589753,340080.9025589753,341545.9025589753,343171.9025589753,344990.9025589753,348928.9025589753,353245.9025589753,358755.9025589753,361752.9025589753,365501.9025589753,367522.9025589753,370668.9025589753,374991.9025589753,380704.9025589753,385079.9025589753,385453.9025589753,386312.9025589753,389246.9025589753,395365.9025589753,398769.9025589753,399193.9025589753,6170.322021679244,325245.55458388187,327802.55458388187,329199.55458388187,331651.55458388187,332417.55458388187,335076.55458388187,336972.55458388187,338255.55458388187,337574.55458388187,337111.55458388187,337113.55458388187,338171.55458388187,339629.55458388187,342345.55458388187,345021.55458388187,346729.55458388187,348194.55458388187,349820.55458388187,351639.55458388187,355577.55458388187,359894.55458388187,365404.55458388187,368401.55458388187,372150.55458388187,374171.55458388187,377317.55458388187,381640.55458388187,387353.55458388187,391728.55458388187,392102.55458388187,392961.55458388187,395895.55458388187,402014.55458388187,405418.55458388187,405842.55458388187,402814.22857142857,405125.45714285714,407436.6857142857,409747.9142857143,412059.14285714284,414370.3714285714,416681.6,418992.82857142854,421304.0571428571,423615.2857142857,425926.51428571425,428237.7428571428,399489.9025589753,400424.15021029604,401678.78415979375,403099.26226080774,404625.7239139265,406227.4689593998,407886.2600941456,409590.21470630635,411331.0791054973,413102.84382998804,414900.97222158837,416721.93974815897,406138.55458388187,409826.76407541824,413194.58726877766,416396.5663106208,419492.56180035917,422513.273897743,425476.93990585435,428395.44243655074,431277.03518021695,434127.7275985833,436952.05634984013,439753.54596612667
59029," ARIMA(0,1,0)(0,0,0)[12] intercept",34116.21146959988,12211.106202000245,1017.6857142857141,206608.6857142857,208681.6857142857,211787.6857142857,213898.6857142857,216022.6857142857,217136.6857142857,218950.6857142857,221076.6857142857,223909.6857142857,225969.6857142857,227534.6857142857,228430.6857142857,229704.6857142857,230924.6857142857,230903.6857142857,232105.6857142857,232579.6857142857,233925.6857142857,233847.6857142857,233143.6857142857,231116.6857142857,229358.6857142857,228191.6857142857,229109.6857142857,230144.6857142857,231191.6857142857,231095.6857142857,231864.6857142857,233569.6857142857,236433.6857142857,238570.6857142857,239839.6857142857,240216.6857142857,240250.6857142857,240589.6857142857,-2049.802272786531,204249.01969339664,206322.01969339664,209428.01969339664,211539.01969339664,213663.01969339664,214777.01969339664,216591.01969339664,218717.01969339664,221550.01969339664,223610.01969339664,225175.01969339664,226071.01969339664,227345.01969339664,228565.01969339664,228544.01969339664,229746.01969339664,230220.01969339664,231566.01969339664,231488.01969339664,230784.01969339664,228757.01969339664,226999.01969339664,225832.01969339664,226750.01969339664,227785.01969339664,228832.01969339664,228736.01969339664,229505.01969339664,231210.01969339664,234074.01969339664,236211.01969339664,237480.01969339664,237857.01969339664,237891.01969339664,238230.01969339664,4085.1737013579586,208968.35173517477,211041.35173517477,214147.35173517477,216258.35173517477,218382.35173517477,219496.35173517477,221310.35173517477,223436.35173517477,226269.35173517477,228329.35173517477,229894.35173517477,230790.35173517477,232064.35173517477,233284.35173517477,233263.35173517477,234465.35173517477,234939.35173517477,236285.35173517477,236207.35173517477,235503.35173517477,233476.35173517477,231718.35173517477,230551.35173517477,231469.35173517477,232504.35173517477,233551.35173517477,233455.35173517477,234224.35173517477,235929.35173517477,238793.35173517477,240930.35173517477,242199.35173517477,242576.35173517477,242610.35173517477,242949.35173517477,242227.6857142857,243245.3714285714,244263.0571428571,245280.74285714282,246298.42857142852,247316.11428571423,248333.79999999993,249351.48571428563,250369.17142857134,251386.85714285704,252404.54285714275,253422.22857142845,239868.01969339664,239908.29973915915,240175.99570578337,240561.4108153647,241022.05494452413,241536.13657115248,242090.71053155814,242677.34233546111,243290.17336590416,243924.93799954117,244578.4160353028,245248.105697281,244587.35173517477,246582.44311798367,248350.11857993086,250000.07489892092,251574.8021983329,253096.09200027597,254576.88946844172,256025.62909311015,257448.1694912385,258848.7762861729,260230.6696789827,261596.3514455759
59024," ARIMA(0,1,0)(0,0,0)[12] intercept",32799.51971277902,8491.41392389226,490.6571428571428,197541.65714285715,198907.65714285715,200227.65714285715,203224.65714285715,204405.65714285715,202848.65714285715,202449.65714285715,201219.65714285715,201027.65714285715,199561.65714285715,198831.65714285715,199765.65714285715,200103.65714285715,199679.65714285715,198773.65714285715,197970.65714285715,197426.65714285715,198627.65714285715,198899.65714285715,200731.65714285715,202612.65714285715,206592.65714285715,210157.65714285715,210863.65714285715,209511.65714285715,208030.65714285715,208009.65714285715,209196.65714285715,211221.65714285715,213245.65714285715,216139.65714285715,218163.65714285715,219953.65714285715,219323.65714285715,216854.65714285715,-3259.5217501698994,194344.4109982803,195710.4109982803,197030.4109982803,200027.4109982803,201208.4109982803,199651.4109982803,199252.4109982803,198022.4109982803,197830.4109982803,196364.4109982803,195634.4109982803,196568.4109982803,196906.4109982803,196482.4109982803,195576.4109982803,194773.4109982803,194229.4109982803,195430.4109982803,195702.4109982803,197534.4109982803,199415.4109982803,203395.4109982803,206960.4109982803,207666.4109982803,206314.4109982803,204833.4109982803,204812.4109982803,205999.4109982803,208024.4109982803,210048.4109982803,212942.4109982803,214966.4109982803,216756.4109982803,216126.4109982803,213657.4109982803,4240.836035884185,200738.903287434,202104.903287434,203424.903287434,206421.903287434,207602.903287434,206045.903287434,205646.903287434,204416.903287434,204224.903287434,202758.903287434,202028.903287434,202962.903287434,203300.903287434,202876.903287434,201970.903287434,201167.903287434,200623.903287434,201824.903287434,202096.903287434,203928.903287434,205809.903287434,209789.903287434,213354.903287434,214060.903287434,212708.903287434,211227.903287434,211206.903287434,212393.903287434,214418.903287434,216442.903287434,219336.903287434,221360.903287434,223150.903287434,222520.903287434,220051.903287434,214714.65714285715,215205.3142857143,215695.97142857144,216186.6285714286,216677.28571428574,217167.9428571429,217658.60000000003,218149.25714285718,218639.91428571433,219130.57142857148,219621.22857142863,220111.88571428577,211517.4109982803,210683.72542580866,210158.17866186067,209792.13628227494,209528.02599421283,209336.32122084888,209199.4818211897,209106.07942304589,209048.17585198383,209019.9913715167,209017.1627474569,209036.30018086423,217911.903287434,219726.90314561993,221233.76419528222,222581.12086058225,223826.54543435865,224999.5644934369,226117.71817881038,227192.43486266848,228231.65271944483,229241.15148562627,230225.29439540036,231187.47124770732
59015," ARIMA(0,1,0)(0,0,0)[12] intercept",29361.640430679647,7574.678950628989,582.8857142857144,176968.88571428572,174801.88571428572,174082.88571428572,175002.88571428572,176228.88571428572,176052.88571428572,176617.88571428572,176853.88571428572,179176.88571428572,181789.88571428572,185571.88571428572,187732.88571428572,190827.88571428572,193071.88571428572,194133.88571428572,194306.88571428572,194861.88571428572,196620.88571428572,197976.88571428572,199871.88571428572,202250.88571428572,203067.88571428572,201599.88571428572,198942.88571428572,198572.88571428572,199264.88571428572,201915.88571428572,203518.88571428572,204747.88571428572,205361.88571428572,207388.88571428572,207149.88571428572,203389.88571428572,198425.88571428572,196157.88571428572,-3660.766971898245,173204.96099396225,171037.96099396225,170318.96099396225,171238.96099396225,172464.96099396225,172288.96099396225,172853.96099396225,173089.96099396225,175412.96099396225,178025.96099396225,181807.96099396225,183968.96099396225,187063.96099396225,189307.96099396225,190369.96099396225,190542.96099396225,191097.96099396225,192856.96099396225,194212.96099396225,196107.96099396225,198486.96099396225,199303.96099396225,197835.96099396225,195178.96099396225,194808.96099396225,195500.96099396225,198151.96099396225,199754.96099396225,200983.96099396225,201597.96099396225,203624.96099396225,203385.96099396225,199625.96099396225,194661.96099396225,192393.96099396225,4826.538400469673,180732.8104346092,178565.8104346092,177846.8104346092,178766.8104346092,179992.8104346092,179816.8104346092,180381.8104346092,180617.8104346092,182940.8104346092,185553.8104346092,189335.8104346092,191496.8104346092,194591.8104346092,196835.8104346092,197897.8104346092,198070.8104346092,198625.8104346092,200384.8104346092,201740.8104346092,203635.8104346092,206014.8104346092,206831.8104346092,205363.8104346092,202706.8104346092,202336.8104346092,203028.8104346092,205679.8104346092,207282.8104346092,208511.8104346092,209125.8104346092,211152.8104346092,210913.8104346092,207153.8104346092,202189.8104346092,199921.8104346092,197369.88571428572,197952.77142857143,198535.65714285715,199118.54285714286,199701.42857142858,200284.3142857143,200867.2,201450.08571428573,202032.97142857144,202615.85714285716,203198.74285714288,203781.6285714286,193605.96099396225,192629.7780413386,192016.3482913924,191590.6934164959,191285.03703459338,191064.61929067387,190908.79123645573,190804.09893982008,190741.197267601,190713.2820852227,190715.2168206865,190743.01086849908,201133.8104346092,203275.76481580426,205054.9659943219,206646.39229778983,208117.82010826378,209504.00928075472,210825.6087635443,212096.07248875138,213324.74558954188,214518.43220049163,215682.26889359925,216820.2462743581
59028," ARIMA(0,1,0)(0,0,0)[12] intercept",39806.414839561374,6710.266335311781,1108.7142857142856,240958.7142857143,240863.7142857143,241003.7142857143,242165.7142857143,243101.7142857143,244497.7142857143,246743.7142857143,249337.7142857143,251986.7142857143,253291.7142857143,254566.7142857143,256088.7142857143,257719.7142857143,258853.7142857143,259442.7142857143,260137.7142857143,261345.7142857143,262072.7142857143,260918.7142857143,261224.7142857143,260868.7142857143,262630.71428571426,262947.7142857143,264816.71428571426,267776.71428571426,270577.71428571426,274446.71428571426,276925.71428571426,279092.71428571426,279788.71428571426,280840.71428571426,280872.71428571426,280831.71428571426,279525.71428571426,279491.71428571426,-1880.6983206340144,238701.47506261454,238606.47506261454,238746.47506261454,239908.47506261454,240844.47506261454,242240.47506261454,244486.47506261454,247080.47506261454,249729.47506261454,251034.47506261454,252309.47506261454,253831.47506261454,255462.47506261454,256596.47506261454,257185.47506261454,257880.47506261454,259088.47506261454,259815.47506261454,258661.47506261454,258967.47506261454,258611.47506261454,260373.4750626145,260690.47506261457,262559.4750626145,265519.4750626145,268320.4750626145,272189.4750626145,274668.4750626145,276835.4750626145,277531.4750626145,278583.4750626145,278615.4750626145,278574.4750626145,277268.4750626145,277234.4750626145,4098.126892062585,243215.95350881404,243120.95350881404,243260.95350881404,244422.95350881404,245358.95350881404,246754.95350881404,249000.95350881404,251594.95350881404,254243.95350881404,255548.95350881404,256823.95350881404,258345.95350881404,259976.95350881404,261110.95350881404,261699.95350881404,262394.95350881404,263602.95350881404,264329.95350881404,263175.95350881404,263481.95350881404,263125.95350881404,264887.95350881404,265204.9535088141,267073.95350881404,270033.95350881404,272834.95350881404,276703.95350881404,279182.95350881404,281349.95350881404,282045.95350881404,283097.95350881404,283129.95350881404,283088.95350881404,281782.95350881404,281748.95350881404,279763.71428571426,280872.4285714285,281981.1428571428,283089.85714285704,284198.5714285713,285307.28571428556,286415.9999999998,287524.7142857141,288633.42857142835,289742.1428571426,290850.85714285687,291959.57142857113,277506.4750626145,277680.21024860034,278071.4898378967,278575.37869665754,279151.2310842414,279778.2013902948,280443.9063660972,281140.2776400577,281861.71090212907,282604.1256882784,283364.44157776167,284140.26539007894,282020.95350881404,284064.6468942567,285890.79587638885,287604.33558905654,289245.9117729012,290836.3700382763,292388.09363390243,293909.15093137044,295405.1462407276,296880.1600260068,298337.27270795207,299778.8774670633
59027," ARIMA(0,1,0)(0,0,0)[12] intercept",58546.571949822646,2021.6715980445672,2429.685714285714,355933.6857142857,360583.6857142857,363031.6857142857,369711.6857142857,372294.6857142857,375919.6857142857,375457.6857142857,375752.6857142857,376371.6857142857,378821.6857142857,381632.6857142857,383200.6857142857,385392.6857142857,386384.6857142857,386259.6857142857,382797.6857142857,380826.6857142857,380902.6857142857,383915.6857142857,386394.6857142857,389379.6857142857,392786.6857142857,397897.6857142857,401644.6857142857,404967.6857142857,406867.6857142857,410112.6857142857,413448.6857142857,418932.6857142857,422773.6857142857,425196.6857142857,427656.6857142857,432336.6857142857,436763.6857142857,439407.6857142857,-2003.5354961021744,351957.256225468,356607.256225468,359055.256225468,365735.256225468,368318.256225468,371943.256225468,371481.256225468,371776.256225468,372395.256225468,374845.256225468,377656.256225468,379224.256225468,381416.256225468,382408.256225468,382283.256225468,378821.256225468,376850.256225468,376926.256225468,379939.256225468,382418.256225468,385403.256225468,388810.256225468,393921.256225468,397668.256225468,400991.256225468,402891.256225468,406136.256225468,409472.256225468,414956.256225468,418797.256225468,421220.256225468,423680.256225468,428360.256225468,432787.256225468,435431.256225468,6862.906924673602,359910.1152031034,364560.1152031034,367008.1152031034,373688.1152031034,376271.1152031034,379896.1152031034,379434.1152031034,379729.1152031034,380348.1152031034,382798.1152031034,385609.1152031034,387177.1152031034,389369.1152031034,390361.1152031034,390236.1152031034,386774.1152031034,384803.1152031034,384879.1152031034,387892.1152031034,390371.1152031034,393356.1152031034,396763.1152031034,401874.1152031034,405621.1152031034,408944.1152031034,410844.1152031034,414089.1152031034,417425.1152031034,422909.1152031034,426750.1152031034,429173.1152031034,431633.1152031034,436313.1152031034,440740.1152031034,443384.1152031034,440972.6857142857,443402.3714285714,445832.0571428571,448261.7428571428,450691.4285714285,453121.1142857142,455550.79999999993,457980.48571428563,460410.17142857134,462839.85714285704,465269.54285714275,467699.22857142845,436996.256225468,437778.8509156651,438944.6792355097,440308.8838795074,441799.8619266974,443380.89103995473,445030.1564666046,446733.4446884731,448480.88296211825,450265.28300313407,452081.21823742974,453924.4727567337,444949.1152031034,449025.8919414777,452719.4350502045,456214.6018347782,459582.9952161596,462861.3375314737,466071.44353339524,469227.5267400982,472339.4598950244,475414.43128258,478457.86747685575,481473.9843861232
59006," ARIMA(0,1,0)(0,0,0)[12] intercept",30731.308433519018,3004.735987983474,562.1142857142856,185317.11428571428,185705.11428571428,186276.11428571428,188248.11428571428,188577.11428571428,186326.11428571428,185395.11428571428,184793.11428571428,184663.11428571428,183683.11428571428,182886.11428571428,183496.11428571428,184021.11428571428,184744.11428571428,185189.11428571428,185540.11428571428,185508.11428571428,185410.11428571428,184537.11428571428,184472.11428571428,185606.11428571428,187616.11428571428,190497.11428571428,191558.11428571428,190843.11428571428,189165.11428571428,187709.11428571428,188377.11428571428,190411.11428571428,194534.11428571428,198632.11428571428,200753.11428571428,202237.11428571428,203711.11428571428,204332.11428571428,-2862.583606879798,182508.71672930525,182896.71672930525,183467.71672930525,185439.71672930525,185768.71672930525,183517.71672930525,182586.71672930525,181984.71672930525,181854.71672930525,180874.71672930525,180077.71672930525,180687.71672930525,181212.71672930525,181935.71672930525,182380.71672930525,182731.71672930525,182699.71672930525,182601.71672930525,181728.71672930525,181663.71672930525,182797.71672930525,184807.71672930525,187688.71672930525,188749.71672930525,188034.71672930525,186356.71672930525,184900.71672930525,185568.71672930525,187602.71672930525,191725.71672930525,195823.71672930525,197944.71672930525,199428.71672930525,200902.71672930525,201523.71672930525,3986.8121783083698,188125.51184212332,188513.51184212332,189084.51184212332,191056.51184212332,191385.51184212332,189134.51184212332,188203.51184212332,187601.51184212332,187471.51184212332,186491.51184212332,185694.51184212332,186304.51184212332,186829.51184212332,187552.51184212332,187997.51184212332,188348.51184212332,188316.51184212332,188218.51184212332,187345.51184212332,187280.51184212332,188414.51184212332,190424.51184212332,193305.51184212332,194366.51184212332,193651.51184212332,191973.51184212332,190517.51184212332,191185.51184212332,193219.51184212332,197342.51184212332,201440.51184212332,203561.51184212332,205045.51184212332,206519.51184212332,207140.51184212332,204991.11428571428,205553.22857142857,206115.34285714285,206677.45714285714,207239.57142857142,207801.6857142857,208363.8,208925.91428571427,209488.02857142856,210050.14285714284,210612.25714285712,211174.3714285714,202182.71672930525,201581.55465861945,201251.0556015901,201060.66203003906,200959.80358459652,200922.54470620444,200933.4784831402,200982.56646009604,201062.83590220145,201169.21000363908,201297.8561860974,201445.79691746595,207799.51184212332,209524.90248423768,210979.6301126956,212294.2522556752,213519.33927254632,214680.82672236697,215794.12151685977,216869.2621113325,217913.22124065566,218931.0757106466,219926.65809961685,220902.94593967687
59007," ARIMA(0,2,0)(0,0,0)[12]          ",29693.001591830718,2340.9390743887375,0.0,247129.3670259605,152808.00000000003,154691.99999999997,157812.0,159416.0,161016.0,163523.0,166135.0,168771.0,170115.0,171497.0,170631.0,173425.0,174579.0,175245.0,174493.0,175135.0,175455.0,174235.0,174118.0,173093.0,174985.0,174722.0,177941.0,180386.0,182214.0,182728.0,180990.0,182671.0,184455.0,186344.0,182811.0,182845.0,180215.0,183259.0,-3289.054654574606,244760.33574379588,151037.41736160367,152921.4173616036,156041.41736160364,157645.41736160364,159245.41736160364,161752.41736160364,164364.41736160364,167000.41736160364,168344.41736160364,169726.41736160364,168860.41736160364,171654.41736160364,172808.41736160364,173474.41736160364,172722.41736160364,173364.41736160364,173684.41736160364,172464.41736160364,172347.41736160364,171322.41736160364,173214.41736160364,172951.41736160364,176170.41736160364,178615.41736160364,180443.41736160364,180957.41736160364,179219.41736160364,180900.41736160364,182684.41736160364,184573.41736160364,181040.41736160364,181074.41736160364,178444.41736160364,181488.41736160364,3289.054654574606,249498.39830812512,154578.5826383964,156462.58263839633,159582.58263839636,161186.58263839636,162786.58263839636,165293.58263839636,167905.58263839636,170541.58263839636,171885.58263839636,173267.58263839636,172401.58263839636,175195.58263839636,176349.58263839636,177015.58263839636,176263.58263839636,176905.58263839636,177225.58263839636,176005.58263839636,175888.58263839636,174863.58263839636,176755.58263839636,176492.58263839636,179711.58263839636,182156.58263839636,183984.58263839636,184498.58263839636,182760.58263839636,184441.58263839636,186225.58263839636,188114.58263839636,184581.58263839636,184615.58263839636,181985.58263839636,185029.58263839636,184031.0,184790.0,185549.0,186308.0,187067.0,187826.0,188585.0,189344.0,190103.0,190862.0,191621.0,192380.0,182260.41736160364,180830.8568607648,178924.08639215055,176610.119490233,173936.00771584702,170935.71811885462,167635.1836973522,164055.0216221436,160212.12479323614,156120.65994862327,151792.72842098644,147238.82288194168,185801.58263839636,188749.1431392352,192173.91360784945,196005.880509767,200197.99228415298,204716.28188114538,209534.8163026478,214632.9783778564,219993.87520676386,225603.34005137673,231449.27157901356,237521.17711805832
