zip_code,model_order,train_rmse,test_rmse,train_pred_2016-01-31,train_pred_2016-02-29,train_pred_2016-03-31,train_pred_2016-04-30,train_pred_2016-05-31,train_pred_2016-06-30,train_pred_2016-07-31,train_pred_2016-08-31,train_pred_2016-09-30,train_pred_2016-10-31,train_pred_2016-11-30,train_pred_2016-12-31,train_pred_2017-01-31,train_pred_2017-02-28,train_pred_2017-03-31,train_pred_2017-04-30,train_pred_2017-05-31,train_pred_2017-06-30,train_pred_2017-07-31,train_pred_2017-08-31,train_pred_2017-09-30,train_pred_2017-10-31,train_pred_2017-11-30,train_pred_2017-12-31,train_pred_2018-01-31,train_pred_2018-02-28,train_pred_2018-03-31,train_pred_2018-04-30,train_pred_2018-05-31,train_pred_2018-06-30,train_pred_2018-07-31,train_pred_2018-08-31,train_pred_2018-09-30,train_pred_2018-10-31,train_pred_2018-11-30,train_pred_2018-12-31,train_lci_2016-01-31,train_lci_2016-02-29,train_lci_2016-03-31,train_lci_2016-04-30,train_lci_2016-05-31,train_lci_2016-06-30,train_lci_2016-07-31,train_lci_2016-08-31,train_lci_2016-09-30,train_lci_2016-10-31,train_lci_2016-11-30,train_lci_2016-12-31,train_lci_2017-01-31,train_lci_2017-02-28,train_lci_2017-03-31,train_lci_2017-04-30,train_lci_2017-05-31,train_lci_2017-06-30,train_lci_2017-07-31,train_lci_2017-08-31,train_lci_2017-09-30,train_lci_2017-10-31,train_lci_2017-11-30,train_lci_2017-12-31,train_lci_2018-01-31,train_lci_2018-02-28,train_lci_2018-03-31,train_lci_2018-04-30,train_lci_2018-05-31,train_lci_2018-06-30,train_lci_2018-07-31,train_lci_2018-08-31,train_lci_2018-09-30,train_lci_2018-10-31,train_lci_2018-11-30,train_lci_2018-12-31,train_uci_2016-01-31,train_uci_2016-02-29,train_uci_2016-03-31,train_uci_2016-04-30,train_uci_2016-05-31,train_uci_2016-06-30,train_uci_2016-07-31,train_uci_2016-08-31,train_uci_2016-09-30,train_uci_2016-10-31,train_uci_2016-11-30,train_uci_2016-12-31,train_uci_2017-01-31,train_uci_2017-02-28,train_uci_2017-03-31,train_uci_2017-04-30,train_uci_2017-05-31,train_uci_2017-06-30,train_uci_2017-07-31,train_uci_2017-08-31,train_uci_2017-09-30,train_uci_2017-10-31,train_uci_2017-11-30,train_uci_2017-12-31,train_uci_2018-01-31,train_uci_2018-02-28,train_uci_2018-03-31,train_uci_2018-04-30,train_uci_2018-05-31,train_uci_2018-06-30,train_uci_2018-07-31,train_uci_2018-08-31,train_uci_2018-09-30,train_uci_2018-10-31,train_uci_2018-11-30,train_uci_2018-12-31,test_pred_2019-01-31,test_pred_2019-02-28,test_pred_2019-03-31,test_pred_2019-04-30,test_pred_2019-05-31,test_pred_2019-06-30,test_pred_2019-07-31,test_pred_2019-08-31,test_pred_2019-09-30,test_pred_2019-10-31,test_pred_2019-11-30,test_pred_2019-12-31,test_lci_2019-01-31,test_lci_2019-02-28,test_lci_2019-03-31,test_lci_2019-04-30,test_lci_2019-05-31,test_lci_2019-06-30,test_lci_2019-07-31,test_lci_2019-08-31,test_lci_2019-09-30,test_lci_2019-10-31,test_lci_2019-11-30,test_lci_2019-12-31,test_uci_2019-01-31,test_uci_2019-02-28,test_uci_2019-03-31,test_uci_2019-04-30,test_uci_2019-05-31,test_uci_2019-06-30,test_uci_2019-07-31,test_uci_2019-08-31,test_uci_2019-09-30,test_uci_2019-10-31,test_uci_2019-11-30,test_uci_2019-12-31
03031," ARIMA(0,1,0)(0,0,0)[12] intercept",55519.550110751115,5272.447128173666,1515.9142857142856,336075.9142857142,337654.9142857143,338820.9142857143,339463.9142857143,339607.9142857143,339480.9142857143,338990.9142857143,339762.9142857143,342307.9142857143,345387.9142857143,347666.9142857143,349904.9142857143,352869.9142857143,356902.9142857143,357895.9142857143,358946.9142857143,360189.9142857143,363141.9142857143,366584.9142857143,369199.9142857143,371146.9142857143,373245.9142857143,376421.9142857143,379221.9142857143,380869.9142857143,380447.9142857143,381842.9142857143,383009.9142857143,383958.9142857143,384058.9142857143,384547.9142857143,386567.9142857143,388376.9142857143,389245.9142857143,388865.9142857143,-1516.342889012239,333762.2322088103,335341.2322088104,336507.2322088104,337150.2322088104,337294.2322088104,337167.2322088104,336677.2322088104,337449.2322088104,339994.2322088104,343074.2322088104,345353.2322088104,347591.2322088104,350556.2322088104,354589.2322088104,355582.2322088104,356633.2322088104,357876.2322088104,360828.2322088104,364271.2322088104,366886.2322088104,368833.2322088104,370932.2322088104,374108.2322088104,376908.2322088104,378556.2322088104,378134.2322088104,379529.2322088104,380696.2322088104,381645.2322088104,381745.2322088104,382234.2322088104,384254.2322088104,386063.2322088104,386932.2322088104,386552.2322088104,4548.17146044081,338389.59636261815,339968.59636261815,341134.59636261815,341777.59636261815,341921.59636261815,341794.59636261815,341304.59636261815,342076.59636261815,344621.59636261815,347701.59636261815,349980.59636261815,352218.59636261815,355183.59636261815,359216.59636261815,360209.59636261815,361260.59636261815,362503.59636261815,365455.59636261815,368898.59636261815,371513.59636261815,373460.59636261815,375559.59636261815,378735.59636261815,381535.59636261815,383183.59636261815,382761.59636261815,384156.59636261815,385323.59636261815,386272.59636261815,386372.59636261815,386861.59636261815,388881.59636261815,390690.59636261815,391559.59636261815,391179.59636261815,389132.9142857143,390648.82857142854,392164.7428571428,393680.6571428571,395196.57142857136,396712.48571428563,398228.3999999999,399744.3142857142,401260.22857142845,402776.1428571427,404292.057142857,405807.97142857127,386819.2322088104,387376.7879992515,388157.32794738375,389053.2929890493,390023.02102629136,391045.1451988482,392106.9726116448,393200.2331413601,394319.18234071677,395459.6377126175,396618.44180959655,397793.1416090532,391446.59636261815,393920.8691436056,396172.1577669019,398308.0212966649,400370.12183085136,402379.82622972305,404349.82738835504,406288.39543006825,408201.27480214013,410092.6480016679,411965.67247611744,413822.80124808935
03045," ARIMA(0,1,0)(0,0,0)[12] intercept",42325.61205843146,4972.411023442843,1428.485714285714,256724.48571428575,258507.48571428572,258622.48571428572,258457.48571428572,257859.48571428572,258309.48571428572,258362.48571428572,259481.48571428572,261712.48571428572,264307.4857142857,266108.4857142857,266342.4857142857,268231.4857142857,270944.4857142857,274096.4857142857,276434.4857142857,278560.4857142857,280639.4857142857,282937.4857142857,285206.4857142857,287061.4857142857,289200.4857142857,291758.4857142857,293510.4857142857,293597.4857142857,292386.4857142857,292734.4857142857,293448.4857142857,294258.4857142857,295475.4857142857,296807.4857142857,299439.4857142857,301230.4857142857,302858.4857142857,303111.4857142857,-1511.5142215709875,254533.106969718,256316.10696971798,256431.10696971798,256266.10696971798,255668.10696971798,256118.10696971798,256171.10696971798,257290.10696971798,259521.10696971798,262116.10696971795,263917.10696971795,264151.10696971795,266040.10696971795,268753.10696971795,271905.10696971795,274243.10696971795,276369.10696971795,278448.10696971795,280746.10696971795,283015.10696971795,284870.10696971795,287009.10696971795,289567.10696971795,291319.10696971795,291406.10696971795,290195.10696971795,290543.10696971795,291257.10696971795,292067.10696971795,293284.10696971795,294616.10696971795,297248.10696971795,299039.10696971795,300667.10696971795,300920.10696971795,4368.485650142416,258915.8644588535,260698.86445885347,260813.86445885347,260648.86445885347,260050.86445885347,260500.86445885347,260553.86445885347,261672.86445885347,263903.86445885344,266498.86445885344,268299.86445885344,268533.86445885344,270422.86445885344,273135.86445885344,276287.86445885344,278625.86445885344,280751.86445885344,282830.86445885344,285128.86445885344,287397.86445885344,289252.86445885344,291391.86445885344,293949.86445885344,295701.86445885344,295788.86445885344,294577.86445885344,294925.86445885344,295639.86445885344,296449.86445885344,297666.86445885344,298998.86445885344,301630.86445885344,303421.86445885344,305049.86445885344,305302.86445885344,306721.4857142857,308149.9714285714,309578.4571428571,311006.94285714277,312435.42857142846,313863.91428571416,315292.39999999985,316720.88571428554,318149.37142857123,319577.8571428569,321006.3428571426,322434.8285714283,304530.10696971795,305050.89388770756,305782.8778186393,306624.1853680073,307535.35673412686,308496.1545283424,309494.55681352067,310522.7306325579,311575.235194868,312648.1090939425,313738.3617878514,314843.66992299265,308912.86445885344,311249.0489694352,313374.0364670749,315389.70034627826,317335.50040873006,319231.6740430859,321090.243186479,322919.0407960132,324723.50766227447,326507.60519177135,328274.32392643386,330025.987219864
03047," ARIMA(0,1,0)(0,0,0)[12] intercept",37118.35326114174,1846.9644539670662,1075.6285714285714,224832.6285714286,225914.62857142856,226734.62857142856,226515.62857142856,226619.62857142856,227154.62857142856,227499.62857142856,228505.62857142856,229005.62857142856,230070.62857142856,230812.62857142856,231632.62857142856,232487.62857142856,234243.62857142856,235807.62857142856,237303.62857142856,237927.62857142856,239298.62857142856,240993.62857142856,242294.62857142856,244012.62857142856,245831.62857142856,248134.62857142856,249530.62857142856,249624.62857142856,249676.62857142856,250611.62857142856,252467.62857142856,254304.62857142856,255805.62857142856,257140.62857142856,258763.62857142856,259873.62857142856,260599.62857142856,260980.62857142856,-1214.9594642373186,223647.16042405323,224729.1604240532,225549.1604240532,225330.1604240532,225434.1604240532,225969.1604240532,226314.1604240532,227320.1604240532,227820.1604240532,228885.1604240532,229627.1604240532,230447.1604240532,231302.1604240532,233058.1604240532,234622.1604240532,236118.1604240532,236742.1604240532,238113.1604240532,239808.1604240532,241109.1604240532,242827.1604240532,244646.1604240532,246949.1604240532,248345.1604240532,248439.1604240532,248491.1604240532,249426.1604240532,251282.1604240532,253119.1604240532,254620.1604240532,255955.1604240532,257578.1604240532,258688.1604240532,259414.1604240532,259795.1604240532,3366.2166070944613,226018.09671880395,227100.09671880392,227920.09671880392,227701.09671880392,227805.09671880392,228340.09671880392,228685.09671880392,229691.09671880392,230191.09671880392,231256.09671880392,231998.09671880392,232818.09671880392,233673.09671880392,235429.09671880392,236993.09671880392,238489.09671880392,239113.09671880392,240484.09671880392,242179.09671880392,243480.09671880392,245198.09671880392,247017.09671880392,249320.09671880392,250716.09671880392,250810.09671880392,250862.09671880392,251797.09671880392,253653.09671880392,255490.09671880392,256991.09671880392,258326.09671880392,259949.09671880392,261059.09671880392,261785.09671880392,262166.0967188039,262479.6285714286,263555.2571428572,264630.8857142858,265706.51428571437,266782.14285714296,267857.77142857155,268933.40000000014,270009.02857142873,271084.6571428573,272160.2857142859,273235.9142857145,274311.5428571431,261294.16042405323,261878.75201107762,262577.59465227707,263335.57799096365,264131.3554944509,264953.9793611794,265796.9460948564,266656.0183078696,267528.2527007312,268411.5062749996,269304.16123995266,270204.9607331257,263665.096718804,265231.7622746367,266684.1767762945,268077.4505804651,269432.930219835,270761.5634959637,272069.85390514386,273362.03883498785,274641.0615849834,275909.06515357224,277167.66733147635,278418.1249811605
03034," ARIMA(0,1,0)(0,0,0)[12] intercept",45853.42857223193,3825.9484495267434,1153.0857142857142,277318.0857142857,277707.0857142857,275900.0857142857,274089.0857142857,273714.0857142857,275317.0857142857,276451.0857142857,277165.0857142857,278382.0857142857,279420.0857142857,279287.0857142857,278192.0857142857,277712.0857142857,280466.0857142857,284507.0857142857,288326.0857142857,289289.0857142857,289862.0857142857,291342.0857142857,293579.0857142857,295198.0857142857,296453.0857142857,298901.0857142857,301517.0857142857,304278.0857142857,304761.0857142857,306286.0857142857,306878.0857142857,308569.0857142857,309369.0857142857,310376.0857142857,312260.0857142857,313756.0857142857,315794.0857142857,316308.0857142857,-2072.1603920710295,274756.68890280277,275145.68890280277,273338.68890280277,271527.68890280277,271152.68890280277,272755.68890280277,273889.68890280277,274603.68890280277,275820.68890280277,276858.68890280277,276725.68890280277,275630.68890280277,275150.68890280277,277904.68890280277,281945.68890280277,285764.68890280277,286727.68890280277,287300.68890280277,288780.68890280277,291017.68890280277,292636.68890280277,293891.68890280277,296339.68890280277,298955.68890280277,301716.68890280277,302199.68890280277,303724.68890280277,304316.68890280277,306007.68890280277,306807.68890280277,307814.68890280277,309698.68890280277,311194.68890280277,313232.68890280277,313746.68890280277,4378.331820642457,279879.4825257687,280268.4825257687,278461.4825257687,276650.4825257687,276275.4825257687,277878.4825257687,279012.4825257687,279726.4825257687,280943.4825257687,281981.4825257687,281848.4825257687,280753.4825257687,280273.4825257687,283027.4825257687,287068.4825257687,290887.4825257687,291850.4825257687,292423.4825257687,293903.4825257687,296140.4825257687,297759.4825257687,299014.4825257687,301462.4825257687,304078.4825257687,306839.4825257687,307322.4825257687,308847.4825257687,309439.4825257687,311130.4825257687,311930.4825257687,312937.4825257687,314821.4825257687,316317.4825257687,318355.4825257687,318869.4825257687,317676.0857142857,318829.17142857146,319982.2571428572,321135.3428571429,322288.42857142864,323441.51428571437,324594.6000000001,325747.6857142858,326900.77142857155,328053.8571428573,329206.942857143,330360.02857142873,315114.68890280277,315206.809319153,315545.7877270237,316012.5492341769,316560.9711836015,317167.39906878927,317817.78102786234,318502.96149544895,319216.5809941226,319954.0092270781,320711.75069424126,321487.08973976184,320237.4825257687,322451.5335379899,324418.72655869066,326258.1364801089,328015.8859592558,329715.62950263947,331371.41897213785,332992.4099331227,334584.9618630205,336153.70505863643,337702.13502004475,339232.9674030956
03038," ARIMA(0,1,0)(0,0,0)[12] intercept",42221.188391556774,5949.215840141073,1763.6571428571426,256771.65714285712,257152.65714285715,257770.65714285715,258969.65714285715,260977.65714285715,263024.65714285715,264347.65714285715,265429.65714285715,266858.65714285715,268535.65714285715,270306.65714285715,271480.65714285715,273477.65714285715,278093.65714285715,282619.65714285715,286081.65714285715,286358.65714285715,286523.65714285715,288157.65714285715,291101.65714285715,293633.65714285715,295749.65714285715,298404.65714285715,301768.65714285715,305082.65714285715,306051.65714285715,306797.65714285715,306881.65714285715,308439.65714285715,309871.65714285715,311007.65714285715,312467.65714285715,313901.65714285715,315922.65714285715,317109.65714285715,-1142.2645003176938,254626.2150495864,255007.21504958643,255625.21504958643,256824.21504958643,258832.21504958643,260879.21504958643,262202.21504958643,263284.21504958643,264713.21504958643,266390.21504958643,268161.21504958643,269335.21504958643,271332.21504958643,275948.21504958643,280474.21504958643,283936.21504958643,284213.21504958643,284378.21504958643,286012.21504958643,288956.21504958643,291488.21504958643,293604.21504958643,296259.21504958643,299623.21504958643,302937.21504958643,303906.21504958643,304652.21504958643,304736.21504958643,306294.21504958643,307726.21504958643,308862.21504958643,310322.21504958643,311756.21504958643,313777.21504958643,314964.21504958643,4669.578786031979,258917.09923612783,259298.09923612786,259916.09923612786,261115.09923612786,263123.09923612786,265170.09923612786,266493.09923612786,267575.09923612786,269004.09923612786,270681.09923612786,272452.09923612786,273626.09923612786,275623.09923612786,280239.09923612786,284765.09923612786,288227.09923612786,288504.09923612786,288669.09923612786,290303.09923612786,293247.09923612786,295779.09923612786,297895.09923612786,300550.09923612786,303914.09923612786,307228.09923612786,308197.09923612786,308943.09923612786,309027.09923612786,310585.09923612786,312017.09923612786,313153.09923612786,314613.09923612786,316047.09923612786,318068.09923612786,319255.09923612786,318499.65714285715,320263.3142857143,322026.97142857144,323790.6285714286,325554.28571428574,327317.9428571429,329081.60000000003,330845.2571428572,332608.91428571433,334372.5714285715,336136.2285714286,337899.8857142858,316354.21504958643,317229.2009801247,318310.95671832963,319499.74438488716,320756.931351943,322062.704455941,323405.2937689159,324777.03053167806,326172.5880059022,327588.0878258366,329020.602138615,330467.85629380215,320645.09923612786,323297.4275913039,325742.98613881326,328081.51275797,330351.6400766285,332573.1812583448,334757.9062310842,336913.4837540363,339045.2405655265,341157.05503130634,343251.8550042423,345331.9151347694
03051," ARIMA(0,1,0)(0,0,0)[12] intercept",47287.62052346257,8446.53207523407,1568.6857142857143,286809.6857142857,288096.6857142857,288752.6857142857,289690.6857142857,290544.6857142857,291479.6857142857,292631.6857142857,294515.6857142857,297139.6857142857,299901.6857142857,301426.6857142857,302001.6857142857,303026.6857142857,305230.6857142857,306544.6857142857,307995.6857142857,308819.6857142857,311168.6857142857,313595.6857142857,315833.6857142857,318199.6857142857,320613.6857142857,323519.6857142857,326316.6857142857,329239.6857142857,331474.6857142857,333935.6857142857,335954.6857142857,337523.6857142857,338745.6857142857,339365.6857142857,341457.6857142857,342577.6857142857,343252.6857142857,342519.6857142857,-1108.5352989891617,284985.9386009977,286272.9386009977,286928.9386009977,287866.9386009977,288720.9386009977,289655.9386009977,290807.9386009977,292691.9386009977,295315.9386009977,298077.9386009977,299602.9386009977,300177.9386009977,301202.9386009977,303406.9386009977,304720.9386009977,306171.9386009977,306995.9386009977,309344.9386009977,311771.9386009977,314009.9386009977,316375.9386009977,318789.9386009977,321695.9386009977,324492.9386009977,327415.9386009977,329650.9386009977,332111.9386009977,334130.9386009977,335699.9386009977,336921.9386009977,337541.9386009977,339633.9386009977,340753.9386009977,341428.9386009977,340695.9386009977,4245.90672756059,288633.43282757374,289920.43282757374,290576.43282757374,291514.43282757374,292368.43282757374,293303.43282757374,294455.43282757374,296339.43282757374,298963.43282757374,301725.43282757374,303250.43282757374,303825.43282757374,304850.43282757374,307054.43282757374,308368.43282757374,309819.43282757374,310643.43282757374,312992.43282757374,315419.43282757374,317657.43282757374,320023.43282757374,322437.43282757374,325343.43282757374,328140.43282757374,331063.43282757374,333298.43282757374,335759.43282757374,337778.43282757374,339347.43282757374,340569.43282757374,341189.43282757374,343281.43282757374,344401.43282757374,345076.43282757374,344343.43282757374,341713.6857142857,343282.3714285714,344851.0571428571,346419.7428571428,347988.4285714285,349557.1142857142,351125.79999999993,352694.48571428563,354263.17142857134,355831.85714285704,357400.54285714275,358969.22857142845,339889.9386009977,340703.2035266207,341692.23448248516,342772.24863056676,343910.40605234745,345089.86443828477,346300.61868396786,347536.1499103842,348791.93008870725,350064.6623887097,351351.85796987254,352651.58325068455,343537.43282757374,345861.5393305221,348009.87980322907,350067.2370837189,352066.4510905096,354024.3641331437,355950.981316032,357852.82151818706,359734.41276843543,361599.05189700436,363449.22774441296,365286.87389217236
03033," ARIMA(0,1,0)(2,0,0)[12] intercept",53634.95648630282,8473.254932651635,1597.3988558292351,324929.3988558291,326517.3988558294,326164.3988558292,326841.39885582926,328136.3988558292,329686.3988558292,331267.39885582926,333846.3988558292,337408.3988558292,339873.39885582926,340524.3988558292,338136.9795124106,339802.4853699067,341403.35178124346,343610.8708932079,346691.18236038677,348398.835150242,350664.54980312637,352021.36346695217,353815.315201963,355264.412807958,357679.11021659523,361260.38603003544,366565.83233780635,368126.4400743743,369787.063664942,372521.0096973832,373442.4750701719,373509.8493927106,372553.35130077315,372287.9290968296,374970.6655408371,377749.41252423916,380359.34818107396,380343.96083767095,-1550.4906267177182,322466.1186497552,324054.1186497555,323701.1186497553,324378.1186497554,325673.1186497553,327223.1186497553,328804.1186497554,331383.1186497553,334945.1186497553,337410.1186497554,338061.1186497553,335673.7632064637,337339.30951963644,338940.1759309732,341147.69504293764,344228.0065101165,345935.65929997177,348201.3739528561,349558.1876166819,351352.13935169275,352801.23695768777,355215.934366325,358797.2101797652,364102.72571172926,365663.37727847334,367324.000869041,370057.94690148224,370979.4122742709,371046.78659680963,370090.2885048722,369824.86630092864,372507.6027449361,375286.3497283382,377896.285385173,377880.89804177,4745.288338376188,327392.679061903,328980.67906190327,328627.6790619031,329304.67906190315,330599.6790619031,332149.6790619031,333730.67906190315,336309.6790619031,339871.6790619031,342336.67906190315,342987.6790619031,340600.19581835746,342265.66122017696,343866.5276315137,346074.04674347816,349154.358210657,350862.0110005123,353127.7256533966,354484.5393172224,356278.49105223326,357727.5886582283,360142.2860668655,363723.5618803057,369028.93896388344,370589.5028702753,372250.12646084296,374984.0724932842,375905.53786607285,375972.9121886116,375016.4140966741,374750.9918927306,377433.7283367381,380212.47532014013,382822.41097697493,382807.0236335719,380778.65940265544,382375.12168385537,383968.1132169798,385586.10472684813,387198.5070193486,388825.6719236932,390437.8871346586,392027.47740463185,393612.4133104574,395207.9959414424,396838.90243626275,398464.4161405387,378315.59660675447,378891.82487291563,379701.96331224666,380659.9791350462,381690.93117486336,382792.4248693029,383921.23551316914,385060.8837827523,386223.2249227545,387419.1074863729,388669.8473071755,389932.1163310724,383241.7221985564,385858.4184947951,388234.2631217129,390512.2303186501,392706.0828638339,394858.91897808353,396954.538756148,398994.0710265114,401001.60169816035,402996.8843965119,405007.95756535,406996.715950005
03052," ARIMA(0,1,0)(0,0,0)[12] intercept",50696.94510018173,1075.4926159703823,1212.8857142857141,306523.88571428566,308556.8857142857,308438.8857142857,308275.8857142857,307554.8857142857,307036.8857142857,306314.8857142857,307482.8857142857,310630.8857142857,315523.8857142857,318845.8857142857,320315.8857142857,321426.8857142857,323589.8857142857,324721.8857142857,325869.8857142857,326682.8857142857,329586.8857142857,332202.8857142857,334070.8857142857,335398.8857142857,336063.8857142857,337980.8857142857,339664.8857142857,341397.8857142857,341641.8857142857,342828.8857142857,343727.8857142857,344226.8857142857,343944.8857142857,343745.8857142857,344287.8857142857,345098.8857142857,346601.8857142857,347577.8857142857,-1856.2955425296182,304162.0189173446,306195.0189173447,306077.0189173447,305914.0189173447,305193.0189173447,304675.0189173447,303953.0189173447,305121.0189173447,308269.0189173447,313162.0189173447,316484.0189173447,317954.0189173447,319065.0189173447,321228.0189173447,322360.0189173447,323508.0189173447,324321.0189173447,327225.0189173447,329841.0189173447,331709.0189173447,333037.0189173447,333702.0189173447,335619.0189173447,337303.0189173447,339036.0189173447,339280.0189173447,340467.0189173447,341366.0189173447,341865.0189173447,341583.0189173447,341384.0189173447,341926.0189173447,342737.0189173447,344240.0189173447,345216.0189173447,4282.066971101047,308885.7525112267,310918.75251122675,310800.75251122675,310637.75251122675,309916.75251122675,309398.75251122675,308676.75251122675,309844.75251122675,312992.75251122675,317885.75251122675,321207.75251122675,322677.75251122675,323788.75251122675,325951.75251122675,327083.75251122675,328231.75251122675,329044.75251122675,331948.75251122675,334564.75251122675,336432.75251122675,337760.75251122675,338425.75251122675,340342.75251122675,342026.75251122675,343759.75251122675,344003.75251122675,345190.75251122675,346089.75251122675,346588.75251122675,346306.75251122675,346107.75251122675,346649.75251122675,347460.75251122675,348963.75251122675,349939.75251122675,348974.8857142857,350187.77142857143,351400.65714285715,352613.54285714286,353826.4285714286,355039.3142857143,356252.2,357465.0857142857,358677.97142857144,359890.85714285716,361103.7428571429,362316.6285714286,346613.0189173447,346847.5873718187,347309.78384984535,347889.8092632608,348545.1338596688,349253.9457927871,350003.28782543336,350784.71760078036,351592.3710377484,352421.97853459715,353270.31688689097,354134.881985405,351336.75251122675,353527.95548532414,355491.53043586895,357337.2764510249,359107.72328318836,360824.68277864147,362501.11217456666,364145.4538277911,365763.5718193945,367359.7357511172,368937.1688273948,370498.3751574522
03055," ARIMA(0,1,0)(0,0,0)[12] intercept",41610.865721998016,3748.81695769662,1237.9714285714285,252110.9714285714,253230.9714285714,253735.9714285714,254165.9714285714,254470.9714285714,254687.9714285714,254581.9714285714,255285.9714285714,256540.9714285714,258444.9714285714,259266.9714285714,259737.9714285714,260851.9714285714,263102.97142857144,265176.97142857144,266735.97142857144,268283.97142857144,270223.97142857144,271769.97142857144,273184.97142857144,274820.97142857144,276560.97142857144,278916.97142857144,280611.97142857144,281842.97142857144,282034.97142857144,282953.97142857144,284388.97142857144,285323.97142857144,286079.97142857144,287349.97142857144,289689.97142857144,291875.97142857144,293604.97142857144,294297.97142857144,-1106.0802022456269,250825.23458642914,251945.23458642914,252450.23458642914,252880.23458642914,253185.23458642914,253402.23458642914,253296.23458642914,254000.23458642914,255255.23458642914,257159.23458642914,257981.23458642914,258452.23458642914,259566.23458642914,261817.23458642917,263891.2345864292,265450.2345864292,266998.2345864292,268938.2345864292,270484.2345864292,271899.2345864292,273535.2345864292,275275.2345864292,277631.2345864292,279326.2345864292,280557.2345864292,280749.2345864292,281668.2345864292,283103.2345864292,284038.2345864292,284794.2345864292,286064.2345864292,288404.2345864292,290590.2345864292,292319.2345864292,293012.2345864292,3582.023059388484,253396.7082707137,254516.7082707137,255021.7082707137,255451.7082707137,255756.7082707137,255973.7082707137,255867.7082707137,256571.7082707137,257826.7082707137,259730.7082707137,260552.7082707137,261023.7082707137,262137.7082707137,264388.7082707137,266462.7082707137,268021.7082707137,269569.7082707137,271509.7082707137,273055.7082707137,274470.7082707137,276106.7082707137,277846.7082707137,280202.7082707137,281897.7082707137,283128.7082707137,283320.7082707137,284239.7082707137,285674.7082707137,286609.7082707137,287365.7082707137,288635.7082707137,290975.7082707137,293161.7082707137,294890.7082707137,295583.7082707137,295439.97142857144,296677.9428571429,297915.91428571433,299153.8857142858,300391.8571428572,301629.82857142866,302867.8000000001,304105.77142857155,305343.742857143,306581.71428571444,307819.6857142859,309057.6571428573,294154.2345864292,294859.6363773425,295688.95274996076,296582.41203000123,297516.8621626512,298480.42936468276,299466.0600642181,300469.15846897085,301486.5323307162,302515.8573929525,303555.3790297636,304603.7340713502,296725.7082707137,298496.24933694326,300142.8758214679,301725.3593985703,303266.85212306323,304779.22777817457,306269.5399357821,307742.38438817224,309200.9533835698,310647.5711784764,312083.9923988082,313511.58021436445
03054," ARIMA(0,1,0)(0,0,0)[12] intercept",46527.71937989799,5421.926438147058,1424.9428571428568,281940.9428571429,283795.9428571428,284086.9428571428,283897.9428571428,283381.9428571428,283490.9428571428,283657.9428571428,285112.9428571428,287702.9428571428,290301.9428571428,291185.9428571428,290999.9428571428,291552.9428571428,293588.9428571428,296474.9428571428,299508.9428571428,302583.9428571428,305398.9428571428,308209.9428571428,309810.9428571428,311095.9428571428,312224.9428571428,315097.9428571428,317972.9428571428,320363.9428571428,321087.9428571428,322152.9428571428,322982.9428571428,323074.9428571428,323191.9428571428,323840.9428571428,326178.9428571428,328371.9428571428,330252.9428571428,331005.9428571428,-1482.417193542454,279793.55289637035,281648.5528963703,281939.5528963703,281750.5528963703,281234.5528963703,281343.5528963703,281510.5528963703,282965.5528963703,285555.5528963703,288154.5528963703,289038.5528963703,288852.5528963703,289405.5528963703,291441.5528963703,294327.5528963703,297361.5528963703,300436.5528963703,303251.5528963703,306062.5528963703,307663.5528963703,308948.5528963703,310077.5528963703,312950.5528963703,315825.5528963703,318216.5528963703,318940.5528963703,320005.5528963703,320835.5528963703,320927.5528963703,321044.5528963703,321693.5528963703,324031.5528963703,326224.5528963703,328105.5528963703,328858.5528963703,4332.302907828168,284088.3328179154,285943.33281791536,286234.33281791536,286045.33281791536,285529.33281791536,285638.33281791536,285805.33281791536,287260.33281791536,289850.33281791536,292449.33281791536,293333.33281791536,293147.33281791536,293700.33281791536,295736.33281791536,298622.33281791536,301656.33281791536,304731.33281791536,307546.33281791536,310357.33281791536,311958.33281791536,313243.33281791536,314372.33281791536,317245.33281791536,320120.33281791536,322511.33281791536,323235.33281791536,324300.33281791536,325130.33281791536,325222.33281791536,325339.33281791536,325988.33281791536,328326.33281791536,330519.33281791536,332400.33281791536,333153.33281791536,331813.9428571428,333238.88571428566,334663.8285714285,336088.7714285713,337513.71428571414,338938.657142857,340363.5999999998,341788.54285714263,343213.48571428546,344638.4285714283,346063.3714285711,347488.31428571395,329666.5528963703,330202.0177080573,330944.44005570706,331793.9915070262,332712.0043592261,333678.647460189,334682.14019591885,335714.80684468587,336771.3158319678,337847.7852708074,338941.28465011256,340049.53725427116,333961.33281791536,336275.753720514,338383.2170871499,340383.55135011644,342315.4242122022,344198.66682552494,346045.05980408075,347862.2788695994,349655.6555966031,351429.0718720492,353185.4582070297,354927.09131715674
