zip_code,model_order,train_rmse,test_rmse,train_pred_2016-01-31,train_pred_2016-02-29,train_pred_2016-03-31,train_pred_2016-04-30,train_pred_2016-05-31,train_pred_2016-06-30,train_pred_2016-07-31,train_pred_2016-08-31,train_pred_2016-09-30,train_pred_2016-10-31,train_pred_2016-11-30,train_pred_2016-12-31,train_pred_2017-01-31,train_pred_2017-02-28,train_pred_2017-03-31,train_pred_2017-04-30,train_pred_2017-05-31,train_pred_2017-06-30,train_pred_2017-07-31,train_pred_2017-08-31,train_pred_2017-09-30,train_pred_2017-10-31,train_pred_2017-11-30,train_pred_2017-12-31,train_pred_2018-01-31,train_pred_2018-02-28,train_pred_2018-03-31,train_pred_2018-04-30,train_pred_2018-05-31,train_pred_2018-06-30,train_pred_2018-07-31,train_pred_2018-08-31,train_pred_2018-09-30,train_pred_2018-10-31,train_pred_2018-11-30,train_pred_2018-12-31,train_lci_2016-01-31,train_lci_2016-02-29,train_lci_2016-03-31,train_lci_2016-04-30,train_lci_2016-05-31,train_lci_2016-06-30,train_lci_2016-07-31,train_lci_2016-08-31,train_lci_2016-09-30,train_lci_2016-10-31,train_lci_2016-11-30,train_lci_2016-12-31,train_lci_2017-01-31,train_lci_2017-02-28,train_lci_2017-03-31,train_lci_2017-04-30,train_lci_2017-05-31,train_lci_2017-06-30,train_lci_2017-07-31,train_lci_2017-08-31,train_lci_2017-09-30,train_lci_2017-10-31,train_lci_2017-11-30,train_lci_2017-12-31,train_lci_2018-01-31,train_lci_2018-02-28,train_lci_2018-03-31,train_lci_2018-04-30,train_lci_2018-05-31,train_lci_2018-06-30,train_lci_2018-07-31,train_lci_2018-08-31,train_lci_2018-09-30,train_lci_2018-10-31,train_lci_2018-11-30,train_lci_2018-12-31,train_uci_2016-01-31,train_uci_2016-02-29,train_uci_2016-03-31,train_uci_2016-04-30,train_uci_2016-05-31,train_uci_2016-06-30,train_uci_2016-07-31,train_uci_2016-08-31,train_uci_2016-09-30,train_uci_2016-10-31,train_uci_2016-11-30,train_uci_2016-12-31,train_uci_2017-01-31,train_uci_2017-02-28,train_uci_2017-03-31,train_uci_2017-04-30,train_uci_2017-05-31,train_uci_2017-06-30,train_uci_2017-07-31,train_uci_2017-08-31,train_uci_2017-09-30,train_uci_2017-10-31,train_uci_2017-11-30,train_uci_2017-12-31,train_uci_2018-01-31,train_uci_2018-02-28,train_uci_2018-03-31,train_uci_2018-04-30,train_uci_2018-05-31,train_uci_2018-06-30,train_uci_2018-07-31,train_uci_2018-08-31,train_uci_2018-09-30,train_uci_2018-10-31,train_uci_2018-11-30,train_uci_2018-12-31,test_pred_2019-01-31,test_pred_2019-02-28,test_pred_2019-03-31,test_pred_2019-04-30,test_pred_2019-05-31,test_pred_2019-06-30,test_pred_2019-07-31,test_pred_2019-08-31,test_pred_2019-09-30,test_pred_2019-10-31,test_pred_2019-11-30,test_pred_2019-12-31,test_lci_2019-01-31,test_lci_2019-02-28,test_lci_2019-03-31,test_lci_2019-04-30,test_lci_2019-05-31,test_lci_2019-06-30,test_lci_2019-07-31,test_lci_2019-08-31,test_lci_2019-09-30,test_lci_2019-10-31,test_lci_2019-11-30,test_lci_2019-12-31,test_uci_2019-01-31,test_uci_2019-02-28,test_uci_2019-03-31,test_uci_2019-04-30,test_uci_2019-05-31,test_uci_2019-06-30,test_uci_2019-07-31,test_uci_2019-08-31,test_uci_2019-09-30,test_uci_2019-10-31,test_uci_2019-11-30,test_uci_2019-12-31
07016," ARIMA(0,1,0)(0,0,0)[12] intercept",78111.39674145507,16810.84466838661,1779.9142857142854,471968.9142857143,469737.9142857143,466471.9142857143,467431.9142857143,470487.9142857143,472755.9142857143,475565.9142857143,477344.9142857143,479625.9142857143,484499.9142857143,489473.9142857143,490693.9142857143,492569.9142857143,496601.9142857143,505676.9142857143,511919.9142857143,513022.9142857143,511695.9142857143,511006.9142857143,514104.9142857143,518776.9142857143,521552.9142857143,522079.9142857143,524118.9142857143,527907.9142857143,529388.9142857143,527799.9142857143,526331.9142857143,528852.9142857143,533498.9142857143,536959.9142857143,537934.9142857143,536871.9142857143,534603.9142857143,534369.9142857143,-3743.6607791948536,466804.76646860136,464573.76646860136,461307.76646860136,462267.76646860136,465323.76646860136,467591.76646860136,470401.76646860136,472180.76646860136,474461.76646860136,479335.76646860136,484309.76646860136,485529.76646860136,487405.76646860136,491437.76646860136,500512.76646860136,506755.76646860136,507858.76646860136,506531.76646860136,505842.76646860136,508940.76646860136,513612.76646860136,516388.76646860136,516915.76646860136,518954.76646860136,522743.76646860136,524224.76646860136,522635.76646860136,521167.76646860136,523688.76646860136,528334.7664686014,531795.7664686014,532770.7664686014,531707.7664686014,529439.7664686014,529205.7664686014,7303.489350623424,477133.0621028272,474902.0621028272,471636.0621028272,472596.0621028272,475652.0621028272,477920.0621028272,480730.0621028272,482509.0621028272,484790.0621028272,489664.0621028272,494638.0621028272,495858.0621028272,497734.0621028272,501766.0621028272,510841.0621028272,517084.0621028272,518187.0621028272,516860.0621028272,516171.0621028272,519269.0621028272,523941.0621028272,526717.0621028271,527244.0621028271,529283.0621028271,533072.0621028271,534553.0621028271,532964.0621028271,531496.0621028271,534017.0621028271,538663.0621028271,542124.0621028271,543099.0621028271,542036.0621028271,539768.0621028271,539534.0621028271,534265.9142857143,536045.8285714285,537825.7428571428,539605.6571428571,541385.5714285714,543165.4857142856,544945.3999999999,546725.3142857142,548505.2285714285,550285.1428571427,552065.057142857,553844.9714285713,529101.7664686014,528742.6206903681,528881.1764601073,529277.3615086313,529838.1858636498,530515.9586060515,531282.3491423421,532118.8985235932,533012.7851200898,533954.6735812793,534937.5164715607,535955.8386345004,539430.0621028271,543349.036452489,546770.3092541783,549933.9527770829,552932.9569934929,555815.0128225198,558608.4508576577,561331.7300478352,563997.6720227671,566615.6121330061,569192.5978141533,571734.1042226421
07017," ARIMA(0,2,0)(0,0,0)[12]          ",33823.63903355667,4635.914014517525,0.0,280907.03307361086,169994.99999999988,170249.00000000006,171517.0,171639.0,172329.0,177273.0,178031.0,179513.0,179619.0,180183.0,184128.0,186089.0,188634.0,192131.0,193402.0,196502.0,196632.0,197274.0,200339.0,203559.0,207770.0,209503.0,210547.0,211583.0,213454.0,213107.0,218751.0,222202.0,226409.0,226068.0,227146.0,231002.0,234544.0,238813.0,-3333.7269266066232,278468.90316356876,168142.75336960916,168396.75336960933,169664.75336960927,169786.75336960927,170476.75336960927,175420.75336960927,176178.75336960927,177660.75336960927,177766.75336960927,178330.75336960927,182275.75336960927,184236.75336960927,186781.75336960927,190278.75336960927,191549.75336960927,194649.75336960927,194779.75336960927,195421.75336960927,198486.75336960927,201706.75336960927,205917.75336960927,207650.75336960927,208694.75336960927,209730.75336960927,211601.75336960927,211254.75336960927,216898.75336960927,220349.75336960927,224556.75336960927,224215.75336960927,225293.75336960927,229149.75336960927,232691.75336960927,236960.75336960927,3333.7269266066232,283345.16298365296,171847.2466303906,172101.2466303908,173369.24663039073,173491.24663039073,174181.24663039073,179125.24663039073,179883.24663039073,181365.24663039073,181471.24663039073,182035.24663039073,185980.24663039073,187941.24663039073,190486.24663039073,193983.24663039073,195254.24663039073,198354.24663039073,198484.24663039073,199126.24663039073,202191.24663039073,205411.24663039073,209622.24663039073,211355.24663039073,212399.24663039073,213435.24663039073,215306.24663039073,214959.24663039073,220603.24663039073,224054.24663039073,228261.24663039073,227920.24663039073,228998.24663039073,232854.24663039073,236396.24663039073,240665.24663039073,240863.0,243726.0,246589.0,249452.0,252315.0,255178.0,258041.0,260904.0,263767.0,266630.0,269493.0,272356.0,239010.75336960927,239584.2506233514,239658.5277132714,239306.82738472067,238578.37134196828,237508.69328577846,236124.9223132621,234448.62651410996,232497.47793391734,230286.29671840512,227827.74234598255,225132.79143825607,242715.24663039073,247867.7493766486,253519.4722867286,259597.17261527933,266051.62865803175,272847.30671422154,279957.0776867379,287359.37348589004,295036.5220660827,302973.7032815949,311158.2576540174,319579.20856174396
07009," ARIMA(0,1,0)(0,0,0)[12] intercept",76422.03369567927,17759.661124779475,1503.9142857142856,461372.91428571433,462340.9142857143,462751.9142857143,462855.9142857143,459669.9142857143,458926.9142857143,460661.9142857143,464260.9142857143,466704.9142857143,469871.9142857143,472362.9142857143,477393.9142857143,481237.9142857143,482683.9142857143,482587.9142857143,480215.9142857143,482627.9142857143,484008.9142857143,486547.9142857143,488342.9142857143,489372.9142857143,490017.9142857143,490092.9142857143,489864.9142857143,490753.9142857143,492288.9142857143,494758.9142857143,501296.9142857143,507259.9142857143,511420.9142857143,510330.9142857143,509532.9142857143,509997.9142857143,512837.9142857143,513431.9142857143,-3041.326635737539,457271.96851512115,458239.9685151211,458650.9685151211,458754.9685151211,455568.9685151211,454825.9685151211,456560.9685151211,460159.9685151211,462603.9685151211,465770.9685151211,468261.9685151211,473292.9685151211,477136.9685151211,478582.9685151211,478486.9685151211,476114.9685151211,478526.9685151211,479907.9685151211,482446.9685151211,484241.9685151211,485271.9685151211,485916.9685151211,485991.9685151211,485763.9685151211,486652.9685151211,488187.9685151211,490657.9685151211,497195.9685151211,503158.9685151211,507319.9685151211,506229.9685151211,505431.9685151211,505896.9685151211,508736.9685151211,509330.9685151211,6049.15520716611,465473.8600563075,466441.86005630746,466852.86005630746,466956.86005630746,463770.86005630746,463027.86005630746,464762.86005630746,468361.86005630746,470805.86005630746,473972.86005630746,476463.86005630746,481494.86005630746,485338.86005630746,486784.86005630746,486688.86005630746,484316.86005630746,486728.86005630746,488109.86005630746,490648.86005630746,492443.86005630746,493473.86005630746,494118.86005630746,494193.86005630746,493965.86005630746,494854.86005630746,496389.86005630746,498859.86005630746,505397.86005630746,511360.86005630746,515521.86005630746,514431.86005630746,513633.86005630746,514098.86005630746,516938.86005630746,517532.86005630746,514009.9142857143,515513.82857142854,517017.7428571428,518521.6571428571,520025.57142857136,521529.48571428563,523033.3999999999,524537.3142857142,526041.2285714285,527545.1428571427,529049.057142857,530552.9714285713,509908.9685151211,509714.2154440991,509914.6964233907,510319.7656016707,510855.57791348477,511484.26111350756,512183.3173508482,512938.08803105523,513738.3912596489,514576.81366123393,515447.75873620453,516346.8785610671,518110.86005630746,521313.441698758,524120.7892908949,526723.5486840435,529195.564943658,531574.7103150637,533883.4826491516,536136.5405403731,538344.065883208,540513.4720530516,542650.3555495095,544759.0642960755
07004," ARIMA(0,1,0)(0,0,0)[12] intercept",81062.14754337152,15499.459497565455,1358.3999999999996,488935.39999999997,491994.4,491746.4,492784.4,489559.4,487846.4,487277.4,489066.4,490457.4,493646.4,496363.4,500486.4,503728.4,503846.4,503940.4,502504.4,505141.4,507114.4,510479.4,512110.4,511856.4,510091.4,509068.4,508416.4,510035.4,512841.4,516960.4,522131.4,526442.4,528496.4,527205.4,527048.4,529441.4,534054.4,535467.4,-3148.3791509240536,484877.1245664556,487936.12456645566,487688.12456645566,488726.12456645566,485501.12456645566,483788.12456645566,483219.12456645566,485008.12456645566,486399.12456645566,489588.12456645566,492305.12456645566,496428.12456645566,499670.12456645566,499788.12456645566,499882.12456645566,498446.12456645566,501083.12456645566,503056.12456645566,506421.12456645566,508052.12456645566,507798.12456645566,506033.12456645566,505010.12456645566,504358.12456645566,505977.12456645566,508783.12456645566,512902.12456645566,518073.12456645566,522384.12456645566,524438.1245664557,523147.12456645566,522990.12456645566,525383.1245664557,529996.1245664557,531409.1245664557,5865.179150924053,492993.6754335443,496052.6754335444,495804.6754335444,496842.6754335444,493617.6754335444,491904.6754335444,491335.6754335444,493124.6754335444,494515.6754335444,497704.6754335444,500421.6754335444,504544.6754335444,507786.6754335444,507904.6754335444,507998.6754335444,506562.6754335444,509199.6754335444,511172.6754335444,514537.6754335444,516168.6754335444,515914.6754335444,514149.6754335444,513126.6754335444,512474.6754335444,514093.6754335444,516899.6754335444,521018.6754335444,526189.6754335443,530500.6754335443,532554.6754335443,531263.6754335443,531106.6754335443,533499.6754335443,538112.6754335443,539525.6754335443,536479.4,537837.8,539196.2000000001,540554.6000000001,541913.0000000001,543271.4000000001,544629.8000000002,545988.2000000002,547346.6000000002,548705.0000000002,550063.4000000003,551421.8000000003,532421.1245664557,532098.531842036,532167.0607579927,532438.0491329114,532838.4202591776,533330.6959521443,533892.612451039,534509.6636840722,535171.7736993672,535871.6062576928,536603.6230910168,537363.5215159854,540537.6754335443,543577.068157964,546225.3392420075,548671.1508670888,550987.5797408227,553212.104047856,555366.9875489613,557466.7363159282,559521.4263006332,561538.3937423077,563523.1769089837,565480.0784840152
07013," ARIMA(0,1,0)(0,0,0)[12] intercept",55184.86621057795,7419.611684032656,1429.8285714285712,333902.82857142854,334740.82857142854,334817.82857142854,335247.82857142854,335238.82857142854,335916.82857142854,336412.82857142854,338035.82857142854,338160.82857142854,337866.82857142854,337435.82857142854,337873.82857142854,338762.82857142854,339788.82857142854,342149.82857142854,344394.82857142854,347262.82857142854,348883.82857142854,351139.82857142854,352285.82857142854,354760.82857142854,357261.82857142854,360141.82857142854,362618.82857142854,366205.82857142854,370440.82857142854,373214.82857142854,374178.82857142854,374811.82857142854,375927.82857142854,376980.82857142854,377306.82857142854,378453.82857142854,380400.82857142854,382595.82857142854,-1509.5417350644602,331712.29462327826,332550.29462327826,332627.29462327826,333057.29462327826,333048.29462327826,333726.29462327826,334222.29462327826,335845.29462327826,335970.29462327826,335676.29462327826,335245.29462327826,335683.29462327826,336572.29462327826,337598.29462327826,339959.29462327826,342204.29462327826,345072.29462327826,346693.29462327826,348949.29462327826,350095.29462327826,352570.29462327826,355071.29462327826,357951.29462327826,360428.29462327826,364015.29462327826,368250.29462327826,371024.29462327826,371988.29462327826,372621.29462327826,373737.29462327826,374790.29462327826,375116.29462327826,376263.29462327826,378210.29462327826,380405.29462327826,4369.198877921603,336093.36251957883,336931.36251957883,337008.36251957883,337438.36251957883,337429.36251957883,338107.36251957883,338603.36251957883,340226.36251957883,340351.36251957883,340057.36251957883,339626.36251957883,340064.36251957883,340953.36251957883,341979.36251957883,344340.36251957883,346585.36251957883,349453.36251957883,351074.36251957883,353330.36251957883,354476.36251957883,356951.36251957883,359452.36251957883,362332.36251957883,364809.36251957883,368396.36251957883,372631.36251957883,375405.36251957883,376369.36251957883,377002.36251957883,378118.36251957883,379171.36251957883,379497.36251957883,380644.36251957883,382591.36251957883,384786.36251957883,383946.82857142854,385376.6571428571,386806.48571428563,388236.3142857142,389666.1428571427,391095.97142857127,392525.7999999998,393955.62857142836,395385.4571428569,396815.28571428545,398245.114285714,399674.94285714254,381756.29462327826,382278.7743245443,383012.36962038494,383855.24638941366,384767.96004205773,385730.28099135886,386730.1919347497,387759.8629348028,388813.8552984061,389888.2091462094,390979.9350891637,392086.7106693411,386137.36251957883,388474.5399611699,390600.60180818633,392617.3821820147,394564.3256722277,396461.6618657837,398321.4080652499,400151.39420805394,401957.0589873077,403742.3622823615,405510.2934822643,407263.175044944
07012," ARIMA(0,1,0)(0,0,0)[12] intercept",54034.28890110097,2574.40108919081,1192.8285714285712,326490.82857142866,328132.82857142854,328660.82857142854,328717.82857142854,327822.82857142854,328890.82857142854,329611.82857142854,332274.82857142854,333156.82857142854,332905.82857142854,331932.82857142854,331401.82857142854,331608.82857142854,332276.82857142854,334471.82857142854,336828.82857142854,339966.82857142854,340941.82857142854,342784.82857142854,342792.82857142854,345360.82857142854,348584.82857142854,352516.82857142854,355961.82857142854,358879.82857142854,362504.82857142854,363960.82857142854,364662.82857142854,365224.82857142854,366717.82857142854,367316.82857142854,366639.82857142854,365713.82857142854,366175.82857142854,367514.82857142854,-2123.3508426933413,323815.83565817605,325457.8356581759,325985.8356581759,326042.8356581759,325147.8356581759,326215.8356581759,326936.8356581759,329599.8356581759,330481.8356581759,330230.8356581759,329257.8356581759,328726.8356581759,328933.8356581759,329601.8356581759,331796.8356581759,334153.8356581759,337291.8356581759,338266.8356581759,340109.8356581759,340117.8356581759,342685.8356581759,345909.8356581759,349841.8356581759,353286.8356581759,356204.8356581759,359829.8356581759,361285.8356581759,361987.8356581759,362549.8356581759,364042.8356581759,364641.8356581759,363964.8356581759,363038.8356581759,363500.8356581759,364839.8356581759,4509.007985550484,329165.8214846813,330807.82148468116,331335.82148468116,331392.82148468116,330497.82148468116,331565.82148468116,332286.82148468116,334949.82148468116,335831.82148468116,335580.82148468116,334607.82148468116,334076.82148468116,334283.82148468116,334951.82148468116,337146.82148468116,339503.82148468116,342641.82148468116,343616.82148468116,345459.82148468116,345467.82148468116,348035.82148468116,351259.82148468116,355191.82148468116,358636.82148468116,361554.82148468116,365179.82148468116,366635.82148468116,367337.82148468116,367899.82148468116,369392.82148468116,369991.82148468116,369314.82148468116,368388.82148468116,368850.82148468116,370189.82148468116,368239.82857142854,369432.6571428571,370625.48571428563,371818.3142857142,373011.1428571427,374203.97142857127,375396.7999999998,376589.62857142836,377782.4571428569,378975.28571428545,380168.114285714,381360.94285714254,365564.8356581759,365649.6458856833,365992.2620786454,366468.3284592089,367029.6768637796,367651.60372554127,368319.4339926732,369023.6060570808,369757.478403099,370516.2153835979,371296.16647559527,372094.495585862,370914.82148468116,373215.6684000309,375258.70934992586,377168.30011221947,378992.60885050584,380756.3391316013,382474.16600732645,384155.6510857759,385807.4358826148,387434.356044973,389040.0620958327,390627.39012842305
07002," ARIMA(0,1,0)(0,0,0)[12] intercept",53170.67107699298,6080.841635826409,2324.0,323474.0,324190.0,324106.0,325697.0,327881.0,331672.0,333368.0,334584.0,334348.0,336028.0,338395.0,341847.0,345461.0,349487.0,352273.0,353805.0,355073.0,357336.0,361260.0,365694.0,368594.0,371802.0,375342.0,380228.0,383560.0,387440.0,393210.0,398985.0,401873.0,400511.0,399563.0,401252.0,404980.0,407571.0,406889.0,-1883.7149233059745,319750.6404880649,320466.6404880649,320382.6404880649,321973.6404880649,324157.6404880649,327948.6404880649,329644.6404880649,330860.6404880649,330624.6404880649,332304.6404880649,334671.6404880649,338123.6404880649,341737.6404880649,345763.6404880649,348549.6404880649,350081.6404880649,351349.6404880649,353612.6404880649,357536.6404880649,361970.6404880649,364870.6404880649,368078.6404880649,371618.6404880649,376504.6404880649,379836.6404880649,383716.6404880649,389486.6404880649,395261.6404880649,398149.6404880649,396787.6404880649,395839.6404880649,397528.6404880649,401256.6404880649,403847.6404880649,403165.6404880649,6531.7149233059745,327197.3595119351,327913.3595119351,327829.3595119351,329420.3595119351,331604.3595119351,335395.3595119351,337091.3595119351,338307.3595119351,338071.3595119351,339751.3595119351,342118.3595119351,345570.3595119351,349184.3595119351,353210.3595119351,355996.3595119351,357528.3595119351,358796.3595119351,361059.3595119351,364983.3595119351,369417.3595119351,372317.3595119351,375525.3595119351,379065.3595119351,383951.3595119351,387283.3595119351,391163.3595119351,396933.3595119351,402708.3595119351,405596.3595119351,404234.3595119351,403286.3595119351,404975.3595119351,408703.3595119351,411294.3595119351,410612.3595119351,404814.0,407138.0,409462.0,411786.0,414110.0,416434.0,418758.0,421082.0,423406.0,425730.0,428054.0,430378.0,401090.6404880649,401872.3744806305,403012.9521504835,404339.28097612975,405784.31502664264,407313.66906682076,408906.91668973287,410550.748961261,412235.92146419466,413955.70339463215,415705.0135393104,417479.90430096706,408537.3595119351,412403.6255193695,415911.0478495165,419232.71902387025,422435.68497335736,425554.33093317924,428609.08331026713,431613.251038739,434576.07853580534,437504.29660536785,440402.9864606896,443276.09569903294
07003," ARIMA(0,1,0)(0,0,0)[12] intercept",51089.197036457044,1742.6040136243341,1558.1428571428569,309539.14285714284,312613.14285714284,314054.14285714284,315689.14285714284,315267.14285714284,315620.14285714284,316474.14285714284,318156.14285714284,320030.14285714284,322439.14285714284,324259.14285714284,327400.14285714284,330138.14285714284,330842.14285714284,331067.14285714284,329835.14285714284,330323.14285714284,330532.14285714284,331889.14285714284,333270.14285714284,333346.14285714284,333410.14285714284,333445.14285714284,333691.14285714284,334201.14285714284,335202.14285714284,337390.14285714284,341869.14285714284,346687.14285714284,350730.14285714284,351819.14285714284,353516.14285714284,355599.14285714284,359440.14285714284,361903.14285714284,-1817.9819000334892,306790.1867724945,309864.1867724945,311305.1867724945,312940.1867724945,312518.1867724945,312871.1867724945,313725.1867724945,315407.1867724945,317281.1867724945,319690.1867724945,321510.1867724945,324651.1867724945,327389.1867724945,328093.1867724945,328318.1867724945,327086.1867724945,327574.1867724945,327783.1867724945,329140.1867724945,330521.1867724945,330597.1867724945,330661.1867724945,330696.1867724945,330942.1867724945,331452.1867724945,332453.1867724945,334641.1867724945,339120.1867724945,343938.1867724945,347981.1867724945,349070.1867724945,350767.1867724945,352850.1867724945,356691.1867724945,359154.1867724945,4934.267614319203,312288.09894179116,315362.09894179116,316803.09894179116,318438.09894179116,318016.09894179116,318369.09894179116,319223.09894179116,320905.09894179116,322779.09894179116,325188.09894179116,327008.09894179116,330149.09894179116,332887.09894179116,333591.09894179116,333816.09894179116,332584.09894179116,333072.09894179116,333281.09894179116,334638.09894179116,336019.09894179116,336095.09894179116,336159.09894179116,336194.09894179116,336440.09894179116,336950.09894179116,337951.09894179116,340139.09894179116,344618.09894179116,349436.09894179116,353479.09894179116,354568.09894179116,356265.09894179116,358348.09894179116,362189.09894179116,364652.09894179116,364074.14285714284,365632.2857142857,367190.4285714285,368748.57142857136,370306.7142857142,371864.85714285704,373422.9999999999,374981.1428571427,376539.28571428556,378097.4285714284,379655.57142857125,381213.7142857141,361325.1867724945,361744.674737008,362429.09696504206,363250.6592592748,364159.8616132789,365131.3174101496,366149.9458349827,367205.92090258736,368292.41746034066,369404.46615616116,370538.3155306284,371691.05107294116,366823.09894179116,369519.89669156336,371951.760177815,374246.48359786795,376453.5669581495,378598.3968755645,380696.0541650171,382756.3648116981,384786.1539682305,386790.39098669565,388772.8273265141,390736.377498487
07005," ARIMA(0,1,0)(0,0,0)[12] intercept",72928.35935040818,4608.780622521698,619.0857142857142,438751.0857142857,437882.0857142857,436307.0857142857,436170.0857142857,437613.0857142857,437782.0857142857,438017.0857142857,437490.0857142857,438156.0857142857,439124.0857142857,439659.0857142857,439770.0857142857,439950.0857142857,439667.0857142857,441356.0857142857,441229.0857142857,441734.0857142857,441869.0857142857,443919.0857142857,445768.0857142857,446480.0857142857,447043.0857142857,448391.0857142857,449672.0857142857,451437.0857142857,454956.0857142857,458197.0857142857,460960.0857142857,460381.0857142857,459579.0857142857,457674.0857142857,457337.0857142857,458363.0857142857,459005.0857142857,459440.0857142857,-2436.9382984620042,436406.34181658673,435537.34181658673,433962.34181658673,433825.34181658673,435268.34181658673,435437.34181658673,435672.34181658673,435145.34181658673,435811.34181658673,436779.34181658673,437314.34181658673,437425.34181658673,437605.34181658673,437322.34181658673,439011.34181658673,438884.34181658673,439389.34181658673,439524.34181658673,441574.34181658673,443423.34181658673,444135.34181658673,444698.34181658673,446046.34181658673,447327.34181658673,449092.34181658673,452611.34181658673,455852.34181658673,458615.34181658673,458036.34181658673,457234.34181658673,455329.34181658673,454992.34181658673,456018.34181658673,456660.34181658673,457095.34181658673,3675.109727033432,441095.8296119847,440226.8296119847,438651.8296119847,438514.8296119847,439957.8296119847,440126.8296119847,440361.8296119847,439834.8296119847,440500.8296119847,441468.8296119847,442003.8296119847,442114.8296119847,442294.8296119847,442011.8296119847,443700.8296119847,443573.8296119847,444078.8296119847,444213.8296119847,446263.8296119847,448112.8296119847,448824.8296119847,449387.8296119847,450735.8296119847,452016.8296119847,453781.8296119847,457300.8296119847,460541.8296119847,463304.8296119847,462725.8296119847,461923.8296119847,460018.8296119847,459681.8296119847,460707.8296119847,461349.8296119847,461784.8296119847,460419.0857142857,461038.17142857146,461657.2571428572,462276.3428571429,462895.42857142864,463514.51428571437,464133.6000000001,464752.6857142858,465371.77142857155,465990.8571428573,466609.942857143,467229.02857142873,458074.34181658673,457722.20280815405,457596.0415813055,457586.855061745,457652.42182634596,457771.0881588473,457929.99075855233,458120.74847345095,458337.5397354746,458576.1258963477,458833.30711900006,459106.59744832537,462763.8296119847,464354.14004898886,465718.47270440886,466965.83065254084,468138.4353165113,469257.94041258143,470337.20924144785,471384.6229551207,472406.0031216685,473405.58838936687,474386.57859528594,475351.4596945321
07006," ARIMA(0,1,0)(0,0,0)[12] intercept",87095.79633730467,15441.088888181223,1235.285714285714,524888.2857142857,527339.2857142857,528699.2857142857,530551.2857142857,528315.2857142857,527997.2857142857,528856.2857142857,531604.2857142857,533661.2857142857,536320.2857142857,537990.2857142857,542345.2857142857,546128.2857142857,547397.2857142857,545966.2857142857,540655.2857142857,540103.2857142857,539225.2857142857,541229.2857142857,541687.2857142857,541932.2857142857,542063.2857142857,542734.2857142857,542226.2857142857,543008.2857142857,544025.2857142857,547295.2857142857,553598.2857142857,559010.2857142857,563278.2857142857,563651.2857142857,564633.2857142857,565460.2857142857,567903.2857142857,567705.2857142857,-3439.727916913719,520643.9608408569,523094.9608408569,524454.9608408569,526306.9608408569,524070.9608408569,523752.9608408569,524611.9608408569,527359.9608408569,529416.9608408569,532075.9608408569,533745.9608408569,538100.9608408569,541883.9608408569,543152.9608408569,541721.9608408569,536410.9608408569,535858.9608408569,534980.9608408569,536984.9608408569,537442.9608408569,537687.9608408569,537818.9608408569,538489.9608408569,537981.9608408569,538763.9608408569,539780.9608408569,543050.9608408569,549353.9608408569,554765.9608408569,559033.9608408569,559406.9608408569,560388.9608408569,561215.9608408569,563658.9608408569,563460.9608408569,5910.299345485147,529132.6105877145,531583.6105877145,532943.6105877145,534795.6105877145,532559.6105877145,532241.6105877145,533100.6105877145,535848.6105877145,537905.6105877145,540564.6105877145,542234.6105877145,546589.6105877145,550372.6105877145,551641.6105877145,550210.6105877145,544899.6105877145,544347.6105877145,543469.6105877145,545473.6105877145,545931.6105877145,546176.6105877145,546307.6105877145,546978.6105877145,546470.6105877145,547252.6105877145,548269.6105877145,551539.6105877145,557842.6105877145,563254.6105877145,567522.6105877145,567895.6105877145,568877.6105877145,569704.6105877145,572147.6105877145,571949.6105877145,568123.2857142857,569358.5714285714,570593.857142857,571829.1428571427,573064.4285714284,574299.7142857141,575534.9999999998,576770.2857142854,578005.5714285711,579240.8571428568,580476.1428571425,581711.4285714282,563878.9608408569,563356.1896294509,563242.47081825,563340.4931102851,563573.8296358484,563903.2840432108,564305.5719015414,564765.5221160445,565272.5968082848,565819.123413116,566399.3097636065,567008.6559222142,572367.6105877145,575360.9532276918,577945.2434674641,580317.7926040003,582555.0275070084,584696.1445282174,586764.4280984581,588775.0493125264,590738.5460488575,592662.5908725976,594552.9759506785,596414.2012206422
