zip_code,model_order,train_rmse,test_rmse,train_pred_2016-01-31,train_pred_2016-02-29,train_pred_2016-03-31,train_pred_2016-04-30,train_pred_2016-05-31,train_pred_2016-06-30,train_pred_2016-07-31,train_pred_2016-08-31,train_pred_2016-09-30,train_pred_2016-10-31,train_pred_2016-11-30,train_pred_2016-12-31,train_pred_2017-01-31,train_pred_2017-02-28,train_pred_2017-03-31,train_pred_2017-04-30,train_pred_2017-05-31,train_pred_2017-06-30,train_pred_2017-07-31,train_pred_2017-08-31,train_pred_2017-09-30,train_pred_2017-10-31,train_pred_2017-11-30,train_pred_2017-12-31,train_pred_2018-01-31,train_pred_2018-02-28,train_pred_2018-03-31,train_pred_2018-04-30,train_pred_2018-05-31,train_pred_2018-06-30,train_pred_2018-07-31,train_pred_2018-08-31,train_pred_2018-09-30,train_pred_2018-10-31,train_pred_2018-11-30,train_pred_2018-12-31,train_lci_2016-01-31,train_lci_2016-02-29,train_lci_2016-03-31,train_lci_2016-04-30,train_lci_2016-05-31,train_lci_2016-06-30,train_lci_2016-07-31,train_lci_2016-08-31,train_lci_2016-09-30,train_lci_2016-10-31,train_lci_2016-11-30,train_lci_2016-12-31,train_lci_2017-01-31,train_lci_2017-02-28,train_lci_2017-03-31,train_lci_2017-04-30,train_lci_2017-05-31,train_lci_2017-06-30,train_lci_2017-07-31,train_lci_2017-08-31,train_lci_2017-09-30,train_lci_2017-10-31,train_lci_2017-11-30,train_lci_2017-12-31,train_lci_2018-01-31,train_lci_2018-02-28,train_lci_2018-03-31,train_lci_2018-04-30,train_lci_2018-05-31,train_lci_2018-06-30,train_lci_2018-07-31,train_lci_2018-08-31,train_lci_2018-09-30,train_lci_2018-10-31,train_lci_2018-11-30,train_lci_2018-12-31,train_uci_2016-01-31,train_uci_2016-02-29,train_uci_2016-03-31,train_uci_2016-04-30,train_uci_2016-05-31,train_uci_2016-06-30,train_uci_2016-07-31,train_uci_2016-08-31,train_uci_2016-09-30,train_uci_2016-10-31,train_uci_2016-11-30,train_uci_2016-12-31,train_uci_2017-01-31,train_uci_2017-02-28,train_uci_2017-03-31,train_uci_2017-04-30,train_uci_2017-05-31,train_uci_2017-06-30,train_uci_2017-07-31,train_uci_2017-08-31,train_uci_2017-09-30,train_uci_2017-10-31,train_uci_2017-11-30,train_uci_2017-12-31,train_uci_2018-01-31,train_uci_2018-02-28,train_uci_2018-03-31,train_uci_2018-04-30,train_uci_2018-05-31,train_uci_2018-06-30,train_uci_2018-07-31,train_uci_2018-08-31,train_uci_2018-09-30,train_uci_2018-10-31,train_uci_2018-11-30,train_uci_2018-12-31,test_pred_2019-01-31,test_pred_2019-02-28,test_pred_2019-03-31,test_pred_2019-04-30,test_pred_2019-05-31,test_pred_2019-06-30,test_pred_2019-07-31,test_pred_2019-08-31,test_pred_2019-09-30,test_pred_2019-10-31,test_pred_2019-11-30,test_pred_2019-12-31,test_lci_2019-01-31,test_lci_2019-02-28,test_lci_2019-03-31,test_lci_2019-04-30,test_lci_2019-05-31,test_lci_2019-06-30,test_lci_2019-07-31,test_lci_2019-08-31,test_lci_2019-09-30,test_lci_2019-10-31,test_lci_2019-11-30,test_lci_2019-12-31,test_uci_2019-01-31,test_uci_2019-02-28,test_uci_2019-03-31,test_uci_2019-04-30,test_uci_2019-05-31,test_uci_2019-06-30,test_uci_2019-07-31,test_uci_2019-08-31,test_uci_2019-09-30,test_uci_2019-10-31,test_uci_2019-11-30,test_uci_2019-12-31
87024," ARIMA(0,1,0)(0,0,0)[12] intercept",29653.54249026956,2366.70852662511,1100.0,179980.0,180870.0,182302.0,182358.0,183277.0,184415.0,187510.0,187882.0,189539.0,190876.0,194511.0,197565.0,199187.0,199748.0,201116.0,202851.0,205375.0,207238.0,208082.0,209253.0,208521.0,208421.0,207804.0,210400.0,210769.0,211799.0,209222.0,209798.0,209059.0,210090.0,210629.0,212061.0,213321.0,214358.0,216666.0,-1958.7741098504039,177631.67288598948,178521.67288598948,179953.67288598948,180009.67288598948,180928.67288598948,182066.67288598948,185161.67288598948,185533.67288598948,187190.67288598948,188527.67288598948,192162.67288598948,195216.67288598948,196838.67288598948,197399.67288598948,198767.67288598948,200502.67288598948,203026.67288598948,204889.67288598948,205733.67288598948,206904.67288598948,206172.67288598948,206072.67288598948,205455.67288598948,208051.67288598948,208420.67288598948,209450.67288598948,206873.67288598948,207449.67288598948,206710.67288598948,207741.67288598948,208280.67288598948,209712.67288598948,210972.67288598948,212009.67288598948,214317.67288598948,4158.774109850404,182328.32711401052,183218.32711401052,184650.32711401052,184706.32711401052,185625.32711401052,186763.32711401052,189858.32711401052,190230.32711401052,191887.32711401052,193224.32711401052,196859.32711401052,199913.32711401052,201535.32711401052,202096.32711401052,203464.32711401052,205199.32711401052,207723.32711401052,209586.32711401052,210430.32711401052,211601.32711401052,210869.32711401052,210769.32711401052,210152.32711401052,212748.32711401052,213117.32711401052,214147.32711401052,211570.32711401052,212146.32711401052,211407.32711401052,212438.32711401052,212977.32711401052,214409.32711401052,215669.32711401052,216706.32711401052,219014.32711401052,218480.0,219580.0,220680.0,221780.0,222880.0,223980.0,225080.0,226180.0,227280.0,228380.0,229480.0,230580.0,216131.67288598948,216258.96394647786,216612.57812574218,217083.34577197896,217628.98093966657,218227.7968215316,218866.91045929812,219537.9278929557,220235.01865796844,220953.93762859685,221691.48007780893,222445.15625148435,220828.32711401052,222901.03605352214,224747.42187425782,226476.65422802104,228131.01906033343,229732.2031784684,231293.08954070188,232822.0721070443,234324.98134203156,235806.06237140315,237268.51992219107,238714.84374851565
87025," ARIMA(0,1,0)(0,0,0)[12] intercept",27417.77994475611,1465.4971556660353,1247.2285714285713,166687.22857142857,166271.22857142857,166569.22857142857,168789.22857142857,171435.22857142857,173282.22857142857,176272.22857142857,180382.22857142857,185868.22857142857,191149.22857142857,193656.22857142857,195945.22857142857,196508.22857142857,197745.22857142857,199057.22857142857,200461.22857142857,201604.22857142857,202395.22857142857,202238.22857142857,200710.22857142857,198235.22857142857,196726.22857142857,197415.22857142857,199556.22857142857,201212.22857142857,202834.22857142857,202905.22857142857,202761.22857142857,201647.22857142857,201606.22857142857,202825.22857142857,204836.22857142857,207774.22857142857,208316.22857142857,209677.22857142857,-2647.1571754078045,163321.99729788018,162905.99729788018,163203.99729788018,165423.99729788018,168069.99729788018,169916.99729788018,172906.99729788018,177016.99729788018,182502.99729788018,187783.99729788018,190290.99729788018,192579.99729788018,193142.99729788018,194379.99729788018,195691.99729788018,197095.99729788018,198238.99729788018,199029.99729788018,198872.99729788018,197344.99729788018,194869.99729788018,193360.99729788018,194049.99729788018,196190.99729788018,197846.99729788018,199468.99729788018,199539.99729788018,199395.99729788018,198281.99729788018,198240.99729788018,199459.99729788018,201470.99729788018,204408.99729788018,204950.99729788018,206311.99729788018,5141.614318264947,170052.45984497695,169636.45984497695,169934.45984497695,172154.45984497695,174800.45984497695,176647.45984497695,179637.45984497695,183747.45984497695,189233.45984497695,194514.45984497695,197021.45984497695,199310.45984497695,199873.45984497695,201110.45984497695,202422.45984497695,203826.45984497695,204969.45984497695,205760.45984497695,205603.45984497695,204075.45984497695,201600.45984497695,200091.45984497695,200780.45984497695,202921.45984497695,204577.45984497695,206199.45984497695,206270.45984497695,206126.45984497695,205012.45984497695,204971.45984497695,206190.45984497695,208201.45984497695,211139.45984497695,211681.45984497695,213042.45984497695,210340.22857142857,211587.45714285714,212834.6857142857,214081.91428571427,215329.14285714284,216576.3714285714,217823.59999999998,219070.82857142854,220318.0571428571,221565.28571428568,222812.51428571425,224059.74285714282,206974.99729788018,206828.3014352829,207005.93416928017,207351.45173861747,207804.25696948043,208333.27194192144,208920.03494597372,209552.51715628008,210222.36332221192,210923.49003664358,211651.30481858435,212402.23976713172,213705.45984497695,216346.61285043138,218663.43725929124,220812.37683281107,222854.02874480525,224819.47091522138,226727.16505402623,228589.139986577,230413.7509635023,232207.0813919278,233973.72375284415,235717.24594715392
87008," ARIMA(0,1,0)(0,0,0)[12] intercept",42282.431176166225,1481.3465112505778,937.8571428571427,255505.85714285713,256143.85714285713,257525.85714285713,258722.85714285713,259568.85714285713,260641.85714285713,261403.85714285713,261685.85714285713,262372.85714285716,263909.85714285716,265775.85714285716,267368.85714285716,267920.85714285716,268476.85714285716,267600.85714285716,268544.85714285716,269634.85714285716,271874.85714285716,273809.85714285716,275645.85714285716,276669.85714285716,276368.85714285716,276455.85714285716,276651.85714285716,278014.85714285716,278958.85714285716,281334.85714285716,282167.85714285716,282614.85714285716,281469.85714285716,280275.85714285716,280483.85714285716,280788.85714285716,283622.85714285716,285592.85714285716,-1787.9152873464363,253611.55607899115,254249.55607899115,255631.55607899115,256828.55607899115,257674.55607899115,258747.55607899115,259509.55607899115,259791.55607899115,260478.55607899118,262015.55607899118,263881.55607899115,265474.55607899115,266026.55607899115,266582.55607899115,265706.55607899115,266650.55607899115,267740.55607899115,269980.55607899115,271915.55607899115,273751.55607899115,274775.55607899115,274474.55607899115,274561.55607899115,274757.55607899115,276120.55607899115,277064.55607899115,279440.55607899115,280273.55607899115,280720.55607899115,279575.55607899115,278381.55607899115,278589.55607899115,278894.55607899115,281728.55607899115,283698.55607899115,3663.6295730607217,257400.1582067231,258038.1582067231,259420.1582067231,260617.1582067231,261463.1582067231,262536.1582067231,263298.1582067231,263580.1582067231,264267.15820672316,265804.15820672316,267670.15820672316,269263.15820672316,269815.15820672316,270371.15820672316,269495.15820672316,270439.15820672316,271529.15820672316,273769.15820672316,275704.15820672316,277540.15820672316,278564.15820672316,278263.15820672316,278350.15820672316,278546.15820672316,279909.15820672316,280853.15820672316,283229.15820672316,284062.15820672316,284509.15820672316,283364.15820672316,282170.15820672316,282378.15820672316,282683.15820672316,285517.15820672316,287487.15820672316,288330.85714285716,289268.7142857143,290206.5714285715,291144.42857142864,292082.2857142858,293020.14285714296,293958.0000000001,294895.8571428573,295833.71428571444,296771.5714285716,297709.42857142875,298647.2857142859,286436.55607899115,286589.7680299773,286925.54574112385,287355.8264436967,287846.4997656313,288380.07183146,288946.15047672566,289537.9646313832,290150.8110941165,290781.265492675,291426.7427026142,292085.2343393906,290225.15820672316,291947.66054145136,293487.5971160191,294933.0306991606,296318.0716629403,297660.2138828259,298969.8495232746,300253.74965433136,301516.6174773124,302761.8773644682,303992.1144402433,305209.33708918124
87015," ARIMA(0,1,0)(0,0,0)[12] intercept",35488.25271142391,10383.402601214682,707.1142857142856,214298.11428571423,215460.11428571428,215921.11428571428,216574.11428571428,216591.11428571428,216691.11428571428,217473.11428571428,217729.11428571428,218318.11428571428,218606.11428571428,219869.11428571428,220694.11428571428,221272.11428571428,221781.11428571428,221784.11428571428,220979.11428571428,220812.11428571428,220893.11428571428,221726.11428571428,222212.11428571428,223129.11428571428,223880.11428571428,224558.11428571428,224950.11428571428,226031.11428571428,226512.11428571428,227845.11428571428,230248.11428571428,231906.11428571428,232306.11428571428,231219.11428571428,231720.11428571428,232944.11428571428,234894.11428571428,236739.11428571428,-1737.068275172953,212837.78227885716,213999.78227885722,214460.78227885722,215113.78227885722,215130.78227885722,215230.78227885722,216012.78227885722,216268.78227885722,216857.78227885722,217145.78227885722,218408.78227885722,219233.78227885722,219811.78227885722,220320.78227885722,220323.78227885722,219518.78227885722,219351.78227885722,219432.78227885722,220265.78227885722,220751.78227885722,221668.78227885722,222419.78227885722,223097.78227885722,223489.78227885722,224570.78227885722,225051.78227885722,226384.78227885722,228787.78227885722,230445.78227885722,230845.78227885722,229758.78227885722,230259.78227885722,231483.78227885722,233433.78227885722,235278.78227885722,3151.2968466015245,215758.4462925713,216920.44629257135,217381.44629257135,218034.44629257135,218051.44629257135,218151.44629257135,218933.44629257135,219189.44629257135,219778.44629257135,220066.44629257135,221329.44629257135,222154.44629257135,222732.44629257135,223241.44629257135,223244.44629257135,222439.44629257135,222272.44629257135,222353.44629257135,223186.44629257135,223672.44629257135,224589.44629257135,225340.44629257135,226018.44629257135,226410.44629257135,227491.44629257135,227972.44629257135,229305.44629257135,231708.44629257135,233366.44629257135,233766.44629257135,232679.44629257135,233180.44629257135,234404.44629257135,236354.44629257135,238199.44629257135,239047.11428571428,239754.22857142857,240461.34285714285,241168.45714285714,241875.57142857142,242582.6857142857,243289.8,243996.91428571427,244704.02857142856,245411.14285714284,246118.25714285712,246825.3714285714,237586.78227885722,237689.0072417638,237931.9736253474,238247.793129143,238610.16979152034,239005.61744243136,239426.12467826833,239866.4716263847,240323.03255085737,240793.1675754299,241274.88380676555,241766.6329649805,240507.44629257135,241819.44990109335,242990.7120889383,244089.12115657126,245140.9730656225,246159.75398614004,247153.47532173165,248127.35694504384,249085.02459199974,250029.1181388558,250961.6304789487,251884.10989216232
87004," ARIMA(0,1,0)(0,0,0)[12] intercept",31556.001717018746,5028.908853803624,637.5142857142856,190550.51428571428,191414.51428571428,193093.51428571428,193508.51428571428,194768.51428571428,194963.51428571428,196097.51428571428,195394.51428571428,195885.51428571428,196220.51428571428,197319.51428571428,198494.51428571428,198395.51428571428,197874.51428571428,197376.51428571428,198462.51428571428,199632.51428571428,200948.51428571428,201507.51428571428,201401.51428571428,201412.51428571428,201538.51428571428,202508.51428571428,203437.51428571428,204961.51428571428,207704.51428571428,209425.51428571428,209828.51428571428,208494.51428571428,208032.51428571428,208196.51428571428,209393.51428571428,209868.51428571428,210805.51428571428,211356.51428571428,-1883.70570388053,188964.61031155998,189828.61031155998,191507.61031155998,191922.61031155998,193182.61031155998,193377.61031155998,194511.61031155998,193808.61031155998,194299.61031155998,194634.61031155998,195733.61031155998,196908.61031155998,196809.61031155998,196288.61031155998,195790.61031155998,196876.61031155998,198046.61031155998,199362.61031155998,199921.61031155998,199815.61031155998,199826.61031155998,199952.61031155998,200922.61031155998,201851.61031155998,203375.61031155998,206118.61031155998,207839.61031155998,208242.61031155998,206908.61031155998,206446.61031155998,206610.61031155998,207807.61031155998,208282.61031155998,209219.61031155998,209770.61031155998,3158.734275309101,192136.41825986857,193000.41825986857,194679.41825986857,195094.41825986857,196354.41825986857,196549.41825986857,197683.41825986857,196980.41825986857,197471.41825986857,197806.41825986857,198905.41825986857,200080.41825986857,199981.41825986857,199460.41825986857,198962.41825986857,200048.41825986857,201218.41825986857,202534.41825986857,203093.41825986857,202987.41825986857,202998.41825986857,203124.41825986857,204094.41825986857,205023.41825986857,206547.41825986857,209290.41825986857,211011.41825986857,211414.41825986857,210080.41825986857,209618.41825986857,209782.41825986857,210979.41825986857,211454.41825986857,212391.41825986857,212942.41825986857,212863.51428571428,213501.02857142856,214138.54285714283,214776.0571428571,215413.5714285714,216051.08571428567,216688.59999999995,217326.11428571423,217963.6285714285,218601.14285714278,219238.65714285706,219876.17142857134,211277.61031155998,211258.22166255818,211391.6765979822,211604.24919454855,211867.38233657533,212166.43019655568,212492.6924811587,212840.50046797347,213205.91664896565,213586.07414850243,213978.8087070538,214382.4389102501,214449.41825986857,215743.83548029893,216885.40911630346,217947.86509116567,218959.76052056745,219935.74123201566,220884.5075188412,221811.72810345498,222721.34049389136,223616.21156578313,224498.50557866032,225369.9039468926
87021," ARIMA(0,1,0)(0,0,0)[12] intercept",10110.441177288478,710.672805202518,356.9142857142856,61234.91428571428,60649.91428571429,59654.91428571429,59344.91428571429,59623.91428571429,60056.91428571429,60783.91428571429,60967.91428571429,61703.91428571429,61264.91428571429,60862.91428571429,60082.91428571429,60465.91428571429,61465.91428571429,62876.91428571429,64015.91428571429,64504.91428571429,65032.91428571429,65379.91428571429,66464.91428571429,67066.91428571429,68609.91428571429,70265.91428571429,71770.91428571429,72652.91428571429,73313.91428571429,73910.91428571429,74446.91428571429,74861.91428571429,74703.91428571429,73955.91428571429,72987.91428571429,72839.91428571429,73037.91428571429,73357.91428571429,-2035.6397974347387,59862.742204632996,59277.742204633,58282.742204633,57972.742204633,58251.742204633,58684.742204633,59411.742204633,59595.742204633,60331.742204633,59892.742204633,59490.742204633,58710.742204633,59093.742204633,60093.742204633,61504.742204633,62643.742204633,63132.742204633,63660.742204633,64007.742204633,65092.742204633,65694.742204633,67237.742204633,68893.742204633,70398.742204633,71280.742204633,71941.742204633,72538.742204633,73074.742204633,73489.742204633,73331.742204633,72583.742204633,71615.742204633,71467.742204633,71665.742204633,71985.742204633,2749.46836886331,62607.086366795564,62022.08636679557,61027.08636679557,60717.08636679557,60996.08636679557,61429.08636679557,62156.08636679557,62340.08636679557,63076.08636679557,62637.08636679557,62235.08636679557,61455.08636679557,61838.08636679557,62838.08636679557,64249.08636679557,65388.08636679557,65877.08636679557,66405.08636679557,66752.08636679557,67837.08636679557,68439.08636679557,69982.08636679557,71638.08636679557,73143.08636679557,74025.08636679557,74686.08636679557,75283.08636679557,75819.08636679557,76234.08636679557,76076.08636679557,75328.08636679557,74360.08636679557,74212.08636679557,74410.08636679557,74730.08636679557,73726.91428571429,74083.82857142857,74440.74285714286,74797.65714285715,75154.57142857143,75511.48571428572,75868.40000000001,76225.3142857143,76582.22857142858,76939.14285714287,77296.05714285716,77652.97142857144,72354.742204633,72143.28420445371,72064.07109598255,72053.31298069458,72086.30137844633,72150.36427634367,72237.97391747298,72344.22555176457,72465.71232818473,72599.95373923276,72745.0772021094,72899.62790625083,75099.08636679557,76024.37293840344,76817.41461830317,77542.00130501972,78222.84147869654,78872.60715222778,79498.82608252704,80106.40301966402,80698.74481467243,81278.33197505298,81847.03708360491,82406.31495089206
87012," ARIMA(0,1,0)(0,0,0)[12]          ",27711.18553139789,683.3573369767826,0.0,166197.0,165599.0,165950.0,165117.0,165395.0,164777.0,163262.0,161411.0,160677.0,161241.0,161635.0,161100.0,159916.0,160331.0,160851.0,162919.0,162975.0,162847.0,163439.0,164336.0,165303.0,165526.0,166065.0,167102.0,167561.0,167695.0,168013.0,167227.0,166628.0,165618.0,165630.0,166866.0,167734.0,168319.0,168509.0,-2529.5251905459004,164597.92562120702,163999.92562120702,164350.92562120702,163517.92562120702,163795.92562120702,163177.92562120702,161662.92562120702,159811.92562120702,159077.92562120702,159641.92562120702,160035.92562120702,159500.92562120702,158316.92562120702,158731.92562120702,159251.92562120702,161319.92562120702,161375.92562120702,161247.92562120702,161839.92562120702,162736.92562120702,163703.92562120702,163926.92562120702,164465.92562120702,165502.92562120702,165961.92562120702,166095.92562120702,166413.92562120702,165627.92562120702,165028.92562120702,164018.92562120702,164030.92562120702,165266.92562120702,166134.92562120702,166719.92562120702,166909.92562120702,2529.5251905459004,167796.07437879298,167198.07437879298,167549.07437879298,166716.07437879298,166994.07437879298,166376.07437879298,164861.07437879298,163010.07437879298,162276.07437879298,162840.07437879298,163234.07437879298,162699.07437879298,161515.07437879298,161930.07437879298,162450.07437879298,164518.07437879298,164574.07437879298,164446.07437879298,165038.07437879298,165935.07437879298,166902.07437879298,167125.07437879298,167664.07437879298,168701.07437879298,169160.07437879298,169294.07437879298,169612.07437879298,168826.07437879298,168227.07437879298,167217.07437879298,167229.07437879298,168465.07437879298,169333.07437879298,169918.07437879298,170108.07437879298,168664.0,168664.0,168664.0,168664.0,168664.0,168664.0,168664.0,168664.0,168664.0,168664.0,168664.0,168664.0,167064.92562120702,166402.56732626763,165894.32193084894,165465.85124241404,165088.36098794066,164747.08371119923,164433.24686581868,164141.1346525353,163866.77686362105,163607.28281499533,163360.47027367304,163124.64386169784,170263.07437879298,170925.43267373237,171433.67806915106,171862.14875758596,172239.63901205934,172580.91628880077,172894.75313418132,173186.8653474647,173461.22313637895,173720.71718500467,173967.52972632696,174203.35613830216
87023," ARIMA(0,1,0)(0,0,0)[12] intercept",18646.95030908239,2080.618898635839,493.8285714285713,112727.82857142856,113008.82857142857,114606.82857142857,114467.82857142857,114177.82857142857,114283.82857142857,115042.82857142857,117210.82857142857,118513.82857142857,120888.82857142857,122482.82857142857,124530.82857142857,124760.82857142857,125014.82857142857,124229.82857142857,124710.82857142857,125771.82857142857,126581.82857142857,126621.82857142857,125320.82857142857,125105.82857142857,123855.82857142857,125240.82857142857,125899.82857142857,127127.82857142857,126949.82857142857,127807.82857142857,129068.82857142857,130082.82857142857,129785.82857142857,130226.82857142857,130631.82857142857,131610.82857142857,132375.82857142857,131250.82857142857,-2210.8263441191416,110864.04226621482,111145.04226621483,112743.04226621483,112604.04226621483,112314.04226621483,112420.04226621483,113179.04226621483,115347.04226621483,116650.04226621483,119025.04226621483,120619.04226621483,122667.04226621483,122897.04226621483,123151.04226621483,122366.04226621483,122847.04226621483,123908.04226621483,124718.04226621483,124758.04226621483,123457.04226621483,123242.04226621483,121992.04226621483,123377.04226621483,124036.04226621483,125264.04226621483,125086.04226621483,125944.04226621483,127205.04226621483,128219.04226621483,127922.04226621483,128363.04226621483,128768.04226621483,129747.04226621483,130512.04226621483,129387.04226621483,3198.483486976284,114591.6148766423,114872.61487664231,116470.61487664231,116331.61487664231,116041.61487664231,116147.61487664231,116906.61487664231,119074.61487664231,120377.61487664231,122752.61487664231,124346.61487664231,126394.61487664231,126624.61487664231,126878.61487664231,126093.61487664231,126574.61487664231,127635.61487664231,128445.61487664231,128485.61487664231,127184.61487664231,126969.61487664231,125719.61487664231,127104.61487664231,127763.61487664231,128991.61487664231,128813.61487664231,129671.61487664231,130932.61487664231,131946.6148766423,131649.6148766423,132090.6148766423,132495.6148766423,133474.6148766423,134239.6148766423,133114.6148766423,130011.82857142857,130505.65714285715,130999.48571428572,131493.3142857143,131987.14285714287,132480.97142857144,132974.80000000002,133468.6285714286,133962.45714285717,134456.28571428574,134950.1142857143,135443.9428571429,128148.04226621483,127869.86527265864,127771.31313920445,127765.74167528682,127819.58998315177,127915.64599121064,128043.68493943654,128197.04483103157,128371.09822721595,128562.47591798057,128768.63442191754,128987.59770698035,131875.6148766423,133141.44901305565,134227.65828936698,135220.88689614178,136154.69573113395,137046.29686593227,137905.9150605635,138740.2123118256,139553.81605849837,140350.0955105909,141131.5941495111,141900.28800730544
87001," ARIMA(0,1,0)(0,0,0)[12]          ",39624.51970721888,17343.33064177697,0.0,237583.0,238473.0,240897.0,239733.0,237578.0,234368.0,233308.0,231342.0,231330.0,232020.0,233972.0,235794.0,235218.0,233879.0,231932.0,232943.0,234249.0,236087.0,236837.0,237132.0,236073.0,234481.0,234737.0,235726.0,237787.0,239868.0,241539.0,241950.0,240718.0,239717.0,238418.0,238830.0,240055.0,241684.0,242167.0,-3520.980151803245,234657.96283635605,235547.96283635605,237971.96283635605,236807.96283635605,234652.96283635605,231442.96283635605,230382.96283635605,228416.96283635605,228404.96283635605,229094.96283635605,231046.96283635605,232868.96283635605,232292.96283635605,230953.96283635605,229006.96283635605,230017.96283635605,231323.96283635605,233161.96283635605,233911.96283635605,234206.96283635605,233147.96283635605,231555.96283635605,231811.96283635605,232800.96283635605,234861.96283635605,236942.96283635605,238613.96283635605,239024.96283635605,237792.96283635605,236791.96283635605,235492.96283635605,235904.96283635605,237129.96283635605,238758.96283635605,239241.96283635605,3520.980151803245,240508.03716364395,241398.03716364395,243822.03716364395,242658.03716364395,240503.03716364395,237293.03716364395,236233.03716364395,234267.03716364395,234255.03716364395,234945.03716364395,236897.03716364395,238719.03716364395,238143.03716364395,236804.03716364395,234857.03716364395,235868.03716364395,237174.03716364395,239012.03716364395,239762.03716364395,240057.03716364395,238998.03716364395,237406.03716364395,237662.03716364395,238651.03716364395,240712.03716364395,242793.03716364395,244464.03716364395,244875.03716364395,243643.03716364395,242642.03716364395,241343.03716364395,241755.03716364395,242980.03716364395,244609.03716364395,245092.03716364395,244351.0,244351.0,244351.0,244351.0,244351.0,244351.0,244351.0,244351.0,244351.0,244351.0,244351.0,244351.0,241425.96283635605,240214.37277272937,239284.6870185415,238500.9256727121,237810.41806537894,237186.15147039454,236612.07908937635,236077.74554545878,235575.88850906814,235101.22032224643,234649.7492303476,234218.374037083,247276.03716364395,248487.62722727063,249417.3129814585,250201.0743272879,250891.58193462106,251515.84852960546,252089.92091062365,252624.25445454122,253126.11149093186,253600.77967775357,254052.2507696524,254483.625962917
87043," ARIMA(0,1,0)(0,0,0)[12] intercept",62757.763018422906,2947.79543273704,1238.5714285714284,378923.5714285714,378555.5714285714,380671.5714285714,382622.5714285714,386825.5714285714,388268.5714285714,389828.5714285714,388146.5714285714,388358.5714285714,387188.5714285714,387131.5714285714,388561.5714285714,389756.5714285714,390266.5714285714,388875.5714285714,389992.5714285714,390227.5714285714,391801.5714285714,392456.5714285714,393530.5714285714,394162.5714285714,395992.5714285714,399686.5714285714,403002.5714285714,405952.5714285714,410634.5714285714,414141.5714285714,414711.5714285714,414008.5714285714,415019.5714285714,416976.5714285714,418497.5714285714,419448.5714285714,420879.5714285714,421630.5714285714,-2242.5727882574274,376046.6101431755,375678.6101431755,377794.6101431755,379745.6101431755,383948.6101431755,385391.6101431755,386951.6101431755,385269.6101431755,385481.6101431755,384311.6101431755,384254.6101431755,385684.6101431755,386879.6101431755,387389.6101431755,385998.6101431755,387115.6101431755,387350.6101431755,388924.6101431755,389579.6101431755,390653.6101431755,391285.6101431755,393115.6101431755,396809.6101431755,400125.6101431755,403075.6101431755,407757.6101431755,411264.6101431755,411834.6101431755,411131.6101431755,412142.6101431755,414099.6101431755,415620.6101431755,416571.6101431755,418002.6101431755,418753.6101431755,4719.715645400284,381800.5327139673,381432.5327139673,383548.5327139673,385499.5327139673,389702.5327139673,391145.5327139673,392705.5327139673,391023.5327139673,391235.5327139673,390065.5327139673,390008.5327139673,391438.5327139673,392633.5327139673,393143.5327139673,391752.5327139673,392869.5327139673,393104.5327139673,394678.5327139673,395333.5327139673,396407.5327139673,397039.5327139673,398869.5327139673,402563.5327139673,405879.5327139673,408829.5327139673,413511.5327139673,417018.5327139673,417588.5327139673,416885.5327139673,417896.5327139673,419853.5327139673,421374.5327139673,422325.5327139673,423756.5327139673,424507.5327139673,422273.5714285714,423512.14285714284,424750.71428571426,425989.2857142857,427227.8571428571,428466.4285714285,429704.99999999994,430943.57142857136,432182.1428571428,433420.7142857142,434659.2857142856,435897.85714285704,419396.6101431755,419443.5051889136,419767.6711679999,420235.3631434939,420794.7761400767,421419.34141246695,422093.27590728167,422806.2960921129,423551.2590009551,424322.96388373745,425117.4845942488,425931.7709074283,425150.5327139673,427580.7805253721,429733.7574034286,431743.2082850775,433660.9381456375,435513.5157303901,437316.7240927182,439080.8467650298,440813.0267133305,442518.46468769095,444201.0868343224,445863.9433782858
