zip_code,model_order,train_rmse,test_rmse,train_pred_2016-01-31,train_pred_2016-02-29,train_pred_2016-03-31,train_pred_2016-04-30,train_pred_2016-05-31,train_pred_2016-06-30,train_pred_2016-07-31,train_pred_2016-08-31,train_pred_2016-09-30,train_pred_2016-10-31,train_pred_2016-11-30,train_pred_2016-12-31,train_pred_2017-01-31,train_pred_2017-02-28,train_pred_2017-03-31,train_pred_2017-04-30,train_pred_2017-05-31,train_pred_2017-06-30,train_pred_2017-07-31,train_pred_2017-08-31,train_pred_2017-09-30,train_pred_2017-10-31,train_pred_2017-11-30,train_pred_2017-12-31,train_pred_2018-01-31,train_pred_2018-02-28,train_pred_2018-03-31,train_pred_2018-04-30,train_pred_2018-05-31,train_pred_2018-06-30,train_pred_2018-07-31,train_pred_2018-08-31,train_pred_2018-09-30,train_pred_2018-10-31,train_pred_2018-11-30,train_pred_2018-12-31,train_lci_2016-01-31,train_lci_2016-02-29,train_lci_2016-03-31,train_lci_2016-04-30,train_lci_2016-05-31,train_lci_2016-06-30,train_lci_2016-07-31,train_lci_2016-08-31,train_lci_2016-09-30,train_lci_2016-10-31,train_lci_2016-11-30,train_lci_2016-12-31,train_lci_2017-01-31,train_lci_2017-02-28,train_lci_2017-03-31,train_lci_2017-04-30,train_lci_2017-05-31,train_lci_2017-06-30,train_lci_2017-07-31,train_lci_2017-08-31,train_lci_2017-09-30,train_lci_2017-10-31,train_lci_2017-11-30,train_lci_2017-12-31,train_lci_2018-01-31,train_lci_2018-02-28,train_lci_2018-03-31,train_lci_2018-04-30,train_lci_2018-05-31,train_lci_2018-06-30,train_lci_2018-07-31,train_lci_2018-08-31,train_lci_2018-09-30,train_lci_2018-10-31,train_lci_2018-11-30,train_lci_2018-12-31,train_uci_2016-01-31,train_uci_2016-02-29,train_uci_2016-03-31,train_uci_2016-04-30,train_uci_2016-05-31,train_uci_2016-06-30,train_uci_2016-07-31,train_uci_2016-08-31,train_uci_2016-09-30,train_uci_2016-10-31,train_uci_2016-11-30,train_uci_2016-12-31,train_uci_2017-01-31,train_uci_2017-02-28,train_uci_2017-03-31,train_uci_2017-04-30,train_uci_2017-05-31,train_uci_2017-06-30,train_uci_2017-07-31,train_uci_2017-08-31,train_uci_2017-09-30,train_uci_2017-10-31,train_uci_2017-11-30,train_uci_2017-12-31,train_uci_2018-01-31,train_uci_2018-02-28,train_uci_2018-03-31,train_uci_2018-04-30,train_uci_2018-05-31,train_uci_2018-06-30,train_uci_2018-07-31,train_uci_2018-08-31,train_uci_2018-09-30,train_uci_2018-10-31,train_uci_2018-11-30,train_uci_2018-12-31,test_pred_2019-01-31,test_pred_2019-02-28,test_pred_2019-03-31,test_pred_2019-04-30,test_pred_2019-05-31,test_pred_2019-06-30,test_pred_2019-07-31,test_pred_2019-08-31,test_pred_2019-09-30,test_pred_2019-10-31,test_pred_2019-11-30,test_pred_2019-12-31,test_lci_2019-01-31,test_lci_2019-02-28,test_lci_2019-03-31,test_lci_2019-04-30,test_lci_2019-05-31,test_lci_2019-06-30,test_lci_2019-07-31,test_lci_2019-08-31,test_lci_2019-09-30,test_lci_2019-10-31,test_lci_2019-11-30,test_lci_2019-12-31,test_uci_2019-01-31,test_uci_2019-02-28,test_uci_2019-03-31,test_uci_2019-04-30,test_uci_2019-05-31,test_uci_2019-06-30,test_uci_2019-07-31,test_uci_2019-08-31,test_uci_2019-09-30,test_uci_2019-10-31,test_uci_2019-11-30,test_uci_2019-12-31
43021," ARIMA(0,1,0)(0,0,0)[12] intercept",62219.341375390046,7014.683792481736,1376.1714285714284,376019.17142857146,377506.17142857146,379147.17142857146,381128.17142857146,383177.17142857146,384813.17142857146,386032.17142857146,386755.17142857146,388212.17142857146,389546.17142857146,391143.17142857146,393262.17142857146,395584.17142857146,398166.17142857146,399520.17142857146,399332.17142857146,399384.17142857146,399900.17142857146,401013.17142857146,402016.17142857146,402467.17142857146,403823.17142857146,405317.17142857146,406453.17142857146,407553.17142857146,409391.17142857146,413073.17142857146,417916.17142857146,420466.17142857146,421853.17142857146,421345.17142857146,422263.17142857146,422838.17142857146,422900.17142857146,423338.17142857146,-1430.0028757223395,374010.8996826704,375497.8996826704,377138.8996826704,379119.8996826704,381168.8996826704,382804.8996826704,384023.8996826704,384746.8996826704,386203.8996826704,387537.8996826704,389134.8996826704,391253.8996826704,393575.8996826704,396157.8996826704,397511.8996826704,397323.8996826704,397375.8996826704,397891.8996826704,399004.8996826704,400007.8996826704,400458.8996826704,401814.8996826704,403308.8996826704,404444.8996826704,405544.8996826704,407382.8996826704,411064.8996826704,415907.8996826704,418457.8996826704,419844.8996826704,419336.8996826704,420254.8996826704,420829.8996826704,420891.8996826704,421329.8996826704,4182.345732865197,378027.4431744725,379514.4431744725,381155.4431744725,383136.4431744725,385185.4431744725,386821.4431744725,388040.4431744725,388763.4431744725,390220.4431744725,391554.4431744725,393151.4431744725,395270.4431744725,397592.4431744725,400174.4431744725,401528.4431744725,401340.4431744725,401392.4431744725,401908.4431744725,403021.4431744725,404024.4431744725,404475.4431744725,405831.4431744725,407325.4431744725,408461.4431744725,409561.4431744725,411399.4431744725,415081.4431744725,419924.4431744725,422474.4431744725,423861.4431744725,423353.4431744725,424271.4431744725,424846.4431744725,424908.4431744725,425346.4431744725,424185.17142857146,425561.3428571429,426937.51428571437,428313.6857142858,429689.8571428573,431066.02857142873,432442.2000000002,433818.37142857164,435194.5428571431,436570.71428571455,437946.885714286,439323.05714285746,422176.8996826704,422721.21771715896,423459.0855864087,424297.1422224837,425199.2250017303,426146.78752912284,427128.8123953085,428138.1211486037,429169.72761943995,430220.00140810426,431286.20185606024,432366.1997442461,426193.4431744725,428401.46799712686,430415.94298502005,432330.22920608794,434180.48928398424,435985.2696137346,437755.58760469186,439498.6217085396,441219.35809484625,442921.42716332484,444607.56957251177,446279.91454146884
43010," ARIMA(0,1,0)(0,0,0)[12]          ",13456.005562366732,6674.482545486204,0.0,80501.0,80334.0,79753.0,79267.0,79348.0,79512.0,79685.0,81131.0,82291.0,83713.0,84014.0,84264.0,84687.0,85658.0,87328.0,87847.0,88136.0,87033.0,86170.0,84415.0,84151.0,84758.0,86002.0,87129.0,87779.0,88983.0,88830.0,88376.0,87618.0,89107.0,91148.0,92718.0,92039.0,90126.0,88389.0,-2828.100406213434,78462.20302949742,78295.20302949742,77714.20302949742,77228.20302949742,77309.20302949742,77473.20302949742,77646.20302949742,79092.20302949742,80252.20302949742,81674.20302949742,81975.20302949742,82225.20302949742,82648.20302949742,83619.20302949742,85289.20302949742,85808.20302949742,86097.20302949742,84994.20302949742,84131.20302949742,82376.20302949742,82112.20302949742,82719.20302949742,83963.20302949742,85090.20302949742,85740.20302949742,86944.20302949742,86791.20302949742,86337.20302949742,85579.20302949742,87068.20302949742,89109.20302949742,90679.20302949742,90000.20302949742,88087.20302949742,86350.20302949742,2828.100406213434,82539.79697050258,82372.79697050258,81791.79697050258,81305.79697050258,81386.79697050258,81550.79697050258,81723.79697050258,83169.79697050258,84329.79697050258,85751.79697050258,86052.79697050258,86302.79697050258,86725.79697050258,87696.79697050258,89366.79697050258,89885.79697050258,90174.79697050258,89071.79697050258,88208.79697050258,86453.79697050258,86189.79697050258,86796.79697050258,88040.79697050258,89167.79697050258,89817.79697050258,91021.79697050258,90868.79697050258,90414.79697050258,89656.79697050258,91145.79697050258,93186.79697050258,94756.79697050258,94077.79697050258,92164.79697050258,90427.79697050258,87759.0,87759.0,87759.0,87759.0,87759.0,87759.0,87759.0,87759.0,87759.0,87759.0,87759.0,87759.0,85720.20302949742,84875.70567339008,84227.70006077204,83681.40605899485,83200.11138163561,82764.98773313653,82364.8502422983,81992.41134678017,81642.60908849229,81311.75788656075,80997.07542512967,80696.40012154408,89797.79697050258,90642.29432660992,91290.29993922796,91836.59394100515,92317.88861836439,92753.01226686347,93153.1497577017,93525.58865321983,93875.39091150771,94206.24211343925,94520.92457487033,94821.59987845592
43016," ARIMA(0,1,0)(0,0,0)[12] intercept",49985.431031770015,3596.562227714525,1387.342857142857,302608.34285714285,303266.34285714285,304596.34285714285,306353.34285714285,307693.34285714285,308782.34285714285,309739.34285714285,311340.34285714285,312616.34285714285,313519.34285714285,314337.34285714285,315300.34285714285,318097.34285714285,322028.34285714285,324711.34285714285,325721.34285714285,325767.34285714285,326787.34285714285,328114.34285714285,330113.34285714285,332675.34285714285,335417.34285714285,338363.34285714285,340675.34285714285,340530.34285714285,338561.34285714285,338026.34285714285,339965.34285714285,343257.34285714285,345743.34285714285,347879.34285714285,349212.34285714285,349487.34285714285,350243.34285714285,350968.34285714285,-1618.8209586766932,300328.96529586683,300986.96529586683,302316.96529586683,304073.96529586683,305413.96529586683,306502.96529586683,307459.96529586683,309060.96529586683,310336.96529586683,311239.96529586683,312057.96529586683,313020.96529586683,315817.96529586683,319748.96529586683,322431.96529586683,323441.96529586683,323487.96529586683,324507.96529586683,325834.96529586683,327833.96529586683,330395.96529586683,333137.96529586683,336083.96529586683,338395.96529586683,338250.96529586683,336281.96529586683,335746.96529586683,337685.96529586683,340977.96529586683,343463.96529586683,345599.96529586683,346932.96529586683,347207.96529586683,347963.96529586683,348688.96529586683,4393.506672962407,304887.7204184189,305545.7204184189,306875.7204184189,308632.7204184189,309972.7204184189,311061.7204184189,312018.7204184189,313619.7204184189,314895.7204184189,315798.7204184189,316616.7204184189,317579.7204184189,320376.7204184189,324307.7204184189,326990.7204184189,328000.7204184189,328046.7204184189,329066.7204184189,330393.7204184189,332392.7204184189,334954.7204184189,337696.7204184189,340642.7204184189,342954.7204184189,342809.7204184189,340840.7204184189,340305.7204184189,342244.7204184189,345536.7204184189,348022.7204184189,350158.7204184189,351491.7204184189,351766.7204184189,352522.7204184189,353247.7204184189,351165.34285714285,352552.6857142857,353940.02857142856,355327.3714285714,356714.71428571426,358102.0571428571,359489.39999999997,360876.7428571428,362264.08571428567,363651.4285714285,365038.7714285714,366426.1142857142,348885.96529586683,349329.1590533602,349992.03082566604,350768.61630601936,351617.87111231335,352518.74518658133,353458.7338288427,354429.68953529187,355425.9530304576,356443.40383031627,357478.93130226346,358530.1187941892,353444.7204184189,355776.2123752112,357888.0263171911,359886.12655112345,361811.55745911517,363685.3690991329,365520.06617115723,367323.79617899377,369102.21839811374,370859.4533125408,372598.6115548793,374322.10977723927
43004," ARIMA(0,1,0)(0,0,0)[12] intercept",31730.261597851942,3784.6685961010417,1333.3714285714282,192981.37142857144,193496.37142857144,194433.37142857144,195977.37142857144,197375.37142857144,198663.37142857144,199850.37142857144,201479.37142857144,202912.37142857144,203903.37142857144,204760.37142857144,205814.37142857144,208154.37142857144,211386.37142857144,213769.37142857144,215042.37142857144,215569.37142857144,216752.37142857144,217964.37142857144,219456.37142857144,221180.37142857144,223450.37142857144,225991.37142857144,228155.37142857144,228488.37142857144,227247.37142857144,227071.37142857144,228399.37142857144,231044.37142857144,233136.37142857144,235221.37142857144,236764.37142857144,237648.37142857144,238515.37142857144,239234.37142857144,-1243.1573871947721,191308.93550520114,191823.93550520114,192760.93550520114,194304.93550520114,195702.93550520114,196990.93550520114,198177.93550520114,199806.93550520114,201239.93550520114,202230.93550520114,203087.93550520114,204141.93550520114,206481.93550520114,209713.93550520114,212096.93550520114,213369.93550520114,213896.93550520114,215079.93550520114,216291.93550520114,217783.93550520114,219507.93550520114,221777.93550520114,224318.93550520114,226482.93550520114,226815.93550520114,225574.93550520114,225398.93550520114,226726.93550520114,229371.93550520114,231463.93550520114,233548.93550520114,235091.93550520114,235975.93550520114,236842.93550520114,237561.93550520114,3909.9002443376285,194653.80735194174,195168.80735194174,196105.80735194174,197649.80735194174,199047.80735194174,200335.80735194174,201522.80735194174,203151.80735194174,204584.80735194174,205575.80735194174,206432.80735194174,207486.80735194174,209826.80735194174,213058.80735194174,215441.80735194174,216714.80735194174,217241.80735194174,218424.80735194174,219636.80735194174,221128.80735194174,222852.80735194174,225122.80735194174,227663.80735194174,229827.80735194174,230160.80735194174,228919.80735194174,228743.80735194174,230071.80735194174,232716.80735194174,234808.80735194174,236893.80735194174,238436.80735194174,239320.80735194174,240187.80735194174,240906.80735194174,239649.37142857144,240982.74285714288,242316.1142857143,243649.48571428575,244982.8571428572,246316.22857142863,247649.60000000006,248982.9714285715,250316.34285714294,251649.71428571438,252983.08571428581,254316.45714285725,237976.93550520114,238617.56129211263,239419.37029403358,240304.61386754515,241243.17673018857,242219.613931671,243224.7504630716,244252.608298511,245299.03508703207,246361.00752717743,247436.24327055496,248522.9691594958,241321.80735194174,243347.92442217312,245212.85827739505,246994.35756102635,248722.5375555258,250412.84321118626,252074.44953692853,253713.334558632,255333.6506272538,256938.42104425133,258529.92815801667,260109.9451262187
43017," ARIMA(0,1,0)(0,0,0)[12] intercept",58451.5571895972,2930.5564507248796,1358.6285714285711,353356.62857142853,353780.6285714286,354916.6285714286,356662.6285714286,358082.6285714286,359221.6285714286,360404.6285714286,362050.6285714286,363454.6285714286,364176.6285714286,364801.6285714286,365577.6285714286,368386.6285714286,372885.6285714286,375975.6285714286,376899.6285714286,376481.6285714286,377236.6285714286,378342.6285714286,380232.6285714286,382289.6285714286,384742.6285714286,387230.6285714286,389378.6285714286,389215.6285714286,387265.6285714286,386826.6285714286,388982.6285714286,392214.6285714286,394609.6285714286,396465.6285714286,398092.6285714286,398623.6285714286,399611.6285714286,400465.6285714286,-1679.081992693146,351035.80400876066,351459.8040087607,352595.8040087607,354341.8040087607,355761.8040087607,356900.8040087607,358083.8040087607,359729.8040087607,361133.8040087607,361855.8040087607,362480.8040087607,363256.8040087607,366065.8040087607,370564.8040087607,373654.8040087607,374578.8040087607,374160.8040087607,374915.8040087607,376021.8040087607,377911.8040087607,379968.8040087607,382421.8040087607,384909.8040087607,387057.8040087607,386894.8040087607,384944.8040087607,384505.8040087607,386661.8040087607,389893.8040087607,392288.8040087607,394144.8040087607,395771.8040087607,396302.8040087607,397290.8040087607,398144.8040087607,4396.339135550288,355677.4531340964,356101.45313409646,357237.45313409646,358983.45313409646,360403.45313409646,361542.45313409646,362725.45313409646,364371.45313409646,365775.45313409646,366497.45313409646,367122.45313409646,367898.45313409646,370707.45313409646,375206.45313409646,378296.45313409646,379220.45313409646,378802.45313409646,379557.45313409646,380663.45313409646,382553.45313409646,384610.45313409646,387063.45313409646,389551.45313409646,391699.45313409646,391536.45313409646,389586.45313409646,389147.45313409646,391303.45313409646,394535.45313409646,396930.45313409646,398786.45313409646,400413.45313409646,400944.45313409646,401932.45313409646,402786.45313409646,400908.6285714286,402267.2571428572,403625.8857142858,404984.51428571437,406343.14285714296,407701.77142857155,409060.40000000014,410419.02857142873,411777.6571428573,413136.2857142859,414494.9142857145,415853.5428571431,398587.8040087607,398985.1155704437,399606.0996562912,400342.8651603786,401153.6213711664,402016.9354675173,402920.0753705707,403854.7454266017,404815.18345485366,405797.19404659123,406797.61000710446,407813.9707411539,403229.45313409646,405549.3987152707,407645.67177228036,409626.1634110501,411532.66434311954,413386.6073896258,415200.7246294296,416983.3117162558,418740.130830861,420475.3773819806,422192.21856432455,423893.11497313227
43015," ARIMA(0,1,0)(0,0,0)[12] intercept",34880.388957990144,6696.80240774918,1187.1142857142856,211624.1142857143,212646.11428571428,213636.11428571428,214818.11428571428,216026.11428571428,217032.11428571428,217849.11428571428,218429.11428571428,219414.11428571428,220449.11428571428,221590.11428571428,222845.11428571428,224327.11428571428,226314.11428571428,227741.11428571428,228543.11428571428,229025.11428571428,229656.11428571428,230588.11428571428,231823.11428571428,232901.11428571428,233865.11428571428,234658.11428571428,235320.11428571428,236203.11428571428,237838.11428571428,240478.11428571428,244023.11428571428,246164.11428571428,247761.11428571428,247975.11428571428,248994.11428571428,249640.11428571428,250421.11428571428,251624.11428571428,-1121.9991673708644,210403.23504577094,211425.2350457709,212415.2350457709,213597.2350457709,214805.2350457709,215811.2350457709,216628.2350457709,217208.2350457709,218193.2350457709,219228.2350457709,220369.2350457709,221624.2350457709,223106.2350457709,225093.2350457709,226520.2350457709,227322.2350457709,227804.2350457709,228435.2350457709,229367.2350457709,230602.2350457709,231680.2350457709,232644.2350457709,233437.2350457709,234099.2350457709,234982.2350457709,236617.2350457709,239257.2350457709,242802.2350457709,244943.2350457709,246540.2350457709,246754.2350457709,247773.2350457709,248419.2350457709,249200.2350457709,250403.2350457709,3496.2277387994354,212844.9935256577,213866.99352565766,214856.99352565766,216038.99352565766,217246.99352565766,218252.99352565766,219069.99352565766,219649.99352565766,220634.99352565766,221669.99352565766,222810.99352565766,224065.99352565766,225547.99352565766,227534.99352565766,228961.99352565766,229763.99352565766,230245.99352565766,230876.99352565766,231808.99352565766,233043.99352565766,234121.99352565766,235085.99352565766,235878.99352565766,236540.99352565766,237423.99352565766,239058.99352565766,241698.99352565766,245243.99352565766,247384.99352565766,248981.99352565766,249195.99352565766,250214.99352565766,250860.99352565766,251641.99352565766,252844.99352565766,253173.11428571428,254360.22857142857,255547.34285714285,256734.45714285714,257921.57142857142,259108.6857142857,260295.8,261482.91428571427,262670.02857142856,263857.14285714284,265044.2571428571,266231.3714285714,251952.2350457709,252633.6445922809,253432.71798365487,254292.6986629704,255191.60245573978,256118.1545388675,257065.65715026826,258029.74632741892,259007.39085159844,259996.38371090658,260995.05878963068,262002.12168159542,254393.99352565766,256086.81255057623,257661.96773063083,259176.21562274388,260651.54040140306,262099.2168897039,263525.9428497317,264936.0822440096,266332.66629125865,267717.90200337913,269093.45549608354,270460.62117554736
43018," ARIMA(0,2,0)(0,0,0)[12]          ",21289.924959403837,5402.828734406943,0.0,175423.58860513766,106643.00000000009,106788.99999999996,105247.00000000001,102674.99999999999,102216.00000000001,101539.0,102116.0,102117.0,101709.99999999999,100898.0,101119.00000000001,100974.0,101870.99999999999,102937.00000000001,105423.0,107403.99999999999,110232.0,113136.0,114927.0,113956.0,115462.0,117356.0,121025.0,122168.0,122332.0,119355.00000000001,117565.99999999999,118402.0,121847.00000000001,123897.99999999999,126216.0,129310.0,133403.0,135072.0,-3200.734830792433,173195.8516513207,105042.44202989728,105188.44202989715,103646.44202989721,101074.44202989718,100615.44202989721,99938.4420298972,100515.4420298972,100516.4420298972,100109.44202989718,99297.4420298972,99518.44202989721,99373.4420298972,100270.44202989718,101336.44202989721,103822.4420298972,105803.44202989718,108631.4420298972,111535.4420298972,113326.4420298972,112355.4420298972,113861.4420298972,115755.4420298972,119424.4420298972,120567.4420298972,120731.4420298972,117754.44202989721,115965.44202989718,116801.4420298972,120246.44202989721,122297.44202989718,124615.4420298972,127709.4420298972,131802.44202989718,133471.44202989718,3200.734830792433,177651.32555895462,108243.55797010289,108389.55797010276,106847.55797010282,104275.55797010279,103816.55797010282,103139.5579701028,103716.5579701028,103717.5579701028,103310.55797010279,102498.5579701028,102719.55797010282,102574.5579701028,103471.55797010279,104537.55797010282,107023.5579701028,109004.55797010279,111832.5579701028,114736.5579701028,116527.5579701028,115556.5579701028,117062.5579701028,118956.5579701028,122625.5579701028,123768.5579701028,123932.5579701028,120955.55797010282,119166.55797010279,120002.5579701028,123447.55797010282,125498.55797010279,127816.5579701028,130910.5579701028,135003.55797010282,136672.55797010282,134289.0,135149.0,136009.0,136869.0,137729.0,138589.0,139449.0,140309.0,141169.0,142029.0,142889.0,143749.0,132688.44202989718,131570.04357692105,130020.26044820494,128102.38295180014,125858.94440361466,123320.65008178602,120510.94270279165,117448.45962155398,114148.47155470512,110623.78484345392,106885.3387594572,102942.6183890467,135889.55797010282,138727.95642307895,141997.73955179506,145635.61704819987,149599.05559638533,153857.349918214,158387.05729720835,163169.54037844602,168189.52844529488,173434.21515654607,178892.6612405428,184555.3816109533
43009," ARIMA(1,1,0)(0,0,0)[12] intercept",23034.716460057563,296.05376099179074,822.5686489014823,140244.15494941495,140923.81530184523,141493.20267877652,142234.26129838455,142544.61873056393,143025.8551138398,143686.34317024142,144709.2007739328,145756.74871983827,146631.2087363317,147574.52699146443,148302.67608027614,149304.31195559367,149922.69137012606,150727.99433540885,151170.20331372443,151741.3065329864,152079.62605801492,152762.17273402459,153356.26193333245,154222.25333598565,154899.53558881124,155936.08959227192,156979.57095617044,158287.44384971174,159350.58561107246,160395.86722895017,161450.28201084174,162576.31132064576,163790.46646701268,164768.54897381744,165640.912463552,166312.29857058747,166983.6467704721,168041.2154288348,-1186.7800363908264,139801.44748069358,140481.84804010723,141051.23541703852,141792.29403664655,142102.65146882593,142583.8878521018,143244.37590850343,144267.2335121948,145314.78145810027,146189.2414745937,147132.55972972643,147860.70881853814,148862.34469385567,149480.72410838807,150286.02707367085,150728.23605198643,151299.3392712484,151637.65879627693,152320.2054722866,152914.29467159446,153780.28607424765,154457.56832707324,155494.12233053392,156537.60369443244,157845.47658797374,158908.61834933446,159953.89996721217,161008.31474910374,162134.34405890777,163348.49920527468,164326.58171207944,165198.945201814,165870.33130884948,166541.67950873412,167599.2481670968,2831.9173341937912,140686.86241813633,141365.78256358323,141935.16994051452,142676.22856012254,142986.58599230193,143467.8223755778,144128.31043197942,145151.1680356708,146198.71598157627,147073.1759980697,148016.49425320243,148744.64334201414,149746.27921733167,150364.65863186406,151169.96159714684,151612.17057546243,152183.2737947244,152521.59331975292,153204.13999576258,153798.22919507045,154664.22059772364,155341.50285054924,156378.05685400992,157421.53821790844,158729.41111144974,159792.55287281045,160837.83449068817,161892.24927257973,163018.27858238376,164232.43372875068,165210.51623555543,166082.87972529,166754.26583232547,167425.6140322101,168483.1826905728,169067.68213783132,169890.96856614025,170713.57974674177,171536.15091584026,172358.7197140749,173181.28837182504,174003.85702125085,174826.4256701834,175648.99431908672,176471.5629679883,177294.1316168898,178116.70026579127,168625.71487609332,169247.14798023982,169916.62918207436,170611.03370887454,171321.14629008903,172042.30826793768,172771.78853211732,173507.82419595195,174249.19900053542,174995.0318915004,175744.66038261945,176497.57142847538,169509.64939956932,170534.78915204067,171510.53031140918,172461.26812280598,173396.29313806075,174320.2684757124,175235.92551038438,176145.02714441487,177048.78963763802,177948.09404447622,178843.60285116013,179735.82910310716
43011," ARIMA(0,2,0)(0,0,0)[12]          ",28565.596415250147,2449.2714052686497,0.0,231256.1524006647,155519.00000000003,156845.99999999997,158285.0,158991.0,159677.0,160433.0,161601.0,162650.0,163764.0,164684.0,165853.0,166436.0,167446.0,168569.0,170327.0,172187.0,173484.0,175201.0,176352.0,178174.0,179402.0,181090.0,182596.0,184680.0,186576.0,187851.0,189322.0,190491.0,192356.0,193176.0,194440.0,195436.0,196815.0,199081.0,-2799.632273106989,229802.28104969746,155125.27011386747,156452.27011386742,157891.27011386745,158597.27011386745,159283.27011386745,160039.27011386745,161207.27011386745,162256.27011386745,163370.27011386745,164290.27011386745,165459.27011386745,166042.27011386745,167052.27011386745,168175.27011386745,169933.27011386745,171793.27011386745,173090.27011386745,174807.27011386745,175958.27011386745,177780.27011386745,179008.27011386745,180696.27011386745,182202.27011386745,184286.27011386745,186182.27011386745,187457.27011386745,188928.27011386745,190097.27011386745,191962.27011386745,192782.27011386745,194046.27011386745,195042.27011386745,196421.27011386745,198687.27011386745,2799.632273106989,232710.02375163193,155912.72988613258,157239.72988613253,158678.72988613255,159384.72988613255,160070.72988613255,160826.72988613255,161994.72988613255,163043.72988613255,164157.72988613255,165077.72988613255,166246.72988613255,166829.72988613255,167839.72988613255,168962.72988613255,170720.72988613255,172580.72988613255,173877.72988613255,175594.72988613255,176745.72988613255,178567.72988613255,179795.72988613255,181483.72988613255,182989.72988613255,185073.72988613255,186969.72988613255,188244.72988613255,189715.72988613255,190884.72988613255,192749.72988613255,193569.72988613255,194833.72988613255,195829.72988613255,197208.72988613255,199474.72988613255,200896.0,202682.0,204468.0,206254.0,208040.0,209826.0,211612.0,213398.0,215184.0,216970.0,218756.0,220542.0,200502.27011386745,201801.59320983436,202994.79766315845,204097.45259801258,205120.0210141394,206070.05626848724,206953.32516129815,207774.41239601205,208537.0744985612,209244.46176987825,209899.26522038842,210503.81813762715,201289.72988613255,203562.40679016564,205941.20233684155,208410.54740198742,210959.9789858606,213581.94373151276,216270.67483870185,219021.58760398795,221830.9255014388,224695.53823012175,227612.73477961158,230580.18186237285
43013," ARIMA(1,2,0)(0,0,0)[12]          ",40888.432799087925,14555.14148504357,0.0,341489.11713940406,198138.76642923325,196087.51053472934,194574.86453407764,189267.71228620637,183663.5953978136,179066.6212670854,175613.4686892765,174467.96760828077,171177.33065847878,169043.16060237255,166564.80480744358,164373.6689751105,160163.2701990232,161159.61401181636,165404.93485015078,170509.5601112814,175840.9311860431,180362.41442233077,187099.89003693865,190506.93261521298,193562.60195673423,194999.35249723212,198609.31464582455,204673.89076976018,209224.21303726445,209570.5280130266,211260.10560260536,211905.24106852768,214107.657689323,211492.84738571796,211488.95302479644,210034.6791616656,212476.1099995345,215677.7837015118,-3538.0930521783594,338738.29823482037,195940.26043480125,193889.22128714347,192376.57528649177,187069.4230386205,181465.30615022773,176868.33201949953,173415.17944169062,172269.6783606949,168979.0414108929,166844.87135478668,164366.5155598577,162175.37972752462,157964.98095143732,158961.3247642305,163206.6456025649,168311.27086369554,173642.64193845724,178164.1251747449,184901.6007893528,188308.6433676271,191364.31270914836,192801.06324964625,196411.02539823868,202475.60152217431,207025.92378967858,207372.23876544074,209061.8163550195,209706.95182094182,211909.36844173714,209294.5581381321,209290.66377721058,207836.38991407974,210277.82075194863,213479.49445392593,3538.0930521783594,344239.93604398775,200337.27242366524,198285.7997823152,196773.1537816635,191466.00153379224,185861.88464539946,181264.91051467127,177811.75793686236,176666.25685586664,173375.61990606465,171241.44984995842,168763.09405502945,166571.95822269635,162361.55944660906,163357.90325940223,167603.22409773665,172707.84935886727,178039.22043362897,182560.70366991663,189298.17928452452,192705.22186279885,195760.8912043201,197197.641744818,200807.6038934104,206872.18001734605,211422.5022848503,211768.81726061247,213458.39485019122,214103.53031611355,216305.94693690888,213691.13663330383,213687.2422723823,212232.96840925148,214674.39924712037,217876.07294909767,219406.61727304012,222293.72257357457,225180.83942611376,228067.9565520982,230955.07368455533,233842.19081716568,236729.30794977967,239616.42508239375,242503.54221500782,245390.6593476219,248277.77648023597,251164.89361285005,217208.32802545425,217331.60204456194,216843.27872391918,215834.85213767955,214367.01458468763,212483.3804098288,210217.1719442595,207594.765141319,204637.75143439107,201364.22576779404,197789.6371568318,193927.37560946489,221604.90652062598,227255.8431025872,233518.40012830833,240301.06096651687,247543.13278442304,255201.00122450257,263241.44395529985,271638.08502346853,280369.3329956246,289417.0929274498,298765.91580364015,308402.4116162352
