zip_code,model_order,train_rmse,test_rmse,train_pred_2016-01-31,train_pred_2016-02-29,train_pred_2016-03-31,train_pred_2016-04-30,train_pred_2016-05-31,train_pred_2016-06-30,train_pred_2016-07-31,train_pred_2016-08-31,train_pred_2016-09-30,train_pred_2016-10-31,train_pred_2016-11-30,train_pred_2016-12-31,train_pred_2017-01-31,train_pred_2017-02-28,train_pred_2017-03-31,train_pred_2017-04-30,train_pred_2017-05-31,train_pred_2017-06-30,train_pred_2017-07-31,train_pred_2017-08-31,train_pred_2017-09-30,train_pred_2017-10-31,train_pred_2017-11-30,train_pred_2017-12-31,train_pred_2018-01-31,train_pred_2018-02-28,train_pred_2018-03-31,train_pred_2018-04-30,train_pred_2018-05-31,train_pred_2018-06-30,train_pred_2018-07-31,train_pred_2018-08-31,train_pred_2018-09-30,train_pred_2018-10-31,train_pred_2018-11-30,train_pred_2018-12-31,train_lci_2016-01-31,train_lci_2016-02-29,train_lci_2016-03-31,train_lci_2016-04-30,train_lci_2016-05-31,train_lci_2016-06-30,train_lci_2016-07-31,train_lci_2016-08-31,train_lci_2016-09-30,train_lci_2016-10-31,train_lci_2016-11-30,train_lci_2016-12-31,train_lci_2017-01-31,train_lci_2017-02-28,train_lci_2017-03-31,train_lci_2017-04-30,train_lci_2017-05-31,train_lci_2017-06-30,train_lci_2017-07-31,train_lci_2017-08-31,train_lci_2017-09-30,train_lci_2017-10-31,train_lci_2017-11-30,train_lci_2017-12-31,train_lci_2018-01-31,train_lci_2018-02-28,train_lci_2018-03-31,train_lci_2018-04-30,train_lci_2018-05-31,train_lci_2018-06-30,train_lci_2018-07-31,train_lci_2018-08-31,train_lci_2018-09-30,train_lci_2018-10-31,train_lci_2018-11-30,train_lci_2018-12-31,train_uci_2016-01-31,train_uci_2016-02-29,train_uci_2016-03-31,train_uci_2016-04-30,train_uci_2016-05-31,train_uci_2016-06-30,train_uci_2016-07-31,train_uci_2016-08-31,train_uci_2016-09-30,train_uci_2016-10-31,train_uci_2016-11-30,train_uci_2016-12-31,train_uci_2017-01-31,train_uci_2017-02-28,train_uci_2017-03-31,train_uci_2017-04-30,train_uci_2017-05-31,train_uci_2017-06-30,train_uci_2017-07-31,train_uci_2017-08-31,train_uci_2017-09-30,train_uci_2017-10-31,train_uci_2017-11-30,train_uci_2017-12-31,train_uci_2018-01-31,train_uci_2018-02-28,train_uci_2018-03-31,train_uci_2018-04-30,train_uci_2018-05-31,train_uci_2018-06-30,train_uci_2018-07-31,train_uci_2018-08-31,train_uci_2018-09-30,train_uci_2018-10-31,train_uci_2018-11-30,train_uci_2018-12-31,test_pred_2019-01-31,test_pred_2019-02-28,test_pred_2019-03-31,test_pred_2019-04-30,test_pred_2019-05-31,test_pred_2019-06-30,test_pred_2019-07-31,test_pred_2019-08-31,test_pred_2019-09-30,test_pred_2019-10-31,test_pred_2019-11-30,test_pred_2019-12-31,test_lci_2019-01-31,test_lci_2019-02-28,test_lci_2019-03-31,test_lci_2019-04-30,test_lci_2019-05-31,test_lci_2019-06-30,test_lci_2019-07-31,test_lci_2019-08-31,test_lci_2019-09-30,test_lci_2019-10-31,test_lci_2019-11-30,test_lci_2019-12-31,test_uci_2019-01-31,test_uci_2019-02-28,test_uci_2019-03-31,test_uci_2019-04-30,test_uci_2019-05-31,test_uci_2019-06-30,test_uci_2019-07-31,test_uci_2019-08-31,test_uci_2019-09-30,test_uci_2019-10-31,test_uci_2019-11-30,test_uci_2019-12-31
02822," ARIMA(0,2,0)(0,0,0)[12]          ",64783.60624688552,13402.743183144761,0.0,543916.1871465445,316519.9999999999,315467.0000000001,316530.0,316836.0,316763.0,318343.0,319266.0,320986.0,321668.0,323184.0,320856.0,322102.0,321725.0,325898.0,326759.0,328724.0,330996.0,332919.0,333956.0,333318.0,333424.0,335596.0,339538.0,341067.0,344214.0,345091.0,349286.0,350041.0,349508.0,346654.0,346879.0,356488.0,362433.0,365325.0,-3772.891477719955,540857.3354619733,313960.3530592552,312907.35305925546,313970.35305925534,314276.35305925534,314203.35305925534,315783.35305925534,316706.35305925534,318426.35305925534,319108.35305925534,320624.35305925534,318296.35305925534,319542.35305925534,319165.35305925534,323338.35305925534,324199.35305925534,326164.35305925534,328436.35305925534,330359.35305925534,331396.35305925534,330758.35305925534,330864.35305925534,333036.35305925534,336978.35305925534,338507.35305925534,341654.35305925534,342531.35305925534,346726.35305925534,347481.35305925534,346948.35305925534,344094.35305925534,344319.35305925534,353928.35305925534,359873.35305925534,362765.35305925534,3772.891477719955,546975.0388311156,319079.64694074454,318026.6469407448,319089.64694074466,319395.64694074466,319322.64694074466,320902.64694074466,321825.64694074466,323545.64694074466,324227.64694074466,325743.64694074466,323415.64694074466,324661.64694074466,324284.64694074466,328457.64694074466,329318.64694074466,331283.64694074466,333555.64694074466,335478.64694074466,336515.64694074466,335877.64694074466,335983.64694074466,338155.64694074466,342097.64694074466,343626.64694074466,346773.64694074466,347650.64694074466,351845.64694074466,352600.64694074466,352067.64694074466,349213.64694074466,349438.64694074466,359047.64694074466,364992.64694074466,367884.64694074466,364264.0,365773.0,367282.0,368791.0,370300.0,371809.0,373318.0,374827.0,376336.0,377845.0,379354.0,380863.0,361704.35305925534,360049.4554420955,357704.6781166293,354771.2363130505,351317.1502305502,347391.52441436687,343031.8489639752,338267.9291406664,333124.1862049262,327621.1003347361,321776.1658500479,315604.5515061739,366823.64694074466,371496.5445579045,376859.3218833707,382810.7636869495,389282.8497694498,396226.47558563313,403604.1510360248,411386.0708593336,419547.8137950738,428068.8996652639,436931.8341499521,446121.4484938261
02816," ARIMA(0,1,0)(0,0,0)[12] intercept",36970.69379050265,3374.6367335363316,1121.7999999999997,223958.8,226417.8,227292.8,228516.8,228665.8,229461.8,229399.8,229555.8,229068.8,230042.8,230104.8,231343.8,231794.8,233207.8,235024.8,236511.8,238919.8,240310.8,243250.8,244967.8,247965.8,249742.8,253848.8,255502.8,256866.8,256092.8,257053.8,259111.8,261613.8,263842.8,263654.8,264190.8,264485.8,265179.8,263867.8,-1902.4162732614764,221655.66621170947,224114.66621170947,224989.66621170947,226213.66621170947,226362.66621170947,227158.66621170947,227096.66621170947,227252.66621170947,226765.66621170947,227739.66621170947,227801.66621170947,229040.66621170947,229491.66621170947,230904.66621170947,232721.66621170947,234208.66621170947,236616.66621170947,238007.66621170947,240947.66621170947,242664.66621170947,245662.66621170947,247439.66621170947,251545.66621170947,253199.66621170947,254563.66621170947,253789.66621170947,254750.66621170947,256808.66621170947,259310.66621170947,261539.66621170947,261351.66621170947,261887.66621170947,262182.6662117095,262876.6662117095,261564.66621170947,4146.016273261475,226261.9337882905,228720.9337882905,229595.9337882905,230819.9337882905,230968.9337882905,231764.9337882905,231702.9337882905,231858.9337882905,231371.9337882905,232345.9337882905,232407.9337882905,233646.9337882905,234097.9337882905,235510.9337882905,237327.9337882905,238814.9337882905,241222.9337882905,242613.9337882905,245553.9337882905,247270.9337882905,250268.9337882905,252045.9337882905,256151.9337882905,257805.9337882905,259169.9337882905,258395.9337882905,259356.9337882905,261414.9337882905,263916.9337882905,266145.9337882905,265957.9337882905,266493.9337882905,266788.9337882905,267482.9337882905,266170.9337882905,263221.8,264343.6,265465.39999999997,266587.19999999995,267708.99999999994,268830.79999999993,269952.5999999999,271074.3999999999,272196.1999999999,273317.9999999999,274439.7999999999,275561.59999999986,260918.66621170947,261086.47696063982,261476.2552620522,261980.93242341894,262559.03628810577,263189.29740932496,263859.08076007315,264560.1539212796,265286.79863512836,266034.85147290985,266801.1693822504,267583.31052410434,265524.9337882905,267600.72303936013,269454.5447379477,271193.467576581,272858.9637118941,274472.3025906749,276046.1192399267,277588.6460787202,279105.6013648714,280601.1485270899,282078.43061774934,283539.8894758954
02806," ARIMA(0,1,0)(0,0,0)[12] intercept",64688.75571339909,20992.135228752715,2341.914285714285,392589.9142857143,395484.9142857143,397424.9142857143,398740.9142857143,402484.9142857143,407223.9142857143,410145.9142857143,413490.9142857143,418594.9142857143,422863.9142857143,426816.9142857143,429271.9142857143,431152.9142857143,430820.9142857143,431608.9142857143,433262.9142857143,435612.9142857143,436592.9142857143,437564.9142857143,436917.9142857143,434146.9142857143,431894.9142857143,431489.9142857143,432578.9142857143,434695.9142857143,438438.9142857143,441762.9142857143,445997.9142857143,446609.9142857143,449542.9142857143,451406.9142857143,456416.9142857143,463392.9142857143,471107.9142857143,474168.9142857143,-2467.366917334397,388198.134820702,391093.134820702,393033.134820702,394349.134820702,398093.134820702,402832.134820702,405754.134820702,409099.134820702,414203.134820702,418472.134820702,422425.134820702,424880.134820702,426761.134820702,426429.134820702,427217.134820702,428871.134820702,431221.134820702,432201.134820702,433173.134820702,432526.134820702,429755.134820702,427503.134820702,427098.134820702,428187.134820702,430304.134820702,434047.134820702,437371.134820702,441606.134820702,442218.134820702,445151.134820702,447015.134820702,452025.134820702,459001.134820702,466716.134820702,469777.134820702,7151.195488762967,396981.6937507265,399876.6937507265,401816.6937507265,403132.6937507265,406876.6937507265,411615.6937507265,414537.6937507265,417882.6937507265,422986.6937507265,427255.6937507265,431208.6937507265,433663.6937507265,435544.6937507265,435212.6937507265,436000.6937507265,437654.6937507265,440004.6937507265,440984.6937507265,441956.6937507265,441309.6937507265,438538.6937507265,436286.6937507265,435881.6937507265,436970.6937507265,439087.6937507265,442830.6937507265,446154.6937507265,450389.6937507265,451001.6937507265,453934.6937507265,455798.6937507265,460808.6937507265,467784.6937507265,475499.6937507265,478560.6937507265,474556.9142857143,476898.82857142854,479240.7428571428,481582.6571428571,483924.57142857136,486266.48571428563,488608.3999999999,490950.3142857142,493292.22857142845,495634.1428571427,497976.057142857,500317.97142857127,470165.134820702,470687.91448905657,471633.95768810395,472799.0982128326,474104.25400261633,475508.8669621723,476988.8437225372,478528.4861209702,480116.8901763917,481746.11676654825,483410.1724954236,485104.40109049354,478948.6937507265,483109.7426538005,486847.5280261817,490366.2160728816,493744.8888545264,497024.10446639895,500227.9562774626,503372.14245045814,506467.5669664652,509522.1689477372,512541.9417902904,515531.541766649
02809," ARIMA(0,1,0)(0,0,0)[12] intercept",49201.80612012766,17898.289087380246,1959.942857142857,298947.9428571429,301329.9428571428,303162.9428571428,304092.9428571428,306862.9428571428,310584.9428571428,312760.9428571428,315073.9428571428,318887.9428571428,322049.9428571428,325106.9428571428,326983.9428571428,328729.9428571428,328722.9428571428,329428.9428571428,330712.9428571428,332787.9428571428,333881.9428571428,334861.9428571428,334355.9428571428,332138.9428571428,330326.9428571428,329929.9428571428,330669.9428571428,332350.9428571428,335313.9428571428,338152.9428571428,341697.9428571428,342515.9428571428,344950.9428571428,346543.9428571428,350152.9428571428,355104.9428571428,361860.9428571428,365670.9428571428,-2000.1492290045217,295506.8862592252,297888.88625922514,299721.88625922514,300651.88625922514,303421.88625922514,307143.88625922514,309319.88625922514,311632.88625922514,315446.88625922514,318608.88625922514,321665.88625922514,323542.88625922514,325288.88625922514,325281.88625922514,325987.88625922514,327271.88625922514,329346.88625922514,330440.88625922514,331420.88625922514,330914.88625922514,328697.88625922514,326885.88625922514,326488.88625922514,327228.88625922514,328909.88625922514,331872.88625922514,334711.88625922514,338256.88625922514,339074.88625922514,341509.88625922514,343102.88625922514,346711.88625922514,351663.88625922514,358419.88625922514,362229.88625922514,5920.034943290236,302388.9994550606,304770.9994550605,306603.9994550605,307533.9994550605,310303.9994550605,314025.9994550605,316201.9994550605,318514.9994550605,322328.9994550605,325490.9994550605,328547.9994550605,330424.9994550605,332170.9994550605,332163.9994550605,332869.9994550605,334153.9994550605,336228.9994550605,337322.9994550605,338302.9994550605,337796.9994550605,335579.9994550605,333767.9994550605,333370.9994550605,334110.9994550605,335791.9994550605,338754.9994550605,341593.9994550605,345138.9994550605,345956.9994550605,348391.9994550605,349984.9994550605,353593.9994550605,358545.9994550605,365301.9994550605,369111.9994550605,367545.9428571428,369505.88571428566,371465.8285714285,373425.7714285713,375385.71428571414,377345.657142857,379305.5999999998,381265.54285714263,383225.48571428546,385185.4285714283,387145.3714285711,389105.31428571395,364104.88625922514,364639.496804617,365505.7437121149,366543.6582327359,367691.277818346,368916.8243019212,370201.4199946116,371532.76503780537,372902.31592053233,374303.85216445813,375732.67781090125,377185.14456708677,370986.9994550605,374372.2746239543,377425.91343074205,380307.88462440675,383080.1507530823,385774.48998379277,388409.780005388,390998.3206764799,393548.6555080386,396067.00497839844,398558.065046241,401025.4840043411
02818," ARIMA(0,1,0)(0,0,0)[12] intercept",68003.58008732247,3378.3986681392507,1058.0285714285712,409989.0285714285,413269.02857142856,413018.02857142856,413539.02857142856,412239.02857142856,412310.02857142856,412154.02857142856,412273.02857142856,411411.02857142856,412087.02857142856,411759.02857142856,413564.02857142856,414552.02857142856,416960.02857142856,420002.02857142856,422425.02857142856,425921.02857142856,428478.02857142856,433164.02857142856,435208.02857142856,438432.02857142856,439724.02857142856,445420.02857142856,446575.02857142856,447846.02857142856,446222.02857142856,447325.02857142856,449524.02857142856,451708.02857142856,453067.02857142856,450419.02857142856,449314.02857142856,448671.02857142856,449448.02857142856,447460.02857142856,-3082.06103806169,406342.2651908518,409622.2651908519,409371.2651908519,409892.2651908519,408592.2651908519,408663.2651908519,408507.2651908519,408626.2651908519,407764.2651908519,408440.2651908519,408112.2651908519,409917.2651908519,410905.2651908519,413313.2651908519,416355.2651908519,418778.2651908519,422274.2651908519,424831.2651908519,429517.2651908519,431561.2651908519,434785.2651908519,436077.2651908519,441773.2651908519,442928.2651908519,444199.2651908519,442575.2651908519,443678.2651908519,445877.2651908519,448061.2651908519,449420.2651908519,446772.2651908519,445667.2651908519,445024.2651908519,445801.2651908519,443813.2651908519,5198.118180918832,413635.7919520052,416915.79195200524,416664.79195200524,417185.79195200524,415885.79195200524,415956.79195200524,415800.79195200524,415919.79195200524,415057.79195200524,415733.79195200524,415405.79195200524,417210.79195200524,418198.79195200524,420606.79195200524,423648.79195200524,426071.79195200524,429567.79195200524,432124.79195200524,436810.79195200524,438854.79195200524,442078.79195200524,443370.79195200524,449066.79195200524,450221.79195200524,451492.79195200524,449868.79195200524,450971.79195200524,453170.79195200524,455354.79195200524,456713.79195200524,454065.79195200524,452960.79195200524,452317.79195200524,453094.79195200524,451106.79195200524,447020.02857142856,448078.0571428571,449136.08571428567,450194.1142857142,451252.1428571428,452310.17142857134,453368.1999999999,454426.22857142845,455484.257142857,456542.28571428556,457600.3142857141,458658.3428571427,443373.2651908519,442920.75491128,442819.7062559452,442900.58752456086,443097.7320403164,443377.46193349146,443719.7710046968,444111.62410827423,444543.96700112696,445010.2073439678,445505.3684531332,446025.58394046174,450666.79195200524,453235.3593744342,455452.46517262614,457487.6410468676,459406.5536739692,461242.8809236512,463016.628995303,464740.83303458267,466424.54728458705,468074.3640846033,469695.26011829503,471291.1017738236
02813," ARIMA(0,1,0)(0,0,0)[12] intercept",58210.7257899073,13861.02515328485,1648.5999999999997,352502.6,354420.6,354891.6,355938.6,356951.6,357357.6,359476.6,358954.6,359198.6,358882.6,360964.6,362172.6,364304.6,365533.6,368597.6,370315.6,372350.6,374632.6,376860.6,381208.6,384898.6,389008.6,390792.6,392927.6,393805.6,395354.6,395843.6,397910.6,399948.6,401832.6,402490.6,404530.6,406704.6,408206.6,408665.6,-1242.9395968644224,350376.67845404847,352294.67845404847,352765.67845404847,353812.67845404847,354825.67845404847,355231.67845404847,357350.67845404847,356828.67845404847,357072.67845404847,356756.67845404847,358838.67845404847,360046.67845404847,362178.67845404847,363407.67845404847,366471.67845404847,368189.67845404847,370224.67845404847,372506.67845404847,374734.67845404847,379082.67845404847,382772.67845404847,386882.67845404847,388666.67845404847,390801.67845404847,391679.67845404847,393228.67845404847,393717.67845404847,395784.67845404847,397822.67845404847,399706.67845404847,400364.67845404847,402404.67845404847,404578.67845404847,406080.67845404847,406539.67845404847,4540.139596864422,354628.5215459515,356546.5215459515,357017.5215459515,358064.5215459515,359077.5215459515,359483.5215459515,361602.5215459515,361080.5215459515,361324.5215459515,361008.5215459515,363090.5215459515,364298.5215459515,366430.5215459515,367659.5215459515,370723.5215459515,372441.5215459515,374476.5215459515,376758.5215459515,378986.5215459515,383334.5215459515,387024.5215459515,391134.5215459515,392918.5215459515,395053.5215459515,395931.5215459515,397480.5215459515,397969.5215459515,400036.5215459515,402074.5215459515,403958.5215459515,404616.5215459515,406656.5215459515,408830.5215459515,410332.5215459515,410791.5215459515,410203.6,411852.19999999995,413500.79999999993,415149.3999999999,416797.9999999999,418446.59999999986,420095.19999999984,421743.7999999998,423392.3999999998,425040.99999999977,426689.59999999974,428338.1999999997,408077.67845404847,408845.6929171742,409818.5958695066,410897.55690809694,412044.29490842094,413239.17697922996,414470.54028257827,415730.7858343483,417014.6353621453,418318.24578796676,419638.7158983464,420973.79173901305,412329.5215459515,414858.7070828257,417183.00413049327,419401.24309190287,421551.7050915788,423654.02302076976,425719.8597174214,427756.81416565133,429770.16463785426,431763.75421203277,433740.4841016531,435702.6082609864
02808," ARIMA(0,1,0)(0,0,0)[12] intercept",38344.439714836015,2373.417711658403,637.5428571428572,231310.54285714286,231810.54285714286,232327.54285714286,233069.54285714286,233489.54285714286,233647.54285714286,234261.54285714286,234118.54285714286,233160.54285714286,232677.54285714286,233243.54285714286,233973.54285714286,235319.54285714286,236651.54285714286,238666.54285714286,239560.54285714286,240415.54285714286,241547.54285714286,243176.54285714286,244024.54285714286,245393.54285714286,245916.54285714286,247311.54285714286,248164.54285714286,248747.54285714286,248869.54285714286,248833.54285714286,249929.54285714286,251181.54285714286,252322.54285714286,251983.54285714286,252663.54285714286,252593.54285714286,253493.54285714286,253099.54285714286,-1689.7031470684603,230055.70615723988,230555.70615723988,231072.70615723988,231814.70615723988,232234.70615723988,232392.70615723988,233006.70615723988,232863.70615723988,231905.70615723988,231422.70615723988,231988.70615723988,232718.70615723988,234064.70615723988,235396.70615723988,237411.70615723988,238305.70615723988,239160.70615723988,240292.70615723988,241921.70615723988,242769.70615723988,244138.70615723988,244661.70615723988,246056.70615723988,246909.70615723988,247492.70615723988,247614.70615723988,247578.70615723988,248674.70615723988,249926.70615723988,251067.70615723988,250728.70615723988,251408.70615723988,251338.70615723988,252238.70615723988,251844.70615723988,2964.7888613541745,232565.37955704585,233065.37955704585,233582.37955704585,234324.37955704585,234744.37955704585,234902.37955704585,235516.37955704585,235373.37955704585,234415.37955704585,233932.37955704585,234498.37955704585,235228.37955704585,236574.37955704585,237906.37955704585,239921.37955704585,240815.37955704585,241670.37955704585,242802.37955704585,244431.37955704585,245279.37955704585,246648.37955704585,247171.37955704585,248566.37955704585,249419.37955704585,250002.37955704585,250124.37955704585,250088.37955704585,251184.37955704585,252436.37955704585,253577.37955704585,253238.37955704585,253918.37955704585,253848.37955704585,254748.37955704585,254354.37955704585,253624.54285714286,254262.08571428573,254899.6285714286,255537.17142857146,256174.71428571432,256812.25714285718,257449.80000000005,258087.3428571429,258724.88571428577,259362.42857142864,259999.9714285715,260637.51428571437,252369.70615723988,252487.47863471942,252726.18765199455,253027.4980287655,253368.81412406973,253738.54751757692,254129.81415605976,254538.12869801032,254960.3756145768,255394.286508166,255838.1489218255,256290.63244684628,254879.37955704585,256036.69279385204,257073.06949086263,258046.84482837742,258980.6144473589,259885.96676813744,260769.78584394034,261636.5570162755,262489.39581399475,263330.5706346913,264161.7939353175,264984.39612458245
02812," ARIMA(0,1,0)(0,0,0)[12] intercept",45790.567421099746,8372.335118211158,1251.4571428571426,277205.45714285714,278734.45714285714,279534.45714285714,279940.45714285714,280602.45714285714,280930.45714285714,283288.45714285714,283999.45714285714,285217.45714285714,285536.45714285714,287067.45714285714,287563.45714285714,289027.45714285714,290284.45714285714,293021.45714285714,294686.45714285714,296470.45714285714,298233.45714285714,299873.45714285714,302624.45714285714,304612.45714285714,306539.45714285714,307402.45714285714,309345.45714285714,309777.45714285714,310605.45714285714,310263.45714285714,312679.45714285714,315020.45714285714,317396.45714285714,317669.45714285714,318240.45714285714,319050.45714285714,319825.45714285714,320022.45714285714,-1259.6423389714478,275635.6922601611,277164.6922601611,277964.6922601611,278370.6922601611,279032.6922601611,279360.6922601611,281718.6922601611,282429.6922601611,283647.6922601611,283966.6922601611,285497.6922601611,285993.6922601611,287457.6922601611,288714.6922601611,291451.6922601611,293116.6922601611,294900.6922601611,296663.6922601611,298303.6922601611,301054.6922601611,303042.6922601611,304969.6922601611,305832.6922601611,307775.6922601611,308207.6922601611,309035.6922601611,308693.6922601611,311109.6922601611,313450.6922601611,315826.6922601611,316099.6922601611,316670.6922601611,317480.6922601611,318255.6922601611,318452.6922601611,3762.556624685733,278775.2220255532,280304.2220255532,281104.2220255532,281510.2220255532,282172.2220255532,282500.2220255532,284858.2220255532,285569.2220255532,286787.2220255532,287106.2220255532,288637.2220255532,289133.2220255532,290597.2220255532,291854.2220255532,294591.2220255532,296256.2220255532,298040.2220255532,299803.2220255532,301443.2220255532,304194.2220255532,306182.2220255532,308109.2220255532,308972.2220255532,310915.2220255532,311347.2220255532,312175.2220255532,311833.2220255532,314249.2220255532,316590.2220255532,318966.2220255532,319239.2220255532,319810.2220255532,320620.2220255532,321395.2220255532,321592.2220255532,321006.45714285714,322257.9142857143,323509.3714285714,324760.82857142854,326012.2857142857,327263.7428571428,328515.19999999995,329766.6571428571,331018.1142857142,332269.57142857136,333521.0285714285,334772.48571428563,319436.6922601611,320037.9314988685,320790.4588958045,321621.2988060365,322502.18472788535,323418.6198783977,324361.9925035438,325326.6915691656,326308.8196376261,327305.5390083049,328314.7074464495,329334.6606487518,322576.2220255532,324477.89707256004,326228.28396133834,327900.3583368206,329522.386700686,331108.86583588796,332668.4074964561,334206.62271654856,335727.40893380233,337233.60384883784,338727.3496964075,340210.3107798195
02825," ARIMA(0,1,0)(0,0,0)[12] intercept",46213.142969962806,8179.161663438699,1384.7999999999997,279882.8,281731.8,282979.8,282779.8,282914.8,283356.8,284408.8,285883.8,290227.8,293491.8,295471.8,295791.8,296232.8,297581.8,298916.8,303754.8,307290.8,311006.8,311287.8,312559.8,311126.8,311027.8,311155.8,314661.8,318082.8,320773.8,322411.8,321601.8,320864.8,320182.8,322046.8,324926.8,327729.8,329247.8,329718.8,-2346.3363783161312,276707.91104872944,278556.91104872944,279804.91104872944,279604.91104872944,279739.91104872944,280181.91104872944,281233.91104872944,282708.91104872944,287052.91104872944,290316.91104872944,292296.91104872944,292616.91104872944,293057.91104872944,294406.91104872944,295741.91104872944,300579.91104872944,304115.91104872944,307831.91104872944,308112.91104872944,309384.91104872944,307951.91104872944,307852.91104872944,307980.91104872944,311486.91104872944,314907.91104872944,317598.91104872944,319236.91104872944,318426.91104872944,317689.91104872944,317007.91104872944,318871.91104872944,321751.91104872944,324554.91104872944,326072.91104872944,326543.91104872944,5115.936378316131,283057.68895127054,284906.68895127054,286154.68895127054,285954.68895127054,286089.68895127054,286531.68895127054,287583.68895127054,289058.68895127054,293402.68895127054,296666.68895127054,298646.68895127054,298966.68895127054,299407.68895127054,300756.68895127054,302091.68895127054,306929.68895127054,310465.68895127054,314181.68895127054,314462.68895127054,315734.68895127054,314301.68895127054,314202.68895127054,314330.68895127054,317836.68895127054,321257.68895127054,323948.68895127054,325586.68895127054,324776.68895127054,324039.68895127054,323357.68895127054,325221.68895127054,328101.68895127054,330904.68895127054,332422.68895127054,332893.68895127054,328350.8,329735.6,331120.39999999997,332505.19999999995,333889.99999999994,335274.79999999993,336659.5999999999,338044.3999999999,339429.1999999999,340813.9999999999,342198.7999999999,343583.59999999986,325175.91104872944,325245.62898608466,325621.3310280103,326155.42209745885,326790.73248394596,327497.942079387,328259.63339469134,329064.4579721693,329904.5331461882,330774.11959588155,331668.8845975905,332585.4620560205,331525.68895127054,334225.5710139153,336619.46897198964,338854.97790254105,340989.2675160539,343051.65792061284,345059.5666053085,347024.34202783054,348953.8668538116,350853.8804041182,352728.71540240926,354581.7379439792
02804," ARIMA(0,1,0)(0,0,0)[12] intercept",37139.42688804665,9624.964885349791,1019.5714285714284,224808.57142857148,225845.57142857142,226814.57142857142,228599.57142857142,230262.57142857142,230925.57142857142,232358.57142857142,232982.57142857142,233408.57142857142,233032.57142857142,233978.57142857142,233838.57142857142,234890.57142857142,235253.57142857142,236861.57142857142,237747.57142857142,238642.57142857142,240875.57142857142,242922.57142857142,244423.57142857142,244894.57142857142,246146.57142857142,248362.57142857142,251529.57142857142,253863.57142857142,255893.57142857142,256789.57142857142,257022.57142857142,257032.57142857142,255906.57142857142,255450.57142857142,256554.57142857142,258745.57142857142,260389.57142857142,260524.57142857142,-1649.6573091912978,222996.577158767,224033.57715876694,225002.57715876694,226787.57715876694,228450.57715876694,229113.57715876694,230546.57715876694,231170.57715876694,231596.57715876694,231220.57715876694,232166.57715876694,232026.57715876694,233078.57715876694,233441.57715876694,235049.57715876694,235935.57715876694,236830.57715876694,239063.57715876694,241110.57715876694,242611.57715876694,243082.57715876694,244334.57715876694,246550.57715876694,249717.57715876694,252051.57715876694,254081.57715876694,254977.57715876694,255210.57715876694,255220.57715876694,254094.57715876694,253638.57715876694,254742.57715876694,256933.57715876694,258577.57715876694,258712.57715876694,3688.8001663341547,226620.56569837595,227657.5656983759,228626.5656983759,230411.5656983759,232074.5656983759,232737.5656983759,234170.5656983759,234794.5656983759,235220.5656983759,234844.5656983759,235790.5656983759,235650.5656983759,236702.5656983759,237065.5656983759,238673.5656983759,239559.5656983759,240454.5656983759,242687.5656983759,244734.5656983759,246235.5656983759,246706.5656983759,247958.5656983759,250174.5656983759,253341.5656983759,255675.5656983759,257705.5656983759,258601.5656983759,258834.5656983759,258844.5656983759,257718.5656983759,257262.5656983759,258366.5656983759,260557.5656983759,262201.5656983759,262336.5656983759,260493.57142857142,261513.14285714284,262532.71428571426,263552.2857142857,264571.8571428571,265591.4285714285,266610.99999999994,267630.57142857136,268650.1428571428,269669.7142857142,270689.2857142856,271708.85714285704,258681.57715876694,258950.595985843,259394.24814738924,259928.29717467673,260520.11478073418,261152.96719356056,261816.9137850232,262505.4776859717,263214.1600477293,263939.6852859584,264679.5805990702,265431.924866207,262305.5656983759,264075.6897284427,265671.1804240393,267176.27425389463,268623.59950498,270029.8899492965,271405.0862149767,272755.665171171,274086.12566655624,275399.74328547,276698.99082950107,277985.7894195071
