zip_code,model_order,train_rmse,test_rmse,train_pred_2016-01-31,train_pred_2016-02-29,train_pred_2016-03-31,train_pred_2016-04-30,train_pred_2016-05-31,train_pred_2016-06-30,train_pred_2016-07-31,train_pred_2016-08-31,train_pred_2016-09-30,train_pred_2016-10-31,train_pred_2016-11-30,train_pred_2016-12-31,train_pred_2017-01-31,train_pred_2017-02-28,train_pred_2017-03-31,train_pred_2017-04-30,train_pred_2017-05-31,train_pred_2017-06-30,train_pred_2017-07-31,train_pred_2017-08-31,train_pred_2017-09-30,train_pred_2017-10-31,train_pred_2017-11-30,train_pred_2017-12-31,train_pred_2018-01-31,train_pred_2018-02-28,train_pred_2018-03-31,train_pred_2018-04-30,train_pred_2018-05-31,train_pred_2018-06-30,train_pred_2018-07-31,train_pred_2018-08-31,train_pred_2018-09-30,train_pred_2018-10-31,train_pred_2018-11-30,train_pred_2018-12-31,train_lci_2016-01-31,train_lci_2016-02-29,train_lci_2016-03-31,train_lci_2016-04-30,train_lci_2016-05-31,train_lci_2016-06-30,train_lci_2016-07-31,train_lci_2016-08-31,train_lci_2016-09-30,train_lci_2016-10-31,train_lci_2016-11-30,train_lci_2016-12-31,train_lci_2017-01-31,train_lci_2017-02-28,train_lci_2017-03-31,train_lci_2017-04-30,train_lci_2017-05-31,train_lci_2017-06-30,train_lci_2017-07-31,train_lci_2017-08-31,train_lci_2017-09-30,train_lci_2017-10-31,train_lci_2017-11-30,train_lci_2017-12-31,train_lci_2018-01-31,train_lci_2018-02-28,train_lci_2018-03-31,train_lci_2018-04-30,train_lci_2018-05-31,train_lci_2018-06-30,train_lci_2018-07-31,train_lci_2018-08-31,train_lci_2018-09-30,train_lci_2018-10-31,train_lci_2018-11-30,train_lci_2018-12-31,train_uci_2016-01-31,train_uci_2016-02-29,train_uci_2016-03-31,train_uci_2016-04-30,train_uci_2016-05-31,train_uci_2016-06-30,train_uci_2016-07-31,train_uci_2016-08-31,train_uci_2016-09-30,train_uci_2016-10-31,train_uci_2016-11-30,train_uci_2016-12-31,train_uci_2017-01-31,train_uci_2017-02-28,train_uci_2017-03-31,train_uci_2017-04-30,train_uci_2017-05-31,train_uci_2017-06-30,train_uci_2017-07-31,train_uci_2017-08-31,train_uci_2017-09-30,train_uci_2017-10-31,train_uci_2017-11-30,train_uci_2017-12-31,train_uci_2018-01-31,train_uci_2018-02-28,train_uci_2018-03-31,train_uci_2018-04-30,train_uci_2018-05-31,train_uci_2018-06-30,train_uci_2018-07-31,train_uci_2018-08-31,train_uci_2018-09-30,train_uci_2018-10-31,train_uci_2018-11-30,train_uci_2018-12-31,test_pred_2019-01-31,test_pred_2019-02-28,test_pred_2019-03-31,test_pred_2019-04-30,test_pred_2019-05-31,test_pred_2019-06-30,test_pred_2019-07-31,test_pred_2019-08-31,test_pred_2019-09-30,test_pred_2019-10-31,test_pred_2019-11-30,test_pred_2019-12-31,test_lci_2019-01-31,test_lci_2019-02-28,test_lci_2019-03-31,test_lci_2019-04-30,test_lci_2019-05-31,test_lci_2019-06-30,test_lci_2019-07-31,test_lci_2019-08-31,test_lci_2019-09-30,test_lci_2019-10-31,test_lci_2019-11-30,test_lci_2019-12-31,test_uci_2019-01-31,test_uci_2019-02-28,test_uci_2019-03-31,test_uci_2019-04-30,test_uci_2019-05-31,test_uci_2019-06-30,test_uci_2019-07-31,test_uci_2019-08-31,test_uci_2019-09-30,test_uci_2019-10-31,test_uci_2019-11-30,test_uci_2019-12-31
57016," ARIMA(0,1,0)(0,0,0)[12] intercept",37609.32177122172,11598.230194585643,850.8285714285712,227061.82857142857,227256.82857142857,230718.82857142857,233801.82857142857,235591.82857142857,232456.82857142857,230827.82857142857,228219.82857142857,228973.82857142857,229435.82857142857,231907.82857142857,233321.82857142857,233760.82857142857,233793.82857142857,233842.82857142857,234127.82857142857,235914.82857142857,238173.82857142857,240366.82857142857,241312.82857142857,240172.82857142857,238816.82857142857,239051.82857142857,241538.82857142857,243894.82857142857,243429.82857142857,240909.82857142857,238523.82857142857,238473.82857142857,241083.82857142857,245869.82857142857,250450.82857142857,253491.82857142857,255197.82857142857,256283.82857142857,-3448.246252960772,223235.52676354616,223430.52676354616,226892.52676354616,229975.52676354616,231765.52676354616,228630.52676354616,227001.52676354616,224393.52676354616,225147.52676354616,225609.52676354616,228081.52676354616,229495.52676354616,229934.52676354616,229967.52676354616,230016.52676354616,230301.52676354616,232088.52676354616,234347.52676354616,236540.52676354616,237486.52676354616,236346.52676354616,234990.52676354616,235225.52676354616,237712.52676354616,240068.52676354616,239603.52676354616,237083.52676354616,234697.52676354616,234647.52676354616,237257.52676354616,242043.52676354616,246624.52676354616,249665.52676354616,251371.52676354616,252457.52676354616,5149.903395817914,230888.13037931098,231083.13037931098,234545.13037931098,237628.13037931098,239418.13037931098,236283.13037931098,234654.13037931098,232046.13037931098,232800.13037931098,233262.13037931098,235734.13037931098,237148.13037931098,237587.13037931098,237620.13037931098,237669.13037931098,237954.13037931098,239741.13037931098,242000.13037931098,244193.13037931098,245139.13037931098,243999.13037931098,242643.13037931098,242878.13037931098,245365.13037931098,247721.13037931098,247256.13037931098,244736.13037931098,242350.13037931098,242300.13037931098,244910.13037931098,249696.13037931098,254277.13037931098,257318.13037931098,259024.13037931098,260110.13037931098,256840.82857142857,257691.65714285715,258542.48571428572,259393.3142857143,260244.14285714287,261094.97142857144,261945.80000000002,262796.6285714286,263647.45714285714,264498.2857142857,265349.1142857142,266199.94285714277,253014.52676354616,252280.44923241716,251915.13657794075,251740.7106699495,251688.27191228748,251722.48439737078,251822.35697526633,251974.2127505486,252168.55171920994,252398.45698615728,252658.70685430977,252945.24458445283,260667.13037931098,263102.86505329714,265169.83485063066,267045.9179014791,268800.0138019983,270467.4584597721,272069.2430247337,273619.04439230857,275126.36256650434,276598.1144424141,278039.5217171187,279454.6411298327
57001," ARIMA(0,1,0)(0,0,0)[12] intercept",19740.699841830854,424.6998255671198,736.8285714285713,119895.82857142857,119976.82857142857,120420.82857142857,121082.82857142857,122032.82857142857,122414.82857142857,122678.82857142857,123044.82857142857,123971.82857142857,125143.82857142857,126151.82857142857,127021.82857142857,127866.82857142857,128970.82857142857,129940.82857142857,130763.82857142857,131330.82857142857,132216.82857142857,133305.82857142857,134455.82857142857,135019.82857142857,135356.82857142857,135511.82857142857,135768.82857142857,135713.82857142857,135849.82857142857,136200.82857142857,137140.82857142857,138208.82857142857,139355.82857142857,140125.82857142857,141051.82857142857,141801.82857142857,143132.82857142857,144177.82857142857,-1364.1525985541489,119139.08353118857,119220.08353118857,119664.08353118857,120326.08353118857,121276.08353118857,121658.08353118857,121922.08353118857,122288.08353118857,123215.08353118857,124387.08353118857,125395.08353118857,126265.08353118857,127110.08353118857,128214.08353118857,129184.08353118857,130007.08353118857,130574.08353118857,131460.08353118857,132549.08353118857,133699.08353118857,134263.08353118857,134600.08353118857,134755.08353118857,135012.08353118857,134957.08353118857,135093.08353118857,135444.08353118857,136384.08353118857,137452.08353118857,138599.08353118857,139369.08353118857,140295.08353118857,141045.08353118857,142376.08353118857,143421.08353118857,2837.8097414112913,120652.57361166857,120733.57361166857,121177.57361166857,121839.57361166857,122789.57361166857,123171.57361166857,123435.57361166857,123801.57361166857,124728.57361166857,125900.57361166857,126908.57361166857,127778.57361166857,128623.57361166857,129727.57361166857,130697.57361166857,131520.57361166857,132087.57361166857,132973.57361166857,134062.57361166857,135212.57361166857,135776.57361166857,136113.57361166857,136268.57361166857,136525.57361166857,136470.57361166857,136606.57361166857,136957.57361166857,137897.57361166857,138965.57361166857,140112.57361166857,140882.57361166857,141808.57361166857,142558.57361166857,143889.57361166857,144934.57361166857,145684.82857142857,146421.65714285715,147158.48571428572,147895.3142857143,148632.14285714287,149368.97142857144,150105.80000000002,150842.6285714286,151579.45714285717,152316.28571428574,153053.1142857143,153789.9428571429,144928.08353118857,145351.45804369118,145847.7648562143,146381.8242052343,146940.0095055304,147515.33221460154,148103.64081764343,148702.23037309665,149309.22202213717,149923.2477790916,150543.27492527585,151168.50114100004,146441.57361166857,147491.85624202312,148469.20657235716,149408.8043661943,150324.27620875533,151222.61064254135,152107.9591823566,152983.02676976053,153849.69226357716,154709.3236494799,155562.95364615278,156411.38457328573
57006," ARIMA(0,1,0)(0,0,0)[12] intercept",29960.321495063286,1431.5042290623055,657.542857142857,181072.5428571429,181898.54285714286,182734.54285714286,183367.54285714286,183782.54285714286,184237.54285714286,184758.54285714286,185569.54285714286,186427.54285714286,187208.54285714286,187991.54285714286,188913.54285714286,189801.54285714286,190675.54285714286,191357.54285714286,192038.54285714286,192715.54285714286,193409.54285714286,194155.54285714286,194876.54285714286,195516.54285714286,196022.54285714286,196683.54285714286,197146.54285714286,197413.54285714286,197501.54285714286,197973.54285714286,198772.54285714286,199888.54285714286,200784.54285714286,201562.54285714286,202064.54285714286,202666.54285714286,203444.54285714286,203707.54285714286,-1346.9307498254454,180652.47664767303,181478.476647673,182314.476647673,182947.476647673,183362.476647673,183817.476647673,184338.476647673,185149.476647673,186007.476647673,186788.476647673,187571.476647673,188493.476647673,189381.476647673,190255.476647673,190937.476647673,191618.476647673,192295.476647673,192989.476647673,193735.476647673,194456.476647673,195096.476647673,195602.476647673,196263.476647673,196726.476647673,196993.476647673,197081.476647673,197553.476647673,198352.476647673,199468.476647673,200364.476647673,201142.476647673,201644.476647673,202246.476647673,203024.476647673,203287.476647673,2662.0164641111596,181492.60906661276,182318.60906661273,183154.60906661273,183787.60906661273,184202.60906661273,184657.60906661273,185178.60906661273,185989.60906661273,186847.60906661273,187628.60906661273,188411.60906661273,189333.60906661273,190221.60906661273,191095.60906661273,191777.60906661273,192458.60906661273,193135.60906661273,193829.60906661273,194575.60906661273,195296.60906661273,195936.60906661273,196442.60906661273,197103.60906661273,197566.60906661273,197833.60906661273,197921.60906661273,198393.60906661273,199192.60906661273,200308.60906661273,201204.60906661273,201982.60906661273,202484.60906661273,203086.60906661273,203864.60906661273,204127.60906661273,204086.54285714286,204744.08571428573,205401.6285714286,206059.17142857146,206716.71428571432,207374.25714285718,208031.80000000005,208689.3428571429,209346.88571428577,210004.42857142864,210661.9714285715,211319.51428571437,203666.476647673,204150.02238375877,204674.0525540839,205219.0390096317,205777.417686289,206345.3092714709,206920.4092755612,207501.216196089,208086.68708587615,208676.06258143042,209268.7694246531,209864.36225102496,204506.60906661273,205338.1490448127,206129.20458877328,206899.3038475112,207656.01088513964,208403.20501424346,209143.1907244389,209877.46951819683,210607.0843426954,211332.79456142685,212055.17343248992,212774.66632040378
57012," ARIMA(0,1,0)(0,0,0)[12] intercept",18241.36737141094,3481.8131880574797,734.5142857142855,110884.51428571431,111170.51428571428,111620.51428571428,112236.51428571428,112624.51428571431,113255.51428571428,113733.51428571428,114409.51428571428,114937.51428571428,115910.51428571428,116735.51428571428,117907.51428571428,119442.51428571428,120914.51428571428,122535.51428571428,123588.51428571428,125370.51428571428,126325.51428571428,127429.51428571428,127795.51428571428,128446.51428571428,128539.51428571428,129284.51428571428,130326.51428571428,130798.51428571431,131053.51428571428,131298.51428571428,131862.51428571428,131463.51428571428,131924.51428571428,132884.51428571428,134048.51428571428,134531.51428571428,135189.51428571428,136144.51428571428,-1416.6272119117348,109997.97555440327,110283.97555440324,110733.97555440324,111349.97555440324,111737.97555440327,112368.97555440324,112846.97555440324,113522.97555440324,114050.97555440324,115023.97555440324,115848.97555440324,117020.97555440324,118555.97555440324,120027.97555440324,121648.97555440324,122701.97555440324,124483.97555440324,125438.97555440324,126542.97555440324,126908.97555440324,127559.97555440324,127652.97555440324,128397.97555440324,129439.97555440324,129911.97555440327,130166.97555440324,130411.97555440324,130975.97555440324,130576.97555440324,131037.97555440324,131997.97555440324,133161.97555440324,133644.97555440324,134302.97555440324,135257.97555440324,2885.655783340306,111771.05301702535,112057.05301702532,112507.05301702532,113123.05301702532,113511.05301702535,114142.05301702532,114620.05301702532,115296.05301702532,115824.05301702532,116797.05301702532,117622.05301702532,118794.05301702532,120329.05301702532,121801.05301702532,123422.05301702532,124475.05301702532,126257.05301702532,127212.05301702532,128316.05301702532,128682.05301702532,129333.05301702532,129426.05301702532,130171.05301702532,131213.05301702532,131685.05301702535,131940.05301702532,132185.05301702532,132749.05301702532,132350.05301702532,132811.05301702532,133771.05301702532,134935.05301702532,135418.05301702532,136076.05301702532,137031.05301702532,136592.51428571428,137327.02857142856,138061.54285714283,138796.0571428571,139530.5714285714,140265.08571428567,140999.59999999995,141734.11428571423,142468.6285714285,143203.14285714278,143937.65714285706,144672.17142857134,135705.97555440324,136073.27347403945,136526.01273163446,137022.97968023503,137548.21056067347,138093.51818535925,138654.0389893242,139226.604090936,139809.01237749538,140399.66123224385,140997.34080898063,141601.1111775546,137479.05301702532,138580.78366881766,139597.0729826512,140569.1346054792,141512.9322964693,142436.6532432121,143345.16101067569,144241.62448049246,145128.24476536163,146006.62448204172,146877.9734767335,147743.2316795881
57003," ARIMA(0,1,0)(0,0,0)[12] intercept",28994.430194823137,1431.453609585173,1079.4571428571426,176093.45714285714,176545.45714285714,178397.45714285714,180883.45714285714,183035.45714285714,183650.45714285714,183758.45714285714,183868.45714285714,184324.45714285714,184998.45714285714,185958.45714285714,187163.45714285714,189096.45714285714,191129.45714285714,192537.45714285714,192925.45714285714,193274.45714285714,194295.45714285714,195578.45714285714,197229.45714285714,198572.45714285714,200110.45714285714,201441.45714285714,202401.45714285714,203160.45714285714,203661.45714285714,204325.45714285714,204996.45714285714,205904.45714285714,207036.45714285714,208200.45714285714,209249.45714285714,210463.45714285714,211595.45714285714,212816.45714285714,-1171.0576641093553,174987.40195631294,175439.40195631294,177291.40195631294,179777.40195631294,181929.40195631294,182544.40195631294,182652.40195631294,182762.40195631294,183218.40195631294,183892.40195631294,184852.40195631294,186057.40195631294,187990.40195631294,190023.40195631294,191431.40195631294,191819.40195631294,192168.40195631294,193189.40195631294,194472.40195631294,196123.40195631294,197466.40195631294,199004.40195631294,200335.40195631294,201295.40195631294,202054.40195631294,202555.40195631294,203219.40195631294,203890.40195631294,204798.40195631294,205930.40195631294,207094.40195631294,208143.40195631294,209357.40195631294,210489.40195631294,211710.40195631294,3329.9719498236404,177199.51232940133,177651.51232940133,179503.51232940133,181989.51232940133,184141.51232940133,184756.51232940133,184864.51232940133,184974.51232940133,185430.51232940133,186104.51232940133,187064.51232940133,188269.51232940133,190202.51232940133,192235.51232940133,193643.51232940133,194031.51232940133,194380.51232940133,195401.51232940133,196684.51232940133,198335.51232940133,199678.51232940133,201216.51232940133,202547.51232940133,203507.51232940133,204266.51232940133,204767.51232940133,205431.51232940133,206102.51232940133,207010.51232940133,208142.51232940133,209306.51232940133,210355.51232940133,211569.51232940133,212701.51232940133,213922.51232940133,213874.45714285714,214953.91428571427,216033.3714285714,217112.82857142854,218192.28571428568,219271.74285714282,220351.19999999995,221430.6571428571,222510.11428571423,223589.57142857136,224669.0285714285,225748.48571428563,212768.40195631294,213389.71604017037,214117.62764950178,214900.71819834015,215719.07113030663,216562.47202275065,217424.85304009085,218302.26065176926,219191.9487260816,220091.91782124926,221000.65852023484,221916.99815614638,214980.51232940133,216518.11253125817,217949.11520764104,219324.93894451694,220665.50029826473,221981.013691535,223277.54695990906,224559.05363394492,225828.27984534684,227087.22503589347,228337.39862262216,229579.9732724249
57018," ARIMA(0,1,0)(0,0,0)[12] intercept",25323.251719596738,4392.5227712463875,1106.3428571428572,154066.34285714285,154937.34285714285,156821.34285714285,159053.34285714285,161329.34285714285,162519.34285714285,163382.34285714285,163772.34285714285,164927.34285714285,166078.34285714285,167763.34285714285,169106.34285714285,170429.34285714285,172073.34285714285,173099.34285714285,173077.34285714285,171390.34285714285,171057.34285714285,171772.34285714285,174965.34285714285,177303.34285714285,179178.34285714285,180560.34285714285,181551.34285714285,182942.34285714285,183235.34285714285,183719.34285714285,184238.34285714285,185937.34285714285,187442.34285714285,188817.34285714285,188794.34285714285,189580.34285714285,190426.34285714285,191834.34285714285,-1482.8792069128813,152374.4173043188,153245.4173043188,155129.4173043188,157361.4173043188,159637.4173043188,160827.4173043188,161690.4173043188,162080.4173043188,163235.4173043188,164386.4173043188,166071.4173043188,167414.4173043188,168737.4173043188,170381.4173043188,171407.4173043188,171385.4173043188,169698.4173043188,169365.4173043188,170080.4173043188,173273.4173043188,175611.4173043188,177486.4173043188,178868.4173043188,179859.4173043188,181250.4173043188,181543.4173043188,182027.4173043188,182546.4173043188,184245.4173043188,185750.4173043188,187125.4173043188,187102.4173043188,187888.4173043188,188734.4173043188,190142.4173043188,3695.5649211985956,155758.2684099669,156629.2684099669,158513.2684099669,160745.2684099669,163021.2684099669,164211.2684099669,165074.2684099669,165464.2684099669,166619.2684099669,167770.2684099669,169455.2684099669,170798.2684099669,172121.2684099669,173765.2684099669,174791.2684099669,174769.2684099669,173082.2684099669,172749.2684099669,173464.2684099669,176657.2684099669,178995.2684099669,180870.2684099669,182252.2684099669,183243.2684099669,184634.2684099669,184927.2684099669,185411.2684099669,185930.2684099669,187629.2684099669,189134.2684099669,190509.2684099669,190486.2684099669,191272.2684099669,192118.2684099669,193526.2684099669,192788.34285714285,193894.6857142857,195001.02857142856,196107.3714285714,197213.71428571426,198320.0571428571,199426.39999999997,200532.74285714282,201639.08571428567,202745.42857142852,203851.77142857137,204958.11428571423,191096.4173043188,191501.94165095635,192070.52755131325,192723.52032292332,193430.4537367308,194175.70285566186,194949.98575039208,195747.2547304841,196563.30905581356,197395.09019306503,198240.2891966394,199097.11224548364,194480.2684099669,196287.42977761506,197931.52959154386,199491.2225342195,200996.97483469773,202464.41143005237,203902.81424960785,205318.23098380154,206714.86237275778,208095.766949792,209463.25366050334,210819.1163259448
57021," ARIMA(0,1,0)(0,0,1)[12] intercept",23719.471122890922,1567.7755509351075,947.142856416472,144128.14285641647,144827.14285641647,145442.14285641647,146581.14285641647,146637.14285641647,147059.14285641647,147488.14285641647,149049.14285641647,150510.14285641647,151941.14285641647,153330.14285641647,156463.75955296526,157512.38480389558,158785.43561858058,160258.59482221236,160522.46425440087,162665.95713327345,164496.11956538304,166319.38715796164,166028.06669925328,164919.37056164077,163949.39596898324,163998.56398363668,165030.63189220984,165543.8884299131,166396.2520627616,167098.75933386158,168784.20153764603,170792.9231457672,171904.15321064967,173216.11250724678,174516.1515861493,176490.39492372415,177628.8668102032,177789.056780695,-1630.7396301641697,142453.62224026237,143152.62224026237,143767.62224026237,144906.62224026237,144962.62224026237,145384.62224026237,145813.62224026237,147374.62224026237,148835.62224026237,150266.62224026237,151655.62224026237,154789.4291705869,155838.31507365376,157111.36588833877,158584.52509197054,158848.39452415906,160991.88740303164,162822.04983514122,164645.31742771983,164353.99696901147,163245.30083139896,162275.32623874143,162324.49425339486,163356.562264445,163869.8189426156,164722.1825754641,165424.68984656408,167110.13205034853,169118.8536584697,170230.08372335217,171542.04301994928,172842.0820988518,174816.32543642665,175954.7973229057,176114.9872933975,3525.025342997114,145802.66347257057,146501.66347257057,147116.66347257057,148255.66347257057,148311.66347257057,148733.66347257057,149162.66347257057,150723.66347257057,152184.66347257057,153615.66347257057,155004.66347257057,158138.08993534363,159186.4545341374,160459.5053488224,161932.66455245417,162196.53398464268,164340.02686351526,166170.18929562485,167993.45688820345,167702.1364294951,166593.44029188258,165623.46569922505,165672.6337138785,166704.70151997468,167217.9579172106,168070.3215500591,168772.82882115908,170458.27102494353,172466.9926330647,173578.22269794717,174890.18199454428,176190.2210734468,178164.46441102165,179302.9362975007,179463.1262679925,177267.88944848333,178212.55066605422,179154.37095552083,180118.00353704815,181089.31071037613,182039.79861282333,182996.08544761475,183952.53574708686,184924.5638100925,185876.64273879,186805.47039942918,187718.7614128635,175593.81996124107,175845.0588928948,176254.7975483039,176769.86456267722,177345.9775379797,177939.1825752717,178566.91390710205,179217.55220084832,179902.35534856768,180582.77019792979,181253.21003749227,181919.61459849522,178941.9589357256,180580.04243921363,182053.94436273776,183466.14251141908,184832.64388277257,186140.41465037497,187425.25698812745,188687.5192933254,189946.77227161734,191170.5152796502,192357.73076136608,193517.9082272318
57015," ARIMA(0,1,0)(0,0,1)[12] intercept",32508.39352112548,612.7069706533637,1223.8285711442181,197456.82857114417,197956.82857114423,198893.82857114423,200365.82857114423,201710.82857114423,202394.82857114423,203153.82857114423,204494.82857114423,206605.82857114423,208396.82857114423,209985.82857114423,213286.02812670323,214578.11552773416,216367.39455982696,217753.53021696577,218637.1241824674,220294.60143598376,221896.02232249855,223335.04840185327,223775.63617007172,223358.57372094196,223791.74679992883,224864.76469300932,227173.3817272473,227870.6479483978,228815.81550247147,229501.33695363114,231755.24088599414,233682.15157962916,234616.8649146628,235223.66608923886,236736.52683554307,238974.71298928198,240242.66839317145,240523.35799874313,-1178.4355853014963,196067.7950018415,196567.79500184156,197504.79500184156,198976.79500184156,200321.79500184156,201005.79500184156,201764.79500184156,203105.79500184156,205216.79500184156,207007.79500184156,208596.79500184156,211897.07790171797,213189.3312559632,214978.610288056,216364.7459451948,217248.33991069644,218905.81716421279,220507.23805072758,221946.2641300823,222386.85189830075,221969.789449171,222402.96252815786,223475.98042123835,225784.59748539823,226481.86376614455,227427.03132021823,228112.5527713779,230366.4567037409,232293.36739737593,233228.08073240955,233834.88190698563,235347.74265328984,237585.92880702874,238853.88421091822,239134.5738164899,3626.0927275899326,198845.86214044684,199345.8621404469,200282.8621404469,201754.8621404469,203099.8621404469,203783.8621404469,204542.8621404469,205883.8621404469,207994.8621404469,209785.8621404469,211374.8621404469,214674.97835168848,215966.89979950513,217756.17883159794,219142.31448873674,220025.90845423838,221683.38570775473,223284.80659426952,224723.83267362425,225164.4204418427,224747.35799271293,225180.5310716998,226253.5489647803,228562.16596909636,229259.43213065102,230204.5996847247,230890.12113588437,233144.02506824737,235070.9357618824,236005.64909691602,236612.4502714921,238125.3110177963,240363.49717153521,241631.4525754247,241912.14218099636,240280.64413599268,241499.13492699523,242712.88455297306,243956.07563945395,245193.0902082355,246411.36298289994,247623.78503534684,248853.6845613739,250097.02366488622,251321.74841748038,252527.31358553044,253723.54132077622,238891.85995375022,239535.09750127382,240307.4397886058,241178.50727500112,242087.67437070314,243009.55037360117,243949.40746444158,244925.6097099538,245930.67111821586,246930.0272232407,247921.23753831614,248912.65179206026,241669.42831823515,243463.17235271665,245118.3293173403,246733.64400390678,248298.50604576783,249813.1755921987,251298.1626062521,252781.759412794,254263.37621155658,255713.46961172007,257133.38963274474,258534.43084949217
57025," ARIMA(0,1,0)(0,0,0)[12] intercept",25667.952199687054,1236.6239473157495,767.1714285714285,155515.17142857143,156281.17142857143,157175.17142857143,158007.17142857143,158836.17142857143,159365.17142857143,160146.17142857143,160860.17142857143,162079.17142857143,163392.17142857143,164796.17142857143,165969.17142857143,166845.17142857143,167748.17142857143,168545.17142857143,169327.17142857143,170167.17142857143,171146.17142857143,172045.17142857143,173072.17142857143,172471.17142857143,171934.17142857143,171272.17142857143,171795.17142857143,172291.17142857143,172705.17142857143,173487.17142857143,174045.17142857143,174934.17142857143,175670.17142857143,176566.17142857143,177303.17142857143,178492.17142857143,179750.17142857143,181098.17142857143,-1412.3366467186988,154561.86317330415,155327.86317330415,156221.86317330415,157053.86317330415,157882.86317330415,158411.86317330415,159192.86317330415,159906.86317330415,161125.86317330415,162438.86317330415,163842.86317330415,165015.86317330415,165891.86317330415,166794.86317330415,167591.86317330415,168373.86317330415,169213.86317330415,170192.86317330415,171091.86317330415,172118.86317330415,171517.86317330415,170980.86317330415,170318.86317330415,170841.86317330415,171337.86317330415,171751.86317330415,172533.86317330415,173091.86317330415,173980.86317330415,174716.86317330415,175612.86317330415,176349.86317330415,177538.86317330415,178796.86317330415,180144.86317330415,2946.6795038615555,156468.4796838387,157234.4796838387,158128.4796838387,158960.4796838387,159789.4796838387,160318.4796838387,161099.4796838387,161813.4796838387,163032.4796838387,164345.4796838387,165749.4796838387,166922.4796838387,167798.4796838387,168701.4796838387,169498.4796838387,170280.4796838387,171120.4796838387,172099.4796838387,172998.4796838387,174025.4796838387,173424.4796838387,172887.4796838387,172225.4796838387,172748.4796838387,173244.4796838387,173658.4796838387,174440.4796838387,174998.4796838387,175887.4796838387,176623.4796838387,177519.4796838387,178256.4796838387,179445.4796838387,180703.4796838387,182051.4796838387,182366.17142857143,183133.34285714285,183900.51428571428,184667.6857142857,185434.85714285713,186202.02857142856,186969.19999999998,187736.3714285714,188503.54285714283,189270.71428571426,190037.8857142857,190805.0571428571,181412.86317330415,181785.16139342161,182249.3359523165,182761.06920375113,183303.19508056776,183866.9097784408,184446.98343377787,185040.00850112896,185643.618091341,186256.08888682845,186876.11992201576,187502.70047606155,183319.4796838387,184481.5243208641,185551.69261911206,186574.30222482028,187566.5192051465,188537.1473644163,189491.4165662221,190432.73435601385,191363.46762294468,192285.33968460007,193199.65150655562,194107.41380965267
57024," ARIMA(0,1,0)(0,0,0)[12] intercept",13509.32233471884,1018.1586156718057,346.5999999999999,81676.6,82285.6,82816.6,83318.6,83907.6,84073.6,84286.6,84876.6,85743.6,86741.6,86967.6,87161.6,87332.6,87767.6,88332.6,88734.6,89007.6,90392.6,91772.6,93251.6,93541.6,94105.6,95330.6,96399.6,96586.6,96405.6,96262.6,96671.6,96758.6,96031.6,95298.6,94438.6,94579.6,93851.6,93826.6,-1918.6727138791484,80540.81760554618,81149.81760554618,81680.81760554618,82182.81760554618,82771.81760554618,82937.81760554618,83150.81760554618,83740.81760554618,84607.81760554618,85605.81760554618,85831.81760554618,86025.81760554618,86196.81760554618,86631.81760554618,87196.81760554618,87598.81760554618,87871.81760554618,89256.81760554618,90636.81760554618,92115.81760554618,92405.81760554618,92969.81760554618,94194.81760554618,95263.81760554618,95450.81760554618,95269.81760554618,95126.81760554618,95535.81760554618,95622.81760554618,94895.81760554618,94162.81760554618,93302.81760554618,93443.81760554618,92715.81760554618,92690.81760554618,2611.8727138791483,82812.38239445383,83421.38239445383,83952.38239445383,84454.38239445383,85043.38239445383,85209.38239445383,85422.38239445383,86012.38239445383,86879.38239445383,87877.38239445383,88103.38239445383,88297.38239445383,88468.38239445383,88903.38239445383,89468.38239445383,89870.38239445383,90143.38239445383,91528.38239445383,92908.38239445383,94387.38239445383,94677.38239445383,95241.38239445383,96466.38239445383,97535.38239445383,97722.38239445383,97541.38239445383,97398.38239445383,97807.38239445383,97894.38239445383,97167.38239445383,96434.38239445383,95574.38239445383,95715.38239445383,94987.38239445383,94962.38239445383,93807.6,94154.20000000001,94500.80000000002,94847.40000000002,95194.00000000003,95540.60000000003,95887.20000000004,96233.80000000005,96580.40000000005,96927.00000000006,97273.60000000006,97620.20000000007,92671.81760554618,92547.96113385881,92533.56718646374,92575.83521109236,92654.31335835379,92758.51267475166,92882.20224078975,93021.32226771765,93173.05281663856,93335.34070720617,93506.63595410528,93685.73437292753,94943.38239445383,95760.43886614121,96468.0328135363,97118.96478890769,97733.68664164627,98322.68732524841,98892.19775921034,99446.27773228244,99987.74718336154,100518.65929279395,101040.56404589485,101554.66562707261
