zip_code,model_order,train_rmse,test_rmse,train_pred_2016-01-31,train_pred_2016-02-29,train_pred_2016-03-31,train_pred_2016-04-30,train_pred_2016-05-31,train_pred_2016-06-30,train_pred_2016-07-31,train_pred_2016-08-31,train_pred_2016-09-30,train_pred_2016-10-31,train_pred_2016-11-30,train_pred_2016-12-31,train_pred_2017-01-31,train_pred_2017-02-28,train_pred_2017-03-31,train_pred_2017-04-30,train_pred_2017-05-31,train_pred_2017-06-30,train_pred_2017-07-31,train_pred_2017-08-31,train_pred_2017-09-30,train_pred_2017-10-31,train_pred_2017-11-30,train_pred_2017-12-31,train_pred_2018-01-31,train_pred_2018-02-28,train_pred_2018-03-31,train_pred_2018-04-30,train_pred_2018-05-31,train_pred_2018-06-30,train_pred_2018-07-31,train_pred_2018-08-31,train_pred_2018-09-30,train_pred_2018-10-31,train_pred_2018-11-30,train_pred_2018-12-31,train_lci_2016-01-31,train_lci_2016-02-29,train_lci_2016-03-31,train_lci_2016-04-30,train_lci_2016-05-31,train_lci_2016-06-30,train_lci_2016-07-31,train_lci_2016-08-31,train_lci_2016-09-30,train_lci_2016-10-31,train_lci_2016-11-30,train_lci_2016-12-31,train_lci_2017-01-31,train_lci_2017-02-28,train_lci_2017-03-31,train_lci_2017-04-30,train_lci_2017-05-31,train_lci_2017-06-30,train_lci_2017-07-31,train_lci_2017-08-31,train_lci_2017-09-30,train_lci_2017-10-31,train_lci_2017-11-30,train_lci_2017-12-31,train_lci_2018-01-31,train_lci_2018-02-28,train_lci_2018-03-31,train_lci_2018-04-30,train_lci_2018-05-31,train_lci_2018-06-30,train_lci_2018-07-31,train_lci_2018-08-31,train_lci_2018-09-30,train_lci_2018-10-31,train_lci_2018-11-30,train_lci_2018-12-31,train_uci_2016-01-31,train_uci_2016-02-29,train_uci_2016-03-31,train_uci_2016-04-30,train_uci_2016-05-31,train_uci_2016-06-30,train_uci_2016-07-31,train_uci_2016-08-31,train_uci_2016-09-30,train_uci_2016-10-31,train_uci_2016-11-30,train_uci_2016-12-31,train_uci_2017-01-31,train_uci_2017-02-28,train_uci_2017-03-31,train_uci_2017-04-30,train_uci_2017-05-31,train_uci_2017-06-30,train_uci_2017-07-31,train_uci_2017-08-31,train_uci_2017-09-30,train_uci_2017-10-31,train_uci_2017-11-30,train_uci_2017-12-31,train_uci_2018-01-31,train_uci_2018-02-28,train_uci_2018-03-31,train_uci_2018-04-30,train_uci_2018-05-31,train_uci_2018-06-30,train_uci_2018-07-31,train_uci_2018-08-31,train_uci_2018-09-30,train_uci_2018-10-31,train_uci_2018-11-30,train_uci_2018-12-31,test_pred_2019-01-31,test_pred_2019-02-28,test_pred_2019-03-31,test_pred_2019-04-30,test_pred_2019-05-31,test_pred_2019-06-30,test_pred_2019-07-31,test_pred_2019-08-31,test_pred_2019-09-30,test_pred_2019-10-31,test_pred_2019-11-30,test_pred_2019-12-31,test_lci_2019-01-31,test_lci_2019-02-28,test_lci_2019-03-31,test_lci_2019-04-30,test_lci_2019-05-31,test_lci_2019-06-30,test_lci_2019-07-31,test_lci_2019-08-31,test_lci_2019-09-30,test_lci_2019-10-31,test_lci_2019-11-30,test_lci_2019-12-31,test_uci_2019-01-31,test_uci_2019-02-28,test_uci_2019-03-31,test_uci_2019-04-30,test_uci_2019-05-31,test_uci_2019-06-30,test_uci_2019-07-31,test_uci_2019-08-31,test_uci_2019-09-30,test_uci_2019-10-31,test_uci_2019-11-30,test_uci_2019-12-31
37014," ARIMA(0,1,0)(0,0,0)[12] intercept",85888.59395261692,13476.17193456146,3266.685714285714,521776.6857142857,522941.6857142857,526867.6857142857,529743.6857142857,533114.6857142857,536845.6857142857,542716.6857142857,546930.6857142857,551492.6857142857,554064.6857142857,556035.6857142857,560573.6857142857,565570.6857142857,571997.6857142857,576110.6857142857,580506.6857142857,583468.6857142857,588027.6857142857,591259.6857142857,595407.6857142857,597409.6857142857,600376.6857142857,604254.6857142857,606720.6857142857,611425.6857142857,615451.6857142857,620183.6857142857,624497.6857142857,626207.6857142857,627256.6857142857,626314.6857142857,628405.6857142857,628407.6857142857,629283.6857142857,631351.6857142857,-451.31180325847345,518617.24799219484,519782.24799219484,523708.24799219484,526584.2479921948,529955.2479921948,533686.2479921948,539557.2479921948,543771.2479921948,548333.2479921948,550905.2479921948,552876.2479921948,557414.2479921948,562411.2479921948,568838.2479921948,572951.2479921948,577347.2479921948,580309.2479921948,584868.2479921948,588100.2479921948,592248.2479921948,594250.2479921948,597217.2479921948,601095.2479921948,603561.2479921948,608266.2479921948,612292.2479921948,617024.2479921948,621338.2479921948,623048.2479921948,624097.2479921948,623155.2479921948,625246.2479921948,625248.2479921948,626124.2479921948,628192.2479921948,6984.683231829901,524936.1234363766,526101.1234363766,530027.1234363766,532903.1234363766,536274.1234363766,540005.1234363766,545876.1234363766,550090.1234363766,554652.1234363766,557224.1234363766,559195.1234363766,563733.1234363766,568730.1234363766,575157.1234363766,579270.1234363766,583666.1234363766,586628.1234363766,591187.1234363766,594419.1234363766,598567.1234363766,600569.1234363766,603536.1234363766,607414.1234363766,609880.1234363766,614585.1234363766,618611.1234363766,623343.1234363766,627657.1234363766,629367.1234363766,630416.1234363766,629474.1234363766,631565.1234363766,631567.1234363766,632443.1234363766,634511.1234363766,636110.6857142857,639377.3714285714,642644.0571428571,645910.7428571428,649177.4285714285,652444.1142857142,655710.7999999999,658977.4857142856,662244.1714285713,665510.857142857,668777.5428571427,672044.2285714285,632951.2479921948,634909.2517525174,637171.7504848461,639591.8674129611,642112.7110541563,644705.1039924904,647351.7135045511,650041.2463621775,652765.8582622987,655519.8378155959,658298.8733844722,661099.6152554064,639270.1234363766,643845.4911046254,648116.3638008682,652229.6183013245,656242.1460887007,660183.124578938,664069.8864954488,667913.7250663937,671722.4845948439,675501.8764701182,679256.2123298133,682988.8418874505
37027," ARIMA(0,1,0)(0,0,0)[12] intercept",92843.17482805648,6172.406871588452,2326.2857142857138,561680.2857142858,565026.2857142857,567238.2857142857,569115.2857142857,571666.2857142857,575621.2857142857,580545.2857142857,584585.2857142857,588164.2857142857,590909.2857142857,592270.2857142857,593420.2857142857,594445.2857142857,596624.2857142857,599924.2857142857,602633.2857142857,604763.2857142857,606148.2857142857,608176.2857142857,611159.2857142857,613409.2857142857,615000.2857142857,616991.2857142857,618992.2857142857,620582.2857142857,622085.2857142857,622837.2857142857,625805.2857142857,627175.2857142857,629509.2857142857,630297.2857142857,631812.2857142857,633245.2857142857,635946.2857142857,639712.2857142857,-443.73067171187904,559722.8557773529,563068.8557773528,565280.8557773528,567157.8557773528,569708.8557773528,573663.8557773528,578587.8557773528,582627.8557773528,586206.8557773528,588951.8557773528,590312.8557773528,591462.8557773528,592487.8557773528,594666.8557773528,597966.8557773528,600675.8557773528,602805.8557773528,604190.8557773528,606218.8557773528,609201.8557773528,611451.8557773528,613042.8557773528,615033.8557773528,617034.8557773528,618624.8557773528,620127.8557773528,620879.8557773528,623847.8557773528,625217.8557773528,627551.8557773528,628339.8557773528,629854.8557773528,631287.8557773528,633988.8557773528,637754.8557773528,5096.302100283307,563637.7156512187,566983.7156512185,569195.7156512185,571072.7156512185,573623.7156512185,577578.7156512185,582502.7156512185,586542.7156512185,590121.7156512185,592866.7156512185,594227.7156512185,595377.7156512185,596402.7156512185,598581.7156512185,601881.7156512185,604590.7156512185,606720.7156512185,608105.7156512185,610133.7156512185,613116.7156512185,615366.7156512185,616957.7156512185,618948.7156512185,620949.7156512185,622539.7156512185,624042.7156512185,624794.7156512185,627762.7156512185,629132.7156512185,631466.7156512185,632254.7156512185,633769.7156512185,635202.7156512185,637903.7156512185,641669.7156512185,643100.2857142857,645426.5714285714,647752.857142857,650079.1428571427,652405.4285714284,654731.7142857141,657057.9999999998,659384.2857142854,661710.5714285711,664036.8571428568,666363.1428571425,668689.4285714282,641142.8557773528,642658.3474643658,644362.489039833,646164.282983277,648028.4821712534,649937.0097329803,651879.1271780425,653847.8377858743,655838.2816177725,657846.9201819492,659871.0822029271,661908.69236538,645057.7156512185,648194.795392777,651143.2252458811,653994.0027310085,656782.3749716034,659526.4188384479,662236.872821957,664920.7336426966,667582.8612393697,670226.7941037645,672855.2035113579,675470.1647774763
37016," ARIMA(0,1,0)(0,0,0)[12] intercept",24480.63140582831,951.0969109473567,876.4571428571427,148590.45714285714,149916.45714285714,151171.45714285714,152557.45714285714,153638.45714285714,154607.45714285714,155940.45714285714,156851.45714285714,157419.45714285714,157744.45714285714,158224.45714285714,159200.45714285714,159698.45714285714,160841.45714285714,161461.45714285714,161841.45714285714,161475.45714285714,161838.45714285714,161925.45714285714,163362.45714285714,163608.45714285714,164137.45714285714,164122.45714285714,165288.45714285714,166506.45714285714,166812.45714285714,167569.45714285714,169028.45714285714,171316.45714285714,173076.45714285714,174836.45714285714,175660.45714285714,177527.45714285714,178222.45714285714,179710.45714285714,-1432.7220251904741,147369.45361728853,148695.45361728853,149950.45361728853,151336.45361728853,152417.45361728853,153386.45361728853,154719.45361728853,155630.45361728853,156198.45361728853,156523.45361728853,157003.45361728853,157979.45361728853,158477.45361728853,159620.45361728853,160240.45361728853,160620.45361728853,160254.45361728853,160617.45361728853,160704.45361728853,162141.45361728853,162387.45361728853,162916.45361728853,162901.45361728853,164067.45361728853,165285.45361728853,165591.45361728853,166348.45361728853,167807.45361728853,170095.45361728853,171855.45361728853,173615.45361728853,174439.45361728853,176306.45361728853,177001.45361728853,178489.45361728853,3185.6363109047593,149811.46066842575,151137.46066842575,152392.46066842575,153778.46066842575,154859.46066842575,155828.46066842575,157161.46066842575,158072.46066842575,158640.46066842575,158965.46066842575,159445.46066842575,160421.46066842575,160919.46066842575,162062.46066842575,162682.46066842575,163062.46066842575,162696.46066842575,163059.46066842575,163146.46066842575,164583.46066842575,164829.46066842575,165358.46066842575,165343.46066842575,166509.46066842575,167727.46066842575,168033.46066842575,168790.46066842575,170249.46066842575,172537.46066842575,174297.46066842575,176057.46066842575,176881.46066842575,178748.46066842575,179443.46066842575,180931.46066842575,179266.45714285714,180142.91428571427,181019.3714285714,181895.82857142854,182772.28571428568,183648.74285714282,184525.19999999995,185401.6571428571,186278.11428571423,187154.57142857136,188031.0285714285,188907.48571428563,178045.45361728853,178416.1545401498,178904.53128606587,179453.82152029133,180042.0388303474,180657.90724536043,181294.72832141235,181948.13765172812,182615.10370900843,183293.41925667893,183981.41800941632,184677.80542927454,180487.46066842575,181869.67403127876,183134.21157107694,184337.83562256576,185502.53259822397,186639.5784689252,187755.67167858756,188855.17663398606,189941.12486242002,191015.7236004638,192080.63913344068,193137.16599929673
37022," ARIMA(0,1,0)(0,0,0)[12] intercept",21089.168456088948,5546.7257128879855,1330.7428571428572,129140.74285714288,130956.74285714286,132281.74285714285,133394.74285714285,134797.74285714285,136409.74285714285,137980.74285714285,139471.74285714285,140921.74285714285,142315.74285714285,143718.74285714285,145151.74285714285,145715.74285714285,145957.74285714285,146559.74285714285,147672.74285714285,148376.74285714285,149121.74285714285,150227.74285714285,152685.74285714285,155347.74285714285,157962.74285714285,160281.74285714285,161814.74285714285,163725.74285714285,165608.74285714285,167708.74285714285,169219.74285714285,170170.74285714285,170946.74285714285,171678.74285714285,172074.74285714285,172142.74285714285,173062.74285714285,174215.74285714285,-990.8355683836421,127896.44885443452,129712.44885443451,131037.4488544345,132150.4488544345,133553.4488544345,135165.4488544345,136736.4488544345,138227.4488544345,139677.4488544345,141071.4488544345,142474.4488544345,143907.4488544345,144471.4488544345,144713.4488544345,145315.4488544345,146428.4488544345,147132.4488544345,147877.4488544345,148983.4488544345,151441.4488544345,154103.4488544345,156718.4488544345,159037.4488544345,160570.4488544345,162481.4488544345,164364.4488544345,166464.4488544345,167975.4488544345,168926.4488544345,169702.4488544345,170434.4488544345,170830.4488544345,170898.4488544345,171818.4488544345,172971.4488544345,3652.3212826693566,130385.03685985123,132201.0368598512,133526.03685985118,134639.03685985118,136042.03685985118,137654.03685985118,139225.03685985118,140716.03685985118,142166.03685985118,143560.03685985118,144963.03685985118,146396.03685985118,146960.03685985118,147202.03685985118,147804.03685985118,148917.03685985118,149621.03685985118,150366.03685985118,151472.03685985118,153930.03685985118,156592.03685985118,159207.03685985118,161526.03685985118,163059.03685985118,164970.03685985118,166853.03685985118,168953.03685985118,170464.03685985118,171415.03685985118,172191.03685985118,172923.03685985118,173319.03685985118,173387.03685985118,174307.03685985118,175460.03685985118,175716.74285714285,177047.4857142857,178378.22857142854,179708.97142857139,181039.71428571423,182370.45714285708,183701.19999999992,185031.94285714277,186362.68571428562,187693.42857142846,189024.1714285713,190354.91428571416,174472.4488544345,175287.78826007605,176223.04813918442,177220.38342315468,178257.38831166306,179322.57174621633,180409.1075109845,181512.54794872346,182629.80370616057,183758.62544398234,184897.31509269823,186044.55342122592,176961.03685985118,178807.18316849534,180533.40900367266,182197.5594339881,183822.0402597654,185418.34253949783,186993.29248901535,188551.3377655621,190095.56772241066,191628.2316988746,193151.02776444438,194665.2751502024
37013," ARIMA(0,1,0)(0,0,0)[12] intercept",28140.567428931576,5381.025261569339,1804.0285714285712,172430.02857142856,174288.0285714286,176630.0285714286,178337.0285714286,179540.0285714286,180523.0285714286,181961.0285714286,183511.0285714286,185086.0285714286,187093.0285714286,188591.0285714286,190841.0285714286,192763.0285714286,194656.0285714286,196567.0285714286,198993.0285714286,201765.0285714286,204338.0285714286,206396.0285714286,208509.0285714286,210668.0285714286,212636.0285714286,215043.0285714286,217260.0285714286,219146.0285714286,220951.0285714286,222471.0285714286,224196.0285714286,225229.0285714286,226516.0285714286,228219.0285714286,230249.0285714286,232172.0285714286,233607.0285714286,234617.0285714286,-349.0594665623737,171538.77704764553,173396.77704764556,175738.77704764556,177445.77704764556,178648.77704764556,179631.77704764556,181069.77704764556,182619.77704764556,184194.77704764556,186201.77704764556,187699.77704764556,189949.77704764556,191871.77704764556,193764.77704764556,195675.77704764556,198101.77704764556,200873.77704764556,203446.77704764556,205504.77704764556,207617.77704764556,209776.77704764556,211744.77704764556,214151.77704764556,216368.77704764556,218254.77704764556,220059.77704764556,221579.77704764556,223304.77704764556,224337.77704764556,225624.77704764556,227327.77704764556,229357.77704764556,231280.77704764556,232715.77704764556,233725.77704764556,3957.116609419516,173321.28009521158,175179.2800952116,177521.2800952116,179228.2800952116,180431.2800952116,181414.2800952116,182852.2800952116,184402.2800952116,185977.2800952116,187984.2800952116,189482.2800952116,191732.2800952116,193654.2800952116,195547.2800952116,197458.2800952116,199884.2800952116,202656.2800952116,205229.2800952116,207287.2800952116,209400.2800952116,211559.2800952116,213527.2800952116,215934.2800952116,218151.2800952116,220037.2800952116,221842.2800952116,223362.2800952116,225087.2800952116,226120.2800952116,227407.2800952116,229110.2800952116,231140.2800952116,233063.2800952116,234498.2800952116,235508.2800952116,235571.0285714286,237375.05714285717,239179.08571428576,240983.11428571434,242787.14285714293,244591.1714285715,246395.2000000001,248199.22857142868,250003.25714285727,251807.28571428586,253611.31428571444,255415.34285714303,234679.77704764556,236114.6371504375,237635.39279277038,239200.6112381483,240794.2438649138,242408.0599628251,244037.17011246283,245678.3885865894,247329.50257150817,248988.90093103575,250655.36738749364,252327.95701411224,236462.2800952116,238635.47713527683,240722.77863580114,242765.6173332804,244780.04184937206,246774.28289431793,248753.22988753737,250720.06855626797,252677.01171420637,254625.67049753596,256567.26118393525,258502.72870017382
37015," ARIMA(0,1,0)(0,0,0)[12] intercept",23766.51946345107,1312.2050219870016,1206.5428571428567,144866.54285714286,146090.54285714286,147327.54285714286,147215.54285714286,147907.54285714286,148526.54285714286,150490.54285714286,151627.54285714286,153283.54285714286,154812.54285714286,156728.54285714286,159184.54285714286,161365.54285714286,164130.54285714286,166081.54285714286,168215.54285714286,168983.54285714286,170139.54285714286,171380.54285714286,174469.54285714286,177997.54285714286,180057.54285714286,181157.54285714286,181409.54285714286,181463.54285714286,180212.54285714286,178905.54285714286,179496.54285714286,181062.54285714286,183127.54285714286,184187.54285714286,184693.54285714286,183911.54285714286,184345.54285714286,185173.54285714286,-1691.490682580866,142731.7970697786,143955.7970697786,145192.7970697786,145080.7970697786,145772.7970697786,146391.7970697786,148355.7970697786,149492.7970697786,151148.7970697786,152677.7970697786,154593.7970697786,157049.7970697786,159230.7970697786,161995.7970697786,163946.7970697786,166080.7970697786,166848.7970697786,168004.7970697786,169245.7970697786,172334.7970697786,175862.7970697786,177922.7970697786,179022.7970697786,179274.7970697786,179328.7970697786,178077.7970697786,176770.7970697786,177361.7970697786,178927.7970697786,180992.7970697786,182052.7970697786,182558.7970697786,181776.7970697786,182210.7970697786,183038.7970697786,4104.57639686658,147001.28864450712,148225.28864450712,149462.28864450712,149350.28864450712,150042.28864450712,150661.28864450712,152625.28864450712,153762.28864450712,155418.28864450712,156947.28864450712,158863.28864450712,161319.28864450712,163500.28864450712,166265.28864450712,168216.28864450712,170350.28864450712,171118.28864450712,172274.28864450712,173515.28864450712,176604.28864450712,180132.28864450712,182192.28864450712,183292.28864450712,183544.28864450712,183598.28864450712,182347.28864450712,181040.28864450712,181631.28864450712,183197.28864450712,185262.28864450712,186322.28864450712,186828.28864450712,186046.28864450712,186480.28864450712,187308.28864450712,187095.54285714286,188302.08571428573,189508.6285714286,190715.17142857146,191921.71428571432,193128.25714285718,194334.80000000005,195541.3428571429,196747.88571428577,197954.42857142864,199160.9714285715,200367.51428571437,184960.7970697786,185283.09926957634,185811.14040647005,186445.6798538429,187148.2775904865,187899.2192332588,188686.7935342914,189503.36996772417,190343.64835219298,191203.76965790807,192080.82062909243,192972.53795579728,189230.28864450712,191321.0721589951,193206.11673638714,194984.6630033,196695.15098094213,198357.29505245556,199982.80646570868,201579.31574656165,203152.12307637857,204705.0874849492,206241.12222805058,207762.49061563145
37012," ARIMA(0,2,0)(0,0,0)[12]          ",20243.278090758107,1957.0691735347527,0.0,163717.93441211124,109600.00000000001,110106.00000000001,110101.0,110820.0,110774.0,111080.0,111069.0,111286.0,111872.0,112209.0,113031.0,114209.0,115199.0,116222.0,116662.0,116966.0,117497.0,118196.0,119547.0,120723.0,121179.0,121478.0,121641.0,122467.0,123122.0,123979.0,124764.0,126078.0,127160.0,128378.0,128971.0,130309.0,131333.0,132626.0,-2799.251515579766,162264.9726548486,109208.98669320936,109714.98669320936,109709.98669320934,110428.98669320934,110382.98669320934,110688.98669320934,110677.98669320934,110894.98669320934,111480.98669320934,111817.98669320934,112639.98669320934,113817.98669320934,114807.98669320934,115830.98669320934,116270.98669320934,116574.98669320934,117105.98669320934,117804.98669320934,119155.98669320934,120331.98669320934,120787.98669320934,121086.98669320934,121249.98669320934,122075.98669320934,122730.98669320934,123587.98669320934,124372.98669320934,125686.98669320934,126768.98669320934,127986.98669320934,128579.98669320934,129917.98669320934,130941.98669320934,132234.98669320933,2799.251515579766,165170.89616937388,109991.01330679067,110497.01330679067,110492.01330679066,111211.01330679066,111165.01330679066,111471.01330679066,111460.01330679066,111677.01330679066,112263.01330679066,112600.01330679066,113422.01330679066,114600.01330679066,115590.01330679066,116613.01330679066,117053.01330679066,117357.01330679066,117888.01330679066,118587.01330679066,119938.01330679066,121114.01330679066,121570.01330679066,121869.01330679066,122032.01330679066,122858.01330679066,123513.01330679066,124370.01330679066,125155.01330679066,126469.01330679066,127551.01330679066,128769.01330679066,129362.01330679066,130700.01330679066,131724.01330679067,133017.01330679067,132940.0,133686.0,134432.0,135178.0,135924.0,136670.0,137416.0,138162.0,138908.0,139654.0,140400.0,141146.0,132548.98669320933,132811.6676659091,132968.96217231982,133036.33191586068,133024.16770574483,132939.97078376717,132789.4681615457,132577.21290989325,132306.9356362099,131981.76490560695,131604.37316160992,131177.0775929999,133331.01330679067,134560.3323340909,135895.03782768018,137319.66808413932,138823.83229425517,140400.02921623283,142042.5318384543,143746.78709010675,145509.0643637901,147326.23509439305,149195.62683839008,151114.9224070001
37018," ARIMA(0,1,0)(0,0,0)[12] intercept",23570.580258965438,3204.7638933694825,893.7142857142856,142894.7142857143,144012.7142857143,143911.7142857143,143612.7142857143,142073.7142857143,142255.7142857143,142418.7142857143,143906.7142857143,144011.7142857143,144303.7142857143,144635.7142857143,144532.7142857143,143653.7142857143,142860.7142857143,144163.7142857143,146779.7142857143,151209.7142857143,154467.7142857143,157092.7142857143,158329.7142857143,159740.7142857143,161054.7142857143,162485.7142857143,164794.7142857143,167994.7142857143,171823.7142857143,174098.7142857143,173906.7142857143,171631.7142857143,169225.7142857143,168477.7142857143,168106.7142857143,169107.7142857143,170698.7142857143,172562.7142857143,-2800.4045406563228,139763.41182784605,140881.41182784605,140780.41182784605,140481.41182784605,138942.41182784605,139124.41182784605,139287.41182784605,140775.41182784605,140880.41182784605,141172.41182784605,141504.41182784605,141401.41182784605,140522.41182784605,139729.41182784605,141032.41182784605,143648.41182784605,148078.41182784605,151336.41182784605,153961.41182784605,155198.41182784605,156609.41182784605,157923.41182784605,159354.41182784605,161663.41182784605,164863.41182784605,168692.41182784605,170967.41182784605,170775.41182784605,168500.41182784605,166094.41182784605,165346.41182784605,164975.41182784605,165976.41182784605,167567.41182784605,169431.41182784605,4587.833112084893,146026.01674358253,147144.01674358253,147043.01674358253,146744.01674358253,145205.01674358253,145387.01674358253,145550.01674358253,147038.01674358253,147143.01674358253,147435.01674358253,147767.01674358253,147664.01674358253,146785.01674358253,145992.01674358253,147295.01674358253,149911.01674358253,154341.01674358253,157599.01674358253,160224.01674358253,161461.01674358253,162872.01674358253,164186.01674358253,165617.01674358253,167926.01674358253,171126.01674358253,174955.01674358253,177230.01674358253,177038.01674358253,174763.01674358253,172357.01674358253,171609.01674358253,171238.01674358253,172239.01674358253,173830.01674358253,175694.01674358253,174174.7142857143,175068.42857142858,175962.14285714287,176855.85714285716,177749.57142857145,178643.28571428574,179537.00000000003,180430.71428571432,181324.4285714286,182218.1428571429,183111.8571428572,184005.57142857148,171043.41182784605,170640.09816761911,170538.56790624978,170593.25222712068,170747.76627466592,170973.19246218575,171252.35241675537,171574.0534780954,171930.52119782392,172316.09504739585,172726.50178499063,173158.42152678533,177306.01674358253,179496.75897523804,181385.71780803596,183118.46205859364,184751.37658247698,186313.37896638573,187821.6475832447,189287.37509333325,190718.3359450333,192120.19066688995,193497.21250072375,194852.72133035763
37025," ARIMA(0,2,0)(0,0,0)[12]          ",25510.01546372342,853.9284220588984,0.0,206439.03117228014,138383.99999999997,138799.0,139555.0,139554.0,139806.0,140076.0,141187.0,142025.0,142895.0,143704.0,144288.0,145383.0,146058.0,147452.0,148460.0,149485.0,150606.0,151425.0,152260.0,153394.0,154417.0,155459.0,156585.0,156967.0,158235.0,158786.0,160301.0,161550.0,162703.0,163638.0,164331.0,165185.0,166407.0,167932.0,-2801.610217447061,204980.44337862346,137976.44366142145,138391.44366142148,139147.44366142148,139146.44366142148,139398.44366142148,139668.44366142148,140779.44366142148,141617.44366142148,142487.44366142148,143296.44366142148,143880.44366142148,144975.44366142148,145650.44366142148,147044.44366142148,148052.44366142148,149077.44366142148,150198.44366142148,151017.44366142148,151852.44366142148,152986.44366142148,154009.44366142148,155051.44366142148,156177.44366142148,156559.44366142148,157827.44366142148,158378.44366142148,159893.44366142148,161142.44366142148,162295.44366142148,163230.44366142148,163923.44366142148,164777.44366142148,165999.44366142148,167524.44366142148,2801.610217447061,207897.61896593682,138791.5563385785,139206.55633857852,139962.55633857852,139961.55633857852,140213.55633857852,140483.55633857852,141594.55633857852,142432.55633857852,143302.55633857852,144111.55633857852,144695.55633857852,145790.55633857852,146465.55633857852,147859.55633857852,148867.55633857852,149892.55633857852,151013.55633857852,151832.55633857852,152667.55633857852,153801.55633857852,154824.55633857852,155866.55633857852,156992.55633857852,157374.55633857852,158642.55633857852,159193.55633857852,160708.55633857852,161957.55633857852,163110.55633857852,164045.55633857852,164738.55633857852,165592.55633857852,166814.55633857852,168339.55633857852,167958.0,168613.0,169268.0,169923.0,170578.0,171233.0,171888.0,172543.0,173198.0,173853.0,174508.0,175163.0,167550.44366142148,167701.67632227755,167743.06381523117,167690.7219990634,167555.48129842783,167345.16031844003,167065.72836972316,166721.9311548852,166317.65711625337,165856.16718259815,165340.2468634647,164772.3113834988,168365.55633857852,169524.32367772245,170792.93618476883,172155.2780009366,173600.51870157217,175120.83968155997,176710.27163027684,178364.0688451148,180078.34288374663,181849.83281740185,183675.7531365353,185553.6886165012
37019," ARIMA(0,2,0)(0,0,0)[12]          ",21520.58380414097,2372.9024245987584,0.0,174835.69032229087,115519.99999999997,116295.00000000001,115886.0,116442.0,117220.0,117831.0,118437.0,119051.0,119952.0,120997.0,121444.0,120803.0,120949.0,121054.0,122769.0,123215.0,123784.0,125186.0,126836.0,128369.0,129129.0,129331.0,130788.0,132389.0,133884.0,134965.0,134991.0,136721.0,137388.0,138779.0,138861.0,139785.0,140541.0,142073.0,-2854.5861297352353,173255.73626870586,114837.5453636405,115612.54536364054,115203.54536364053,115759.54536364053,116537.54536364053,117148.54536364053,117754.54536364053,118368.54536364053,119269.54536364053,120314.54536364053,120761.54536364053,120120.54536364053,120266.54536364053,120371.54536364053,122086.54536364053,122532.54536364053,123101.54536364053,124503.54536364053,126153.54536364053,127686.54536364053,128446.54536364053,128648.54536364053,130105.54536364053,131706.54536364053,133201.54536364053,134282.54536364053,134308.54536364053,136038.54536364053,136705.54536364053,138096.54536364053,138178.54536364053,139102.54536364053,139858.54536364053,141390.54536364053,2854.5861297352353,176415.64437587588,116202.45463635944,116977.45463635949,116568.45463635947,117124.45463635947,117902.45463635947,118513.45463635947,119119.45463635947,119733.45463635947,120634.45463635947,121679.45463635947,122126.45463635947,121485.45463635947,121631.45463635947,121736.45463635947,123451.45463635947,123897.45463635947,124466.45463635947,125868.45463635947,127518.45463635947,129051.45463635947,129811.45463635947,130013.45463635947,131470.45463635947,133071.45463635947,134566.45463635947,135647.45463635947,135673.45463635947,137403.45463635947,138070.45463635947,139461.45463635947,139543.45463635947,140467.45463635947,141223.45463635947,142755.45463635947,141963.0,142482.0,143001.0,143520.0,144039.0,144558.0,145077.0,145596.0,146115.0,146634.0,147153.0,147672.0,141280.54536364053,140955.98504154032,140447.48856872745,139782.04201191931,138977.78095831946,138047.79769187953,137002.08784590225,135848.5981174232,134593.83971788283,133243.2730848886,131801.5625647498,130272.75246030588,142645.45463635947,144008.01495845968,145554.51143127255,147257.95798808069,149100.21904168054,151068.20230812047,153151.91215409775,155343.4018825768,157636.16028211717,160024.7269151114,162504.4374352502,165071.2475396941
