zip_code,model_order,train_rmse,test_rmse,train_pred_2016-01-31,train_pred_2016-02-29,train_pred_2016-03-31,train_pred_2016-04-30,train_pred_2016-05-31,train_pred_2016-06-30,train_pred_2016-07-31,train_pred_2016-08-31,train_pred_2016-09-30,train_pred_2016-10-31,train_pred_2016-11-30,train_pred_2016-12-31,train_pred_2017-01-31,train_pred_2017-02-28,train_pred_2017-03-31,train_pred_2017-04-30,train_pred_2017-05-31,train_pred_2017-06-30,train_pred_2017-07-31,train_pred_2017-08-31,train_pred_2017-09-30,train_pred_2017-10-31,train_pred_2017-11-30,train_pred_2017-12-31,train_pred_2018-01-31,train_pred_2018-02-28,train_pred_2018-03-31,train_pred_2018-04-30,train_pred_2018-05-31,train_pred_2018-06-30,train_pred_2018-07-31,train_pred_2018-08-31,train_pred_2018-09-30,train_pred_2018-10-31,train_pred_2018-11-30,train_pred_2018-12-31,train_lci_2016-01-31,train_lci_2016-02-29,train_lci_2016-03-31,train_lci_2016-04-30,train_lci_2016-05-31,train_lci_2016-06-30,train_lci_2016-07-31,train_lci_2016-08-31,train_lci_2016-09-30,train_lci_2016-10-31,train_lci_2016-11-30,train_lci_2016-12-31,train_lci_2017-01-31,train_lci_2017-02-28,train_lci_2017-03-31,train_lci_2017-04-30,train_lci_2017-05-31,train_lci_2017-06-30,train_lci_2017-07-31,train_lci_2017-08-31,train_lci_2017-09-30,train_lci_2017-10-31,train_lci_2017-11-30,train_lci_2017-12-31,train_lci_2018-01-31,train_lci_2018-02-28,train_lci_2018-03-31,train_lci_2018-04-30,train_lci_2018-05-31,train_lci_2018-06-30,train_lci_2018-07-31,train_lci_2018-08-31,train_lci_2018-09-30,train_lci_2018-10-31,train_lci_2018-11-30,train_lci_2018-12-31,train_uci_2016-01-31,train_uci_2016-02-29,train_uci_2016-03-31,train_uci_2016-04-30,train_uci_2016-05-31,train_uci_2016-06-30,train_uci_2016-07-31,train_uci_2016-08-31,train_uci_2016-09-30,train_uci_2016-10-31,train_uci_2016-11-30,train_uci_2016-12-31,train_uci_2017-01-31,train_uci_2017-02-28,train_uci_2017-03-31,train_uci_2017-04-30,train_uci_2017-05-31,train_uci_2017-06-30,train_uci_2017-07-31,train_uci_2017-08-31,train_uci_2017-09-30,train_uci_2017-10-31,train_uci_2017-11-30,train_uci_2017-12-31,train_uci_2018-01-31,train_uci_2018-02-28,train_uci_2018-03-31,train_uci_2018-04-30,train_uci_2018-05-31,train_uci_2018-06-30,train_uci_2018-07-31,train_uci_2018-08-31,train_uci_2018-09-30,train_uci_2018-10-31,train_uci_2018-11-30,train_uci_2018-12-31,test_pred_2019-01-31,test_pred_2019-02-28,test_pred_2019-03-31,test_pred_2019-04-30,test_pred_2019-05-31,test_pred_2019-06-30,test_pred_2019-07-31,test_pred_2019-08-31,test_pred_2019-09-30,test_pred_2019-10-31,test_pred_2019-11-30,test_pred_2019-12-31,test_lci_2019-01-31,test_lci_2019-02-28,test_lci_2019-03-31,test_lci_2019-04-30,test_lci_2019-05-31,test_lci_2019-06-30,test_lci_2019-07-31,test_lci_2019-08-31,test_lci_2019-09-30,test_lci_2019-10-31,test_lci_2019-11-30,test_lci_2019-12-31,test_uci_2019-01-31,test_uci_2019-02-28,test_uci_2019-03-31,test_uci_2019-04-30,test_uci_2019-05-31,test_uci_2019-06-30,test_uci_2019-07-31,test_uci_2019-08-31,test_uci_2019-09-30,test_uci_2019-10-31,test_uci_2019-11-30,test_uci_2019-12-31
84001," ARIMA(0,1,0)(0,0,0)[12] intercept",35132.50066192272,3076.006203938303,925.5999999999998,212577.6,213577.6,214963.6,216233.6,217421.6,218433.6,219010.6,219717.6,220608.6,222304.6,224168.6,225953.6,226982.6,227387.6,228089.6,228281.6,228808.6,229556.6,231829.6,234489.6,237667.6,238230.6,237230.6,236646.6,236976.6,238562.6,238529.6,239669.6,240821.6,241789.6,242146.6,241320.6,240828.6,241335.6,243335.6,-1723.0574916305977,210796.0479554959,211796.0479554959,213182.0479554959,214452.0479554959,215640.0479554959,216652.0479554959,217229.0479554959,217936.0479554959,218827.0479554959,220523.0479554959,222387.0479554959,224172.0479554959,225201.0479554959,225606.0479554959,226308.0479554959,226500.0479554959,227027.0479554959,227775.0479554959,230048.0479554959,232708.0479554959,235886.0479554959,236449.0479554959,235449.0479554959,234865.0479554959,235195.0479554959,236781.0479554959,236748.0479554959,237888.0479554959,239040.0479554959,240008.0479554959,240365.0479554959,239539.0479554959,239047.0479554959,239554.0479554959,241554.0479554959,3574.2574916305975,214359.15204450412,215359.15204450412,216745.15204450412,218015.15204450412,219203.15204450412,220215.15204450412,220792.15204450412,221499.15204450412,222390.15204450412,224086.15204450412,225950.15204450412,227735.15204450412,228764.15204450412,229169.15204450412,229871.15204450412,230063.15204450412,230590.15204450412,231338.15204450412,233611.15204450412,236271.15204450412,239449.15204450412,240012.15204450412,239012.15204450412,238428.15204450412,238758.15204450412,240344.15204450412,240311.15204450412,241451.15204450412,242603.15204450412,243571.15204450412,243928.15204450412,243102.15204450412,242610.15204450412,243117.15204450412,245117.15204450412,244973.6,245899.2,246824.80000000002,247750.40000000002,248676.00000000003,249601.60000000003,250527.20000000004,251452.80000000005,252378.40000000005,253304.00000000006,254229.60000000006,255155.20000000007,243192.0479554959,243379.7049365888,243739.0613425907,244187.29591099182,244692.3285230351,245237.7065407528,245813.6563425235,246413.8098731776,247033.74386648773,247670.23776923743,248320.86032388938,248983.72268518142,246755.15204450412,248418.69506341123,249910.53865740934,251313.50408900823,252659.67147696496,253965.49345924726,255240.7436574766,256491.79012682248,257723.05613351238,258937.7622307627,260138.33967611074,261326.67731481872
84007," ARIMA(0,1,0)(0,0,0)[12] intercept",38312.93812534728,2769.5585932347917,1282.7714285714283,232411.77142857143,233388.77142857143,234649.77142857143,236225.77142857143,237804.77142857143,239239.77142857143,240360.77142857143,241606.77142857143,242931.77142857143,244857.77142857143,246786.77142857143,248577.77142857143,249857.77142857143,250846.77142857143,252366.77142857143,253103.77142857143,254459.77142857143,255570.77142857143,257848.77142857143,259912.77142857143,262859.77142857143,264288.77142857143,264759.77142857143,265149.77142857143,266878.77142857143,269161.77142857143,270335.77142857143,271806.77142857143,272906.77142857143,274140.77142857143,274569.77142857143,274682.77142857143,274406.77142857143,274752.77142857143,275943.77142857143,-1046.5699874919433,231153.0527896795,232130.0527896795,233391.0527896795,234967.0527896795,236546.0527896795,237981.0527896795,239102.0527896795,240348.0527896795,241673.0527896795,243599.0527896795,245528.0527896795,247319.0527896795,248599.0527896795,249588.0527896795,251108.0527896795,251845.0527896795,253201.0527896795,254312.0527896795,256590.0527896795,258654.0527896795,261601.0527896795,263030.0527896795,263501.0527896795,263891.0527896795,265620.0527896795,267903.0527896795,269077.0527896795,270548.0527896795,271648.0527896795,272882.0527896795,273311.0527896795,273424.0527896795,273148.0527896795,273494.0527896795,274685.0527896795,3612.1128446348,233670.49006746337,234647.49006746337,235908.49006746337,237484.49006746337,239063.49006746337,240498.49006746337,241619.49006746337,242865.49006746337,244190.49006746337,246116.49006746337,248045.49006746337,249836.49006746337,251116.49006746337,252105.49006746337,253625.49006746337,254362.49006746337,255718.49006746337,256829.49006746337,259107.49006746337,261171.49006746337,264118.49006746337,265547.49006746337,266018.49006746337,266408.49006746337,268137.49006746337,270420.49006746337,271594.49006746337,273065.49006746337,274165.49006746337,275399.49006746337,275828.49006746337,275941.49006746337,275665.49006746337,276011.49006746337,277202.49006746337,277308.77142857143,278591.54285714286,279874.3142857143,281157.0857142857,282439.85714285716,283722.6285714286,285005.4,286288.17142857146,287570.9428571429,288853.7142857143,290136.48571428575,291419.2571428572,276050.0527896795,276811.4458868101,277694.1496507195,278639.64843650186,279625.2767017488,280639.4101764128,281675.14351089025,282727.9774879059,283794.7869404671,284873.2964535088,285961.78827245435,287058.9278728676,278567.49006746337,280371.63982747565,282054.4789207091,283674.5229920696,285254.43758396554,286805.8469664444,288335.6564891098,289848.365369237,291347.0987738187,292834.13211791986,294311.18315611716,295779.58641284675
84006," ARIMA(0,1,0)(0,0,0)[12] intercept",29438.036179288632,8862.979162315021,2352.2571428571428,181237.25714285715,184478.25714285715,187000.25714285715,189210.25714285715,191066.25714285715,193888.25714285715,196635.25714285715,199936.25714285715,203274.25714285715,205341.25714285715,206959.25714285715,208400.25714285715,209713.25714285715,210309.25714285715,211618.25714285715,213461.25714285715,216373.25714285715,218828.25714285715,220553.25714285715,222524.25714285715,224055.25714285715,226771.25714285715,229275.25714285715,233691.25714285715,235080.25714285715,238834.25714285715,241933.25714285715,246216.25714285715,247177.25714285715,248324.25714285715,250845.25714285715,252996.25714285715,254007.25714285715,255813.25714285715,259902.25714285715,-394.04671595922264,179313.53001453163,182554.53001453163,185076.53001453163,187286.53001453163,189142.53001453163,191964.53001453163,194711.53001453163,198012.53001453163,201350.53001453163,203417.53001453163,205035.53001453163,206476.53001453163,207789.53001453163,208385.53001453163,209694.53001453163,211537.53001453163,214449.53001453163,216904.53001453163,218629.53001453163,220600.53001453163,222131.53001453163,224847.53001453163,227351.53001453163,231767.53001453163,233156.53001453163,236910.53001453163,240009.53001453163,244292.53001453163,245253.53001453163,246400.53001453163,248921.53001453163,251072.53001453163,252083.53001453163,253889.53001453163,257978.53001453163,5098.561001673508,183160.98427118268,186401.98427118268,188923.98427118268,191133.98427118268,192989.98427118268,195811.98427118268,198558.98427118268,201859.98427118268,205197.98427118268,207264.98427118268,208882.98427118268,210323.98427118268,211636.98427118268,212232.98427118268,213541.98427118268,215384.98427118268,218296.98427118268,220751.98427118268,222476.98427118268,224447.98427118268,225978.98427118268,228694.98427118268,231198.98427118268,235614.98427118268,237003.98427118268,240757.98427118268,243856.98427118268,248139.98427118268,249100.98427118268,250247.98427118268,252768.98427118268,254919.98427118268,255930.98427118268,257736.98427118268,261825.98427118268,263566.2571428571,265918.51428571425,268270.7714285714,270623.0285714285,272975.2857142856,275327.54285714275,277679.7999999999,280032.057142857,282384.3142857141,284736.57142857125,287088.82857142837,289441.0857142855,261642.5300145316,263197.95329053124,264938.778302413,266775.57431477745,268673.7010851893,270615.39298839564,272590.0964281021,274590.93515249103,276613.1329007376,278653.2121064076,280708.54748774477,282777.09946196876,265489.9842711826,268639.07528089726,271602.76455472974,274470.48282807955,277276.87034338195,280039.69272588985,282769.5035718976,285473.17913322296,288155.49567069067,290819.9307507349,293469.10965511197,296105.07196660223
84003," ARIMA(0,2,0)(0,0,0)[12]          ",67434.60547827164,9798.753224262768,0.0,562752.5713707852,344734.9999999999,345288.00000000006,346030.0,348422.0,352478.0,355327.0,355243.0,356541.0,358272.0,361827.0,362123.0,364963.0,364656.0,369914.0,372635.0,376360.0,377408.0,379871.0,382553.0,384159.0,386367.0,389444.0,395452.0,396654.0,402030.0,402413.0,406543.0,407814.0,410102.0,413780.0,415071.0,418848.0,421631.0,426327.0,-3363.4084706121184,560269.3092824235,342829.84937634907,343382.84937634924,344124.8493763492,346516.8493763492,350572.8493763492,353421.8493763492,353337.8493763492,354635.8493763492,356366.8493763492,359921.8493763492,360217.8493763492,363057.8493763492,362750.8493763492,368008.8493763492,370729.8493763492,374454.8493763492,375502.8493763492,377965.8493763492,380647.8493763492,382253.8493763492,384461.8493763492,387538.8493763492,393546.8493763492,394748.8493763492,400124.8493763492,400507.8493763492,404637.8493763492,405908.8493763492,408196.8493763492,411874.8493763492,413165.8493763492,416942.8493763492,419725.8493763492,424421.8493763492,3363.4084706121184,565235.833459147,346640.1506236507,347193.1506236509,347935.1506236508,350327.1506236508,354383.1506236508,357232.1506236508,357148.1506236508,358446.1506236508,360177.1506236508,363732.1506236508,364028.1506236508,366868.1506236508,366561.1506236508,371819.1506236508,374540.1506236508,378265.1506236508,379313.1506236508,381776.1506236508,384458.1506236508,386064.1506236508,388272.1506236508,391349.1506236508,397357.1506236508,398559.1506236508,403935.1506236508,404318.1506236508,408448.1506236508,409719.1506236508,412007.1506236508,415685.1506236508,416976.1506236508,420753.1506236508,423536.1506236508,428232.1506236508,428287.0,431158.0,434029.0,436900.0,439771.0,442642.0,445513.0,448384.0,451255.0,454126.0,456997.0,459868.0,426381.8493763492,426897.9536981406,426900.57909609994,426465.0602798141,425642.02482719143,424468.02135495545,422970.9538233195,421173.0063512078,419092.3557343745,416744.2454125427,414141.6964449984,411295.99896835507,430192.1506236508,435418.0463018594,441157.42090390006,447334.9397201859,453899.97517280857,460815.97864504455,468055.0461766805,475594.9936487922,483417.6442656255,491507.7545874573,499852.3035550016,508440.00103164493
84005," ARIMA(0,2,0)(0,0,0)[12]          ",49760.72050077785,12288.799863425775,0.0,411305.4690090022,260066.00000000012,260065.99999999997,260453.0,262214.0,264607.0,265799.0,266173.0,268209.0,270307.0,272953.0,273210.0,275840.0,276462.0,280330.0,282603.0,285642.0,287269.0,289708.0,291647.0,292065.0,292836.0,295175.0,299881.0,301114.0,305001.0,305553.0,309172.0,310290.0,312202.0,314403.0,316242.0,320284.0,324655.0,328656.0,-3118.603641459509,409215.74942136114,258636.7445885581,258636.74458855795,259023.74458855798,260784.74458855798,263177.744588558,264369.744588558,264743.744588558,266779.744588558,268877.744588558,271523.744588558,271780.744588558,274410.744588558,275032.744588558,278900.744588558,281173.744588558,284212.744588558,285839.744588558,288278.744588558,290217.744588558,290635.744588558,291406.744588558,293745.744588558,298451.744588558,299684.744588558,303571.744588558,304123.744588558,307742.744588558,308860.744588558,310772.744588558,312973.744588558,314812.744588558,318854.744588558,323225.744588558,327226.744588558,3118.603641459509,413395.1885966433,261495.25541144214,261495.255411442,261882.25541144202,263643.255411442,266036.255411442,267228.255411442,267602.255411442,269638.255411442,271736.255411442,274382.255411442,274639.255411442,277269.255411442,277891.255411442,281759.255411442,284032.255411442,287071.255411442,288698.255411442,291137.255411442,293076.255411442,293494.255411442,294265.255411442,296604.255411442,301310.255411442,302543.255411442,306430.255411442,306982.255411442,310601.255411442,311719.255411442,313631.255411442,315832.255411442,317671.255411442,321713.255411442,326084.255411442,330085.255411442,329916.0,332467.0,335018.0,337569.0,340120.0,342671.0,345222.0,347773.0,350324.0,352875.0,355426.0,357977.0,328486.744588558,329271.08774280624,329670.2159321914,329740.64570716885,329520.3581799905,329036.77234188165,328310.82191096444,327359.1495461587,326195.3915885347,324830.98375789484,323275.6945309232,321537.9938357456,331345.255411442,335662.91225719376,340365.7840678086,345397.35429283115,350719.6418200095,356305.22765811835,362133.17808903556,368186.8504538413,374452.6084114653,380919.01624210516,387576.3054690768,394416.0061642544
84021," ARIMA(0,1,0)(0,0,0)[12] intercept",25593.25170170366,696.0882252609467,880.0571428571427,155304.05714285717,156013.05714285714,156877.05714285714,157932.05714285714,159069.05714285714,159940.05714285714,160782.05714285714,161663.05714285714,162515.05714285714,163457.05714285714,164155.05714285714,165154.05714285714,166216.05714285714,167533.05714285714,168773.05714285714,169471.05714285714,170129.05714285714,170592.05714285714,171057.05714285714,171718.05714285714,172563.05714285714,174254.05714285714,175378.05714285714,176748.05714285714,177497.05714285714,178623.05714285714,179325.05714285714,180044.05714285714,180668.05714285714,182024.05714285714,183334.05714285714,184118.05714285714,184125.05714285714,183871.05714285714,184866.05714285714,-1209.483192908728,154579.68155374718,155288.68155374716,156152.68155374716,157207.68155374716,158344.68155374716,159215.68155374716,160057.68155374716,160938.68155374716,161790.68155374716,162732.68155374716,163430.68155374716,164429.68155374716,165491.68155374716,166808.68155374716,168048.68155374716,168746.68155374716,169404.68155374716,169867.68155374716,170332.68155374716,170993.68155374716,171838.68155374716,173529.68155374716,174653.68155374716,176023.68155374716,176772.68155374716,177898.68155374716,178600.68155374716,179319.68155374716,179943.68155374716,181299.68155374716,182609.68155374716,183393.68155374716,183400.68155374716,183146.68155374716,184141.68155374716,2969.5974786230136,156028.43273196716,156737.43273196713,157601.43273196713,158656.43273196713,159793.43273196713,160664.43273196713,161506.43273196713,162387.43273196713,163239.43273196713,164181.43273196713,164879.43273196713,165878.43273196713,166940.43273196713,168257.43273196713,169497.43273196713,170195.43273196713,170853.43273196713,171316.43273196713,171781.43273196713,172442.43273196713,173287.43273196713,174978.43273196713,176102.43273196713,177472.43273196713,178221.43273196713,179347.43273196713,180049.43273196713,180768.43273196713,181392.43273196713,182748.43273196713,184058.43273196713,184842.43273196713,184849.43273196713,184595.43273196713,185590.43273196713,186106.05714285714,186986.11428571428,187866.17142857143,188746.22857142857,189626.2857142857,190506.34285714285,191386.4,192266.45714285714,193146.51428571428,194026.57142857142,194906.62857142856,195786.6857142857,185381.68155374716,185961.69250334296,186611.51610447033,187297.47739320862,188006.53265579435,188731.99228169545,189469.8823354091,190217.61357811448,190973.38751838435,191735.89468555764,192504.14653505813,193277.37506608348,186830.43273196713,188010.5360680856,189120.82675267252,190194.9797496485,191246.03877277707,192280.69343259025,193302.9176645909,194315.3007075998,195319.6410530442,196317.2481715852,197309.110607799,198295.99636248793
84002," ARIMA(0,1,0)(0,0,0)[12] intercept",38185.267426063976,4517.169333451409,1524.0285714285712,232098.0285714286,233055.0285714286,234519.0285714286,235479.0285714286,236714.0285714286,237192.0285714286,238532.0285714286,239246.0285714286,240968.0285714286,242432.0285714286,244828.0285714286,246689.0285714286,248407.0285714286,249674.0285714286,251536.0285714286,252922.0285714286,254702.0285714286,256312.0285714286,258766.0285714286,261875.0285714286,265881.02857142856,268731.02857142856,270427.02857142856,272068.02857142856,273941.02857142856,276529.02857142856,277858.02857142856,279996.02857142856,281016.02857142856,282533.02857142856,283168.02857142856,283382.02857142856,282204.02857142856,282574.02857142856,283803.02857142856,-1110.499891301066,230337.5509657095,231294.5509657095,232758.5509657095,233718.5509657095,234953.5509657095,235431.5509657095,236771.5509657095,237485.5509657095,239207.5509657095,240671.5509657095,243067.5509657095,244928.5509657095,246646.5509657095,247913.5509657095,249775.5509657095,251161.5509657095,252941.5509657095,254551.5509657095,257005.5509657095,260114.5509657095,264120.55096570944,266970.55096570944,268666.55096570944,270307.55096570944,272180.55096570944,274768.55096570944,276097.55096570944,278235.55096570944,279255.55096570944,280772.55096570944,281407.55096570944,281621.55096570944,280443.55096570944,280813.55096570944,282042.55096570944,4158.557034158209,233858.50617714768,234815.50617714768,236279.50617714768,237239.50617714768,238474.50617714768,238952.50617714768,240292.50617714768,241006.50617714768,242728.50617714768,244192.50617714768,246588.50617714768,248449.50617714768,250167.50617714768,251434.50617714768,253296.50617714768,254682.50617714768,256462.50617714768,258072.50617714768,260526.50617714768,263635.5061771477,267641.5061771477,270491.5061771477,272187.5061771477,273828.5061771477,275701.5061771477,278289.5061771477,279618.5061771477,281756.5061771477,282776.5061771477,284293.5061771477,284928.5061771477,285142.5061771477,283964.5061771477,284334.5061771477,285563.5061771477,285439.02857142856,286963.0571428571,288487.08571428567,290011.1142857142,291535.1428571428,293059.17142857134,294583.1999999999,296107.22857142845,297631.257142857,299155.28571428556,300679.3142857141,302203.3428571427,283678.55096570944,284473.36583659507,285437.84905559296,286490.15907427605,287598.5952578888,288746.8995909629,289925.4140665687,291127.8459589043,292349.8243256997,293588.16671049333,294840.4706157206,296104.8695397573,287199.5061771477,289452.74844911916,291536.3223729784,293532.0694971524,295471.6904563968,297371.44326617976,299240.9859334311,301086.6111839526,302912.6899600143,304722.4047180778,306518.15795570763,308301.81617452804
84013," ARIMA(0,1,0)(0,0,0)[12] intercept",36804.483797583045,7171.5011519047375,2061.5142857142855,224873.51428571428,227442.51428571428,228632.51428571428,229337.51428571428,230381.51428571428,231718.51428571428,233882.51428571428,235793.51428571428,238218.51428571428,240299.51428571428,242409.51428571428,243553.51428571428,245136.51428571428,245900.51428571428,248310.51428571428,250970.51428571428,253539.51428571428,255966.51428571428,257945.51428571428,258891.51428571428,258617.51428571428,258829.51428571428,260693.51428571428,263930.5142857143,266332.5142857143,269387.5142857143,272134.5142857143,275033.5142857143,277351.5142857143,278337.5142857143,280173.5142857143,282617.5142857143,286787.5142857143,290683.5142857143,293947.5142857143,-685.3147437376392,222949.03750062548,225518.03750062548,226708.03750062548,227413.03750062548,228457.03750062548,229794.03750062548,231958.03750062548,233869.03750062548,236294.03750062548,238375.03750062548,240485.03750062548,241629.03750062548,243212.03750062548,243976.03750062548,246386.03750062548,249046.03750062548,251615.03750062548,254042.03750062548,256021.03750062548,256967.03750062548,256693.03750062548,256905.03750062548,258769.03750062548,262006.0375006255,264408.03750062553,267463.03750062553,270210.03750062553,273109.03750062553,275427.03750062553,276413.03750062553,278249.03750062553,280693.03750062553,284863.03750062553,288759.03750062553,292023.03750062553,4808.34331516621,226797.99107080308,229366.99107080308,230556.99107080308,231261.99107080308,232305.99107080308,233642.99107080308,235806.99107080308,237717.99107080308,240142.99107080308,242223.99107080308,244333.99107080308,245477.99107080308,247060.99107080308,247824.99107080308,250234.99107080308,252894.99107080308,255463.99107080308,257890.99107080308,259869.99107080308,260815.99107080308,260541.99107080308,260753.99107080308,262617.9910708031,265854.9910708031,268256.9910708031,271311.9910708031,274058.9910708031,276957.9910708031,279275.9910708031,280261.9910708031,282097.9910708031,284541.9910708031,288711.9910708031,292607.9910708031,295871.9910708031,297026.5142857143,299088.0285714286,301149.5428571429,303211.05714285723,305272.57142857154,307334.08571428584,309395.60000000015,311457.11428571446,313518.62857142877,315580.1428571431,317641.6571428574,319703.1714285717,295102.03750062553,296366.40740148386,297816.2512873823,299362.1035726796,300969.31051599275,302620.0995689865,304303.9130227381,306013.871945825,307745.1982161624,309494.41291214415,311258.88972896844,313036.5882890505,298950.9910708031,301809.6497413734,304482.8344269035,307060.01071303483,309575.8323411503,312048.0718595852,314487.2869772622,316900.3566256039,319292.05892669514,321665.872802142,324024.4245567463,326369.7545680929
84004," ARIMA(0,1,1)(0,0,0)[12] intercept",99624.59033163365,6781.105016152595,3494.21922401895,608369.9142600663,611723.1318522019,617048.3395442665,619353.0458712924,622433.0246612489,627461.0476988773,630754.6722668234,631648.1627774732,631820.6021344713,634132.0982330359,636608.368951252,638147.1390812786,640189.0189916918,641456.0434174116,645916.6720345465,651436.8430736247,657842.6731489907,662146.4625127361,667161.9510344899,669384.411603814,671797.8846647324,672844.3424390547,677715.8406015064,685004.4812574754,689720.6426667621,693845.0793707672,693312.1625287064,694958.972267232,697247.9243770303,701174.5539102582,705523.813170048,710248.7100333294,716777.6223415037,724132.9958919795,731272.3298254622,-976.3635176583916,604351.9715519608,607705.212471378,613030.4201648516,615335.1264918775,618415.105281834,623443.1283194624,626736.7528874085,627630.2433980583,627802.6827550564,630114.178853621,632590.4495718371,634129.2197018637,636171.0996122769,637438.1240379967,641898.7526551316,647418.9236942098,653824.7537695759,658128.5431333212,663144.031655075,665366.4922243991,667779.9652853175,668826.4230596399,673697.9212220915,680986.5618780606,685702.7232873472,689827.1599913524,689294.2431492915,690941.0528878171,693230.0049976155,697156.6345308434,701505.8937906331,706230.7906539146,712759.7029620889,720115.0765125647,727254.4104460473,7964.8019656962915,612387.8569681719,615741.0512330257,621066.2589236813,623370.9652507072,626450.9440406638,631478.9670782922,634772.5916462382,635666.0821568881,635838.5215138862,638150.0176124508,640626.2883306668,642165.0584606935,644206.9383711066,645473.9627968265,649934.5914139614,655454.7624530395,661860.5925284056,666164.381892151,671179.8704139048,673402.3309832289,675815.8040441473,676862.2618184696,681733.7599809213,689022.4006368903,693738.562046177,697862.9987501821,697330.0819081212,698976.8916466469,701265.8437564452,705192.4732896731,709541.7325494628,714266.6294127443,720795.5417209186,728150.9152713944,735290.2492048771,735111.8823851366,738606.1016091555,742100.3208331745,745594.5400571935,749088.7592812125,752582.9785052314,756077.1977292504,759571.4169532694,763065.6361772884,766559.8554013073,770054.0746253263,773548.2938493453,731093.9630057217,732901.7823740549,735104.9766863579,737511.8164117343,740048.5157377382,742677.3444961541,745375.9283223879,748129.7060359846,750928.5718489107,753765.1724311184,756633.9593462349,759530.6237183796,739129.8017645514,744310.4208442562,749095.6649799912,753677.2637026526,758129.0028246867,762488.6125143088,766778.467136113,771013.1278705542,775202.7005056661,779354.5383714963,783474.1899044177,787565.963980311
84023," ARIMA(0,2,0)(0,0,0)[12]          ",39061.635489340675,7277.904941213051,0.0,321188.6896453665,203743.00000000003,205661.0,206872.0,207072.0,207363.0,207394.0,207496.0,206570.0,207244.0,207446.0,209071.0,208812.0,208965.0,210094.0,211317.0,213006.0,215657.0,218187.0,221607.0,219586.0,219311.0,219050.0,222765.0,225200.0,227306.0,230114.0,232455.0,234300.0,235221.0,235977.0,237338.0,239600.0,241332.0,243750.0,-3049.7056697637627,319220.794131595,202471.07742735615,204389.07742735613,205600.07742735613,205800.07742735613,206091.07742735613,206122.07742735613,206224.07742735613,205298.07742735613,205972.07742735613,206174.07742735613,207799.07742735613,207540.07742735613,207693.07742735613,208822.07742735613,210045.07742735613,211734.07742735613,214385.07742735613,216915.07742735613,220335.07742735613,218314.07742735613,218039.07742735613,217778.07742735613,221493.07742735613,223928.07742735613,226034.07742735613,228842.07742735613,231183.07742735613,233028.07742735613,233949.07742735613,234705.07742735613,236066.07742735613,238328.07742735613,240060.07742735613,242478.07742735613,3049.7056697637627,323156.585159138,205014.9225726439,206932.92257264387,208143.92257264387,208343.92257264387,208634.92257264387,208665.92257264387,208767.92257264387,207841.92257264387,208515.92257264387,208717.92257264387,210342.92257264387,210083.92257264387,210236.92257264387,211365.92257264387,212588.92257264387,214277.92257264387,216928.92257264387,219458.92257264387,222878.92257264387,220857.92257264387,220582.92257264387,220321.92257264387,224036.92257264387,226471.92257264387,228577.92257264387,231385.92257264387,233726.92257264387,235571.92257264387,236492.92257264387,237248.92257264387,238609.92257264387,240871.92257264387,242603.92257264387,245021.92257264387,245849.0,247939.0,250029.0,252119.0,254209.0,256299.0,258389.0,260479.0,262569.0,264659.0,266749.0,268839.0,244577.07742735613,245094.8946654519,245269.90151066257,245152.3931556295,244776.16974105572,244165.63196787922,243339.40916462714,242312.31196163147,241096.4756076915,239702.07697534846,238137.80922461805,236411.20991154894,247120.92257264387,250783.1053345481,254788.09848933743,259085.6068443705,263641.83025894425,268432.36803212075,273438.59083537286,278645.68803836853,284041.5243923085,289615.92302465154,295360.190775382,301266.79008845106
