zip_code,model_order,train_rmse,test_rmse,train_pred_2016-01-31,train_pred_2016-02-29,train_pred_2016-03-31,train_pred_2016-04-30,train_pred_2016-05-31,train_pred_2016-06-30,train_pred_2016-07-31,train_pred_2016-08-31,train_pred_2016-09-30,train_pred_2016-10-31,train_pred_2016-11-30,train_pred_2016-12-31,train_pred_2017-01-31,train_pred_2017-02-28,train_pred_2017-03-31,train_pred_2017-04-30,train_pred_2017-05-31,train_pred_2017-06-30,train_pred_2017-07-31,train_pred_2017-08-31,train_pred_2017-09-30,train_pred_2017-10-31,train_pred_2017-11-30,train_pred_2017-12-31,train_pred_2018-01-31,train_pred_2018-02-28,train_pred_2018-03-31,train_pred_2018-04-30,train_pred_2018-05-31,train_pred_2018-06-30,train_pred_2018-07-31,train_pred_2018-08-31,train_pred_2018-09-30,train_pred_2018-10-31,train_pred_2018-11-30,train_pred_2018-12-31,train_lci_2016-01-31,train_lci_2016-02-29,train_lci_2016-03-31,train_lci_2016-04-30,train_lci_2016-05-31,train_lci_2016-06-30,train_lci_2016-07-31,train_lci_2016-08-31,train_lci_2016-09-30,train_lci_2016-10-31,train_lci_2016-11-30,train_lci_2016-12-31,train_lci_2017-01-31,train_lci_2017-02-28,train_lci_2017-03-31,train_lci_2017-04-30,train_lci_2017-05-31,train_lci_2017-06-30,train_lci_2017-07-31,train_lci_2017-08-31,train_lci_2017-09-30,train_lci_2017-10-31,train_lci_2017-11-30,train_lci_2017-12-31,train_lci_2018-01-31,train_lci_2018-02-28,train_lci_2018-03-31,train_lci_2018-04-30,train_lci_2018-05-31,train_lci_2018-06-30,train_lci_2018-07-31,train_lci_2018-08-31,train_lci_2018-09-30,train_lci_2018-10-31,train_lci_2018-11-30,train_lci_2018-12-31,train_uci_2016-01-31,train_uci_2016-02-29,train_uci_2016-03-31,train_uci_2016-04-30,train_uci_2016-05-31,train_uci_2016-06-30,train_uci_2016-07-31,train_uci_2016-08-31,train_uci_2016-09-30,train_uci_2016-10-31,train_uci_2016-11-30,train_uci_2016-12-31,train_uci_2017-01-31,train_uci_2017-02-28,train_uci_2017-03-31,train_uci_2017-04-30,train_uci_2017-05-31,train_uci_2017-06-30,train_uci_2017-07-31,train_uci_2017-08-31,train_uci_2017-09-30,train_uci_2017-10-31,train_uci_2017-11-30,train_uci_2017-12-31,train_uci_2018-01-31,train_uci_2018-02-28,train_uci_2018-03-31,train_uci_2018-04-30,train_uci_2018-05-31,train_uci_2018-06-30,train_uci_2018-07-31,train_uci_2018-08-31,train_uci_2018-09-30,train_uci_2018-10-31,train_uci_2018-11-30,train_uci_2018-12-31,test_pred_2019-01-31,test_pred_2019-02-28,test_pred_2019-03-31,test_pred_2019-04-30,test_pred_2019-05-31,test_pred_2019-06-30,test_pred_2019-07-31,test_pred_2019-08-31,test_pred_2019-09-30,test_pred_2019-10-31,test_pred_2019-11-30,test_pred_2019-12-31,test_lci_2019-01-31,test_lci_2019-02-28,test_lci_2019-03-31,test_lci_2019-04-30,test_lci_2019-05-31,test_lci_2019-06-30,test_lci_2019-07-31,test_lci_2019-08-31,test_lci_2019-09-30,test_lci_2019-10-31,test_lci_2019-11-30,test_lci_2019-12-31,test_uci_2019-01-31,test_uci_2019-02-28,test_uci_2019-03-31,test_uci_2019-04-30,test_uci_2019-05-31,test_uci_2019-06-30,test_uci_2019-07-31,test_uci_2019-08-31,test_uci_2019-09-30,test_uci_2019-10-31,test_uci_2019-11-30,test_uci_2019-12-31
20135," ARIMA(0,2,0)(0,0,0)[12]          ",68546.6415746394,4688.705764920635,0.0,561537.3892597401,354900.9999999999,353170.0,352300.0,351878.0,352283.0,352053.0,354073.0,354154.0,354840.0,353970.0,355957.0,357525.0,359461.0,361688.0,363593.0,365198.0,365340.0,367227.0,367033.0,367853.0,367853.0,371727.0,373363.0,374169.0,373308.0,374040.0,376154.0,378538.0,380226.0,380737.0,382127.0,383673.0,386106.0,388949.0,-3016.9701190090595,559629.668487659,353709.70194426185,351978.70194426196,351108.70194426196,350686.70194426196,351091.70194426196,350861.70194426196,352881.70194426196,352962.70194426196,353648.70194426196,352778.70194426196,354765.70194426196,356333.70194426196,358269.70194426196,360496.70194426196,362401.70194426196,364006.70194426196,364148.70194426196,366035.70194426196,365841.70194426196,366661.70194426196,366661.70194426196,370535.70194426196,372171.70194426196,372977.70194426196,372116.70194426196,372848.70194426196,374962.70194426196,377346.70194426196,379034.70194426196,379545.70194426196,380935.70194426196,382481.70194426196,384914.70194426196,387757.70194426196,3016.9701190090595,563445.1100318213,356092.2980557379,354361.29805573804,353491.29805573804,353069.29805573804,353474.29805573804,353244.29805573804,355264.29805573804,355345.29805573804,356031.29805573804,355161.29805573804,357148.29805573804,358716.29805573804,360652.29805573804,362879.29805573804,364784.29805573804,366389.29805573804,366531.29805573804,368418.29805573804,368224.29805573804,369044.29805573804,369044.29805573804,372918.29805573804,374554.29805573804,375360.29805573804,374499.29805573804,375231.29805573804,377345.29805573804,379729.29805573804,381417.29805573804,381928.29805573804,383318.29805573804,384864.29805573804,387297.29805573804,390140.29805573804,392106.0,394875.0,397644.0,400413.0,403182.0,405951.0,408720.0,411489.0,414258.0,417027.0,419796.0,422565.0,390914.70194426196,392211.1765659064,393186.57082989824,393887.99182160216,394347.09716135537,394586.7408405967,394624.37131360435,394473.8603957688,394146.57410779863,393652.0442315277,392998.41288570414,392192.7398364324,393297.29805573804,397538.8234340936,402101.42917010176,406938.00817839784,412016.90283864463,417315.2591594033,422815.62868639565,428504.1396042312,434369.42589220137,440401.9557684723,446593.58711429586,452937.2601635676
20129," ARIMA(0,1,0)(0,0,0)[12] intercept",100713.27383859576,5017.518267492787,1775.7142857142856,607737.7142857142,607396.7142857143,606113.7142857143,607088.7142857143,607259.7142857143,609128.7142857143,610487.7142857143,612911.7142857143,612760.7142857143,611889.7142857143,610732.7142857143,613274.7142857143,616412.7142857143,620043.7142857143,622741.7142857143,625875.7142857143,628829.7142857143,631605.7142857143,633987.7142857143,636115.7142857143,639521.7142857143,643491.7142857143,648511.7142857143,651281.7142857143,654187.7142857143,653440.7142857143,653370.7142857143,653537.7142857143,657341.7142857143,660908.7142857143,664223.7142857143,666899.7142857143,665825.7142857143,666718.7142857143,665824.7142857143,-2252.192395871868,604218.8261921721,603877.8261921722,602594.8261921722,603569.8261921722,603740.8261921722,605609.8261921722,606968.8261921722,609392.8261921722,609241.8261921722,608370.8261921722,607213.8261921722,609755.8261921722,612893.8261921722,616524.8261921722,619222.8261921722,622356.8261921722,625310.8261921722,628086.8261921722,630468.8261921722,632596.8261921722,636002.8261921722,639972.8261921722,644992.8261921722,647762.8261921722,650668.8261921722,649921.8261921722,649851.8261921722,650018.8261921722,653822.8261921722,657389.8261921722,660704.8261921722,663380.8261921722,662306.8261921722,663199.8261921722,662305.8261921722,5803.620967300439,611256.6023792563,610915.6023792564,609632.6023792564,610607.6023792564,610778.6023792564,612647.6023792564,614006.6023792564,616430.6023792564,616279.6023792564,615408.6023792564,614251.6023792564,616793.6023792564,619931.6023792564,623562.6023792564,626260.6023792564,629394.6023792564,632348.6023792564,635124.6023792564,637506.6023792564,639634.6023792564,643040.6023792564,647010.6023792564,652030.6023792564,654800.6023792564,657706.6023792564,656959.6023792564,656889.6023792564,657056.6023792564,660860.6023792564,664427.6023792564,667742.6023792564,670418.6023792564,669344.6023792564,670237.6023792564,669343.6023792564,669887.7142857143,671663.4285714286,673439.142857143,675214.8571428573,676990.5714285716,678766.2857142859,680542.0000000002,682317.7142857146,684093.4285714289,685869.1428571432,687644.8571428575,689420.5714285718,666368.8261921722,666686.9693050683,667344.2498929789,668177.0809557731,669122.0984461969,670146.8054231527,671231.8972130216,672364.7957529937,673536.7642908026,674741.4416503025,675974.0256573294,677230.7855002437,673406.6023792564,676639.887837789,679534.035821307,682252.6333299414,684859.0444109463,687385.7660054191,689852.1027869788,692270.6328184354,694650.0928520551,696996.8440639839,699315.6886283857,701610.3573569
20117," ARIMA(0,1,0)(0,0,0)[12] intercept",111827.54418312066,3574.4575587711033,1852.0285714285712,674531.0285714287,672828.0285714286,671008.0285714286,672892.0285714286,677037.0285714286,682352.0285714286,686181.0285714286,689692.0285714286,690668.0285714286,691165.0285714286,690701.0285714286,693001.0285714286,694326.0285714286,694728.0285714286,696850.0285714286,701434.0285714286,704332.0285714286,704878.0285714286,703782.0285714286,704623.0285714286,708084.0285714286,714214.0285714286,722172.0285714286,726514.0285714286,729594.0285714286,729689.0285714286,728834.0285714286,728414.0285714286,730140.0285714286,732729.0285714286,735034.0285714286,736867.0285714286,735584.0285714286,736491.0285714286,735510.0285714286,-3068.1265704503085,670018.1062588398,668315.1062588397,666495.1062588397,668379.1062588397,672524.1062588397,677839.1062588397,681668.1062588397,685179.1062588397,686155.1062588397,686652.1062588397,686188.1062588397,688488.1062588397,689813.1062588397,690215.1062588397,692337.1062588397,696921.1062588397,699819.1062588397,700365.1062588397,699269.1062588397,700110.1062588397,703571.1062588397,709701.1062588397,717659.1062588397,722001.1062588397,725081.1062588397,725176.1062588397,724321.1062588397,723901.1062588397,725627.1062588397,728216.1062588397,730521.1062588397,732354.1062588397,731071.1062588397,731978.1062588397,730997.1062588397,6772.1837133074505,679043.9508840176,677340.9508840175,675520.9508840175,677404.9508840175,681549.9508840175,686864.9508840175,690693.9508840175,694204.9508840175,695180.9508840175,695677.9508840175,695213.9508840175,697513.9508840175,698838.9508840175,699240.9508840175,701362.9508840175,705946.9508840175,708844.9508840175,709390.9508840175,708294.9508840175,709135.9508840175,712596.9508840175,718726.9508840175,726684.9508840175,731026.9508840175,734106.9508840175,734201.9508840175,733346.9508840175,732926.9508840175,734652.9508840175,737241.9508840175,739546.9508840175,741379.9508840175,740096.9508840175,741003.9508840175,740022.9508840175,739352.0285714286,741204.0571428572,743056.0857142858,744908.1142857145,746760.1428571431,748612.1714285717,750464.2000000003,752316.2285714289,754168.2571428575,756020.2857142861,757872.3142857148,759724.3428571434,734839.1062588397,734821.8212024578,735239.4749782706,735882.2696605365,736668.9417890187,737557.8145139078,738524.1298747355,739551.7566906301,740629.4902050907,741749.1723031107,742904.6442668342,744091.1213851129,743864.9508840175,747586.2930832567,750872.6964503011,753933.9589108924,756851.3439252675,759666.5283432356,762404.2701252651,765080.7004522277,767707.0240806243,770291.3991254616,772839.9843045953,775357.5643291739
20130," ARIMA(0,1,0)(0,0,0)[12] intercept",59790.63623821649,10369.465532248712,968.9428571428571,360642.9428571429,360483.9428571428,359959.9428571428,359739.9428571428,359775.9428571428,360823.9428571428,360985.9428571428,363122.9428571428,365189.9428571428,367763.9428571428,368304.9428571428,369730.9428571428,370216.9428571428,371207.9428571428,372627.9428571428,373842.9428571428,375492.9428571428,375656.9428571428,378440.9428571428,379604.9428571428,381317.9428571428,381883.9428571428,384026.9428571428,385892.9428571428,387766.9428571428,388341.9428571428,389428.9428571428,390341.9428571428,392272.9428571428,392994.9428571428,393225.9428571428,392921.9428571428,392521.9428571428,392406.9428571428,392859.9428571428,-1656.6256967710501,358895.90209900145,358736.9020990014,358212.9020990014,357992.9020990014,358028.9020990014,359076.9020990014,359238.9020990014,361375.9020990014,363442.9020990014,366016.9020990014,366557.9020990014,367983.9020990014,368469.9020990014,369460.9020990014,370880.9020990014,372095.9020990014,373745.9020990014,373909.9020990014,376693.9020990014,377857.9020990014,379570.9020990014,380136.9020990014,382279.9020990014,384145.9020990014,386019.9020990014,386594.9020990014,387681.9020990014,388594.9020990014,390525.9020990014,391247.9020990014,391478.9020990014,391174.9020990014,390774.9020990014,390659.9020990014,391112.9020990014,3594.5114110567642,362389.9836152843,362230.98361528426,361706.98361528426,361486.98361528426,361522.98361528426,362570.98361528426,362732.98361528426,364869.98361528426,366936.98361528426,369510.98361528426,370051.98361528426,371477.98361528426,371963.98361528426,372954.98361528426,374374.98361528426,375589.98361528426,377239.98361528426,377403.98361528426,380187.98361528426,381351.98361528426,383064.98361528426,383630.98361528426,385773.98361528426,387639.98361528426,389513.98361528426,390088.98361528426,391175.98361528426,392088.98361528426,394019.98361528426,394741.98361528426,394972.98361528426,394668.98361528426,394268.98361528426,394153.98361528426,394606.98361528426,394555.9428571428,395524.88571428566,396493.8285714285,397462.7714285713,398431.71428571414,399400.657142857,400369.5999999998,401338.54285714263,402307.48571428546,403276.4285714283,404245.3714285711,405214.31428571395,392808.9020990014,393054.19698010344,393467.8652154339,393968.68991228845,394525.2123910471,395121.2987255654,395747.3646236638,396397.1653887782,397066.3634398611,397751.80061055394,398451.0927403579,399162.38757372467,396302.98361528426,397995.5744484679,399519.7919274231,400956.8529448542,402338.2161803812,403680.0155601486,404991.83537633583,406279.92032550706,407548.6079887098,408801.05653230264,410039.6501167843,411266.2409977032
20119," ARIMA(0,1,0)(0,0,0)[12] intercept",64173.303349506474,5799.291439477623,1018.5999999999997,386968.6,389255.6,390551.6,389768.6,388573.6,388729.6,391089.6,391162.6,392308.6,391590.6,391614.6,392335.6,394739.6,397043.6,399349.6,401785.6,404630.6,406656.6,408348.6,410621.6,413313.6,415062.6,416672.6,415339.6,413365.6,409813.6,408992.6,409419.6,412434.6,414524.6,416541.6,417323.6,417535.6,418824.6,419935.6,-2587.49564285192,383941.64328331215,386228.64328331215,387524.64328331215,386741.64328331215,385546.64328331215,385702.64328331215,388062.64328331215,388135.64328331215,389281.64328331215,388563.64328331215,388587.64328331215,389308.64328331215,391712.64328331215,394016.64328331215,396322.64328331215,398758.64328331215,401603.64328331215,403629.64328331215,405321.64328331215,407594.64328331215,410286.64328331215,412035.64328331215,413645.64328331215,412312.64328331215,410338.64328331215,406786.64328331215,405965.64328331215,406392.64328331215,409407.64328331215,411497.64328331215,413514.64328331215,414296.64328331215,414508.64328331215,415797.64328331215,416908.64328331215,4624.695642851919,389995.5567166878,392282.5567166878,393578.5567166878,392795.5567166878,391600.5567166878,391756.5567166878,394116.5567166878,394189.5567166878,395335.5567166878,394617.5567166878,394641.5567166878,395362.5567166878,397766.5567166878,400070.5567166878,402376.5567166878,404812.5567166878,407657.5567166878,409683.5567166878,411375.5567166878,413648.5567166878,416340.5567166878,418089.5567166878,419699.5567166878,418366.5567166878,416392.5567166878,412840.5567166878,412019.5567166878,412446.5567166878,415461.5567166878,417551.5567166878,419568.5567166878,420350.5567166878,420562.5567166878,421851.5567166878,422962.5567166878,422619.6,423638.19999999995,424656.79999999993,425675.3999999999,426693.9999999999,427712.59999999986,428731.19999999984,429749.7999999998,430768.3999999998,431786.99999999977,432805.59999999974,433824.1999999997,419592.64328331215,419357.4367585437,419413.9571743848,419621.48656662425,419925.51901653636,420298.1005706244,420722.6252982873,421188.27351708733,421687.52984993637,422214.92239652126,422766.3203141001,423338.5143487694,425646.5567166878,427918.9632414562,429899.64282561507,431729.31343337556,433462.4809834634,435127.0994293753,436739.77470171236,438311.3264829123,439849.2701500632,441359.0776034783,442844.87968589936,444309.88565123006
20115," ARIMA(0,1,1)(0,0,0)[12] intercept",69339.8367279029,2541.497059162747,1271.7919154347533,415726.5585630093,416879.13507501327,419089.2199540307,419159.3315228041,418361.11517211655,419043.43364753487,421575.59108872735,423140.4894184126,424075.58554392436,423826.9232211646,422797.7177790521,424223.0618086371,425765.7397802701,428068.1793722856,429079.7241791428,430664.26806740987,433517.9681937359,434931.19829899375,437503.1427988356,440316.4236074353,445234.7060722224,447077.3598838565,447531.9989633738,446031.0332103973,446561.1485550283,447135.6484639884,449049.5570401242,450565.0461236918,453074.84302998934,455048.8795646602,455915.35866761475,456262.21339433413,455719.23929923214,458244.66691520764,461035.6745642197,-1822.921479478658,413331.69617630047,414484.3323119577,416694.41719837644,416764.5287671507,415966.31241646316,416648.6308918815,419180.78833307396,420745.6866627592,421680.78278827097,421432.1204655112,420402.9150233987,421828.2590529837,423370.9370246167,425673.3766166322,426684.9214234894,428269.4653117565,431123.16543808253,432536.39554334036,435108.3400431822,437921.6208517819,442839.903316569,444682.5571282031,445137.1962077204,443636.2304547439,444166.3457993749,444740.845708335,446654.7542844708,448170.2433680384,450680.04027433594,452654.0768090068,453520.55591196136,453867.41063868074,453324.43654357875,455849.86415955424,458640.8718085663,4366.505310348164,418121.42094971816,419273.9378380688,421484.02270968497,421554.1342784575,420755.91792776994,421438.23640318826,423970.39384438074,425535.292174066,426470.38829957775,426221.725976818,425192.5205347055,426617.8645642905,428160.5425359235,430462.982127939,431474.5269347962,433059.07082306326,435912.7709493893,437326.00105464715,439897.945554489,442711.2263630887,447629.5088278758,449472.1626395099,449926.80171902716,448425.8359660507,448955.9513106817,449530.4512196418,451444.3597957776,452959.84887934517,455469.64578564273,457443.6823203136,458310.16142326815,458657.0161499875,458114.04205488553,460639.469670861,463430.4773198731,465093.402141011,466365.1940564458,467636.98597188055,468908.7778873153,470180.5698027501,471452.36171818484,472724.1536336196,473995.94554905436,475267.7374644891,476539.5293799239,477811.32129535865,479083.1132107934,462698.59938535764,462997.24580707337,463519.8181853534,464159.139400611,464873.30488319416,465640.7306133818,466448.56192683364,467288.4090085466,468154.4371324202,469042.3941413025,469949.06767707947,470871.9606041181,467488.2048966644,469733.1423058182,471754.1537584077,473658.41637401964,475487.834722306,477263.9928229879,478999.74534040556,480703.4820895621,482381.03779655806,484036.66461854527,485673.5749136378,487294.2658174687
20121," ARIMA(0,1,1)(0,0,0)[12] intercept",61626.642790386075,4498.437585426435,1034.0998188464737,369009.1455842609,370093.3435077146,370387.2750898699,370010.4030743268,372953.28054898855,373851.1565647076,374923.52207255206,374745.4022568846,375085.5768992241,375971.33945715084,377730.1578115449,380877.1980414372,381752.49743302265,384213.55520045117,383252.22735526046,385077.1596050813,384216.70435207227,385569.29121061735,386218.904900168,387815.6055115019,388945.6512007105,389911.1357911494,390722.4632987856,390415.3498397303,391995.85010889196,392848.8343534813,396270.0583368684,396830.25494478823,398864.00678726926,400070.4970191856,401501.1131031013,402619.8223613804,403655.082302982,404240.868584591,403929.41536270815,-1747.382630371963,367035.6329460099,368119.93925168493,368413.8708578154,368036.99884227756,370979.8763169393,371877.75233265833,372950.1178405028,372771.99802483537,373112.17266717483,373997.9352251016,375756.75357949565,378903.79380938795,379779.0932009734,382240.1509684019,381278.8231232112,383103.75537303207,382243.300120023,383595.8869785681,384245.50066811877,385842.20127945265,386972.24696866126,387937.73155910015,388749.0590667364,388441.94560768106,390022.4458768427,390875.43012143206,394296.6541048192,394856.850712739,396890.60255522,398097.0927871364,399527.7088710521,400646.41812933114,401681.67807093274,402267.4643525418,401956.0111306589,3815.5822680649103,370982.65822251193,372066.7477637443,372360.67932192446,371983.80730637605,374926.6847810378,375824.5607967568,376896.9263046013,376718.80648893386,377058.9811312733,377944.7436892001,379703.56204359414,382850.60227348644,383725.9016650719,386186.9594325004,385225.6315873097,387050.56383713055,386190.1085841215,387542.6954426666,388192.30913221725,389789.00974355114,390919.05543275975,391884.54002319864,392695.86753083486,392388.75407177955,393969.2543409412,394822.23858553055,398243.46256891766,398803.6591768375,400837.4110193185,402043.90125123487,403474.51733515057,404593.22659342963,405628.48653503123,406214.27281664027,405902.8195947574,403843.01741395827,404877.11723280477,405911.21705165127,406945.3168704978,407979.4166893443,409013.5165081908,410047.6163270373,411081.7161458838,412115.8159647303,413149.9157835768,414184.0156024233,415218.1154212698,401869.613181909,402106.9793485896,402526.9884051118,403042.45341316896,403619.1778425554,404239.52211821283,404892.971618618,405572.6598106727,406273.80934550916,406992.93754961184,407727.41273342073,408475.18873899704,405816.4216460075,407647.25511701993,409295.4456981907,410848.1803278266,412339.65553613316,413787.5108981687,415202.26103545655,416590.7724810949,417957.8225839514,419306.8940175417,420640.61847142584,421961.04210354254
20106," ARIMA(0,1,0)(0,0,0)[12] intercept",59126.49174984634,2037.215239898205,654.5142857142856,355991.51428571425,357284.5142857143,357843.5142857143,358649.5142857143,359425.5142857143,360379.5142857143,360889.5142857143,361467.5142857143,362080.5142857143,361984.5142857143,360319.5142857143,358598.5142857143,358542.5142857143,360166.5142857143,360532.5142857143,360465.5142857143,360428.5142857143,363283.5142857143,365530.5142857143,366147.5142857143,364573.5142857143,364038.5142857143,366744.5142857143,369604.5142857143,369604.5142857143,368729.5142857143,370187.5142857143,373401.5142857143,375880.5142857143,376236.5142857143,377354.5142857143,377970.5142857143,378521.5142857143,377882.5142857143,377553.5142857143,-2475.2496345535787,353551.4398245725,354844.43982457253,355403.43982457253,356209.43982457253,356985.43982457253,357939.43982457253,358449.43982457253,359027.43982457253,359640.43982457253,359544.43982457253,357879.43982457253,356158.43982457253,356102.43982457253,357726.43982457253,358092.43982457253,358025.43982457253,357988.43982457253,360843.43982457253,363090.43982457253,363707.43982457253,362133.43982457253,361598.43982457253,364304.43982457253,367164.43982457253,367164.43982457253,366289.43982457253,367747.43982457253,370961.43982457253,373440.43982457253,373796.43982457253,374914.43982457253,375530.43982457253,376081.43982457253,375442.43982457253,375113.43982457253,3784.2782059821498,358431.588746856,359724.5887468561,360283.5887468561,361089.5887468561,361865.5887468561,362819.5887468561,363329.5887468561,363907.5887468561,364520.5887468561,364424.5887468561,362759.5887468561,361038.5887468561,360982.5887468561,362606.5887468561,362972.5887468561,362905.5887468561,362868.5887468561,365723.5887468561,367970.5887468561,368587.5887468561,367013.5887468561,366478.5887468561,369184.5887468561,372044.5887468561,372044.5887468561,371169.5887468561,372627.5887468561,375841.5887468561,378320.5887468561,378676.5887468561,379794.5887468561,380410.5887468561,380961.5887468561,380322.5887468561,379993.5887468561,378899.5142857143,379554.0285714286,380208.5428571429,380863.05714285723,381517.57142857154,382172.08571428584,382826.60000000015,383481.11428571446,384135.62857142877,384790.1428571431,385444.6571428574,386099.1714285717,376459.43982457253,376103.2421752817,375982.2099161941,375982.9082205737,376061.3990632974,376195.1483500919,376370.7697953391,376579.5414934206,376815.40518800344,377073.949899527,377351.84569472144,377646.5055466741,381339.5887468561,383004.81496757554,384434.87579809176,385743.2060651408,386973.7437938457,388149.0230784798,389282.4302046612,390382.6870780083,391455.8519548541,392506.33581475914,393537.4685909933,394551.8373104693
20120," ARIMA(0,1,1)(0,0,0)[12] intercept",76877.63594762463,5466.628598210992,1026.3150846130777,460206.5320972031,461264.96870552655,461764.9905610018,461373.6033977221,464753.9297392687,465304.4460356727,466332.29850565305,465755.60175178223,465821.67025643995,466434.77113186877,468409.09191680944,472031.3210911864,473228.47280504956,476196.3772424123,474886.5081847166,476838.33449425036,475516.6357544403,477167.57917543495,477851.0126741823,479787.4999088009,481069.55719461676,482049.81179477164,482514.37296436593,481227.2627562991,482459.0987741135,483070.7863724615,486963.4052445296,487583.69362279103,490099.2552473426,491907.87877407693,493915.73032546893,495003.6507408921,495864.10371957655,496071.14997110586,495695.4343973779,-2150.98752385827,457705.861750618,458764.3525159746,459264.374377614,458872.987214335,462253.31355588156,462803.82985228556,463831.68232226593,463254.9855683951,463321.05407305283,463934.15494848165,465908.4757334223,469530.70490779926,470727.85662166245,473695.7610590252,472385.89200132946,474337.71831086325,473016.0195710532,474666.96299204783,475350.3964907952,477286.88372541376,478568.94101122965,479549.1956113845,480013.7567809788,478726.646572912,479958.4825907264,480570.17018907436,484462.7890611425,485083.0774394039,487598.63906395546,489407.2625906898,491415.1141420818,492503.034557505,493363.48753618944,493570.53378771874,493194.8182139908,4203.617693084425,462707.2024437882,463765.5848950785,464265.60674438963,463874.21958110924,467254.5459226558,467805.0622190598,468832.91468904016,468256.21793516935,468322.28643982706,468935.3873152559,470909.70810019656,474531.9372745735,475729.0889884367,478696.9934257994,477387.1243681037,479338.9506776375,478017.25193782744,479668.19535882206,480351.6288575694,482288.116092188,483570.1733780039,484550.42797815875,485014.98914775305,483727.8789396862,484959.71495750063,485571.4025558486,489464.0214279167,490084.30980617815,492599.8714307297,494408.49495746405,496416.34650885605,497504.2669242792,498364.71990296367,498571.766154493,498196.050580765,495830.9216538229,496857.236738436,497883.5518230491,498909.8669076622,499936.1819922753,500962.4970768884,501988.8121615015,503015.1272461146,504041.4423307277,505067.7574153408,506094.0724999539,507120.387584567,493330.30547043576,493339.64546173473,493583.10818509356,493948.5986649102,494392.3070234609,494891.67202891066,495433.2584963668,496008.29836638813,496610.6941824538,497236.0024947382,497880.86653457774,498542.67697374563,498331.53783721,500374.82801513723,502183.9954610046,503871.1351504142,505480.05696108966,507033.3221248661,508544.3658266362,510021.95612584107,511472.1904790016,512899.5123359434,514307.2784653301,515698.0981953884
20124," ARIMA(0,1,1)(0,0,0)[12] intercept",112066.68762525346,2578.307936038576,1320.7819462350542,670952.4696760734,672311.4908855868,673016.469233114,672580.1563525392,677010.1159468238,677427.657106915,678974.0645618459,677604.2617593199,677507.57126283,677685.4810987925,680586.7518050537,685889.4727849413,687506.5268241508,691084.6002139504,688749.608448386,691294.4647101968,689573.9314002737,692034.1092533519,692470.5135273283,695120.6632522814,696434.832281503,698417.7420551297,699718.9310808609,698727.3826163587,701182.1504327056,702111.759421321,707961.3105008006,708438.2053270596,712262.7243538485,714412.472141095,717398.1096338605,718293.0235086891,719086.7933823161,718696.8037557352,717673.6233876162,-2919.3425424399493,667192.6076357056,668551.6517705478,669256.6301193833,668820.3172388085,673250.2768330931,673667.8179931843,675214.2254481151,673844.4226455892,673747.7321490993,673925.6419850618,676826.912691323,682129.6336712106,683746.6877104201,687324.7611002197,684989.7693346553,687534.6255964661,685814.092286543,688274.2701396212,688710.6744135976,691360.8241385507,692674.9931677723,694657.902941399,695959.0919671302,694967.543502628,697422.311318975,698351.9203075903,704201.4713870699,704678.3662133289,708502.8852401178,710652.6330273643,713638.2705201298,714533.1843949584,715326.9542685854,714936.9646420045,713913.7842738855,5560.906434910058,674712.3317164412,676071.3300006258,676776.3083468447,676339.9954662699,680769.9550605546,681187.4962206457,682733.9036755766,681364.1008730506,681267.4103765608,681445.3202125232,684346.5909187844,689649.311898672,691266.3659378815,694844.4393276811,692509.4475621167,695054.3038239275,693333.7705140044,695793.9483670826,696230.352641059,698880.5023660121,700194.6713952337,702177.5811688604,703478.7701945916,702487.2217300894,704941.9895464364,705871.5985350517,711721.1496145313,712198.0444407903,716022.5634675792,718172.3112548257,721157.9487475912,722052.8626224198,722846.6324960468,722456.6428694659,721433.462501347,717014.8496486897,718335.6315949248,719656.41354116,720977.195487395,722297.9774336301,723618.7593798653,724939.5413261004,726260.3232723355,727581.1052185706,728901.8871648057,730222.6691110408,731543.4510572759,713255.010534959,713038.4616015619,713176.935960673,713500.0804358877,713941.4907752955,714467.0115113774,715056.3177211313,715696.1513406001,716377.2956708894,717093.0359015304,717838.3004175787,718609.1475308756,720774.6887624204,723632.8015882878,726135.8911216469,728454.3105389024,730654.4640919648,732770.5072483531,734822.7649310695,736824.4952040708,738784.9147662517,740710.7384280809,742607.0378045029,744477.7545836761
