zip_code,model_order,train_rmse,test_rmse,train_pred_2016-01-31,train_pred_2016-02-29,train_pred_2016-03-31,train_pred_2016-04-30,train_pred_2016-05-31,train_pred_2016-06-30,train_pred_2016-07-31,train_pred_2016-08-31,train_pred_2016-09-30,train_pred_2016-10-31,train_pred_2016-11-30,train_pred_2016-12-31,train_pred_2017-01-31,train_pred_2017-02-28,train_pred_2017-03-31,train_pred_2017-04-30,train_pred_2017-05-31,train_pred_2017-06-30,train_pred_2017-07-31,train_pred_2017-08-31,train_pred_2017-09-30,train_pred_2017-10-31,train_pred_2017-11-30,train_pred_2017-12-31,train_pred_2018-01-31,train_pred_2018-02-28,train_pred_2018-03-31,train_pred_2018-04-30,train_pred_2018-05-31,train_pred_2018-06-30,train_pred_2018-07-31,train_pred_2018-08-31,train_pred_2018-09-30,train_pred_2018-10-31,train_pred_2018-11-30,train_pred_2018-12-31,train_lci_2016-01-31,train_lci_2016-02-29,train_lci_2016-03-31,train_lci_2016-04-30,train_lci_2016-05-31,train_lci_2016-06-30,train_lci_2016-07-31,train_lci_2016-08-31,train_lci_2016-09-30,train_lci_2016-10-31,train_lci_2016-11-30,train_lci_2016-12-31,train_lci_2017-01-31,train_lci_2017-02-28,train_lci_2017-03-31,train_lci_2017-04-30,train_lci_2017-05-31,train_lci_2017-06-30,train_lci_2017-07-31,train_lci_2017-08-31,train_lci_2017-09-30,train_lci_2017-10-31,train_lci_2017-11-30,train_lci_2017-12-31,train_lci_2018-01-31,train_lci_2018-02-28,train_lci_2018-03-31,train_lci_2018-04-30,train_lci_2018-05-31,train_lci_2018-06-30,train_lci_2018-07-31,train_lci_2018-08-31,train_lci_2018-09-30,train_lci_2018-10-31,train_lci_2018-11-30,train_lci_2018-12-31,train_uci_2016-01-31,train_uci_2016-02-29,train_uci_2016-03-31,train_uci_2016-04-30,train_uci_2016-05-31,train_uci_2016-06-30,train_uci_2016-07-31,train_uci_2016-08-31,train_uci_2016-09-30,train_uci_2016-10-31,train_uci_2016-11-30,train_uci_2016-12-31,train_uci_2017-01-31,train_uci_2017-02-28,train_uci_2017-03-31,train_uci_2017-04-30,train_uci_2017-05-31,train_uci_2017-06-30,train_uci_2017-07-31,train_uci_2017-08-31,train_uci_2017-09-30,train_uci_2017-10-31,train_uci_2017-11-30,train_uci_2017-12-31,train_uci_2018-01-31,train_uci_2018-02-28,train_uci_2018-03-31,train_uci_2018-04-30,train_uci_2018-05-31,train_uci_2018-06-30,train_uci_2018-07-31,train_uci_2018-08-31,train_uci_2018-09-30,train_uci_2018-10-31,train_uci_2018-11-30,train_uci_2018-12-31,test_pred_2019-01-31,test_pred_2019-02-28,test_pred_2019-03-31,test_pred_2019-04-30,test_pred_2019-05-31,test_pred_2019-06-30,test_pred_2019-07-31,test_pred_2019-08-31,test_pred_2019-09-30,test_pred_2019-10-31,test_pred_2019-11-30,test_pred_2019-12-31,test_lci_2019-01-31,test_lci_2019-02-28,test_lci_2019-03-31,test_lci_2019-04-30,test_lci_2019-05-31,test_lci_2019-06-30,test_lci_2019-07-31,test_lci_2019-08-31,test_lci_2019-09-30,test_lci_2019-10-31,test_lci_2019-11-30,test_lci_2019-12-31,test_uci_2019-01-31,test_uci_2019-02-28,test_uci_2019-03-31,test_uci_2019-04-30,test_uci_2019-05-31,test_uci_2019-06-30,test_uci_2019-07-31,test_uci_2019-08-31,test_uci_2019-09-30,test_uci_2019-10-31,test_uci_2019-11-30,test_uci_2019-12-31
05046," ARIMA(0,2,0)(0,0,0)[12]          ",28072.48911515301,5631.95878447277,0.0,228151.4656442746,148502.0000000001,149482.0,148835.0,147913.0,147412.0,147218.0,147269.0,146910.0,147019.0,147615.0,148423.0,147896.0,147470.0,146727.0,147654.0,148303.0,148572.0,148967.0,148549.0,149839.0,151321.0,151493.0,151254.0,151300.0,151603.0,153145.0,152619.0,154192.0,154486.0,155892.0,156619.0,156668.0,156731.0,158444.0,-2883.1902036362776,226509.47504989084,147708.35769457783,148688.35769457775,148041.35769457775,147119.35769457775,146618.35769457775,146424.35769457775,146475.35769457775,146116.35769457775,146225.35769457775,146821.35769457775,147629.35769457775,147102.35769457775,146676.35769457775,145933.35769457775,146860.35769457775,147509.35769457775,147778.35769457775,148173.35769457775,147755.35769457775,149045.35769457775,150527.35769457775,150699.35769457775,150460.35769457775,150506.35769457775,150809.35769457775,152351.35769457775,151825.35769457775,153398.35769457775,153692.35769457775,155098.35769457775,155825.35769457775,155874.35769457775,155937.35769457775,157650.35769457775,2883.1902036362776,229793.45623865837,149295.64230542234,150275.64230542225,149628.64230542225,148706.64230542225,148205.64230542225,148011.64230542225,148062.64230542225,147703.64230542225,147812.64230542225,148408.64230542225,149216.64230542225,148689.64230542225,148263.64230542225,147520.64230542225,148447.64230542225,149096.64230542225,149365.64230542225,149760.64230542225,149342.64230542225,150632.64230542225,152114.64230542225,152286.64230542225,152047.64230542225,152093.64230542225,152396.64230542225,153938.64230542225,153412.64230542225,154985.64230542225,155279.64230542225,156685.64230542225,157412.64230542225,157461.64230542225,157524.64230542225,159237.64230542225,159774.0,160932.0,162090.0,163248.0,164406.0,165564.0,166722.0,167880.0,169038.0,170196.0,171354.0,172512.0,158980.35769457775,159157.3618552562,159120.46240546054,158901.04206729826,158520.19113523237,157993.13492954793,157331.49760375766,156544.52055592646,155639.7758246682,154623.61347936545,153501.45779638903,152278.01198919583,160567.64230542225,162706.6381447438,165059.53759453946,167594.95793270174,170291.80886476763,173134.86507045207,176112.50239624234,179215.47944407354,182436.2241753318,185768.38652063455,189206.54220361097,192745.98801080417
05035," ARIMA(0,1,0)(0,0,0)[12] intercept",30418.585027103272,2770.4375466701645,415.79999999999995,183274.8,183340.8,183679.8,184403.8,184477.8,184169.8,184063.8,183684.8,184042.8,184144.8,184439.8,184254.8,185297.8,186364.8,186695.8,185920.8,185310.8,184778.8,185030.8,185383.8,187160.8,188126.8,189135.8,188854.8,189640.8,191384.8,194604.8,196429.8,196638.8,196683.8,197375.8,198890.8,198960.8,198903.8,198153.8,-2148.9003233284593,181620.6449504998,181686.6449504998,182025.6449504998,182749.6449504998,182823.6449504998,182515.6449504998,182409.6449504998,182030.6449504998,182388.6449504998,182490.6449504998,182785.6449504998,182600.6449504998,183643.6449504998,184710.6449504998,185041.6449504998,184266.6449504998,183656.6449504998,183124.6449504998,183376.6449504998,183729.6449504998,185506.6449504998,186472.6449504998,187481.6449504998,187200.6449504998,187986.6449504998,189730.6449504998,192950.6449504998,194775.6449504998,194984.6449504998,195029.6449504998,195721.6449504998,197236.6449504998,197306.6449504998,197249.6449504998,196499.6449504998,2980.5003233284588,184928.9550495002,184994.9550495002,185333.9550495002,186057.9550495002,186131.9550495002,185823.9550495002,185717.9550495002,185338.9550495002,185696.9550495002,185798.9550495002,186093.9550495002,185908.9550495002,186951.9550495002,188018.9550495002,188349.9550495002,187574.9550495002,186964.9550495002,186432.9550495002,186684.9550495002,187037.9550495002,188814.9550495002,189780.9550495002,190789.9550495002,190508.9550495002,191294.9550495002,193038.9550495002,196258.9550495002,198083.9550495002,198292.9550495002,198337.9550495002,199029.9550495002,200544.9550495002,200614.9550495002,200557.9550495002,199807.9550495002,197827.8,198243.59999999998,198659.39999999997,199075.19999999995,199490.99999999994,199906.79999999993,200322.59999999992,200738.3999999999,201154.1999999999,201569.99999999988,201985.79999999987,202401.59999999986,196173.6449504998,195904.27149472886,195794.31941066904,195766.88990099958,195792.19686399298,195854.9641732762,195946.1171090807,196059.74298945768,196191.73485149932,196339.1024405107,196499.58835573596,196671.43882133797,199481.9550495002,200582.9285052711,201524.4805893309,202383.51009900033,203189.8031360069,203958.63582672365,204699.08289091915,205417.05701054214,206116.66514850047,206800.89755948907,207472.01164426378,208131.76117866175
05043," ARIMA(0,1,0)(0,0,0)[12] intercept",44221.520147525756,2847.575226769022,643.6571428571427,266588.65714285715,266901.65714285715,267386.65714285715,268534.65714285715,268429.65714285715,269430.65714285715,270310.65714285715,271355.65714285715,271819.65714285715,271927.65714285715,271904.65714285715,272258.65714285715,272733.65714285715,273901.65714285715,274554.65714285715,275087.65714285715,275332.65714285715,275294.65714285715,275576.65714285715,276306.65714285715,277634.65714285715,278866.65714285715,279996.65714285715,281081.65714285715,281992.65714285715,282428.65714285715,284759.65714285715,286129.65714285715,288619.65714285715,288953.65714285715,289603.65714285715,289577.65714285715,289002.65714285715,288729.65714285715,288697.65714285715,-1692.8460700032178,265316.73401506495,265629.73401506495,266114.73401506495,267262.73401506495,267157.73401506495,268158.73401506495,269038.73401506495,270083.73401506495,270547.73401506495,270655.73401506495,270632.73401506495,270986.73401506495,271461.73401506495,272629.73401506495,273282.73401506495,273815.73401506495,274060.73401506495,274022.73401506495,274304.73401506495,275034.73401506495,276362.73401506495,277594.73401506495,278724.73401506495,279809.73401506495,280720.73401506495,281156.73401506495,283487.73401506495,284857.73401506495,287347.73401506495,287681.73401506495,288331.73401506495,288305.73401506495,287730.73401506495,287457.73401506495,287425.73401506495,2980.1603557175035,267860.58027064934,268173.58027064934,268658.58027064934,269806.58027064934,269701.58027064934,270702.58027064934,271582.58027064934,272627.58027064934,273091.58027064934,273199.58027064934,273176.58027064934,273530.58027064934,274005.58027064934,275173.58027064934,275826.58027064934,276359.58027064934,276604.58027064934,276566.58027064934,276848.58027064934,277578.58027064934,278906.58027064934,280138.58027064934,281268.58027064934,282353.58027064934,283264.58027064934,283700.58027064934,286031.58027064934,287401.58027064934,289891.58027064934,290225.58027064934,290875.58027064934,290849.58027064934,290274.58027064934,290001.58027064934,289969.58027064934,289116.65714285715,289760.3142857143,290403.97142857144,291047.6285714286,291691.28571428574,292334.9428571429,292978.60000000003,293622.2571428572,294265.91428571433,294909.5714285715,295553.2285714286,296196.8857142858,287844.73401506495,287961.54334809456,288200.93594791344,288503.7823158442,288847.17913838825,289219.38020200725,289613.4077170705,290024.7152676177,290450.14490233775,290887.39733610273,291334.7367943667,291790.8147529698,290388.58027064934,291559.085223334,292607.00690922944,293591.474827013,294535.3922901832,295450.5055122785,296343.7922829296,297219.79901809664,298081.6836690909,298931.7455210402,299771.7203484906,300602.9566756018
05034," ARIMA(0,1,0)(0,0,0)[12] intercept",37885.67845804526,9183.009584494013,1287.485714285714,229695.48571428572,228452.48571428572,229787.48571428572,232126.48571428572,233951.48571428572,235002.48571428572,235087.48571428572,235558.48571428572,235420.48571428572,236543.48571428572,236134.48571428572,236982.48571428572,238570.48571428572,241541.48571428572,241571.48571428572,241680.48571428572,240536.48571428572,240441.48571428572,240079.48571428572,239717.48571428572,241481.48571428572,243073.48571428572,244542.48571428572,246266.48571428572,247753.48571428572,251569.48571428572,256846.48571428572,260041.48571428572,262780.4857142857,262978.48571428575,265784.4857142857,269870.4857142857,274078.4857142857,275359.4857142857,275342.4857142857,-2386.13055629905,226588.397417695,225345.397417695,226680.397417695,229019.397417695,230844.397417695,231895.397417695,231980.397417695,232451.397417695,232313.397417695,233436.397417695,233027.397417695,233875.397417695,235463.397417695,238434.397417695,238464.397417695,238573.397417695,237429.397417695,237334.397417695,236972.397417695,236610.397417695,238374.397417695,239966.397417695,241435.397417695,243159.397417695,244646.397417695,248462.397417695,253739.397417695,256934.397417695,259673.39741769497,259871.39741769503,262677.39741769497,266763.39741769497,270971.39741769497,272252.39741769497,272235.39741769497,4961.101984870478,232802.57401087644,231559.57401087644,232894.57401087644,235233.57401087644,237058.57401087644,238109.57401087644,238194.57401087644,238665.57401087644,238527.57401087644,239650.57401087644,239241.57401087644,240089.57401087644,241677.57401087644,244648.57401087644,244678.57401087644,244787.57401087644,243643.57401087644,243548.57401087644,243186.57401087644,242824.57401087644,244588.57401087644,246180.57401087644,247649.57401087644,249373.57401087644,250860.57401087644,254676.57401087644,259953.57401087644,263148.5740108764,265887.5740108764,266085.5740108765,268891.5740108764,272977.5740108764,277185.5740108764,278466.5740108764,278449.5740108764,274757.4857142857,276044.9714285714,277332.4571428571,278619.94285714277,279907.42857142846,281194.91428571416,282482.39999999985,283769.88571428554,285057.37142857123,286344.8571428569,287632.3428571426,288919.8285714283,271650.39741769497,271650.8850200421,271950.82234955934,272405.7662639613,272959.7679281576,273584.13337329356,274261.8170657015,274981.7128972269,275736.10653879907,276519.3812343775,277327.2967868467,278156.5589848328,277864.5740108764,280439.0578371007,282714.0919361548,284834.1194503242,286855.08921469934,288805.69519813475,290702.98293429817,292558.05853134417,294378.6363183434,296170.33305133635,297937.38892743853,299683.09815802384
05041," ARIMA(0,1,0)(0,0,0)[12] intercept",24005.116207359235,1766.5019343362778,628.742857142857,145169.74285714288,145479.74285714285,146167.74285714285,146406.74285714285,146875.74285714285,147070.74285714285,147239.74285714285,147345.74285714285,146890.74285714285,147290.74285714285,147295.74285714285,147411.74285714285,147845.74285714285,147833.74285714285,148864.74285714285,147471.74285714285,147475.74285714285,146115.74285714285,147916.74285714285,150244.74285714285,152585.74285714285,154012.74285714285,153938.74285714285,154709.74285714285,154852.74285714285,156512.74285714285,156386.74285714285,158155.74285714285,158258.74285714285,160498.74285714285,160415.74285714285,161004.74285714285,160921.74285714285,162534.74285714285,164597.74285714285,-2125.267943996453,143235.02926797836,143545.02926797833,144233.02926797833,144472.02926797833,144941.02926797833,145136.02926797833,145305.02926797833,145411.02926797833,144956.02926797833,145356.02926797833,145361.02926797833,145477.02926797833,145911.02926797833,145899.02926797833,146930.02926797833,145537.02926797833,145541.02926797833,144181.02926797833,145982.02926797833,148310.02926797833,150651.02926797833,152078.02926797833,152004.02926797833,152775.02926797833,152918.02926797833,154578.02926797833,154452.02926797833,156221.02926797833,156324.02926797833,158564.02926797833,158481.02926797833,159070.02926797833,158987.02926797833,160600.02926797833,162663.02926797833,3382.7536582821667,147104.4564463074,147414.45644630736,148102.45644630736,148341.45644630736,148810.45644630736,149005.45644630736,149174.45644630736,149280.45644630736,148825.45644630736,149225.45644630736,149230.45644630736,149346.45644630736,149780.45644630736,149768.45644630736,150799.45644630736,149406.45644630736,149410.45644630736,148050.45644630736,149851.45644630736,152179.45644630736,154520.45644630736,155947.45644630736,155873.45644630736,156644.45644630736,156787.45644630736,158447.45644630736,158321.45644630736,160090.45644630736,160193.45644630736,162433.45644630736,162350.45644630736,162939.45644630736,162856.45644630736,164469.45644630736,166532.45644630736,167175.74285714285,167804.4857142857,168433.22857142854,169061.97142857139,169690.71428571423,170319.45714285708,170948.19999999992,171576.94285714277,172205.68571428562,172834.42857142846,173463.1714285713,174091.91428571416,165241.02926797833,165068.3875171817,165082.20633690164,165192.54425024235,165364.56318334976,165580.39605097537,165829.42898493342,166104.7464629348,166401.54494679207,166716.32700958932,167046.4523765108,167389.8698166604,169110.45644630736,170540.5839113897,171784.25080595544,172931.39860690042,174016.8653880787,175058.5182347388,176066.97101506643,177049.13925135075,178009.82648177916,178952.5301332676,179879.89048063182,180793.95875476793
05030," ARIMA(0,1,0)(0,0,0)[12] intercept",26834.34495935168,7627.477624098421,672.2285714285713,162311.22857142857,163091.22857142857,164113.22857142857,165485.22857142857,167022.22857142857,168186.22857142857,169480.22857142857,170428.22857142857,171876.22857142857,173101.22857142857,173949.22857142857,175242.22857142857,175967.22857142857,176692.22857142857,176214.22857142857,175982.22857142857,175948.22857142857,176740.22857142857,177558.22857142857,178417.22857142857,178868.22857142857,178913.22857142857,179344.22857142857,179729.22857142857,180930.22857142857,182485.22857142857,184289.22857142857,185283.22857142857,184841.22857142857,184712.22857142857,184826.22857142857,185350.22857142857,185285.22857142857,185627.22857142857,185752.22857142857,-1614.7345727077122,161132.77975966645,161912.77975966645,162934.77975966645,164306.77975966645,165843.77975966645,167007.77975966645,168301.77975966645,169249.77975966645,170697.77975966645,171922.77975966645,172770.77975966645,174063.77975966645,174788.77975966645,175513.77975966645,175035.77975966645,174803.77975966645,174769.77975966645,175561.77975966645,176379.77975966645,177238.77975966645,177689.77975966645,177734.77975966645,178165.77975966645,178550.77975966645,179751.77975966645,181306.77975966645,183110.77975966645,184104.77975966645,183662.77975966645,183533.77975966645,183647.77975966645,184171.77975966645,184106.77975966645,184448.77975966645,184573.77975966645,2959.191715564855,163489.6773831907,164269.6773831907,165291.6773831907,166663.6773831907,168200.6773831907,169364.6773831907,170658.6773831907,171606.6773831907,173054.6773831907,174279.6773831907,175127.6773831907,176420.6773831907,177145.6773831907,177870.6773831907,177392.6773831907,177160.6773831907,177126.6773831907,177918.6773831907,178736.6773831907,179595.6773831907,180046.6773831907,180091.6773831907,180522.6773831907,180907.6773831907,182108.6773831907,183663.6773831907,185467.6773831907,186461.6773831907,186019.6773831907,185890.6773831907,186004.6773831907,186528.6773831907,186463.6773831907,186805.6773831907,186930.6773831907,185839.22857142857,186511.45714285714,187183.6857142857,187855.91428571427,188528.14285714284,189200.3714285714,189872.59999999998,190544.82857142854,191217.0571428571,191889.28571428568,192561.51428571425,193233.74285714282,184660.77975966645,184844.87885070065,185142.5524981945,185499.01666219,185893.05120603886,186313.77315176502,186754.7175112578,187211.6719871156,187681.71070757072,188162.70336319832,188653.04174245909,189151.47642496045,187017.6773831907,188178.03543501362,189224.8189303769,190212.81190923855,191163.23450824682,192086.9697053778,192990.48248874216,193877.98515574148,194752.4035781435,195615.86806537304,196469.9868289694,197316.0092893252
05033," ARIMA(0,1,0)(0,0,0)[12] intercept",28202.750998185373,717.5487527584085,334.14285714285705,169862.14285714287,169829.14285714287,170055.14285714287,169745.14285714287,169539.14285714287,169536.14285714287,170199.14285714287,170514.14285714287,170778.14285714287,170601.14285714287,170109.14285714287,169718.14285714287,169902.14285714287,170316.14285714287,171027.14285714287,171455.14285714287,171788.14285714287,171444.14285714287,171497.14285714287,172601.14285714287,174027.14285714287,175310.14285714287,175990.14285714287,176898.14285714287,177751.14285714287,178426.14285714287,179124.14285714287,179716.14285714287,180313.14285714287,180652.14285714287,180699.14285714287,180661.14285714287,180452.14285714287,180581.14285714287,181109.14285714287,-1829.8106706442643,168944.9536456231,168911.9536456231,169137.9536456231,168827.9536456231,168621.9536456231,168618.9536456231,169281.9536456231,169596.9536456231,169860.9536456231,169683.9536456231,169191.9536456231,168800.9536456231,168984.9536456231,169398.9536456231,170109.9536456231,170537.9536456231,170870.9536456231,170526.9536456231,170579.9536456231,171683.9536456231,173109.9536456231,174392.9536456231,175072.9536456231,175980.9536456231,176833.9536456231,177508.9536456231,178206.9536456231,178798.9536456231,179395.9536456231,179734.9536456231,179781.9536456231,179743.9536456231,179534.9536456231,179663.9536456231,180191.9536456231,2498.0963849299783,170779.33206866262,170746.33206866262,170972.33206866262,170662.33206866262,170456.33206866262,170453.33206866262,171116.33206866262,171431.33206866262,171695.33206866262,171518.33206866262,171026.33206866262,170635.33206866262,170819.33206866262,171233.33206866262,171944.33206866262,172372.33206866262,172705.33206866262,172361.33206866262,172414.33206866262,173518.33206866262,174944.33206866262,176227.33206866262,176907.33206866262,177815.33206866262,178668.33206866262,179343.33206866262,180041.33206866262,180633.33206866262,181230.33206866262,181569.33206866262,181616.33206866262,181578.33206866262,181369.33206866262,181498.33206866262,182026.33206866262,181557.14285714287,181891.28571428574,182225.4285714286,182559.57142857148,182893.71428571435,183227.85714285722,183562.0000000001,183896.14285714296,184230.28571428583,184564.4285714287,184898.57142857157,185232.71428571444,180639.9536456231,180594.18429209225,180636.81025692238,180725.193005532,180842.81686052677,180981.21157704823,181135.34544112743,181301.94001275595,181478.7180797266,181664.02161769237,181856.59895219866,182055.477656702,182474.33206866262,183188.38713647923,183814.04688593483,184393.94985161096,184944.61171090193,185474.5027086662,185988.65455887275,186490.34570152996,186981.85334884506,187464.83552516502,187940.54390494447,188409.95091472688
05032," ARIMA(0,1,0)(0,0,0)[12] intercept",34803.59578884534,5602.661383961495,337.9999999999999,209460.00000000003,209394.0,209591.0,209483.0,209616.0,209838.0,210596.0,211431.0,212298.0,212927.0,213488.0,213856.0,214771.0,215084.0,215390.0,215453.0,216060.0,216850.0,217154.0,217689.0,218012.0,218305.0,218399.0,218048.0,218252.0,219260.0,221547.0,223701.0,224501.0,223867.0,222907.0,221992.0,221788.0,221695.0,221729.0,-2020.7466091100946,208147.66363104037,208081.66363104034,208278.66363104034,208170.66363104034,208303.66363104034,208525.66363104034,209283.66363104034,210118.66363104034,210985.66363104034,211614.66363104034,212175.66363104034,212543.66363104034,213458.66363104034,213771.66363104034,214077.66363104034,214140.66363104034,214747.66363104034,215537.66363104034,215841.66363104034,216376.66363104034,216699.66363104034,216992.66363104034,217086.66363104034,216735.66363104034,216939.66363104034,217947.66363104034,220234.66363104034,222388.66363104034,223188.66363104034,222554.66363104034,221594.66363104034,220679.66363104034,220475.66363104034,220382.66363104034,220416.66363104034,2696.7466091100946,210772.3363689597,210706.33636895966,210903.33636895966,210795.33636895966,210928.33636895966,211150.33636895966,211908.33636895966,212743.33636895966,213610.33636895966,214239.33636895966,214800.33636895966,215168.33636895966,216083.33636895966,216396.33636895966,216702.33636895966,216765.33636895966,217372.33636895966,218162.33636895966,218466.33636895966,219001.33636895966,219324.33636895966,219617.33636895966,219711.33636895966,219360.33636895966,219564.33636895966,220572.33636895966,222859.33636895966,225013.33636895966,225813.33636895966,225179.33636895966,224219.33636895966,223304.33636895966,223100.33636895966,223007.33636895966,223041.33636895966,221290.0,221628.0,221966.0,222304.0,222642.0,222980.0,223318.0,223656.0,223994.0,224332.0,224670.0,225008.0,219977.66363104034,219772.07610862178,219692.9667323414,219679.32726208065,219707.52666966093,219765.44552515197,219845.8843312672,219944.15221724357,220056.990893121,220182.02801781235,220317.47266542338,220461.9334646828,222602.33636895966,223483.92389137822,224239.0332676586,224928.67273791935,225576.47333033907,226194.55447484803,226790.1156687328,227367.84778275643,227931.009106879,228481.97198218765,229022.52733457662,229554.0665353172
05042," ARIMA(0,1,0)(0,0,0)[12] intercept",24800.620480394944,1239.4859121952725,500.7142857142856,149778.7142857143,150267.7142857143,151436.7142857143,152293.7142857143,152895.7142857143,153335.7142857143,154125.7142857143,154780.7142857143,155167.7142857143,154972.7142857143,154881.7142857143,155700.7142857143,156445.7142857143,157205.7142857143,156702.7142857143,156888.7142857143,156768.7142857143,157105.7142857143,156922.7142857143,157340.7142857143,158276.7142857143,159804.7142857143,161173.7142857143,162108.7142857143,162952.7142857143,162713.7142857143,163174.7142857143,162786.7142857143,163331.7142857143,163677.7142857143,164335.7142857143,165104.7142857143,165199.7142857143,165729.7142857143,166452.7142857143,-1668.3709741905843,148849.48232110994,149338.48232110994,150507.48232110994,151364.48232110994,151966.48232110994,152406.48232110994,153196.48232110994,153851.48232110994,154238.48232110994,154043.48232110994,153952.48232110994,154771.48232110994,155516.48232110994,156276.48232110994,155773.48232110994,155959.48232110994,155839.48232110994,156176.48232110994,155993.48232110994,156411.48232110994,157347.48232110994,158875.48232110994,160244.48232110994,161179.48232110994,162023.48232110994,161784.48232110994,162245.48232110994,161857.48232110994,162402.48232110994,162748.48232110994,163406.48232110994,164175.48232110994,164270.48232110994,164800.48232110994,165523.48232110994,2669.7995456191557,150707.94625031864,151196.94625031864,152365.94625031864,153222.94625031864,153824.94625031864,154264.94625031864,155054.94625031864,155709.94625031864,156096.94625031864,155901.94625031864,155810.94625031864,156629.94625031864,157374.94625031864,158134.94625031864,157631.94625031864,157817.94625031864,157697.94625031864,158034.94625031864,157851.94625031864,158269.94625031864,159205.94625031864,160733.94625031864,162102.94625031864,163037.94625031864,163881.94625031864,163642.94625031864,164103.94625031864,163715.94625031864,164260.94625031864,164606.94625031864,165264.94625031864,166033.94625031864,166128.94625031864,166658.94625031864,167381.94625031864,167303.7142857143,167804.42857142858,168305.14285714287,168805.85714285716,169306.57142857145,169807.28571428574,170308.00000000003,170808.71428571432,171309.4285714286,171810.1428571429,172310.8571428572,172811.57142857148,166374.48232110994,166490.29612449452,166695.6658824311,166947.39321364847,167228.74558885046,167531.14154832115,167849.48331136495,168180.4493918462,168521.73267761557,168871.6533743602,169228.94337305977,169592.61747914794,168232.94625031864,169118.56101836264,169914.61983185465,170664.32107206585,171384.39726829244,172083.42988025033,172766.5166886351,173436.97917958244,174097.12446524165,174748.6323399256,175392.7709126546,176030.525377995
05038," ARIMA(0,1,0)(0,0,0)[12] intercept",26069.737771010066,1233.2084581937422,125.17142857142856,156647.17142857143,156578.17142857143,156691.17142857143,156480.17142857143,155999.17142857143,155794.17142857143,156099.17142857143,156219.17142857143,155900.17142857143,155561.17142857143,155229.17142857143,154817.17142857143,154628.17142857143,154951.17142857143,155964.17142857143,156651.17142857143,157265.17142857143,157028.17142857143,157038.17142857143,157835.17142857143,158877.17142857143,159716.17142857143,159622.17142857143,159588.17142857143,159864.17142857143,160260.17142857143,159921.17142857143,159621.17142857143,159284.17142857143,159557.17142857143,159640.17142857143,159380.17142857143,159409.17142857143,159567.17142857143,160478.17142857143,-2015.6209917411386,155786.04811209833,155717.04811209833,155830.04811209833,155619.04811209833,155138.04811209833,154933.04811209833,155238.04811209833,155358.04811209833,155039.04811209833,154700.04811209833,154368.04811209833,153956.04811209833,153767.04811209833,154090.04811209833,155103.04811209833,155790.04811209833,156404.04811209833,156167.04811209833,156177.04811209833,156974.04811209833,158016.04811209833,158855.04811209833,158761.04811209833,158727.04811209833,159003.04811209833,159399.04811209833,159060.04811209833,158760.04811209833,158423.04811209833,158696.04811209833,158779.04811209833,158519.04811209833,158548.04811209833,158706.04811209833,159617.04811209833,2265.9638488839955,157508.29474504452,157439.29474504452,157552.29474504452,157341.29474504452,156860.29474504452,156655.29474504452,156960.29474504452,157080.29474504452,156761.29474504452,156422.29474504452,156090.29474504452,155678.29474504452,155489.29474504452,155812.29474504452,156825.29474504452,157512.29474504452,158126.29474504452,157889.29474504452,157899.29474504452,158696.29474504452,159738.29474504452,160577.29474504452,160483.29474504452,160449.29474504452,160725.29474504452,161121.29474504452,160782.29474504452,160482.29474504452,160145.29474504452,160418.29474504452,160501.29474504452,160241.29474504452,160270.29474504452,160428.29474504452,161339.29474504452,161028.17142857143,161153.34285714285,161278.51428571428,161403.6857142857,161528.85714285713,161654.02857142856,161779.19999999998,161904.3714285714,162029.54285714283,162154.71428571426,162279.8857142857,162405.0571428571,160167.04811209833,159935.5305841109,159787.00495000067,159681.43908133951,159603.32687021323,159544.71584045628,159500.88185645302,159468.74688250752,159446.17290772355,159431.6032593813,159423.86277531798,159422.0384714299,161889.29474504452,162371.1551301748,162770.02362142788,163125.9323472319,163454.38741550103,163763.34130240083,164057.51814354694,164339.9959746353,164612.91280656212,164877.8253120472,165135.9086532534,165388.07581428433
