zip_code,model_order,train_rmse,test_rmse,train_pred_2016-01-31,train_pred_2016-02-29,train_pred_2016-03-31,train_pred_2016-04-30,train_pred_2016-05-31,train_pred_2016-06-30,train_pred_2016-07-31,train_pred_2016-08-31,train_pred_2016-09-30,train_pred_2016-10-31,train_pred_2016-11-30,train_pred_2016-12-31,train_pred_2017-01-31,train_pred_2017-02-28,train_pred_2017-03-31,train_pred_2017-04-30,train_pred_2017-05-31,train_pred_2017-06-30,train_pred_2017-07-31,train_pred_2017-08-31,train_pred_2017-09-30,train_pred_2017-10-31,train_pred_2017-11-30,train_pred_2017-12-31,train_pred_2018-01-31,train_pred_2018-02-28,train_pred_2018-03-31,train_pred_2018-04-30,train_pred_2018-05-31,train_pred_2018-06-30,train_pred_2018-07-31,train_pred_2018-08-31,train_pred_2018-09-30,train_pred_2018-10-31,train_pred_2018-11-30,train_pred_2018-12-31,train_lci_2016-01-31,train_lci_2016-02-29,train_lci_2016-03-31,train_lci_2016-04-30,train_lci_2016-05-31,train_lci_2016-06-30,train_lci_2016-07-31,train_lci_2016-08-31,train_lci_2016-09-30,train_lci_2016-10-31,train_lci_2016-11-30,train_lci_2016-12-31,train_lci_2017-01-31,train_lci_2017-02-28,train_lci_2017-03-31,train_lci_2017-04-30,train_lci_2017-05-31,train_lci_2017-06-30,train_lci_2017-07-31,train_lci_2017-08-31,train_lci_2017-09-30,train_lci_2017-10-31,train_lci_2017-11-30,train_lci_2017-12-31,train_lci_2018-01-31,train_lci_2018-02-28,train_lci_2018-03-31,train_lci_2018-04-30,train_lci_2018-05-31,train_lci_2018-06-30,train_lci_2018-07-31,train_lci_2018-08-31,train_lci_2018-09-30,train_lci_2018-10-31,train_lci_2018-11-30,train_lci_2018-12-31,train_uci_2016-01-31,train_uci_2016-02-29,train_uci_2016-03-31,train_uci_2016-04-30,train_uci_2016-05-31,train_uci_2016-06-30,train_uci_2016-07-31,train_uci_2016-08-31,train_uci_2016-09-30,train_uci_2016-10-31,train_uci_2016-11-30,train_uci_2016-12-31,train_uci_2017-01-31,train_uci_2017-02-28,train_uci_2017-03-31,train_uci_2017-04-30,train_uci_2017-05-31,train_uci_2017-06-30,train_uci_2017-07-31,train_uci_2017-08-31,train_uci_2017-09-30,train_uci_2017-10-31,train_uci_2017-11-30,train_uci_2017-12-31,train_uci_2018-01-31,train_uci_2018-02-28,train_uci_2018-03-31,train_uci_2018-04-30,train_uci_2018-05-31,train_uci_2018-06-30,train_uci_2018-07-31,train_uci_2018-08-31,train_uci_2018-09-30,train_uci_2018-10-31,train_uci_2018-11-30,train_uci_2018-12-31,test_pred_2019-01-31,test_pred_2019-02-28,test_pred_2019-03-31,test_pred_2019-04-30,test_pred_2019-05-31,test_pred_2019-06-30,test_pred_2019-07-31,test_pred_2019-08-31,test_pred_2019-09-30,test_pred_2019-10-31,test_pred_2019-11-30,test_pred_2019-12-31,test_lci_2019-01-31,test_lci_2019-02-28,test_lci_2019-03-31,test_lci_2019-04-30,test_lci_2019-05-31,test_lci_2019-06-30,test_lci_2019-07-31,test_lci_2019-08-31,test_lci_2019-09-30,test_lci_2019-10-31,test_lci_2019-11-30,test_lci_2019-12-31,test_uci_2019-01-31,test_uci_2019-02-28,test_uci_2019-03-31,test_uci_2019-04-30,test_uci_2019-05-31,test_uci_2019-06-30,test_uci_2019-07-31,test_uci_2019-08-31,test_uci_2019-09-30,test_uci_2019-10-31,test_uci_2019-11-30,test_uci_2019-12-31
98020," ARIMA(0,2,0)(0,0,0)[12]          ",137359.65024417575,38109.821647444114,0.0,1168054.1613541069,634112.0000000005,639762.9999999998,647676.0,654344.0,655320.9999999998,659051.0000000002,670701.9999999998,681003.0000000002,688034.0,694623.0,698031.9999999999,702363.0,710769.0,720068.0,726510.0,728772.0,742064.0,750252.0,753902.0,751763.0000000001,758970.0,770184.0,780169.0,787395.0,792283.0,799112.0,805508.0,812813.0,809289.0,810763.0,809088.0,820635.0,820442.0,821555.0,-5555.954997545932,1162901.577017123,629296.8449356887,634947.844935688,642860.8449356882,649528.8449356882,650505.844935688,654235.8449356884,665886.844935688,676187.8449356884,683218.8449356882,689807.8449356882,693216.8449356881,697547.8449356882,705953.8449356882,715252.8449356882,721694.8449356882,723956.8449356882,737248.8449356882,745436.8449356882,749086.8449356882,746947.8449356883,754154.8449356882,765368.8449356882,775353.8449356882,782579.8449356882,787467.8449356882,794296.8449356882,800692.8449356882,807997.8449356882,804473.8449356882,805947.8449356882,804272.8449356882,815819.8449356882,815626.8449356882,816739.8449356882,5555.954997545932,1173206.7456910906,638927.1550643123,644578.1550643116,652491.1550643118,659159.1550643118,660136.1550643116,663866.155064312,675517.1550643116,685818.155064312,692849.1550643118,699438.1550643118,702847.1550643117,707178.1550643118,715584.1550643118,724883.1550643118,731325.1550643118,733587.1550643118,746879.1550643118,755067.1550643118,758717.1550643118,756578.1550643119,763785.1550643118,774999.1550643118,784984.1550643118,792210.1550643118,797098.1550643118,803927.1550643118,810323.1550643118,817628.1550643118,814104.1550643118,815578.1550643118,813903.1550643118,825450.1550643118,825257.1550643118,826370.1550643118,813523.0,810480.0,807437.0,804394.0,801351.0,798308.0,795265.0,792222.0,789179.0,786136.0,783093.0,780050.0,808707.8449356882,799712.9859539965,789420.3394851559,778020.309533912,765640.85429692,752374.3482325166,738291.3169430707,723447.8294717636,707889.8265904388,691655.8351877684,674778.7652178445,657287.1518304956,818338.1550643118,821247.0140460035,825453.6605148441,830767.690466088,837061.14570308,844241.6517674834,852238.6830569293,860996.1705282364,870468.1734095612,880616.1648122316,891407.2347821555,902812.8481695044
98012," ARIMA(0,1,0)(0,0,0)[12] intercept",76827.72924050655,43329.25882560776,4919.514285714285,470575.5142857143,473772.5142857143,477585.5142857143,481710.5142857143,487243.5142857143,489938.5142857143,492739.5142857143,497378.5142857143,502604.5142857143,507851.5142857143,513489.5142857143,518136.5142857143,522501.5142857143,528773.5142857142,535240.5142857142,541527.5142857142,546321.5142857142,554861.5142857142,564295.5142857142,571609.5142857142,577653.5142857142,583589.5142857142,591446.5142857142,598090.5142857142,604691.5142857142,610931.5142857142,618168.5142857142,626187.5142857142,632883.5142857142,637034.5142857142,639242.5142857142,640537.5142857142,643848.5142857142,644877.5142857142,645203.5142857142,-286.0263007981948,465753.0466624809,468950.0466624809,472763.0466624809,476888.0466624809,482421.0466624809,485116.0466624809,487917.0466624809,492556.0466624809,497782.0466624809,503029.0466624809,508667.0466624809,513314.0466624809,517679.0466624809,523951.0466624808,530418.0466624808,536705.0466624808,541499.0466624808,550039.0466624808,559473.0466624808,566787.0466624808,572831.0466624808,578767.0466624808,586624.0466624808,593268.0466624808,599869.0466624808,606109.0466624808,613346.0466624808,621365.0466624808,628061.0466624808,632212.0466624808,634420.0466624808,635715.0466624808,639026.0466624808,640055.0466624808,640381.0466624808,10125.054872226763,475397.9819089477,478594.9819089477,482407.9819089477,486532.9819089477,492065.9819089477,494760.9819089477,497561.9819089477,502200.9819089477,507426.9819089477,512673.9819089477,518311.9819089477,522958.9819089477,527323.9819089477,533595.9819089477,540062.9819089477,546349.9819089477,551143.9819089477,559683.9819089477,569117.9819089477,576431.9819089477,582475.9819089477,588411.9819089477,596268.9819089477,602912.9819089477,609513.9819089477,615753.9819089477,622990.9819089477,631009.9819089477,637705.9819089477,641856.9819089477,644064.9819089477,645359.9819089477,648670.9819089477,649699.9819089477,650025.9819089477,642758.5142857142,647678.0285714285,652597.5428571427,657517.057142857,662436.5714285712,667356.0857142855,672275.5999999997,677195.114285714,682114.6285714282,687034.1428571425,691953.6571428567,696873.171428571,637936.0466624808,640858.0294545466,644244.7839158465,647872.1218963901,651653.2060037295,655543.5007362713,659516.5499632634,663555.1160519503,667647.225701728,671784.1612253061,675959.3414729545,680167.6535459786,647580.9819089477,654498.0276883104,660950.301798439,667161.9923893239,673219.936853413,679168.6706922997,685034.650036736,690835.1125194777,696582.0314411285,702284.1244889789,707947.972812759,713578.6893111634
98010," ARIMA(0,2,0)(0,0,0)[12]          ",77527.4698589074,25702.607077557976,0.0,653802.2409455772,379315.99999999994,385706.0,392362.0,395916.0,399578.0,403470.0,403797.0,405537.0,407389.0,413039.0,418300.0,424159.0,425390.0,426220.0,428632.0,434914.0,439815.0,445424.0,448542.0,451793.0,456925.0,457300.0,461478.0,464498.0,473190.0,473108.0,472594.0,468075.0,467435.0,463956.0,463144.0,465837.0,465546.0,463255.0,-3934.7638280516117,650533.0252549244,376523.2506841545,382913.25068415457,389569.25068415457,393123.25068415457,396785.25068415457,400677.25068415457,401004.25068415457,402744.25068415457,404596.25068415457,410246.25068415457,415507.25068415457,421366.25068415457,422597.25068415457,423427.25068415457,425839.25068415457,432121.25068415457,437022.25068415457,442631.25068415457,445749.25068415457,449000.25068415457,454132.25068415457,454507.25068415457,458685.25068415457,461705.25068415457,470397.25068415457,470315.25068415457,469801.25068415457,465282.25068415457,464642.25068415457,461163.25068415457,460351.25068415457,463044.25068415457,462753.25068415457,460462.25068415457,3934.7638280516117,657071.4566362299,382108.7493158454,388498.74931584543,395154.74931584543,398708.74931584543,402370.74931584543,406262.74931584543,406589.74931584543,408329.74931584543,410181.74931584543,415831.74931584543,421092.74931584543,426951.74931584543,428182.74931584543,429012.74931584543,431424.74931584543,437706.74931584543,442607.74931584543,448216.74931584543,451334.74931584543,454585.74931584543,459717.74931584543,460092.74931584543,464270.74931584543,467290.74931584543,475982.74931584543,475900.74931584543,475386.74931584543,470867.74931584543,470227.74931584543,466748.74931584543,465936.74931584543,468629.74931584543,468338.74931584543,466047.74931584543,458392.0,455422.0,452452.0,449482.0,446512.0,443542.0,440572.0,437602.0,434632.0,431662.0,428692.0,425722.0,455599.25068415457,449177.2226856536,442002.4888929591,434185.4820225434,425800.41674898966,416900.8694788469,407527.7444665231,397713.5612840557,387484.96519154985,376864.301459416,365870.65758339374,354520.58370965626,461184.74931584543,461666.7773143464,462901.5111070409,464778.5179774566,467223.58325101034,470183.1305211531,473616.2555334769,477490.4387159443,481779.03480845015,486459.698540584,491513.34241660626,496923.41629034374
98014," ARIMA(0,1,0)(0,0,0)[12] intercept",83792.30992723235,31178.476900293284,4217.942857142856,510825.94285714277,514688.9428571428,517299.9428571428,521259.9428571428,523353.9428571428,529405.9428571429,535313.9428571429,539597.9428571429,543901.9428571429,548402.9428571429,555362.9428571429,562557.9428571429,569164.9428571429,573215.9428571429,577375.9428571429,584380.9428571429,593153.9428571429,600275.9428571429,607093.9428571429,612346.9428571429,617075.9428571429,621941.9428571429,624954.9428571429,629613.9428571429,635510.9428571429,646080.9428571429,655757.9428571429,661665.9428571429,663463.9428571429,662522.9428571429,660075.9428571429,659274.9428571429,661376.9428571429,663412.9428571429,662663.9428571429,-2413.5229674099674,504490.7332977424,508353.73329774244,510964.73329774244,514924.73329774244,517018.73329774244,523070.7332977425,528978.7332977426,533262.7332977426,537566.7332977426,542067.7332977426,549027.7332977426,556222.7332977426,562829.7332977426,566880.7332977426,571040.7332977426,578045.7332977426,586818.7332977426,593940.7332977426,600758.7332977426,606011.7332977426,610740.7332977426,615606.7332977426,618619.7332977426,623278.7332977426,629175.7332977426,639745.7332977426,649422.7332977426,655330.7332977426,657128.7332977426,656187.7332977426,653740.7332977426,652939.7332977426,655041.7332977426,657077.7332977426,656328.7332977426,10849.40868169568,517161.15241654316,521024.1524165432,523635.1524165432,527595.1524165432,529689.1524165432,535741.1524165432,541649.1524165432,545933.1524165432,550237.1524165432,554738.1524165432,561698.1524165432,568893.1524165432,575500.1524165432,579551.1524165432,583711.1524165432,590716.1524165432,599489.1524165432,606611.1524165432,613429.1524165432,618682.1524165432,623411.1524165432,628277.1524165432,631290.1524165432,635949.1524165432,641846.1524165432,652416.1524165432,662093.1524165432,668001.1524165432,669799.1524165432,668858.1524165432,666411.1524165432,665610.1524165432,667712.1524165432,669748.1524165432,668999.1524165432,658453.9428571429,662671.8857142858,666889.8285714287,671107.7714285715,675325.7142857144,679543.6571428573,683761.6000000002,687979.5428571431,692197.485714286,696415.4285714289,700633.3714285718,704851.3142857146,652118.7332977426,653712.5464349061,655916.9237379512,658437.3523097708,661159.7550591887,664025.6263087242,667000.2110023478,670060.8642983837,673191.8570360849,676381.7369092519,679621.858351768,682905.5046187596,664789.1524165432,671631.2249936655,677862.7334049061,683778.1905473723,689491.6735122402,695061.6879769905,700522.9889976527,705898.2214159025,711203.1143924871,716449.1202336058,721644.8845053755,726797.1239526697
98019," ARIMA(0,1,0)(0,0,0)[12] intercept",82362.83995262282,30216.757974132997,3914.7428571428563,501536.7428571429,506225.7428571429,509975.7428571429,514274.7428571429,515741.7428571429,519436.7428571429,523260.7428571429,526018.7428571428,529267.7428571428,533006.7428571428,539724.7428571428,546757.7428571428,553299.7428571428,556843.7428571428,559881.7428571428,565697.7428571428,574005.7428571428,582497.7428571428,590900.7428571428,597829.7428571428,603128.7428571428,608281.7428571428,610156.7428571428,614312.7428571428,619580.7428571428,630106.7428571428,640643.7428571428,647870.7428571428,650675.7428571428,649242.7428571428,644701.7428571428,641489.7428571428,641747.7428571428,642709.7428571428,641832.7428571428,-3486.486497303915,494399.74508942355,499088.74508942355,502838.74508942355,507137.74508942355,508604.74508942355,512299.74508942355,516123.74508942355,518881.7450894235,522130.7450894235,525869.7450894235,532587.7450894235,539620.7450894235,546162.7450894235,549706.7450894235,552744.7450894235,558560.7450894235,566868.7450894235,575360.7450894235,583763.7450894235,590692.7450894235,595991.7450894235,601144.7450894235,603019.7450894235,607175.7450894235,612443.7450894235,622969.7450894235,633506.7450894235,640733.7450894235,643538.7450894235,642105.7450894235,637564.7450894235,634352.7450894235,634610.7450894235,635572.7450894235,634695.7450894235,11315.972211589627,508673.7406248622,513362.7406248622,517112.7406248622,521411.7406248622,522878.7406248622,526573.7406248621,530397.7406248621,533155.7406248621,536404.7406248621,540143.7406248621,546861.7406248621,553894.7406248621,560436.7406248621,563980.7406248621,567018.7406248621,572834.7406248621,581142.7406248621,589634.7406248621,598037.7406248621,604966.7406248621,610265.7406248621,615418.7406248621,617293.7406248621,621449.7406248621,626717.7406248621,637243.7406248621,647780.7406248621,655007.7406248621,657812.7406248621,656379.7406248621,651838.7406248621,648626.7406248621,648884.7406248621,649846.7406248621,648969.7406248621,638552.7428571428,642467.4857142856,646382.2285714285,650296.9714285713,654211.7142857141,658126.4571428569,662041.1999999997,665955.9428571425,669870.6857142854,673785.4285714282,677700.171428571,681614.9142857138,631415.7450894235,632374.2466765505,634020.5858242329,636022.9758931326,638252.9021218295,640644.454316562,643158.4787989913,645769.4647816722,648459.6924111274,651216.2599698978,654029.4277034419,656891.6287913228,645689.7406248621,652560.7247520208,658743.871318624,664570.9669640099,670170.5264495987,675608.4599691518,680923.9212010081,686142.4209326128,691281.6790174433,696354.5971729585,701370.9151537,706338.1997801048
98005," ARIMA(0,1,0)(0,0,0)[12] intercept",162884.18069674892,102479.45791655812,11210.314285714285,998633.3142857144,1008010.3142857143,1013855.3142857143,1025081.3142857143,1029227.3142857143,1038420.3142857143,1045454.3142857143,1051751.3142857142,1060734.3142857142,1068449.3142857142,1081730.3142857142,1096399.3142857142,1112903.3142857142,1123434.3142857142,1131726.3142857142,1139356.3142857142,1152170.3142857142,1168928.3142857142,1191233.3142857142,1212059.3142857142,1227904.3142857142,1247356.3142857142,1258242.3142857142,1274754.3142857142,1291624.3142857142,1319178.3142857142,1347425.3142857142,1368327.3142857142,1383303.3142857142,1391633.3142857142,1394839.3142857142,1396126.3142857142,1399771.3142857142,1400595.3142857142,1398075.3142857142,-4218.971692281728,983329.0205427777,992706.0205427776,998551.0205427776,1009777.0205427776,1013923.0205427776,1023116.0205427776,1030150.0205427776,1036447.0205427775,1045430.0205427775,1053145.0205427776,1066426.0205427776,1081095.0205427776,1097599.0205427776,1108130.0205427776,1116422.0205427776,1124052.0205427776,1136866.0205427776,1153624.0205427776,1175929.0205427776,1196755.0205427776,1212600.0205427776,1232052.0205427776,1242938.0205427776,1259450.0205427776,1276320.0205427776,1303874.0205427776,1332121.0205427776,1353023.0205427776,1367999.0205427776,1376329.0205427776,1379535.0205427776,1380822.0205427776,1384467.0205427776,1385291.0205427776,1382771.0205427776,26639.600263710297,1013937.6080286511,1023314.608028651,1029159.608028651,1040385.608028651,1044531.608028651,1053724.608028651,1060758.608028651,1067055.6080286507,1076038.6080286507,1083753.6080286507,1097034.6080286507,1111703.6080286507,1128207.6080286507,1138738.6080286507,1147030.6080286507,1154660.6080286507,1167474.6080286507,1184232.6080286507,1206537.6080286507,1227363.6080286507,1243208.6080286507,1262660.6080286507,1273546.6080286507,1290058.6080286507,1306928.6080286507,1334482.6080286507,1362729.6080286507,1383631.6080286507,1398607.6080286507,1406937.6080286507,1410143.6080286507,1411430.6080286507,1415075.6080286507,1415899.6080286507,1413379.6080286507,1390994.3142857142,1402204.6285714284,1413414.9428571425,1424625.2571428567,1435835.571428571,1447045.885714285,1458256.1999999993,1469466.5142857134,1480676.8285714276,1491887.1428571418,1503097.457142856,1514307.7714285702,1375690.0205427776,1380561.0887976256,1386907.1285204177,1394016.6696569833,1401614.1302717398,1409558.175170421,1417764.844764707,1426179.434738108,1434763.9473426177,1443490.7166491984,1452338.8571161511,1461292.1427551205,1406298.6080286507,1423848.168345231,1439922.7571938673,1455233.84462873,1470057.012585402,1484533.5962581492,1498747.5552352916,1512753.593833319,1526589.7098002376,1540283.5690650851,1553856.0571695608,1567323.4001020198
98004," ARIMA(0,1,0)(0,0,0)[12] intercept",265855.14383990096,140231.4061371404,15986.799999999997,1625541.8,1643082.8,1662541.8,1686217.8,1700214.8,1716754.8,1732591.8,1745047.8,1758733.8,1770317.8,1790166.8,1811558.8,1836314.8,1852977.8,1863047.8,1879322.8,1904261.8,1934771.8,1965578.8,1991438.8,2013797.8,2042219.8,2059636.8,2083148.8,2103504.8,2140079.8,2175743.8,2199896.8,2209838.8,2208463.8,2200274.8,2196256.8,2200677.8,2203951.8,2199079.8,-7481.056979547446,1602155.9313526351,1619696.9313526351,1639155.9313526351,1662831.9313526351,1676828.9313526351,1693368.9313526351,1709205.9313526351,1721661.9313526351,1735347.9313526351,1746931.9313526351,1766780.9313526351,1788172.9313526351,1812928.9313526351,1829591.9313526351,1839661.9313526351,1855936.9313526351,1880875.9313526351,1911385.9313526351,1942192.9313526351,1968052.9313526351,1990411.9313526351,2018833.9313526351,2036250.9313526351,2059762.9313526351,2080118.931352635,2116693.931352635,2152357.931352635,2176510.931352635,2186452.931352635,2185077.931352635,2176888.931352635,2172870.931352635,2177291.931352635,2180565.931352635,2175693.931352635,39454.65697954744,1648927.668647365,1666468.668647365,1685927.668647365,1709603.668647365,1723600.668647365,1740140.668647365,1755977.668647365,1768433.668647365,1782119.668647365,1793703.668647365,1813552.668647365,1834944.668647365,1859700.668647365,1876363.668647365,1886433.668647365,1902708.668647365,1927647.668647365,1958157.668647365,1988964.668647365,2014824.668647365,2037183.668647365,2065605.668647365,2083022.668647365,2106534.6686473647,2126890.6686473647,2163465.6686473647,2199129.6686473647,2223282.6686473647,2233224.6686473647,2231849.6686473647,2223660.6686473647,2219642.6686473647,2224063.6686473647,2227337.6686473647,2222465.6686473647,2185079.8,2201066.5999999996,2217053.3999999994,2233040.1999999993,2249026.999999999,2265013.799999999,2281000.5999999987,2296987.3999999985,2312974.1999999983,2328960.999999998,2344947.799999998,2360934.5999999978,2161693.931352635,2167993.9873910206,2176547.8873236314,2186268.4627052695,2196734.60799161,2207730.3546222043,2219127.407365849,2230842.1747820405,2242816.594057904,2255008.3900128044,2267385.6483001527,2279923.574647262,2208465.6686473647,2234139.2126089786,2257558.9126763674,2279811.937294729,2301319.392008388,2322297.2453777934,2342873.7926341486,2363132.6252179565,2383131.8059420926,2402913.609987192,2422509.951699843,2441945.6253527333
98001," ARIMA(0,1,0)(0,0,0)[12] intercept",51390.80976466847,17093.120979218827,2650.0571428571425,313442.0571428572,316514.0571428572,319928.0571428572,323604.0571428572,325978.0571428572,329109.0571428572,332662.0571428572,335202.0571428572,337827.0571428572,340186.0571428572,344159.0571428572,348371.0571428572,352744.0571428572,355454.0571428572,357075.0571428572,360254.0571428572,364981.0571428572,370118.0571428572,374581.0571428572,378064.0571428572,380978.0571428572,384350.0571428572,386121.0571428572,389197.0571428572,392312.0571428572,398138.0571428572,403951.0571428572,408097.0571428572,409512.0571428572,409212.0571428572,407817.0571428572,406993.0571428572,407502.0571428572,408104.0571428572,408032.0571428572,-1541.764316230457,309736.66805071407,312808.66805071407,316222.66805071407,319898.66805071407,322272.66805071407,325403.66805071407,328956.66805071407,331496.66805071407,334121.66805071407,336480.66805071407,340453.66805071407,344665.66805071407,349038.66805071407,351748.66805071407,353369.66805071407,356548.66805071407,361275.66805071407,366412.66805071407,370875.66805071407,374358.66805071407,377272.66805071407,380644.66805071407,382415.66805071407,385491.66805071407,388606.66805071407,394432.66805071407,400245.66805071407,404391.66805071407,405806.66805071407,405506.66805071407,404111.66805071407,403287.66805071407,403796.66805071407,404398.66805071407,404326.66805071407,6841.878601944742,317147.4462350003,320219.4462350003,323633.4462350003,327309.4462350003,329683.4462350003,332814.4462350003,336367.4462350003,338907.4462350003,341532.4462350003,343891.4462350003,347864.4462350003,352076.4462350003,356449.4462350003,359159.4462350003,360780.4462350003,363959.4462350003,368686.4462350003,373823.4462350003,378286.4462350003,381769.4462350003,384683.4462350003,388055.4462350003,389826.4462350003,392902.4462350003,396017.4462350003,401843.4462350003,407656.4462350003,411802.4462350003,413217.4462350003,412917.4462350003,411522.4462350003,410698.4462350003,411207.4462350003,411809.4462350003,411737.4462350003,406194.0571428572,408844.11428571434,411494.1714285715,414144.2285714287,416794.28571428586,419444.342857143,422094.4000000002,424744.45714285737,427394.51428571454,430044.5714285717,432694.6285714289,435344.68571428605,402488.66805071407,403603.9027777362,405076.2492591681,406733.4503871425,408508.7838211676,410368.0302829178,412290.86195145815,414264.0341269011,416278.3470092852,418327.10228025593,420405.24325051456,422508.8413754793,409899.4462350003,414084.3257936925,417912.0935979749,421555.0067557149,425079.7876074041,428520.6554313683,431897.93804854224,435224.8801588136,438510.6815621439,441762.0405768875,444984.0138923432,448180.5300530928
98006," ARIMA(0,1,0)(0,0,0)[12] intercept",136775.7377591674,89208.32130687789,8732.542857142857,837055.5428571429,845031.5428571429,854794.5428571429,866865.5428571429,875604.5428571429,884771.5428571429,894955.5428571429,901916.5428571429,910357.5428571429,919028.5428571429,932476.5428571429,946639.5428571429,960348.5428571429,969935.5428571429,978049.5428571429,989847.5428571429,1007929.5428571429,1028308.5428571429,1047485.5428571429,1062416.5428571429,1074763.5428571429,1088176.5428571429,1096945.5428571429,1106905.5428571429,1117668.5428571429,1134914.5428571429,1150722.5428571429,1161379.5428571429,1163624.5428571429,1161842.5428571429,1156973.5428571429,1155480.5428571429,1157668.5428571429,1157709.5428571429,1152885.5428571429,-5245.451303669233,823215.641775885,831191.641775885,840954.641775885,853025.641775885,861764.641775885,870931.641775885,881115.641775885,888076.641775885,896517.641775885,905188.641775885,918636.641775885,932799.641775885,946508.641775885,956095.641775885,964209.641775885,976007.641775885,994089.641775885,1014468.641775885,1033645.641775885,1048576.641775885,1060923.641775885,1074336.641775885,1083105.641775885,1093065.641775885,1103828.641775885,1121074.641775885,1136882.641775885,1147539.641775885,1149784.641775885,1148002.641775885,1143133.641775885,1141640.641775885,1143828.641775885,1143869.641775885,1139045.641775885,22710.537017954946,850895.4439384007,858871.4439384007,868634.4439384007,880705.4439384007,889444.4439384007,898611.4439384007,908795.4439384007,915756.4439384007,924197.4439384007,932868.4439384007,946316.4439384007,960479.4439384007,974188.4439384007,983775.4439384007,991889.4439384007,1003687.4439384007,1021769.4439384007,1042148.4439384007,1061325.4439384008,1076256.4439384008,1088603.4439384008,1102016.4439384008,1110785.4439384008,1120745.4439384008,1131508.4439384008,1148754.4439384008,1164562.4439384008,1175219.4439384008,1177464.4439384008,1175682.4439384008,1170813.4439384008,1169320.4439384008,1171508.4439384008,1171549.4439384008,1166725.4439384008,1142694.5428571429,1151427.0857142857,1160159.6285714286,1168892.1714285715,1177624.7142857143,1186357.2571428572,1195089.8,1203822.342857143,1212554.8857142858,1221287.4285714286,1230019.9714285715,1238752.5142857144,1128854.641775885,1131854.509903269,1136188.2167269625,1141212.3692660558,1146677.754666149,1152456.561403182,1158472.8635692578,1164677.191235109,1171035.182470512,1177521.8185632266,1184118.2124064052,1190809.6905967821,1156534.4439384008,1170999.6615253026,1184131.0404158947,1196571.9735910872,1208571.6739052797,1220257.9528825323,1231706.7364307423,1242967.4944791768,1254074.5889580594,1265053.0385796307,1275921.7304507378,1286695.3379746466
98002," ARIMA(0,1,0)(0,0,0)[12] intercept",42348.5024927862,11849.71989916969,2362.8571428571427,258641.8571428572,262015.85714285713,265381.85714285716,268466.85714285716,270621.85714285716,273261.85714285716,276464.85714285716,278621.85714285716,280885.85714285716,282958.85714285716,286131.85714285716,289717.85714285716,293088.85714285716,295305.85714285716,296549.85714285716,299258.85714285716,303113.85714285716,307499.85714285716,311294.85714285716,314472.85714285716,317274.85714285716,320443.85714285716,322148.85714285716,324250.85714285716,326850.85714285716,332074.85714285716,337569.85714285716,341462.85714285716,342763.85714285716,342683.85714285716,341562.85714285716,341185.85714285716,341682.85714285716,342356.85714285716,342317.85714285716,-1323.8446876318822,255519.30825353024,258893.30825353018,262259.3082535302,265344.3082535302,267499.3082535302,270139.3082535302,273342.3082535302,275499.3082535302,277763.3082535302,279836.3082535302,283009.3082535302,286595.3082535302,289966.3082535302,292183.3082535302,293427.3082535302,296136.3082535302,299991.3082535302,304377.3082535302,308172.3082535302,311350.3082535302,314152.3082535302,317321.3082535302,319026.3082535302,321128.3082535302,323728.3082535302,328952.3082535302,334447.3082535302,338340.3082535302,339641.3082535302,339561.3082535302,338440.3082535302,338063.3082535302,338560.3082535302,339234.3082535302,339195.3082535302,6049.5589733461675,261764.40603218414,265138.4060321841,268504.40603218414,271589.40603218414,273744.40603218414,276384.40603218414,279587.40603218414,281744.40603218414,284008.40603218414,286081.40603218414,289254.40603218414,292840.40603218414,296211.40603218414,298428.40603218414,299672.40603218414,302381.40603218414,306236.40603218414,310622.40603218414,314417.40603218414,317595.40603218414,320397.40603218414,323566.40603218414,325271.40603218414,327373.40603218414,329973.40603218414,335197.40603218414,340692.40603218414,344585.40603218414,345886.40603218414,345806.40603218414,344685.40603218414,344308.40603218414,344805.40603218414,345479.40603218414,345440.40603218414,341341.85714285716,343704.7142857143,346067.5714285715,348430.42857142864,350793.2857142858,353156.14285714296,355519.0000000001,357881.8571428573,360244.71428571444,362607.5714285716,364970.42857142875,367333.2857142859,338219.3082535302,339288.7632972551,340659.15810313943,342185.33079277474,343811.05413468427,345507.4913813976,347257.51218220004,349049.9551659388,350877.06761773356,352733.20483306935,354614.10551599023,356516.4590634218,344464.40603218414,348120.66527417355,351475.9847540035,354675.52635008254,357775.51729388733,360804.7943328883,363780.4878178002,366713.7591197757,369612.3609536953,372481.93802407384,375326.7516268673,378150.11236515
