zip_code,model_order,train_rmse,test_rmse,train_pred_2016-01-31,train_pred_2016-02-29,train_pred_2016-03-31,train_pred_2016-04-30,train_pred_2016-05-31,train_pred_2016-06-30,train_pred_2016-07-31,train_pred_2016-08-31,train_pred_2016-09-30,train_pred_2016-10-31,train_pred_2016-11-30,train_pred_2016-12-31,train_pred_2017-01-31,train_pred_2017-02-28,train_pred_2017-03-31,train_pred_2017-04-30,train_pred_2017-05-31,train_pred_2017-06-30,train_pred_2017-07-31,train_pred_2017-08-31,train_pred_2017-09-30,train_pred_2017-10-31,train_pred_2017-11-30,train_pred_2017-12-31,train_pred_2018-01-31,train_pred_2018-02-28,train_pred_2018-03-31,train_pred_2018-04-30,train_pred_2018-05-31,train_pred_2018-06-30,train_pred_2018-07-31,train_pred_2018-08-31,train_pred_2018-09-30,train_pred_2018-10-31,train_pred_2018-11-30,train_pred_2018-12-31,train_lci_2016-01-31,train_lci_2016-02-29,train_lci_2016-03-31,train_lci_2016-04-30,train_lci_2016-05-31,train_lci_2016-06-30,train_lci_2016-07-31,train_lci_2016-08-31,train_lci_2016-09-30,train_lci_2016-10-31,train_lci_2016-11-30,train_lci_2016-12-31,train_lci_2017-01-31,train_lci_2017-02-28,train_lci_2017-03-31,train_lci_2017-04-30,train_lci_2017-05-31,train_lci_2017-06-30,train_lci_2017-07-31,train_lci_2017-08-31,train_lci_2017-09-30,train_lci_2017-10-31,train_lci_2017-11-30,train_lci_2017-12-31,train_lci_2018-01-31,train_lci_2018-02-28,train_lci_2018-03-31,train_lci_2018-04-30,train_lci_2018-05-31,train_lci_2018-06-30,train_lci_2018-07-31,train_lci_2018-08-31,train_lci_2018-09-30,train_lci_2018-10-31,train_lci_2018-11-30,train_lci_2018-12-31,train_uci_2016-01-31,train_uci_2016-02-29,train_uci_2016-03-31,train_uci_2016-04-30,train_uci_2016-05-31,train_uci_2016-06-30,train_uci_2016-07-31,train_uci_2016-08-31,train_uci_2016-09-30,train_uci_2016-10-31,train_uci_2016-11-30,train_uci_2016-12-31,train_uci_2017-01-31,train_uci_2017-02-28,train_uci_2017-03-31,train_uci_2017-04-30,train_uci_2017-05-31,train_uci_2017-06-30,train_uci_2017-07-31,train_uci_2017-08-31,train_uci_2017-09-30,train_uci_2017-10-31,train_uci_2017-11-30,train_uci_2017-12-31,train_uci_2018-01-31,train_uci_2018-02-28,train_uci_2018-03-31,train_uci_2018-04-30,train_uci_2018-05-31,train_uci_2018-06-30,train_uci_2018-07-31,train_uci_2018-08-31,train_uci_2018-09-30,train_uci_2018-10-31,train_uci_2018-11-30,train_uci_2018-12-31,test_pred_2019-01-31,test_pred_2019-02-28,test_pred_2019-03-31,test_pred_2019-04-30,test_pred_2019-05-31,test_pred_2019-06-30,test_pred_2019-07-31,test_pred_2019-08-31,test_pred_2019-09-30,test_pred_2019-10-31,test_pred_2019-11-30,test_pred_2019-12-31,test_lci_2019-01-31,test_lci_2019-02-28,test_lci_2019-03-31,test_lci_2019-04-30,test_lci_2019-05-31,test_lci_2019-06-30,test_lci_2019-07-31,test_lci_2019-08-31,test_lci_2019-09-30,test_lci_2019-10-31,test_lci_2019-11-30,test_lci_2019-12-31,test_uci_2019-01-31,test_uci_2019-02-28,test_uci_2019-03-31,test_uci_2019-04-30,test_uci_2019-05-31,test_uci_2019-06-30,test_uci_2019-07-31,test_uci_2019-08-31,test_uci_2019-09-30,test_uci_2019-10-31,test_uci_2019-11-30,test_uci_2019-12-31
53017," ARIMA(0,1,0)(0,0,0)[12] intercept",55522.65406420458,2036.090207562851,1107.9999999999998,335262.0,336071.0,335519.0,334901.0,335240.0,337381.0,337915.0,338189.0,338715.0,339454.0,340853.0,343613.0,346209.0,347778.0,348077.0,348327.0,348432.0,348825.0,350551.0,352210.0,353314.0,352477.0,351482.0,350721.0,351398.0,352496.0,355211.0,358880.0,362413.0,362804.0,362286.0,362936.0,365066.0,368336.0,371131.0,-2119.4602612881527,332697.81574033765,333506.81574033765,332954.81574033765,332336.81574033765,332675.81574033765,334816.81574033765,335350.81574033765,335624.81574033765,336150.81574033765,336889.81574033765,338288.81574033765,341048.81574033765,343644.81574033765,345213.81574033765,345512.81574033765,345762.81574033765,345867.81574033765,346260.81574033765,347986.81574033765,349645.81574033765,350749.81574033765,349912.81574033765,348917.81574033765,348156.81574033765,348833.81574033765,349931.81574033765,352646.81574033765,356315.81574033765,359848.81574033765,360239.81574033765,359721.81574033765,360371.81574033765,362501.81574033765,365771.81574033765,368566.81574033765,4335.460261288153,337826.18425966235,338635.18425966235,338083.18425966235,337465.18425966235,337804.18425966235,339945.18425966235,340479.18425966235,340753.18425966235,341279.18425966235,342018.18425966235,343417.18425966235,346177.18425966235,348773.18425966235,350342.18425966235,350641.18425966235,350891.18425966235,350996.18425966235,351389.18425966235,353115.18425966235,354774.18425966235,355878.18425966235,355041.18425966235,354046.18425966235,353285.18425966235,353962.18425966235,355060.18425966235,357775.18425966235,361444.18425966235,364977.18425966235,365368.18425966235,364850.18425966235,365500.18425966235,367630.18425966235,370900.18425966235,373695.18425966235,374042.0,375150.0,376258.0,377366.0,378474.0,379582.0,380690.0,381798.0,382906.0,384014.0,385122.0,386230.0,371477.81574033765,371523.6958435619,371816.70258229645,372237.6314806753,372740.30968856,373301.05695735104,373905.8061331872,374545.3916871238,375213.447221013,375905.3373991144,376617.5629173648,377347.4051645929,376606.18425966235,378776.3041564381,380699.29741770355,382494.3685193247,384207.69031144,385862.94304264896,387474.1938668128,389050.6083128762,390598.552778987,392122.6626008856,393626.4370826352,395112.5948354071
53013," ARIMA(0,1,0)(0,0,0)[12] intercept",29545.5624267621,3556.1119766981305,728.9142857142856,178664.91428571427,179904.91428571427,180327.91428571427,180269.91428571427,180048.91428571427,180832.91428571427,181049.91428571427,181101.91428571427,180604.91428571427,181473.91428571427,182850.91428571427,184640.91428571427,185465.91428571427,186088.91428571427,187318.91428571427,188839.91428571427,191094.91428571427,192412.91428571427,193307.91428571427,193667.91428571427,194939.91428571427,195801.91428571427,195676.91428571427,195493.91428571427,195663.91428571427,197162.91428571427,199221.91428571427,201907.91428571427,203877.91428571427,204075.91428571427,204527.91428571427,204289.91428571427,204554.91428571427,203921.91428571427,204256.91428571427,-1804.9593445347623,177058.97009198356,178298.97009198356,178721.97009198356,178663.97009198356,178442.97009198356,179226.97009198356,179443.97009198356,179495.97009198356,178998.97009198356,179867.97009198356,181244.97009198356,183034.97009198356,183859.97009198356,184482.97009198356,185712.97009198356,187233.97009198356,189488.97009198356,190806.97009198356,191701.97009198356,192061.97009198356,193333.97009198356,194195.97009198356,194070.97009198356,193887.97009198356,194057.97009198356,195556.97009198356,197615.97009198356,200301.97009198356,202271.97009198356,202469.97009198356,202921.97009198356,202683.97009198356,202948.97009198356,202315.97009198356,202650.97009198356,3262.7879159633335,180270.85847944499,181510.85847944499,181933.85847944499,181875.85847944499,181654.85847944499,182438.85847944499,182655.85847944499,182707.85847944499,182210.85847944499,183079.85847944499,184456.85847944499,186246.85847944499,187071.85847944499,187694.85847944499,188924.85847944499,190445.85847944499,192700.85847944499,194018.85847944499,194913.85847944499,195273.85847944499,196545.85847944499,197407.85847944499,197282.85847944499,197099.85847944499,197269.85847944499,198768.85847944499,200827.85847944499,203513.85847944499,205483.85847944499,205681.85847944499,206133.85847944499,205895.85847944499,206160.85847944499,205527.85847944499,205862.85847944499,204176.91428571427,204905.82857142854,205634.74285714282,206363.6571428571,207092.57142857136,207821.48571428563,208550.3999999999,209279.31428571418,210008.22857142845,210737.14285714272,211466.057142857,212194.97142857127,202570.97009198356,202634.68051224024,202853.165919481,203151.7687553957,203501.57104331843,203887.74188426006,204301.4710439403,204737.0181673376,205190.39599023634,205658.701409831,206139.7428180024,206631.81755324765,205782.85847944499,207176.97663061685,208416.31979480464,209575.5455303185,210683.5718138243,211755.2295443112,212799.3289560595,213821.61040409075,214826.06115262056,215815.58430445445,216792.37146771158,217758.1253038949
53011," ARIMA(0,1,0)(0,0,0)[12] intercept",26607.366413857882,5121.392838256221,1052.4285714285713,161680.42857142858,162808.42857142858,163848.42857142858,163996.42857142858,164283.42857142858,165487.42857142858,166473.42857142858,166854.42857142858,165909.42857142858,165445.42857142858,165714.42857142858,166939.42857142858,167347.42857142858,168069.42857142858,169331.42857142858,171232.42857142858,172052.42857142858,172303.42857142858,172549.42857142858,173964.42857142858,176146.42857142858,178210.42857142858,179977.42857142858,182104.42857142858,184020.42857142858,185859.42857142858,187077.42857142858,189140.42857142858,191368.42857142858,193170.42857142858,194931.42857142858,195843.42857142858,197310.42857142858,197754.42857142858,198260.42857142858,-1446.7503197146082,160129.80408134675,161257.80408134675,162297.80408134675,162445.80408134675,162732.80408134675,163936.80408134675,164922.80408134675,165303.80408134675,164358.80408134675,163894.80408134675,164163.80408134675,165388.80408134675,165796.80408134675,166518.80408134675,167780.80408134675,169681.80408134675,170501.80408134675,170752.80408134675,170998.80408134675,172413.80408134675,174595.80408134675,176659.80408134675,178426.80408134675,180553.80408134675,182469.80408134675,184308.80408134675,185526.80408134675,187589.80408134675,189817.80408134675,191619.80408134675,193380.80408134675,194292.80408134675,195759.80408134675,196203.80408134675,196709.80408134675,3551.607462571751,163231.0530615104,164359.0530615104,165399.0530615104,165547.0530615104,165834.0530615104,167038.0530615104,168024.0530615104,168405.0530615104,167460.0530615104,166996.0530615104,167265.0530615104,168490.0530615104,168898.0530615104,169620.0530615104,170882.0530615104,172783.0530615104,173603.0530615104,173854.0530615104,174100.0530615104,175515.0530615104,177697.0530615104,179761.0530615104,181528.0530615104,183655.0530615104,185571.0530615104,187410.0530615104,188628.0530615104,190691.0530615104,192919.0530615104,194721.0530615104,196482.0530615104,197394.0530615104,198861.0530615104,199305.0530615104,199811.0530615104,198515.42857142858,199567.85714285716,200620.28571428574,201672.71428571432,202725.1428571429,203777.57142857148,204830.00000000006,205882.42857142864,206934.85714285722,207987.2857142858,209039.71428571438,210092.14285714296,196964.80408134675,197374.94295883557,197934.52531400343,198571.46530555066,199257.84108974398,199979.33264520764,200727.4332223972,201496.60020338546,202282.98367261174,203083.78052999004,203896.8746613768,204720.62205657834,200066.0530615104,201760.77132687875,203306.04611456805,204773.96326587797,206192.44462454182,207575.8102119353,208932.56677760291,210268.25693947182,211586.7306131027,212890.79089858156,214182.55391005197,215463.66365770757
53002," ARIMA(0,1,0)(0,0,0)[12] intercept",35661.56826326406,2023.9942141497065,670.9142857142856,215209.91428571433,213882.91428571427,211856.91428571427,211595.91428571427,211791.91428571427,212988.91428571427,214526.91428571427,215952.91428571427,217506.91428571427,217970.91428571427,218952.91428571427,220572.91428571427,222646.91428571427,223970.91428571427,223763.91428571427,223317.91428571427,223266.91428571427,223866.91428571427,224509.91428571427,224764.91428571427,224616.91428571427,224581.91428571427,223822.91428571427,223566.91428571427,222970.91428571427,222233.91428571427,223509.91428571427,226205.91428571427,228967.91428571427,230401.91428571427,230741.91428571427,233072.91428571427,233993.91428571427,235447.91428571427,236954.91428571427,-2261.5584397267507,213028.6445947404,211701.64459474036,209675.64459474036,209414.64459474036,209610.64459474036,210807.64459474036,212345.64459474036,213771.64459474036,215325.64459474036,215789.64459474036,216771.64459474036,218391.64459474036,220465.64459474036,221789.64459474036,221582.64459474036,221136.64459474036,221085.64459474036,221685.64459474036,222328.64459474036,222583.64459474036,222435.64459474036,222400.64459474036,221641.64459474036,221385.64459474036,220789.64459474036,220052.64459474036,221328.64459474036,224024.64459474036,226786.64459474036,228220.64459474036,228560.64459474036,230891.64459474036,231812.64459474036,233266.64459474036,234773.64459474036,3603.387011155322,217391.18397668825,216064.1839766882,214038.1839766882,213777.1839766882,213973.1839766882,215170.1839766882,216708.1839766882,218134.1839766882,219688.1839766882,220152.1839766882,221134.1839766882,222754.1839766882,224828.1839766882,226152.1839766882,225945.1839766882,225499.1839766882,225448.1839766882,226048.1839766882,226691.1839766882,226946.1839766882,226798.1839766882,226763.1839766882,226004.1839766882,225748.1839766882,225152.1839766882,224415.1839766882,225691.1839766882,228387.1839766882,231149.1839766882,232583.1839766882,232923.1839766882,235254.1839766882,236175.1839766882,237629.1839766882,239136.1839766882,238691.91428571427,239362.82857142854,240033.74285714282,240704.6571428571,241375.57142857136,242046.48571428563,242717.3999999999,243388.31428571418,244059.22857142845,244730.14285714272,245401.057142857,246071.97142857127,236510.64459474036,236278.04739125987,236255.67292736593,236342.11776090926,236498.1041222937,236703.4879800012,236946.30285532022,237218.7519253768,237515.4194985067,237832.3624425735,238166.60401132202,238515.8315690175,240873.1839766882,242447.60975159722,243811.8127869197,245067.19652480492,246253.03873484902,247389.48344857007,248488.4971446796,249557.87664605156,250603.0376443502,251627.92327171194,252635.51027439197,253628.11128812504
53020," ARIMA(0,1,0)(0,0,0)[12] intercept",33836.15900195262,2960.455533871021,1003.3714285714285,204920.37142857144,206984.37142857144,208083.37142857144,208054.37142857144,208327.37142857144,210431.37142857144,210830.37142857144,210898.37142857144,209686.37142857144,210258.37142857144,211403.37142857144,212210.37142857144,212725.37142857144,213074.37142857144,214991.37142857144,217249.37142857144,219384.37142857144,220934.37142857144,224040.37142857144,226389.37142857144,228240.37142857144,228875.37142857144,228960.37142857144,228982.37142857144,228415.37142857144,228771.37142857144,229589.37142857144,232533.37142857144,235466.37142857144,237041.37142857144,237591.37142857144,236711.37142857144,236971.37142857144,236583.37142857144,238183.37142857144,-1902.6479287282527,202774.79698700426,204838.79698700426,205937.79698700426,205908.79698700426,206181.79698700426,208285.79698700426,208684.79698700426,208752.79698700426,207540.79698700426,208112.79698700426,209257.79698700426,210064.79698700426,210579.79698700426,210928.79698700426,212845.79698700426,215103.79698700426,217238.79698700426,218788.79698700426,221894.79698700426,224243.79698700426,226094.79698700426,226729.79698700426,226814.79698700426,226836.79698700426,226269.79698700426,226625.79698700426,227443.79698700426,230387.79698700426,233320.79698700426,234895.79698700426,235445.79698700426,234565.79698700426,234825.79698700426,234437.79698700426,236037.79698700426,3909.39078587111,207065.94587013862,209129.94587013862,210228.94587013862,210199.94587013862,210472.94587013862,212576.94587013862,212975.94587013862,213043.94587013862,211831.94587013862,212403.94587013862,213548.94587013862,214355.94587013862,214870.94587013862,215219.94587013862,217136.94587013862,219394.94587013862,221529.94587013862,223079.94587013862,226185.94587013862,228534.94587013862,230385.94587013862,231020.94587013862,231105.94587013862,231127.94587013862,230560.94587013862,230916.94587013862,231734.94587013862,234678.94587013862,237611.94587013862,239186.94587013862,239736.94587013862,238856.94587013862,239116.94587013862,238728.94587013862,240328.94587013862,240038.37142857144,241041.74285714288,242045.1142857143,243048.48571428575,244051.8571428572,245055.22857142863,246058.60000000006,247061.9714285715,248065.34285714294,249068.71428571438,250072.08571428581,251075.45714285725,237892.79698700426,238007.44238279748,238328.87034149872,238757.3368311514,239254.2068407268,239799.66598443207,240381.94360823702,240993.37047988072,241628.6195324414,242283.81216091823,242956.02033183115,243642.9692544261,242183.94587013862,244076.04333148827,245761.3582299299,247339.6345974201,248849.50744498757,250310.79115842519,251735.2563917631,253130.5723772623,254502.06618184448,255853.61641051053,257188.15109674048,258507.9450312884
53001," ARIMA(0,1,0)(0,0,0)[12] intercept",24847.780247553823,2995.637462681792,977.8571428571427,150971.85714285713,152664.85714285713,154117.85714285713,154427.85714285713,154318.85714285713,155039.85714285713,155647.85714285713,156473.85714285713,156036.85714285713,156404.85714285713,157176.85714285713,158645.85714285713,158891.85714285713,158681.85714285713,159253.85714285713,160835.85714285713,162352.85714285713,162993.85714285713,163886.85714285713,165255.85714285713,167564.85714285713,169506.85714285713,170840.85714285713,172113.85714285713,172903.85714285713,174468.85714285713,175622.85714285713,177747.85714285713,180187.85714285713,182231.85714285713,184233.85714285713,184138.85714285713,184797.85714285713,184449.85714285713,184950.85714285713,-1501.9374875745702,149452.67229945466,151145.67229945466,152598.67229945466,152908.67229945466,152799.67229945466,153520.67229945466,154128.67229945466,154954.67229945466,154517.67229945466,154885.67229945466,155657.67229945466,157126.67229945466,157372.67229945466,157162.67229945466,157734.67229945466,159316.67229945466,160833.67229945466,161474.67229945466,162367.67229945466,163736.67229945466,166045.67229945466,167987.67229945466,169321.67229945466,170594.67229945466,171384.67229945466,172949.67229945466,174103.67229945466,176228.67229945466,178668.67229945466,180712.67229945466,182714.67229945466,182619.67229945466,183278.67229945466,182930.67229945466,183431.67229945466,3457.6517732888556,152491.0419862596,154184.0419862596,155637.0419862596,155947.0419862596,155838.0419862596,156559.0419862596,157167.0419862596,157993.0419862596,157556.0419862596,157924.0419862596,158696.0419862596,160165.0419862596,160411.0419862596,160201.0419862596,160773.0419862596,162355.0419862596,163872.0419862596,164513.0419862596,165406.0419862596,166775.0419862596,169084.0419862596,171026.0419862596,172360.0419862596,173633.0419862596,174423.0419862596,175988.0419862596,177142.0419862596,179267.0419862596,181707.0419862596,183751.0419862596,185753.0419862596,185658.0419862596,186317.0419862596,185969.0419862596,186470.0419862596,185196.85714285713,186174.71428571426,187152.5714285714,188130.42857142852,189108.28571428565,190086.14285714278,191063.9999999999,192041.85714285704,193019.71428571417,193997.5714285713,194975.42857142843,195953.28571428556,183677.67229945466,184026.26247642282,184521.2660937097,185092.05888462355,185711.28513405033,186364.91516583672,187044.61470881835,187744.95352427417,188462.15975550673,189193.48713661323,189936.86245866757,190690.67504456223,186716.0419862596,188323.1660950057,189783.87676343307,191168.7982582335,192505.28629452098,193807.37054844885,195083.38529118148,196338.76076143992,197577.26881592162,198801.65572052938,200013.9946841893,201215.8963840089
53015," ARIMA(0,1,0)(0,0,0)[12] intercept",23514.869807850977,1123.1950892446887,866.1714285714284,142724.17142857143,143211.17142857143,143583.17142857143,144013.17142857143,144496.17142857143,145422.17142857143,146531.17142857143,146978.17142857143,147094.17142857143,147142.17142857143,147728.17142857143,148431.17142857143,149420.17142857143,150477.17142857143,151192.17142857143,151701.17142857143,152571.17142857143,153783.17142857143,155374.17142857143,158362.17142857143,161741.17142857143,164529.17142857143,165281.17142857143,165595.17142857143,166032.17142857143,166579.17142857143,167482.17142857143,168131.17142857143,170642.17142857143,172515.17142857143,173653.17142857143,173247.17142857143,172684.17142857143,172806.17142857143,172797.17142857143,-1752.3528401459466,140987.73527219603,141474.73527219603,141846.73527219603,142276.73527219603,142759.73527219603,143685.73527219603,144794.73527219603,145241.73527219603,145357.73527219603,145405.73527219603,145991.73527219603,146694.73527219603,147683.73527219603,148740.73527219603,149455.73527219603,149964.73527219603,150834.73527219603,152046.73527219603,153637.73527219603,156625.73527219603,160004.73527219603,162792.73527219603,163544.73527219603,163858.73527219603,164295.73527219603,164842.73527219603,165745.73527219603,166394.73527219603,168905.73527219603,170778.73527219603,171916.73527219603,171510.73527219603,170947.73527219603,171069.73527219603,171060.73527219603,3484.6956972888033,144460.60758494682,144947.60758494682,145319.60758494682,145749.60758494682,146232.60758494682,147158.60758494682,148267.60758494682,148714.60758494682,148830.60758494682,148878.60758494682,149464.60758494682,150167.60758494682,151156.60758494682,152213.60758494682,152928.60758494682,153437.60758494682,154307.60758494682,155519.60758494682,157110.60758494682,160098.60758494682,163477.60758494682,166265.60758494682,167017.60758494682,167331.60758494682,167768.60758494682,168315.60758494682,169218.60758494682,169867.60758494682,172378.60758494682,174251.60758494682,175389.60758494682,174983.60758494682,174420.60758494682,174542.60758494682,174533.60758494682,173040.17142857143,173906.34285714285,174772.51428571428,175638.6857142857,176504.85714285713,177371.02857142856,178237.19999999998,179103.3714285714,179969.54285714283,180835.71428571426,181701.8857142857,182568.0571428571,171303.73527219603,171450.65129460176,171764.91863877248,172165.81340153492,172622.0678586133,173117.6460173892,173643.02176268984,174191.98830348923,174760.23438801666,175344.62102009973,175942.77851118162,176552.86584897354,174776.60758494682,176362.03441968394,177780.10993265608,179111.5580270365,180387.64642710096,181624.41112546792,182831.37823731013,184014.7545536536,185178.851326269,186326.8075513288,187460.99291738975,188583.2484367407
53014," ARIMA(0,1,0)(0,0,0)[12] intercept",26455.568307958823,869.9034132012667,920.742857142857,160541.74285714288,160836.74285714285,162398.74285714285,163343.74285714285,165491.74285714285,166789.74285714285,168428.74285714285,169750.74285714285,171659.74285714285,173272.74285714285,175041.74285714285,176133.74285714285,176619.74285714285,176826.74285714285,176823.74285714285,177650.74285714285,178627.74285714285,179597.74285714285,180702.74285714285,181729.74285714285,182513.74285714285,182957.74285714285,183385.74285714285,184582.74285714285,185072.74285714285,186296.74285714285,187116.74285714285,188594.74285714285,188924.74285714285,189370.74285714285,189422.74285714285,189534.74285714285,189809.74285714285,190824.74285714285,191823.74285714285,-1314.5439204465886,159467.011189529,159762.01118952897,161324.01118952897,162269.01118952897,164417.01118952897,165715.01118952897,167354.01118952897,168676.01118952897,170585.01118952897,172198.01118952897,173967.01118952897,175059.01118952897,175545.01118952897,175752.01118952897,175749.01118952897,176576.01118952897,177553.01118952897,178523.01118952897,179628.01118952897,180655.01118952897,181439.01118952897,181883.01118952897,182311.01118952897,183508.01118952897,183998.01118952897,185222.01118952897,186042.01118952897,187520.01118952897,187850.01118952897,188296.01118952897,188348.01118952897,188460.01118952897,188735.01118952897,189750.01118952897,190749.01118952897,3156.029634732303,161616.47452475675,161911.47452475672,163473.47452475672,164418.47452475672,166566.47452475672,167864.47452475672,169503.47452475672,170825.47452475672,172734.47452475672,174347.47452475672,176116.47452475672,177208.47452475672,177694.47452475672,177901.47452475672,177898.47452475672,178725.47452475672,179702.47452475672,180672.47452475672,181777.47452475672,182804.47452475672,183588.47452475672,184032.47452475672,184460.47452475672,185657.47452475672,186147.47452475672,187371.47452475672,188191.47452475672,189669.47452475672,189999.47452475672,190445.47452475672,190497.47452475672,190609.47452475672,190884.47452475672,191899.47452475672,192898.47452475672,192767.74285714285,193688.4857142857,194609.22857142854,195529.97142857139,196450.71428571423,197371.45714285708,198292.19999999992,199212.94285714277,200133.68571428562,201054.42857142846,201975.1714285713,202895.91428571416,191693.01118952897,192168.58561403432,192747.7387186181,193380.50809334364,194047.54121935793,194738.91294679264,195448.7272813679,196173.14265664,196909.49071144403,197655.82862825762,198410.68973678316,199172.93458009328,193842.47452475672,195208.38581453706,196470.718424239,197679.43476379913,198853.88735207054,200004.00133892152,201135.67271863195,202252.74305764554,203357.8807171272,204453.0285145993,205539.65312035946,206618.89399133503
53019," ARIMA(0,1,0)(0,0,0)[12] intercept",26388.975851599113,1337.4877216042369,674.4571428571428,159606.45714285717,159567.45714285714,159585.45714285714,159513.45714285714,158370.45714285714,158260.45714285714,158567.45714285714,159900.45714285714,161075.45714285714,161779.45714285714,162618.45714285714,163678.45714285714,165362.45714285714,167597.45714285714,169255.45714285714,170420.45714285714,171644.45714285714,172833.45714285714,174065.45714285714,174839.45714285714,175952.45714285714,177339.45714285714,178329.45714285714,179426.45714285714,179605.45714285714,179865.45714285714,179493.45714285714,179892.45714285714,179823.45714285714,180915.45714285714,182628.45714285714,184205.45714285714,185509.45714285714,184700.45714285714,184398.45714285714,-1873.7071591877686,157978.0583926974,157939.05839269736,157957.05839269736,157885.05839269736,156742.05839269736,156632.05839269736,156939.05839269736,158272.05839269736,159447.05839269736,160151.05839269736,160990.05839269736,162050.05839269736,163734.05839269736,165969.05839269736,167627.05839269736,168792.05839269736,170016.05839269736,171205.05839269736,172437.05839269736,173211.05839269736,174324.05839269736,175711.05839269736,176701.05839269736,177798.05839269736,177977.05839269736,178237.05839269736,177865.05839269736,178264.05839269736,178195.05839269736,179287.05839269736,181000.05839269736,182577.05839269736,183881.05839269736,183072.05839269736,182770.05839269736,3222.6214449020545,161234.85589301694,161195.8558930169,161213.8558930169,161141.8558930169,159998.8558930169,159888.8558930169,160195.8558930169,161528.8558930169,162703.8558930169,163407.8558930169,164246.8558930169,165306.8558930169,166990.8558930169,169225.8558930169,170883.8558930169,172048.8558930169,173272.8558930169,174461.8558930169,175693.8558930169,176467.8558930169,177580.8558930169,178967.8558930169,179957.8558930169,181054.8558930169,181233.8558930169,181493.8558930169,181121.8558930169,181520.8558930169,181451.8558930169,182543.8558930169,184256.8558930169,185833.8558930169,187137.8558930169,186328.8558930169,186026.8558930169,183212.45714285714,183886.91428571427,184561.3714285714,185235.82857142854,185910.28571428568,186584.74285714282,187259.19999999995,187933.6571428571,188608.11428571423,189282.57142857136,189957.0285714285,190631.48571428563,181584.05839269736,181584.01068828691,181740.90205831302,181979.031071109,182269.07541445273,182595.9968214655,182950.8618718288,183327.8499480024,183722.9180352349,184133.122439095,184556.24090806485,184990.54697376885,184840.8558930169,186189.81788314163,187381.8407988298,188492.6260717481,189551.49601411863,190573.48889282014,191567.53812817112,192539.46433771178,193493.31053619354,194432.02041804773,195357.81623479215,196272.4244548024
53007," ARIMA(0,1,0)(0,0,0)[12] intercept",27925.354487076595,2854.9419550432576,685.8,168850.8,168266.8,168154.8,169179.8,170970.8,172157.8,172868.8,174179.8,175488.8,176247.8,176695.8,177811.8,179397.8,181122.8,182394.8,183439.8,184151.8,185518.8,187061.8,188564.8,189426.8,190350.8,191514.8,192339.8,193663.8,194343.8,194096.8,192735.8,191559.8,191745.8,193011.8,193536.8,194306.8,194497.8,194249.8,-1868.2369592795164,167213.22680509492,166629.22680509492,166517.22680509492,167542.22680509492,169333.22680509492,170520.22680509492,171231.22680509492,172542.22680509492,173851.22680509492,174610.22680509492,175058.22680509492,176174.22680509492,177760.22680509492,179485.22680509492,180757.22680509492,181802.22680509492,182514.22680509492,183881.22680509492,185424.22680509492,186927.22680509492,187789.22680509492,188713.22680509492,189877.22680509492,190702.22680509492,192026.22680509492,192706.22680509492,192459.22680509492,191098.22680509492,189922.22680509492,190108.22680509492,191374.22680509492,191899.22680509492,192669.22680509492,192860.22680509492,192612.22680509492,3239.836959279516,170488.37319490506,169904.37319490506,169792.37319490506,170817.37319490506,172608.37319490506,173795.37319490506,174506.37319490506,175817.37319490506,177126.37319490506,177885.37319490506,178333.37319490506,179449.37319490506,181035.37319490506,182760.37319490506,184032.37319490506,185077.37319490506,185789.37319490506,187156.37319490506,188699.37319490506,190202.37319490506,191064.37319490506,191988.37319490506,193152.37319490506,193977.37319490506,195301.37319490506,195981.37319490506,195734.37319490506,194373.37319490506,193197.37319490506,193383.37319490506,194649.37319490506,195174.37319490506,195944.37319490506,196135.37319490506,195887.37319490506,192853.8,193539.59999999998,194225.39999999997,194911.19999999995,195596.99999999994,196282.79999999993,196968.59999999992,197654.3999999999,198340.1999999999,199025.99999999988,199711.79999999987,200397.59999999986,191216.22680509492,191223.72177838656,191389.04002531146,191636.0536101898,191935.27501806067,192271.58125602326,192635.98857261558,193022.6435567731,193427.48041528466,193847.53886886098,194280.58414575618,194724.8800506229,194491.37319490506,195855.4782216134,197061.75997468847,198186.34638981012,199258.72498193922,200294.0187439766,201301.21142738426,202286.1564432267,203252.91958471513,204204.46113113879,205143.01585424357,206070.31994937683
