zip_code,model_order,train_rmse,test_rmse,train_pred_2016-01-31,train_pred_2016-02-29,train_pred_2016-03-31,train_pred_2016-04-30,train_pred_2016-05-31,train_pred_2016-06-30,train_pred_2016-07-31,train_pred_2016-08-31,train_pred_2016-09-30,train_pred_2016-10-31,train_pred_2016-11-30,train_pred_2016-12-31,train_pred_2017-01-31,train_pred_2017-02-28,train_pred_2017-03-31,train_pred_2017-04-30,train_pred_2017-05-31,train_pred_2017-06-30,train_pred_2017-07-31,train_pred_2017-08-31,train_pred_2017-09-30,train_pred_2017-10-31,train_pred_2017-11-30,train_pred_2017-12-31,train_pred_2018-01-31,train_pred_2018-02-28,train_pred_2018-03-31,train_pred_2018-04-30,train_pred_2018-05-31,train_pred_2018-06-30,train_pred_2018-07-31,train_pred_2018-08-31,train_pred_2018-09-30,train_pred_2018-10-31,train_pred_2018-11-30,train_pred_2018-12-31,train_lci_2016-01-31,train_lci_2016-02-29,train_lci_2016-03-31,train_lci_2016-04-30,train_lci_2016-05-31,train_lci_2016-06-30,train_lci_2016-07-31,train_lci_2016-08-31,train_lci_2016-09-30,train_lci_2016-10-31,train_lci_2016-11-30,train_lci_2016-12-31,train_lci_2017-01-31,train_lci_2017-02-28,train_lci_2017-03-31,train_lci_2017-04-30,train_lci_2017-05-31,train_lci_2017-06-30,train_lci_2017-07-31,train_lci_2017-08-31,train_lci_2017-09-30,train_lci_2017-10-31,train_lci_2017-11-30,train_lci_2017-12-31,train_lci_2018-01-31,train_lci_2018-02-28,train_lci_2018-03-31,train_lci_2018-04-30,train_lci_2018-05-31,train_lci_2018-06-30,train_lci_2018-07-31,train_lci_2018-08-31,train_lci_2018-09-30,train_lci_2018-10-31,train_lci_2018-11-30,train_lci_2018-12-31,train_uci_2016-01-31,train_uci_2016-02-29,train_uci_2016-03-31,train_uci_2016-04-30,train_uci_2016-05-31,train_uci_2016-06-30,train_uci_2016-07-31,train_uci_2016-08-31,train_uci_2016-09-30,train_uci_2016-10-31,train_uci_2016-11-30,train_uci_2016-12-31,train_uci_2017-01-31,train_uci_2017-02-28,train_uci_2017-03-31,train_uci_2017-04-30,train_uci_2017-05-31,train_uci_2017-06-30,train_uci_2017-07-31,train_uci_2017-08-31,train_uci_2017-09-30,train_uci_2017-10-31,train_uci_2017-11-30,train_uci_2017-12-31,train_uci_2018-01-31,train_uci_2018-02-28,train_uci_2018-03-31,train_uci_2018-04-30,train_uci_2018-05-31,train_uci_2018-06-30,train_uci_2018-07-31,train_uci_2018-08-31,train_uci_2018-09-30,train_uci_2018-10-31,train_uci_2018-11-30,train_uci_2018-12-31,test_pred_2019-01-31,test_pred_2019-02-28,test_pred_2019-03-31,test_pred_2019-04-30,test_pred_2019-05-31,test_pred_2019-06-30,test_pred_2019-07-31,test_pred_2019-08-31,test_pred_2019-09-30,test_pred_2019-10-31,test_pred_2019-11-30,test_pred_2019-12-31,test_lci_2019-01-31,test_lci_2019-02-28,test_lci_2019-03-31,test_lci_2019-04-30,test_lci_2019-05-31,test_lci_2019-06-30,test_lci_2019-07-31,test_lci_2019-08-31,test_lci_2019-09-30,test_lci_2019-10-31,test_lci_2019-11-30,test_lci_2019-12-31,test_uci_2019-01-31,test_uci_2019-02-28,test_uci_2019-03-31,test_uci_2019-04-30,test_uci_2019-05-31,test_uci_2019-06-30,test_uci_2019-07-31,test_uci_2019-08-31,test_uci_2019-09-30,test_uci_2019-10-31,test_uci_2019-11-30,test_uci_2019-12-31
24736," ARIMA(0,2,0)(0,0,0)[12]          ",3200.4438512008483,1722.9504974510085,0.0,25850.011244782574,17475.000000000004,17494.999999999996,17661.0,17577.0,17718.0,17588.0,17543.0,17522.0,17813.999999999996,18000.000000000004,17853.0,17841.0,17966.0,18217.0,18157.0,18195.0,18350.0,18583.0,18797.0,19162.999999999996,18861.000000000004,18893.0,18977.0,19290.0,19252.0,19193.0,18975.0,18837.0,18539.000000000004,18586.999999999996,18752.0,18566.0,18160.000000000007,17720.999999999996,-2779.169808215056,24445.817764765037,17272.84367062627,17292.843670626262,17458.843670626266,17374.843670626266,17515.843670626266,17385.843670626266,17340.843670626266,17319.843670626266,17611.843670626262,17797.84367062627,17650.843670626266,17638.843670626266,17763.843670626266,18014.843670626266,17954.843670626266,17992.843670626266,18147.843670626266,18380.843670626266,18594.843670626266,18960.843670626262,18658.84367062627,18690.843670626266,18774.843670626266,19087.843670626266,19049.843670626266,18990.843670626266,18772.843670626266,18634.843670626266,18336.84367062627,18384.843670626262,18549.843670626266,18363.843670626266,17957.843670626273,17518.843670626262,2779.169808215056,27254.20472480011,17677.156329373738,17697.15632937373,17863.156329373734,17779.156329373734,17920.156329373734,17790.156329373734,17745.156329373734,17724.156329373734,18016.15632937373,18202.156329373738,18055.156329373734,18043.156329373734,18168.156329373734,18419.156329373734,18359.156329373734,18397.156329373734,18552.156329373734,18785.156329373734,18999.156329373734,19365.15632937373,19063.156329373738,19095.156329373734,19179.156329373734,19492.156329373734,19454.156329373734,19395.156329373734,19177.156329373734,19039.156329373734,18741.156329373738,18789.15632937373,18954.156329373734,18768.156329373734,18362.15632937374,17923.15632937373,17646.0,17439.0,17232.0,17025.0,16818.0,16611.0,16404.0,16196.999999999998,15989.999999999996,15782.999999999995,15575.999999999993,15368.99999999999,17443.843670626266,16986.964705438495,16475.600276915666,15917.744182595621,15318.768535941708,14682.5515259584,14012.054053532862,13309.6300848011,12577.208367161791,11816.406388378484,11028.605818497163,10215.004658635215,17848.156329373734,17891.035294561505,17988.399723084334,18132.255817404377,18317.23146405829,18539.4484740416,18795.945946467138,19084.3699151989,19402.7916328382,19749.593611621505,20123.394181502823,20522.995341364767
24822," ARIMA(0,1,0)(0,0,0)[12]          ",9426.957346119454,2299.463959273987,0.0,56474.000000000015,56285.0,56094.0,55965.0,55815.0,55662.0,55123.0,54610.0,53981.0,54053.0,54018.0,54364.0,54658.0,55105.0,55374.0,55333.0,55319.0,55378.0,55959.0,56326.0,57051.0,58086.0,59411.0,60327.0,59977.0,59466.0,59084.0,59300.0,59387.0,59256.0,59057.0,58845.0,58717.0,57511.0,56599.0,-2220.1660599404977,55431.08173234066,55242.081732340645,55051.081732340645,54922.081732340645,54772.081732340645,54619.081732340645,54080.081732340645,53567.081732340645,52938.081732340645,53010.081732340645,52975.081732340645,53321.081732340645,53615.081732340645,54062.081732340645,54331.081732340645,54290.081732340645,54276.081732340645,54335.081732340645,54916.081732340645,55283.081732340645,56008.081732340645,57043.081732340645,58368.081732340645,59284.081732340645,58934.081732340645,58423.081732340645,58041.081732340645,58257.081732340645,58344.081732340645,58213.081732340645,58014.081732340645,57802.081732340645,57674.081732340645,56468.081732340645,55556.081732340645,2220.1660599404977,57516.91826765937,57327.918267659355,57136.918267659355,57007.918267659355,56857.918267659355,56704.918267659355,56165.918267659355,55652.918267659355,55023.918267659355,55095.918267659355,55060.918267659355,55406.918267659355,55700.918267659355,56147.918267659355,56416.918267659355,56375.918267659355,56361.918267659355,56420.918267659355,57001.918267659355,57368.918267659355,58093.918267659355,59128.918267659355,60453.918267659355,61369.918267659355,61019.918267659355,60508.918267659355,60126.918267659355,60342.918267659355,60429.918267659355,60298.918267659355,60099.918267659355,59887.918267659355,59759.918267659355,58553.918267659355,57641.918267659355,55767.0,55767.0,55767.0,55767.0,55767.0,55767.0,55767.0,55767.0,55767.0,55767.0,55767.0,55767.0,54724.081732340645,54292.09084142949,53960.61257227228,53681.16346468129,53434.96385853736,53212.38240080721,53007.69762600705,52817.18168285897,52638.24519702193,52469.002860799315,52308.03141916648,52154.22514454456,56809.918267659355,57241.90915857051,57573.38742772772,57852.83653531871,58099.03614146264,58321.61759919279,58526.30237399295,58716.81831714103,58895.75480297807,59064.997139200685,59225.96858083352,59379.77485545544
24701," ARIMA(1,1,0)(0,0,0)[12] intercept",8572.456102581824,912.8368632472936,90.29690289881333,51848.35565036217,51863.195938923134,52103.56421496525,52388.18431373818,52426.65879550658,52516.49721905545,52529.28322854115,52584.057612841905,52453.81012437271,52517.734459939646,52418.06194710354,52503.328351681,52486.66312976821,52509.82470621934,52574.58017441183,52614.71554383138,52824.66608642989,53027.94411619231,52969.211898369715,53188.18864799982,53360.91790916072,53705.21052076977,53949.36480629758,54201.45505257728,54391.92520008404,54508.36914055921,54596.2716033562,54666.33564260432,54613.888745467455,54596.024114887005,54742.06490376522,54567.17110949151,54511.67475495316,54445.674754953165,54896.77820547954,-1879.15640058159,51655.467639016315,51693.52595166242,51933.894227704535,52218.51432647747,52256.988808245864,52346.827231794734,52359.613241280436,52414.38762558119,52284.140137111994,52348.06447267893,52248.391959842826,52333.658364420284,52316.9931425075,52340.15471895863,52404.910187151116,52445.045556570665,52654.99609916918,52858.274128931596,52799.541911109,53018.51866073911,53191.24792190001,53535.540533509055,53779.694819036864,54031.785065316566,54222.25521282333,54338.6991532985,54426.60161609549,54496.665655343604,54444.21875820674,54426.35412762629,54572.394916504505,54397.501122230795,54342.004767692444,54276.00476769245,54727.108218218826,2059.7502063792167,52041.24366170803,52032.86592618385,52273.23420222596,52557.85430099889,52596.32878276729,52686.16720631616,52698.95321580186,52753.72760010262,52623.48011163342,52687.40444720036,52587.73193436425,52672.99833894171,52656.333117028924,52679.494693480054,52744.25016167254,52784.38553109209,52994.3360736906,53197.61410345302,53138.88188563043,53357.858635260534,53530.587896421435,53874.88050803048,54119.03479355829,54371.12503983799,54561.595187344756,54678.039127819924,54765.941590616916,54836.00562986503,54783.55873272817,54765.69410214772,54911.73489102593,54736.84109675222,54681.34474221387,54615.34474221388,55066.44819274025,55238.39830425248,55381.73928579276,55497.361470322954,55599.749635925065,55695.81937230657,55788.87244776045,55880.485253356965,55971.4104187739,56062.007278343044,56152.44739208363,56242.81266934191,56333.142216787564,55068.728316991765,55079.04002471661,55078.611083715914,55080.03443489248,55087.24636676543,55100.90330678009,55120.52765867597,55145.34141340099,55174.57202257317,55207.548163288615,55243.71530250347,55282.623815690546,55408.06829151319,55684.438546868914,55916.111856929994,56119.46483695765,56304.39237784771,56476.841588740805,56640.44284803796,56797.47942414681,56949.44253411292,57097.34662087865,57241.91003618035,57383.66061788458
24739," ARIMA(1,1,0)(0,0,0)[12] intercept",13651.2441218173,1602.8183173339703,235.30124679751162,82884.3136027221,82903.89002923208,83377.24105153055,83917.3584553243,84091.47852141262,84270.5808038261,84531.2007278499,84650.21466014738,84545.24756520246,84374.66173531652,84294.60362796101,84443.57072290593,84525.27780796296,84553.69701853709,84610.95079888216,84714.67300531943,85086.07443221872,85458.75750405809,85343.7500854325,85812.80167911609,86322.81680049634,87440.59564107728,88072.27633475114,88626.79278727867,89066.55797969119,89410.0403380809,89729.7133290001,89832.3560771588,89758.14528278897,89814.98489301998,90229.72340992026,90127.0379599154,90123.08213497339,89938.01779807507,90664.73467992317,-1785.473827993065,82392.47237419008,82414.72253621883,82888.07355851731,83428.19096231106,83602.31102839937,83781.41331081286,84042.03323483665,84161.04716713414,84056.08007218922,83885.49424230328,83805.43613494777,83954.40322989269,84036.11031494972,84064.52952552385,84121.78330586891,84225.50551230619,84596.90693920548,84969.59001104484,84854.58259241926,85323.63418610285,85833.6493074831,86951.42814806403,87583.10884173789,88137.62529426542,88577.39048667795,88920.87284506766,89240.54583598685,89343.18858414555,89268.97778977573,89325.81740000674,89740.55591690702,89637.87046690215,89633.91464196015,89448.85030506183,90175.56718690993,2256.0763215880884,83376.15483125413,83393.05752224532,83866.4085445438,84406.52594833754,84580.64601442586,84759.74829683935,85020.36822086314,85139.38215316062,85034.4150582157,84863.82922832976,84783.77112097426,84932.73821591918,85014.44530097621,85042.86451155033,85100.1182918954,85203.84049833268,85575.24192523197,85947.92499707133,85832.91757844575,86301.96917212933,86811.98429350958,87929.76313409052,88561.44382776438,89115.96028029191,89555.72547270443,89899.20783109414,90218.88082201334,90321.52357017204,90247.31277580222,90304.15238603322,90718.8909029335,90616.20545292864,90612.24962798663,90427.18529108832,91153.90217293642,91206.18294417506,91445.1204720967,91680.81197503359,91916.15510524141,92151.46084708687,92386.76257630585,92622.06387487822,92857.36512723236,93092.66637462622,93327.96762148774,93563.26886829211,93798.57011509036,90717.01545116182,90715.26618848866,90768.54813571667,90852.00022344009,90954.5076183474,91070.33708112729,91196.14103119096,91329.77358632095,91469.76283928746,91615.047350378,91764.83181755862,91918.50208554065,91695.3504371883,92174.97475570475,92593.07581435051,92980.30998704274,93348.41407582634,93703.1880714844,94047.98671856549,94384.95666814377,94715.56990996498,95040.88789259749,95361.70591902561,95678.63814464008
24737," ARIMA(1,1,0)(0,0,0)[12]          ",3232.5616766004227,265.3148442985621,0.0,19527.59171276058,19820.290442412323,19874.680556222524,19990.23815420289,19788.863255390374,19859.84946902291,19764.82332491819,19655.199652360923,19529.314848321654,19609.40706700327,19589.261131482002,19585.075265488547,19448.606719364194,19587.066074576902,19741.388685179983,19813.910948143985,19857.619077101444,19980.94628316035,20135.16288871434,20436.516238877964,20403.46854612435,20452.212010098174,20413.40706700327,20534.65441211781,20644.132149153804,20552.446997475457,20537.446997475457,20384.460783842922,20213.50530977093,20214.898590406738,20249.889399495092,20456.424020196344,20469.101409593262,20558.468546124353,20550.995404544177,-1969.8502843172137,19330.973339517524,19680.21369413584,19734.60380794604,19850.161405926407,19648.78650711389,19719.772720746427,19624.746576641708,19515.12290408444,19389.23810004517,19469.33031872679,19449.18438320552,19444.998517212065,19308.52997108771,19446.98932630042,19601.3119369035,19673.834199867502,19717.542328824962,19840.869534883866,19995.08614043786,20296.439490601482,20263.391797847868,20312.13526182169,20273.33031872679,20394.577663841326,20504.05540087732,20412.370249198975,20397.370249198975,20244.38403556644,20073.42856149445,20074.821842130255,20109.81265121861,20316.34727191986,20329.02466131678,20418.39179784787,20410.918656267695,1969.8502843172137,19724.210086003633,19960.367190688805,20014.757304499006,20130.31490247937,19928.940003666856,19999.92621729939,19904.900073194673,19795.276400637405,19669.391596598136,19749.483815279753,19729.337879758485,19725.15201376503,19588.683467640676,19727.142822853384,19881.465433456466,19953.987696420467,19997.695825377927,20121.02303143683,20275.239636990824,20576.592987154447,20543.545294400832,20592.288758374656,20553.483815279753,20674.73116039429,20784.208897430286,20692.52374575194,20677.52374575194,20524.537532119404,20353.582058047414,20354.97533868322,20389.966147771574,20596.500768472826,20609.178157869745,20698.545294400836,20691.07215282066,20697.24274965871,20745.253810287388,20779.03119988875,20802.794725071122,20819.5131611539,20831.275141033097,20839.550087923682,20845.37179028547,20849.467552933544,20852.349059171214,20854.376295344588,20855.802523908285,20557.16600138223,20468.55254011386,20365.024485558646,20256.295267978923,20147.513661416702,20041.357321415646,19939.133534896533,19841.379019850952,19748.199495187448,19659.466261882306,19574.931066329973,19494.293067437775,20837.319497935194,21021.955080460917,21193.03791421885,21349.29418216332,21491.512660891098,21621.192960650547,21739.96664095083,21849.364560719987,21950.73561067964,22045.231856460123,22133.821524359202,22217.311980378796
24712," ARIMA(1,1,0)(1,0,0)[12] intercept",14038.97383387702,1192.884897261636,239.96313704974835,85220.48408379512,85328.23809609696,85688.1437201379,86116.91487118963,86184.9840207962,86439.8472800435,86834.41987400483,87060.13756972138,86900.92970917937,86718.00835715416,86472.39179465109,86349.93287548945,86743.98858656986,86715.08257556862,86786.23658456562,86880.91920471219,87272.16528550735,87558.65983485933,87343.08652676169,87763.27186207061,88286.48322994132,89437.59030114421,90000.01781304256,90412.28703182306,90707.14847284969,90940.02627359376,91153.02053444306,91209.83733794876,91209.84569124038,91424.45898374905,91909.5365153473,91884.99885523331,91944.85548113877,91923.0675494944,92747.1270356692,-1772.7352376876906,84762.9452499308,84873.79852495874,85233.70414899968,85662.4753000514,85730.54444965797,85985.40770890527,86379.98030286666,86605.69799858688,86446.49013830221,86263.56880436487,86017.95351319555,85895.58396095839,86290.95732013883,86262.07049932335,86333.22450832035,86427.90712846692,86819.15320926208,87105.64775861405,86890.07445051642,87310.25978582534,87833.47115369605,88984.57822489894,89547.00573679729,89959.27495557778,90254.13639660442,90487.01419734849,90700.00845819779,90756.82526170349,90756.8336149951,90971.44690750378,91456.52443910202,91431.98677898804,91491.8434048935,91470.05547324913,92294.11495942393,2252.6615117871875,85678.02291765944,85782.67766723518,86142.58329127613,86571.35444232785,86639.42359193442,86894.28685118172,87288.859445143,87514.57714085588,87355.36928005653,87172.44790994345,86926.83007610663,86804.28179002051,87197.0198530009,87168.0946518139,87239.24866081089,87333.93128095746,87725.17736175262,88011.6719111046,87796.09860300696,88216.28393831589,88739.4953061866,89890.60237738948,90453.02988928783,90865.29910806833,91160.16054909496,91393.03834983903,91606.03261068833,91662.84941419403,91662.85776748565,91877.47105999432,92362.54859159257,92338.01093147858,92397.86755738404,92376.07962573967,93200.13911191447,93218.4528482914,93461.72137731331,93704.03367826795,93955.5316649828,94214.2686041056,94460.64475359455,94680.80516707998,94936.76371096747,95188.0494699473,95450.58156836154,95652.52598675902,95872.60710931351,92765.44077204613,92781.78274677909,92851.98277037412,92960.31557032697,93093.99465375891,93227.9308271245,93345.08256588754,93505.4264794779,93667.09658038912,93845.00718000693,93966.57209026696,94109.93528345205,93671.46492453667,94141.66000784753,94556.08458616179,94950.74775963863,95334.54255445229,95693.3586800646,96016.52776827241,96368.10094245704,96709.0023595055,97056.15595671615,97338.47988325109,97635.27893517497
24818," ARIMA(2,0,2)(0,0,0)[12] intercept",130.87560884755985,795.637489363783,37405.29573301713,37806.5286906451,37848.83853490511,38029.28170622711,37950.12718869228,37899.24653532964,37944.225190934514,37905.72431025158,37672.99991324182,37097.04372861573,37029.4513369159,36936.411911313306,36816.41455442964,37126.676000512954,37258.64519150899,37098.49544669184,36880.0771024446,36631.81913461929,36449.11158096924,36570.617946933955,36755.37938042696,37069.1731066981,37192.867889108646,37531.928968508764,37591.91412168532,37123.23681574798,37061.58368289752,37137.30955091881,37332.434449527624,37197.33597026358,37059.970769758474,36987.51390733945,36963.753234749944,37112.75195910581,37390.51804342526,37830.69724152152,36497.950994367005,37457.38708451162,37589.426618995596,37769.87306463281,37711.36013994118,37665.92804139016,37714.09268561956,37682.50938160523,37449.794507820014,36877.8215305587,36811.63729922203,36719.525981521845,36601.867709553146,36912.13238475507,37045.72247045767,36886.17687031682,36668.19453986338,36421.062859741185,36238.35627542055,36360.71596726773,36545.79524270042,36859.83866568667,36984.17058136583,37323.231876479076,37383.7278674778,36915.236727626885,36853.742444594856,36929.862527996054,37124.98744026521,36990.21846571493,36852.96949865076,36780.62024475641,36757.11731269935,36906.1160517849,37184.10491747312,37624.35969945163,38312.64047166725,38155.67029677858,38108.25045081462,38288.690347821415,38188.894237443375,38132.56502926913,38174.35769624947,38128.939238897925,37896.20531866363,37316.265926672764,37247.26537460978,37153.297841104766,37030.961399306136,37341.21961627084,37471.56791256031,37310.814023066865,37091.95966502582,36842.575409497396,36659.866886517935,36780.51992660018,36964.9635181535,37278.50754770953,37401.565196851465,37740.62606053845,37800.100375892835,37331.236903869074,37269.42492120019,37344.75657384157,37539.881458790034,37404.45347481223,37266.97204086619,37194.4075699225,37170.389156800535,37319.38786642672,37596.9311693774,38037.034783591414,38085.30158601343,38055.39977883012,37909.0370532473,37758.58463129963,37638.69426302858,37553.326977686724,37496.37878125084,37460.009167710465,37437.51225819994,37423.940334369385,37415.91980858984,37411.26326448393,37879.03992688963,37652.19705783797,37261.27967566431,36970.93750746345,36782.48474192704,36666.50719537421,36596.84796216635,36555.507132849234,36531.16173793059,36516.931442593115,36508.68502184639,36503.95349665706,38291.56324513724,38458.60249982227,38556.7944308303,38546.23175513581,38494.90378413012,38440.14675999924,38395.909600335326,38364.511202571695,38343.86277846929,38330.949226145654,38323.15459533329,38318.57303231081
24860," ARIMA(1,1,0)(0,0,0)[12]          ",7588.8571190117955,738.8208584793086,0.0,46014.276534802964,45893.32299584864,45782.04932365151,45523.55260217982,45123.12091701497,45144.59974014579,45077.18158195072,45187.86774170079,45128.04146732385,45250.24443257201,45018.78132209651,44870.41248755295,44789.48538018745,44591.92929305104,44678.27018724054,44494.051509337056,44851.35660684482,45055.45525414784,45391.38803215546,45463.42382883719,45366.09079097536,45907.3701338146,46441.204264519205,46921.51591908359,46994.86555601525,47344.49453578615,47471.5460451232,47654.759052384565,47192.40681691083,47326.37669087122,47346.37669087122,47432.08074896216,47497.343079875034,47537.33522354737,47926.54385943766,-1989.4059003910372,45673.964498346504,45576.370608094396,45465.096935897265,45206.600214425576,44806.16852926072,44827.64735239155,44760.22919419647,44870.91535394655,44811.0890795696,44933.29204481777,44701.828934342266,44553.46009979871,44472.5329924332,44274.9769052968,44361.31779948629,44177.09912158281,44534.404219090575,44738.502866393595,45074.435644401216,45146.47144108295,45049.13840322111,45590.41774606035,46124.25187676496,46604.563531329346,46677.913168261,47027.542148031906,47154.593657368954,47337.80666463032,46875.45442915658,47009.424303116975,47029.424303116975,47115.12836120791,47180.39069212079,47220.38283579313,47609.591471683416,1989.4059003910372,46354.588571259424,46210.275383602886,46099.001711405755,45840.50498993407,45440.07330476921,45461.55212790004,45394.13396970496,45504.82012945504,45444.99385507809,45567.19682032626,45335.733709850756,45187.3648753072,45106.437767941694,44908.88168080529,44995.22257499478,44811.0038970913,45168.308994599065,45372.407641902086,45708.340419909706,45780.37621659144,45683.043178729604,46224.32252156884,46758.15665227345,47238.468306837836,47311.81794376949,47661.446923540396,47788.498432877444,47971.71144013881,47509.359204665074,47643.329078625466,47663.329078625466,47749.0331367164,47814.29546762928,47854.28761130162,48243.496247191906,48042.857699687585,48065.30412157404,48073.58313734511,48076.636724348165,48077.76299271666,48078.17839939629,48078.33161572936,48078.38812720563,48078.408970590186,48078.41665835041,48078.41949386195,48078.42053969655,47725.90531193334,47528.005969451595,47355.11756839588,47205.36173282604,47073.83869574168,46956.22893915585,46849.31687399822,46750.80412390586,46659.04631923991,46572.84646897972,46491.312791269156,46413.764645499665,48359.81008744183,48602.60227369648,48792.048706294336,48947.911715870294,49081.68728969165,49200.12785963673,49307.3463574605,49405.972130505404,49497.77162194046,49583.986847721106,49665.52619645474,49743.07643389343
24715," ARIMA(3,1,0)(0,0,0)[12] intercept",3040.863703072147,670.3754141486261,32.93950296063325,18413.38723802133,18522.172823981928,18656.40537244064,18635.95534638507,18639.837351300284,18776.15167472271,18801.966638824415,18753.292530984054,18605.19069136409,18708.27450954764,18846.269888589046,18958.437997293957,18984.47935293977,18930.01724079893,18953.071733469435,18864.584854095352,18812.074630716994,18875.121963531477,19058.863728395118,19186.596486974966,19408.865190287004,19491.51113738509,19484.273400005633,19670.071665167063,19625.528863471354,19585.51841700983,19519.521904055462,19603.91396584206,19455.498022287018,19335.45386396948,19136.300765389256,18961.6786059595,19004.67229061273,19362.503955778648,19783.72811617,-1938.927945442471,18197.366524696467,18334.078943573455,18469.360180760228,18478.15939096052,18482.041395875734,18618.35571929816,18644.170683399865,18595.496575559504,18447.39473593954,18550.47855412309,18688.473933164496,18800.642041869407,18826.68339751522,18772.22128537438,18795.275778044885,18706.788898670802,18654.278675292444,18717.326008106927,18901.067772970568,19028.800531550416,19251.069234862454,19333.71518196054,19326.477444581084,19512.275709742513,19467.732908046804,19427.72246158528,19361.725948630912,19446.11801041751,19297.70206686247,19177.65790854493,18978.504809964707,18803.88265053495,18846.87633518818,19204.708000354098,19625.93216074545,2004.8069513637374,18629.40795134619,18710.2667043904,18843.450564121053,18793.75130180962,18797.633306724834,18933.94763014726,18959.762594248965,18911.088486408604,18762.98664678864,18866.07046497219,19004.065844013596,19116.233952718507,19142.27530836432,19087.81319622348,19110.867688893984,19022.380809519902,18969.870586141544,19032.917918956027,19216.659683819667,19344.392442399516,19566.661145711554,19649.30709280964,19642.069355430183,19827.867620591613,19783.324818895904,19743.31437243438,19677.317859480012,19761.70992126661,19613.293977711568,19493.24981939403,19294.096720813806,19119.47456138405,19162.46824603728,19520.299911203198,19941.52407159455,19721.367631356992,19683.221794048342,19619.557220665945,19559.3861561792,19551.959136356047,19585.718377481626,19655.734600308304,19729.1608639926,19794.214327137204,19836.70595904281,19863.32465724387,19879.008424662705,19563.571675932442,19398.99804395752,19185.33759700787,19022.765410406595,18938.535376982207,18929.051677052565,18968.113014242954,19018.96912738394,19059.511759233403,19075.00448307187,19069.0528916692,19050.49705723888,19879.163586781542,19967.445544139166,20053.77684432402,20096.006901951805,20165.382895729887,20242.385077910687,20343.356186373654,20439.35260060126,20528.916895041006,20598.407435013753,20657.59642281854,20707.51979208653
24714," ARIMA(1,1,0)(1,0,0)[12] intercept",9260.46737456838,1200.993263882822,201.92624638628516,56537.57067251607,56442.310687002224,56709.458055657415,57033.2940409662,57182.202708314,57483.737912271,57467.589534315455,57561.83208359955,57204.513332282244,57090.47518414766,56468.63806404795,56197.09714903087,56495.84608461926,56749.13357377735,57101.049556226426,57612.56932481963,57970.285904309785,58152.88177438927,58245.32346080198,58610.281712834214,59247.33060915528,59738.29589164166,60144.897979071466,60359.99518689462,60668.88158699254,60578.00256864258,60750.472658580766,60774.953115102035,60886.541255404,60880.281165687964,61026.0101575158,61020.14318598387,60845.72834115938,61048.43965151836,61873.86784621628,-1785.5744126193224,56208.531149481896,56137.411789637896,56404.559158353084,56728.39514407627,56877.303814286395,57178.839038013946,57162.69079661685,57256.934289135046,56899.62205302181,56785.62891283246,56164.10297455467,55894.726115300546,56206.89055006454,56462.57804230869,56814.49402475777,57326.013793350976,57683.73037284113,57866.326242920615,57958.76792933332,58323.72618136556,58960.77507768662,59451.740360173004,59858.34244760281,60073.439655425966,60382.32605552388,60291.44703717392,60463.91712711211,60488.39758363338,60599.985723935344,60593.72563421931,60739.45462604714,60733.58765451521,60559.172809690725,60761.884120049705,61587.31231474762,2189.426905391893,56866.610195550245,56747.20958436655,57014.356952961745,57338.192937856125,57487.1016023416,57788.63678652805,57772.48827201406,57866.72987806405,57509.404611542675,57395.321455462865,56773.173153541225,56499.4681827612,56784.80161917398,57035.689105246005,57387.60508769508,57899.12485628829,58256.84143577844,58439.43730585793,58531.878992270635,58896.83724430287,59533.88614062394,60024.85142311032,60431.45351054012,60646.55071836328,60955.437118461195,60864.55810011124,61037.02819004942,61061.50864657069,61173.09678687266,61166.83669715662,61312.565688984454,61306.69871745253,61132.28387262804,61334.99518298702,62160.423377684936,62566.14248922809,62902.63177608511,63152.01148251426,63419.06483706988,63680.56096423459,63947.279925039635,64173.026856380784,64405.566416799724,64732.931435377905,64957.75499489664,65036.00222069255,65061.97346966317,62279.586957759435,62414.16011656813,62496.54251421217,62622.36997617503,62761.16878414905,62918.715944388736,63045.459333290164,63186.887203046055,63429.44918954554,63574.64356962802,63577.59715853235,63531.97351811938,62852.69802069675,63391.10343560209,63807.48045081635,64215.75969796472,64599.95314432013,64975.84390569053,65300.594379471404,65624.2456305534,66036.41368121027,66340.86642016527,66494.40728285274,66591.97342120696
